rank	serverType	rewardItems	money	bindRMB	needScore	rankPreview	rankImg	rewardItemsPreview
24	1	[(27861,60),(26450,15),(26344,20),(25756,1)]	0	0	340	0	0	[(27861,60),(26450,15),(26344,20),(25756,1)]
25	1	[(27861,60),(26450,15),(26344,20),(25756,1)]	0	0	340	0	0	[(27861,60),(26450,15),(26344,20),(25756,1)]
26	1	[(27861,60),(26450,15),(26344,20),(25756,1)]	0	0	340	0	0	[(27861,60),(26450,15),(26344,20),(25756,1)]
27	1	[(27861,60),(26450,15),(26344,20),(25756,1)]	0	0	340	0	0	[(27861,60),(26450,15),(26344,20),(25756,1)]
28	1	[(27861,60),(26450,15),(26344,20),(25756,1)]	0	0	340	0	0	[(27861,60),(26450,15),(26344,20),(25756,1)]
29	1	[(27861,60),(26450,15),(26344,20),(25756,1)]	0	0	340	0	0	[(27861,60),(26450,15),(26344,20),(25756,1)]
30	1	[(27861,60),(26450,15),(26344,20),(25756,1)]	0	0	340	0	0	[(27861,60),(26450,15),(26344,20),(25756,1)]
31	1	[(27861,60),(26450,15),(26344,20),(25756,1)]	0	0	340	0	0	[(27861,60),(26450,15),(26344,20),(25756,1)]
32	1	[(27861,60),(26450,15),(26344,20),(25756,1)]	0	0	340	0	0	[(27861,60),(26450,15),(26344,20),(25756,1)]
33	1	[(27861,60),(26450,15),(26344,20),(25756,1)]	0	0	340	0	0	[(27861,60),(26450,15),(26344,20),(25756,1)]
34	1	[(27861,60),(26450,15),(26344,20),(25756,1)]	0	0	340	0	0	[(27861,60),(26450,15),(26344,20),(25756,1)]
35	1	[(27861,60),(26450,15),(26344,20),(25756,1)]	0	0	340	0	0	[(27861,60),(26450,15),(26344,20),(25756,1)]
36	1	[(27861,60),(26450,15),(26344,20),(25756,1)]	0	0	340	0	0	[(27861,60),(26450,15),(26344,20),(25756,1)]
37	1	[(27861,60),(26450,15),(26344,20),(25756,1)]	0	0	340	0	0	[(27861,60),(26450,15),(26344,20),(25756,1)]
38	1	[(27861,60),(26450,15),(26344,20),(25756,1)]	0	0	340	0	0	[(27861,60),(26450,15),(26344,20),(25756,1)]
39	1	[(27861,60),(26450,15),(26344,20),(25756,1)]	0	0	340	0	0	[(27861,60),(26450,15),(26344,20),(25756,1)]
40	1	[(27861,60),(26450,15),(26344,20),(25756,1)]	0	0	340	0	0	[(27861,60),(26450,15),(26344,20),(25756,1)]
41	1	[(27861,60),(26450,15),(26344,20),(25756,1)]	0	0	340	0	0	[(27861,60),(26450,15),(26344,20),(25756,1)]
42	1	[(27861,60),(26450,15),(26344,20),(25756,1)]	0	0	340	0	0	[(27861,60),(26450,15),(26344,20),(25756,1)]
43	1	[(27861,60),(26450,15),(26344,20),(25756,1)]	0	0	340	0	0	[(27861,60),(26450,15),(26344,20),(25756,1)]
44	1	[(27861,60),(26450,15),(26344,20),(25756,1)]	0	0	340	0	0	[(27861,60),(26450,15),(26344,20),(25756,1)]
45	1	[(27861,60),(26450,15),(26344,20),(25756,1)]	0	0	340	0	0	[(27861,60),(26450,15),(26344,20),(25756,1)]
46	1	[(27861,60),(26450,15),(26344,20),(25756,1)]	0	0	340	0	0	[(27861,60),(26450,15),(26344,20),(25756,1)]
47	1	[(27861,60),(26450,15),(26344,20),(25756,1)]	0	0	340	0	0	[(27861,60),(26450,15),(26344,20),(25756,1)]
48	1	[(27861,60),(26450,15),(26344,20),(25756,1)]	0	0	340	0	0	[(27861,60),(26450,15),(26344,20),(25756,1)]
49	1	[(27861,60),(26450,15),(26344,20),(25756,1)]	0	0	340	0	0	[(27861,60),(26450,15),(26344,20),(25756,1)]
50	1	[(27861,60),(26450,15),(26344,20),(25756,1)]	0	0	340	0	0	[(27861,60),(26450,15),(26344,20),(25756,1)]
51	1	[(27861,40),(26450,10),(26344,10),(25747,1)]	0	0	240	9	KHPD_Text51	[(27861,40),(26450,10),(26344,10),(25747,1)]
52	1	[(27861,40),(26450,10),(26344,10),(25747,1)]	0	0	240	0	0	[(27861,40),(26450,10),(26344,10),(25747,1)]
53	1	[(27861,40),(26450,10),(26344,10),(25747,1)]	0	0	240	0	0	[(27861,40),(26450,10),(26344,10),(25747,1)]
54	1	[(27861,40),(26450,10),(26344,10),(25747,1)]	0	0	240	0	0	[(27861,40),(26450,10),(26344,10),(25747,1)]
55	1	[(27861,40),(26450,10),(26344,10),(25747,1)]	0	0	240	0	0	[(27861,40),(26450,10),(26344,10),(25747,1)]
56	1	[(27861,40),(26450,10),(26344,10),(25747,1)]	0	0	240	0	0	[(27861,40),(26450,10),(26344,10),(25747,1)]
57	1	[(27861,40),(26450,10),(26344,10),(25747,1)]	0	0	240	0	0	[(27861,40),(26450,10),(26344,10),(25747,1)]
58	1	[(27861,40),(26450,10),(26344,10),(25747,1)]	0	0	240	0	0	[(27861,40),(26450,10),(26344,10),(25747,1)]
59	1	[(27861,40),(26450,10),(26344,10),(25747,1)]	0	0	240	0	0	[(27861,40),(26450,10),(26344,10),(25747,1)]
60	1	[(27861,40),(26450,10),(26344,10),(25747,1)]	0	0	240	0	0	[(27861,40),(26450,10),(26344,10),(25747,1)]
61	1	[(27861,40),(26450,10),(26344,10),(25747,1)]	0	0	240	0	0	[(27861,40),(26450,10),(26344,10),(25747,1)]
62	1	[(27861,40),(26450,10),(26344,10),(25747,1)]	0	0	240	0	0	[(27861,40),(26450,10),(26344,10),(25747,1)]
63	1	[(27861,40),(26450,10),(26344,10),(25747,1)]	0	0	240	0	0	[(27861,40),(26450,10),(26344,10),(25747,1)]
64	1	[(27861,40),(26450,10),(26344,10),(25747,1)]	0	0	240	0	0	[(27861,40),(26450,10),(26344,10),(25747,1)]
65	1	[(27861,40),(26450,10),(26344,10),(25747,1)]	0	0	240	0	0	[(27861,40),(26450,10),(26344,10),(25747,1)]
66	1	[(27861,40),(26450,10),(26344,10),(25747,1)]	0	0	240	0	0	[(27861,40),(26450,10),(26344,10),(25747,1)]
67	1	[(27861,40),(26450,10),(26344,10),(25747,1)]	0	0	240	0	0	[(27861,40),(26450,10),(26344,10),(25747,1)]
68	1	[(27861,40),(26450,10),(26344,10),(25747,1)]	0	0	240	0	0	[(27861,40),(26450,10),(26344,10),(25747,1)]
69	1	[(27861,40),(26450,10),(26344,10),(25747,1)]	0	0	240	0	0	[(27861,40),(26450,10),(26344,10),(25747,1)]
70	1	[(27861,40),(26450,10),(26344,10),(25747,1)]	0	0	240	0	0	[(27861,40),(26450,10),(26344,10),(25747,1)]
71	1	[(27861,40),(26450,10),(26344,10),(25747,1)]	0	0	240	0	0	[(27861,40),(26450,10),(26344,10),(25747,1)]
72	1	[(27861,40),(26450,10),(26344,10),(25747,1)]	0	0	240	0	0	[(27861,40),(26450,10),(26344,10),(25747,1)]
73	1	[(27861,40),(26450,10),(26344,10),(25747,1)]	0	0	240	0	0	[(27861,40),(26450,10),(26344,10),(25747,1)]
74	1	[(27861,40),(26450,10),(26344,10),(25747,1)]	0	0	240	0	0	[(27861,40),(26450,10),(26344,10),(25747,1)]
75	1	[(27861,40),(26450,10),(26344,10),(25747,1)]	0	0	240	0	0	[(27861,40),(26450,10),(26344,10),(25747,1)]
76	1	[(27861,40),(26450,10),(26344,10),(25747,1)]	0	0	240	0	0	[(27861,40),(26450,10),(26344,10),(25747,1)]
77	1	[(27861,40),(26450,10),(26344,10),(25747,1)]	0	0	240	0	0	[(27861,40),(26450,10),(26344,10),(25747,1)]
78	1	[(27861,40),(26450,10),(26344,10),(25747,1)]	0	0	240	0	0	[(27861,40),(26450,10),(26344,10),(25747,1)]
79	1	[(27861,40),(26450,10),(26344,10),(25747,1)]	0	0	240	0	0	[(27861,40),(26450,10),(26344,10),(25747,1)]
80	1	[(27861,40),(26450,10),(26344,10),(25747,1)]	0	0	240	0	0	[(27861,40),(26450,10),(26344,10),(25747,1)]
81	1	[(27861,40),(26450,10),(26344,10),(25747,1)]	0	0	240	0	0	[(27861,40),(26450,10),(26344,10),(25747,1)]
82	1	[(27861,40),(26450,10),(26344,10),(25747,1)]	0	0	240	0	0	[(27861,40),(26450,10),(26344,10),(25747,1)]
83	1	[(27861,40),(26450,10),(26344,10),(25747,1)]	0	0	240	0	0	[(27861,40),(26450,10),(26344,10),(25747,1)]
84	1	[(27861,40),(26450,10),(26344,10),(25747,1)]	0	0	240	0	0	[(27861,40),(26450,10),(26344,10),(25747,1)]
85	1	[(27861,40),(26450,10),(26344,10),(25747,1)]	0	0	240	0	0	[(27861,40),(26450,10),(26344,10),(25747,1)]
86	1	[(27861,40),(26450,10),(26344,10),(25747,1)]	0	0	240	0	0	[(27861,40),(26450,10),(26344,10),(25747,1)]
87	1	[(27861,40),(26450,10),(26344,10),(25747,1)]	0	0	240	0	0	[(27861,40),(26450,10),(26344,10),(25747,1)]
88	1	[(27861,40),(26450,10),(26344,10),(25747,1)]	0	0	240	0	0	[(27861,40),(26450,10),(26344,10),(25747,1)]
89	1	[(27861,40),(26450,10),(26344,10),(25747,1)]	0	0	240	0	0	[(27861,40),(26450,10),(26344,10),(25747,1)]
90	1	[(27861,40),(26450,10),(26344,10),(25747,1)]	0	0	240	0	0	[(27861,40),(26450,10),(26344,10),(25747,1)]
91	1	[(27861,40),(26450,10),(26344,10),(25747,1)]	0	0	240	0	0	[(27861,40),(26450,10),(26344,10),(25747,1)]
92	1	[(27861,40),(26450,10),(26344,10),(25747,1)]	0	0	240	0	0	[(27861,40),(26450,10),(26344,10),(25747,1)]
93	1	[(27861,40),(26450,10),(26344,10),(25747,1)]	0	0	240	0	0	[(27861,40),(26450,10),(26344,10),(25747,1)]
94	1	[(27861,40),(26450,10),(26344,10),(25747,1)]	0	0	240	0	0	[(27861,40),(26450,10),(26344,10),(25747,1)]
95	1	[(27861,40),(26450,10),(26344,10),(25747,1)]	0	0	240	0	0	[(27861,40),(26450,10),(26344,10),(25747,1)]
96	1	[(27861,40),(26450,10),(26344,10),(25747,1)]	0	0	240	0	0	[(27861,40),(26450,10),(26344,10),(25747,1)]
97	1	[(27861,40),(26450,10),(26344,10),(25747,1)]	0	0	240	0	0	[(27861,40),(26450,10),(26344,10),(25747,1)]
98	1	[(27861,40),(26450,10),(26344,10),(25747,1)]	0	0	240	0	0	[(27861,40),(26450,10),(26344,10),(25747,1)]
99	1	[(27861,40),(26450,10),(26344,10),(25747,1)]	0	0	240	0	0	[(27861,40),(26450,10),(26344,10),(25747,1)]
100	1	[(27861,40),(26450,10),(26344,10),(25747,1)]	0	0	240	0	0	[(27861,40),(26450,10),(26344,10),(25747,1)]
1	2	[(27861,300),(26450,100),(26344,100),(25799,1),(26928,1)]	0	0	1200	1	KHPD_TextDYM	[(27861,300),(26450,100),(26344,100),(25799,1),(26928,1)]
2	2	[(27861,250),(26450,75),(26344,80),(25790,1),(26226,1)]	0	0	1200	2	KHPD_TextDRM	[(27861,250),(26450,75),(26344,80),(25790,1),(26226,1)]
3	2	[(27861,200),(26450,60),(26344,70),(25790,1),(26226,1)]	0	0	1200	3	KHPD_TextDSM	[(27861,200),(26450,60),(26344,70),(25790,1),(26226,1)]
4	2	[(27861,150),(26450,50),(26344,60),(25781,1),(26225,1)]	0	0	1000	4	KHPD_TextD4M	[(27861,150),(26450,50),(26344,60),(25781,1),(26225,1)]
5	2	[(27861,120),(26450,40),(26344,50),(25781,1),(26225,1)]	0	0	1000	5	KHPD_TextD5M	[(27861,120),(26450,40),(26344,50),(25781,1),(26225,1)]
6	2	[(27861,100),(26450,30),(26344,40),(25772,1)]	0	0	900	6	KHPD_Text6	[(27861,100),(26450,30),(26344,40),(25772,1)]
7	2	[(27861,100),(26450,30),(26344,40),(25772,1)]	0	0	900	0	0	[(27861,100),(26450,30),(26344,40),(25772,1)]
8	2	[(27861,100),(26450,30),(26344,40),(25772,1)]	0	0	900	0	0	[(27861,100),(26450,30),(26344,40),(25772,1)]
9	2	[(27861,100),(26450,30),(26344,40),(25772,1)]	0	0	900	0	0	[(27861,100),(26450,30),(26344,40),(25772,1)]
10	2	[(27861,100),(26450,30),(26344,40),(25772,1)]	0	0	900	0	0	[(27861,100),(26450,30),(26344,40),(25772,1)]
11	2	[(27861,80),(26450,20),(26344,30),(25772,1)]	0	0	570	7	KHPD_Text11	[(27861,80),(26450,20),(26344,30),(25772,1)]
12	2	[(27861,80),(26450,20),(26344,30),(25772,1)]	0	0	570	0	0	[(27861,80),(26450,20),(26344,30),(25772,1)]
13	2	[(27861,80),(26450,20),(26344,30),(25772,1)]	0	0	570	0	0	[(27861,80),(26450,20),(26344,30),(25772,1)]
14	2	[(27861,80),(26450,20),(26344,30),(25772,1)]	0	0	570	0	0	[(27861,80),(26450,20),(26344,30),(25772,1)]
15	2	[(27861,80),(26450,20),(26344,30),(25772,1)]	0	0	570	0	0	[(27861,80),(26450,20),(26344,30),(25772,1)]
16	2	[(27861,80),(26450,20),(26344,30),(25772,1)]	0	0	570	0	0	[(27861,80),(26450,20),(26344,30),(25772,1)]
17	2	[(27861,80),(26450,20),(26344,30),(25772,1)]	0	0	570	0	0	[(27861,80),(26450,20),(26344,30),(25772,1)]
18	2	[(27861,80),(26450,20),(26344,30),(25772,1)]	0	0	570	0	0	[(27861,80),(26450,20),(26344,30),(25772,1)]
19	2	[(27861,80),(26450,20),(26344,30),(25772,1)]	0	0	570	0	0	[(27861,80),(26450,20),(26344,30),(25772,1)]
20	2	[(27861,80),(26450,20),(26344,30),(25772,1)]	0	0	570	0	0	[(27861,80),(26450,20),(26344,30),(25772,1)]
21	2	[(27861,60),(26450,15),(26344,20),(25763,1)]	0	0	340	8	KHPD_Text21	[(27861,60),(26450,15),(26344,20),(25763,1)]
22	2	[(27861,60),(26450,15),(26344,20),(25763,1)]	0	0	340	0	0	[(27861,60),(26450,15),(26344,20),(25763,1)]
23	2	[(27861,60),(26450,15),(26344,20),(25763,1)]	0	0	340	0	0	[(27861,60),(26450,15),(26344,20),(25763,1)]
24	2	[(27861,60),(26450,15),(26344,20),(25763,1)]	0	0	340	0	0	[(27861,60),(26450,15),(26344,20),(25763,1)]
25	2	[(27861,60),(26450,15),(26344,20),(25763,1)]	0	0	340	0	0	[(27861,60),(26450,15),(26344,20),(25763,1)]
26	2	[(27861,60),(26450,15),(26344,20),(25763,1)]	0	0	340	0	0	[(27861,60),(26450,15),(26344,20),(25763,1)]
27	2	[(27861,60),(26450,15),(26344,20),(25763,1)]	0	0	340	0	0	[(27861,60),(26450,15),(26344,20),(25763,1)]
28	2	[(27861,60),(26450,15),(26344,20),(25763,1)]	0	0	340	0	0	[(27861,60),(26450,15),(26344,20),(25763,1)]
29	2	[(27861,60),(26450,15),(26344,20),(25763,1)]	0	0	340	0	0	[(27861,60),(26450,15),(26344,20),(25763,1)]
30	2	[(27861,60),(26450,15),(26344,20),(25763,1)]	0	0	340	0	0	[(27861,60),(26450,15),(26344,20),(25763,1)]
31	2	[(27861,60),(26450,15),(26344,20),(25763,1)]	0	0	340	0	0	[(27861,60),(26450,15),(26344,20),(25763,1)]
32	2	[(27861,60),(26450,15),(26344,20),(25763,1)]	0	0	340	0	0	[(27861,60),(26450,15),(26344,20),(25763,1)]
33	2	[(27861,60),(26450,15),(26344,20),(25763,1)]	0	0	340	0	0	[(27861,60),(26450,15),(26344,20),(25763,1)]
34	2	[(27861,60),(26450,15),(26344,20),(25763,1)]	0	0	340	0	0	[(27861,60),(26450,15),(26344,20),(25763,1)]
35	2	[(27861,60),(26450,15),(26344,20),(25763,1)]	0	0	340	0	0	[(27861,60),(26450,15),(26344,20),(25763,1)]
36	2	[(27861,60),(26450,15),(26344,20),(25763,1)]	0	0	340	0	0	[(27861,60),(26450,15),(26344,20),(25763,1)]
37	2	[(27861,60),(26450,15),(26344,20),(25763,1)]	0	0	340	0	0	[(27861,60),(26450,15),(26344,20),(25763,1)]
38	2	[(27861,60),(26450,15),(26344,20),(25763,1)]	0	0	340	0	0	[(27861,60),(26450,15),(26344,20),(25763,1)]
39	2	[(27861,60),(26450,15),(26344,20),(25763,1)]	0	0	340	0	0	[(27861,60),(26450,15),(26344,20),(25763,1)]
40	2	[(27861,60),(26450,15),(26344,20),(25763,1)]	0	0	340	0	0	[(27861,60),(26450,15),(26344,20),(25763,1)]
41	2	[(27861,60),(26450,15),(26344,20),(25763,1)]	0	0	340	0	0	[(27861,60),(26450,15),(26344,20),(25763,1)]
42	2	[(27861,60),(26450,15),(26344,20),(25763,1)]	0	0	340	0	0	[(27861,60),(26450,15),(26344,20),(25763,1)]
43	2	[(27861,60),(26450,15),(26344,20),(25763,1)]	0	0	340	0	0	[(27861,60),(26450,15),(26344,20),(25763,1)]
44	2	[(27861,60),(26450,15),(26344,20),(25763,1)]	0	0	340	0	0	[(27861,60),(26450,15),(26344,20),(25763,1)]
45	2	[(27861,60),(26450,15),(26344,20),(25763,1)]	0	0	340	0	0	[(27861,60),(26450,15),(26344,20),(25763,1)]
46	2	[(27861,60),(26450,15),(26344,20),(25763,1)]	0	0	340	0	0	[(27861,60),(26450,15),(26344,20),(25763,1)]
47	2	[(27861,60),(26450,15),(26344,20),(25763,1)]	0	0	340	0	0	[(27861,60),(26450,15),(26344,20),(25763,1)]
48	2	[(27861,60),(26450,15),(26344,20),(25763,1)]	0	0	340	0	0	[(27861,60),(26450,15),(26344,20),(25763,1)]
49	2	[(27861,60),(26450,15),(26344,20),(25763,1)]	0	0	340	0	0	[(27861,60),(26450,15),(26344,20),(25763,1)]
50	2	[(27861,60),(26450,15),(26344,20),(25763,1)]	0	0	340	0	0	[(27861,60),(26450,15),(26344,20),(25763,1)]
51	2	[(27861,40),(26450,10),(26344,10),(25754,1)]	0	0	240	9	KHPD_Text51	[(27861,40),(26450,10),(26344,10),(25754,1)]
52	2	[(27861,40),(26450,10),(26344,10),(25754,1)]	0	0	240	0	0	[(27861,40),(26450,10),(26344,10),(25754,1)]
53	2	[(27861,40),(26450,10),(26344,10),(25754,1)]	0	0	240	0	0	[(27861,40),(26450,10),(26344,10),(25754,1)]
54	2	[(27861,40),(26450,10),(26344,10),(25754,1)]	0	0	240	0	0	[(27861,40),(26450,10),(26344,10),(25754,1)]
55	2	[(27861,40),(26450,10),(26344,10),(25754,1)]	0	0	240	0	0	[(27861,40),(26450,10),(26344,10),(25754,1)]
56	2	[(27861,40),(26450,10),(26344,10),(25754,1)]	0	0	240	0	0	[(27861,40),(26450,10),(26344,10),(25754,1)]
57	2	[(27861,40),(26450,10),(26344,10),(25754,1)]	0	0	240	0	0	[(27861,40),(26450,10),(26344,10),(25754,1)]
58	2	[(27861,40),(26450,10),(26344,10),(25754,1)]	0	0	240	0	0	[(27861,40),(26450,10),(26344,10),(25754,1)]
59	2	[(27861,40),(26450,10),(26344,10),(25754,1)]	0	0	240	0	0	[(27861,40),(26450,10),(26344,10),(25754,1)]
60	2	[(27861,40),(26450,10),(26344,10),(25754,1)]	0	0	240	0	0	[(27861,40),(26450,10),(26344,10),(25754,1)]
61	2	[(27861,40),(26450,10),(26344,10),(25754,1)]	0	0	240	0	0	[(27861,40),(26450,10),(26344,10),(25754,1)]
62	2	[(27861,40),(26450,10),(26344,10),(25754,1)]	0	0	240	0	0	[(27861,40),(26450,10),(26344,10),(25754,1)]
63	2	[(27861,40),(26450,10),(26344,10),(25754,1)]	0	0	240	0	0	[(27861,40),(26450,10),(26344,10),(25754,1)]
64	2	[(27861,40),(26450,10),(26344,10),(25754,1)]	0	0	240	0	0	[(27861,40),(26450,10),(26344,10),(25754,1)]
65	2	[(27861,40),(26450,10),(26344,10),(25754,1)]	0	0	240	0	0	[(27861,40),(26450,10),(26344,10),(25754,1)]
66	2	[(27861,40),(26450,10),(26344,10),(25754,1)]	0	0	240	0	0	[(27861,40),(26450,10),(26344,10),(25754,1)]
67	2	[(27861,40),(26450,10),(26344,10),(25754,1)]	0	0	240	0	0	[(27861,40),(26450,10),(26344,10),(25754,1)]
68	2	[(27861,40),(26450,10),(26344,10),(25754,1)]	0	0	240	0	0	[(27861,40),(26450,10),(26344,10),(25754,1)]
69	2	[(27861,40),(26450,10),(26344,10),(25754,1)]	0	0	240	0	0	[(27861,40),(26450,10),(26344,10),(25754,1)]
70	2	[(27861,40),(26450,10),(26344,10),(25754,1)]	0	0	240	0	0	[(27861,40),(26450,10),(26344,10),(25754,1)]
71	2	[(27861,40),(26450,10),(26344,10),(25754,1)]	0	0	240	0	0	[(27861,40),(26450,10),(26344,10),(25754,1)]
72	2	[(27861,40),(26450,10),(26344,10),(25754,1)]	0	0	240	0	0	[(27861,40),(26450,10),(26344,10),(25754,1)]
73	2	[(27861,40),(26450,10),(26344,10),(25754,1)]	0	0	240	0	0	[(27861,40),(26450,10),(26344,10),(25754,1)]
74	2	[(27861,40),(26450,10),(26344,10),(25754,1)]	0	0	240	0	0	[(27861,40),(26450,10),(26344,10),(25754,1)]
75	2	[(27861,40),(26450,10),(26344,10),(25754,1)]	0	0	240	0	0	[(27861,40),(26450,10),(26344,10),(25754,1)]
76	2	[(27861,40),(26450,10),(26344,10),(25754,1)]	0	0	240	0	0	[(27861,40),(26450,10),(26344,10),(25754,1)]
77	2	[(27861,40),(26450,10),(26344,10),(25754,1)]	0	0	240	0	0	[(27861,40),(26450,10),(26344,10),(25754,1)]
78	2	[(27861,40),(26450,10),(26344,10),(25754,1)]	0	0	240	0	0	[(27861,40),(26450,10),(26344,10),(25754,1)]
79	2	[(27861,40),(26450,10),(26344,10),(25754,1)]	0	0	240	0	0	[(27861,40),(26450,10),(26344,10),(25754,1)]
80	2	[(27861,40),(26450,10),(26344,10),(25754,1)]	0	0	240	0	0	[(27861,40),(26450,10),(26344,10),(25754,1)]
81	2	[(27861,40),(26450,10),(26344,10),(25754,1)]	0	0	240	0	0	[(27861,40),(26450,10),(26344,10),(25754,1)]
82	2	[(27861,40),(26450,10),(26344,10),(25754,1)]	0	0	240	0	0	[(27861,40),(26450,10),(26344,10),(25754,1)]
83	2	[(27861,40),(26450,10),(26344,10),(25754,1)]	0	0	240	0	0	[(27861,40),(26450,10),(26344,10),(25754,1)]
84	2	[(27861,40),(26450,10),(26344,10),(25754,1)]	0	0	240	0	0	[(27861,40),(26450,10),(26344,10),(25754,1)]
85	2	[(27861,40),(26450,10),(26344,10),(25754,1)]	0	0	240	0	0	[(27861,40),(26450,10),(26344,10),(25754,1)]
86	2	[(27861,40),(26450,10),(26344,10),(25754,1)]	0	0	240	0	0	[(27861,40),(26450,10),(26344,10),(25754,1)]
87	2	[(27861,40),(26450,10),(26344,10),(25754,1)]	0	0	240	0	0	[(27861,40),(26450,10),(26344,10),(25754,1)]
88	2	[(27861,40),(26450,10),(26344,10),(25754,1)]	0	0	240	0	0	[(27861,40),(26450,10),(26344,10),(25754,1)]
89	2	[(27861,40),(26450,10),(26344,10),(25754,1)]	0	0	240	0	0	[(27861,40),(26450,10),(26344,10),(25754,1)]
90	2	[(27861,40),(26450,10),(26344,10),(25754,1)]	0	0	240	0	0	[(27861,40),(26450,10),(26344,10),(25754,1)]
91	2	[(27861,40),(26450,10),(26344,10),(25754,1)]	0	0	240	0	0	[(27861,40),(26450,10),(26344,10),(25754,1)]
92	2	[(27861,40),(26450,10),(26344,10),(25754,1)]	0	0	240	0	0	[(27861,40),(26450,10),(26344,10),(25754,1)]
93	2	[(27861,40),(26450,10),(26344,10),(25754,1)]	0	0	240	0	0	[(27861,40),(26450,10),(26344,10),(25754,1)]
94	2	[(27861,40),(26450,10),(26344,10),(25754,1)]	0	0	240	0	0	[(27861,40),(26450,10),(26344,10),(25754,1)]
95	2	[(27861,40),(26450,10),(26344,10),(25754,1)]	0	0	240	0	0	[(27861,40),(26450,10),(26344,10),(25754,1)]
96	2	[(27861,40),(26450,10),(26344,10),(25754,1)]	0	0	240	0	0	[(27861,40),(26450,10),(26344,10),(25754,1)]
97	2	[(27861,40),(26450,10),(26344,10),(25754,1)]	0	0	240	0	0	[(27861,40),(26450,10),(26344,10),(25754,1)]
98	2	[(27861,40),(26450,10),(26344,10),(25754,1)]	0	0	240	0	0	[(27861,40),(26450,10),(26344,10),(25754,1)]
99	2	[(27861,40),(26450,10),(26344,10),(25754,1)]	0	0	240	0	0	[(27861,40),(26450,10),(26344,10),(25754,1)]
