ssId	gradeLevel	starLevel	canBreak	maxItemCnt	effGrade	gradePic	nextSSId	price	upgradeItem	otherItemCoding	needWarStationId	breakItem	skillState	attack_pt	attack_mt	maxhp_t	crit_t	critpress_t	parry_t	puncture_t	antibroken_t	notbroken_t	maxhp	attackspeed	anger	attack_p	defense_p	attack_m	defense_m	crit	critpress	antibroken	notbroken	parry	puncture	damageupgrade	damagereduce
9	0	9	0	11	1	zhenling01	10	50	(28571,29)	28573	0			0	0	0	0	0	0	0	0	0	4280	0	0	1140	0	1140	0	180	260	130	130	260	180	0	0
10	0	10	1	12	1	zhenling01	11	125		28574	0	(28572,1,10,300)		0	0	0	0	0	0	0	0	0	4580	0	0	1220	0	1220	0	190	280	140	140	280	190	0	0
11	1	0	0	12	2	zhenling02	12	50	(28571,30)	28573	0		[(666,1)]	0	0	600	0	600	600	0	0	600	4580	0	0	1220	0	1220	0	190	280	140	140	280	190	0	500
12	1	1	0	15	2	zhenling02	13	50	(28571,31)	28573	0		[(666,1)]	0	0	600	0	600	600	0	0	600	4880	0	0	1300	0	1300	0	200	300	150	150	300	200	0	500
13	1	2	0	16	2	zhenling02	14	50	(28571,32)	28573	0		[(666,1)]	0	0	600	0	600	600	0	0	600	5180	0	0	1380	0	1380	0	210	320	160	160	320	210	0	500
14	1	3	0	17	2	zhenling02	15	50	(28571,33)	28573	0		[(666,1)]	0	0	600	0	600	600	0	0	600	5480	0	0	1460	0	1460	0	220	340	170	170	340	220	0	500
15	1	4	0	18	2	zhenling02	16	50	(28571,34)	28573	0		[(666,1)]	0	0	600	0	600	600	0	0	600	5780	0	0	1540	0	1540	0	230	360	180	180	360	230	0	500
16	1	5	0	19	2	zhenling02	17	50	(28571,43)	28573	0		[(666,1)]	0	0	600	0	600	600	0	0	600	6080	0	0	1620	0	1620	0	240	380	190	190	380	240	0	500
17	1	6	0	20	2	zhenling02	18	50	(28571,44)	28573	0		[(666,1)]	0	0	600	0	600	600	0	0	600	6380	0	0	1700	0	1700	0	250	400	200	200	400	250	0	500
18	1	7	0	21	2	zhenling02	19	50	(28571,45)	28573	0		[(666,1)]	0	0	600	0	600	600	0	0	600	6680	0	0	1780	0	1780	0	260	420	210	210	420	260	0	500
19	1	8	0	22	2	zhenling02	20	50	(28571,46)	28573	0		[(666,1)]	0	0	600	0	600	600	0	0	600	6980	0	0	1860	0	1860	0	270	440	220	220	440	270	0	500
20	1	9	0	23	2	zhenling02	21	50	(28571,48)	28573	0		[(666,1)]	0	0	600	0	600	600	0	0	600	7280	0	0	1940	0	1940	0	280	460	230	230	460	280	0	500
21	1	10	1	24	2	zhenling02	22	125		28574	0	(28572,2,20,660)	[(666,1)]	0	0	600	0	600	600	0	0	600	7580	0	0	2020	0	2020	0	290	480	240	240	480	290	0	500
22	2	0	0	24	3	zhenling03	23	50	(28571,90)	28573	0		[(666,2)]	0	0	1200	0	1200	1200	0	0	1200	7580	0	0	2020	0	2020	0	290	480	240	240	480	290	0	1000
23	2	1	0	28	3	zhenling03	24	50	(28571,95)	28573	0		[(666,2)]	0	0	1200	0	1200	1200	0	0	1200	8180	0	0	2180	0	2180	0	310	520	260	260	520	310	0	1000
24	2	2	0	30	3	zhenling03	25	50	(28571,100)	28573	0		[(666,2)]	0	0	1200	0	1200	1200	0	0	1200	8780	0	0	2340	0	2340	0	330	560	280	280	560	330	0	1000
25	2	3	0	32	3	zhenling03	26	50	(28571,108)	28573	0		[(666,2)]	0	0	1200	0	1200	1200	0	0	1200	9380	0	0	2500	0	2500	0	350	600	300	300	600	350	0	1000
26	2	4	0	34	3	zhenling03	27	50	(28571,115)	28573	0		[(666,2)]	0	0	1200	0	1200	1200	0	0	1200	9980	0	0	2660	0	2660	0	370	640	320	320	640	370	0	1000
27	2	5	0	38	3	zhenling03	28	50	(28571,180)	28573	0		[(666,2)]	0	0	1200	0	1200	1200	0	0	1200	10580	0	0	2820	0	2820	0	390	680	340	340	680	390	0	1000
28	2	6	0	40	3	zhenling03	29	50	(28571,190)	28573	0		[(666,2)]	0	0	1200	0	1200	1200	0	0	1200	11180	0	0	2980	0	2980	0	410	720	360	360	720	410	0	1000
29	2	7	0	42	3	zhenling03	30	50	(28571,200)	28573	0		[(666,2)]	0	0	1200	0	1200	1200	0	0	1200	11780	0	0	3140	0	3140	0	430	760	380	380	760	430	0	1000
30	2	8	0	44	3	zhenling03	31	50	(28571,210)	28573	0		[(666,2)]	0	0	1200	0	1200	1200	0	0	1200	12380	0	0	3300	0	3300	0	450	800	400	400	800	450	0	1000
31	2	9	0	46	3	zhenling03	32	50	(28571,220)	28573	0		[(666,2)]	0	0	1200	0	1200	1200	0	0	1200	12980	0	0	3460	0	3460	0	470	840	420	420	840	470	0	1000
32	2	10	1	48	3	zhenling03	33	125		28574	22	(28572,4,40,1320)	[(666,2)]	0	0	1200	0	1200	1200	0	0	1200	13580	0	0	3620	0	3620	0	490	880	440	440	880	490	0	1000
33	3	0	0	48	4	zhenling04	34	50	(28571,312)	28573	0		[(666,3)]	0	0	1850	0	1850	1850	0	0	1850	13580	0	0	3620	0	3620	0	490	880	440	440	880	490	0	1500
34	3	1	0	54	4	zhenling04	35	50	(28571,325)	28573	0		[(666,3)]	0	0	1850	0	1850	1850	0	0	1850	14180	0	0	3780	0	3780	0	510	920	460	460	920	510	0	1500
35	3	2	0	57	4	zhenling04	36	50	(28571,340)	28573	0		[(666,3)]	0	0	1850	0	1850	1850	0	0	1850	14780	0	0	3940	0	3940	0	530	960	480	480	960	530	0	1500
36	3	3	0	60	4	zhenling04	37	50	(28571,350)	28573	0		[(666,3)]	0	0	1850	0	1850	1850	0	0	1850	15380	0	0	4100	0	4100	0	550	1000	500	500	1000	550	0	1500
37	3	4	0	63	4	zhenling04	38	50	(28571,360)	28573	0		[(666,3)]	0	0	1850	0	1850	1850	0	0	1850	15980	0	0	4260	0	4260	0	570	1040	520	520	1040	570	0	1500
38	3	5	0	69	4	zhenling04	39	50	(28571,470)	28573	0		[(666,3)]	0	0	1850	0	1850	1850	0	0	1850	16580	0	0	4420	0	4420	0	590	1080	540	540	1080	590	0	1500
39	3	6	0	72	4	zhenling04	40	50	(28571,490)	28573	0		[(666,3)]	0	0	1850	0	1850	1850	0	0	1850	17180	0	0	4580	0	4580	0	610	1120	560	560	1120	610	0	1500
40	3	7	0	75	4	zhenling04	41	50	(28571,500)	28573	0		[(666,3)]	0	0	1850	0	1850	1850	0	0	1850	17780	0	0	4740	0	4740	0	630	1160	580	580	1160	630	0	1500
41	3	8	0	78	4	zhenling04	42	50	(28571,520)	28573	0		[(666,3)]	0	0	1850	0	1850	1850	0	0	1850	18380	0	0	4900	0	4900	0	650	1200	600	600	1200	650	0	1500
42	3	9	0	81	4	zhenling04	43	50	(28571,540)	28573	0		[(666,3)]	0	0	1850	0	1850	1850	0	0	1850	18980	0	0	5060	0	5060	0	670	1240	620	620	1240	670	0	1500
43	3	10	1	84	4	zhenling04	44	125		28574	0	(28572,5,50,2000)	[(666,3)]	0	0	1850	0	1850	1850	0	0	1850	19580	0	0	5220	0	5220	0	690	1280	640	640	1280	690	0	1500
44	4	0	0	84	5	zhenling05	45	50	(28571,560)	28573	0		[(666,4)]	0	0	2550	0	2550	2550	0	0	2550	19580	0	0	5220	0	5220	0	690	1280	640	640	1280	690	0	2000
45	4	1	0	92	5	zhenling05	46	50	(28571,570)	28573	0		[(666,4)]	0	0	2550	0	2550	2550	0	0	2550	20480	0	0	5460	0	5460	0	720	1340	670	670	1340	720	0	2000
46	4	2	0	96	5	zhenling05	47	50	(28571,580)	28573	0		[(666,4)]	0	0	2550	0	2550	2550	0	0	2550	21380	0	0	5700	0	5700	0	750	1400	700	700	1400	750	0	2000
47	4	3	0	100	5	zhenling05	48	50	(28571,590)	28573	0		[(666,4)]	0	0	2550	0	2550	2550	0	0	2550	22280	0	0	5940	0	5940	0	780	1460	730	730	1460	780	0	2000
48	4	4	0	104	5	zhenling05	49	50	(28571,600)	28573	0		[(666,4)]	0	0	2550	0	2550	2550	0	0	2550	23180	0	0	6180	0	6180	0	810	1520	760	760	1520	810	0	2000
49	4	5	0	112	5	zhenling05	50	50	(28571,680)	28573	0		[(666,4)]	0	0	2550	0	2550	2550	0	0	2550	24080	0	0	6420	0	6420	0	840	1580	790	790	1580	840	0	2000
50	4	6	0	116	5	zhenling05	51	50	(28571,690)	28573	0		[(666,4)]	0	0	2550	0	2550	2550	0	0	2550	24980	0	0	6660	0	6660	0	870	1640	820	820	1640	870	0	2000
51	4	7	0	120	5	zhenling05	52	50	(28571,700)	28573	0		[(666,4)]	0	0	2550	0	2550	2550	0	0	2550	25880	0	0	6900	0	6900	0	900	1700	850	850	1700	900	0	2000
52	4	8	0	124	5	zhenling05	53	50	(28571,710)	28573	0		[(666,4)]	0	0	2550	0	2550	2550	0	0	2550	26780	0	0	7140	0	7140	0	930	1760	880	880	1760	930	0	2000
53	4	9	0	128	5	zhenling05	54	50	(28571,720)	28573	0		[(666,4)]	0	0	2550	0	2550	2550	0	0	2550	27680	0	0	7380	0	7380	0	960	1820	910	910	1820	960	0	2000
54	4	10	1	132	5	zhenling05	55	125		28574	33	(28572,6,60,3000)	[(666,4)]	0	0	2550	0	2550	2550	0	0	2550	28580	0	0	7620	0	7620	0	990	1880	940	940	1880	990	0	2000
55	5	0	0	132	6	zhenling06	56	50	(28571,900)	28573	0		[(666,5)]	0	0	3300	0	3300	3300	0	0	3300	28580	0	0	7620	0	7620	0	990	1880	940	940	1880	990	0	2500
56	5	1	0	142	6	zhenling06	57	50	(28571,910)	28573	0		[(666,5)]	0	0	3300	0	3300	3300	0	0	3300	29930	0	0	7980	0	7980	0	1035	1970	985	985	1970	1035	0	2500
57	5	2	0	147	6	zhenling06	58	50	(28571,920)	28573	0		[(666,5)]	0	0	3300	0	3300	3300	0	0	3300	31280	0	0	8340	0	8340	0	1080	2060	1030	1030	2060	1080	0	2500
58	5	3	0	152	6	zhenling06	59	50	(28571,930)	28573	0		[(666,5)]	0	0	3300	0	3300	3300	0	0	3300	32630	0	0	8700	0	8700	0	1125	2150	1075	1075	2150	1125	0	2500
59	5	4	0	157	6	zhenling06	60	50	(28571,940)	28573	0		[(666,5)]	0	0	3300	0	3300	3300	0	0	3300	33980	0	0	9060	0	9060	0	1170	2240	1120	1120	2240	1170	0	2500
60	5	5	0	167	6	zhenling06	61	50	(28571,1000)	28573	0		[(666,5)]	0	0	3300	0	3300	3300	0	0	3300	35330	0	0	9420	0	9420	0	1215	2330	1165	1165	2330	1215	0	2500
61	5	6	0	172	6	zhenling06	62	50	(28571,1050)	28573	0		[(666,5)]	0	0	3300	0	3300	3300	0	0	3300	36680	0	0	9780	0	9780	0	1260	2420	1210	1210	2420	1260	0	2500
62	5	7	0	177	6	zhenling06	63	50	(28571,1100)	28573	0		[(666,5)]	0	0	3300	0	3300	3300	0	0	3300	38030	0	0	10140	0	10140	0	1305	2510	1255	1255	2510	1305	0	2500
63	5	8	0	182	6	zhenling06	64	50	(28571,1130)	28573	0		[(666,5)]	0	0	3300	0	3300	3300	0	0	3300	39380	0	0	10500	0	10500	0	1350	2600	1300	1300	2600	1350	0	2500
64	5	9	0	187	6	zhenling06	65	50	(28571,1150)	28573	0		[(666,5)]	0	0	3300	0	3300	3300	0	0	3300	40730	0	0	10860	0	10860	0	1395	2690	1345	1345	2690	1395	0	2500
65	5	10	1	192	6	zhenling06	66	125		28574	0	(28572,8,80,4000)	[(666,5)]	0	0	3300	0	3300	3300	0	0	3300	42080	0	0	11220	0	11220	0	1440	2780	1390	1390	2780	1440	0	2500
66	6	0	0	192	7	zhenling07	67	50	(28571,1180)	28573	0		[(666,6)]	0	0	4100	0	4100	4100	0	0	4100	42080	0	0	11220	0	11220	0	1440	2780	1390	1390	2780	1440	0	3000
67	6	1	0	204	7	zhenling07	68	50	(28571,1200)	28573	0		[(666,6)]	0	0	4100	0	4100	4100	0	0	4100	43430	0	0	11580	0	11580	0	1485	2870	1435	1435	2870	1485	0	3000
68	6	2	0	210	7	zhenling07	69	50	(28571,1200)	28573	0		[(666,6)]	0	0	4100	0	4100	4100	0	0	4100	44780	0	0	11940	0	11940	0	1530	2960	1480	1480	2960	1530	0	3000
69	6	3	0	216	7	zhenling07	70	50	(28571,1200)	28573	0		[(666,6)]	0	0	4100	0	4100	4100	0	0	4100	46130	0	0	12300	0	12300	0	1575	3050	1525	1525	3050	1575	0	3000
70	6	4	0	222	7	zhenling07	71	50	(28571,1200)	28573	0		[(666,6)]	0	0	4100	0	4100	4100	0	0	4100	47480	0	0	12660	0	12660	0	1620	3140	1570	1570	3140	1620	0	3000
71	6	5	0	234	7	zhenling07	72	50	(28571,1300)	28573	0		[(666,6)]	0	0	4100	0	4100	4100	0	0	4100	48830	0	0	13020	0	13020	0	1665	3230	1615	1615	3230	1665	0	3000
72	6	6	0	240	7	zhenling07	73	50	(28571,1350)	28573	0		[(666,6)]	0	0	4100	0	4100	4100	0	0	4100	50180	0	0	13380	0	13380	0	1710	3320	1660	1660	3320	1710	0	3000
73	6	7	0	246	7	zhenling07	74	50	(28571,1380)	28573	0		[(666,6)]	0	0	4100	0	4100	4100	0	0	4100	51530	0	0	13740	0	13740	0	1755	3410	1705	1705	3410	1755	0	3000
74	6	8	0	252	7	zhenling07	75	50	(28571,1400)	28573	0		[(666,6)]	0	0	4100	0	4100	4100	0	0	4100	52880	0	0	14100	0	14100	0	1800	3500	1750	1750	3500	1800	0	3000
75	6	9	0	258	7	zhenling07	76	50	(28571,1400)	28573	0		[(666,6)]	0	0	4100	0	4100	4100	0	0	4100	54230	0	0	14460	0	14460	0	1845	3590	1795	1795	3590	1845	0	3000
76	6	10	0	264	7	zhenling07	0	125		28574	55	(28572,10,100,5000)	[(666,6)]	0	0	4100	0	4100	4100	0	0	4100	55580	0	0	14820	0	14820	0	1890	3680	1840	1840	3680	1890	0	3000
77	7	0	0	264	8	zhenling08	78	50	(28571,1600)	28573	0		[(666,7)]	0	0	4900	0	4900	4900	0	0	4900	55580	0	0	14820	0	14820	0	1890	3680	1840	1840	3680	1890	0	3500
78	7	1	0	278	8	zhenling08	79	50	(28571,1640)	28573	0		[(666,7)]	0	0	4900	0	4900	4900	0	0	4900	57380	0	0	15300	0	15300	0	1950	3800	1900	1900	3800	1950	0	3500
79	7	2	0	285	8	zhenling08	80	50	(28571,1650)	28573	0		[(666,7)]	0	0	4900	0	4900	4900	0	0	4900	59180	0	0	15780	0	15780	0	2010	3920	1960	1960	3920	2010	0	3500
80	7	3	0	292	8	zhenling08	81	50	(28571,1660)	28573	0		[(666,7)]	0	0	4900	0	4900	4900	0	0	4900	60980	0	0	16260	0	16260	0	2070	4040	2020	2020	4040	2070	0	3500
81	7	4	0	299	8	zhenling08	82	50	(28571,1680)	28573	0		[(666,7)]	0	0	4900	0	4900	4900	0	0	4900	62780	0	0	16740	0	16740	0	2130	4160	2080	2080	4160	2130	0	3500
82	7	5	0	313	8	zhenling08	83	50	(28571,1750)	28573	0		[(666,7)]	0	0	4900	0	4900	4900	0	0	4900	64580	0	0	17220	0	17220	0	2190	4280	2140	2140	4280	2190	0	3500
83	7	6	0	320	8	zhenling08	84	50	(28571,1760)	28573	0		[(666,7)]	0	0	4900	0	4900	4900	0	0	4900	66380	0	0	17700	0	17700	0	2250	4400	2200	2200	4400	2250	0	3500
84	7	7	0	327	8	zhenling08	85	50	(28571,1770)	28573	0		[(666,7)]	0	0	4900	0	4900	4900	0	0	4900	68180	0	0	18180	0	18180	0	2310	4520	2260	2260	4520	2310	0	3500
85	7	8	0	334	8	zhenling08	86	50	(28571,1790)	28573	0		[(666,7)]	0	0	4900	0	4900	4900	0	0	4900	69980	0	0	18660	0	18660	0	2370	4640	2320	2320	4640	2370	0	3500
86	7	9	0	341	8	zhenling08	87	50	(28571,1800)	28573	0		[(666,7)]	0	0	4900	0	4900	4900	0	0	4900	71780	0	0	19140	0	19140	0	2430	4760	2380	2380	4760	2430	0	3500
87	7	10	1	348	8	zhenling08	88	125		28574	66	(28572,10,100,6500)	[(666,7)]	0	0	4900	0	4900	4900	0	0	4900	73580	0	0	19620	0	19620	0	2490	4880	2440	2440	4880	2490	0	3500
88	8	0	0	348	9	zhenling09	89	50	(28571,1850)	28573	0		[(666,8)]	0	0	5800	0	5800	5800	0	0	5800	73580	0	0	19620	0	19620	0	2490	4880	2440	2440	4880	2490	0	4000
89	8	1	0	364	9	zhenling09	90	50	(28571,1880)	28573	0		[(666,8)]	0	0	5800	0	5800	5800	0	0	5800	75380	0	0	20100	0	20100	0	2550	5000	2500	2500	5000	2550	0	4000
90	8	2	0	372	9	zhenling09	91	50	(28571,1900)	28573	0		[(666,8)]	0	0	5800	0	5800	5800	0	0	5800	77180	0	0	20580	0	20580	0	2610	5120	2560	2560	5120	2610	0	4000
91	8	3	0	380	9	zhenling09	92	50	(28571,1910)	28573	0		[(666,8)]	0	0	5800	0	5800	5800	0	0	5800	78980	0	0	21060	0	21060	0	2670	5240	2620	2620	5240	2670	0	4000
92	8	4	0	388	9	zhenling09	93	50	(28571,1930)	28573	0		[(666,8)]	0	0	5800	0	5800	5800	0	0	5800	80780	0	0	21540	0	21540	0	2730	5360	2680	2680	5360	2730	0	4000
93	8	5	0	404	9	zhenling09	94	50	(28571,1940)	28573	0		[(666,8)]	0	0	5800	0	5800	5800	0	0	5800	82580	0	0	22020	0	22020	0	2790	5480	2740	2740	5480	2790	0	4000
94	8	6	0	412	9	zhenling09	95	50	(28571,1950)	28573	0		[(666,8)]	0	0	5800	0	5800	5800	0	0	5800	84380	0	0	22500	0	22500	0	2850	5600	2800	2800	5600	2850	0	4000
95	8	7	0	420	9	zhenling09	96	50	(28571,1970)	28573	0		[(666,8)]	0	0	5800	0	5800	5800	0	0	5800	86180	0	0	22980	0	22980	0	2910	5720	2860	2860	5720	2910	0	4000
96	8	8	0	428	9	zhenling09	97	50	(28571,1980)	28573	0		[(666,8)]	0	0	5800	0	5800	5800	0	0	5800	87980	0	0	23460	0	23460	0	2970	5840	2920	2920	5840	2970	0	4000
97	8	9	0	436	9	zhenling09	98	50	(28571,2000)	28573	0		[(666,8)]	0	0	5800	0	5800	5800	0	0	5800	89780	0	0	23940	0	23940	0	3030	5960	2980	2980	5960	3030	0	4000
98	8	10	1	444	9	zhenling09	99	125		28574	77	(28572,10,100,8200)	[(666,8)]	0	0	5800	0	5800	5800	0	0	5800	91580	0	0	24420	0	24420	0	3090	6080	3040	3040	6080	3090	0	4000
99	9	0	0	444	10	zhenling10	100	50	(28571,2070)	28573	0		[(666,9)]	0	0	6800	0	6800	6800	0	0	6800	91580	0	0	24420	0	24420	0	3090	6080	3040	3040	6080	3090	0	4500
100	9	1	0	462	10	zhenling10	101	50	(28571,2090)	28573	0		[(666,9)]	0	0	6800	0	6800	6800	0	0	6800	93380	0	0	24900	0	24900	0	3150	6200	3100	3100	6200	3150	0	4500
101	9	2	0	471	10	zhenling10	102	50	(28571,2100)	28573	0		[(666,9)]	0	0	6800	0	6800	6800	0	0	6800	95180	0	0	25380	0	25380	0	3210	6320	3160	3160	6320	3210	0	4500
102	9	3	0	480	10	zhenling10	103	50	(28571,2120)	28573	0		[(666,9)]	0	0	6800	0	6800	6800	0	0	6800	96980	0	0	25860	0	25860	0	3270	6440	3220	3220	6440	3270	0	4500
103	9	4	0	489	10	zhenling10	104	50	(28571,2130)	28573	0		[(666,9)]	0	0	6800	0	6800	6800	0	0	6800	98780	0	0	26340	0	26340	0	3330	6560	3280	3280	6560	3330	0	4500
104	9	5	0	507	10	zhenling10	105	50	(28571,2150)	28573	0		[(666,9)]	0	0	6800	0	6800	6800	0	0	6800	100580	0	0	26820	0	26820	0	3390	6680	3340	3340	6680	3390	0	4500
105	9	6	0	516	10	zhenling10	106	50	(28571,2160)	28573	0		[(666,9)]	0	0	6800	0	6800	6800	0	0	6800	102380	0	0	27300	0	27300	0	3450	6800	3400	3400	6800	3450	0	4500
106	9	7	0	525	10	zhenling10	107	50	(28571,2170)	28573	0		[(666,9)]	0	0	6800	0	6800	6800	0	0	6800	104180	0	0	27780	0	27780	0	3510	6920	3460	3460	6920	3510	0	4500
107	9	8	0	534	10	zhenling10	108	50	(28571,2190)	28573	0		[(666,9)]	0	0	6800	0	6800	6800	0	0	6800	105980	0	0	28260	0	28260	0	3570	7040	3520	3520	7040	3570	0	4500
108	9	9	0	543	10	zhenling10	109	50	(28571,2200)	28573	0		[(666,9)]	0	0	6800	0	6800	6800	0	0	6800	107780	0	0	28740	0	28740	0	3630	7160	3580	3580	7160	3630	0	4500
109	9	10	1	552	10	zhenling10	110	125		28574	88	(28572,10,100,9800)	[(666,9)]	0	0	6800	0	6800	6800	0	0	6800	109580	0	0	29220	0	29220	0	3690	7280	3640	3640	7280	3690	0	4500
110	10	10	0	552	11	zhenling10	0	50			0		[(666,10)]	0	0	8000	0	8000	8000	0	0	8000	109580	0	0	29220	0	29220	0	3690	7280	3640	3640	7280	3690	0	5000
