activeID	activeType	needLevel	name	startDate	endDate	kaifuDay	startDays	circularDays
81	81	30	圣诞嘉年华-羽翼转转乐	(2014,12,19,0,0,0)	(2014,12,26,0,0,0)	(1,99999)	7	9999
82	82	30	圣诞嘉年华-坐骑转转乐	(2014,12,19,0,0,0)	(2014,12,26,0,0,0)	(1,99999)	7	9999
83	83	30	圣诞嘉年华-圣诞时装秀	(2014,12,19,0,0,0)	(2014,12,26,0,0,0)	(1,99999)	7	9999
84	84	30	圣诞嘉年华-精彩兑不停	(2014,12,19,0,0,0)	(2014,12,29,0,0,0)	(1,99999)	9	9999
85	85	30	元旦大狂欢-迎新送好礼	(2014,12,31,0,0,0)	(2015,1,4,0,0,0)	(1,99999)	4	9999
86	86	30	元旦大狂欢-跨年购物节	(2014,12,31,0,0,0)	(2015,1,4,0,0,0)	(1,99999)	4	9999
87	87	30	元旦大狂欢-充值开宝箱	(2014,12,31,0,0,0)	(2015,1,4,0,0,0)	(1,99999)	4	9999
88	88	30	元旦大狂欢-金币祈福礼	(2014,12,31,0,0,0)	(2015,1,4,0,0,0)	(1,99999)	4	9999
89	89	30	新年乐翻天-新年折扣汇	(2015,1,9,0,0,0)	(2015,1,16,0,0,0)	(1,99999)	7	9999
90	90	30	新年乐翻天-新年冲冲冲	(2015,1,9,0,0,0)	(2015,1,16,0,0,0)	(1,99999)	7	9999
91	91	30	2015狂欢派对-好礼兑不停	(2015,1,23,0,0,0)	(2015,1,30,0,0,0)	(1,99999)	7	9999
92	92	40	女神卡牌	(2015,11,11,0,0,0)		(1,99999)	2	9999
93	93	30	情人节-送人玫瑰	(2015,3,13,0,0,0)		(1,99999)	5	9999
94	94	30	情人节-玫瑰返利	(2015,3,13,0,0,0)		(1,99999)	5	9999
95	95	30	情人节-魅力派对	(2015,3,13,0,0,0)		(1,99999)	5	9999
96	96	30	情人节-情侣酷炫时装	(2015,3,13,0,0,0)		(1,99999)	5	9999
97	97	30	情人节-情人目标	(2015,2,13,0,0,0)		(1,99999)	5	9999
98	98	30	情人节-魅力大兑换	(2015,3,13,0,0,0)		(1,99999)	7	9999
99	99	1	黄钻活动	(2015,11,22,0,0,0)		(1,99999)	3	9999
101	101	30	专题活动-坐骑升阶	(2015,5,1,0,0,0)		(1,10)	2	9999
102	102	30	专题活动-坐骑升阶	(2015,5,1,0,0,0)		(11,20)	2	9999
103	103	30	专题活动-坐骑升阶	(2015,5,1,0,0,0)		(21,30)	2	9999
104	104	30	专题活动-坐骑升阶	(2015,5,1,0,0,0)		(31,40)	2	9999
105	105	30	专题活动-坐骑升阶	(2015,5,1,0,0,0)		(41,60)	2	9999
106	106	30	专题活动-坐骑培养	(2015,5,1,0,0,0)		(61,99999)	2	9999
107	107	30	专题活动-宝石合成	(2015,5,2,0,0,0)		(1,99999)	2	9999
108	108	30	专题活动-许愿	(2015,5,3,0,0,0)		(1,99999)	2	9999
109	109	50	专题活动-占卜	(2015,5,4,0,0,0)		(1,99999)	2	9999
110	110	65	专题活动-羽翼	(2015,5,5,0,0,0)		(1,99999)	2	9999
111	111	60	专题活动-符文	(2015,5,6,0,0,0)		(1,99999)	2	9999
112	112	70	专题活动-宠物	(2015,4,30,0,0,0)		(1,99999)	1	9999
113	113	36	专题活动-婚戒	(2015,4,30,0,0,0)		(1,99999)	1	9999
114	114	60	专题活动-星灵	(2015,5,24,0,0,0)		(8,99999)	1	9999
201	201	30	坐骑成长大礼	(2015,4,24,0,0,0)		(1,60)	2	9999
210	210	30	坐骑特惠大礼	(2015,5,1,0,0,0)		(1,60)	2	9999
202	202	30	坐骑培养大礼	(2015,4,24,0,0,0)		(61,99999)	2	9999
211	211	30	坐骑特惠大礼	(2015,5,1,0,0,0)		(61,99999)	2	9999
203	203	60	宝石优惠大礼	(2015,5,2,0,0,0)		(1,99999)	2	9999
212	212	60	宝石特惠大礼	(2015,4,18,0,0,0)		(1,30)	2	9999
213	213	60	宝石特惠大礼	(2015,4,18,0,0,0)		(31,90)	2	9999
214	214	60	宝石特惠大礼	(2015,4,18,0,0,0)		(91,99999)	2	9999
204	204	30	许愿幸福大礼	(2015,4,5,0,0,0)		(1,99999)	2	9999
215	215	30	许愿特惠大礼	(2015,5,3,0,0,0)		(1,30)	2	9999
216	216	30	许愿特惠大礼	(2015,5,3,0,0,0)		(31,90)	2	9999
217	217	30	许愿特惠大礼	(2015,5,3,0,0,0)		(91,99999)	2	9999
205	205	50	占卜好运大礼	(2015,5,4,0,0,0)		(1,99999)	2	9999
218	218	50	占卜特惠大礼	(2015,3,23,0,0,0)		(1,30)	2	9999
219	219	50	占卜特惠大礼	(2015,3,23,0,0,0)		(31,90)	2	9999
220	220	50	占卜特惠大礼	(2015,3,23,0,0,0)		(91,99999)	2	9999
206	206	60	符文超级大礼	(2015,4,29,0,0,0)	(2015,1,29,0,0,0)	(1,99999)	2	9999
221	221	60	符文特惠大礼	(2015,5,6,0,0,0)		(1,30)	2	9999
222	222	60	符文特惠大礼	(2015,5,6,0,0,0)		(31,90)	2	9999
223	223	60	符文特惠大礼	(2015,5,6,0,0,0)		(91,99999)	2	9999
207	207	65	羽翼培养大礼	(2015,5,5,0,0,0)		(1,99999)	2	9999
224	224	65	羽翼特惠大礼	(2015,3,24,0,0,0)		(1,30)	2	9999
225	225	65	羽翼特惠大礼	(2015,3,24,0,0,0)		(31,90)	2	9999
226	226	65	羽翼特惠大礼	(2015,3,24,0,0,0)		(91,99999)	2	9999
208	208	70	宠物育成大礼	(2015,5,7,0,0,0)		(1,99999)	1	9999
238	238	70	宠物圣诞大礼	(2014,12,1,0,0,0)	(2014,12,3,0,0,0)	(1,99999)	2	9999
227	227	70	宠物特惠大礼	(2015,4,2,0,0,0)		(1,30)	2	9999
228	228	70	宠物特惠大礼	(2015,4,2,0,0,0)		(31,90)	2	9999
229	229	70	宠物特惠大礼	(2015,4,2,0,0,0)		(91,99999)	2	9999
209	209	36	婚戒永恒大礼	(2015,5,7,0,0,0)		(1,99999)	1	9999
230	230	36	婚戒特惠大礼	(2015,4,2,0,0,0)		(1,30)	2	9999
231	231	36	婚戒特惠大礼	(2015,4,2,0,0,0)		(31,90)	2	9999
232	232	36	婚戒特惠大礼	(2015,4,2,0,0,0)		(91,99999)	2	9999
233	233	60	星灵升星大礼	(2015,5,6,0,0,0)		(8,99999)	2	9999
234	234	60	星灵升星大礼	(2014,12,9,0,0,0)	(2014,12,10,0,0,0)	(1,99999)	1	9999
235	235	60	星灵升星大礼	(2014,12,10,0,0,0)	(2014,12,11,0,0,0)	(1,99999)	1	9999
236	236	60	星灵升星大礼	(2014,12,11,0,0,0)	(2014,12,12,0,0,0)	(1,99999)	1	9999
237	237	60	星灵升星大礼	(2014,12,12,0,0,0)	(2014,12,13,0,0,0)	(1,99999)	1	9999
239	239	40	羊年好礼	(2015,2,18,0,0,0)	(2015,2,19,0,0,0)	(1,99999)	1	9999
240	240	40	羊年好礼	(2015,2,19,0,0,0)	(2015,2,20,0,0,0)	(1,99999)	1	9999
241	241	40	羊年好礼	(2015,2,20,0,0,0)	(2015,2,21,0,0,0)	(1,99999)	1	9999
242	242	40	羊年好礼	(2015,2,21,0,0,0)	(2015,2,22,0,0,0)	(1,99999)	1	9999
243	243	40	羊年好礼	(2015,2,22,0,0,0)	(2015,2,23,0,0,0)	(1,99999)	1	9999
244	244	40	羊年好礼	(2015,2,23,0,0,0)	(2015,2,24,0,0,0)	(1,99999)	1	9999
245	245	40	羊年好礼	(2015,2,24,0,0,0)	(2015,2,25,0,0,0)	(1,99999)	1	9999
246	246	30	情人节大礼	(2015,2,13,0,0,0)	(2015,2,14,0,0,0)	(1,99999)	1	9999
247	247	30	情人节大礼	(2015,2,14,0,0,0)	(2015,2,15,0,0,0)	(1,99999)	1	9999
248	248	30	情人节大礼	(2015,2,15,0,0,0)	(2015,2,16,0,0,0)	(1,99999)	1	9999
249	249	30	情人节大礼	(2015,2,16,0,0,0)	(2015,2,17,0,0,0)	(1,99999)	1	9999
250	250	30	情人节大礼	(2015,2,17,0,0,0)	(2015,2,18,0,0,0)	(1,99999)	1	9999
306	306	30	欢乐花灯	(2015,3,2,0,0,0)	(2015,3,7,0,0,0)	(1,99999)	5	9999
307	307	30	花灯返利	(2015,3,2,0,0,0)	(2015,3,7,0,0,0)	(1,99999)	5	9999
308	308	30	猜灯谜	(2015,3,2,0,0,0)	(2015,3,7,0,0,0)	(1,99999)	5	9999
309	309	30	元宵商店	(2015,3,2,0,0,0)	(2015,3,9,0,0,0)	(1,99999)	7	9999
301	301	30	春节活动-普天同庆	(2015,2,18,0,0,0)	(2014,12,26,0,0,0)	(1,99999)	7	9999
302	302	30	春节活动-天降财神	(2015,2,18,0,0,0)	(2014,12,26,0,0,0)	(1,99999)	3	9999
303	303	30	春节活动-年兽来了	(2015,2,18,0,0,0)	(2014,12,26,0,0,0)	(1,99999)	7	9999
304	304	30	春节活动-新春折扣汇	(2015,2,18,0,0,0)	(2014,12,26,0,0,0)	(1,99999)	7	9999
305	305	30	春节活动-靓丽时装秀	(2015,2,18,0,0,0)	(2014,12,29,0,0,0)	(1,99999)	9	9999
310	310	30	战神宝箱	(2015,11,13,0,0,0)		(1,99999)	5	9999
311	311	30	超级理财	(2015,11,6,0,0,0)		(1,99999)	3	9999
312	312	30	清明踏青	(2015,4,3,0,0,0)		(1,99999)	7	9999
313	313	30	清明幸运轮盘	(2015,4,3,0,0,0)		(1,99999)	7	9999
314	314	30	清明好礼兑不停	(2015,4,3,0,0,0)		(1,99999)	9	9999
315	315	30	清明全民炼金	(2015,4,3,0,0,0)		(1,99999)	7	9999
316	316	30	清明7天充值	(2015,4,3,0,0,0)		(1,99999)	7	9999
317	317	30	清明7天消费	(2015,4,3,0,0,0)		(1,99999)	7	9999
318	318	120	魔灵大转盘	(2015,11,30,0,0,0)		(1,99999)	3	9999
320	320	30	体力投资	(2015,11,27,0,0,0)		(27,99999)	5	9999
321	321	45	神龙投资	(2015,11,27,0,0,0)		(1,99999)	5	9999
322	322	30	魔晶投资	(2015,10,30,0,0,0)		(1,99999)	5	9999
323	323	65	宝石投资	(2015,10,30,0,0,0)		(1,99999)	5	9999
324	324	75	符文投资	(2015,11,27,0,0,0)		(1,99999)	5	9999
325	325	80	雕纹投资	(2015,11,27,0,0,0)		(1,99999)	5	9999
326	326	85	时装投资	(2015,11,27,0,0,0)		(1,99999)	5	9999
327	327	60	星灵投资	(2015,11,27,0,0,0)		(1,99999)	5	9999
328	328	30	投资总览	(2015,11,27,0,0,0)		(1,99999)	5	9999
341	341	30	五一登录	(2015,4,30,0,0,0)		(1,99999)	7	9999
342	342	30	五一消费送惊喜	(2015,4,30,0,0,0)		(1,99999)	7	9999
343	343	30	五一勇者斗恶龙	(2015,4,30,0,0,0)		(1,99999)	7	9999
344	344	30	五一神龙宝库	(2015,4,30,0,0,0)		(1,99999)	9	9999
345	345	30	页游节折扣汇	(2015,5,24,0,0,0)		(1,99999)	4	9999
346	346	30	页游节BUFF加成	(2015,5,20,0,0,0)		(1,99999)	3	9999
347	347	30	空间十周年回归礼包	(2015,6,9,0,0,0)		(1,99999)	7	9999
348	348	30	空间累计充值	(2015,6,9,0,0,0)		(1,99999)	7	9999
349	349	30	周年纪念币	(2015,6,9,0,0,0)		(1,99999)	7	9999
350	350	30	首充拿大礼	(2015,6,9,0,0,0)		(1,99999)	7	9999
351	351	30	天天领好礼	(2015,6,9,0,0,0)		(1,99999)	7	9999
352	352	30	空间十周年	(2015,6,9,0,0,0)		(1,99999)	7	9999
403	403	30	活跃度奖励	(2015,11,29,0,0,0)		(31,99999)	1	9999
501	501	30	王者公测——在线有豪礼	(2015,6,23,0,0,0)		(1,99999)	7	9999
502	502	30	王者公测——兑换由我定	(2015,6,23,0,0,0)		(1,99999)	8	9999
503	503	30	王者公测——最炫时装秀	(2015,6,23,0,0,0)		(1,99999)	7	9999
504	504	30	王者公测——公测折扣汇	(2015,6,23,0,0,0)		(1,99999)	7	9999
505	505	30	王者公测——奖励狂翻倍	(2015,6,23,0,0,0)		(1,99999)	7	9999
506	506	30	王者公测——充值返利	(2015,6,23,0,0,0)		(1,99999)	7	9999
400	400	20	坐骑培养日	(2015,11,14,0,0,0)		(31,99999)	1	9999
402	402	20	充值满额送礼-坐骑培养	(2015,11,14,0,0,0)		(31,99999)	1	9999
405	405	20	兑换得豪礼-坐骑培养	(2015,11,14,0,0,0)		(31,99999)	1	9999
404	404	20	坐骑进化日	(2015,12,3,0,0,0)		(31,99999)	1	9999
408	408	20	充值满额送礼-坐骑进化	(2015,12,3,0,0,0)		(31,99999)	1	9999
409	409	20	兑换得豪礼-坐骑进化	(2015,12,3,0,0,0)		(31,99999)	1	9999
410	410	70	宠物培养日	(2015,11,27,0,0,0)		(31,99999)	1	9999
412	412	70	充值满额送礼-宠物培养	(2015,11,27,0,0,0)		(31,99999)	1	9999
413	413	70	兑换得豪礼-宠物培养	(2015,11,27,0,0,0)		(31,99999)	1	9999
411	411	70	宠物修行日	(2015,12,4,0,0,0)		(31,99999)	1	9999
414	414	70	充值满额送礼-宠物修行	(2015,12,4,0,0,0)		(31,99999)	1	9999
415	415	70	兑换得豪礼-宠物修行	(2015,12,4,0,0,0)		(31,99999)	1	9999
507	507	30	欢乐粽子	(2015,8,26,0,0,0)		(1,99999)	3	9999
401	401	60	星灵升星日	(2015,11,26,0,0,0)		(31,99999)	1	9999
419	419	60	充值满额送礼-星灵升星	(2015,11,26,0,0,0)		(31,99999)	1	9999
420	420	60	兑换得豪礼-星灵升星	(2015,11,26,0,0,0)		(31,99999)	1	9999
416	416	65	羽翼培养日	(2015,11,30,0,0,0)		(31,99999)	1	9999
417	417	65	充值满额送礼-羽翼培养	(2015,11,30,0,0,0)		(31,99999)	1	9999
418	418	65	兑换得豪礼-羽翼培养	(2015,11,30,0,0,0)		(31,99999)	1	9999
421	421	45	神龙进化日	(2015,11,29,0,0,0)		(31,99999)	1	9999
422	422	45	充值满额送礼-神龙进化	(2015,11,29,0,0,0)		(31,99999)	1	9999
423	423	45	兑换得豪礼-神龙进化	(2015,11,29,0,0,0)		(31,99999)	1	9999
424	424	100	装备洗炼日	(2015,11,28,0,0,0)		(31,99999)	1	9999
425	425	100	充值满额送礼-装备洗炼	(2015,11,28,0,0,0)		(31,99999)	1	9999
426	426	100	兑换得豪礼-装备洗炼	(2015,11,28,0,0,0)		(31,99999)	1	9999
508	508	30	七月有礼	(2015,7,11,0,0,0)		(1,99999)	7	9999
509	509	30	奖励翻倍	(2015,10,23,0,0,0)		(1,99999)	7	9999
513	513	30	特惠商品	(2015,11,20,0,0,0)		(1,99999)	7	9999
514	514	30	七月卖场	(2015,10,23,0,0,0)		(1,99999)	7	9999
510	510	30	充值返利	(2015,11,20,0,0,0)		(1,99999)	7	9999
511	511	30	消费返利	(2015,10,23,0,0,0)		(1,99999)	7	9999
512	512	30	限时兑换	(2015,7,13,0,0,0)		(1,99999)	9	9999
427	427	100	消费满额送礼-战魂培养	(2015,12,1,0,0,0)		(31,99999)	1	9999
428	428	100	消费满额送礼-阵灵培养	(2015,11,25,0,0,0)		(31,99999)	1	9999
429	429	100	兑换得豪礼-战魂培养	(2015,12,1,0,0,0)		(31,99999)	1	9999
430	430	100	兑换得豪礼-阵灵培养	(2015,11,25,0,0,0)		(31,99999)	1	9999
432	432	100	战魂培养日	(2015,12,1,0,0,0)		(31,99999)	1	9999
431	431	100	阵灵培养日	(2015,11,25,0,0,0)		(31,99999)	1	9999
515	515	30	幸运转盘	(2015,10,23,0,0,0)		(1,99999)	7	9999
516	516	30	在线有礼	(2016,3,10,0,0,0)		(1,99999)	7	9999
561	561	30	抢红包	(2015,10,1,0,0,0)		(1,99999)	7	9999
562	562	30	中秋全民炼金	(2016,3,10,0,0,0)		(1,99999)	6	9999
563	563	30	中秋活跃大礼	(2015,9,25,0,0,0)		(1,99999)	6	9999
564	564	30	中秋首充	(2015,9,25,0,0,0)		(1,99999)	6	9999
565	565	30	中秋赏月	(2015,9,25,0,0,0)		(1,99999)	6	9999
566	566	80	精彩活动-充值送圣器	(2015,12,2,0,0,0)		(1,99999)	1	9999
517	517	30	登录有礼	(2015,10,1,0,0,0)		(1,99999)	7	9999
518	518	30	你消费我买单	(2015,10,1,0,0,0)		(1,99999)	15	9999
519	519	30	神树探秘	(2015,10,1,0,0,0)		(1,99999)	7	9999
520	520	30	神树兑换	(2015,10,23,0,0,0)		(1,99999)	9	9999
521	521	30	充值好礼	(2010,10,23,0,0,0)		(1,99999)	7	9999
522	522	30	消费好礼	(2010,10,23,0,0,0)		(1,99999)	7	9999
523	523	30	欢乐砸陶罐	(2015,10,23,0,0,0)		(1,99999)	7	9999
524	524	30	连充豪礼	(2016,3,10,0,0,0)		(1,99999)	7	9999
580	580	30	双十一商城满返	(2015,11,6,0,0,0)		(1,99999)	7	9999
581	581	30	双十一充值大放送	(2015,11,6,0,0,0)		(1,99999)	7	9999
582	582	30	双十一返利兑不停	(2015,11,6,0,0,0)		(1,99999)	7	9999
584	584	30	双十一转盘	(2015,11,6,0,0,0)		(1,99999)	7	9999
525	525	30	感恩活动积分兑换	(2015,11,20,0,0,0)		(1,99999)	7	9999
526	526	30	感恩活动买二送一	(2015,11,20,0,0,0)		(1,99999)	7	9999
527	527	30	感恩活动签到奖励	(2015,11,20,0,0,0)		(1,99999)	7	9999
528	528	30	感恩活动充值奖励	(2015,11,20,0,0,0)		(1,99999)	7	9999
