buffId	coding	startTime	endTime	keepTime	maxhp	attackspeed	anger	attack_p	defense_p	attack_m	defense_m	crit	critpress	antibroken	notbroken	parry	puncture	damageupgrade	damagereduce	npcType
2524	27011	(2014,10,15,0,0,0)	(2024,12,3,0,0,0)	43200	0	0	0	0	0	0	0	100	0	0	0	100	0	0	0	5013
2525	27012	(2014,10,15,0,0,0)	(2024,12,3,0,0,0)	43200	0	0	0	100	0	0	0	0	0	0	0	0	100	0	0	5014
2526	27013	(2014,10,15,0,0,0)	(2024,12,3,0,0,0)	43200	0	0	0	0	0	0	0	100	0	0	0	0	100	0	0	5015
2527	27014	(2014,10,15,0,0,0)	(2024,12,3,0,0,0)	43200	0	0	0	0	0	0	0	0	100	0	0	100	0	0	0	5016
2528	27015	(2014,10,15,0,0,0)	(2024,12,3,0,0,0)	43200	300	0	0	100	0	0	0	0	0	0	0	0	0	0	0	5017
2529	27016	(2014,10,15,0,0,0)	(2024,12,3,0,0,0)	43200	0	0	0	0	0	0	0	0	100	0	0	0	100	0	0	5018
2530	27017	(2014,10,15,0,0,0)	(2024,12,3,0,0,0)	43200	0	0	0	0	0	0	0	0	0	0	0	100	100	0	0	20116
2531	27018	(2014,10,15,0,0,0)	(2024,12,3,0,0,0)	43200	0	0	0	250	0	0	0	0	250	0	0	0	0	0	0	5101
2532	27019	(2014,10,15,0,0,0)	(2024,12,3,0,0,0)	43200	0	0	0	250	0	0	0	0	0	0	0	250	0	0	0	5102
2533	27020	(2014,10,15,0,0,0)	(2024,12,3,0,0,0)	43200	0	0	0	250	0	0	0	0	0	0	0	0	250	0	0	5103
2534	27021	(2014,10,15,0,0,0)	(2024,12,3,0,0,0)	43200	750	0	0	0	0	0	0	0	250	0	0	0	0	0	0	5104
2535	27022	(2014,10,15,0,0,0)	(2024,12,3,0,0,0)	43200	750	0	0	0	0	0	0	0	0	0	0	250	0	0	0	5105
2536	27023	(2014,10,15,0,0,0)	(2024,12,3,0,0,0)	43200	750	0	0	0	0	0	0	0	0	0	0	0	250	0	0	5110
2537	27024	(2014,10,15,0,0,0)	(2024,12,3,0,0,0)	43200	0	0	0	250	0	0	0	250	0	0	0	0	0	0	0	5111
2538	27025	(2014,10,15,0,0,0)	(2024,12,3,0,0,0)	43200	750	0	0	250	0	0	0	0	0	0	0	0	0	0	0	40051
