level	rewards1	rewards2
27	[(1,70),(4,697),(11,1670),(5,500),(2,28),(6,1500),(12,808),(7,700),(3,2),(8,1620),(13,200),(9,1400),(14,40),(10,610),(15,135),(16,20)]	[(4,697),(11,1670),(5,500),(6,1500),(12,808),(7,700),(8,1620),(13,200),(9,1400),(14,40),(10,610),(15,135),(16,20)]
28	[(1,70),(4,697),(11,1670),(5,500),(2,28),(6,1500),(12,808),(7,700),(3,2),(8,1620),(13,200),(9,1400),(14,40),(10,610),(15,135),(16,20)]	[(4,697),(11,1670),(5,500),(6,1500),(12,808),(7,700),(8,1620),(13,200),(9,1400),(14,40),(10,610),(15,135),(16,20)]
29	[(1,70),(4,697),(11,1670),(5,500),(2,28),(6,1500),(12,808),(7,700),(3,2),(8,1620),(13,200),(9,1400),(14,40),(10,610),(15,135),(16,20)]	[(4,697),(11,1670),(5,500),(6,1500),(12,808),(7,700),(8,1620),(13,200),(9,1400),(14,40),(10,610),(15,135),(16,20)]
30	[(1,70),(4,697),(11,1670),(5,500),(2,28),(6,1500),(12,808),(7,700),(3,2),(8,1620),(13,200),(9,1400),(14,40),(10,610),(15,135),(16,20)]	[(4,697),(11,1670),(5,500),(6,1500),(12,808),(7,700),(8,1620),(13,200),(9,1400),(14,40),(10,610),(15,135),(16,20)]
31	[(1,70),(4,697),(11,1670),(5,500),(2,28),(6,1500),(12,808),(7,700),(3,2),(8,1620),(13,200),(9,1400),(14,40),(10,610),(15,135),(16,20)]	[(4,697),(11,1670),(5,500),(6,1500),(12,808),(7,700),(8,1620),(13,200),(9,1400),(14,40),(10,610),(15,135),(16,20)]
32	[(1,70),(4,697),(11,1670),(5,500),(2,28),(6,1500),(12,808),(7,700),(3,2),(8,1620),(13,200),(9,1400),(14,40),(10,610),(15,135),(16,20)]	[(4,697),(11,1670),(5,500),(6,1500),(12,808),(7,700),(8,1620),(13,200),(9,1400),(14,40),(10,610),(15,135),(16,20)]
33	[(1,70),(4,697),(11,1670),(5,500),(2,28),(6,1500),(12,808),(7,700),(3,2),(8,1620),(13,200),(9,1400),(14,40),(10,610),(15,135),(16,20)]	[(4,697),(11,1670),(5,500),(6,1500),(12,808),(7,700),(8,1620),(13,200),(9,1400),(14,40),(10,610),(15,135),(16,20)]
34	[(1,70),(4,697),(11,1670),(5,500),(2,28),(6,1500),(12,808),(7,700),(3,2),(8,1620),(13,200),(9,1400),(14,40),(10,610),(15,135),(16,20)]	[(4,697),(11,1670),(5,500),(6,1500),(12,808),(7,700),(8,1620),(13,200),(9,1400),(14,40),(10,610),(15,135),(16,20)]
35	[(1,70),(4,697),(11,1670),(5,500),(2,28),(6,1500),(12,808),(7,700),(3,2),(8,1620),(13,200),(9,1400),(14,40),(10,610),(15,135),(16,20)]	[(4,697),(11,1670),(5,500),(6,1500),(12,808),(7,700),(8,1620),(13,200),(9,1400),(14,40),(10,610),(15,135),(16,20)]
36	[(1,70),(4,697),(11,1670),(5,500),(2,28),(6,1500),(12,808),(7,700),(3,2),(8,1620),(13,200),(9,1400),(14,40),(10,610),(15,135),(16,20)]	[(4,697),(11,1670),(5,500),(6,1500),(12,808),(7,700),(8,1620),(13,200),(9,1400),(14,40),(10,610),(15,135),(16,20)]
37	[(1,70),(4,697),(11,1670),(5,500),(2,28),(6,1500),(12,808),(7,700),(3,2),(8,1620),(13,200),(9,1400),(14,40),(10,610),(15,135),(16,20)]	[(4,697),(11,1670),(5,500),(6,1500),(12,808),(7,700),(8,1620),(13,200),(9,1400),(14,40),(10,610),(15,135),(16,20)]
38	[(1,70),(4,697),(11,1670),(5,500),(2,28),(6,1500),(12,808),(7,700),(3,2),(8,1620),(13,200),(9,1400),(14,40),(10,610),(15,135),(16,20)]	[(4,697),(11,1670),(5,500),(6,1500),(12,808),(7,700),(8,1620),(13,200),(9,1400),(14,40),(10,610),(15,135),(16,20)]
39	[(1,70),(4,697),(11,1670),(5,500),(2,28),(6,1500),(12,808),(7,700),(3,2),(8,1620),(13,200),(9,1400),(14,40),(10,610),(15,135),(16,20)]	[(4,697),(11,1670),(5,500),(6,1500),(12,808),(7,700),(8,1620),(13,200),(9,1400),(14,40),(10,610),(15,135),(16,20)]
40	[(1,70),(4,697),(11,1670),(5,500),(2,28),(6,1500),(12,808),(7,700),(3,2),(8,1620),(13,200),(9,1400),(14,40),(10,610),(15,135),(16,20)]	[(4,697),(11,1670),(5,500),(6,1500),(12,808),(7,700),(8,1620),(13,200),(9,1400),(14,40),(10,610),(15,135),(16,20)]
41	[(1,70),(4,697),(11,1670),(5,500),(2,28),(6,1500),(12,808),(7,700),(3,2),(8,1620),(13,200),(9,1400),(14,40),(10,610),(15,135),(16,20)]	[(4,697),(11,1670),(5,500),(6,1500),(12,808),(7,700),(8,1620),(13,200),(9,1400),(14,40),(10,610),(15,135),(16,20)]
42	[(1,70),(4,697),(11,1670),(5,500),(2,28),(6,1500),(12,808),(7,700),(3,2),(8,1620),(13,200),(9,1400),(14,40),(10,610),(15,135),(16,20)]	[(4,697),(11,1670),(5,500),(6,1500),(12,808),(7,700),(8,1620),(13,200),(9,1400),(14,40),(10,610),(15,135),(16,20)]
43	[(1,70),(4,697),(11,1670),(5,500),(2,28),(6,1500),(12,808),(7,700),(3,2),(8,1620),(13,200),(9,1400),(14,40),(10,610),(15,135),(16,20)]	[(4,697),(11,1670),(5,500),(6,1500),(12,808),(7,700),(8,1620),(13,200),(9,1400),(14,40),(10,610),(15,135),(16,20)]
44	[(1,70),(4,697),(11,1670),(5,500),(2,28),(6,1500),(12,808),(7,700),(3,2),(8,1620),(13,200),(9,1400),(14,40),(10,610),(15,135),(16,20)]	[(4,697),(11,1670),(5,500),(6,1500),(12,808),(7,700),(8,1620),(13,200),(9,1400),(14,40),(10,610),(15,135),(16,20)]
45	[(1,70),(4,697),(11,1670),(5,500),(2,28),(6,1500),(12,808),(7,700),(3,2),(8,1620),(13,200),(9,1400),(14,40),(10,610),(15,135),(16,20)]	[(4,697),(11,1670),(5,500),(6,1500),(12,808),(7,700),(8,1620),(13,200),(9,1400),(14,40),(10,610),(15,135),(16,20)]
46	[(1,70),(4,697),(11,1670),(5,500),(2,28),(6,1500),(12,808),(7,700),(3,2),(8,1620),(13,200),(9,1400),(14,40),(10,610),(15,135),(16,20)]	[(4,697),(11,1670),(5,500),(6,1500),(12,808),(7,700),(8,1620),(13,200),(9,1400),(14,40),(10,610),(15,135),(16,20)]
47	[(1,70),(4,697),(11,1670),(5,500),(2,28),(6,1500),(12,808),(7,700),(3,2),(8,1620),(13,200),(9,1400),(14,40),(10,610),(15,135),(16,20)]	[(4,697),(11,1670),(5,500),(6,1500),(12,808),(7,700),(8,1620),(13,200),(9,1400),(14,40),(10,610),(15,135),(16,20)]
48	[(1,70),(4,697),(11,1670),(5,500),(2,28),(6,1500),(12,808),(7,700),(3,2),(8,1620),(13,200),(9,1400),(14,40),(10,610),(15,135),(16,20)]	[(4,697),(11,1670),(5,500),(6,1500),(12,808),(7,700),(8,1620),(13,200),(9,1400),(14,40),(10,610),(15,135),(16,20)]
49	[(1,70),(4,697),(11,1670),(5,500),(2,28),(6,1500),(12,808),(7,700),(3,2),(8,1620),(13,200),(9,1400),(14,40),(10,610),(15,135),(16,20)]	[(4,697),(11,1670),(5,500),(6,1500),(12,808),(7,700),(8,1620),(13,200),(9,1400),(14,40),(10,610),(15,135),(16,20)]
50	[(1,70),(4,697),(11,1670),(5,500),(2,28),(6,1500),(12,808),(7,700),(3,2),(8,1620),(13,200),(9,1400),(14,40),(10,610),(15,135),(16,20)]	[(4,697),(11,1670),(5,500),(6,1500),(12,808),(7,700),(8,1620),(13,200),(9,1400),(14,40),(10,610),(15,135),(16,20)]
51	[(1,70),(4,697),(11,1670),(5,500),(2,28),(6,1500),(12,808),(7,700),(3,2),(8,1620),(13,200),(9,1400),(14,40),(10,610),(15,135),(16,20)]	[(4,697),(11,1670),(5,500),(6,1500),(12,808),(7,700),(8,1620),(13,200),(9,1400),(14,40),(10,610),(15,135),(16,20)]
52	[(1,70),(4,697),(11,1670),(5,500),(2,28),(6,1500),(12,808),(7,700),(3,2),(8,1620),(13,200),(9,1400),(14,40),(10,610),(15,135),(16,20)]	[(4,697),(11,1670),(5,500),(6,1500),(12,808),(7,700),(8,1620),(13,200),(9,1400),(14,40),(10,610),(15,135),(16,20)]
53	[(1,70),(4,697),(11,1670),(5,500),(2,28),(6,1500),(12,808),(7,700),(3,2),(8,1620),(13,200),(9,1400),(14,40),(10,610),(15,135),(16,20)]	[(4,697),(11,1670),(5,500),(6,1500),(12,808),(7,700),(8,1620),(13,200),(9,1400),(14,40),(10,610),(15,135),(16,20)]
54	[(1,70),(4,697),(11,1670),(5,500),(2,28),(6,1500),(12,808),(7,700),(3,2),(8,1620),(13,200),(9,1400),(14,40),(10,610),(15,135),(16,20)]	[(4,697),(11,1670),(5,500),(6,1500),(12,808),(7,700),(8,1620),(13,200),(9,1400),(14,40),(10,610),(15,135),(16,20)]
55	[(1,70),(4,697),(11,1670),(5,500),(2,28),(6,1500),(12,808),(7,700),(3,2),(8,1620),(13,200),(9,1400),(14,40),(10,610),(15,135),(16,20)]	[(4,697),(11,1670),(5,500),(6,1500),(12,808),(7,700),(8,1620),(13,200),(9,1400),(14,40),(10,610),(15,135),(16,20)]
56	[(1,70),(4,697),(11,1670),(5,500),(2,28),(6,1500),(12,808),(7,700),(3,2),(8,1620),(13,200),(9,1400),(14,40),(10,610),(15,135),(16,20)]	[(4,697),(11,1670),(5,500),(6,1500),(12,808),(7,700),(8,1620),(13,200),(9,1400),(14,40),(10,610),(15,135),(16,20)]
57	[(1,70),(4,697),(11,1670),(5,500),(2,28),(6,1500),(12,808),(7,700),(3,2),(8,1620),(13,200),(9,1400),(14,40),(10,610),(15,135),(16,20)]	[(4,697),(11,1670),(5,500),(6,1500),(12,808),(7,700),(8,1620),(13,200),(9,1400),(14,40),(10,610),(15,135),(16,20)]
58	[(1,70),(4,697),(11,1670),(5,500),(2,28),(6,1500),(12,808),(7,700),(3,2),(8,1620),(13,200),(9,1400),(14,40),(10,610),(15,135),(16,20)]	[(4,697),(11,1670),(5,500),(6,1500),(12,808),(7,700),(8,1620),(13,200),(9,1400),(14,40),(10,610),(15,135),(16,20)]
59	[(1,70),(4,697),(11,1670),(5,500),(2,28),(6,1500),(12,808),(7,700),(3,2),(8,1620),(13,200),(9,1400),(14,40),(10,610),(15,135),(16,20)]	[(4,697),(11,1670),(5,500),(6,1500),(12,808),(7,700),(8,1620),(13,200),(9,1400),(14,40),(10,610),(15,135),(16,20)]
60	[(101,70),(104,700),(111,800),(105,500),(102,28),(106,800),(112,800),(107,800),(103,2),(108,1280),(113,1200),(109,800),(114,1200),(110,800),(115,200),(116,20)]	[(104,700),(111,800),(105,500),(106,800),(112,800),(107,800),(108,1280),(113,1200),(109,800),(114,1200),(110,800),(115,200),(116,20)]
61	[(101,70),(104,700),(111,800),(105,500),(102,28),(106,800),(112,800),(107,800),(103,2),(108,1280),(113,1200),(109,800),(114,1200),(110,800),(115,200),(116,20)]	[(104,700),(111,800),(105,500),(106,800),(112,800),(107,800),(108,1280),(113,1200),(109,800),(114,1200),(110,800),(115,200),(116,20)]
62	[(101,70),(104,700),(111,800),(105,500),(102,28),(106,800),(112,800),(107,800),(103,2),(108,1280),(113,1200),(109,800),(114,1200),(110,800),(115,200),(116,20)]	[(104,700),(111,800),(105,500),(106,800),(112,800),(107,800),(108,1280),(113,1200),(109,800),(114,1200),(110,800),(115,200),(116,20)]
63	[(101,70),(104,700),(111,800),(105,500),(102,28),(106,800),(112,800),(107,800),(103,2),(108,1280),(113,1200),(109,800),(114,1200),(110,800),(115,200),(116,20)]	[(104,700),(111,800),(105,500),(106,800),(112,800),(107,800),(108,1280),(113,1200),(109,800),(114,1200),(110,800),(115,200),(116,20)]
64	[(101,70),(104,700),(111,800),(105,500),(102,28),(106,800),(112,800),(107,800),(103,2),(108,1280),(113,1200),(109,800),(114,1200),(110,800),(115,200),(116,20)]	[(104,700),(111,800),(105,500),(106,800),(112,800),(107,800),(108,1280),(113,1200),(109,800),(114,1200),(110,800),(115,200),(116,20)]
65	[(101,70),(104,700),(111,800),(105,500),(102,28),(106,800),(112,800),(107,800),(103,2),(108,1280),(113,1200),(109,800),(114,1200),(110,800),(115,200),(116,20)]	[(104,700),(111,800),(105,500),(106,800),(112,800),(107,800),(108,1280),(113,1200),(109,800),(114,1200),(110,800),(115,200),(116,20)]
66	[(101,70),(104,700),(111,800),(105,500),(102,28),(106,800),(112,800),(107,800),(103,2),(108,1280),(113,1200),(109,800),(114,1200),(110,800),(115,200),(116,20)]	[(104,700),(111,800),(105,500),(106,800),(112,800),(107,800),(108,1280),(113,1200),(109,800),(114,1200),(110,800),(115,200),(116,20)]
67	[(101,70),(104,700),(111,800),(105,500),(102,28),(106,800),(112,800),(107,800),(103,2),(108,1280),(113,1200),(109,800),(114,1200),(110,800),(115,200),(116,20)]	[(104,700),(111,800),(105,500),(106,800),(112,800),(107,800),(108,1280),(113,1200),(109,800),(114,1200),(110,800),(115,200),(116,20)]
68	[(101,70),(104,700),(111,800),(105,500),(102,28),(106,800),(112,800),(107,800),(103,2),(108,1280),(113,1200),(109,800),(114,1200),(110,800),(115,200),(116,20)]	[(104,700),(111,800),(105,500),(106,800),(112,800),(107,800),(108,1280),(113,1200),(109,800),(114,1200),(110,800),(115,200),(116,20)]
69	[(101,70),(104,700),(111,800),(105,500),(102,28),(106,800),(112,800),(107,800),(103,2),(108,1280),(113,1200),(109,800),(114,1200),(110,800),(115,200),(116,20)]	[(104,700),(111,800),(105,500),(106,800),(112,800),(107,800),(108,1280),(113,1200),(109,800),(114,1200),(110,800),(115,200),(116,20)]
70	[(101,70),(104,700),(111,800),(105,500),(102,28),(106,800),(112,800),(107,800),(103,2),(108,1280),(113,1200),(109,800),(114,1200),(110,800),(115,200),(116,20)]	[(104,700),(111,800),(105,500),(106,800),(112,800),(107,800),(108,1280),(113,1200),(109,800),(114,1200),(110,800),(115,200),(116,20)]
71	[(101,70),(104,700),(111,800),(105,500),(102,28),(106,800),(112,800),(107,800),(103,2),(108,1280),(113,1200),(109,800),(114,1200),(110,800),(115,200),(116,20)]	[(104,700),(111,800),(105,500),(106,800),(112,800),(107,800),(108,1280),(113,1200),(109,800),(114,1200),(110,800),(115,200),(116,20)]
72	[(101,70),(104,700),(111,800),(105,500),(102,28),(106,800),(112,800),(107,800),(103,2),(108,1280),(113,1200),(109,800),(114,1200),(110,800),(115,200),(116,20)]	[(104,700),(111,800),(105,500),(106,800),(112,800),(107,800),(108,1280),(113,1200),(109,800),(114,1200),(110,800),(115,200),(116,20)]
73	[(101,70),(104,700),(111,800),(105,500),(102,28),(106,800),(112,800),(107,800),(103,2),(108,1280),(113,1200),(109,800),(114,1200),(110,800),(115,200),(116,20)]	[(104,700),(111,800),(105,500),(106,800),(112,800),(107,800),(108,1280),(113,1200),(109,800),(114,1200),(110,800),(115,200),(116,20)]
74	[(101,70),(104,700),(111,800),(105,500),(102,28),(106,800),(112,800),(107,800),(103,2),(108,1280),(113,1200),(109,800),(114,1200),(110,800),(115,200),(116,20)]	[(104,700),(111,800),(105,500),(106,800),(112,800),(107,800),(108,1280),(113,1200),(109,800),(114,1200),(110,800),(115,200),(116,20)]
75	[(101,70),(104,700),(111,800),(105,500),(102,28),(106,800),(112,800),(107,800),(103,2),(108,1280),(113,1200),(109,800),(114,1200),(110,800),(115,200),(116,20)]	[(104,700),(111,800),(105,500),(106,800),(112,800),(107,800),(108,1280),(113,1200),(109,800),(114,1200),(110,800),(115,200),(116,20)]
76	[(101,70),(104,700),(111,800),(105,500),(102,28),(106,800),(112,800),(107,800),(103,2),(108,1280),(113,1200),(109,800),(114,1200),(110,800),(115,200),(116,20)]	[(104,700),(111,800),(105,500),(106,800),(112,800),(107,800),(108,1280),(113,1200),(109,800),(114,1200),(110,800),(115,200),(116,20)]
77	[(101,70),(104,700),(111,800),(105,500),(102,28),(106,800),(112,800),(107,800),(103,2),(108,1280),(113,1200),(109,800),(114,1200),(110,800),(115,200),(116,20)]	[(104,700),(111,800),(105,500),(106,800),(112,800),(107,800),(108,1280),(113,1200),(109,800),(114,1200),(110,800),(115,200),(116,20)]
78	[(101,70),(104,700),(111,800),(105,500),(102,28),(106,800),(112,800),(107,800),(103,2),(108,1280),(113,1200),(109,800),(114,1200),(110,800),(115,200),(116,20)]	[(104,700),(111,800),(105,500),(106,800),(112,800),(107,800),(108,1280),(113,1200),(109,800),(114,1200),(110,800),(115,200),(116,20)]
79	[(101,70),(104,700),(111,800),(105,500),(102,28),(106,800),(112,800),(107,800),(103,2),(108,1280),(113,1200),(109,800),(114,1200),(110,800),(115,200),(116,20)]	[(104,700),(111,800),(105,500),(106,800),(112,800),(107,800),(108,1280),(113,1200),(109,800),(114,1200),(110,800),(115,200),(116,20)]
80	[(201,70),(204,800),(211,1400),(205,500),(202,28),(206,900),(212,200),(207,900),(203,2),(208,800),(213,800),(209,1400),(216,20),(214,900),(210,1240),(215,40)]	[(204,800),(211,1400),(205,500),(206,900),(212,200),(207,900),(208,800),(213,800),(209,1400),(216,20),(214,900),(210,1240),(215,40)]
81	[(201,70),(204,800),(211,1400),(205,500),(202,28),(206,900),(212,200),(207,900),(203,2),(208,800),(213,800),(209,1400),(216,20),(214,900),(210,1240),(215,40)]	[(204,800),(211,1400),(205,500),(206,900),(212,200),(207,900),(208,800),(213,800),(209,1400),(216,20),(214,900),(210,1240),(215,40)]
82	[(201,70),(204,800),(211,1400),(205,500),(202,28),(206,900),(212,200),(207,900),(203,2),(208,800),(213,800),(209,1400),(216,20),(214,900),(210,1240),(215,40)]	[(204,800),(211,1400),(205,500),(206,900),(212,200),(207,900),(208,800),(213,800),(209,1400),(216,20),(214,900),(210,1240),(215,40)]
83	[(201,70),(204,800),(211,1400),(205,500),(202,28),(206,900),(212,200),(207,900),(203,2),(208,800),(213,800),(209,1400),(216,20),(214,900),(210,1240),(215,40)]	[(204,800),(211,1400),(205,500),(206,900),(212,200),(207,900),(208,800),(213,800),(209,1400),(216,20),(214,900),(210,1240),(215,40)]
84	[(201,70),(204,800),(211,1400),(205,500),(202,28),(206,900),(212,200),(207,900),(203,2),(208,800),(213,800),(209,1400),(216,20),(214,900),(210,1240),(215,40)]	[(204,800),(211,1400),(205,500),(206,900),(212,200),(207,900),(208,800),(213,800),(209,1400),(216,20),(214,900),(210,1240),(215,40)]
85	[(201,70),(204,800),(211,1400),(205,500),(202,28),(206,900),(212,200),(207,900),(203,2),(208,800),(213,800),(209,1400),(216,20),(214,900),(210,1240),(215,40)]	[(204,800),(211,1400),(205,500),(206,900),(212,200),(207,900),(208,800),(213,800),(209,1400),(216,20),(214,900),(210,1240),(215,40)]
86	[(201,70),(204,800),(211,1400),(205,500),(202,28),(206,900),(212,200),(207,900),(203,2),(208,800),(213,800),(209,1400),(216,20),(214,900),(210,1240),(215,40)]	[(204,800),(211,1400),(205,500),(206,900),(212,200),(207,900),(208,800),(213,800),(209,1400),(216,20),(214,900),(210,1240),(215,40)]
