buffType	buffLevel	maxLevel	buffName	pctValue	absValue	des	key
2	20	20	20级生命神力	16000	800000	生命上限提升160%，再额外增加800000点	5
3	0	20	0级暴击神力	0	0	暴击提升0点	3
3	1	20	1级暴击神力	0	1500	暴击提升1500点	3
3	2	20	2级暴击神力	0	3000	暴击提升3000点	3
3	3	20	3级暴击神力	0	4500	暴击提升4500点	3
3	4	20	4级暴击神力	0	6000	暴击提升6000点	3
3	5	20	5级暴击神力	0	7500	暴击提升7500点	3
3	6	20	6级暴击神力	0	9000	暴击提升9000点	3
3	7	20	7级暴击神力	0	10500	暴击提升10500点	3
3	8	20	8级暴击神力	0	12000	暴击提升12000点	3
3	9	20	9级暴击神力	0	13500	暴击提升13500点	3
3	10	20	10级暴击神力	0	15000	暴击提升15000点	3
3	11	20	11级暴击神力	0	16500	暴击提升16500点	3
3	12	20	12级暴击神力	0	18000	暴击提升18000点	3
3	13	20	13级暴击神力	0	19500	暴击提升19500点	3
3	14	20	14级暴击神力	0	21000	暴击提升21000点	3
3	15	20	15级暴击神力	0	22500	暴击提升22500点	3
3	16	20	16级暴击神力	0	24000	暴击提升24000点	3
3	17	20	17级暴击神力	0	25500	暴击提升25500点	3
3	18	20	18级暴击神力	0	27000	暴击提升27000点	3
3	19	20	19级暴击神力	0	28500	暴击提升28500点	3
3	20	20	20级暴击神力	0	30000	暴击提升30000点	3
4	0	20	0级破挡神力	0	0	破挡增加0点	2
4	1	20	1级破挡神力	0	1500	破挡增加1500点	2
4	2	20	2级破挡神力	0	3000	破挡增加3000点	2
4	3	20	3级破挡神力	0	4500	破挡增加4500点	2
4	4	20	4级破挡神力	0	6000	破挡增加6000点	2
4	5	20	5级破挡神力	0	7500	破挡增加7500点	2
4	6	20	6级破挡神力	0	9000	破挡增加9000点	2
4	7	20	7级破挡神力	0	10500	破挡增加10500点	2
4	8	20	8级破挡神力	0	12000	破挡增加12000点	2
4	9	20	9级破挡神力	0	13500	破挡增加13500点	2
4	10	20	10级破挡神力	0	15000	破挡增加15000点	2
4	11	20	11级破挡神力	0	16500	破挡增加16500点	2
4	12	20	12级破挡神力	0	18000	破挡增加18000点	2
4	13	20	13级破挡神力	0	19500	破挡增加19500点	2
4	14	20	14级破挡神力	0	21000	破挡增加21000点	2
4	15	20	15级破挡神力	0	22500	破挡增加22500点	2
4	16	20	16级破挡神力	0	24000	破挡增加24000点	2
4	17	20	17级破挡神力	0	25500	破挡增加25500点	2
4	18	20	18级破挡神力	0	27000	破挡增加27000点	2
4	19	20	19级破挡神力	0	28500	破挡增加28500点	2
4	20	20	20级破挡神力	0	30000	破挡增加30000点	2
5	0	20	0级破防神力	0	0	破防增加0点	1
5	1	20	1级破防神力	0	500	破防增加500点	1
5	2	20	2级破防神力	0	1000	破防增加1000点	1
5	3	20	3级破防神力	0	1500	破防增加1500点	1
5	4	20	4级破防神力	0	2000	破防增加2000点	1
5	5	20	5级破防神力	0	2500	破防增加2500点	1
5	6	20	6级破防神力	0	3000	破防增加3000点	1
5	7	20	7级破防神力	0	3500	破防增加3500点	1
5	8	20	8级破防神力	0	4000	破防增加4000点	1
5	9	20	9级破防神力	0	4500	破防增加4500点	1
5	10	20	10级破防神力	0	5000	破防增加5000点	1
5	11	20	11级破防神力	0	5500	破防增加5500点	1
5	12	20	12级破防神力	0	6000	破防增加6000点	1
5	13	20	13级破防神力	0	6500	破防增加6500点	1
5	14	20	14级破防神力	0	7000	破防增加7000点	1
5	15	20	15级破防神力	0	7500	破防增加7500点	1
5	16	20	16级破防神力	0	8000	破防增加8000点	1
5	17	20	17级破防神力	0	8500	破防增加8500点	1
5	18	20	18级破防神力	0	9000	破防增加9000点	1
5	19	20	19级破防神力	0	9500	破防增加9500点	1
5	20	20	20级破防神力	0	10000	破防增加10000点	1
