dayIndex	rewardIndex	levelRangeId	rewardItems	rewardBindRMB	rewardMoney	rewardPreview	totalRewardItems
1	6	4	[(28375,3000),(27939,50),(27492,1),(27042,35),(27570,100)]	6000	0	[(25829,6000),(28375,3000),(27939,50),(27492,1),(27042,35),(27570,100)]	[(25829,20000),(28375,10000),(27939,50),(27492,1),(27042,110),(27570,340)]
1	7	4	[(28375,10000),(27939,50),(27492,1),(27042,150),(27570,400)]	20000	0	[(25829,20000),(28375,10000),(27939,50),(27492,1),(27042,150),(27570,400)]	[(25829,60000),(28375,30000),(27939,150),(27492,1),(27042,440),(27570,1340)]
1	8	4	[(28375,16000),(27939,75),(27492,1),(27042,240),(27570,700)]	32000	0	[(25829,32000),(28375,16000),(27939,75),(27492,1),(27042,240),(27570,700)]	[(25829,100000),(28375,50000),(27939,250),(27492,2),(27042,725),(27570,2180)]
1	9	4	[(28375,25000),(27939,120),(27492,1),(27042,300),(27570,1000)]	50000	0	[(25829,50000),(28375,25000),(27939,120),(27492,1),(27042,300),(27570,1000)]	[(25829,160000),(28375,80000),(27939,400),(27492,2),(27042,950),(27570,3000)]
1	10	4	[(28375,30000),(27939,150),(27493,1),(27042,350),(27570,1000)]	60000	0	[(25829,60000),(28375,30000),(27939,150),(27493,1),(27042,350),(27570,1000)]	[(25829,200000),(28375,100000),(27939,500),(27493,2),(27042,1050),(27570,3200)]
1	11	4	[(28375,40000),(27939,200),(27493,1),(27042,450),(27570,1400)]	80000	0	[(25829,80000),(28375,40000),(27939,200),(27493,1),(27042,450),(27570,1400)]	[(25829,240000),(28375,120000),(27939,600),(27493,2),(27042,1400),(27570,4200)]
1	12	4	[(28375,50000),(27939,250),(27493,1),(27042,600),(27570,1900)]	100000	0	[(25829,100000),(28375,50000),(27939,250),(27493,1),(27042,600),(27570,1900)]	[(25829,300000),(28375,150000),(27939,750),(27493,2),(27042,1900),(27570,5700)]
1	13	4	[(28375,60000),(27939,300),(27493,1),(27042,700),(27570,2100)]	120000	0	[(25829,120000),(28375,60000),(27939,300),(27493,1),(27042,700),(27570,2100)]	[(25829,360000),(28375,180000),(27939,900),(27493,3),(27042,2100),(27570,6300)]
1	14	4	[(28375,60000),(27939,325),(27493,2),(27042,700),(27570,2100)]	120000	0	[(25829,120000),(28375,60000),(27939,325),(27493,2),(27042,700),(27570,2100)]	[(25829,400000),(28375,200000),(27939,1000),(27493,4),(27042,2100),(27570,6400)]
1	15	4	[(28375,160000),(27939,750),(27493,2),(27042,2200),(27570,6000)]	320000	0	[(25829,320000),(28375,160000),(27939,750),(27493,2),(27042,2200),(27570,6000)]	[(25829,1000000),(28375,500000),(27939,2500),(27493,5),(27042,6800),(27570,20000)]
2	1	1	[(28375,100),(25600,5),(26344,5)]	200	0	[(25829,200),(28375,100),(25600,5),(26344,5)]	[(25829,700),(28375,350),(27939,3),(25600,17),(26344,17)]
2	2	1	[(28375,250),(25600,10),(26344,10)]	500	0	[(25829,500),(28375,250),(25600,10),(26344,10)]	[(25829,1600),(28375,800),(27939,5),(25600,40),(26344,40)]
2	3	1	[(28375,600),(25600,30),(26344,30)]	1200	0	[(25829,1200),(28375,600),(25600,30),(26344,30)]	[(25829,3600),(28375,1800),(27939,10),(25600,90),(26344,90)]
2	4	1	[(28375,1600),(25600,50),(26344,50)]	3200	0	[(25829,3200),(28375,1600),(25600,50),(26344,50)]	[(25829,10000),(28375,5000),(27939,25),(25600,150),(26344,150)]
2	5	1	[(28375,2500),(25600,50),(26344,50)]	5000	0	[(25829,5000),(28375,2500),(25600,50),(26344,50)]	[(25829,16000),(28375,8000),(27939,40),(26638,1),(25600,150),(26344,150)]
2	6	1	[(28375,3000),(25600,75),(26344,75)]	6000	0	[(25829,6000),(28375,3000),(25600,75),(26344,75)]	[(25829,20000),(28375,10000),(27939,50),(26638,1),(25600,250),(26344,250)]
2	7	1	[(28375,10000),(27939,50),(26643,1),(25600,250),(26344,250)]	20000	0	[(25829,20000),(28375,10000),(27939,50),(26643,1),(25600,250),(26344,250)]	[(25829,60000),(28375,30000),(27939,150),(26643,2),(25600,800),(26344,800)]
2	8	1	[(28375,16000),(27939,75),(26643,1),(25600,600),(26344,600)]	32000	0	[(25829,32000),(28375,16000),(27939,75),(26643,1),(25600,600),(26344,600)]	[(25829,100000),(28375,50000),(27939,250),(26643,2),(25600,1800),(26344,1800)]
2	9	1	[(28375,25000),(27939,120),(26643,1),(25600,900),(26344,900)]	50000	0	[(25829,50000),(28375,25000),(27939,120),(26643,1),(25600,900),(26344,900)]	[(25829,160000),(28375,80000),(27939,400),(26643,3),(25600,2950),(26344,2950)]
2	10	1	[(28375,30000),(27939,150),(26643,1),(25600,1200),(26344,1200)]	60000	0	[(25829,60000),(28375,30000),(27939,150),(26643,1),(25600,1200),(26344,1200)]	[(25829,200000),(28375,100000),(27939,500),(26643,3),(25600,3950),(26344,3950)]
2	11	1	[(28375,40000),(27939,200),(26644,1),(25600,1500),(26344,1500)]	80000	0	[(25829,80000),(28375,40000),(27939,200),(26644,1),(25600,1500),(26344,1500)]	[(25829,240000),(28375,120000),(27939,600),(26644,3),(25600,4650),(26344,4650)]
2	12	1	[(28375,50000),(27939,250),(26644,1),(25600,2000),(26344,2000)]	100000	0	[(25829,100000),(28375,50000),(27939,250),(26644,1),(25600,2000),(26344,2000)]	[(25829,300000),(28375,150000),(27939,750),(26644,3),(25600,6150),(26344,6150)]
2	13	1	[(28375,60000),(27939,300),(26644,1),(25600,2400),(26344,2400)]	120000	0	[(25829,120000),(28375,60000),(27939,300),(26644,1),(25600,2400),(26344,2400)]	[(25829,360000),(28375,180000),(27939,900),(26644,4),(25600,7200),(26344,7200)]
2	14	1	[(28375,60000),(27939,325),(26644,2),(25600,2500),(26344,2500)]	120000	0	[(25829,120000),(28375,60000),(27939,325),(26644,2),(25600,2500),(26344,2500)]	[(25829,400000),(28375,200000),(27939,1000),(26644,5),(25600,7750),(26344,7750)]
2	15	1	[(28375,160000),(27939,750),(26644,3),(25600,6500),(26344,6500)]	320000	0	[(25829,320000),(28375,160000),(27939,750),(26644,3),(25600,6500),(26344,6500)]	[(25829,1000000),(28375,500000),(27939,2500),(26644,9),(25600,20000),(26344,20000)]
2	1	2	[(28375,100)]	200	0	[(25829,200),(28375,100)]	[(25829,700),(28375,350),(27939,3),(26936,15),(26934,8)]
2	2	2	[(28375,250)]	500	0	[(25829,500),(28375,250)]	[(25829,1600),(28375,800),(27939,5),(26936,40),(26934,20)]
2	3	2	[(28375,600)]	1200	0	[(25829,1200),(28375,600)]	[(25829,3600),(28375,1800),(27939,10),(26936,90),(26934,45)]
2	4	2	[(28375,1600),(26936,100),(26934,40)]	3200	0	[(25829,3200),(28375,1600),(26936,100),(26934,40)]	[(25829,10000),(28375,5000),(27939,25),(26936,250),(26934,125)]
2	5	2	[(28375,2500),(26936,100),(26934,40)]	5000	0	[(25829,5000),(28375,2500),(26936,100),(26934,40)]	[(25829,16000),(28375,8000),(27939,40),(26608,1),(26936,300),(26934,125)]
2	6	2	[(28375,3000),(26936,120),(26934,50)]	6000	0	[(25829,6000),(28375,3000),(26936,120),(26934,50)]	[(25829,20000),(28375,10000),(27939,50),(26608,1),(26936,400),(26934,170)]
2	7	2	[(28375,10000),(27939,50),(26936,400),(26934,200)]	20000	0	[(25829,20000),(28375,10000),(27939,50),(26936,400),(26934,200)]	[(25829,60000),(28375,30000),(27939,150),(28253,1),(26936,1200),(26934,670)]
2	8	2	[(28375,16000),(27939,75),(26936,700),(26934,300)]	32000	0	[(25829,32000),(28375,16000),(27939,75),(26936,700),(26934,300)]	[(25829,100000),(28375,50000),(27939,250),(28253,1),(26936,2200),(26934,1090)]
2	9	2	[(28375,25000),(27939,120),(28253,1),(26936,1100),(26934,500)]	50000	0	[(25829,50000),(28375,25000),(27939,120),(28253,1),(26936,1100),(26934,500)]	[(25829,160000),(28375,80000),(27939,400),(28253,2),(26936,3400),(26934,1500)]
2	10	2	[(28375,30000),(27939,150),(28253,1),(26936,1400),(26934,500)]	60000	0	[(25829,60000),(28375,30000),(27939,150),(28253,1),(26936,1400),(26934,500)]	[(25829,200000),(28375,100000),(27939,500),(28253,2),(26936,4400),(26934,1600)]
2	11	2	[(28375,40000),(27939,200),(28254,1),(26936,1700),(26934,700)]	80000	0	[(25829,80000),(28375,40000),(27939,200),(28254,1),(26936,1700),(26934,700)]	[(25829,240000),(28375,120000),(27939,600),(28254,2),(26936,5200),(26934,2100)]
2	12	2	[(28375,50000),(27939,250),(28254,1),(26936,2100),(26934,900)]	100000	0	[(25829,100000),(28375,50000),(27939,250),(28254,1),(26936,2100),(26934,900)]	[(25829,300000),(28375,150000),(27939,750),(28254,3),(26936,6300),(26934,2850)]
2	13	2	[(28375,60000),(27939,300),(28254,1),(26936,2400),(26934,1000)]	120000	0	[(25829,120000),(28375,60000),(27939,300),(28254,1),(26936,2400),(26934,1000)]	[(25829,360000),(28375,180000),(27939,900),(28254,4),(26936,7400),(26934,3150)]
2	14	2	[(28375,60000),(27939,325),(28254,2),(26936,2500),(26934,1200)]	120000	0	[(25829,120000),(28375,60000),(27939,325),(28254,2),(26936,2500),(26934,1200)]	[(25829,400000),(28375,200000),(27939,1000),(28254,5),(26936,8000),(26934,3650)]
2	15	2	[(28375,160000),(27939,750),(28254,3),(26936,7000),(26934,3000)]	320000	0	[(25829,320000),(28375,160000),(27939,750),(28254,3),(26936,7000),(26934,3000)]	[(25829,1000000),(28375,500000),(27939,2500),(28254,8),(26936,21000),(26934,10000)]
2	1	3	[(28375,100)]	200	0	[(25829,200),(28375,100)]	[(25829,700),(28375,350),(27939,3),(26677,8),(26934,8)]
2	2	3	[(28375,250)]	500	0	[(25829,500),(28375,250)]	[(25829,1600),(28375,800),(27939,5),(26677,20),(26934,20)]
2	3	3	[(28375,600)]	1200	0	[(25829,1200),(28375,600)]	[(25829,3600),(28375,1800),(27939,10),(26677,45),(26934,45)]
2	4	3	[(28375,1600),(26677,40),(26934,40)]	3200	0	[(25829,3200),(28375,1600),(26677,40),(26934,40)]	[(25829,10000),(28375,5000),(27939,25),(26677,125),(26934,125)]
2	5	3	[(28375,2500),(26677,40),(26934,40)]	5000	0	[(25829,5000),(28375,2500),(26677,40),(26934,40)]	[(25829,16000),(28375,8000),(27939,40),(27492,1),(26677,125),(26934,125)]
2	6	3	[(28375,3000),(26677,50),(26934,50)]	6000	0	[(25829,6000),(28375,3000),(26677,50),(26934,50)]	[(25829,20000),(28375,10000),(27939,50),(27492,1),(26677,170),(26934,170)]
2	7	3	[(28375,10000),(27939,50),(26677,200),(26934,200)]	20000	0	[(25829,20000),(28375,10000),(27939,50),(26677,200),(26934,200)]	[(25829,60000),(28375,30000),(27939,150),(27492,1),(26677,670),(26934,670)]
2	8	3	[(28375,16000),(27939,75),(27492,1),(26677,300),(26934,300)]	32000	0	[(25829,32000),(28375,16000),(27939,75),(27492,1),(26677,300),(26934,300)]	[(25829,100000),(28375,50000),(27939,250),(27492,2),(26677,1090),(26934,1090)]
2	9	3	[(28375,25000),(27939,120),(27492,1),(26677,500),(26934,500)]	50000	0	[(25829,50000),(28375,25000),(27939,120),(27492,1),(26677,500),(26934,500)]	[(25829,160000),(28375,80000),(27939,400),(27492,2),(26677,1500),(26934,1500)]
2	10	3	[(28375,30000),(27939,150),(27493,1),(26677,500),(26934,500)]	60000	0	[(25829,60000),(28375,30000),(27939,150),(27493,1),(26677,500),(26934,500)]	[(25829,200000),(28375,100000),(27939,500),(27493,2),(26677,1600),(26934,1600)]
2	11	3	[(28375,40000),(27939,200),(27493,1),(26677,700),(26934,700)]	80000	0	[(25829,80000),(28375,40000),(27939,200),(27493,1),(26677,700),(26934,700)]	[(25829,240000),(28375,120000),(27939,600),(27493,2),(26677,2100),(26934,2100)]
2	12	3	[(28375,50000),(27939,250),(27493,1),(26677,900),(26934,900)]	100000	0	[(25829,100000),(28375,50000),(27939,250),(27493,1),(26677,900),(26934,900)]	[(25829,300000),(28375,150000),(27939,750),(27493,2),(26677,2850),(26934,2850)]
2	13	3	[(28375,60000),(27939,300),(27493,1),(26677,1000),(26934,1000)]	120000	0	[(25829,120000),(28375,60000),(27939,300),(27493,1),(26677,1000),(26934,1000)]	[(25829,360000),(28375,180000),(27939,900),(27493,3),(26677,3150),(26934,3150)]
2	14	3	[(28375,60000),(27939,325),(27493,1),(26677,1200),(26934,1200)]	120000	0	[(25829,120000),(28375,60000),(27939,325),(27493,1),(26677,1200),(26934,1200)]	[(25829,400000),(28375,200000),(27939,1000),(27493,4),(26677,3650),(26934,3650)]
2	15	3	[(28375,160000),(27939,750),(27493,2),(26677,3000),(26934,3000)]	320000	0	[(25829,320000),(28375,160000),(27939,750),(27493,2),(26677,3000),(26934,3000)]	[(25829,1000000),(28375,500000),(27939,2500),(27493,5),(26677,10000),(26934,10000)]
2	1	4	[(28375,100)]	200	0	[(25829,200),(28375,100)]	[(25829,700),(28375,350),(27939,3),(27042,5),(27570,15)]
2	2	4	[(28375,250)]	500	0	[(25829,500),(28375,250)]	[(25829,1600),(28375,800),(27939,5),(27042,12),(27570,40)]
2	3	4	[(28375,600),(27042,15),(27570,50)]	1200	0	[(25829,1200),(28375,600),(27042,15),(27570,50)]	[(25829,3600),(28375,1800),(27939,10),(27042,30),(27570,90)]
2	4	4	[(28375,1600),(27042,25),(27570,80)]	3200	0	[(25829,3200),(28375,1600),(27042,25),(27570,80)]	[(25829,10000),(28375,5000),(27939,25),(27042,80),(27570,240)]
2	5	4	[(28375,2500),(27042,25),(27570,80)]	5000	0	[(25829,5000),(28375,2500),(27042,25),(27570,80)]	[(25829,16000),(28375,8000),(27939,40),(27492,1),(27042,80),(27570,240)]
2	6	4	[(28375,3000),(27042,35),(27570,100)]	6000	0	[(25829,6000),(28375,3000),(27042,35),(27570,100)]	[(25829,20000),(28375,10000),(27939,50),(27492,1),(27042,110),(27570,340)]
2	7	4	[(28375,10000),(27939,50),(27042,140),(27570,400)]	20000	0	[(25829,20000),(28375,10000),(27939,50),(27042,140),(27570,400)]	[(25829,60000),(28375,30000),(27939,150),(27492,1),(27042,440),(27570,1340)]
2	8	4	[(28375,16000),(27939,75),(27492,1),(27042,240),(27570,700)]	32000	0	[(25829,32000),(28375,16000),(27939,75),(27492,1),(27042,240),(27570,700)]	[(25829,100000),(28375,50000),(27939,250),(27492,2),(27042,725),(27570,2180)]
2	9	4	[(28375,25000),(27939,120),(27492,1),(27042,300),(27570,1000)]	50000	0	[(25829,50000),(28375,25000),(27939,120),(27492,1),(27042,300),(27570,1000)]	[(25829,160000),(28375,80000),(27939,400),(27492,2),(27042,950),(27570,3000)]
2	10	4	[(28375,30000),(27939,150),(27493,1),(27042,350),(27570,1000)]	60000	0	[(25829,60000),(28375,30000),(27939,150),(27493,1),(27042,350),(27570,1000)]	[(25829,200000),(28375,100000),(27939,500),(27493,2),(27042,1050),(27570,3200)]
2	11	4	[(28375,40000),(27939,200),(27493,1),(27042,450),(27570,1400)]	80000	0	[(25829,80000),(28375,40000),(27939,200),(27493,1),(27042,450),(27570,1400)]	[(25829,240000),(28375,120000),(27939,600),(27493,2),(27042,1400),(27570,4200)]
2	12	4	[(28375,50000),(27939,250),(27493,1),(27042,600),(27570,1900)]	100000	0	[(25829,100000),(28375,50000),(27939,250),(27493,1),(27042,600),(27570,1900)]	[(25829,300000),(28375,150000),(27939,750),(27493,2),(27042,1900),(27570,5700)]
