rewardId	big_type	toll_gate_level	little_type	ifboss	money	rate1	itemCoding1	cnt1	rate2	itemCoding2	cnt2	rate3	itemCoding3	cnt3	rate4	itemCoding4	cnt4	rate5	itemCoding5	cnt5
284	1	28	翻牌	0	0	7200	26451	1	2000	26451	2	600	26451	4	100	26451	2	100	26457	2
291	1	29	第一场战斗	0	0	9950	26457	5	0	0	0	0	0	0	0	0	0	0	0	0
292	1	29	第二场战斗	0	0	9950	26457	6	0	0	0	0	0	0	0	0	0	0	0	0
293	1	29	boss战斗	1	0	9950	26457	8	0	0	0	0	0	0	0	0	0	0	0	0
294	1	29	翻牌	0	0	7200	26451	1	2000	26451	2	600	26451	4	100	26451	2	100	26457	2
301	1	30	第一场战斗	0	0	9950	26457	6	0	0	0	0	0	0	0	0	0	0	0	0
302	1	30	第二场战斗	0	0	9950	26457	6	0	0	0	0	0	0	0	0	0	0	0	0
303	1	30	boss战斗	1	0	9950	26457	8	0	0	0	0	0	0	0	0	0	0	0	0
304	1	30	翻牌	0	0	7200	26451	1	2000	26451	2	600	26451	4	100	26451	2	100	26457	2
311	1	31	第一场战斗	0	0	9950	26457	6	0	0	0	0	0	0	0	0	0	0	0	0
312	1	31	第二场战斗	0	0	9950	26457	6	0	0	0	0	0	0	0	0	0	0	0	0
313	1	31	boss战斗	1	0	9950	26457	8	0	0	0	0	0	0	0	0	0	0	0	0
314	1	31	翻牌	0	0	7200	26451	1	2000	26451	2	600	26451	4	100	26451	2	100	26457	2
321	1	32	第一场战斗	0	0	9950	26457	6	0	0	0	0	0	0	0	0	0	0	0	0
322	1	32	第二场战斗	0	0	9950	26457	7	0	0	0	0	0	0	0	0	0	0	0	0
323	1	32	boss战斗	1	0	9950	26457	9	0	0	0	0	0	0	0	0	0	0	0	0
324	1	32	翻牌	0	0	7200	26451	1	2000	26451	2	600	26451	4	100	26451	2	100	26457	2
331	1	33	第一场战斗	0	0	9950	26457	6	0	0	0	0	0	0	0	0	0	0	0	0
332	1	33	第二场战斗	0	0	9950	26457	7	0	0	0	0	0	0	0	0	0	0	0	0
333	1	33	boss战斗	1	0	9950	26457	10	0	0	0	0	0	0	0	0	0	0	0	0
334	1	33	翻牌	0	0	7200	26451	1	2000	26451	2	600	26451	4	100	26451	2	100	26457	2
341	1	34	第一场战斗	0	0	9950	26457	7	0	0	0	0	0	0	0	0	0	0	0	0
342	1	34	第二场战斗	0	0	9950	26457	8	0	0	0	0	0	0	0	0	0	0	0	0
343	1	34	boss战斗	1	0	9950	26457	10	0	0	0	0	0	0	0	0	0	0	0	0
344	1	34	翻牌	0	0	7200	26451	1	2000	26451	2	600	26451	4	100	26451	2	100	26457	2
351	1	35	第一场战斗	0	0	9950	26457	7	0	0	0	0	0	0	0	0	0	0	0	0
352	1	35	第二场战斗	0	0	9950	26457	8	0	0	0	0	0	0	0	0	0	0	0	0
353	1	35	boss战斗	1	0	9950	26457	10	0	0	0	0	0	0	0	0	0	0	0	0
354	1	35	翻牌	0	0	7200	26451	1	2000	26451	2	600	26451	4	100	26451	2	100	26457	2
