zjID	fbId	index	fbName	FbImg	sceneId	needLevel	posX	posY	Monster1	x1	y1	face1	reward1	camp1	fight1	Monster2	x2	y2	face2	reward2	camp2	fight2	Monster3	x3	y3	face3	reward3	camp3	fight3	mc1	mc2	mc3	rewardId	jlyl	ljyl
3	17	2	白龙	30032	58	105	236	234	11017	265	638	0	171	12161	39	11017	748	687	0	172	12162	39	11038	1287	441	0	173	12163	39	(11017,265,638,0,171,12161,39)	(11017,748,687,0,172,12162,39)	(11038,1287,441,0,173,12163,39)	174	[26451,26456]	[26451,1～9]
3	18	3	红龙	30033	57	110	241	234	11018	473	591	0	181	12171	40	11018	893	800	0	182	12172	40	11039	1329	601	0	183	12173	40	(11018,473,591,0,181,12171,40)	(11018,893,800,0,182,12172,40)	(11039,1329,601,0,183,12173,40)	184	[26451,26456]	[26451,1～9]
3	19	4	蓝龙	30034	58	115	236	234	11019	265	638	0	191	12181	38	11019	748	687	0	192	12182	38	11040	1287	441	0	193	12183	38	(11019,265,638,0,191,12181,38)	(11019,748,687,0,192,12182,38)	(11040,1287,441,0,193,12183,38)	194	[26451,26456]	[26451,1～9]
3	20	5	金龙	30035	57	120	241	234	11020	473	591	0	201	12191	39	11020	893	800	0	202	12192	39	11041	1329	601	0	203	12193	39	(11020,473,591,0,201,12191,39)	(11020,893,800,0,202,12192,39)	(11041,1329,601,0,203,12193,39)	204	[26451,26456]	[26451,1～9]
3	21	6	黑龙	30036	58	125	236	234	11021	265	638	0	211	12201	40	11021	748	687	0	212	12202	40	11042	1287	441	0	213	12203	40	(11021,265,638,0,211,12201,40)	(11021,748,687,0,212,12202,40)	(11042,1287,441,0,213,12203,40)	214	[26451,26456]	[26451,1～9]
3	22	7	彩虹龙	30037	57	130	241	234	11000	473	591	0	221	12211	38	11000	893	800	0	222	12212	38	11043	1329	601	0	223	12213	38	(11000,473,591,0,221,12211,38)	(11000,893,800,0,222,12212,38)	(11043,1329,601,0,223,12213,38)	224	[26451,26456]	[26451,1～9]
3	23	8	白金龙	30038	58	135	236	234	11001	265	638	0	231	12221	39	11001	748	687	0	232	12222	39	11044	1287	441	0	233	12223	39	(11001,265,638,0,231,12221,39)	(11001,748,687,0,232,12222,39)	(11044,1287,441,0,233,12223,39)	234	[26451,26456]	[26451,1～9]
3	24	9	龙巫妖	30040	57	140	241	234	11002	473	591	0	241	12231	40	11002	893	800	0	242	12232	40	11045	1329	601	0	243	12233	40	(11002,473,591,0,241,12231,40)	(11002,893,800,0,242,12232,40)	(11045,1329,601,0,243,12233,40)	244	[26451,26457]	[26451,1～9]
3	25	10	蓝龙武士	30034	58	145	236	234	11003	265	638	0	251	12241	38	11003	748	687	0	252	12242	38	11046	1287	441	0	253	12243	38	(11003,265,638,0,251,12241,38)	(11003,748,687,0,252,12242,38)	(11046,1287,441,0,253,12243,38)	254	[26451,26457]	[26451,1～9]
4	26	1	绿龙	30031	59	150	258	295	11004	658	321	0	261	12251	39	11004	998	491	0	262	12252	39	11047	1392	327	0	263	12253	39	(11004,658,321,0,261,12251,39)	(11004,998,491,0,262,12252,39)	(11047,1392,327,0,263,12253,39)	264	[26451,26457]	[26451,1～9]
4	27	2	白龙	30032	60	155	161	383	11005	627	287	0	271	12261	40	11005	1056	276	0	272	12262	40	11048	1173	774	0	273	12263	40	(11005,627,287,0,271,12261,40)	(11005,1056,276,0,272,12262,40)	(11048,1173,774,0,273,12263,40)	274	[26451,26457]	[26451,1～9]
4	28	3	红龙	30033	59	160	258	295	11006	658	321	0	281	12271	38	11006	998	491	0	282	12272	38	11049	1392	327	0	283	12273	38	(11006,658,321,0,281,12271,38)	(11006,998,491,0,282,12272,38)	(11049,1392,327,0,283,12273,38)	284	[26451,26457]	[26451,1～9]
4	29	4	蓝龙	30034	60	165	161	383	11007	627	287	0	291	12281	39	11007	1056	276	0	292	12282	39	11050	1173	774	0	293	12283	39	(11007,627,287,0,291,12281,39)	(11007,1056,276,0,292,12282,39)	(11050,1173,774,0,293,12283,39)	294	[26451,26457]	[26451,1～9]
4	30	5	金龙	30035	59	170	258	295	11008	658	321	0	301	12291	40	11008	998	491	0	302	12292	40	11051	1392	327	0	303	12293	40	(11008,658,321,0,301,12291,40)	(11008,998,491,0,302,12292,40)	(11051,1392,327,0,303,12293,40)	304	[26451,26457]	[26451,1～9]
4	31	6	黑龙	30036	60	175	161	383	11009	627	287	0	311	12301	38	11009	1056	276	0	312	12302	38	11052	1173	774	0	313	12303	38	(11009,627,287,0,311,12301,38)	(11009,1056,276,0,312,12302,38)	(11052,1173,774,0,313,12303,38)	314	[26451,26457]	[26451,1～9]
4	32	7	彩虹龙	30037	59	180	258	295	11010	658	321	0	321	12311	39	11010	998	491	0	322	12312	39	11053	1392	327	0	323	12313	39	(11010,658,321,0,321,12311,39)	(11010,998,491,0,322,12312,39)	(11053,1392,327,0,323,12313,39)	324	[26451,26457]	[26451,1～9]
4	33	8	白金龙	30038	60	185	161	383	11011	627	287	0	331	12321	40	11011	1056	276	0	332	12322	40	11054	1173	774	0	333	12323	40	(11011,627,287,0,331,12321,40)	(11011,1056,276,0,332,12322,40)	(11054,1173,774,0,333,12323,40)	334	[26451,26457]	[26451,1～9]
4	34	9	龙巫妖	30040	59	190	258	295	11012	658	321	0	341	12331	38	11012	998	491	0	342	12332	38	11055	1392	327	0	343	12333	38	(11012,658,321,0,341,12331,38)	(11012,998,491,0,342,12332,38)	(11055,1392,327,0,343,12333,38)	344	[26451,26457]	[26451,1～9]
4	35	10	金龙	30035	60	195	161	383	11013	627	287	0	351	12341	39	11013	1056	276	0	352	12342	39	11056	1173	774	0	353	12343	39	(11013,627,287,0,351,12341,39)	(11013,1056,276,0,352,12342,39)	(11056,1173,774,0,353,12343,39)	354	[26451,26457]	[26451,1～9]
