rewardID	money	CTTpoint	items
37	0	[6,10]	[(26266,1,400)]
38	0	[6,10]	[(26266,1,400)]
39	0	[10,20]	[(28762,5,10000),(28752, 30, 5000),(28747, 30, 2500),(28757, 30, 1500),(26266,1,800),(28033,1,750),(26306,1,800)]
40	0	[6,10]	[(26266,1,400)]
41	0	[6,10]	[(26266,1,400)]
42	0	[10,20]	[(28762,5,10000),(28752, 30, 5000),(28747, 30, 2500),(28757, 30, 1500),(26266,1,800),(28033,1,750),(26306,1,800)]
43	0	[20,40]	[(26266,1,400)]
44	0	[20,40]	[(26266,1,400)]
45	0	[20,40]	[(28762,10,10000),(28752, 35, 5000),(28747, 35, 2500),(28757, 35, 1500),(28776, 1, 1100),(26266,1,800),(28033,1,750),(26306,1,800)]
46	0	[6,10]	[(26266,1,400)]
47	0	[6,10]	[(26266,1,400)]
48	0	[10,20]	[(28762,5,10000),(28752, 30, 5000),(28747, 30, 2500),(28757, 30, 1500),(26266,1,800),(28033,1,750),(26306,1,800)]
49	0	[6,10]	[(26266,1,400)]
50	0	[6,10]	[(26266,1,400)]
51	0	[10,20]	[(28762,5,10000),(28752, 30, 5000),(28747, 30, 2500),(28757, 30, 1500),(26266,1,800),(28033,1,750),(26306,1,800)]
52	0	[6,10]	[(26266,1,400)]
53	0	[6,10]	[(26266,1,400)]
54	0	[10,20]	[(28762,5,10000),(28752, 30, 5000),(28747, 30, 2500),(28757, 30, 1500),(26266,1,800),(28033,1,750),(26306,1,800)]
55	0	[6,10]	[(26266,1,400)]
56	0	[6,10]	[(26266,1,400)]
57	0	[10,20]	[(28762,5,10000),(28752, 30, 5000),(28747, 30, 2500),(28757, 30, 1500),(26266,1,800),(28033,1,750),(26306,1,800)]
58	0	[20,40]	[(26266,1,400)]
59	0	[20,40]	[(26266,1,400)]
60	0	[20,40]	[(28762,10,10000),(28752, 35, 5000),(28747, 35, 2500),(28757, 35, 1500),(28776, 1, 1200),(26266,1,800),(28033,1,750),(26306,1,800)]
61	0	[6,10]	[(26266,1,400)]
62	0	[6,10]	[(26266,1,400)]
63	0	[10,20]	[(28762,5,10000),(28752, 40, 5000),(28747, 40, 2500),(28757, 40, 1500),(26266,1,800),(28033,1,750),(26306,1,800)]
64	0	[6,10]	[(26266,1,400)]
65	0	[6,10]	[(26266,1,400)]
66	0	[10,20]	[(28762,5,10000),(28752, 40, 5000),(28747, 40, 2500),(28757, 40, 1500),(26266,1,800),(28033,1,750),(26306,1,800)]
67	0	[6,10]	[(26266,1,400)]
68	0	[6,10]	[(26266,1,400)]
69	0	[10,20]	[(28762,5,10000),(28752, 40, 5000),(28747, 40, 2500),(28757, 40, 1500),(26266,1,800),(28033,1,750),(26306,1,800)]
70	0	[6,10]	[(26266,1,400)]
71	0	[6,10]	[(26266,1,400)]
72	0	[10,20]	[(28762,5,10000),(28752, 40, 5000),(28747, 40, 2500),(28757, 40, 1500),(26266,1,800),(28033,1,750),(26306,1,800)]
73	0	[20,40]	[(26266,1,400)]
74	0	[20,40]	[(26266,1,400)]
75	0	[20,40]	[(28762,10,10000),(28752, 45, 5000),(28747, 45, 2500),(28757, 45, 1500),(28777, 1, 1300),(28778, 1, 200),(26266,1,800),(28033,1,750),(26306,1,800)]
76	0	[6,10]	[(26266,1,400)]
77	0	[6,10]	[(26266,1,400)]
78	0	[10,20]	[(28762,5,10000),(28752, 40, 5000),(28747, 40, 2500),(28757, 40, 1500),(26266,1,800),(28033,1,750),(26306,1,800)]
79	0	[6,10]	[(26266,1,400)]
80	0	[6,10]	[(26266,1,400)]
81	0	[10,20]	[(28762,5,10000),(28752, 40, 5000),(28747, 40, 2500),(28757, 40, 1500),(26266,1,800),(28033,1,750),(26306,1,800)]
82	0	[6,10]	[(26266,1,400)]
83	0	[6,10]	[(26266,1,400)]
84	0	[10,20]	[(28762,5,10000),(28752, 40, 5000),(28747, 40, 2500),(28757, 40, 1500),(26266,1,800),(28033,1,750),(26306,1,800)]
85	0	[6,10]	[(26266,1,400)]
86	0	[6,10]	[(26266,1,400)]
87	0	[10,20]	[(28762,5,10000),(28752, 40, 5000),(28747, 40, 2500),(28757, 40, 1500),(26266,1,800),(28033,1,750),(26306,1,800)]
88	0	[20,40]	[(26266,1,400)]
89	0	[20,40]	[(26266,1,400)]
90	0	[20,40]	[(28762,10,10000),(28752, 45, 5000),(28747, 45, 2500),(28757, 45, 1500),(28777, 1, 1500),(28778, 1, 200),(26266,1,800),(28033,1,750),(26306,1,800)]
91	0	[6,10]	[(26266,1,400)]
92	0	[6,10]	[(26266,1,400)]
93	0	[10,20]	[(28762,5,10000),(28753, 30, 5000),(28748, 30, 2000),(28758, 30, 600),(26266,1,800),(28033,1,750),(26306,1,800)]
94	0	[6,10]	[(26266,1,400)]
95	0	[6,10]	[(26266,1,400)]
96	0	[10,20]	[(28762,5,10000),(28753, 30, 5000),(28748, 30, 2000),(28758, 30, 600),(26266,1,800),(28033,1,750),(26306,1,800)]
97	0	[6,10]	[(26266,1,400)]
98	0	[6,10]	[(26266,1,400)]
99	0	[10,20]	[(28762,5,10000),(28753, 30, 5000),(28748, 30, 2000),(28758, 30, 600),(26266,1,800),(28033,1,750),(26306,1,800)]
100	0	[6,10]	[(26266,1,400)]
101	0	[6,10]	[(26266,1,400)]
102	0	[10,20]	[(28762,5,10000),(28753, 30, 5000),(28748, 30, 2000),(28758, 30, 600),(26266,1,800),(28033,1,750),(26306,1,800)]
103	0	[20,40]	[(26266,1,400)]
104	0	[20,40]	[(26266,1,400)]
105	0	[20,40]	[(28762,10,10000),(28753, 30, 5000),(28748, 30, 2000),(28758, 30, 600),(29393, 1, 1000),(29396,1,200),(26266,1,800),(28033,1,750),(26306,1,800)]
106	0	[6,10]	[(26266,1,400)]
107	0	[6,10]	[(26266,1,400)]
108	0	[10,20]	[(28762,5,10000),(28753, 30, 5000),(28748, 30, 2000),(28758, 30, 600),(26266,1,800),(28033,1,750),(26306,1,800)]
109	0	[6,10]	[(26266,1,400)]
110	0	[6,10]	[(26266,1,400)]
111	0	[10,20]	[(28762,5,10000),(28753, 30, 5000),(28748, 30, 2000),(28758, 30, 600),(26266,1,800),(28033,1,750),(26306,1,800)]
112	0	[6,10]	[(26266,1,400)]
113	0	[6,10]	[(26266,1,400)]
114	0	[10,20]	[(28762,5,10000),(28753, 30, 5000),(28748, 30, 2000),(28758, 30, 600),(26266,1,800),(28033,1,750),(26306,1,800)]
115	0	[6,10]	[(26266,1,400)]
116	0	[6,10]	[(26266,1,400)]
117	0	[10,20]	[(28762,5,10000),(28753, 30, 5000),(28748, 30, 2000),(28758, 30, 600),(26266,1,800),(28033,1,750),(26306,1,800)]
118	0	[20,40]	[(26266,1,400)]
119	0	[20,40]	[(26266,1,400)]
120	0	[20,40]	[(28762,10,10000),(28753, 30, 5000),(28748, 30, 2000),(28758, 30, 600),(29393, 1, 1000),(29396,1,200),(26266,1,800),(28033,1,750),(26306,1,800)]
121	0	[6,10]	[(26266,1,400)]
122	0	[6,10]	[(26266,1,400)]
123	0	[10,20]	[(28762,5,10000),(28753, 40, 5000),(28748, 40, 2000),(28758, 40, 600),(26266,1,800),(28033,1,750),(26306,1,800)]
124	0	[6,10]	[(26266,1,400)]
125	0	[6,10]	[(26266,1,400)]
126	0	[10,20]	[(28762,5,10000),(28753, 40, 5000),(28748, 40, 2000),(28758, 40, 600),(26266,1,800),(28033,1,750),(26306,1,800)]
127	0	[6,10]	[(26266,1,400)]
128	0	[6,10]	[(26266,1,400)]
129	0	[10,20]	[(28762,5,10000),(28753, 40, 5000),(28748, 40, 2000),(28758, 40, 600),(26266,1,800),(28033,1,750),(26306,1,800)]
130	0	[6,10]	[(26266,1,400)]
131	0	[6,10]	[(26266,1,400)]
132	0	[10,20]	[(28762,5,10000),(28753, 40, 5000),(28748, 40, 2000),(28758, 40, 600),(26266,1,800),(28033,1,750),(26306,1,800)]
133	0	[20,40]	[(26266,1,400)]
134	0	[20,40]	[(26266,1,400)]
135	0	[20,40]	[(28762,10,10000),(28753, 40, 5000),(28748, 40, 2000),(28758, 40, 600),(29394, 1, 1000),(29396,1,200),(26266,1,800),(28033,1,750),(26306,1,800)]
136	0	[6,10]	[(26266,1,400)]
137	0	[6,10]	[(26266,1,400)]
138	0	[10,20]	[(28762,5,10000),(28753, 40, 5000),(28748, 40, 2000),(28758, 40, 600),(26266,1,800),(28033,1,750),(26306,1,800)]
139	0	[6,10]	[(26266,1,400)]
140	0	[6,10]	[(26266,1,400)]
141	0	[10,20]	[(28762,5,10000),(28753, 40, 5000),(28748, 40, 2000),(28758, 40, 600),(26266,1,800),(28033,1,750),(26306,1,800)]
142	0	[6,10]	[(26266,1,400)]
143	0	[6,10]	[(26266,1,400)]
144	0	[10,20]	[(28762,5,10000),(28753, 40, 5000),(28748, 40, 2000),(28758, 40, 600),(26266,1,800),(28033,1,750),(26306,1,800)]
145	0	[6,10]	[(26266,1,400)]
146	0	[6,10]	[(26266,1,400)]
147	0	[10,20]	[(28762,5,10000),(28753, 40, 5000),(28748, 40, 2000),(28758, 40, 600),(26266,1,800),(28033,1,750),(26306,1,800)]
148	0	[20,40]	[(26266,1,400)]
149	0	[20,40]	[(26266,1,400)]
150	0	[20,40]	[(28762,10,10000),(28753, 40, 5000),(28748, 40, 2000),(28758, 40, 600),(29395, 1, 1000),(29396,1,200),(26266,1,800),(28033,1,750),(26306,1,800)]
