layer	nextlayer	scene0	x0	y0	scenePos	hasFirst	firstItems	firstMoney	firstRMB	yuLan	killYuLan	Monster1	x1	y1	face1	camp1	fight1	reward1	Monster2	x2	y2	face2	camp2	fight2	reward2	Monster3	x3	y3	face3	camp3	fight3	reward3	m1	m2	boss	jumpRound	doornpc	door
10	11	610	395	1126	(610,395,1126)	1	[(28762,25),(28752,40),(28747,20)]	10000000		[(25828,10000000),(28762,25),(28752,40),(28747,20)]	[(28762,10),(28752, 25),(28747, 25),(28757, 25),(28775,1)]	20027	659	991	0	18027	174	28	20028	910	788	0	18028	174	29	20099	1163	658	0	18029	174	30			(20099,1163,658,0,18029,174,30)		15009	(15009,1620,432,0)
11	12	611	395	1126	(611,395,1126)	0					[(28762,5),(28752, 30),(28747, 30),(28757, 30),(26306,1)]	20030	659	991	0	18030	174	31	20031	910	788	0	18031	174	32	20100	1163	658	0	18032	174	33	(20030,659,991,0,18030,174,31)	(20031,910,788,0,18031,174,32)	(20100,1163,658,0,18032,174,33)	5	15010	(15010,1620,432,0)
12	13	612	395	1126	(612,395,1126)	0					[(28762,5),(28752, 30),(28747, 30),(28757, 30),(26306,1)]	20033	659	991	0	18033	174	34	20034	910	788	0	18034	174	35	20101	1163	658	0	18035	174	36	(20033,659,991,0,18033,174,34)	(20034,910,788,0,18034,174,35)	(20101,1163,658,0,18035,174,36)	3	15011	(15011,1620,432,0)
13	14	613	395	1126	(613,395,1126)	0					[(28762,5),(28752, 30),(28747, 30),(28757, 30),(26306,1)]	20036	659	991	0	18036	174	37	20037	910	788	0	18037	174	38	20102	1163	658	0	18038	174	39	(20036,659,991,0,18036,174,37)	(20037,910,788,0,18037,174,38)	(20102,1163,658,0,18038,174,39)	3	15012	(15012,1620,432,0)
14	15	614	395	1126	(614,395,1126)	0					[(28762,5),(28752, 30),(28747, 30),(28757, 30),(26306,1)]	20039	659	991	0	18039	174	40	20040	910	788	0	18040	174	41	20103	1163	658	0	18041	174	42	(20039,659,991,0,18039,174,40)	(20040,910,788,0,18040,174,41)	(20103,1163,658,0,18041,174,42)	3	15013	(15013,1620,432,0)
15	16	615	395	1126	(615,395,1126)	1	[(28762,30),(28752,50),(28747,25)]	15000000		[(25828,15000000),(28762,30),(28752,50),(28747,25)]	[(28762,10),(28752, 35),(28747, 35),(28757, 35),(28776,1)]	20042	659	991	0	18042	174	43	20043	910	788	0	18043	174	44	20104	1163	658	0	18044	174	45			(20104,1163,658,0,18044,174,45)		15014	(15014,1620,432,0)
16	17	616	395	1126	(616,395,1126)	0					[(28762,5),(28752, 30),(28747, 30),(28757, 30),(26306,1)]	20045	659	991	0	18045	174	46	20046	910	788	0	18046	174	47	20105	1163	658	0	18047	174	48	(20045,659,991,0,18045,174,46)	(20046,910,788,0,18046,174,47)	(20105,1163,658,0,18047,174,48)	5	15015	(15015,1620,432,0)
17	18	617	395	1126	(617,395,1126)	0					[(28762,5),(28752, 30),(28747, 30),(28757, 30),(26306,1)]	20048	659	991	0	18048	174	49	20049	910	788	0	18049	174	50	20106	1163	658	0	18050	174	51	(20048,659,991,0,18048,174,49)	(20049,910,788,0,18049,174,50)	(20106,1163,658,0,18050,174,51)	3	15016	(15016,1620,432,0)
18	19	618	395	1126	(618,395,1126)	0					[(28762,5),(28752, 30),(28747, 30),(28757, 30),(26306,1)]	20051	659	991	0	18051	174	52	20052	910	788	0	18052	174	53	20107	1163	658	0	18053	174	54	(20051,659,991,0,18051,174,52)	(20052,910,788,0,18052,174,53)	(20107,1163,658,0,18053,174,54)	3	15017	(15017,1620,432,0)
19	20	619	395	1126	(619,395,1126)	0					[(28762,5),(28752, 30),(28747, 30),(28757, 30),(26306,1)]	20054	659	991	0	18054	174	55	20055	910	788	0	18055	174	56	20108	1163	658	0	18056	174	57	(20054,659,991,0,18054,174,55)	(20055,910,788,0,18055,174,56)	(20108,1163,658,0,18056,174,57)	3	15018	(15018,1620,432,0)
20	21	620	395	1126	(620,395,1126)	1	[(28762,35),(28752,60),(28747,30)]	20000000		[(25828,20000000),(28762,35),(28752,60),(28747,30)]	[(28762,10),(28752, 35),(28747, 35),(28757, 35),(28776,1)]	20057	659	991	0	18057	174	58	20058	910	788	0	18058	174	59	20109	1163	658	0	18059	174	60			(20109,1163,658,0,18059,174,60)		15019	(15019,1620,432,0)
21	22	621	395	1126	(621,395,1126)	0					[(28762,5),(28752, 40),(28747, 40),(28757, 40),(26306,1)]	20060	659	991	0	18060	174	61	20061	910	788	0	18061	174	62	20110	1163	658	0	18062	174	63	(20060,659,991,0,18060,174,61)	(20061,910,788,0,18061,174,62)	(20110,1163,658,0,18062,174,63)	5	15020	(15020,1620,432,0)
22	23	622	395	1126	(622,395,1126)	0					[(28762,5),(28752, 40),(28747, 40),(28757, 40),(26306,1)]	20063	659	991	0	18063	174	64	20064	910	788	0	18064	174	65	20111	1163	658	0	18065	174	66	(20063,659,991,0,18063,174,64)	(20064,910,788,0,18064,174,65)	(20111,1163,658,0,18065,174,66)	3	15021	(15021,1620,432,0)
23	24	623	395	1126	(623,395,1126)	0					[(28762,5),(28752, 40),(28747, 40),(28757, 40),(26306,1)]	20066	659	991	0	18066	174	67	20067	910	788	0	18067	174	68	20112	1163	658	0	18068	174	69	(20066,659,991,0,18066,174,67)	(20067,910,788,0,18067,174,68)	(20112,1163,658,0,18068,174,69)	3	15022	(15022,1620,432,0)
24	25	624	395	1126	(624,395,1126)	0					[(28762,5),(28752, 40),(28747, 40),(28757, 40),(26306,1)]	20069	659	991	0	18069	174	70	20070	910	788	0	18070	174	71	20113	1163	658	0	18071	174	72	(20069,659,991,0,18069,174,70)	(20070,910,788,0,18070,174,71)	(20113,1163,658,0,18071,174,72)	3	15023	(15023,1620,432,0)
25	26	625	395	1126	(625,395,1126)	1	[(28762,40),(28752,70),(28747,35)]	25000000		[(25828,25000000),(28762,40),(28752,70),(28747,35)]	[(28762,10),(28752, 45),(28747, 45),(28778, 1),(28777,1)]	20072	659	991	0	18072	174	73	20073	910	788	0	18073	174	74	20114	1163	658	0	18074	174	75			(20114,1163,658,0,18074,174,75)		15024	(15024,1620,432,0)
26	27	626	395	1126	(626,395,1126)	0					[(28762,5),(28752, 40),(28747, 40),(28757, 40),(26306,1)]	20075	659	991	0	18075	174	76	20076	910	788	0	18076	174	77	20115	1163	658	0	18077	174	78	(20075,659,991,0,18075,174,76)	(20076,910,788,0,18076,174,77)	(20115,1163,658,0,18077,174,78)	5	15025	(15025,1620,432,0)
27	28	627	395	1126	(627,395,1126)	0					[(28762,5),(28752, 40),(28747, 40),(28757, 40),(26306,1)]	20078	659	991	0	18078	174	79	20079	910	788	0	18079	174	80	20116	1163	658	0	18080	174	81	(20078,659,991,0,18078,174,79)	(20079,910,788,0,18079,174,80)	(20116,1163,658,0,18080,174,81)	3	15026	(15026,1620,432,0)
28	29	628	395	1126	(628,395,1126)	0					[(28762,5),(28752, 40),(28747, 40),(28757, 40),(26306,1)]	20081	659	991	0	18081	174	82	20082	910	788	0	18082	174	83	20117	1163	658	0	18083	174	84	(20081,659,991,0,18081,174,82)	(20082,910,788,0,18082,174,83)	(20117,1163,658,0,18083,174,84)	3	15027	(15027,1620,432,0)
29	30	629	395	1126	(629,395,1126)	0					[(28762,5),(28752, 40),(28747, 40),(28757, 40),(26306,1)]	20084	659	991	0	18084	174	85	20085	910	788	0	18085	174	86	20118	1163	658	0	18086	174	87	(20084,659,991,0,18084,174,85)	(20085,910,788,0,18085,174,86)	(20118,1163,658,0,18086,174,87)	3	15028	(15028,1620,432,0)
30	31	630	395	1126	(630,395,1126)	1	[(28762,50),(28752,80),(28747,40)]	30000000		[(25828,30000000),(28762,50),(28752,80),(28747,40)]	[(28762,10),(28752, 45),(28747, 45),(28778, 1),(28777,1)]	20087	659	991	0	18087	174	88	20088	910	788	0	18088	174	89	20119	1163	658	0	18089	174	90			(20119,1163,658,0,18089,174,90)		15029	(15029,1620,432,0)
31	32	631	395	1126	(631,395,1126)	0					[(28762,5),(28753, 30),(28748, 30),(28758, 30),(26306,1)]	20124	659	991	0	18154	174	91	20125	910	788	0	18155	174	92	20184	1163	658	0	18156	174	93	(20124,659,991,0,18154,174,91)	(20125,910,788,0,18155,174,92)	(20184,1163,658,0,18156,174,93)	5	15030	(15030,1620,432,0)
32	33	632	395	1126	(632,395,1126)	0					[(28762,5),(28753, 30),(28748, 30),(28758, 30),(26306,1)]	20127	659	991	0	18157	174	94	20128	910	788	0	18158	174	95	20185	1163	658	0	18159	174	96	(20127,659,991,0,18157,174,94)	(20128,910,788,0,18158,174,95)	(20185,1163,658,0,18159,174,96)	3	15031	(15031,1620,432,0)
33	34	633	395	1126	(633,395,1126)	0					[(28762,5),(28753, 30),(28748, 30),(28758, 30),(26306,1)]	20130	659	991	0	18160	174	97	20131	910	788	0	18161	174	98	20186	1163	658	0	18162	174	99	(20130,659,991,0,18160,174,97)	(20131,910,788,0,18161,174,98)	(20186,1163,658,0,18162,174,99)	3	15032	(15032,1620,432,0)
34	35	634	395	1126	(634,395,1126)	0					[(28762,5),(28753, 30),(28748, 30),(28758, 30),(26306,1)]	20133	659	991	0	18163	174	100	20134	910	788	0	18164	174	101	20187	1163	658	0	18165	174	102	(20133,659,991,0,18163,174,100)	(20134,910,788,0,18164,174,101)	(20187,1163,658,0,18165,174,102)	3	15033	(15033,1620,432,0)
35	36	635	395	1126	(635,395,1126)	1	[(28762,50),(28753,100),(28748,50)]	30000000		[(25828,30000000),(28762,50),(28753,100),(28748,50)]	[(28762,10),(28753, 30),(28748, 30),(28758, 30),(29396,1)]	20136	659	991	0	18166	174	103	20137	910	788	0	18167	174	104	20188	1163	658	0	18168	174	105			(20188,1163,658,0,18168,174,105)		15034	(15034,1620,432,0)
36	37	636	395	1126	(636,395,1126)	0					[(28762,5),(28753, 30),(28748, 30),(28758, 30),(26306,1)]	20139	659	991	0	18169	174	106	20140	910	788	0	18170	174	107	20189	1163	658	0	18171	174	108	(20139,659,991,0,18169,174,106)	(20140,910,788,0,18170,174,107)	(20189,1163,658,0,18171,174,108)	5	15035	(15035,1620,432,0)
37	38	637	395	1126	(637,395,1126)	0					[(28762,5),(28753, 30),(28748, 30),(28758, 30),(26306,1)]	20142	659	991	0	18172	174	109	20143	910	788	0	18173	174	110	20190	1163	658	0	18174	174	111	(20142,659,991,0,18172,174,109)	(20143,910,788,0,18173,174,110)	(20190,1163,658,0,18174,174,111)	3	15036	(15036,1620,432,0)
38	39	638	395	1126	(638,395,1126)	0					[(28762,5),(28753, 30),(28748, 30),(28758, 30),(26306,1)]	20145	659	991	0	18175	174	112	20146	910	788	0	18176	174	113	20191	1163	658	0	18177	174	114	(20145,659,991,0,18175,174,112)	(20146,910,788,0,18176,174,113)	(20191,1163,658,0,18177,174,114)	3	15037	(15037,1620,432,0)
39	40	639	395	1126	(639,395,1126)	0					[(28762,5),(28753, 30),(28748, 30),(28758, 30),(26306,1)]	20148	659	991	0	18178	174	115	20149	910	788	0	18179	174	116	20192	1163	658	0	18180	174	117	(20148,659,991,0,18178,174,115)	(20149,910,788,0,18179,174,116)	(20192,1163,658,0,18180,174,117)	3	15038	(15038,1620,432,0)
40	41	640	395	1126	(640,395,1126)	1	[(28762,50),(28753,100),(28748,50)]	30000000		[(25828,30000000),(28762,50),(28753,100),(28748,50)]	[(28762,10),(28753, 30),(28748, 30),(28758, 30),(29396,1)]	20151	659	991	0	18181	174	118	20152	910	788	0	18182	174	119	20193	1163	658	0	18183	174	120			(20193,1163,658,0,18183,174,120)		15039	(15039,1620,432,0)
41	42	641	395	1126	(641,395,1126)	0					[(28762,5),(28753, 40),(28748, 40),(28758, 40),(26306,1)]	20154	659	991	0	18184	174	121	20155	910	788	0	18185	174	122	20194	1163	658	0	18186	174	123	(20154,659,991,0,18184,174,121)	(20155,910,788,0,18185,174,122)	(20194,1163,658,0,18186,174,123)	5	15040	(15040,1620,432,0)
42	43	642	395	1126	(642,395,1126)	0					[(28762,5),(28753, 40),(28748, 40),(28758, 40),(26306,1)]	20157	659	991	0	18187	174	124	20158	910	788	0	18188	174	125	20195	1163	658	0	18189	174	126	(20157,659,991,0,18187,174,124)	(20158,910,788,0,18188,174,125)	(20195,1163,658,0,18189,174,126)	3	15041	(15041,1620,432,0)
43	44	643	395	1126	(643,395,1126)	0					[(28762,5),(28753, 40),(28748, 40),(28758, 40),(26306,1)]	20160	659	991	0	18190	174	127	20161	910	788	0	18191	174	128	20196	1163	658	0	18192	174	129	(20160,659,991,0,18190,174,127)	(20161,910,788,0,18191,174,128)	(20196,1163,658,0,18192,174,129)	3	15042	(15042,1620,432,0)
44	45	644	395	1126	(644,395,1126)	0					[(28762,5),(28753, 40),(28748, 40),(28758, 40),(26306,1)]	20163	659	991	0	18193	174	130	20164	910	788	0	18194	174	131	20197	1163	658	0	18195	174	132	(20163,659,991,0,18193,174,130)	(20164,910,788,0,18194,174,131)	(20197,1163,658,0,18195,174,132)	3	15043	(15043,1620,432,0)
45	46	645	395	1126	(645,395,1126)	1	[(28762,50),(28753,100),(28748,50)]	30000000		[(25828,30000000),(28762,50),(28753,100),(28748,50)]	[(28762,10),(28753, 40),(28748, 40),(28758, 40),(29396,1)]	20166	659	991	0	18196	174	133	20167	910	788	0	18197	174	134	20198	1163	658	0	18198	174	135			(20198,1163,658,0,18198,174,135)		15044	(15044,1620,432,0)
46	47	646	395	1126	(646,395,1126)	0					[(28762,5),(28753, 40),(28748, 40),(28758, 40),(26306,1)]	20169	659	991	0	18199	174	136	20170	910	788	0	18200	174	137	20199	1163	658	0	18201	174	138	(20169,659,991,0,18199,174,136)	(20170,910,788,0,18200,174,137)	(20199,1163,658,0,18201,174,138)	5	15045	(15045,1620,432,0)
47	48	647	395	1126	(647,395,1126)	0					[(28762,5),(28753, 40),(28748, 40),(28758, 40),(26306,1)]	20172	659	991	0	18202	174	139	20173	910	788	0	18203	174	140	20200	1163	658	0	18204	174	141	(20172,659,991,0,18202,174,139)	(20173,910,788,0,18203,174,140)	(20200,1163,658,0,18204,174,141)	3	15046	(15046,1620,432,0)
48	49	648	395	1126	(648,395,1126)	0					[(28762,5),(28753, 40),(28748, 40),(28758, 40),(26306,1)]	20175	659	991	0	18205	174	142	20176	910	788	0	18206	174	143	20201	1163	658	0	18207	174	144	(20175,659,991,0,18205,174,142)	(20176,910,788,0,18206,174,143)	(20201,1163,658,0,18207,174,144)	3	15047	(15047,1620,432,0)
49	50	649	395	1126	(649,395,1126)	0					[(28762,5),(28753, 40),(28748, 40),(28758, 40),(26306,1)]	20178	659	991	0	18208	174	145	20179	910	788	0	18209	174	146	20202	1163	658	0	18210	174	147	(20178,659,991,0,18208,174,145)	(20179,910,788,0,18209,174,146)	(20202,1163,658,0,18210,174,147)	3	15048	(15048,1620,432,0)
50	0	650	395	1126	(650,395,1126)	1	[(28762,50),(28753,100),(28748,50)]	30000000		[(25828,30000000),(28762,50),(28753,100),(28748,50)]	[(28762,10),(28753, 40),(28748, 40),(28758, 40),(29396,1)]	20181	659	991	0	18211	174	148	20182	910	788	0	18212	174	149	20203	1163	658	0	18213	174	150			(20203,1163,658,0,18213,174,150)			
