yqCoding	itemCoding	tradeId	goodsName	needItemCoding	needCnt	needLevel	goodLevel	needActiveFBID	miaoshu	needItemRes
6	25709	39	曙光战靴卷轴	25685	900	100	100	82	龙晶获取途径：副本，英雄竞技场	Pub_IcomLJ5
6	25710	40	曙光戒指卷轴	25685	1500	100	100	82	龙晶获取途径：副本，英雄竞技场	Pub_IcomLJ5
6	25711	41	曙光手镯卷轴	25685	1500	100	100	82	龙晶获取途径：副本，英雄竞技场	Pub_IcomLJ5
7	26607	42	七级龙晶	25686	4	120	140	102	龙晶获取途径：副本，英雄竞技场	Pub_IcomLJ6
7	26500	43	龙鳞	25686	500	120	120	102	龙晶获取途径：副本，英雄竞技场	Pub_IcomLJ6
7	26513	44	灭世剑卷轴	25686	3300	120	120	102	龙晶获取途径：副本，英雄竞技场	Pub_IcomLJ6
7	26514	45	灭世头盔卷轴	25686	1500	120	120	102	龙晶获取途径：副本，英雄竞技场	Pub_IcomLJ6
7	26515	46	灭世铠甲卷轴	25686	1500	120	120	102	龙晶获取途径：副本，英雄竞技场	Pub_IcomLJ6
7	26516	47	灭世战靴卷轴	25686	1500	120	120	102	龙晶获取途径：副本，英雄竞技场	Pub_IcomLJ6
7	26517	48	灭世戒指卷轴	25686	2500	120	120	102	龙晶获取途径：副本，英雄竞技场	Pub_IcomLJ6
7	26518	49	灭世手镯卷轴	25686	2500	120	120	102	龙晶获取途径：副本，英雄竞技场	Pub_IcomLJ6
8	27066	50	八级龙晶	26607	4	140	160	122	龙晶获取途径：副本，英雄竞技场	Pub_IcomLJ7
8	27067	51	圣水	26607	500	140	140	122	龙晶获取途径：副本，英雄竞技场	Pub_IcomLJ7
8	27057	52	龙魂剑卷轴	26607	3300	140	140	122	龙晶获取途径：副本，英雄竞技场	Pub_IcomLJ7
8	27058	53	龙魂头盔卷轴	26607	1500	140	140	122	龙晶获取途径：副本，英雄竞技场	Pub_IcomLJ7
8	27059	54	龙魂铠甲卷轴	26607	1500	140	140	122	龙晶获取途径：副本，英雄竞技场	Pub_IcomLJ7
8	27060	55	龙魂战靴卷轴	26607	1500	140	140	122	龙晶获取途径：副本，英雄竞技场	Pub_IcomLJ7
8	27061	56	龙魂戒指卷轴	26607	2500	140	140	122	龙晶获取途径：副本，英雄竞技场	Pub_IcomLJ7
8	27062	57	龙魂手镯卷轴	26607	2500	140	140	122	龙晶获取途径：副本，英雄竞技场	Pub_IcomLJ7
9	27930	58	九级龙晶	27066	4	160	180	142	龙晶获取途径：副本，英雄竞技场	Pub_IcomLJ8
9	27926	59	圣果	27066	650	160	160	142	龙晶获取途径：副本，英雄竞技场	Pub_IcomLJ8
9	27907	60	耀光剑卷轴	27066	4300	160	160	142	龙晶获取途径：副本，英雄竞技场	Pub_IcomLJ8
9	27908	61	耀光头盔卷轴	27066	2000	160	160	142	龙晶获取途径：副本，英雄竞技场	Pub_IcomLJ8
9	27909	62	耀光铠甲卷轴	27066	2000	160	160	142	龙晶获取途径：副本，英雄竞技场	Pub_IcomLJ8
9	27910	63	耀光战靴卷轴	27066	2000	160	160	142	龙晶获取途径：副本，英雄竞技场	Pub_IcomLJ8
9	27911	64	耀光戒指卷轴	27066	3250	160	160	142	龙晶获取途径：副本，英雄竞技场	Pub_IcomLJ8
9	27912	65	耀光手镯卷轴	27066	3250	160	160	142	龙晶获取途径：副本，英雄竞技场	Pub_IcomLJ8
