actId	startDateTime	endDateTime	kaifuDays	tabEndDay	title	name	bg	type	level	actContent	showTime	linkTitle	num
9	(2014, 11, 14, 0, 0)	(2014, 12, 4, 0, 0)	0	0		每日在线	GEJ_MRZX_US	1	20	活动期间，每天连续在线一定时间，即可领取奖励。每种奖励每天限领1次。每天的奖励只能当天领取。	2014,11,14,2014,12,4		3
10	(2015, 4, 10, 0, 0)	(2015, 4, 16, 23, 59)	30	0		心魔挑战	WSJ_XMTZ1_US	1	30	活动期间，每日通关心魔炼狱一定的次数，即可领取奖励。每种奖励每天限领1次。每天的奖励只能当天领取。	2015,4,10,2015,4,16		1
1010	(2015, 3, 27, 0, 0)	(2015, 4, 2, 23, 59)	30	0		心魔挑战	WSJ_XMTZ1_US	1	30	活动期间，每日通关心魔炼狱一定的次数，即可领取奖励。每种奖励每天限领1次。每天的奖励只能当天领取。	2015,3,27,2015,4,2		1
11	(2014, 11, 14, 0, 0)	(2014, 11, 20, 23, 59)	0	0		英雄升级	GEJ_YXSJ_US	1	20	活动期间升级紫色众神之王到满级即可领取大奖，每个服务器最多领取5次，该奖励每个玩家最多领取一次。	2014,11,14,2014,11,20		1
12	(2015, 1, 30, 0, 0)	(2015, 2, 2, 23, 59)	30	0		英雄进化	GEJ_YXJH_US	1	20	活动期间，玩家获得橙色指定星级的任意英雄，即可领取丰厚大奖。每人每种奖励最多领取一次。	2015,1,30,2015,2,2		5
13	(2014, 12, 15, 0, 0)	(2014, 12, 18, 23, 59)	30	0		点石成金	GEJ_DSCJ_US	1	30	活动期间，每天炼金达到指定次数，即可领取奖励。每种奖励每天限领1次。每天的奖励只能当天领取。	2014,12,12,2014,12,18		3
14	(2015, 1, 2, 0, 0)	(2015, 1, 5, 23, 59)	30	0		羽翼培养	GEJ_YYPY_US	1	30	活动期间，培养一定的羽翼次数，即可领取奖励。每种奖励活动期间只能领取1次。	2015,1,2,2015,1,5		2
15	(2016, 2, 26, 0, 0)	(2016, 2, 26, 23, 59)	30	0		登陆领奖	GEJ_DLJL_US	1	30	活动期间，每天登陆游戏，即可领取奖励。每种奖励每日限领1次。每日的奖励只能当天领取。	2016,2,26,2016,2,26		1
1015	(2016, 2, 27, 0, 0)	(2016, 2, 27, 23, 59)	30	0		登陆领奖	GEJ_DLJL_US	1	30	活动期间，每天登陆游戏，即可领取奖励。每种奖励每日限领1次。每日的奖励只能当天领取。	2016,2,27,2016,2,27		1
2015	(2016, 2, 28, 0, 0)	(2016, 2, 28, 23, 59)	30	0		登陆领奖	GEJ_DLJL_US	1	30	活动期间，每天登陆游戏，即可领取奖励。每种奖励每日限领1次。每日的奖励只能当天领取。	2016,2,28,2016,2,28		1
3015	(2016, 2, 8, 0, 0)	(2016, 2, 8, 23, 59)	30	0		登陆领奖	GEJ_DLJL_US	1	30	活动期间，每天登陆游戏，即可领取奖励。每种奖励每日限领1次。每日的奖励只能当天领取。	2016,2,8,2016,2,8		1
4015	(2016, 2, 9, 0, 0)	(2016, 2, 9, 23, 59)	30	0		登陆领奖	GEJ_DLJL_US	1	30	活动期间，每天登陆游戏，即可领取奖励。每种奖励每日限领1次。每日的奖励只能当天领取。	2016,2,9,2016,2,9		1
5015	(2016, 2, 10, 0, 0)	(2016, 2, 10, 23, 59)	30	0		登陆领奖	GEJ_DLJL_US	1	30	活动期间，每天登陆游戏，即可领取奖励。每种奖励每日限领1次。每日的奖励只能当天领取。	2016,2,10,2016,2,10		1
6015	(2016, 2, 11, 0, 0)	(2016, 2, 11, 23, 59)	30	0		登陆领奖	GEJ_DLJL_US	1	30	活动期间，每天登陆游戏，即可领取奖励。每种奖励每日限领1次。每日的奖励只能当天领取。	2016,2,11,2016,2,11		1
7015	(2015, 1, 30, 0, 0)	(2015, 1, 30, 23, 59)	30	0		登陆领奖	GEJ_DLJL_US	1	30	活动期间，每天登陆游戏，即可领取奖励。每种奖励每日限领1次。每日的奖励只能当天领取。	2015,1,30,2015,1,30		1
8015	(2015, 1, 31, 0, 0)	(2015, 1, 31, 23, 59)	30	0		登陆领奖	GEJ_DLJL_US	1	30	活动期间，每天登陆游戏，即可领取奖励。每种奖励每日限领1次。每日的奖励只能当天领取。	2015,1,31,2015,1,31		1
9015	(2015, 2, 1, 0, 0)	(2015, 2, 1, 23, 59)	30	0		登陆领奖	GEJ_DLJL_US	1	30	活动期间，每天登陆游戏，即可领取奖励。每种奖励每日限领1次。每日的奖励只能当天领取。	2015,2,1,2015,2,1		1
10015	(2015, 2, 2, 0, 0)	(2015, 2, 2, 23, 59)	30	0		登陆领奖	GEJ_DLJL_US	1	30	活动期间，每天登陆游戏，即可领取奖励。每种奖励每日限领1次。每日的奖励只能当天领取。	2015,2,2,2015,2,2		1
11015	(2015, 2, 3, 0, 0)	(2015, 2, 3, 23, 59)	30	0		登陆领奖	GEJ_DLJL_US	1	30	活动期间，每天登陆游戏，即可领取奖励。每种奖励每日限领1次。每日的奖励只能当天领取。	2015,2,3,2015,2,3		1
12015	(2015, 2, 4, 0, 0)	(2015, 2, 4, 23, 59)	30	0		登陆领奖	GEJ_DLJL_US	1	30	活动期间，每天登陆游戏，即可领取奖励。每种奖励每日限领1次。每日的奖励只能当天领取。	2015,2,4,2015,2,4		1
13015	(2015, 2, 5, 0, 0)	(2015, 2, 5, 23, 59)	30	0		登陆领奖	GEJ_DLJL_US	1	30	活动期间，每天登陆游戏，即可领取奖励。每种奖励每日限领1次。每日的奖励只能当天领取。	2015,2,5,2015,2,5		1
16	(2014, 12, 1, 0, 0)	(2014, 12, 4, 23, 59)	0	0		宝石合成	GEJ_BSHC_US	1	20	活动期间合成规定数量的指定等级宝石，即可领取丰厚奖励。每种奖励活动期间只能领取1次。	2014,12,1,2014,12,4		3
17	(2015, 2, 20, 0, 0)	(2015, 2, 26, 23, 59)	30	0		解救奴隶	GEJ_JJNL_US	1	30	活动期间，每日解救奴隶达到指定次数（无论是否成功），即可领取奖励。每种奖励每日限领1次。每日的奖励只能当天领取。	2015,2,20,2015,2,26		2
18	(2014, 12, 5, 0, 0)	(2014, 12, 11, 23, 59)	15	0		英灵勇士	GEJ_YLYS_US	1	30	活动期间，率先完成英灵神殿指定章节，即可领取奖励。所有章节只有全服最先通关的前5名玩家才能领取，数量有限，先领先得。	2014,12,5,2014,12,11		3
19	(2016, 3, 18, 0, 0)	(2016, 3, 24, 0, 0)	30	0		恶魔深渊挑战	GEJ_EMSY1_US	1	30	活动期间，每日成功通关恶魔深渊指定次数，即可领取奖励。每种奖励每日限领1次。每日的奖励只能当天领取。	2016,3,18,2016,3,24		2
1019	(2016, 2, 12, 0, 0)	(2016, 2, 25, 0, 0)	30	0		恶魔深渊挑战	GEJ_EMSY1_US	1	30	活动期间，每日成功通关恶魔深渊指定次数，即可领取奖励。每种奖励每日限领1次。每日的奖励只能当天领取。	2016,2,12,2016,2,25		2
20	(2014, 12, 5, 0, 0)	(2014, 12, 7, 23, 59)	15	0		一次性消费	GEJ_YCXF_US	1	30	活动期间，每日一次性消费达到指定额度，即可通过邮件获得奖励。每次消费只能获得最高档次奖励，每种档次奖励不限数量。注意：每日的奖励通过邮件发放，请注意领取！	2014,12,5,2014,12,7		3
21	(2014, 12, 5, 0, 0)	(2014, 12, 7, 23, 59)	15	0		宠物培养	GEJ_CWPY_US	1	30	活动期间，每日宠物培养一定次数获得奖励，即可领取奖励。每种奖励每日限领1次。每日的奖励只能当天领取。	2014,12,5,2014,12,7		3
22	(2014, 12, 5, 0, 0)	(2014, 12, 7, 23, 59)	15	0		宠物升星	GEJ_CWSX_US	1	30	活动期间，培养任意一只宠物到相应星级，即可领取奖励。每个星级仅且只能领取一次奖励。	2014,12,5,2014,12,7		3
23	(2015, 1, 9, 0, 0)	(2015, 1, 15, 23, 59)	30	0		坐骑培养	GEJ_ZQPY_US	1	30	活动期间，每日坐骑培养相应次数，即可领取奖励。每种奖励每日限领1次。每日的奖励只能当天领取。	2015,1,9,2015,1,15		2
24	(2014, 12, 12, 0, 0)	(2014, 12, 18, 23, 59)	30	0		抓捕奴隶	GEJ_ZBNL_US	1	30	活动期间，每日抓捕奴隶达到指定次数（成功不成功都算），即可领取奖励。每种奖励每日限领1次。每日的奖励只能当天领取。	2014,12,12,2014,12,18		2
25	(2015, 2, 13, 0, 0)	(2015, 2, 19, 23, 59)	30	0		英灵勇士(2)	GEJ_YLYS2_US	1	30	活动期间，每日挑战英灵神殿副本达到指定次数（只有成功挑战和扫荡才算），即可领取奖励。每种奖励每日限领1次。每日的奖励只能当天领取。	2015,2,13,2015,2,19		2
26	(2016, 3, 11, 0, 0)	(2016, 3, 24, 0, 0)	30	0		累计消费	GEJ_LJXF_US	1	30	活动期间，消费神石累计达到指定额度，即可领取奖励。每种奖励只能领取1次。	2016,3,11,2016,3,24		8
1026	(2015, 5, 15, 0, 0)	(2015, 5, 21, 23, 59)	30	0		累计消费	GEJ_LJXF_US	1	30	活动期间，消费神石累计达到指定额度，即可领取奖励。每种奖励只能领取1次。	2015,5,15,2015,5,21		8
2026	(2015, 5, 15, 0, 0)	(2015, 5, 21, 23, 59)	30	0		累计消费	GEJ_LJXF_US	1	30	活动期间，消费神石累计达到指定额度，即可领取奖励。每种奖励只能领取1次。	2015,5,15,2015,5,21		8
27	(2014, 12, 12, 0, 0)	(2014, 12, 14, 23, 59)	30	0		宠物附灵升级	GEJ_CWFL_US	1	30	活动期间，任意一个宠物之灵升级到相应等级，即可领取奖励。每种奖励仅能领1次。	2014,12,12,2014,12,14		3
28	(2014, 12, 12, 0, 0)	(2014, 12, 14, 23, 59)	30	0		宠物转盘	GEJ_CWZP_US	1	30	活动期间，使用宠物转盘达到指定次数，即可领取奖励。每种奖励每日限领1次。每日的奖励只能当天领取。	2014,12,12,2014,12,14		1
29	(2014, 12, 15, 0, 0)	(2014, 12, 18, 23, 59)	30	0		装备强化	GEJ_ZBQH_US	1	30	活动期间，每日强化装备到达指定次数，即可领取奖励。每种奖励每日限领1次。每日的奖励只能当天领取。	2014,12,15,2014,12,18		2
31	(2014, 12, 19, 0, 0)	(2014, 12, 21, 23, 59)	30	0		宠物修行	WSJ_CWXX_US	1	30	活动期间，任意一个宠物修行到相应阶段获取奖励，即可领取奖励。每种奖励仅能领1次。	2014,12,19,2014,12,21		3
32	(2015, 2, 22, 0, 0)	(2015, 2, 26, 23, 59)	30	0		占卜天天乐	WSJ_ZBTTL_US	1	30	活动期间，获得对应颜色的命魂（包括礼包开出来的）指定数量，即可领取奖励。每种奖励每日限领1次。每日的奖励只能当天领取。	2015,2,22,2015,2,26		2
33	(2014, 12, 22, 0, 0)	(2014, 12, 25, 23, 59)	30	0		占卜大家乐	WSJ_ZBDJL_US	1	30	活动期间，每天占卜达到指定次数（不包括礼包开出来的命魂），即可领取奖励。每种奖励每日限领1次。每日的奖励只能当天领取。	2014,12,22,2014,12,25		2
34	(2014, 12, 26, 0, 0)	(2014, 12, 28, 23, 59)	30	0		每日宝石合成	WSJ_MRBSHC_US	1	30	活动期间合成规定数量的指定等级宝石，即可领取丰厚奖励。每种奖励每日限领1次。每日的奖励只能当天领取。	2014,12,26,2014,12,28		3
35	(2014, 12, 26, 0, 0)	(2014, 12, 28, 23, 59)	30	0		宝石购买	WSJ_BSGM_US	1	30	活动期间，每天购买相应等级宝石 即可获得奖励。每种奖励每日限领1次。每日的奖励只能当天领取。	2014,12,26,2014,12,28		1
36	(2015, 1, 23, 0, 0)	(2015, 1, 29, 23, 59)	30	0		累计宠物培养	GEJ_CWPY_US	1	30	活动期间，累计宠物培养达到指定次数，即可领取奖励。每种奖励限领1次。	2015,1,23,2015,1,29		3
37	(2015, 1, 9, 0, 0)	(2015, 1, 15, 23, 59)	30	0		符文合成	GEJ_FWHC_US	1	30	活动期间，累计合成符文达到指定数量，即可领取奖励。每种奖励限领1次。	2015,1,9,2015,1,15		3
38	(2015, 3, 20, 0, 0)	(2015, 3, 26, 23, 59)	30	0		喜结良缘	GEJ_XJLY_US	1	30	活动期间，玩家完成指定婚礼即可获得奖励，该奖励每个玩家最多领取一次。	2015,3,20,2015,3,26		1
1038	(2015, 2, 14, 0, 0)	(2015, 2, 14, 23, 59)	30	0		喜结良缘	GEJ_XJLY_US	1	30	活动期间，玩家完成指定婚礼即可获得奖励，该奖励每个玩家最多领取一次。	2015,2,14,2015,2,14		1
39	(2015, 2, 9, 0, 0)	(2015, 2, 12, 23, 59)	30	0		亲密派对	GEJ_QMPD_US	1	30	活动期间，达到指定类型派对指定次数就可获得奖励，该奖励每个玩家最多领取一次。	2015,2,9,2015,2,12		2
1039	(2015, 2, 14, 0, 0)	(2015, 2, 14, 23, 59)	30	0		亲密派对	GEJ_QMPD_US	1	30	活动期间，达到指定类型派对指定次数就可获得奖励，该奖励每个玩家最多领取一次。	2015,2,14,2015,2,14		2
40	(2015, 3, 20, 0, 0)	(2015, 3, 26, 23, 59)	30	0		情缘副本	GEJ_QYFB_US	1	30	活动期间，情缘副本达到指定次数就可获得奖励，该奖励每个玩家最多领取一次。	2015,3,20,2015,3,26		1
1040	(2015, 2, 14, 0, 0)	(2015, 2, 19, 23, 59)	30	0		情缘副本	GEJ_QYFB_US	1	30	活动期间，情缘副本达到指定次数就可获得奖励，该奖励每个玩家最多领取一次。	2015,2,14,2015,2,19		1
2040	(2015, 2, 27, 0, 0)	(2015, 3, 5, 23, 59)	30	0		情缘副本	GEJ_QYFB_US	1	30	活动期间，情缘副本达到指定次数就可获得奖励，该奖励每个玩家最多领取一次。	2015,2,27,2015,3,5		1
