level	reward1	reward2	reward3
153	(27167, 2)	(27709, 1)	(27709, 4)
154	(27167, 2)	(27709, 1)	(27709, 4)
155	(27167, 2)	(27709, 1)	(27709, 4)
156	(27167, 2)	(27709, 1)	(27709, 4)
157	(27167, 2)	(27709, 1)	(27709, 4)
158	(27167, 2)	(27709, 1)	(27709, 4)
159	(27167, 2)	(27709, 1)	(27709, 4)
160	(27167, 2)	(27709, 1)	(27709, 4)
161	(27167, 2)	(27709, 1)	(27709, 4)
162	(27167, 2)	(27709, 1)	(27709, 4)
163	(27167, 2)	(27709, 1)	(27709, 4)
164	(27167, 2)	(27709, 1)	(27709, 4)
165	(27167, 2)	(27709, 1)	(27709, 4)
166	(27167, 2)	(27709, 1)	(27709, 4)
167	(27167, 2)	(27709, 1)	(27709, 4)
168	(27167, 2)	(27709, 1)	(27709, 4)
169	(27167, 2)	(27709, 1)	(27709, 4)
170	(27167, 2)	(27709, 1)	(27709, 4)
171	(27167, 2)	(27709, 1)	(27709, 4)
172	(27167, 2)	(27709, 1)	(27709, 4)
173	(27167, 2)	(27709, 1)	(27709, 4)
174	(27167, 2)	(27709, 1)	(27709, 4)
175	(27167, 2)	(27709, 1)	(27709, 4)
176	(27167, 2)	(27709, 1)	(27709, 4)
177	(27167, 2)	(27709, 1)	(27709, 4)
178	(27167, 2)	(27709, 1)	(27709, 4)
179	(27167, 2)	(27709, 1)	(27709, 4)
