DKCLevel	rewardPoolId	rateValue	rewardItems
9	2	1600	[(1,28234,1),(2,28234,2),(3,27041,3),(4,27042,2),(5,25831,5),(6,25970,5),(7,27818,5),(8,27669,4),(9,27669,5),(10,27669,6),(11,27669,8),(12,29247,1)]
9	3	320	[(1,28234,4),(2,28234,5),(3,27041,5),(4,27042,4),(5,25831,10),(6,25970,10),(7,27818,10),(8,27669,10),(9,27669,12),(10,27669,15),(11,27669,20),(12,29178,1)]
9	4	80	[(1,28234,8),(2,28234,10),(3,27041,8),(4,27042,6),(5,28585,1),(6,27709,1),(7,27669,20),(8,27669,24),(9,27669,25),(10,27669,30),(11,29183,1)]
10	1	8000	[(1,28589,1),(2,28590,1),(3,28591,1),(4,28592,1),(5,28593,1),(6,25642,5),(7,27669,5),(8,27669,3),(9,27669,2)]
10	2	1600	[(1,28234,1),(2,28234,2),(3,27041,3),(4,27042,2),(5,25831,5),(6,25970,5),(7,27818,5),(8,27669,4),(9,27669,5),(10,27669,6),(11,27669,8),(12,29247,1)]
10	3	320	[(1,28234,4),(2,28234,5),(3,27041,5),(4,27042,4),(5,25831,10),(6,25970,10),(7,27818,10),(8,27669,10),(9,27669,12),(10,27669,15),(11,27669,20),(12,29188,1)]
10	4	80	[(1,28234,8),(2,28234,10),(3,27041,8),(4,27042,6),(5,28586,1),(6,27709,1),(7,27669,20),(8,27669,24),(9,27669,25),(10,27669,30),(11,29193,1)]
11	1	8000	[(1,28589,1),(2,28590,1),(3,28591,1),(4,28592,1),(5,28593,1),(6,25642,5),(7,27669,5),(8,27669,3),(9,27669,2)]
11	2	1600	[(1,28234,1),(2,28234,2),(3,27041,3),(4,27042,2),(5,25831,5),(6,25970,5),(7,27818,5),(8,27669,4),(9,27669,5),(10,27669,6),(11,27669,8),(12,29247,1)]
11	3	320	[(1,28234,4),(2,28234,5),(3,27041,5),(4,27042,4),(5,25831,10),(6,25970,10),(7,27818,10),(8,27669,10),(9,27669,12),(10,27669,15),(11,27669,20),(12,29198,1)]
11	4	80	[(1,28234,8),(2,28234,10),(3,27041,8),(4,27042,6),(5,28902,1),(6,27709,1),(7,27669,20),(8,27669,24),(9,27669,25),(10,27669,30),(11,29203,1)]
12	1	8000	[(1,28589,1),(2,28590,1),(3,28591,1),(4,28592,1),(5,28593,1),(6,25642,5),(7,27669,5),(8,27669,3),(9,27669,2)]
12	2	1600	[(1,28234,1),(2,28234,2),(3,27041,3),(4,27042,2),(5,25831,5),(6,25970,5),(7,27818,5),(8,27669,4),(9,27669,5),(10,27669,6),(11,27669,8),(12,29247,1)]
12	3	320	[(1,28234,4),(2,28234,5),(3,27041,5),(4,27042,4),(5,25831,10),(6,25970,10),(7,27818,10),(8,27669,10),(9,27669,12),(10,27669,15),(11,27669,20),(12,29208,1)]
12	4	80	[(1,28234,8),(2,28234,10),(3,27041,8),(4,27042,6),(5,28903,1),(6,27709,1),(7,27669,20),(8,27669,24),(9,27669,25),(10,27669,30),(11,29213,1)]
13	1	8000	[(1,28589,1),(2,28590,1),(3,28591,1),(4,28592,1),(5,28593,1),(6,25642,5),(7,27669,5),(8,27669,3),(9,27669,2)]
13	2	1600	[(1,28234,1),(2,28234,2),(3,27041,3),(4,27042,2),(5,25831,5),(6,25970,5),(7,27818,5),(8,27669,4),(9,27669,5),(10,27669,6),(11,27669,8),(12,29247,1)]
13	3	320	[(1,28234,4),(2,28234,5),(3,27041,5),(4,27042,4),(5,25831,10),(6,25970,10),(7,27818,10),(8,27669,10),(9,27669,12),(10,27669,15),(11,27669,20),(12,29208,1)]
13	4	80	[(1,28234,8),(2,28234,10),(3,27041,8),(4,27042,6),(5,29374,1),(6,27709,1),(7,27669,20),(8,27669,24),(9,27669,25),(10,27669,30),(11,29213,1)]
