goodsId	goodsType	isTreasure	valIndex	LevelVal	moneyType	currPrice	originPrice	apperaPro	golds	bindRMB	unbindRMB	point	needCoding	rewards
48	2	1	3	[80,99]	3	665	895	1000	0	0	665	0	0	[26042,1]
49	2	1	3	[80,99]	3	200	250	1000	0	0	200	0	0	[25837,5]
50	2	1	3	[80,99]	3	375	475	1000	0	0	375	0	0	[26144,5]
51	2	1	3	[80,99]	3	155	225	1000	0	0	155	0	0	[26272,5]
52	1	1	4	[100,119]	1	1000000	1000000	2250	1000000	0	0	0	0	[25642,50]
53	1	0	4	[100,119]	1	1200000	1200000	2250	1200000	0	0	0	0	[25664,20]
54	1	0	4	[100,119]	1	1200000	1200000	2250	1200000	0	0	0	0	[25669,20]
55	1	0	4	[100,119]	1	500000	500000	2250	500000	0	0	0	0	[25971,10]
56	1	0	4	[100,119]	2	405	405	1500	0	405	0	0	0	[26026,1]
57	1	0	4	[100,119]	2	205	205	1500	0	205	0	0	0	[26267,1]
58	1	0	4	[100,119]	2	1295	1295	1500	0	1295	0	0	0	[26042,1]
59	2	0	4	[100,119]	3	45	150	1000	0	0	45	0	0	[25831,3]
60	2	0	4	[100,119]	3	45	150	1000	0	0	45	0	0	[26043,3]
61	2	0	4	[100,119]	3	45	150	1000	0	0	45	0	0	[25970,3]
62	1	0	4	[100,119]	2	250	250	1500	0	250	0	0	0	[25837,5]
63	1	0	4	[100,119]	2	475	475	1500	0	475	0	0	0	[26144,5]
64	1	0	4	[100,119]	2	225	225	1500	0	225	0	0	0	[26272,5]
66	2	1	4	[100,119]	3	195	295	1000	0	0	195	0	0	[26026,1]
67	2	1	4	[100,119]	3	125	155	1000	0	0	125	0	0	[26267,1]
68	2	1	4	[100,119]	3	665	895	1000	0	0	665	0	0	[26042,1]
69	2	1	4	[100,119]	3	200	250	1000	0	0	200	0	0	[25837,5]
70	2	1	4	[100,119]	3	375	475	1000	0	0	375	0	0	[26144,5]
71	2	1	4	[100,119]	3	155	225	1000	0	0	155	0	0	[26272,5]
72	1	1	5	[120,139]	1	1500000	1500000	2250	1500000	0	0	0	0	[25642,50]
73	1	0	5	[120,139]	1	1300000	1300000	2250	1300000	0	0	0	0	[25665,20]
74	1	0	5	[120,139]	1	1300000	1300000	2250	1300000	0	0	0	0	[25670,20]
75	1	0	5	[120,139]	1	500000	500000	2250	500000	0	0	0	0	[25971,10]
76	1	0	5	[120,139]	2	405	405	1500	0	405	0	0	0	[26026,1]
77	1	0	5	[120,139]	2	205	205	1500	0	205	0	0	0	[26267,1]
78	1	0	5	[120,139]	2	1295	1295	1500	0	1295	0	0	0	[26042,1]
79	2	0	5	[120,139]	3	45	150	1000	0	0	45	0	0	[25831,3]
80	2	0	5	[120,139]	3	45	150	1000	0	0	45	0	0	[26043,3]
81	2	0	5	[120,139]	3	45	150	1000	0	0	45	0	0	[25970,3]
82	1	0	5	[120,139]	2	250	250	1500	0	250	0	0	0	[25837,5]
83	1	0	5	[120,139]	2	475	475	1500	0	475	0	0	0	[26144,5]
84	1	0	5	[120,139]	2	225	225	1500	0	225	0	0	0	[26272,5]
86	2	1	5	[120,139]	3	195	295	1000	0	0	195	0	0	[26026,1]
87	2	1	5	[120,139]	3	125	155	1000	0	0	125	0	0	[26267,1]
88	2	1	5	[120,139]	3	665	895	1000	0	0	665	0	0	[26042,1]
89	2	1	5	[120,139]	3	200	250	1000	0	0	200	0	0	[25837,5]
90	2	1	5	[120,139]	3	375	475	1000	0	0	375	0	0	[26144,5]
91	2	1	5	[120,139]	3	155	225	1000	0	0	155	0	0	[26272,5]
92	1	0	6	[140,159]	1	1500000	1500000	2250	1500000	0	0	0	0	[25642,50]
93	1	0	6	[140,159]	1	1500000	1500000	2250	1500000	0	0	0	0	[27048,20]
94	1	0	6	[140,159]	1	1500000	1500000	2250	1500000	0	0	0	0	[27049,20]
95	2	1	6	[140,159]	1	500000	500000	2250	500000	0	0	0	0	[25971,10]
96	1	0	6	[140,159]	2	405	405	1125	0	405	0	0	0	[26026,1]
97	1	0	6	[140,159]	2	205	205	1125	0	205	0	0	0	[26267,1]
98	2	1	6	[140,159]	2	1295	1295	1125	0	1295	0	0	0	[26042,1]
99	2	1	6	[140,159]	3	45	150	1000	0	0	45	0	0	[25831,3]
100	2	1	6	[140,159]	3	45	150	1000	0	0	45	0	0	[26043,3]
101	2	1	6	[140,159]	3	45	150	1000	0	0	45	0	0	[25970,3]
102	2	1	6	[140,159]	2	250	250	1125	0	250	0	0	0	[25837,5]
103	1	0	6	[140,159]	2	475	475	1125	0	475	0	0	0	[26144,5]
104	1	0	6	[140,159]	2	225	225	1125	0	225	0	0	0	[26272,5]
105	1	0	6	[140,159]	3	195	295	1125	0	0	195	0	0	[26026,1]
106	1	0	6	[140,159]	3	125	155	1125	0	0	125	0	0	[26267,1]
107	1	0	6	[140,159]	3	665	895	1125	0	0	665	0	0	[26042,1]
108	1	0	6	[140,159]	3	200	250	1125	0	0	200	0	0	[25837,5]
109	1	0	6	[140,159]	3	375	475	1125	0	0	375	0	0	[26144,5]
110	2	1	6	[140,159]	3	155	225	1125	0	0	155	0	0	[26272,5]
111	1	0	1	[30,59]	5	20	20	1000	0	0	0	0	(27653,20)	[26026,1]
112	1	0	2	[60,79]	5	20	20	1000	0	0	0	0	(27653,20)	[26026,1]
113	1	0	3	[80,99]	5	20	20	1000	0	0	0	0	(27653,20)	[26026,1]
114	1	0	4	[100,119]	5	20	20	1000	0	0	0	0	(27653,20)	[26026,1]
115	1	0	5	[120,139]	5	20	20	1000	0	0	0	0	(27653,20)	[26026,1]
116	1	0	6	[140,159]	5	20	20	1000	0	0	0	0	(27653,20)	[26026,1]
117	2	1	3	[80,99]	5	500	500	1000	0	0	0	0	(27653,500)	[27084,1]
118	2	1	4	[100,119]	5	500	500	1000	0	0	0	0	(27653,500)	[27084,1]
119	2	1	5	[120,139]	5	500	500	1000	0	0	0	0	(27653,500)	[27084,1]
120	2	1	6	[140,159]	5	500	500	1000	0	0	0	0	(27653,500)	[27084,1]
121	1	0	7	[160,179]	1	1500000	1500000	2250	1500000	0	0	0	0	[25642,50]
122	1	0	7	[160,179]	1	1500000	1500000	2250	1500000	0	0	0	0	[27904,20]
123	1	0	7	[160,179]	1	1500000	1500000	2250	1500000	0	0	0	0	[27905,20]
124	2	1	7	[160,179]	1	500000	500000	2250	500000	0	0	0	0	[25971,10]
125	1	0	7	[160,179]	2	405	405	1125	0	405	0	0	0	[26026,1]
126	1	0	7	[160,179]	2	205	205	1125	0	205	0	0	0	[26267,1]
127	2	1	7	[160,179]	2	1295	1295	1125	0	1295	0	0	0	[26042,1]
128	2	1	7	[160,179]	3	45	150	1000	0	0	45	0	0	[25831,3]
129	2	1	7	[160,179]	3	45	150	1000	0	0	45	0	0	[26043,3]
130	2	1	7	[160,179]	3	45	150	1000	0	0	45	0	0	[25970,3]
131	2	1	7	[160,179]	2	250	250	1125	0	250	0	0	0	[25837,5]
132	1	0	7	[160,179]	2	475	475	1125	0	475	0	0	0	[26144,5]
133	1	0	7	[160,179]	2	225	225	1125	0	225	0	0	0	[26272,5]
134	1	0	7	[160,179]	3	195	295	1125	0	0	195	0	0	[26026,1]
135	1	0	7	[160,179]	3	125	155	1125	0	0	125	0	0	[26267,1]
136	1	0	7	[160,179]	3	665	895	1125	0	0	665	0	0	[26042,1]
137	1	0	7	[160,179]	3	200	250	1125	0	0	200	0	0	[25837,5]
138	1	0	7	[160,179]	3	375	475	1125	0	0	375	0	0	[26144,5]
139	2	1	7	[160,179]	3	155	225	1125	0	0	155	0	0	[26272,5]
140	1	0	7	[160,179]	5	20	20	1000	0	0	0	0	(27653,20)	[26026,1]
141	2	1	7	[160,179]	5	500	500	1000	0	0	0	0	(27653,500)	[27084,1]
