level	grade	maxhp	attackspeed	anger	attack_p	defense_p	attack_m	defense_m	crit	critpress	antibroken	notbroken	parry	puncture	damageupgrade	damagereduce
158	8	24120	0	0	8040	0	8040	0	0	0	0	0	0	0	0	0
159	8	24360	0	0	8120	0	8120	0	0	0	0	0	0	0	0	0
160	8	24600	0	0	8200	0	8200	0	0	0	0	0	0	0	0	0
160	9	25800	0	0	8600	0	8600	0	0	0	0	0	0	0	0	0
161	9	26055	0	0	8685	0	8685	0	0	0	0	0	0	0	0	0
162	9	26310	0	0	8770	0	8770	0	0	0	0	0	0	0	0	0
163	9	26565	0	0	8855	0	8855	0	0	0	0	0	0	0	0	0
164	9	26820	0	0	8940	0	8940	0	0	0	0	0	0	0	0	0
165	9	27075	0	0	9025	0	9025	0	0	0	0	0	0	0	0	0
166	9	27330	0	0	9110	0	9110	0	0	0	0	0	0	0	0	0
167	9	27585	0	0	9195	0	9195	0	0	0	0	0	0	0	0	0
168	9	27840	0	0	9280	0	9280	0	0	0	0	0	0	0	0	0
169	9	28095	0	0	9365	0	9365	0	0	0	0	0	0	0	0	0
170	9	28350	0	0	9450	0	9450	0	0	0	0	0	0	0	0	0
171	9	28620	0	0	9540	0	9540	0	0	0	0	0	0	0	0	0
172	9	28890	0	0	9630	0	9630	0	0	0	0	0	0	0	0	0
173	9	29160	0	0	9720	0	9720	0	0	0	0	0	0	0	0	0
174	9	29430	0	0	9810	0	9810	0	0	0	0	0	0	0	0	0
175	9	29700	0	0	9900	0	9900	0	0	0	0	0	0	0	0	0
176	9	29970	0	0	9990	0	9990	0	0	0	0	0	0	0	0	0
177	9	30240	0	0	10080	0	10080	0	0	0	0	0	0	0	0	0
178	9	30510	0	0	10170	0	10170	0	0	0	0	0	0	0	0	0
179	9	30780	0	0	10260	0	10260	0	0	0	0	0	0	0	0	0
180	9	31050	0	0	10350	0	10350	0	0	0	0	0	0	0	0	0
180	10	32400	0	0	10800	0	10800	0	0	0	0	0	0	0	0	0
181	10	32685	0	0	10895	0	10895	0	0	0	0	0	0	0	0	0
182	10	32970	0	0	10990	0	10990	0	0	0	0	0	0	0	0	0
183	10	33255	0	0	11085	0	11085	0	0	0	0	0	0	0	0	0
184	10	33540	0	0	11180	0	11180	0	0	0	0	0	0	0	0	0
185	10	33825	0	0	11275	0	11275	0	0	0	0	0	0	0	0	0
186	10	34110	0	0	11370	0	11370	0	0	0	0	0	0	0	0	0
187	10	34395	0	0	11465	0	11465	0	0	0	0	0	0	0	0	0
188	10	34680	0	0	11560	0	11560	0	0	0	0	0	0	0	0	0
189	10	34965	0	0	11655	0	11655	0	0	0	0	0	0	0	0	0
190	10	35250	0	0	11750	0	11750	0	0	0	0	0	0	0	0	0
191	10	35550	0	0	11850	0	11850	0	0	0	0	0	0	0	0	0
192	10	35850	0	0	11950	0	11950	0	0	0	0	0	0	0	0	0
193	10	36150	0	0	12050	0	12050	0	0	0	0	0	0	0	0	0
194	10	36450	0	0	12150	0	12150	0	0	0	0	0	0	0	0	0
195	10	36750	0	0	12250	0	12250	0	0	0	0	0	0	0	0	0
196	10	37050	0	0	12350	0	12350	0	0	0	0	0	0	0	0	0
197	10	37350	0	0	12450	0	12450	0	0	0	0	0	0	0	0	0
198	10	37650	0	0	12550	0	12550	0	0	0	0	0	0	0	0	0
199	10	37950	0	0	12650	0	12650	0	0	0	0	0	0	0	0	0
200	10	38250	0	0	12750	0	12750	0	0	0	0	0	0	0	0	0
