actId	idx	desc	rewardMoney	rewardRMB	rewardItem	rewardItemShow	needTiLi	needDailyDoScore	needMountEvolveId	needGoldCnt	needOnlineTime	needYellowTarotCnt	needTarotLevel	needXinYueChangGong	needXinYueZhanFu	needUnionFB	needDragonLevel	needRuneCnt	needMountTrainCnt	needMountLevelCnt	needWingTrainCnt	needWingLevel	needVIP	needPetCulCnt	needPetLevelCnt	needFuwenLevel
5	3	累计在线120分钟	0	30	[]	[(25829,30)]	0	0	0	0	7200	0	0	0	0	()	0	0	0	(0,0)	0	0	0	0		0
6	1	累计在线30分钟	0	0	[(25600,5)]	[(25600,5)]	0	0	0	0	1800	0	0	0	0	()	0	0	0	(0,0)	0	0	0	0		0
6	2	累计在线60分钟	0	0	[(26032,5)]	[(26032,5)]	0	0	0	0	3600	0	0	0	0	()	0	0	0	(0,0)	0	0	0	0		0
6	3	累计在线120分钟	0	50	[]	[(25829,50)]	0	0	0	0	7200	0	0	0	0	()	0	0	0	(0,0)	0	0	0	0		0
7	1	获得1个黄色命魂	0	0	[(26043,10)]	[(26043,10)]	0	0	0	0	0	1	0	0	0	()	0	0	0	(0,0)	0	0	0	0		0
7	2	获得2个黄色命魂	0	0	[(26043,15)]	[(26043,15)]	0	0	0	0	0	2	0	0	0	()	0	0	0	(0,0)	0	0	0	0		0
7	3	获得3个黄色命魂	0	0	[(26043,20)]	[(26043,20)]	0	0	0	0	0	3	0	0	0	()	0	0	0	(0,0)	0	0	0	0		0
8	1	紫色以上命魂≥5级	100000	0	[(26043,5)]	[(25828,100000),(26043,5)]	0	0	0	0	0	0	5	0	0	()	0	0	0	(0,0)	0	0	0	0		0
8	2	紫色以上命魂≥6级	150000	0	[(26043,10)]	[(25828,150000),(26043,10)]	0	0	0	0	0	0	6	0	0	()	0	0	0	(0,0)	0	0	0	0		0
8	3	紫色以上命魂≥7级	200000	0	[(26043,15)]	[(25828,200000),(26043,15)]	0	0	0	0	0	0	7	0	0	()	0	0	0	(0,0)	0	0	0	0		0
9	1	获得2个新月长弓	200000	0	[(25971,10)]	[(25828,300000),(25971,10)]	0	0	0	0	0	0	0	2	0	()	0	0	0	(0,0)	0	0	0	0		0
9	2	获得4个新月长弓	300000	0	[(25971,20)]	[(25828,300000),(25971,20)]	0	0	0	0	0	0	0	4	0	()	0	0	0	(0,0)	0	0	0	0		0
9	3	获得2个新月战斧	300000	0	[(25971,20)]	[(25828,200000),(25971,20)]	0	0	0	0	0	0	0	0	2	()	0	0	0	(0,0)	0	0	0	0		0
9	4	获得4个新月战斧	400000	0	[(25971,30)]	[(25828,400000),(25971,30)]	0	0	0	0	0	0	0	0	4	()	0	0	0	(0,0)	0	0	0	0		0
10	1	通关绝美艳后	100000	0	[(25971,10)]	[(25828,100000),(25971,10)]	0	0	0	0	0	0	0	0	0	(1,1)	0	0	0	(0,0)	0	0	0	0		0
10	2	通关圣辉护卫	150000	0	[(25971,15)]	[(25828,150000),(25971,15)]	0	0	0	0	0	0	0	0	0	(1,2)	0	0	0	(0,0)	0	0	0	0		0
10	3	通关圣光祭祀	200000	0	[(25971,20)]	[(25828,200000),(25971,20)]	0	0	0	0	0	0	0	0	0	(1,3)	0	0	0	(0,0)	0	0	0	0		0
11	1	神龙等级≥20级	0	0	[(26451,5),(26452,10)]	[(26451,5),(26452,10)]	0	0	0	0	0	0	0	0	0	()	20	0	0	(0,0)	0	0	0	0		0
11	2	神龙等级≥40级	0	0	[(26451,10),(26453,10)]	[(26451,10),(26453,10)]	0	0	0	0	0	0	0	0	0	()	40	0	0	(0,0)	0	0	0	0		0
12	1	4级符文购买数量≥10	0	0	[(25970,5)]	[(25970,5)]	0	0	0	0	0	0	0	0	0	()	0	10	0	(0,0)	0	0	0	0		0
12	2	4级符文购买数量≥20	0	0	[(25970,10)]	[(25970,10)]	0	0	0	0	0	0	0	0	0	()	0	20	0	(0,0)	0	0	0	0		0
12	3	4级符文购买数量≥30	0	0	[(25970,15)]	[(25970,15)]	0	0	0	0	0	0	0	0	0	()	0	30	0	(0,0)	0	0	0	0		0
13	1	每日培养坐骑10次	0	0	[(25600,1)]	[(25600,1)]	0	0	0	0	0	0	0	0	0	()	0	0	10	(0,0)	0	0	0	0		0
13	2	每日培养坐骑30次	0	0	[(25600,3)]	[(25600,3)]	0	0	0	0	0	0	0	0	0	()	0	0	30	(0,0)	0	0	0	0		0
13	3	每日培养坐骑60次	0	0	[(25600,5)]	[(25600,5)]	0	0	0	0	0	0	0	0	0	()	0	0	60	(0,0)	0	0	0	0		0
13	4	每日培养坐骑100次	0	0	[(25600,10)]	[(25600,10)]	0	0	0	0	0	0	0	0	0	()	0	0	100	(0,0)	0	0	0	0		0
14	1	拥有2阶坐骑人数达到20人，贵族1及以上可领取	0	0	[(25600,5),(25640,5)]	[(25600,5),(25640,5)]	0	0	0	0	0	0	0	0	0	()	0	0	0	(21,20)	0	0	1	1		0
14	2	拥有3阶坐骑人数达到5人，贵族2及以上可领取	0	0	[(25600,10),(25641,5)]	[(25600,10),(25641,5)]	0	0	0	0	0	0	0	0	0	()	0	0	0	(31,5)	0	0	2	2		0
14	3	拥有4阶坐骑人数达到5人，贵族2及以上可领取	0	0	[(25600,20),(25642,5)]	[(25600,20),(25642,5)]	0	0	0	0	0	0	0	0	0	()	0	0	0	(41,5)	0	0	2	2		0
15	1	拥有5阶坐骑人数达到2人，贵族2及以上可领取	200000	0	[(25600,10)]	[(25828,200000),(25600,10)]	0	0	0	0	0	0	0	0	0	()	0	0	0	(51,2)	0	0	2	2		0
15	2	拥有5阶坐骑人数达到3人，贵族2及以上可领取	200000	0	[(25600,10)]	[(25828,200000),(25600,10)]	0	0	0	0	0	0	0	0	0	()	0	0	0	(51,3)	0	0	2	2		0
15	3	拥有6阶坐骑人数达到1人，贵族2及以上可领取	300000	0	[(25600,20)]	[(25828,300000),(25600,20)]	0	0	0	0	0	0	0	0	0	()	0	0	0	(61,1)	0	0	2	2		0
15	4	拥有6阶坐骑人数达到2人，贵族2及以上可领取	300000	0	[(25600,20)]	[(25828,300000),(25600,20)]	0	0	0	0	0	0	0	0	0	()	0	0	0	(61,2)	0	0	2	2		0
15	5	拥有7阶坐骑人数达到1人，贵族2及以上可领取	500000	0	[(25600,30)]	[(25828,500000),(25600,30)]	0	0	0	0	0	0	0	0	0	()	0	0	0	(71,1)	0	0	2	2		0
16	1	每日培养羽翼50次	500000	0	[(25646,1)]	[(25828,500000),(25646,1)]	0	0	0	0	0	0	0	0	0	()	0	0	0	(0,0)	50	0	0	0		0
16	2	每日培养羽翼100次	500000	0	[(25646,2)]	[(25828,500000),(25646,2)]	0	0	0	0	0	0	0	0	0	()	0	0	0	(0,0)	100	0	0	0		0
16	3	每日培养羽翼250次	1000000	0	[(25646,4)]	[(25828,1000000),(25646,4)]	0	0	0	0	0	0	0	0	0	()	0	0	0	(0,0)	250	0	0	0		0
17	1	任意1个羽翼达到2级	200000	0	[(25644,1)]	[(25828,200000),(25644,1)]	0	0	0	0	0	0	0	0	0	()	0	0	0	(0,0)	0	2	0	0		0
17	2	任意1个羽翼达到3级	250000	0	[(25644,2)]	[(25828,250000),(25644,2)]	0	0	0	0	0	0	0	0	0	()	0	0	0	(0,0)	0	3	0	0		0
17	3	任意1个羽翼达到4级	400000	0	[(25646,4)]	[(25828,400000),(25646,4)]	0	0	0	0	0	0	0	0	0	()	0	0	0	(0,0)	0	4	0	0		0
17	4	任意1个羽翼达到5级	600000	0	[(25646,6)]	[(25828,600000),(25646,6)]	0	0	0	0	0	0	0	0	0	()	0	0	0	(0,0)	0	5	0	0		0
18	1	拥有1只2星宠物	0	0	[(25970,5)]	[(25970,5)]	0	0	0	0	0	0	0	0	0	()	0	0	0	(0,0)	0	0	0	0	(2,1)	0
18	2	拥有2只2星宠物	0	0	[(25970,5)]	[(25970,5)]	0	0	0	0	0	0	0	0	0	()	0	0	0	(0,0)	0	0	0	0	(2,2)	0
18	3	拥有3只2星宠物	0	0	[(25970,5)]	[(25970,5)]	0	0	0	0	0	0	0	0	0	()	0	0	0	(0,0)	0	0	0	0	(2,3)	0
18	4	拥有4只2星宠物	0	0	[(25970,5)]	[(25970,5)]	0	0	0	0	0	0	0	0	0	()	0	0	0	(0,0)	0	0	0	0	(2,4)	0
18	5	拥有1只3星宠物	0	0	[(25970,15)]	[(25970,15)]	0	0	0	0	0	0	0	0	0	()	0	0	0	(0,0)	0	0	0	0	(3,1)	0
18	6	拥有2只3星宠物	0	0	[(25970,15)]	[(25970,15)]	0	0	0	0	0	0	0	0	0	()	0	0	0	(0,0)	0	0	0	0	(3,2)	0
18	7	拥有3只3星宠物	0	0	[(25970,15)]	[(25970,15)]	0	0	0	0	0	0	0	0	0	()	0	0	0	(0,0)	0	0	0	0	(3,3)	0
18	8	拥有4只3星宠物	0	0	[(25970,15)]	[(25970,15)]	0	0	0	0	0	0	0	0	0	()	0	0	0	(0,0)	0	0	0	0	(3,4)	0
18	9	拥有1只4星宠物	0	0	[(25970,30)]	[(25970,30)]	0	0	0	0	0	0	0	0	0	()	0	0	0	(0,0)	0	0	0	0	(4,1)	0
18	10	拥有2只4星宠物	0	0	[(25970,30)]	[(25970,30)]	0	0	0	0	0	0	0	0	0	()	0	0	0	(0,0)	0	0	0	0	(4,2)	0
18	11	拥有3只4星宠物	0	0	[(25970,30)]	[(25970,30)]	0	0	0	0	0	0	0	0	0	()	0	0	0	(0,0)	0	0	0	0	(4,3)	0
18	12	拥有4只4星宠物	0	0	[(25970,30)]	[(25970,30)]	0	0	0	0	0	0	0	0	0	()	0	0	0	(0,0)	0	0	0	0	(4,4)	0
18	13	拥有1只5星宠物	0	0	[(25970,50)]	[(25970,50)]	0	0	0	0	0	0	0	0	0	()	0	0	0	(0,0)	0	0	0	0	(5,1)	0
18	14	拥有2只5星宠物	0	0	[(25970,50)]	[(25970,50)]	0	0	0	0	0	0	0	0	0	()	0	0	0	(0,0)	0	0	0	0	(5,2)	0
18	15	拥有3只5星宠物	0	0	[(25970,50)]	[(25970,50)]	0	0	0	0	0	0	0	0	0	()	0	0	0	(0,0)	0	0	0	0	(5,3)	0
18	16	拥有4只5星宠物	0	0	[(25970,50)]	[(25970,50)]	0	0	0	0	0	0	0	0	0	()	0	0	0	(0,0)	0	0	0	0	(5,4)	0
19	1	每日宠物培养30次	500000	0	[(25638,1)]	[(25638,1),(25828,500000)]	0	0	0	0	0	0	0	0	0	()	0	0	0	(0,0)	0	0	0	30		0
19	2	每日宠物培养50次	1000000	0	[(25638,2)]	[(25638,2),(25828,1000000)]	0	0	0	0	0	0	0	0	0	()	0	0	0	(0,0)	0	0	0	50		0
20	1	合成1个5级符文	500000	0	[(26151,1),(26152,1)]	[(26151,1),(26152,1),(25828,500000)]	0	0	0	0	0	0	0	0	0	()	0	0	0	(0,0)	0	0	0	0		5
20	2	合成1个6级符文	800000	0	[(26151,2),(26152,2)]	[(26151,2),(26152,2),(25828,800000)]	0	0	0	0	0	0	0	0	0	()	0	0	0	(0,0)	0	0	0	0		6
20	3	合成1个7级符文	1000000	0	[(26151,3),(26152,3)]	[(26151,3),(26152,3),(25828,1000000)]	0	0	0	0	0	0	0	0	0	()	0	0	0	(0,0)	0	0	0	0		7
