LiBaoID	SDType	Cnt	RealPrice	MoneyType	Items	RealItems	RewardMoney	RewardRMB	RewardBindRMB	LiBaoName
16	212	1	13995	0	[(25793,1),(25795,1),(25796,1)]	[(25793,1),(25795,1),(25796,1)]	0	0	0	九级物攻宝石礼包
17	212	8	835	0	[(25749,4),(26047,100)]	[(25749,4)]	0	100	0	法攻宝石礼包
18	212	4	1675	0	[(25764,4),(26047,200)]	[(25764,4)]	0	200	0	格挡宝石礼包
19	212	1	3145	0	[(25771,4),(26047,200)]	[(25771,4)]	0	200	0	免暴宝石礼包
20	216	2	1995	0	[(25909,4),(26047,395),(25970,10)]	[(25909,4),(25970,10)]	0	395	0	牺牲符文礼包
21	216	1	3995	0	[(25911,4),(26047,695),(25970,20)]	[(25911,4),(25970,20)]	0	695	0	公正符文礼包
22	216	1	10000	0	[(25923,1),(26047,10000),(25970,100)]	[(25923,1),(25970,100)]	0	10000	0	七级公正符文礼包
23	216	10	1180	0	[(25895,4),(26047,295),(25828,400000)]	[(25895,4)]	400000	295	0	忠诚符文礼包
24	227	10	1225	0	[(26144,20),(25828,388000)]	[(26144,20)]	388000	0	0	宠物培养小型礼包
25	227	2	2995	0	[(26144,50),(26047,95)]	[(26144,50)]	0	95	0	宠物培养中型礼包
26	227	1	5995	0	[(26144,100),(26047,295)]	[(26144,100)]	0	295	0	宠物培养大型礼包
27	230	1	10000	0	[(26344,50),(26343,20),(27474,10),(26047,10000)]	[(26344,50),(26343,20),(27474,10)]	0	10000	0	姻缘超级礼包
28	230	50	355	0	[(26344,20),(27474,1),(25828,388000)]	[(26344,20),(27474,1)]	388000	0	0	姻缘石礼包
29	230	2	2295	0	[(26344,100),(27474,4),(26342,20)]	[(26344,100),(26342,20),(27474,4)]	0	0	0	精炼石礼包
30	230	1	3995	0	[(26344,200),(27474,6),(26343,40)]	[(26344,200),(26343,40),(27474,6)]	0	0	0	三生锁礼包
31	231	5	395	0	[(27587,20),(27368,1),(25828,288000)]	[(27587,20),(27368,1)]	288000	0	0	装备洗练超值大礼一
32	231	3	995	0	[(27587,50),(27369,1),(25828,888000)]	[(27587,50),(27369,1)]	888000	0	0	装备洗练超值大礼二
33	231	1	3995	0	[(27587,200),(27490,1),(25828,1880000)]	[(27587,200),(27490,1)]	1880000	0	0	装备洗练超值大礼三
34	231	1	7995	0	[(27587,400),(27491,1)]	[(27587,400),(27491,1)]	0	0	0	装备洗练特惠礼包
35	232	5	395	0	[(27587,20),(27368,1),(25828,288000)]	[(27587,20),(27368,1)]	288000	0	0	装备洗练超值大礼一
36	232	3	995	0	[(27587,50),(27369,1),(25828,888000)]	[(27587,50),(27369,1)]	888000	0	0	装备洗练超值大礼二
37	232	1	3995	0	[(27587,200),(27490,1),(25828,1880000)]	[(27587,200),(27490,1)]	1880000	0	0	装备洗练超值大礼三
38	232	1	7995	0	[(27587,450),(27491,1)]	[(27587,450),(27491,1)]	0	0	0	装备洗练特惠礼包
39	233	5	395	0	[(27587,20),(27368,1),(25828,288000)]	[(27587,20),(27368,1)]	288000	0	0	装备洗练超值大礼一
40	233	3	995	0	[(27587,50),(27369,1),(25828,888000)]	[(27587,50),(27369,1)]	888000	0	0	装备洗练超值大礼二
41	233	1	3995	0	[(27587,200),(27490,1),(25828,1880000)]	[(27587,200),(27490,1)]	1880000	0	0	装备洗练超值大礼三
42	233	1	7995	0	[(27587,500),(27491,1)]	[(27587,500),(27491,1)]	0	0	0	装备洗练特惠礼包
43	234	5	395	0	[(27587,20),(27368,1),(25828,288000)]	[(27587,20),(27368,1)]	288000	0	0	装备洗练超值大礼一
44	234	3	995	0	[(27587,50),(27369,1),(25828,888000)]	[(27587,50),(27369,1)]	888000	0	0	装备洗练超值大礼二
45	234	1	3995	0	[(27587,200),(27490,1),(25828,1880000)]	[(27587,200),(27490,1)]	1880000	0	0	装备洗练超值大礼三
46	234	1	7995	0	[(27587,550),(27491,1)]	[(27587,550),(27491,1)]	0	0	0	装备洗练特惠礼包
47	235	5	495	0	[(26677,6),(27368,1),(25828,288000)]	[(26677,6),(27368,1)]	288000	0	0	时装升星超值大礼一
48	235	3	1295	0	[(26677,18),(27369,1),(25828,888000)]	[(26677,18),(27369,1)]	888000	0	0	时装升星超值大礼二
49	235	1	4995	0	[(26677,70),(27490,1),(25828,1880000)]	[(26677,70),(27490,1)]	1880000	0	0	时装升星超值大礼三
50	235	1	9995	0	[(26677,150),(27491,1)]	[(26677,150),(27491,1)]	0	0	0	时装升星特惠礼包
51	236	5	495	0	[(26677,6),(27368,1),(25828,288000)]	[(26677,6),(27368,1)]	288000	0	0	时装升星超值大礼一
52	236	3	1295	0	[(26677,18),(27369,1),(25828,888000)]	[(26677,18),(27369,1)]	888000	0	0	时装升星超值大礼二
53	236	1	4995	0	[(26677,70),(27490,1),(25828,1880000)]	[(26677,70),(27490,1)]	1880000	0	0	时装升星超值大礼三
54	236	1	9995	0	[(26677,165),(27491,1)]	[(26677,165),(27491,1)]	0	0	0	时装升星特惠礼包
55	237	5	495	0	[(26677,6),(27368,1),(25828,288000)]	[(26677,6),(27368,1)]	288000	0	0	时装升星超值大礼一
56	237	3	1295	0	[(26677,18),(27369,1),(25828,888000)]	[(26677,18),(27369,1)]	888000	0	0	时装升星超值大礼二
57	237	1	4995	0	[(26677,70),(27490,1),(25828,1880000)]	[(26677,70),(27490,1)]	1880000	0	0	时装升星超值大礼三
58	237	1	9995	0	[(26677,180),(27491,1)]	[(26677,180),(27491,1)]	0	0	0	时装升星特惠礼包
59	238	5	495	0	[(26677,6),(27368,1),(25828,288000)]	[(26677,6),(27368,1)]	288000	0	0	时装升星超值大礼一
60	238	3	1295	0	[(26677,18),(27369,1),(25828,888000)]	[(26677,18),(27369,1)]	888000	0	0	时装升星超值大礼二
61	238	1	4995	0	[(26677,70),(27490,1),(25828,1880000)]	[(26677,70),(27490,1)]	1880000	0	0	时装升星超值大礼三
62	238	1	9995	0	[(26677,200),(27491,1)]	[(26677,200),(27491,1)]	0	0	0	时装升星特惠礼包
63	239	5	525	0	[(26925,5),(26924,5),(27368,1),(25828,288000)]	[(26925,5),(26924,5),(27368,1)]	288000	0	0	神龙超值大礼一
64	239	3	1495	0	[(26925,15),(26924,15),(27369,1),(25828,888000)]	[(26925,15),(26924,15),(27369,1)]	888000	0	0	神龙超值大礼二
65	239	1	5995	0	[(26925,60),(26924,60),(27490,1),(25828,1880000)]	[(26925,60),(26924,60),(27490,1)]	1880000	0	0	神龙超值大礼三
66	239	1	12500	0	[(26925,120),(26924,120),(27491,1)]	[(26925,120),(26924,120),(27491,1)]	0	0	0	神龙特惠礼包
67	240	5	525	0	[(26925,5),(26924,5),(27368,1),(25828,288000)]	[(26925,5),(26924,5),(27368,1)]	288000	0	0	神龙超值大礼一
68	240	3	1495	0	[(26925,15),(26924,15),(27369,1),(25828,888000)]	[(26925,15),(26924,15),(27369,1)]	888000	0	0	神龙超值大礼二
69	240	1	5995	0	[(26925,60),(26924,60),(27490,1),(25828,1880000)]	[(26925,60),(26924,60),(27490,1)]	1880000	0	0	神龙超值大礼三
70	240	1	12500	0	[(26925,132),(26924,132),(27491,1)]	[(26925,132),(26924,132),(27491,1)]	0	0	0	神龙特惠礼包
71	241	5	525	0	[(26925,5),(26924,5),(27368,1),(25828,288000)]	[(26925,5),(26924,5),(27368,1)]	288000	0	0	神龙超值大礼一
72	241	3	1495	0	[(26925,15),(26924,15),(27369,1),(25828,888000)]	[(26925,15),(26924,15),(27369,1)]	888000	0	0	神龙超值大礼二
73	241	1	5995	0	[(26925,60),(26924,60),(27490,1),(25828,1880000)]	[(26925,60),(26924,60),(27490,1)]	1880000	0	0	神龙超值大礼三
74	241	1	12500	0	[(26925,144),(26924,144),(27491,1)]	[(26925,144),(26924,144),(27491,1)]	0	0	0	神龙特惠礼包
75	242	5	525	0	[(26925,5),(26924,5),(27368,1),(25828,288000)]	[(26925,5),(26924,5),(27368,1)]	288000	0	0	神龙超值大礼一
76	242	3	1495	0	[(26925,15),(26924,15),(27369,1),(25828,888000)]	[(26925,15),(26924,15),(27369,1)]	888000	0	0	神龙超值大礼二
77	242	1	5995	0	[(26925,60),(26924,60),(27490,1),(25828,1880000)]	[(26925,60),(26924,60),(27490,1)]	1880000	0	0	神龙超值大礼三
78	242	1	12500	0	[(26925,160),(26924,160),(27491,1)]	[(26925,160),(26924,160),(27491,1)]	0	0	0	神龙特惠礼包
79	243	5	795	0	[(28035,3),(27368,1),(25828,388000)]	[(28035,3),(27368,1)]	388000	0	0	雕纹超值大礼一
80	243	3	1995	0	[(28030,4),(27369,1),(25828,888000)]	[(28030,4),(27369,1)]	888000	0	0	雕纹超值大礼二
81	243	1	2695	0	[(28032,4),(28030,1),(27490,1),(25828,1880000)]	[(28032,4),(28030,1),(27490,1)]	1880000	0	0	雕纹超值大礼三
82	243	1	9995	0	[(28043,1),(28032,1),(27491,1)]	[(28043,1),(28032,1),(27491,1)]	0	0	0	雕纹特惠礼包
83	244	5	795	0	[(28035,3),(27368,1),(25828,388000)]	[(28035,3),(27368,1)]	388000	0	0	雕纹超值大礼一
84	244	3	1995	0	[(28030,4),(27369,1),(25828,888000)]	[(28030,4),(27369,1)]	888000	0	0	雕纹超值大礼二
85	244	1	2695	0	[(28032,4),(28030,1),(27490,1),(25828,1880000)]	[(28032,4),(28030,1),(27490,1)]	1880000	0	0	雕纹超值大礼三
86	244	1	9995	0	[(28043,1),(28032,1),(28031,1),(27491,1)]	[(28043,1),(28032,1),(28031,1),(27491,1)]	0	0	0	雕纹特惠礼包
87	245	5	795	0	[(28035,3),(27368,1),(25828,388000)]	[(28035,3),(27368,1)]	388000	0	0	雕纹超值大礼一
88	245	3	1995	0	[(28030,4),(27369,1),(25828,888000)]	[(28030,4),(27369,1)]	888000	0	0	雕纹超值大礼二
89	245	1	2695	0	[(28032,4),(28030,1),(27490,1),(25828,1880000)]	[(28032,4),(28030,1),(27490,1)]	1880000	0	0	雕纹超值大礼三
90	245	1	9995	0	[(28043,1),(28032,1),(28031,3),(27491,1)]	[(28043,1),(28032,1),(28031,3),(27491,1)]	0	0	0	雕纹特惠礼包
91	246	5	795	0	[(28035,3),(27368,1),(25828,388000)]	[(28035,3),(27368,1)]	388000	0	0	雕纹超值大礼一
92	246	3	1995	0	[(28030,4),(27369,1),(25828,888000)]	[(28030,4),(27369,1)]	888000	0	0	雕纹超值大礼二
93	246	1	2695	0	[(28032,4),(28030,1),(27490,1),(25828,1880000)]	[(28032,4),(28030,1),(27490,1)]	1880000	0	0	雕纹超值大礼三
94	246	1	9995	0	[(28043,1),(28042,1),(28031,3),(27491,1)]	[(28043,1),(28042,1),(28031,3),(27491,1)]	0	0	0	雕纹特惠礼包
95	247	5	1395	0	[(26144,20),(26446,5),(25829,50),(25828,1000000)]	[(26144,20),(26446,5)]	1000000	0	50	宠物超值大礼一
96	247	3	1995	0	[(26144,30),(26447,5),(25829,100),(25828,2000000)]	[(26144,30),(26447,5)]	2000000	0	100	宠物超值大礼二
97	247	1	2995	0	[(26144,50),(26448,5),(25829,200),(25828,5000000)]	[(26144,50),(26448,5)]	5000000	0	200	宠物超值大礼三
98	247	1	4995	0	[(26144,100),(26449,5),(25829,500),(25828,10000000)]	[(26144,100),(26449,5)]	10000000	0	500	宠物特惠礼包
99	248	5	1395	0	[(26144,20),(26446,5),(25829,50),(25828,1000000)]	[(26144,20),(26446,5)]	1000000	0	50	宠物超值大礼一
100	248	3	1995	0	[(26144,30),(26447,5),(25829,100),(25828,2000000)]	[(26144,30),(26447,5)]	2000000	0	100	宠物超值大礼二
101	248	1	2995	0	[(26144,50),(26448,5),(25829,200),(25828,5000000)]	[(26144,50),(26448,5)]	5000000	0	200	宠物超值大礼三
102	248	1	4995	0	[(26144,100),(26449,5),(25829,500),(25828,10000000))]	[(26144,100),(26449,5)]	10000000	0	500	宠物特惠礼包
103	249	5	1395	0	[(26144,20),(26446,5),(25829,50),(25828,1000000)]	[(26144,20),(26446,5)]	1000000	0	50	宠物超值大礼一
104	249	3	1995	0	[(26144,30),(26447,5),(25829,100),(25828,2000000)]	[(26144,30),(26447,5)]	2000000	0	100	宠物超值大礼二
105	249	1	2995	0	[(26144,50),(26448,5),(25829,200),(25828,5000000)]	[(26144,50),(26448,5)]	5000000	0	200	宠物超值大礼三
106	249	1	4995	0	[(26144,120),(26449,5),(25829,600),(25828,10000000)]	[(26144,120),(26449,5)]	10000000	0	600	宠物特惠礼包
107	250	5	1395	0	[(26144,20),(26446,5),(25829,50),(25828,1000000)]	[(26144,20),(26446,5)]	1000000	0	50	宠物超值大礼一
108	250	3	1995	0	[(26144,30),(26447,5),(25829,100),(25828,2000000)]	[(26144,30),(26447,5)]	2000000	0	100	宠物超值大礼二
109	250	1	2995	0	[(26144,50),(26448,5),(25829,200),(25828,5000000)]	[(26144,50),(26448,5)]	5000000	0	200	宠物超值大礼三
110	250	1	4995	0	[(26144,120),(26449,5),(25829,600),(25828,10000000)]	[(26144,120),(26449,5)]	10000000	0	600	宠物特惠礼包
111	251	1	20000	0	[(27042,120),(26047,20000)]	[(27042,120)]	0	20000	0	龙脉精魄豪礼
112	251	50	350	0	[(27042,10)]	[(27042,10)]	0	0	0	龙脉精魄礼包
113	251	10	2000	0	[(27042,50),(26047,375)]	[(27042,50)]	0	375	0	龙脉精魄大礼包
114	251	5	3000	0	[(27042,100),(25828,3000000)]	[(27042,100)]	3000000	0	0	龙脉精魄返利礼包
115	252	1	20000	0	[(27041,120),(26047,20000)]	[(27041,120)]	0	20000	0	龙脉精华豪礼
116	252	50	350	0	[(27041,10)]	[(27041,10)]	0	0	0	龙脉精华礼包
117	252	10	2000	0	[(27041,50),(26047,375)]	[(27041,50)]	0	375	0	龙脉精华大礼包
118	252	5	3000	0	[(27041,100),(25828,3000000)]	[(27041,100)]	3000000	0	0	龙脉精华返利礼包
