roleLevel	shenshulv_1	shenshulv_2	shenshulv_3	shenshulv_4	shenshulv_5	shenshulv_6	shenshulv_7	shenshulv_8	shenshulv_9	shenshulv_10	shenshulv_1_fcm	shenshulv_2_fcm	shenshulv_3_fcm	shenshulv_4_fcm	shenshulv_5_fcm	shenshulv_6_fcm	shenshulv_7_fcm	shenshulv_8_fcm	shenshulv_9_fcm	shenshulv_10_fcm
92	2475	2750	3025	3300	3575	3850	4125	4400	4675	4950	1238	1375	1513	1651	1788	1926	2063	2201	2338	2476
93	2475	2750	3025	3300	3575	3850	4125	4400	4675	4950	1238	1375	1513	1651	1788	1926	2063	2201	2338	2476
94	2475	2750	3025	3300	3575	3850	4125	4400	4675	4950	1238	1375	1513	1651	1788	1926	2063	2201	2338	2476
95	2475	2750	3025	3300	3575	3850	4125	4400	4675	4950	1238	1375	1513	1651	1788	1926	2063	2201	2338	2476
96	2475	2750	3025	3300	3575	3850	4125	4400	4675	4950	1238	1375	1513	1651	1788	1926	2063	2201	2338	2476
97	2475	2750	3025	3300	3575	3850	4125	4400	4675	4950	1238	1375	1513	1651	1788	1926	2063	2201	2338	2476
98	2475	2750	3025	3300	3575	3850	4125	4400	4675	4950	1238	1375	1513	1651	1788	1926	2063	2201	2338	2476
99	2475	2750	3025	3300	3575	3850	4125	4400	4675	4950	1238	1375	1513	1651	1788	1926	2063	2201	2338	2476
100	3235	3595	3955	4315	4675	5035	5395	5755	6115	6475	1618	1798	1978	2158	2338	2518	2698	2878	3058	3238
101	3235	3595	3955	4315	4675	5035	5395	5755	6115	6475	1618	1798	1978	2158	2338	2518	2698	2878	3058	3238
102	3235	3595	3955	4315	4675	5035	5395	5755	6115	6475	1618	1798	1978	2158	2338	2518	2698	2878	3058	3238
103	3235	3595	3955	4315	4675	5035	5395	5755	6115	6475	1618	1798	1978	2158	2338	2518	2698	2878	3058	3238
104	3235	3595	3955	4315	4675	5035	5395	5755	6115	6475	1618	1798	1978	2158	2338	2518	2698	2878	3058	3238
105	3235	3595	3955	4315	4675	5035	5395	5755	6115	6475	1618	1798	1978	2158	2338	2518	2698	2878	3058	3238
106	3235	3595	3955	4315	4675	5035	5395	5755	6115	6475	1618	1798	1978	2158	2338	2518	2698	2878	3058	3238
107	3235	3595	3955	4315	4675	5035	5395	5755	6115	6475	1618	1798	1978	2158	2338	2518	2698	2878	3058	3238
108	3235	3595	3955	4315	4675	5035	5395	5755	6115	6475	1618	1798	1978	2158	2338	2518	2698	2878	3058	3238
109	3235	3595	3955	4315	4675	5035	5395	5755	6115	6475	1618	1798	1978	2158	2338	2518	2698	2878	3058	3238
110	3235	3595	3955	4315	4675	5035	5395	5755	6115	6475	1618	1798	1978	2158	2338	2518	2698	2878	3058	3238
111	3235	3595	3955	4315	4675	5035	5395	5755	6115	6475	1618	1798	1978	2158	2338	2518	2698	2878	3058	3238
112	3235	3595	3955	4315	4675	5035	5395	5755	6115	6475	1618	1798	1978	2158	2338	2518	2698	2878	3058	3238
113	3235	3595	3955	4315	4675	5035	5395	5755	6115	6475	1618	1798	1978	2158	2338	2518	2698	2878	3058	3238
114	3235	3595	3955	4315	4675	5035	5395	5755	6115	6475	1618	1798	1978	2158	2338	2518	2698	2878	3058	3238
115	3235	3595	3955	4315	4675	5035	5395	5755	6115	6475	1618	1798	1978	2158	2338	2518	2698	2878	3058	3238
116	3235	3595	3955	4315	4675	5035	5395	5755	6115	6475	1618	1798	1978	2158	2338	2518	2698	2878	3058	3238
117	3235	3595	3955	4315	4675	5035	5395	5755	6115	6475	1618	1798	1978	2158	2338	2518	2698	2878	3058	3238
118	3235	3595	3955	4315	4675	5035	5395	5755	6115	6475	1618	1798	1978	2158	2338	2518	2698	2878	3058	3238
119	3235	3595	3955	4315	4675	5035	5395	5755	6115	6475	1618	1798	1978	2158	2338	2518	2698	2878	3058	3238
120	4866	5407	5948	6489	7030	7571	8112	8653	9194	9735	2433	2704	2975	3245	3516	3786	4057	4327	4598	4868
121	4866	5407	5948	6489	7030	7571	8112	8653	9194	9735	2433	2704	2975	3245	3516	3786	4057	4327	4598	4868
122	4866	5407	5948	6489	7030	7571	8112	8653	9194	9735	2433	2704	2975	3245	3516	3786	4057	4327	4598	4868
123	4866	5407	5948	6489	7030	7571	8112	8653	9194	9735	2433	2704	2975	3245	3516	3786	4057	4327	4598	4868
124	4866	5407	5948	6489	7030	7571	8112	8653	9194	9735	2433	2704	2975	3245	3516	3786	4057	4327	4598	4868
125	4866	5407	5948	6489	7030	7571	8112	8653	9194	9735	2433	2704	2975	3245	3516	3786	4057	4327	4598	4868
126	4866	5407	5948	6489	7030	7571	8112	8653	9194	9735	2433	2704	2975	3245	3516	3786	4057	4327	4598	4868
127	4866	5407	5948	6489	7030	7571	8112	8653	9194	9735	2433	2704	2975	3245	3516	3786	4057	4327	4598	4868
128	4866	5407	5948	6489	7030	7571	8112	8653	9194	9735	2433	2704	2975	3245	3516	3786	4057	4327	4598	4868
129	4866	5407	5948	6489	7030	7571	8112	8653	9194	9735	2433	2704	2975	3245	3516	3786	4057	4327	4598	4868
130	4866	5407	5948	6489	7030	7571	8112	8653	9194	9735	2433	2704	2975	3245	3516	3786	4057	4327	4598	4868
131	4866	5407	5948	6489	7030	7571	8112	8653	9194	9735	2433	2704	2975	3245	3516	3786	4057	4327	4598	4868
132	4866	5407	5948	6489	7030	7571	8112	8653	9194	9735	2433	2704	2975	3245	3516	3786	4057	4327	4598	4868
133	4866	5407	5948	6489	7030	7571	8112	8653	9194	9735	2433	2704	2975	3245	3516	3786	4057	4327	4598	4868
134	4866	5407	5948	6489	7030	7571	8112	8653	9194	9735	2433	2704	2975	3245	3516	3786	4057	4327	4598	4868
135	4866	5407	5948	6489	7030	7571	8112	8653	9194	9735	2433	2704	2975	3245	3516	3786	4057	4327	4598	4868
136	4866	5407	5948	6489	7030	7571	8112	8653	9194	9735	2433	2704	2975	3245	3516	3786	4057	4327	4598	4868
137	4866	5407	5948	6489	7030	7571	8112	8653	9194	9735	2433	2704	2975	3245	3516	3786	4057	4327	4598	4868
138	4866	5407	5948	6489	7030	7571	8112	8653	9194	9735	2433	2704	2975	3245	3516	3786	4057	4327	4598	4868
139	4866	5407	5948	6489	7030	7571	8112	8653	9194	9735	2433	2704	2975	3245	3516	3786	4057	4327	4598	4868
140	5858	6509	7160	7811	8462	9113	9764	10415	11066	11717	2929	3255	3581	3906	4232	4557	4883	5208	5534	5859
141	5858	6509	7160	7811	8462	9113	9764	10415	11066	11717	2929	3255	3581	3906	4232	4557	4883	5208	5534	5859
142	5858	6509	7160	7811	8462	9113	9764	10415	11066	11717	2929	3255	3581	3906	4232	4557	4883	5208	5534	5859
143	5858	6509	7160	7811	8462	9113	9764	10415	11066	11717	2929	3255	3581	3906	4232	4557	4883	5208	5534	5859
144	5858	6509	7160	7811	8462	9113	9764	10415	11066	11717	2929	3255	3581	3906	4232	4557	4883	5208	5534	5859
145	5858	6509	7160	7811	8462	9113	9764	10415	11066	11717	2929	3255	3581	3906	4232	4557	4883	5208	5534	5859
146	5858	6509	7160	7811	8462	9113	9764	10415	11066	11717	2929	3255	3581	3906	4232	4557	4883	5208	5534	5859
147	5858	6509	7160	7811	8462	9113	9764	10415	11066	11717	2929	3255	3581	3906	4232	4557	4883	5208	5534	5859
148	5858	6509	7160	7811	8462	9113	9764	10415	11066	11717	2929	3255	3581	3906	4232	4557	4883	5208	5534	5859
149	5858	6509	7160	7811	8462	9113	9764	10415	11066	11717	2929	3255	3581	3906	4232	4557	4883	5208	5534	5859
150	5858	6509	7160	7811	8462	9113	9764	10415	11066	11717	2929	3255	3581	3906	4232	4557	4883	5208	5534	5859
151	5858	6509	7160	7811	8462	9113	9764	10415	11066	11717	2929	3255	3581	3906	4232	4557	4883	5208	5534	5859
152	5858	6509	7160	7811	8462	9113	9764	10415	11066	11717	2929	3255	3581	3906	4232	4557	4883	5208	5534	5859
153	5858	6509	7160	7811	8462	9113	9764	10415	11066	11717	2929	3255	3581	3906	4232	4557	4883	5208	5534	5859
154	5858	6509	7160	7811	8462	9113	9764	10415	11066	11717	2929	3255	3581	3906	4232	4557	4883	5208	5534	5859
155	5858	6509	7160	7811	8462	9113	9764	10415	11066	11717	2929	3255	3581	3906	4232	4557	4883	5208	5534	5859
156	5858	6509	7160	7811	8462	9113	9764	10415	11066	11717	2929	3255	3581	3906	4232	4557	4883	5208	5534	5859
157	5858	6509	7160	7811	8462	9113	9764	10415	11066	11717	2929	3255	3581	3906	4232	4557	4883	5208	5534	5859
158	5858	6509	7160	7811	8462	9113	9764	10415	11066	11717	2929	3255	3581	3906	4232	4557	4883	5208	5534	5859
159	5858	6509	7160	7811	8462	9113	9764	10415	11066	11717	2929	3255	3581	3906	4232	4557	4883	5208	5534	5859
160	6880	7645	8410	9175	9940	10705	11470	12235	13000	13765	3440	3823	4206	4588	4971	5353	5736	6118	6501	6883
161	6880	7645	8410	9175	9940	10705	11470	12235	13000	13765	3440	3823	4206	4588	4971	5353	5736	6118	6501	6883
162	6880	7645	8410	9175	9940	10705	11470	12235	13000	13765	3440	3823	4206	4588	4971	5353	5736	6118	6501	6883
163	6880	7645	8410	9175	9940	10705	11470	12235	13000	13765	3440	3823	4206	4588	4971	5353	5736	6118	6501	6883
164	6880	7645	8410	9175	9940	10705	11470	12235	13000	13765	3440	3823	4206	4588	4971	5353	5736	6118	6501	6883
165	6880	7645	8410	9175	9940	10705	11470	12235	13000	13765	3440	3823	4206	4588	4971	5353	5736	6118	6501	6883
166	6880	7645	8410	9175	9940	10705	11470	12235	13000	13765	3440	3823	4206	4588	4971	5353	5736	6118	6501	6883
167	6880	7645	8410	9175	9940	10705	11470	12235	13000	13765	3440	3823	4206	4588	4971	5353	5736	6118	6501	6883
168	6880	7645	8410	9175	9940	10705	11470	12235	13000	13765	3440	3823	4206	4588	4971	5353	5736	6118	6501	6883
169	6880	7645	8410	9175	9940	10705	11470	12235	13000	13765	3440	3823	4206	4588	4971	5353	5736	6118	6501	6883
170	6880	7645	8410	9175	9940	10705	11470	12235	13000	13765	3440	3823	4206	4588	4971	5353	5736	6118	6501	6883
171	6880	7645	8410	9175	9940	10705	11470	12235	13000	13765	3440	3823	4206	4588	4971	5353	5736	6118	6501	6883
172	6880	7645	8410	9175	9940	10705	11470	12235	13000	13765	3440	3823	4206	4588	4971	5353	5736	6118	6501	6883
173	6880	7645	8410	9175	9940	10705	11470	12235	13000	13765	3440	3823	4206	4588	4971	5353	5736	6118	6501	6883
174	6880	7645	8410	9175	9940	10705	11470	12235	13000	13765	3440	3823	4206	4588	4971	5353	5736	6118	6501	6883
175	6880	7645	8410	9175	9940	10705	11470	12235	13000	13765	3440	3823	4206	4588	4971	5353	5736	6118	6501	6883
176	6880	7645	8410	9175	9940	10705	11470	12235	13000	13765	3440	3823	4206	4588	4971	5353	5736	6118	6501	6883
177	6880	7645	8410	9175	9940	10705	11470	12235	13000	13765	3440	3823	4206	4588	4971	5353	5736	6118	6501	6883
178	6880	7645	8410	9175	9940	10705	11470	12235	13000	13765	3440	3823	4206	4588	4971	5353	5736	6118	6501	6883
179	6880	7645	8410	9175	9940	10705	11470	12235	13000	13765	3440	3823	4206	4588	4971	5353	5736	6118	6501	6883
