posIndex	pos	npcType	mcid	exp	items
53	(3699,2228,0)	19053	18091	1000	[((29003,1),10000)]
54	(3665,2364,0)	19056	18214	1000	[((29003,1),10000)]
55	(3795,2369,2)	19053	18091	1000	[((29003,1),10000)]
56	(3862,2284,2)	19056	18214	1000	[((29003,1),10000)]
57	(3880,2199,3)	19053	18091	1000	[((29003,1),10000)]
58	(3854,2097,3)	19056	18214	1000	[((29003,1),10000)]
59	(3835,2177,2)	19053	18091	1000	[((29003,1),10000)]
60	(2486,1516,2)	19056	18214	1000	[((29003,1),10000)]
61	(2662,1464,0)	19053	18091	1000	[((29003,1),10000)]
62	(2518,1309,2)	19056	18214	1000	[((29003,1),10000)]
63	(2722,1224,3)	19053	18091	1000	[((29003,1),10000)]
64	(2582,1101,2)	19056	18214	1000	[((29003,1),10000)]
65	(2744,1042,2)	19053	18091	1000	[((29003,1),10000)]
66	(2559,915,3)	19056	18214	1000	[((29003,1),10000)]
67	(2467,826,3)	19053	18091	1000	[((29003,1),10000)]
68	(2616,684,0)	19056	18214	1000	[((29003,1),10000)]
69	(2711,764,2)	19053	18091	1000	[((29003,1),10000)]
70	(2872,724,2)	19056	18214	1000	[((29003,1),10000)]
71	(2980,827,3)	19053	18091	1000	[((29003,1),10000)]
72	(3105,719,0)	19056	18214	1000	[((29003,1),10000)]
73	(3258,775,3)	19053	18091	1000	[((29003,1),10000)]
74	(3275,642,2)	19056	18214	1000	[((29003,1),10000)]
75	(3386,743,2)	19053	18091	1000	[((29003,1),10000)]
76	(3444,638,2)	19056	18214	1000	[((29003,1),10000)]
77	(3482,492,0)	19053	18091	1000	[((29003,1),10000)]
78	(3583,593,0)	19056	18214	1000	[((29003,1),10000)]
79	(3731,598,0)	19053	18091	1000	[((29003,1),10000)]
80	(3728,488,3)	19056	18214	1000	[((29003,1),10000)]
81	(3792,362,0)	19053	18091	1000	[((29003,1),10000)]
82	(3890,408,2)	19056	18214	1000	[((29003,1),10000)]
83	(3931,503,0)	19053	18091	1000	[((29003,1),10000)]
84	(2314,729,0)	19056	18214	1000	[((29003,1),10000)]
85	(2406,663,0)	19053	18091	1000	[((29003,1),10000)]
86	(2416,555,2)	19056	18214	1000	[((29003,1),10000)]
87	(2193,591,2)	19053	18091	1000	[((29003,1),10000)]
88	(2113,668,3)	19056	18214	1000	[((29003,1),10000)]
89	(2016,546,2)	19053	18091	1000	[((29003,1),10000)]
90	(1933,656,3)	19056	18214	1000	[((29003,1),10000)]
91	(2012,756,0)	19053	18091	1000	[((29003,1),10000)]
92	(1813,775,0)	19056	18214	1000	[((29003,1),10000)]
93	(1791,665,0)	19053	18091	1000	[((29003,1),10000)]
94	(1674,562,3)	19056	18214	1000	[((29003,1),10000)]
95	(1503,607,3)	19053	18091	1000	[((29003,1),10000)]
96	(1327,644,2)	19056	18214	1000	[((29003,1),10000)]
97	(1426,743,0)	19053	18091	1000	[((29003,1),10000)]
98	(1530,833,0)	19056	18214	1000	[((29003,1),10000)]
99	(1661,890,2)	19053	18091	1000	[((29003,1),10000)]
100	(1784,951,0)	19056	18214	1000	[((29003,1),10000)]
101	(1779,1064,3)	19053	18091	1000	[((29003,1),10000)]
102	(1490,1098,3)	19056	18214	1000	[((29003,1),10000)]
103	(1341,958,3)	19053	18091	1000	[((29003,1),10000)]
104	(1196,889,3)	19056	18214	1000	[((29003,1),10000)]
105	(1111,997,2)	19053	18091	1000	[((29003,1),10000)]
106	(1067,1141,3)	19056	18214	1000	[((29003,1),10000)]
107	(1359,1144,2)	19053	18091	1000	[((29003,1),10000)]
108	(1654,1007,3)	19056	18214	1000	[((29003,1),10000)]
109	(895,1129,2)	19053	18091	1000	[((29003,1),10000)]
110	(810,459,2)	19056	18214	1000	[((29003,1),10000)]
