posIndex	pos	npcType	mcid	exp	items
46	(3248,2250,2)	19056	18214	1000	[((29003,1),3500),((29391,1),6500)]
47	(3376,2307,3)	19053	18091	1000	[((29003,1),6500),((29391,1),3500)]
48	(3421,2192,3)	19056	18214	1000	[((29003,1),3500),((29391,1),6500)]
49	(3493,2090,0)	19053	18091	1000	[((29003,1),6500),((29391,1),3500)]
50	(3581,2013,2)	19056	18214	1000	[((29003,1),3500),((29391,1),6500)]
51	(3713,2043,3)	19053	18091	1000	[((29003,1),6500),((29391,1),3500)]
52	(3688,2138,2)	19056	18214	1000	[((29003,1),3500),((29391,1),6500)]
53	(3699,2228,0)	19053	18091	1000	[((29003,1),6500),((29391,1),3500)]
54	(3665,2364,0)	19056	18214	1000	[((29003,1),3500),((29391,1),6500)]
55	(3795,2369,2)	19053	18091	1000	[((29003,1),6500),((29391,1),3500)]
56	(3862,2284,2)	19056	18214	1000	[((29003,1),3500),((29391,1),6500)]
57	(3880,2199,3)	19053	18091	1000	[((29003,1),6500),((29391,1),3500)]
58	(3854,2097,3)	19056	18214	1000	[((29003,1),3500),((29391,1),6500)]
59	(3835,2177,2)	19053	18091	1000	[((29003,1),6500),((29391,1),3500)]
60	(2486,1516,2)	19056	18214	1000	[((29003,1),3500),((29391,1),6500)]
61	(2662,1464,0)	19053	18091	1000	[((29003,1),6500),((29391,1),3500)]
62	(2518,1309,2)	19056	18214	1000	[((29003,1),3500),((29391,1),6500)]
63	(2722,1224,3)	19053	18091	1000	[((29003,1),6500),((29391,1),3500)]
64	(2582,1101,2)	19056	18214	1000	[((29003,1),3500),((29391,1),6500)]
65	(2744,1042,2)	19053	18091	1000	[((29003,1),6500),((29391,1),3500)]
66	(2559,915,3)	19056	18214	1000	[((29003,1),3500),((29391,1),6500)]
67	(2467,826,3)	19053	18091	1000	[((29003,1),6500),((29391,1),3500)]
68	(2616,684,0)	19056	18214	1000	[((29003,1),3500),((29391,1),6500)]
69	(2711,764,2)	19053	18091	1000	[((29003,1),6500),((29391,1),3500)]
70	(2872,724,2)	19056	18214	1000	[((29003,1),3500),((29391,1),6500)]
71	(2980,827,3)	19053	18091	1000	[((29003,1),6500),((29391,1),3500)]
72	(3105,719,0)	19056	18214	1000	[((29003,1),3500),((29391,1),6500)]
73	(3258,775,3)	19053	18091	1000	[((29003,1),6500),((29391,1),3500)]
74	(3275,642,2)	19056	18214	1000	[((29003,1),3500),((29391,1),6500)]
75	(3386,743,2)	19053	18091	1000	[((29003,1),6500),((29391,1),3500)]
76	(3444,638,2)	19056	18214	1000	[((29003,1),3500),((29391,1),6500)]
77	(3482,492,0)	19053	18091	1000	[((29003,1),6500),((29391,1),3500)]
78	(3583,593,0)	19056	18214	1000	[((29003,1),3500),((29391,1),6500)]
79	(3731,598,0)	19053	18091	1000	[((29003,1),6500),((29391,1),3500)]
80	(3728,488,3)	19056	18214	1000	[((29003,1),3500),((29391,1),6500)]
81	(3792,362,0)	19053	18091	1000	[((29003,1),6500),((29391,1),3500)]
82	(3890,408,2)	19056	18214	1000	[((29003,1),3500),((29391,1),6500)]
83	(3931,503,0)	19053	18091	1000	[((29003,1),6500),((29391,1),3500)]
84	(2314,729,0)	19056	18214	1000	[((29003,1),3500),((29391,1),6500)]
85	(2406,663,0)	19053	18091	1000	[((29003,1),6500),((29391,1),3500)]
86	(2416,555,2)	19056	18214	1000	[((29003,1),3500),((29391,1),6500)]
87	(2193,591,2)	19053	18091	1000	[((29003,1),6500),((29391,1),3500)]
88	(2113,668,3)	19056	18214	1000	[((29003,1),3500),((29391,1),6500)]
89	(2016,546,2)	19053	18091	1000	[((29003,1),6500),((29391,1),3500)]
90	(1933,656,3)	19056	18214	1000	[((29003,1),3500),((29391,1),6500)]
91	(2012,756,0)	19053	18091	1000	[((29003,1),6500),((29391,1),3500)]
92	(1813,775,0)	19056	18214	1000	[((29003,1),3500),((29391,1),6500)]
93	(1791,665,0)	19053	18091	1000	[((29003,1),6500),((29391,1),3500)]
94	(1674,562,3)	19056	18214	1000	[((29003,1),3500),((29391,1),6500)]
95	(1503,607,3)	19053	18091	1000	[((29003,1),6500),((29391,1),3500)]
96	(1327,644,2)	19056	18214	1000	[((29003,1),3500),((29391,1),6500)]
97	(1426,743,0)	19053	18091	1000	[((29003,1),6500),((29391,1),3500)]
98	(1530,833,0)	19056	18214	1000	[((29003,1),3500),((29391,1),6500)]
99	(1661,890,2)	19053	18091	1000	[((29003,1),6500),((29391,1),3500)]
100	(1784,951,0)	19056	18214	1000	[((29003,1),3500),((29391,1),6500)]
101	(1779,1064,3)	19053	18091	1000	[((29003,1),6500),((29391,1),3500)]
102	(1490,1098,3)	19056	18214	1000	[((29003,1),3500),((29391,1),6500)]
103	(1341,958,3)	19053	18091	1000	[((29003,1),6500),((29391,1),3500)]
104	(1196,889,3)	19056	18214	1000	[((29003,1),3500),((29391,1),6500)]
105	(1111,997,2)	19053	18091	1000	[((29003,1),6500),((29391,1),3500)]
106	(1067,1141,3)	19056	18214	1000	[((29003,1),3500),((29391,1),6500)]
107	(1359,1144,2)	19053	18091	1000	[((29003,1),6500),((29391,1),3500)]
108	(1654,1007,3)	19056	18214	1000	[((29003,1),3500),((29391,1),6500)]
109	(895,1129,2)	19053	18091	1000	[((29003,1),6500),((29391,1),3500)]
110	(810,459,2)	19056	18214	1000	[((29003,1),3500),((29391,1),6500)]
