rewardId	rewardType	rangeId	levelRange	rewardItem	isPrecious	rateValue
188	2	4	[80,99]	(26144,12)	0	800
189	2	4	[80,99]	(26227,1)	0	800
190	2	4	[80,99]	(26228,1)	0	270
191	2	4	[80,99]	(26229,1)	1	80
192	2	4	[80,99]	(26230,1)	1	40
193	2	4	[80,99]	(26934,6)	0	800
194	2	4	[80,99]	(26933,8)	0	800
195	2	4	[80,99]	(26485,3)	0	800
196	2	4	[80,99]	(26484,5)	0	800
197	2	4	[80,99]	(26676,1)	0	300
198	2	4	[80,99]	(26677,8)	0	800
199	2	4	[80,99]	(28030,1)	0	900
200	2	4	[80,99]	(28031,1)	0	250
201	2	5	[100,119]	(37031,1)	1	63
202	2	5	[100,119]	(37033,1)	1	72
203	2	5	[100,119]	(27879,1)	1	10
204	2	5	[100,119]	(27880,1)	1	10
205	2	5	[100,119]	(26026,1)	0	1000
206	2	5	[100,119]	(26224,1)	0	350
207	2	5	[100,119]	(26225,1)	1	100
208	2	5	[100,119]	(26226,1)	1	50
209	2	5	[100,119]	(26928,1)	1	25
210	2	5	[100,119]	(27566,2)	0	800
211	2	5	[100,119]	(26042,1)	0	500
212	2	5	[100,119]	(26925,5)	0	800
213	2	5	[100,119]	(26924,5)	0	800
214	2	5	[100,119]	(25837,12)	0	800
215	2	5	[100,119]	(26144,12)	0	800
216	2	5	[100,119]	(26227,1)	0	800
217	2	5	[100,119]	(26228,1)	0	270
218	2	5	[100,119]	(26229,1)	1	80
219	2	5	[100,119]	(26230,1)	1	40
220	2	5	[100,119]	(26934,6)	0	800
221	2	5	[100,119]	(26933,8)	0	800
222	2	5	[100,119]	(26485,3)	0	800
223	2	5	[100,119]	(26484,5)	0	800
224	2	5	[100,119]	(26676,1)	0	300
225	2	5	[100,119]	(26677,8)	0	800
226	2	5	[100,119]	(28030,1)	0	900
227	2	5	[100,119]	(28031,1)	0	250
228	2	6	[120,139]	(37031,1)	1	63
229	2	6	[120,139]	(37033,1)	1	72
230	2	6	[120,139]	(27879,1)	1	10
231	2	6	[120,139]	(27880,1)	1	10
232	2	6	[120,139]	(26026,1)	0	1000
233	2	6	[120,139]	(26224,1)	0	350
234	2	6	[120,139]	(26225,1)	1	100
235	2	6	[120,139]	(26226,1)	1	50
236	2	6	[120,139]	(26928,1)	1	25
237	2	6	[120,139]	(27566,2)	0	800
238	2	6	[120,139]	(26042,1)	0	500
239	2	6	[120,139]	(26925,5)	0	800
240	2	6	[120,139]	(26924,5)	0	800
241	2	6	[120,139]	(25837,12)	0	800
242	2	6	[120,139]	(26144,12)	0	800
243	2	6	[120,139]	(26227,1)	0	800
244	2	6	[120,139]	(26228,1)	0	270
245	2	6	[120,139]	(26229,1)	1	80
246	2	6	[120,139]	(26230,1)	1	40
247	2	6	[120,139]	(26934,6)	0	800
248	2	6	[120,139]	(26933,8)	0	800
249	2	6	[120,139]	(26485,3)	0	800
250	2	6	[120,139]	(26484,5)	0	800
251	2	6	[120,139]	(26676,1)	0	300
252	2	6	[120,139]	(26677,8)	0	800
253	2	6	[120,139]	(28030,1)	0	900
254	2	6	[120,139]	(28031,1)	0	250
255	2	7	[140,159]	(37031,1)	1	63
256	2	7	[140,159]	(37033,1)	1	72
257	2	7	[140,159]	(27879,1)	1	10
258	2	7	[140,159]	(27880,1)	1	10
259	2	7	[140,159]	(26026,1)	0	1000
260	2	7	[140,159]	(26224,1)	0	350
261	2	7	[140,159]	(26225,1)	1	100
262	2	7	[140,159]	(26226,1)	1	50
263	2	7	[140,159]	(26928,1)	1	25
264	2	7	[140,159]	(27566,2)	0	800
265	2	7	[140,159]	(26042,1)	0	500
266	2	7	[140,159]	(26925,5)	0	800
267	2	7	[140,159]	(26924,5)	0	800
268	2	7	[140,159]	(25837,12)	0	800
269	2	7	[140,159]	(26144,12)	0	800
270	2	7	[140,159]	(26227,1)	0	800
271	2	7	[140,159]	(26228,1)	0	270
272	2	7	[140,159]	(26229,1)	1	80
273	2	7	[140,159]	(26230,1)	1	40
274	2	7	[140,159]	(26934,6)	0	800
275	2	7	[140,159]	(26933,8)	0	800
276	2	7	[140,159]	(26485,3)	0	800
277	2	7	[140,159]	(26484,5)	0	800
278	2	7	[140,159]	(26676,1)	0	300
279	2	7	[140,159]	(26677,8)	0	800
280	2	7	[140,159]	(28030,1)	0	900
281	2	7	[140,159]	(28031,1)	0	250
282	2	8	[160,179]	(37031,1)	1	63
283	2	8	[160,179]	(37033,1)	1	72
284	2	8	[160,179]	(27879,1)	1	10
285	2	8	[160,179]	(27880,1)	1	10
286	2	8	[160,179]	(26026,1)	0	1000
287	2	8	[160,179]	(26224,1)	0	350
288	2	8	[160,179]	(26225,1)	1	100
289	2	8	[160,179]	(26226,1)	1	50
290	2	8	[160,179]	(26928,1)	1	25
291	2	8	[160,179]	(27566,2)	0	800
292	2	8	[160,179]	(26042,1)	0	500
293	2	8	[160,179]	(26925,5)	0	800
294	2	8	[160,179]	(26924,5)	0	800
295	2	8	[160,179]	(25837,12)	0	800
296	2	8	[160,179]	(26144,12)	0	800
297	2	8	[160,179]	(26227,1)	0	800
298	2	8	[160,179]	(26228,1)	0	270
299	2	8	[160,179]	(26229,1)	1	80
300	2	8	[160,179]	(26230,1)	1	40
301	2	8	[160,179]	(26934,6)	0	800
302	2	8	[160,179]	(26933,8)	0	800
303	2	8	[160,179]	(26485,3)	0	800
304	2	8	[160,179]	(26484,5)	0	800
305	2	8	[160,179]	(26676,1)	0	300
306	2	8	[160,179]	(26677,8)	0	800
307	2	8	[160,179]	(28030,1)	0	900
308	2	8	[160,179]	(28031,1)	0	250
