goodId	item	des	limitCnt	originalUnbindRMB	needUnbindRMB	RMBType	isLowestPrice	discountFlag
41	(26608,1)	黄色命魂礼盒	8	2000	1200	0	0	SDJNH_6z
42	(28253,1)	红色命魂礼盒	2	6000	3888	1	0	SDJNH_6z
43	(26119,1)	二级符文礼盒	0	30	9	0	0	SDJNH_3z
44	(26227,1)	四级符文礼盒	0	120	72	0	0	SDJNH_6z
45	(26230,1)	七级符文礼盒	0	960	540	0	0	SDJNH_6z
46	(25948,1)	九级英勇符文	3	3840	2340	0	0	SDJNH_6z
47	(25947,1)	九级公正符文	3	3840	2340	0	0	SDJNH_6z
48	(25950,1)	九级信仰符文	3	3840	2340	0	0	SDJNH_6z
49	(25952,1)	九级命运符文	3	3840	2340	0	0	SDJNH_6z
50	(25954,1)	九级奉献符文	3	3840	2340	0	0	SDJNH_6z
51	(25957,1)	九级牺牲符文	3	3840	2340	0	0	SDJNH_6z
52	(26298,5)	圣器附魔石	0	250	200	0	0	SDJNH_8z
53	(28034,1)	二级雕纹	0	50	24	0	0	SDJNH_5z
54	(28030,1)	四级雕纹	0	200	144	0	0	SDJNH_7z
55	(28032,1)	六级雕纹	0	800	560	0	0	SDJNH_7z
56	(28353,1)	宠物之灵	5	1000	600	1	0	SDJNH_6z
57	(27587,20)	装备洗练石	20	200	160	0	0	SDJNH_8z
58	(26479,10)	装备附魔石	0	150	100	0	0	SDJNH_7z
59	(27587,100)	装备洗练石	20	1000	720	0	1	SDJNH_7z
60	(27587,10)	装备洗练石	0	100	80	0	0	SDJNH_8z
61	(26933,10)	星灵之羽	0	200	120	0	0	SDJNH_6z
62	(26934,10)	星灵水晶	0	200	150	0	0	SDJNH_8z
63	(26934,50)	星灵水晶	0	1000	700	0	0	SDJNH_7z
64	(26144,100)	宠物圣果	0	1000	560	0	1	SDJNH_6z
65	(26144,10)	宠物圣果	0	100	60	0	1	SDJNH_6z
66	(28353,1)	宠物之灵	5	1000	600	1	0	SDJNH_6z
67	(25837,100)	羽翼培养石	0	1000	560	0	1	SDJNH_6z
68	(25837,10)	羽翼培养石	0	100	60	0	1	SDJNH_6z
69	(27167,5)	羽灵精魄	0	500	400	0	0	SDJNH_8z
70	(26676,1)	时装之魄	0	298	234	0	0	SDJNH_8z
71	(26677,10)	时装精华	0	200	128	0	0	SDJNH_6z
72	(27570,20)	时装水晶石	0	200	100	0	0	SDJNH_5z
73	(27709,1)	一级魔石	0	500	300	0	0	SDJNH_6z
74	(27710,1)	二级魔石	0	1500	600	0	0	SDJNH_4z
75	(27712,1)	四级魔石	0	4500	2400	0	0	SDJNH_5z
76	(27715,1)	七级魔石	1	121500	18000	0	0	SDJNH_1z
77	(27893,1)	天秤座女神（紫）	2	5888	1888	1	0	SDJNH_3z
78	(27706,1)	天鹅座女神（橙）	2	25888	8888	1	0	SDJNH_3z
79	(28269,1)	天蝎座女神（橙）	2	25888	8888	1	0	SDJNH_3z
80	(37038,1)	璀璨人生	1	1000	398	1	0	SDJNH_3z
81	(28671,1)	羽灵精魄专属礼包	4	1000	800	0	0	SDJNH_8z
82	(28672,1)	坐骑进化石专属礼包	4	1000	720	0	0	SDJNH_7z
83	(28673,1)	星灵水晶专属礼包	4	400	300	0	0	SDJNH_7z
84	(28674,1)	羽翼培养石专属礼包	4	500	320	0	0	SDJNH_6z
85	(28675,1)	宠物圣果专属礼包	4	500	320	0	0	SDJNH_6z
86	(28676,1)	时装之魄专属礼包	4	1192	1100	0	0	SDJNH_8z
87	(28677,1)	时装精华专属礼包	4	400	300	0	0	SDJNH_7z
88	(37037,1)	海盗武器	1	1248	720	1	0	SDJNH_5z
89	(37036,1)	海盗衣服	1	1248	720	1	0	SDJNH_5z
90	(37035,1)	海盗帽子	1	998	600	1	0	SDJNH_6z
91	(28899,1)	天秤座女神（橙）	2	25888	7888	1	0	SDJNH_3z
