index	rankInterval	needRMB	levelRangeId	levelRange	rewardItems	rankImg
1	1,1	3000	3	[85,99]	[(28528,500),(26450,400),(27493,2),(28895,2),(28447,1),(26934,200),(28044,1),(26899,1)]	WZGC_TextDYM
2	2,2	3000	3	[85,99]	[(28528,420),(26450,350),(27493,1),(28895,1),(28254,1),(26934,175),(28043,1),(26899,1)]	WZGC_TextDRM
3	3,3	3000	3	[85,99]	[(28528,360),(26450,300),(27493,1),(28895,1),(28254,1),(26934,150),(28042,1),(26899,1)]	WZGC_TextDSM
4	4,4	3000	3	[85,99]	[(28528,320),(26450,250),(27493,1),(28895,1),(28254,1),(26934,125),(28042,1),(26899,1)]	WZGC_TextD4M
5	5,8	3000	3	[85,99]	[(28528,280),(26450,200),(27492,1),(27493,1),(28253,1),(26934,100),(28042,1)]	WZGC_Text5
6	9,10	3000	3	[85,99]	[(28528,240),(26450,180),(27492,1),(27493,1),(28253,1),(26934,90),(28042,1)]	WZGC_Text9
7	11,20	3000	3	[85,99]	[(28528,210),(26450,150),(27493,1),(28253,1),(26934,75),(28032,1)]	WZGC_Text11
8	21,31	3000	3	[85,99]	[(28528,180),(26450,120),(27492,1),(28253,1),(26934,60),(28032,1)]	WZGC_Text31
9	32,40	3000	3	[85,99]	[(28528,150),(26450,100),(27492,1),(28253,1),(26934,50),(28031,1)]	WZGC_Text32
10	41,50	3000	3	[85,99]	[(28528,120),(26450,80),(27492,1),(28253,1),(26934,40),(28031,1)]	WZGC_Text41
11	51,80	3000	3	[85,99]	[(28528,100),(26450,60),(27492,1),(26934,30),(28031,1)]	WZGC_Text80
12	81,100	3000	3	[85,99]	[(28528,80),(26450,50),(27492,1),(26934,25),(28031,1)]	WZGC_Text81
13	101,200	3000	3	[85,99]	[(28528,60),(26450,40),(27492,1),(26934,20),(28030,1)]	WZGC_Text101
14	201,300	3000	3	[85,99]	[(28528,40),(26450,30),(26934,15),(28030,1)]	WZGC_Text201
15	301,400	3000	3	[85,99]	[(28528,30),(26450,25),(26934,12),(28030,1)]	WZGC_Text301
16	401,500	3000	3	[85,99]	[(28528,20),(26450,20),(26934,10),(28035,1)]	WZGC_Text401
1	1,1	3000	4	[100,129]	[(28528,500),(26450,400),(27493,2),(28895,2),(28447,1),(27588,400),(28044,1),(26899,1)]	WZGC_TextDYM
2	2,2	3000	4	[100,129]	[(28528,420),(26450,350),(27493,1),(28895,1),(28254,1),(27588,350),(28043,1),(26899,1)]	WZGC_TextDRM
3	3,3	3000	4	[100,129]	[(28528,360),(26450,300),(27493,1),(28895,1),(28254,1),(27588,300),(28042,1),(26899,1)]	WZGC_TextDSM
4	4,4	3000	4	[100,129]	[(28528,320),(26450,250),(27493,1),(28895,1),(28254,1),(27588,250),(28042,1),(26899,1)]	WZGC_TextD4M
5	5,8	3000	4	[100,129]	[(28528,280),(26450,200),(27492,1),(27493,1),(28253,1),(27588,200),(28042,1)]	WZGC_Text5
6	9,10	3000	4	[100,129]	[(28528,240),(26450,180),(27492,1),(27493,1),(28253,1),(27588,180),(28042,1)]	WZGC_Text9
7	11,20	3000	4	[100,129]	[(28528,210),(26450,150),(27493,1),(28253,1),(27588,150),(28032,1)]	WZGC_Text11
8	21,31	3000	4	[100,129]	[(28528,180),(26450,120),(27492,1),(28253,1),(27588,120),(28032,1)]	WZGC_Text31
9	32,40	3000	4	[100,129]	[(28528,150),(26450,100),(27492,1),(28253,1),(27588,100),(28031,1)]	WZGC_Text32
10	41,50	3000	4	[100,129]	[(28528,120),(26450,80),(27492,1),(28253,1),(27588,80),(28031,1)]	WZGC_Text41
11	51,80	3000	4	[100,129]	[(28528,100),(26450,60),(27492,1),(27588,60),(28031,1)]	WZGC_Text80
12	81,100	3000	4	[100,129]	[(28528,80),(26450,50),(27492,1),(27588,50),(28031,1)]	WZGC_Text81
13	101,200	3000	4	[100,129]	[(28528,60),(26450,40),(27492,1),(27588,40),(28030,1)]	WZGC_Text101
14	201,300	3000	4	[100,129]	[(28528,40),(26450,30),(27588,30),(28030,1)]	WZGC_Text201
15	301,400	3000	4	[100,129]	[(28528,30),(26450,25),(27588,25),(28030,1)]	WZGC_Text301
16	401,500	3000	4	[100,129]	[(28528,20),(26450,20),(27588,20),(28035,1)]	WZGC_Text401
1	1,1	3000	5	[130,179]	[(28528,500),(26450,400),(27493,2),(28895,2),(28447,1),(27588,400),(28044,1),(29234,1)]	WZGC_TextDYM
2	2,2	3000	5	[130,179]	[(28528,420),(26450,350),(27493,1),(28895,1),(28254,1),(27588,350),(28043,1),(29234,1)]	WZGC_TextDRM
3	3,3	3000	5	[130,179]	[(28528,360),(26450,300),(27493,1),(28895,1),(28254,1),(27588,300),(28042,1),(29234,1)]	WZGC_TextDSM
4	4,4	3000	5	[130,179]	[(28528,320),(26450,250),(27493,1),(28895,1),(28254,1),(27588,250),(28042,1),(29234,1)]	WZGC_TextD4M
5	5,8	3000	5	[130,179]	[(28528,280),(26450,200),(27492,1),(27493,1),(28253,1),(27588,200),(28042,1)]	WZGC_Text5
6	9,10	3000	5	[130,179]	[(28528,240),(26450,180),(27492,1),(27493,1),(28253,1),(27588,180),(28042,1)]	WZGC_Text9
7	11,20	3000	5	[130,179]	[(28528,210),(26450,150),(27493,1),(28253,1),(27588,150),(28032,1)]	WZGC_Text11
8	21,31	3000	5	[130,179]	[(28528,180),(26450,120),(27492,1),(28253,1),(27588,120),(28032,1)]	WZGC_Text31
9	32,40	3000	5	[130,179]	[(28528,150),(26450,100),(27492,1),(28253,1),(27588,100),(28031,1)]	WZGC_Text32
10	41,50	3000	5	[130,179]	[(28528,120),(26450,80),(27492,1),(28253,1),(27588,80),(28031,1)]	WZGC_Text41
11	51,80	3000	5	[130,179]	[(28528,100),(26450,60),(27492,1),(27588,60),(28031,1)]	WZGC_Text80
12	81,100	3000	5	[130,179]	[(28528,80),(26450,50),(27492,1),(27588,50),(28031,1)]	WZGC_Text81
13	101,200	3000	5	[130,179]	[(28528,60),(26450,40),(27492,1),(27588,40),(28030,1)]	WZGC_Text101
14	201,300	3000	5	[130,179]	[(28528,40),(26450,30),(27588,30),(28030,1)]	WZGC_Text201
15	301,400	3000	5	[130,179]	[(28528,30),(26450,25),(27588,25),(28030,1)]	WZGC_Text301
16	401,500	3000	5	[130,179]	[(28528,20),(26450,20),(27588,20),(28035,1)]	WZGC_Text401
