index	actId	actTitle	actRes	actContent	smallIconname
19	16	JQQY_TextLCHL	HDGQ_LCHL	1、每天累积充值满200神石即可完成一天充值目标。#H2、活动期间按照完成充值目标的天数领取奖励。#H3、完成7天目标可以领取超级大奖。	
20	17	JQQY_TextXFHL	HDGQ_XFHL		
21	18	JQQY_TextXFPM	HDGQ_XFPM	1、活动期间每日消费达到3000充值神石可领取固定奖励。#H2.消费达到3000充值神石的玩家有资格进入消费充值神石排行榜，跨服排行榜每半个小时更新一次，本服排行榜实时更新。#H3.每日23：58结算当日玩家消费充值神石排名。#H4.次日0点以邮件方式发放排行奖励，跨服前500名、本服前10名的玩家可获得丰厚奖励。#H5.玩家可通过下方按钮查看跨服和本服的今日排名和昨日排名。	
22	19	JQQY_TextHJLZTG	HDGQ_HLZTG	1、消耗充值神石砸碎陶罐可以获得道具奖励和陶瓷碎片，陶瓷碎片可用于藏宝商店兑换。	
1	20	GEJ2015_Text1	XNDFS_QDYL	1、活动期间，每天在指定时间段内即可领取对应奖励，错过时间将无法领取。	
23	21	GEJ2015_Text2	GEJ2015_2	1、活动期间每消耗10充值神石即可获得1消费积分，兑换道具需消耗消费积分，消费积分在活动期间不清零；#H2、活动结束后积分将被清零，请及时兑换。	
2	22	GEJ2015_Text3	XNDFS_MRSC	1、每天累积充值200神石即可领取当日奖励。#H2、每日充值后可花费200充值神石购买超值物品，每次仅限1次。#H3、累计完成天数还可领取额外奖励。	
24	23	GEJ2015_Text6	GEJ2015_6	1、活动期间，同一商品每购买二件即可获得额外一件的赠送；	
25	24	GEJ2015_Text7	GEJ2015_7	1、活动期间每消耗100充值神石可获得一个兑奖码；#H2、兑奖码激活后会自动参与当次开奖，开奖后可在兑奖码界面中查看自己的中奖情况，每个兑奖码只能参与一次开奖；#H3、活动期间每天12:00、18:00、23:50各开奖一次，请及时激活兑奖码；#H4、活动结束后，未领取的奖励将通过邮件发送；每个未激活的兑奖码将返还10奖励神石，通过邮件发送。	
26	25	NDJH_TextZXSC	SSR2015_1	1、折扣商城分为：道具商城和贵族商城；道具商城可用充值神石和奖励神石购买，贵族商城只能用充值神石购买。#H2、商城的商品分开结算；总价达到一定额度就能享受相应的折扣。#H注：活动期间购买商品满500打95折、满1000打9折、满2000打85折、满5000打8折、满10000打75折、满20000打7折、满50000打65折、满100000打6折。	
27	26	SSR2015_TextCZTG	SSR2015_2	1、活动期间每日会出售不同的商品，每个商品仅限充值神石购买，每个商品只能购买一次。#H2、每日0点结算时根据实际购买人数进行神石奖励，返还货币为奖励神石。#H3、每个商品购买的前20名玩家可获得额外的奖励，奖励会在每日0点结算时发放。	
28	27	SSR2015_TextCZSHB	XNDFS_CZSHB	1、每充值1000神石可获得1个红包，累计充值额度次日清零。#H2、红包仅限活动期间使用，活动结束后将失效。	
29	28	SSR2015_TextXYHB1	SSR2015_4	1、活动期间，消耗1个“幸运红包”道具即可向世界频道或公会频道发放红包。#H2、发放红包的玩家可决定发放红包的祝福语、数量和频道。#H3、玩家可通过频道广播链接跳转到抢红包界面进行抢红包。#H4、每个玩家每日可领取30个红包。	
30	29	SDKH2015_TextSDDDJ	SDKH2015_1	1、活动期间，可消耗道具和充值神石兑换珍贵道具。	
31	30	NDJH_TextQMLJ	NDJH_QMLJ		
32	31	CJXL_TextHYYL	CJXL_HYYL	1、活动期间，玩家每日登录、每日必做获取100积分、充值200神石即可分别领取一份奖励。#H2、未领取的奖励次日不可领取.#H3、奖励每日0:00重置，每日的奖励均有不同。	
33	32	CJXL_TextHBDFL	CJXL_HBNXC	1、活动期间，玩家每日通过公会红包玩法发放红包达到指定额度即可领取对应奖励。#H2、发放红包的额度每日0:00重置，未领取的奖励次日不可领取。#H3、每一档次的奖励每日只可领取一次。	
34	33	CJXL_TextCJDNS	CJXL_CJDNS	1、活动期间，玩家可以通过副本和英灵神殿玩法获得道具烈焰火把。#H2、普通攻击年兽一次需要消耗80000金币和1个烈焰火把，高级攻击年兽一次需要消耗88神石。#H3、攻击年兽可以获得奖励，奖励和攻击类型有关。	
35	34	NYX_Text01	SSR2015_1		
36	35	NYX_Text02	SSR2015_1		
3	36	XCTH_TextCZSDL	CTTH_1	1、每天充值满500神石即可领取超值大礼包奖励，可获得新春徽章，每天可领取一次。#H2、当天每充值满1000神石可领取一个新春徽章宝箱+100神石，可循环领取，每天最多可领取100次奖励，开启宝箱可获得新春徽章。#H3、新春徽章可在藏宝商店兑换珍贵奖励。#H4、充值奖励请及时领取，每日24:00重置清除。	
