Level	showItem1	showItem2
50	[(26044,1,1),(25600,2,1),(26344,2,1),(26342,2,1),(26951,1,1)]	[(26972,1,1),(25792,1,1),(25795,1,1),(25796,1,1),(26951,10,1)]
51	[(26044,1,1),(25600,2,1),(26344,2,1),(26342,2,1),(26951,1,1)]	[(26972,1,1),(25792,1,1),(25795,1,1),(25796,1,1),(26951,10,1)]
52	[(26044,1,1),(25600,2,1),(26344,2,1),(26342,2,1),(26951,1,1)]	[(26972,1,1),(25792,1,1),(25795,1,1),(25796,1,1),(26951,10,1)]
53	[(26044,1,1),(25600,2,1),(26344,2,1),(26342,2,1),(26951,1,1)]	[(26972,1,1),(25792,1,1),(25795,1,1),(25796,1,1),(26951,10,1)]
54	[(26044,1,1),(25600,2,1),(26344,2,1),(26342,2,1),(26951,1,1)]	[(26972,1,1),(25792,1,1),(25795,1,1),(25796,1,1),(26951,10,1)]
55	[(26044,1,1),(25600,2,1),(26344,2,1),(26342,2,1),(26951,1,1)]	[(26972,1,1),(25792,1,1),(25795,1,1),(25796,1,1),(26951,10,1)]
56	[(26044,1,1),(25600,2,1),(26344,2,1),(26342,2,1),(26951,1,1)]	[(26972,1,1),(25792,1,1),(25795,1,1),(25796,1,1),(26951,10,1)]
57	[(26044,1,1),(25600,2,1),(26344,2,1),(26342,2,1),(26951,1,1)]	[(26972,1,1),(25792,1,1),(25795,1,1),(25796,1,1),(26951,10,1)]
58	[(26044,1,1),(25600,2,1),(26344,2,1),(26342,2,1),(26951,1,1)]	[(26972,1,1),(25792,1,1),(25795,1,1),(25796,1,1),(26951,10,1)]
59	[(26044,1,1),(25600,2,1),(26344,2,1),(26342,2,1),(26951,1,1)]	[(26972,1,1),(25792,1,1),(25795,1,1),(25796,1,1),(26951,10,1)]
60	[(26044,1,1),(26267,1,1),(25837,2,1),(26144,2,1),(26951,1,1)]	[(26972,1,1),(47,1,2),(25792,1,1),(25796,1,1),(26951,10,1)]
61	[(26044,1,1),(26267,1,1),(25837,2,1),(26144,2,1),(26951,1,1)]	[(26972,1,1),(47,1,2),(25792,1,1),(25796,1,1),(26951,10,1)]
62	[(26044,1,1),(26267,1,1),(25837,2,1),(26144,2,1),(26951,1,1)]	[(26972,1,1),(47,1,2),(25792,1,1),(25796,1,1),(26951,10,1)]
63	[(26044,1,1),(26267,1,1),(25837,2,1),(26144,2,1),(26951,1,1)]	[(26972,1,1),(47,1,2),(25792,1,1),(25796,1,1),(26951,10,1)]
64	[(26044,1,1),(26267,1,1),(25837,2,1),(26144,2,1),(26951,1,1)]	[(26972,1,1),(47,1,2),(25792,1,1),(25796,1,1),(26951,10,1)]
65	[(26044,1,1),(26267,1,1),(25837,2,1),(26144,2,1),(26951,1,1)]	[(26972,1,1),(47,1,2),(25792,1,1),(25796,1,1),(26951,10,1)]
66	[(26044,1,1),(26267,1,1),(25837,2,1),(26144,2,1),(26951,1,1)]	[(26972,1,1),(47,1,2),(25792,1,1),(25796,1,1),(26951,10,1)]
67	[(26044,1,1),(26267,1,1),(25837,2,1),(26144,2,1),(26951,1,1)]	[(26972,1,1),(47,1,2),(25792,1,1),(25796,1,1),(26951,10,1)]
68	[(26044,1,1),(26267,1,1),(25837,2,1),(26144,2,1),(26951,1,1)]	[(26972,1,1),(47,1,2),(25792,1,1),(25796,1,1),(26951,10,1)]
69	[(26044,1,1),(26267,1,1),(25837,2,1),(26144,2,1),(26951,1,1)]	[(26972,1,1),(47,1,2),(25792,1,1),(25796,1,1),(26951,10,1)]
70	[(26044,1,1),(26267,1,1),(25837,2,1),(26144,2,1),(26951,1,1)]	[(26972,1,1),(47,1,2),(25792,1,1),(25796,1,1),(26951,10,1)]
71	[(26044,1,1),(26267,1,1),(25837,2,1),(26144,2,1),(26951,1,1)]	[(26972,1,1),(47,1,2),(25792,1,1),(25796,1,1),(26951,10,1)]
72	[(26044,1,1),(26267,1,1),(25837,2,1),(26144,2,1),(26951,1,1)]	[(26972,1,1),(47,1,2),(25792,1,1),(25796,1,1),(26951,10,1)]
73	[(26044,1,1),(26267,1,1),(25837,2,1),(26144,2,1),(26951,1,1)]	[(26972,1,1),(47,1,2),(25792,1,1),(25796,1,1),(26951,10,1)]
74	[(26044,1,1),(26267,1,1),(25837,2,1),(26144,2,1),(26951,1,1)]	[(26972,1,1),(47,1,2),(25792,1,1),(25796,1,1),(26951,10,1)]
75	[(26044,1,1),(26267,1,1),(25837,2,1),(26144,2,1),(26951,1,1)]	[(26972,1,1),(47,1,2),(25792,1,1),(25796,1,1),(26951,10,1)]
76	[(26044,1,1),(26267,1,1),(25837,2,1),(26144,2,1),(26951,1,1)]	[(26972,1,1),(47,1,2),(25792,1,1),(25796,1,1),(26951,10,1)]
77	[(26044,1,1),(26267,1,1),(25837,2,1),(26144,2,1),(26951,1,1)]	[(26972,1,1),(47,1,2),(25792,1,1),(25796,1,1),(26951,10,1)]
78	[(26044,1,1),(26267,1,1),(25837,2,1),(26144,2,1),(26951,1,1)]	[(26972,1,1),(47,1,2),(25792,1,1),(25796,1,1),(26951,10,1)]
79	[(26044,1,1),(26267,1,1),(25837,2,1),(26144,2,1),(26951,1,1)]	[(26972,1,1),(47,1,2),(25792,1,1),(25796,1,1),(26951,10,1)]
80	[(26044,1,1),(26267,1,1),(25837,2,1),(26144,2,1),(26951,1,1)]	[(26972,1,1),(47,1,2),(25792,1,1),(25796,1,1),(26951,10,1)]
81	[(26044,1,1),(26267,1,1),(25837,2,1),(26144,2,1),(26951,1,1)]	[(26972,1,1),(47,1,2),(25792,1,1),(25796,1,1),(26951,10,1)]
82	[(26044,1,1),(26267,1,1),(25837,2,1),(26144,2,1),(26951,1,1)]	[(26972,1,1),(47,1,2),(25792,1,1),(25796,1,1),(26951,10,1)]
83	[(26044,1,1),(26267,1,1),(25837,2,1),(26144,2,1),(26951,1,1)]	[(26972,1,1),(47,1,2),(25792,1,1),(25796,1,1),(26951,10,1)]
84	[(26044,1,1),(26267,1,1),(25837,2,1),(26144,2,1),(26951,1,1)]	[(26972,1,1),(47,1,2),(25792,1,1),(25796,1,1),(26951,10,1)]
85	[(26044,1,1),(26267,1,1),(25837,2,1),(26144,2,1),(26951,1,1)]	[(26972,1,1),(47,1,2),(25792,1,1),(25796,1,1),(26951,10,1)]
86	[(26044,1,1),(26267,1,1),(25837,2,1),(26144,2,1),(26951,1,1)]	[(26972,1,1),(47,1,2),(25792,1,1),(25796,1,1),(26951,10,1)]
87	[(26044,1,1),(26267,1,1),(25837,2,1),(26144,2,1),(26951,1,1)]	[(26972,1,1),(47,1,2),(25792,1,1),(25796,1,1),(26951,10,1)]
88	[(26044,1,1),(26267,1,1),(25837,2,1),(26144,2,1),(26951,1,1)]	[(26972,1,1),(47,1,2),(25792,1,1),(25796,1,1),(26951,10,1)]
89	[(26044,1,1),(26267,1,1),(25837,2,1),(26144,2,1),(26951,1,1)]	[(26972,1,1),(47,1,2),(25792,1,1),(25796,1,1),(26951,10,1)]
90	[(26044,1,1),(26267,1,1),(25837,2,1),(26144,2,1),(26951,1,1)]	[(26972,1,1),(47,1,2),(25792,1,1),(25796,1,1),(26951,10,1)]
91	[(26044,1,1),(26267,1,1),(25837,2,1),(26144,2,1),(26951,1,1)]	[(26972,1,1),(47,1,2),(25792,1,1),(25796,1,1),(26951,10,1)]
92	[(26044,1,1),(26267,1,1),(25837,2,1),(26144,2,1),(26951,1,1)]	[(26972,1,1),(47,1,2),(25792,1,1),(25796,1,1),(26951,10,1)]
93	[(26044,1,1),(26267,1,1),(25837,2,1),(26144,2,1),(26951,1,1)]	[(26972,1,1),(47,1,2),(25792,1,1),(25796,1,1),(26951,10,1)]
94	[(26044,1,1),(26267,1,1),(25837,2,1),(26144,2,1),(26951,1,1)]	[(26972,1,1),(47,1,2),(25792,1,1),(25796,1,1),(26951,10,1)]
95	[(26044,1,1),(26267,1,1),(25837,2,1),(26144,2,1),(26951,1,1)]	[(26972,1,1),(47,1,2),(25792,1,1),(25796,1,1),(26951,10,1)]
96	[(26044,1,1),(26267,1,1),(25837,2,1),(26144,2,1),(26951,1,1)]	[(26972,1,1),(47,1,2),(25792,1,1),(25796,1,1),(26951,10,1)]
97	[(26044,1,1),(26267,1,1),(25837,2,1),(26144,2,1),(26951,1,1)]	[(26972,1,1),(47,1,2),(25792,1,1),(25796,1,1),(26951,10,1)]
98	[(26044,1,1),(26267,1,1),(25837,2,1),(26144,2,1),(26951,1,1)]	[(26972,1,1),(47,1,2),(25792,1,1),(25796,1,1),(26951,10,1)]
99	[(26044,1,1),(26267,1,1),(25837,2,1),(26144,2,1),(26951,1,1)]	[(26972,1,1),(47,1,2),(25792,1,1),(25796,1,1),(26951,10,1)]
100	[(26044,1,1),(26267,1,1),(25837,2,1),(26144,2,1),(26951,1,1)]	[(26972,1,1),(47,1,2),(25792,1,1),(25796,1,1),(26951,10,1)]
101	[(26044,1,1),(26267,1,1),(25837,2,1),(26144,2,1),(26951,1,1)]	[(26972,1,1),(47,1,2),(25792,1,1),(25796,1,1),(26951,10,1)]
102	[(26044,1,1),(26267,1,1),(25837,2,1),(26144,2,1),(26951,1,1)]	[(26972,1,1),(47,1,2),(25792,1,1),(25796,1,1),(26951,10,1)]
103	[(26044,1,1),(26267,1,1),(25837,2,1),(26144,2,1),(26951,1,1)]	[(26972,1,1),(47,1,2),(25792,1,1),(25796,1,1),(26951,10,1)]
104	[(26044,1,1),(26267,1,1),(25837,2,1),(26144,2,1),(26951,1,1)]	[(26972,1,1),(47,1,2),(25792,1,1),(25796,1,1),(26951,10,1)]
105	[(26044,1,1),(26267,1,1),(25837,2,1),(26144,2,1),(26951,1,1)]	[(26972,1,1),(47,1,2),(25792,1,1),(25796,1,1),(26951,10,1)]
106	[(26044,1,1),(26267,1,1),(25837,2,1),(26144,2,1),(26951,1,1)]	[(26972,1,1),(47,1,2),(25792,1,1),(25796,1,1),(26951,10,1)]
107	[(26044,1,1),(26267,1,1),(25837,2,1),(26144,2,1),(26951,1,1)]	[(26972,1,1),(47,1,2),(25792,1,1),(25796,1,1),(26951,10,1)]
108	[(26044,1,1),(26267,1,1),(25837,2,1),(26144,2,1),(26951,1,1)]	[(26972,1,1),(47,1,2),(25792,1,1),(25796,1,1),(26951,10,1)]
109	[(26044,1,1),(26267,1,1),(25837,2,1),(26144,2,1),(26951,1,1)]	[(26972,1,1),(47,1,2),(25792,1,1),(25796,1,1),(26951,10,1)]
110	[(26044,1,1),(26267,1,1),(25837,2,1),(26144,2,1),(26951,1,1)]	[(26972,1,1),(47,1,2),(25792,1,1),(25796,1,1),(26951,10,1)]
111	[(26044,1,1),(26267,1,1),(25837,2,1),(26144,2,1),(26951,1,1)]	[(26972,1,1),(47,1,2),(25792,1,1),(25796,1,1),(26951,10,1)]
112	[(26044,1,1),(26267,1,1),(25837,2,1),(26144,2,1),(26951,1,1)]	[(26972,1,1),(47,1,2),(25792,1,1),(25796,1,1),(26951,10,1)]
113	[(26044,1,1),(26267,1,1),(25837,2,1),(26144,2,1),(26951,1,1)]	[(26972,1,1),(47,1,2),(25792,1,1),(25796,1,1),(26951,10,1)]
114	[(26044,1,1),(26267,1,1),(25837,2,1),(26144,2,1),(26951,1,1)]	[(26972,1,1),(47,1,2),(25792,1,1),(25796,1,1),(26951,10,1)]
115	[(26044,1,1),(26267,1,1),(25837,2,1),(26144,2,1),(26951,1,1)]	[(26972,1,1),(47,1,2),(25792,1,1),(25796,1,1),(26951,10,1)]
116	[(26044,1,1),(26267,1,1),(25837,2,1),(26144,2,1),(26951,1,1)]	[(26972,1,1),(47,1,2),(25792,1,1),(25796,1,1),(26951,10,1)]
117	[(26044,1,1),(26267,1,1),(25837,2,1),(26144,2,1),(26951,1,1)]	[(26972,1,1),(47,1,2),(25792,1,1),(25796,1,1),(26951,10,1)]
118	[(26044,1,1),(26267,1,1),(25837,2,1),(26144,2,1),(26951,1,1)]	[(26972,1,1),(47,1,2),(25792,1,1),(25796,1,1),(26951,10,1)]
119	[(26044,1,1),(26267,1,1),(25837,2,1),(26144,2,1),(26951,1,1)]	[(26972,1,1),(47,1,2),(25792,1,1),(25796,1,1),(26951,10,1)]
120	[(26044,1,1),(26267,1,1),(25837,2,1),(26144,2,1),(26951,1,1)]	[(26972,1,1),(47,1,2),(25792,1,1),(25796,1,1),(26951,10,1)]
121	[(26044,1,1),(26267,1,1),(25837,2,1),(26144,2,1),(26951,1,1)]	[(26972,1,1),(47,1,2),(25792,1,1),(25796,1,1),(26951,10,1)]
122	[(26044,1,1),(26267,1,1),(25837,2,1),(26144,2,1),(26951,1,1)]	[(26972,1,1),(47,1,2),(25792,1,1),(25796,1,1),(26951,10,1)]
123	[(26044,1,1),(26267,1,1),(25837,2,1),(26144,2,1),(26951,1,1)]	[(26972,1,1),(47,1,2),(25792,1,1),(25796,1,1),(26951,10,1)]
124	[(26044,1,1),(26267,1,1),(25837,2,1),(26144,2,1),(26951,1,1)]	[(26972,1,1),(47,1,2),(25792,1,1),(25796,1,1),(26951,10,1)]
125	[(26044,1,1),(26267,1,1),(25837,2,1),(26144,2,1),(26951,1,1)]	[(26972,1,1),(47,1,2),(25792,1,1),(25796,1,1),(26951,10,1)]
126	[(26044,1,1),(26267,1,1),(25837,2,1),(26144,2,1),(26951,1,1)]	[(26972,1,1),(47,1,2),(25792,1,1),(25796,1,1),(26951,10,1)]
127	[(26044,1,1),(26267,1,1),(25837,2,1),(26144,2,1),(26951,1,1)]	[(26972,1,1),(47,1,2),(25792,1,1),(25796,1,1),(26951,10,1)]
128	[(26044,1,1),(26267,1,1),(25837,2,1),(26144,2,1),(26951,1,1)]	[(26972,1,1),(47,1,2),(25792,1,1),(25796,1,1),(26951,10,1)]
129	[(26044,1,1),(26267,1,1),(25837,2,1),(26144,2,1),(26951,1,1)]	[(26972,1,1),(47,1,2),(25792,1,1),(25796,1,1),(26951,10,1)]
130	[(26044,1,1),(26267,1,1),(25837,2,1),(26144,2,1),(26951,1,1)]	[(26972,1,1),(47,1,2),(25792,1,1),(25796,1,1),(26951,10,1)]
131	[(26044,1,1),(26267,1,1),(25837,2,1),(26144,2,1),(26951,1,1)]	[(26972,1,1),(47,1,2),(25792,1,1),(25796,1,1),(26951,10,1)]
132	[(26044,1,1),(26267,1,1),(25837,2,1),(26144,2,1),(26951,1,1)]	[(26972,1,1),(47,1,2),(25792,1,1),(25796,1,1),(26951,10,1)]
133	[(26044,1,1),(26267,1,1),(25837,2,1),(26144,2,1),(26951,1,1)]	[(26972,1,1),(47,1,2),(25792,1,1),(25796,1,1),(26951,10,1)]
134	[(26044,1,1),(26267,1,1),(25837,2,1),(26144,2,1),(26951,1,1)]	[(26972,1,1),(47,1,2),(25792,1,1),(25796,1,1),(26951,10,1)]
135	[(26044,1,1),(26267,1,1),(25837,2,1),(26144,2,1),(26951,1,1)]	[(26972,1,1),(47,1,2),(25792,1,1),(25796,1,1),(26951,10,1)]
136	[(26044,1,1),(26267,1,1),(25837,2,1),(26144,2,1),(26951,1,1)]	[(26972,1,1),(47,1,2),(25792,1,1),(25796,1,1),(26951,10,1)]
137	[(26044,1,1),(26267,1,1),(25837,2,1),(26144,2,1),(26951,1,1)]	[(26972,1,1),(47,1,2),(25792,1,1),(25796,1,1),(26951,10,1)]
138	[(26044,1,1),(26267,1,1),(25837,2,1),(26144,2,1),(26951,1,1)]	[(26972,1,1),(47,1,2),(25792,1,1),(25796,1,1),(26951,10,1)]
139	[(26044,1,1),(26267,1,1),(25837,2,1),(26144,2,1),(26951,1,1)]	[(26972,1,1),(47,1,2),(25792,1,1),(25796,1,1),(26951,10,1)]
140	[(26044,1,1),(26267,1,1),(25837,2,1),(26144,2,1),(26951,1,1)]	[(26972,1,1),(47,1,2),(25792,1,1),(25796,1,1),(26951,10,1)]
141	[(26044,1,1),(26267,1,1),(25837,2,1),(26144,2,1),(26951,1,1)]	[(26972,1,1),(47,1,2),(25792,1,1),(25796,1,1),(26951,10,1)]
142	[(26044,1,1),(26267,1,1),(25837,2,1),(26144,2,1),(26951,1,1)]	[(26972,1,1),(47,1,2),(25792,1,1),(25796,1,1),(26951,10,1)]
143	[(26044,1,1),(26267,1,1),(25837,2,1),(26144,2,1),(26951,1,1)]	[(26972,1,1),(47,1,2),(25792,1,1),(25796,1,1),(26951,10,1)]
144	[(26044,1,1),(26267,1,1),(25837,2,1),(26144,2,1),(26951,1,1)]	[(26972,1,1),(47,1,2),(25792,1,1),(25796,1,1),(26951,10,1)]
145	[(26044,1,1),(26267,1,1),(25837,2,1),(26144,2,1),(26951,1,1)]	[(26972,1,1),(47,1,2),(25792,1,1),(25796,1,1),(26951,10,1)]
146	[(26044,1,1),(26267,1,1),(25837,2,1),(26144,2,1),(26951,1,1)]	[(26972,1,1),(47,1,2),(25792,1,1),(25796,1,1),(26951,10,1)]
147	[(26044,1,1),(26267,1,1),(25837,2,1),(26144,2,1),(26951,1,1)]	[(26972,1,1),(47,1,2),(25792,1,1),(25796,1,1),(26951,10,1)]
148	[(26044,1,1),(26267,1,1),(25837,2,1),(26144,2,1),(26951,1,1)]	[(26972,1,1),(47,1,2),(25792,1,1),(25796,1,1),(26951,10,1)]
149	[(26044,1,1),(26267,1,1),(25837,2,1),(26144,2,1),(26951,1,1)]	[(26972,1,1),(47,1,2),(25792,1,1),(25796,1,1),(26951,10,1)]
150	[(26044,1,1),(26267,1,1),(25837,2,1),(26144,2,1),(26951,1,1)]	[(26972,1,1),(47,1,2),(25792,1,1),(25796,1,1),(26951,10,1)]
151	[(26044,1,1),(26267,1,1),(25837,2,1),(26144,2,1),(26951,1,1)]	[(26972,1,1),(47,1,2),(25792,1,1),(25796,1,1),(26951,10,1)]
152	[(26044,1,1),(26267,1,1),(25837,2,1),(26144,2,1),(26951,1,1)]	[(26972,1,1),(47,1,2),(25792,1,1),(25796,1,1),(26951,10,1)]
153	[(26044,1,1),(26267,1,1),(25837,2,1),(26144,2,1),(26951,1,1)]	[(26972,1,1),(47,1,2),(25792,1,1),(25796,1,1),(26951,10,1)]
154	[(26044,1,1),(26267,1,1),(25837,2,1),(26144,2,1),(26951,1,1)]	[(26972,1,1),(47,1,2),(25792,1,1),(25796,1,1),(26951,10,1)]
155	[(26044,1,1),(26267,1,1),(25837,2,1),(26144,2,1),(26951,1,1)]	[(26972,1,1),(47,1,2),(25792,1,1),(25796,1,1),(26951,10,1)]
156	[(26044,1,1),(26267,1,1),(25837,2,1),(26144,2,1),(26951,1,1)]	[(26972,1,1),(47,1,2),(25792,1,1),(25796,1,1),(26951,10,1)]
157	[(26044,1,1),(26267,1,1),(25837,2,1),(26144,2,1),(26951,1,1)]	[(26972,1,1),(47,1,2),(25792,1,1),(25796,1,1),(26951,10,1)]
158	[(26044,1,1),(26267,1,1),(25837,2,1),(26144,2,1),(26951,1,1)]	[(26972,1,1),(47,1,2),(25792,1,1),(25796,1,1),(26951,10,1)]
159	[(26044,1,1),(26267,1,1),(25837,2,1),(26144,2,1),(26951,1,1)]	[(26972,1,1),(47,1,2),(25792,1,1),(25796,1,1),(26951,10,1)]
