level	reward1	reward2	reward3
74	(27167, 1)	(27167, 2)	(27167, 10)
75	(27167, 1)	(27167, 2)	(27167, 10)
76	(27167, 1)	(27167, 2)	(27167, 10)
77	(27167, 1)	(27167, 2)	(27167, 10)
78	(27167, 1)	(27167, 2)	(27167, 10)
79	(27167, 1)	(27167, 2)	(27167, 10)
80	(27167, 1)	(27167, 2)	(27167, 10)
81	(27167, 1)	(27167, 2)	(27167, 10)
82	(27167, 1)	(27167, 2)	(27167, 10)
83	(27167, 1)	(27167, 2)	(27167, 10)
84	(27167, 1)	(27167, 2)	(27167, 10)
85	(27167, 1)	(27167, 2)	(27167, 10)
86	(27167, 1)	(27167, 2)	(27167, 10)
87	(27167, 1)	(27167, 2)	(27167, 10)
88	(27167, 1)	(27167, 2)	(27167, 10)
89	(27167, 1)	(27167, 2)	(27167, 10)
90	(27167, 1)	(27167, 2)	(27167, 10)
91	(27167, 1)	(27167, 2)	(27167, 10)
92	(27167, 1)	(27167, 2)	(27167, 10)
93	(27167, 1)	(27167, 2)	(27167, 10)
94	(27167, 1)	(27167, 2)	(27167, 10)
95	(27167, 1)	(27167, 2)	(27167, 10)
96	(27167, 1)	(27167, 2)	(27167, 10)
97	(27167, 1)	(27167, 2)	(27167, 10)
98	(27167, 1)	(27167, 2)	(27167, 10)
99	(27167, 1)	(27167, 2)	(27167, 10)
100	(27167, 1)	(27167, 2)	(27167, 10)
101	(27167, 1)	(27167, 2)	(27167, 10)
102	(27167, 1)	(27167, 2)	(27167, 10)
103	(27167, 1)	(27167, 2)	(27167, 10)
104	(27167, 1)	(27167, 2)	(27167, 10)
105	(27167, 1)	(27167, 2)	(27167, 10)
106	(27167, 1)	(27167, 2)	(27167, 10)
107	(27167, 1)	(27167, 2)	(27167, 10)
108	(27167, 1)	(27167, 2)	(27167, 10)
109	(27167, 1)	(27167, 2)	(27167, 10)
110	(27167, 1)	(27167, 2)	(27167, 10)
111	(27167, 1)	(27167, 2)	(27167, 10)
112	(27167, 1)	(27167, 2)	(27167, 10)
113	(27167, 1)	(27167, 2)	(27167, 10)
114	(27167, 1)	(27167, 2)	(27167, 10)
115	(27167, 1)	(27167, 2)	(27167, 10)
116	(27167, 1)	(27167, 2)	(27167, 10)
117	(27167, 1)	(27167, 2)	(27167, 10)
118	(27167, 1)	(27167, 2)	(27167, 10)
119	(27167, 1)	(27167, 2)	(27167, 10)
120	(27167, 1)	(27167, 2)	(27167, 10)
121	(27167, 1)	(27167, 2)	(27167, 10)
122	(27167, 1)	(27167, 2)	(27167, 10)
123	(27167, 1)	(27167, 2)	(27167, 10)
124	(27167, 1)	(27167, 2)	(27167, 10)
125	(27167, 1)	(27167, 2)	(27167, 10)
126	(27167, 1)	(27167, 2)	(27167, 10)
127	(27167, 1)	(27167, 2)	(27167, 10)
128	(27167, 1)	(27167, 2)	(27167, 10)
129	(27167, 1)	(27167, 2)	(27167, 10)
130	(27167, 1)	(27167, 2)	(27167, 10)
131	(27167, 1)	(27167, 2)	(27167, 10)
132	(27167, 1)	(27167, 2)	(27167, 10)
133	(27167, 1)	(27167, 2)	(27167, 10)
134	(27167, 1)	(27167, 2)	(27167, 10)
135	(27167, 1)	(27167, 2)	(27167, 10)
136	(27167, 1)	(27167, 2)	(27167, 10)
137	(27167, 1)	(27167, 2)	(27167, 10)
138	(27167, 1)	(27167, 2)	(27167, 10)
139	(27167, 1)	(27167, 2)	(27167, 10)
140	(27167, 1)	(27167, 2)	(27167, 10)
141	(27167, 1)	(27167, 2)	(27167, 10)
142	(27167, 1)	(27167, 2)	(27167, 10)
143	(27167, 1)	(27167, 2)	(27167, 10)
144	(27167, 1)	(27167, 2)	(27167, 10)
145	(27167, 1)	(27167, 2)	(27167, 10)
146	(27167, 1)	(27167, 2)	(27167, 10)
147	(27167, 1)	(27167, 2)	(27167, 10)
148	(27167, 1)	(27167, 2)	(27167, 10)
149	(27167, 1)	(27167, 2)	(27167, 10)
150	(27167, 1)	(27167, 2)	(27167, 10)
151	(27167, 1)	(27167, 2)	(27167, 10)
152	(27167, 1)	(27167, 2)	(27167, 10)
153	(27167, 1)	(27167, 2)	(27167, 10)
154	(27167, 1)	(27167, 2)	(27167, 10)
155	(27167, 1)	(27167, 2)	(27167, 10)
156	(27167, 1)	(27167, 2)	(27167, 10)
157	(27167, 1)	(27167, 2)	(27167, 10)
158	(27167, 1)	(27167, 2)	(27167, 10)
159	(27167, 1)	(27167, 2)	(27167, 10)
