serverType	rank	needScore	rankPreview	rankImg	rewardItems	money	bindRMB	rewardItemsPreview
1	38	4000	0	0	[(27868,60),(26344,20),(26450,15),(25757,1)]	0	0	[(27868,60),(26344,20),(26450,15),(25757,1)]
1	39	4000	0	0	[(27868,60),(26344,20),(26450,15),(25757,1)]	0	0	[(27868,60),(26344,20),(26450,15),(25757,1)]
1	40	4000	0	0	[(27868,60),(26344,20),(26450,15),(25757,1)]	0	0	[(27868,60),(26344,20),(26450,15),(25757,1)]
1	41	4000	0	0	[(27868,60),(26344,20),(26450,15),(25757,1)]	0	0	[(27868,60),(26344,20),(26450,15),(25757,1)]
1	42	4000	0	0	[(27868,60),(26344,20),(26450,15),(25757,1)]	0	0	[(27868,60),(26344,20),(26450,15),(25757,1)]
1	43	4000	0	0	[(27868,60),(26344,20),(26450,15),(25757,1)]	0	0	[(27868,60),(26344,20),(26450,15),(25757,1)]
1	44	4000	0	0	[(27868,60),(26344,20),(26450,15),(25757,1)]	0	0	[(27868,60),(26344,20),(26450,15),(25757,1)]
1	45	4000	0	0	[(27868,60),(26344,20),(26450,15),(25757,1)]	0	0	[(27868,60),(26344,20),(26450,15),(25757,1)]
1	46	4000	0	0	[(27868,60),(26344,20),(26450,15),(25757,1)]	0	0	[(27868,60),(26344,20),(26450,15),(25757,1)]
1	47	4000	0	0	[(27868,60),(26344,20),(26450,15),(25757,1)]	0	0	[(27868,60),(26344,20),(26450,15),(25757,1)]
1	48	4000	0	0	[(27868,60),(26344,20),(26450,15),(25757,1)]	0	0	[(27868,60),(26344,20),(26450,15),(25757,1)]
1	49	4000	0	0	[(27868,60),(26344,20),(26450,15),(25757,1)]	0	0	[(27868,60),(26344,20),(26450,15),(25757,1)]
1	50	4000	0	0	[(27868,60),(26344,20),(26450,15),(25757,1)]	0	0	[(27868,60),(26344,20),(26450,15),(25757,1)]
1	51	3000	9	SDJNH_Text51	[(27868,40),(26344,10),(26450,10),(25748,1)]	0	0	[(27868,40),(26344,10),(26450,10),(25748,1)]
1	52	3000	0	0	[(27868,40),(26344,10),(26450,10),(25748,1)]	0	0	[(27868,40),(26344,10),(26450,10),(25748,1)]
1	53	3000	0	0	[(27868,40),(26344,10),(26450,10),(25748,1)]	0	0	[(27868,40),(26344,10),(26450,10),(25748,1)]
1	54	3000	0	0	[(27868,40),(26344,10),(26450,10),(25748,1)]	0	0	[(27868,40),(26344,10),(26450,10),(25748,1)]
1	55	3000	0	0	[(27868,40),(26344,10),(26450,10),(25748,1)]	0	0	[(27868,40),(26344,10),(26450,10),(25748,1)]
1	56	3000	0	0	[(27868,40),(26344,10),(26450,10),(25748,1)]	0	0	[(27868,40),(26344,10),(26450,10),(25748,1)]
1	57	3000	0	0	[(27868,40),(26344,10),(26450,10),(25748,1)]	0	0	[(27868,40),(26344,10),(26450,10),(25748,1)]
1	58	3000	0	0	[(27868,40),(26344,10),(26450,10),(25748,1)]	0	0	[(27868,40),(26344,10),(26450,10),(25748,1)]
1	59	3000	0	0	[(27868,40),(26344,10),(26450,10),(25748,1)]	0	0	[(27868,40),(26344,10),(26450,10),(25748,1)]
1	60	3000	0	0	[(27868,40),(26344,10),(26450,10),(25748,1)]	0	0	[(27868,40),(26344,10),(26450,10),(25748,1)]
1	61	3000	0	0	[(27868,40),(26344,10),(26450,10),(25748,1)]	0	0	[(27868,40),(26344,10),(26450,10),(25748,1)]
1	62	3000	0	0	[(27868,40),(26344,10),(26450,10),(25748,1)]	0	0	[(27868,40),(26344,10),(26450,10),(25748,1)]
1	63	3000	0	0	[(27868,40),(26344,10),(26450,10),(25748,1)]	0	0	[(27868,40),(26344,10),(26450,10),(25748,1)]
1	64	3000	0	0	[(27868,40),(26344,10),(26450,10),(25748,1)]	0	0	[(27868,40),(26344,10),(26450,10),(25748,1)]
1	65	3000	0	0	[(27868,40),(26344,10),(26450,10),(25748,1)]	0	0	[(27868,40),(26344,10),(26450,10),(25748,1)]
1	66	3000	0	0	[(27868,40),(26344,10),(26450,10),(25748,1)]	0	0	[(27868,40),(26344,10),(26450,10),(25748,1)]
1	67	3000	0	0	[(27868,40),(26344,10),(26450,10),(25748,1)]	0	0	[(27868,40),(26344,10),(26450,10),(25748,1)]
1	68	3000	0	0	[(27868,40),(26344,10),(26450,10),(25748,1)]	0	0	[(27868,40),(26344,10),(26450,10),(25748,1)]
1	69	3000	0	0	[(27868,40),(26344,10),(26450,10),(25748,1)]	0	0	[(27868,40),(26344,10),(26450,10),(25748,1)]
1	70	3000	0	0	[(27868,40),(26344,10),(26450,10),(25748,1)]	0	0	[(27868,40),(26344,10),(26450,10),(25748,1)]
1	71	3000	0	0	[(27868,40),(26344,10),(26450,10),(25748,1)]	0	0	[(27868,40),(26344,10),(26450,10),(25748,1)]
1	72	3000	0	0	[(27868,40),(26344,10),(26450,10),(25748,1)]	0	0	[(27868,40),(26344,10),(26450,10),(25748,1)]
1	73	3000	0	0	[(27868,40),(26344,10),(26450,10),(25748,1)]	0	0	[(27868,40),(26344,10),(26450,10),(25748,1)]
1	74	3000	0	0	[(27868,40),(26344,10),(26450,10),(25748,1)]	0	0	[(27868,40),(26344,10),(26450,10),(25748,1)]
1	75	3000	0	0	[(27868,40),(26344,10),(26450,10),(25748,1)]	0	0	[(27868,40),(26344,10),(26450,10),(25748,1)]
1	76	3000	0	0	[(27868,40),(26344,10),(26450,10),(25748,1)]	0	0	[(27868,40),(26344,10),(26450,10),(25748,1)]
1	77	3000	0	0	[(27868,40),(26344,10),(26450,10),(25748,1)]	0	0	[(27868,40),(26344,10),(26450,10),(25748,1)]
1	78	3000	0	0	[(27868,40),(26344,10),(26450,10),(25748,1)]	0	0	[(27868,40),(26344,10),(26450,10),(25748,1)]
1	79	3000	0	0	[(27868,40),(26344,10),(26450,10),(25748,1)]	0	0	[(27868,40),(26344,10),(26450,10),(25748,1)]
1	80	3000	0	0	[(27868,40),(26344,10),(26450,10),(25748,1)]	0	0	[(27868,40),(26344,10),(26450,10),(25748,1)]
1	81	3000	0	0	[(27868,40),(26344,10),(26450,10),(25748,1)]	0	0	[(27868,40),(26344,10),(26450,10),(25748,1)]
1	82	3000	0	0	[(27868,40),(26344,10),(26450,10),(25748,1)]	0	0	[(27868,40),(26344,10),(26450,10),(25748,1)]
1	83	3000	0	0	[(27868,40),(26344,10),(26450,10),(25748,1)]	0	0	[(27868,40),(26344,10),(26450,10),(25748,1)]
1	84	3000	0	0	[(27868,40),(26344,10),(26450,10),(25748,1)]	0	0	[(27868,40),(26344,10),(26450,10),(25748,1)]
1	85	3000	0	0	[(27868,40),(26344,10),(26450,10),(25748,1)]	0	0	[(27868,40),(26344,10),(26450,10),(25748,1)]
1	86	3000	0	0	[(27868,40),(26344,10),(26450,10),(25748,1)]	0	0	[(27868,40),(26344,10),(26450,10),(25748,1)]
1	87	3000	0	0	[(27868,40),(26344,10),(26450,10),(25748,1)]	0	0	[(27868,40),(26344,10),(26450,10),(25748,1)]
1	88	3000	0	0	[(27868,40),(26344,10),(26450,10),(25748,1)]	0	0	[(27868,40),(26344,10),(26450,10),(25748,1)]
1	89	3000	0	0	[(27868,40),(26344,10),(26450,10),(25748,1)]	0	0	[(27868,40),(26344,10),(26450,10),(25748,1)]
1	90	3000	0	0	[(27868,40),(26344,10),(26450,10),(25748,1)]	0	0	[(27868,40),(26344,10),(26450,10),(25748,1)]
1	91	3000	0	0	[(27868,40),(26344,10),(26450,10),(25748,1)]	0	0	[(27868,40),(26344,10),(26450,10),(25748,1)]
1	92	3000	0	0	[(27868,40),(26344,10),(26450,10),(25748,1)]	0	0	[(27868,40),(26344,10),(26450,10),(25748,1)]
1	93	3000	0	0	[(27868,40),(26344,10),(26450,10),(25748,1)]	0	0	[(27868,40),(26344,10),(26450,10),(25748,1)]
1	94	3000	0	0	[(27868,40),(26344,10),(26450,10),(25748,1)]	0	0	[(27868,40),(26344,10),(26450,10),(25748,1)]
1	95	3000	0	0	[(27868,40),(26344,10),(26450,10),(25748,1)]	0	0	[(27868,40),(26344,10),(26450,10),(25748,1)]
1	96	3000	0	0	[(27868,40),(26344,10),(26450,10),(25748,1)]	0	0	[(27868,40),(26344,10),(26450,10),(25748,1)]
1	97	3000	0	0	[(27868,40),(26344,10),(26450,10),(25748,1)]	0	0	[(27868,40),(26344,10),(26450,10),(25748,1)]
1	98	3000	0	0	[(27868,40),(26344,10),(26450,10),(25748,1)]	0	0	[(27868,40),(26344,10),(26450,10),(25748,1)]
1	99	3000	0	0	[(27868,40),(26344,10),(26450,10),(25748,1)]	0	0	[(27868,40),(26344,10),(26450,10),(25748,1)]
1	100	3000	0	0	[(27868,40),(26344,10),(26450,10),(25748,1)]	0	0	[(27868,40),(26344,10),(26450,10),(25748,1)]
2	1	10000	1	SDJNH_TextDYM	[(27868,300),(26344,200),(26450,100),(25807,1),(27619,1)]	0	0	[(27868,300),(26344,200),(26450,100),(25807,1),(27619,1)]
2	2	10000	2	SDJNH_TextDRM	[(27868,250),(26344,150),(26450,75),(25798,1),(27618,1)]	0	0	[(27868,250),(26344,150),(26450,75),(25798,1),(27618,1)]
2	3	10000	3	SDJNH_TextDSM	[(27868,200),(26344,120),(26450,60),(25789,1),(27521,1)]	0	0	[(27868,200),(26344,120),(26450,60),(25789,1),(27521,1)]
2	4	10000	4	SDJNH_TextD4M	[(27868,150),(26344,100),(26450,50),(25780,1),(27520,1)]	0	0	[(27868,150),(26344,100),(26450,50),(25780,1),(27520,1)]
2	5	10000	5	SDJNH_TextD5M	[(27868,120),(26344,80),(26450,40),(25780,1),(27520,1)]	0	0	[(27868,120),(26344,80),(26450,40),(25780,1),(27520,1)]
2	6	8000	6	SDJNH_Text6	[(27868,100),(26344,60),(26450,30),(25771,1)]	0	0	[(27868,100),(26344,60),(26450,30),(25771,1)]
2	7	8000	0	0	[(27868,100),(26344,60),(26450,30),(25771,1)]	0	0	[(27868,100),(26344,60),(26450,30),(25771,1)]
2	8	8000	0	0	[(27868,100),(26344,60),(26450,30),(25771,1)]	0	0	[(27868,100),(26344,60),(26450,30),(25771,1)]
2	9	8000	0	0	[(27868,100),(26344,60),(26450,30),(25771,1)]	0	0	[(27868,100),(26344,60),(26450,30),(25771,1)]
2	10	8000	0	0	[(27868,100),(26344,60),(26450,30),(25771,1)]	0	0	[(27868,100),(26344,60),(26450,30),(25771,1)]
2	11	6000	7	SDJNH_Text11	[(27868,80),(26344,40),(26450,20),(25771,1)]	0	0	[(27868,80),(26344,40),(26450,20),(25771,1)]
2	12	6000	0	0	[(27868,80),(26344,40),(26450,20),(25771,1)]	0	0	[(27868,80),(26344,40),(26450,20),(25771,1)]
2	13	6000	0	0	[(27868,80),(26344,40),(26450,20),(25771,1)]	0	0	[(27868,80),(26344,40),(26450,20),(25771,1)]
2	14	6000	0	0	[(27868,80),(26344,40),(26450,20),(25771,1)]	0	0	[(27868,80),(26344,40),(26450,20),(25771,1)]
2	15	6000	0	0	[(27868,80),(26344,40),(26450,20),(25771,1)]	0	0	[(27868,80),(26344,40),(26450,20),(25771,1)]
2	16	6000	0	0	[(27868,80),(26344,40),(26450,20),(25771,1)]	0	0	[(27868,80),(26344,40),(26450,20),(25771,1)]
2	17	6000	0	0	[(27868,80),(26344,40),(26450,20),(25771,1)]	0	0	[(27868,80),(26344,40),(26450,20),(25771,1)]
2	18	6000	0	0	[(27868,80),(26344,40),(26450,20),(25771,1)]	0	0	[(27868,80),(26344,40),(26450,20),(25771,1)]
2	19	6000	0	0	[(27868,80),(26344,40),(26450,20),(25771,1)]	0	0	[(27868,80),(26344,40),(26450,20),(25771,1)]
2	20	6000	0	0	[(27868,80),(26344,40),(26450,20),(25771,1)]	0	0	[(27868,80),(26344,40),(26450,20),(25771,1)]
2	21	4000	8	SDJNH_Text21	[(27868,60),(26344,20),(26450,15),(25762,1)]	0	0	[(27868,60),(26344,20),(26450,15),(25762,1)]
2	22	4000	0	0	[(27868,60),(26344,20),(26450,15),(25762,1)]	0	0	[(27868,60),(26344,20),(26450,15),(25762,1)]
2	23	4000	0	0	[(27868,60),(26344,20),(26450,15),(25762,1)]	0	0	[(27868,60),(26344,20),(26450,15),(25762,1)]
2	24	4000	0	0	[(27868,60),(26344,20),(26450,15),(25762,1)]	0	0	[(27868,60),(26344,20),(26450,15),(25762,1)]
2	25	4000	0	0	[(27868,60),(26344,20),(26450,15),(25762,1)]	0	0	[(27868,60),(26344,20),(26450,15),(25762,1)]
2	26	4000	0	0	[(27868,60),(26344,20),(26450,15),(25762,1)]	0	0	[(27868,60),(26344,20),(26450,15),(25762,1)]
2	27	4000	0	0	[(27868,60),(26344,20),(26450,15),(25762,1)]	0	0	[(27868,60),(26344,20),(26450,15),(25762,1)]
2	28	4000	0	0	[(27868,60),(26344,20),(26450,15),(25762,1)]	0	0	[(27868,60),(26344,20),(26450,15),(25762,1)]
2	29	4000	0	0	[(27868,60),(26344,20),(26450,15),(25762,1)]	0	0	[(27868,60),(26344,20),(26450,15),(25762,1)]
2	30	4000	0	0	[(27868,60),(26344,20),(26450,15),(25762,1)]	0	0	[(27868,60),(26344,20),(26450,15),(25762,1)]
2	31	4000	0	0	[(27868,60),(26344,20),(26450,15),(25762,1)]	0	0	[(27868,60),(26344,20),(26450,15),(25762,1)]
2	32	4000	0	0	[(27868,60),(26344,20),(26450,15),(25762,1)]	0	0	[(27868,60),(26344,20),(26450,15),(25762,1)]
2	33	4000	0	0	[(27868,60),(26344,20),(26450,15),(25762,1)]	0	0	[(27868,60),(26344,20),(26450,15),(25762,1)]
2	34	4000	0	0	[(27868,60),(26344,20),(26450,15),(25762,1)]	0	0	[(27868,60),(26344,20),(26450,15),(25762,1)]
2	35	4000	0	0	[(27868,60),(26344,20),(26450,15),(25762,1)]	0	0	[(27868,60),(26344,20),(26450,15),(25762,1)]
2	36	4000	0	0	[(27868,60),(26344,20),(26450,15),(25762,1)]	0	0	[(27868,60),(26344,20),(26450,15),(25762,1)]
2	37	4000	0	0	[(27868,60),(26344,20),(26450,15),(25762,1)]	0	0	[(27868,60),(26344,20),(26450,15),(25762,1)]
2	38	4000	0	0	[(27868,60),(26344,20),(26450,15),(25762,1)]	0	0	[(27868,60),(26344,20),(26450,15),(25762,1)]
2	39	4000	0	0	[(27868,60),(26344,20),(26450,15),(25762,1)]	0	0	[(27868,60),(26344,20),(26450,15),(25762,1)]
2	40	4000	0	0	[(27868,60),(26344,20),(26450,15),(25762,1)]	0	0	[(27868,60),(26344,20),(26450,15),(25762,1)]
2	41	4000	0	0	[(27868,60),(26344,20),(26450,15),(25762,1)]	0	0	[(27868,60),(26344,20),(26450,15),(25762,1)]
2	42	4000	0	0	[(27868,60),(26344,20),(26450,15),(25762,1)]	0	0	[(27868,60),(26344,20),(26450,15),(25762,1)]
2	43	4000	0	0	[(27868,60),(26344,20),(26450,15),(25762,1)]	0	0	[(27868,60),(26344,20),(26450,15),(25762,1)]
2	44	4000	0	0	[(27868,60),(26344,20),(26450,15),(25762,1)]	0	0	[(27868,60),(26344,20),(26450,15),(25762,1)]
2	45	4000	0	0	[(27868,60),(26344,20),(26450,15),(25762,1)]	0	0	[(27868,60),(26344,20),(26450,15),(25762,1)]
2	46	4000	0	0	[(27868,60),(26344,20),(26450,15),(25762,1)]	0	0	[(27868,60),(26344,20),(26450,15),(25762,1)]
2	47	4000	0	0	[(27868,60),(26344,20),(26450,15),(25762,1)]	0	0	[(27868,60),(26344,20),(26450,15),(25762,1)]
2	48	4000	0	0	[(27868,60),(26344,20),(26450,15),(25762,1)]	0	0	[(27868,60),(26344,20),(26450,15),(25762,1)]
2	49	4000	0	0	[(27868,60),(26344,20),(26450,15),(25762,1)]	0	0	[(27868,60),(26344,20),(26450,15),(25762,1)]
2	50	4000	0	0	[(27868,60),(26344,20),(26450,15),(25762,1)]	0	0	[(27868,60),(26344,20),(26450,15),(25762,1)]
2	51	3000	9	SDJNH_Text51	[(27868,40),(26344,10),(26450,10),(25753,1)]	0	0	[(27868,40),(26344,10),(26450,10),(25753,1)]
2	52	3000	0	0	[(27868,40),(26344,10),(26450,10),(25753,1)]	0	0	[(27868,40),(26344,10),(26450,10),(25753,1)]
2	53	3000	0	0	[(27868,40),(26344,10),(26450,10),(25753,1)]	0	0	[(27868,40),(26344,10),(26450,10),(25753,1)]
2	54	3000	0	0	[(27868,40),(26344,10),(26450,10),(25753,1)]	0	0	[(27868,40),(26344,10),(26450,10),(25753,1)]
2	55	3000	0	0	[(27868,40),(26344,10),(26450,10),(25753,1)]	0	0	[(27868,40),(26344,10),(26450,10),(25753,1)]
2	56	3000	0	0	[(27868,40),(26344,10),(26450,10),(25753,1)]	0	0	[(27868,40),(26344,10),(26450,10),(25753,1)]
2	57	3000	0	0	[(27868,40),(26344,10),(26450,10),(25753,1)]	0	0	[(27868,40),(26344,10),(26450,10),(25753,1)]
2	58	3000	0	0	[(27868,40),(26344,10),(26450,10),(25753,1)]	0	0	[(27868,40),(26344,10),(26450,10),(25753,1)]
2	59	3000	0	0	[(27868,40),(26344,10),(26450,10),(25753,1)]	0	0	[(27868,40),(26344,10),(26450,10),(25753,1)]
2	60	3000	0	0	[(27868,40),(26344,10),(26450,10),(25753,1)]	0	0	[(27868,40),(26344,10),(26450,10),(25753,1)]
2	61	3000	0	0	[(27868,40),(26344,10),(26450,10),(25753,1)]	0	0	[(27868,40),(26344,10),(26450,10),(25753,1)]
2	62	3000	0	0	[(27868,40),(26344,10),(26450,10),(25753,1)]	0	0	[(27868,40),(26344,10),(26450,10),(25753,1)]
2	63	3000	0	0	[(27868,40),(26344,10),(26450,10),(25753,1)]	0	0	[(27868,40),(26344,10),(26450,10),(25753,1)]
2	64	3000	0	0	[(27868,40),(26344,10),(26450,10),(25753,1)]	0	0	[(27868,40),(26344,10),(26450,10),(25753,1)]
2	65	3000	0	0	[(27868,40),(26344,10),(26450,10),(25753,1)]	0	0	[(27868,40),(26344,10),(26450,10),(25753,1)]
2	66	3000	0	0	[(27868,40),(26344,10),(26450,10),(25753,1)]	0	0	[(27868,40),(26344,10),(26450,10),(25753,1)]
2	67	3000	0	0	[(27868,40),(26344,10),(26450,10),(25753,1)]	0	0	[(27868,40),(26344,10),(26450,10),(25753,1)]
2	68	3000	0	0	[(27868,40),(26344,10),(26450,10),(25753,1)]	0	0	[(27868,40),(26344,10),(26450,10),(25753,1)]
2	69	3000	0	0	[(27868,40),(26344,10),(26450,10),(25753,1)]	0	0	[(27868,40),(26344,10),(26450,10),(25753,1)]
2	70	3000	0	0	[(27868,40),(26344,10),(26450,10),(25753,1)]	0	0	[(27868,40),(26344,10),(26450,10),(25753,1)]
2	71	3000	0	0	[(27868,40),(26344,10),(26450,10),(25753,1)]	0	0	[(27868,40),(26344,10),(26450,10),(25753,1)]
2	72	3000	0	0	[(27868,40),(26344,10),(26450,10),(25753,1)]	0	0	[(27868,40),(26344,10),(26450,10),(25753,1)]
2	73	3000	0	0	[(27868,40),(26344,10),(26450,10),(25753,1)]	0	0	[(27868,40),(26344,10),(26450,10),(25753,1)]
2	74	3000	0	0	[(27868,40),(26344,10),(26450,10),(25753,1)]	0	0	[(27868,40),(26344,10),(26450,10),(25753,1)]
2	75	3000	0	0	[(27868,40),(26344,10),(26450,10),(25753,1)]	0	0	[(27868,40),(26344,10),(26450,10),(25753,1)]
2	76	3000	0	0	[(27868,40),(26344,10),(26450,10),(25753,1)]	0	0	[(27868,40),(26344,10),(26450,10),(25753,1)]
2	77	3000	0	0	[(27868,40),(26344,10),(26450,10),(25753,1)]	0	0	[(27868,40),(26344,10),(26450,10),(25753,1)]
2	78	3000	0	0	[(27868,40),(26344,10),(26450,10),(25753,1)]	0	0	[(27868,40),(26344,10),(26450,10),(25753,1)]
2	79	3000	0	0	[(27868,40),(26344,10),(26450,10),(25753,1)]	0	0	[(27868,40),(26344,10),(26450,10),(25753,1)]
2	80	3000	0	0	[(27868,40),(26344,10),(26450,10),(25753,1)]	0	0	[(27868,40),(26344,10),(26450,10),(25753,1)]
2	81	3000	0	0	[(27868,40),(26344,10),(26450,10),(25753,1)]	0	0	[(27868,40),(26344,10),(26450,10),(25753,1)]
2	82	3000	0	0	[(27868,40),(26344,10),(26450,10),(25753,1)]	0	0	[(27868,40),(26344,10),(26450,10),(25753,1)]
2	83	3000	0	0	[(27868,40),(26344,10),(26450,10),(25753,1)]	0	0	[(27868,40),(26344,10),(26450,10),(25753,1)]
2	84	3000	0	0	[(27868,40),(26344,10),(26450,10),(25753,1)]	0	0	[(27868,40),(26344,10),(26450,10),(25753,1)]
2	85	3000	0	0	[(27868,40),(26344,10),(26450,10),(25753,1)]	0	0	[(27868,40),(26344,10),(26450,10),(25753,1)]
2	86	3000	0	0	[(27868,40),(26344,10),(26450,10),(25753,1)]	0	0	[(27868,40),(26344,10),(26450,10),(25753,1)]
2	87	3000	0	0	[(27868,40),(26344,10),(26450,10),(25753,1)]	0	0	[(27868,40),(26344,10),(26450,10),(25753,1)]
2	88	3000	0	0	[(27868,40),(26344,10),(26450,10),(25753,1)]	0	0	[(27868,40),(26344,10),(26450,10),(25753,1)]
2	89	3000	0	0	[(27868,40),(26344,10),(26450,10),(25753,1)]	0	0	[(27868,40),(26344,10),(26450,10),(25753,1)]
2	90	3000	0	0	[(27868,40),(26344,10),(26450,10),(25753,1)]	0	0	[(27868,40),(26344,10),(26450,10),(25753,1)]
2	91	3000	0	0	[(27868,40),(26344,10),(26450,10),(25753,1)]	0	0	[(27868,40),(26344,10),(26450,10),(25753,1)]
2	92	3000	0	0	[(27868,40),(26344,10),(26450,10),(25753,1)]	0	0	[(27868,40),(26344,10),(26450,10),(25753,1)]
2	93	3000	0	0	[(27868,40),(26344,10),(26450,10),(25753,1)]	0	0	[(27868,40),(26344,10),(26450,10),(25753,1)]
2	94	3000	0	0	[(27868,40),(26344,10),(26450,10),(25753,1)]	0	0	[(27868,40),(26344,10),(26450,10),(25753,1)]
2	95	3000	0	0	[(27868,40),(26344,10),(26450,10),(25753,1)]	0	0	[(27868,40),(26344,10),(26450,10),(25753,1)]
2	96	3000	0	0	[(27868,40),(26344,10),(26450,10),(25753,1)]	0	0	[(27868,40),(26344,10),(26450,10),(25753,1)]
