index	BigType	SmallType	DayClear	desc	value	Description	pic	title	Content
10	3	1	0	Gök Okçuyu Görevlendir	3	#Ejder Yolu#Sadık yoldaşlar, büyülü silahlar, havalı binekler seni bekliyor!	http://app100718848.imgcache.qzoneapp.com/app100718848/image/fenxiang/lqs2.gif	Yeni kahramanım var!	#Ejder Yolu# İyilik ve kötülüğün ezeli savaşı. Silahını kap, ejderle savaş!
11	3	2	0	Şampiyon Şövalyeyi Görevlendir	4	#Ejder Yolu#En fantastik dünyada en fantastik oyunculara katılmak ister misin?	http://app100718848.imgcache.qzoneapp.com/app100718848/image/fenxiang/lqs2.gif	Yeni kahramanım var!	#Ejder Yolu# İyilik ve kötülüğün ezeli savaşı. Silahını kap, ejderle savaş!
12	3	3	0	Kutsal Şamanı Görevlendir	5	#Ejder Yolu#Sadık yoldaşlar, büyülü silahlar, havalı binekler seni bekliyor!	http://app100718848.imgcache.qzoneapp.com/app100718848/image/fenxiang/lqs2.gif	Yeni kahramanım var!	#Ejder Yolu# İyilik ve kötülüğün ezeli savaşı. Silahını kap, ejderle savaş!
13	3	4	0	Ölüm Meleğini Görevlendir	6	#Ejder Yolu#En fantastik dünyada en fantastik oyunculara katılmak ister misin?	http://app100718848.imgcache.qzoneapp.com/app100718848/image/fenxiang/lqs2.gif	Yeni kahramanım var!	#Ejder Yolu# İyilik ve kötülüğün ezeli savaşı. Silahını kap, ejderle savaş!
14	3	5	0	Thor'u Görevlendir	7	#Ejder Yolu#Sadık yoldaşlar, büyülü silahlar, havalı binekler seni bekliyor!	http://app100718848.imgcache.qzoneapp.com/app100718848/image/fenxiang/lqs2.gif	Yeni kahramanım var!	#Ejder Yolu# İyilik ve kötülüğün ezeli savaşı. Silahını kap, ejderle savaş!
15	3	6	0	Kızıl Cadı'yı Görevlendir	8	#Ejder Yolu#En fantastik dünyada en fantastik oyunculara katılmak ister misin?	http://app100718848.imgcache.qzoneapp.com/app100718848/image/fenxiang/lqs2.gif	Yeni kahramanım var!	#Ejder Yolu# İyilik ve kötülüğün ezeli savaşı. Silahını kap, ejderle savaş!
16	3	7	0	Kan Kılıççıyı Görevlendir	9	#Ejder Yolu#Sadık yoldaşlar, büyülü silahlar, havalı binekler seni bekliyor!	http://app100718848.imgcache.qzoneapp.com/app100718848/image/fenxiang/lqs2.gif	Yeni kahramanım var!	#Ejder Yolu# İyilik ve kötülüğün ezeli savaşı. Silahını kap, ejderle savaş!
17	3	8	0	Savaş Lordunu Görevlendir	10	#Ejder Yolu#En fantastik dünyada en fantastik oyunculara katılmak ister misin?	http://app100718848.imgcache.qzoneapp.com/app100718848/image/fenxiang/lqs2.gif	Yeni kahramanım var!	#Ejder Yolu# İyilik ve kötülüğün ezeli savaşı. Silahını kap, ejderle savaş!
18	3	9	0	Sihirli Ölüm Perisini Görevlendir	11	#Ejder Yolu#Sadık yoldaşlar, büyülü silahlar, havalı binekler seni bekliyor!	http://app100718848.imgcache.qzoneapp.com/app100718848/image/fenxiang/lqs2.gif	Yeni kahramanım var!	#Ejder Yolu# İyilik ve kötülüğün ezeli savaşı. Silahını kap, ejderle savaş!
19	3	10	0	Tanrılar Tanrısını Görevlendir	12	#Ejder Yolu#En fantastik dünyada en fantastik oyunculara katılmak ister misin?	http://app100718848.imgcache.qzoneapp.com/app100718848/image/fenxiang/lqs2.gif	Yeni kahramanım var!	#Ejder Yolu# İyilik ve kötülüğün ezeli savaşı. Silahını kap, ejderle savaş!
20	3	11	0	Ok Büyücüsünü Görevlendir	13	#Ejder Yolu#Sadık yoldaşlar, büyülü silahlar, havalı binekler seni bekliyor!	http://app100718848.imgcache.qzoneapp.com/app100718848/image/fenxiang/lqs2.gif	Yeni kahramanım var!	#Ejder Yolu# İyilik ve kötülüğün ezeli savaşı. Silahını kap, ejderle savaş!
21	3	12	0	Apolloyu Görevlendir	17	#Ejder Yolu#En fantastik dünyada en fantastik oyunculara katılmak ister misin?	http://app100718848.imgcache.qzoneapp.com/app100718848/image/fenxiang/lqs2.gif	Yeni kahramanım var!	#Ejder Yolu# İyilik ve kötülüğün ezeli savaşı. Silahını kap, ejderle savaş!
22	4	1	0	VIP1 Ol	1	#Ejder Yolu#Ejder ve kılıç, şeytan ve tanrı. Savaşmak senin kaderin!	http://app100718848.imgcache.qzoneapp.com/app100718848/image/fenxiang/lqs3.gif	VIP1 oldum!	#Ejder yolu#VIP1 oldum. Sen de bana katıl!
23	4	2	0	VIP2 Ol	2	#Ejder Yolu#Ejder ve kılıç, şeytan ve tanrı. Savaşmak senin kaderin!	http://app100718848.imgcache.qzoneapp.com/app100718848/image/fenxiang/lqs3.gif	VIP2 oldum!	#Ejder yolu#VIP2 oldum. Sen de bana katıl!
24	4	3	0	VIP3 Ol	3	#Ejder Yolu#Ejder ve kılıç, şeytan ve tanrı. Savaşmak senin kaderin!	http://app100718848.imgcache.qzoneapp.com/app100718848/image/fenxiang/lqs3.gif	VIP3 oldum!	#Ejder yolu#VIP3 oldum. Sen de bana katıl!
25	4	4	0	VIP4 Ol	4	#Ejder Yolu#Ejder ve kılıç, şeytan ve tanrı. Savaşmak senin kaderin!	http://app100718848.imgcache.qzoneapp.com/app100718848/image/fenxiang/lqs3.gif	VIP4 oldum!	#Ejder yolu#VIP4 oldum. Sen de bana katıl!
26	4	5	0	VIP5 Ol	5	#Ejder Yolu#Ejder ve kılıç, şeytan ve tanrı. Savaşmak senin kaderin!	http://app100718848.imgcache.qzoneapp.com/app100718848/image/fenxiang/lqs3.gif	VIP5 oldum!	#Ejder yolu#VIP5 oldum. Sen de bana katıl!
27	4	6	0	VIP6 Ol	6	#Ejder Yolu#Ejder ve kılıç, şeytan ve tanrı. Savaşmak senin kaderin!	http://app100718848.imgcache.qzoneapp.com/app100718848/image/fenxiang/lqs3.gif	VIP6 oldum!	#Ejder yolu#VIP6 oldum. Sen de bana katıl!
28	4	7	0	VIP7 Ol	7	#Ejder Yolu#Ejder ve kılıç, şeytan ve tanrı. Savaşmak senin kaderin!	http://app100718848.imgcache.qzoneapp.com/app100718848/image/fenxiang/lqs3.gif	VIP7 oldum!	#Ejder yolu#VIP7 oldum. Sen de bana katıl!
29	4	8	0	VIP8 Ol	8	#Ejder Yolu#Ejder ve kılıç, şeytan ve tanrı. Savaşmak senin kaderin!	http://app100718848.imgcache.qzoneapp.com/app100718848/image/fenxiang/lqs3.gif	VIP8 oldum!	#Ejder yolu#VIP8 oldum. Sen de bana katıl!
30	4	9	0	VIP9 Ol	9	#Ejder Yolu#Ejder ve kılıç, şeytan ve tanrı. Savaşmak senin kaderin!	http://app100718848.imgcache.qzoneapp.com/app100718848/image/fenxiang/lqs3.gif	VIP9 oldum!	#Ejder yolu#VIP9 oldum. Sen de bana katıl!
31	4	10	0	VIP10 Ol	10	#Ejder Yolu#Ejder ve kılıç, şeytan ve tanrı. Savaşmak senin kaderin!	http://app100718848.imgcache.qzoneapp.com/app100718848/image/fenxiang/lqs3.gif	VIP10 oldum!	#Ejder yolu#VIP10 oldum. Sen de bana katıl!
32	5	1	0	Bir kez arkadaş davet et.	1		19		
33	5	2	0	İki kez arkadaş davet et.	2		20		
34	5	3	0		1		21		
35	5	4	0		2		22		
36	5	5	0		5		23		
37	5	6	0		10		24		
38	5	7	0		15		25		
39	5	8	0		20		26		
40	6	1	0	Ödülü Paylaş	0	#Ejder Yolu#Ejder ve kılıç, şeytan ve tanrı. Savaşmak senin kaderin!	http://app100718848.imgcache.qzoneapp.com/app100718848/image/fenxiang/lqs3.gif	Ödülü Paylaş	#Ejder Yolu# İyilik ve kötülüğün ezeli savaşı. Silahını kap, ejderle savaş!
