index	BigType	SmallType	DayClear	desc	value	Description	pic	title	Content
22	2	3	0	人物等级达到50级	50	#龙骑士传#龙与剑的守望，神与魔的斗争，前世呼风唤雨，今生该何去何从？	http://app100718848.imgcache.qzoneapp.com/app100718848/image/fenxiang/lqs1.gif	我又升级了	#龙骑士传#我的主角等级升到50级了，快来当龙骑士，降魔屠龙吧。
23	2	4	0	人物等级达到60级	60	#龙骑士传#龙与剑的守望，神与魔的斗争，前世呼风唤雨，今生该何去何从？	http://app100718848.imgcache.qzoneapp.com/app100718848/image/fenxiang/lqs1.gif	我又升级了	#龙骑士传#我的主角等级升到60级了，快来当龙骑士，降魔屠龙吧。
24	2	5	0	人物等级达到70级	70	#龙骑士传#龙与剑的守望，神与魔的斗争，前世呼风唤雨，今生该何去何从？	http://app100718848.imgcache.qzoneapp.com/app100718848/image/fenxiang/lqs1.gif	我又升级了	#龙骑士传#我的主角等级升到70级了，快来当龙骑士，降魔屠龙吧。
25	2	6	0	人物等级达到80级	80	#龙骑士传#龙与剑的守望，神与魔的斗争，前世呼风唤雨，今生该何去何从？	http://app100718848.imgcache.qzoneapp.com/app100718848/image/fenxiang/lqs1.gif	我又升级了	#龙骑士传#我的主角等级升到80级了，快来当龙骑士，降魔屠龙吧。
26	2	7	0	人物等级达到90级	90	#龙骑士传#龙与剑的守望，神与魔的斗争，前世呼风唤雨，今生该何去何从？	http://app100718848.imgcache.qzoneapp.com/app100718848/image/fenxiang/lqs1.gif	我又升级了	#龙骑士传#我的主角等级升到90级了，快来当龙骑士，降魔屠龙吧。
27	2	8	0	人物等级达到100级	100	#龙骑士传#龙与剑的守望，神与魔的斗争，前世呼风唤雨，今生该何去何从？	http://app100718848.imgcache.qzoneapp.com/app100718848/image/fenxiang/lqs1.gif	我又升级了	#龙骑士传#我的主角等级升到100级了，快来当龙骑士，降魔屠龙吧。
28	3	1	0	获得英雄天空射手	3	#龙骑士传#龙与剑的守望，神与魔的斗争，前世呼风唤雨，今生该何去何从？	http://app100718848.imgcache.qzoneapp.com/app100718848/image/fenxiang/lqs2.gif	我获得了新英雄	#龙骑士传#我又获得了强力英雄，谁还能与我争锋！
29	3	2	0	获得英雄冠军骑士	4	#龙骑士传#龙与剑的守望，神与魔的斗争，前世呼风唤雨，今生该何去何从？	http://app100718848.imgcache.qzoneapp.com/app100718848/image/fenxiang/lqs2.gif	我获得了新英雄	#龙骑士传#我又获得了强力英雄，谁还能与我争锋！
30	3	3	0	获得英雄女祭司	5	#龙骑士传#龙与剑的守望，神与魔的斗争，前世呼风唤雨，今生该何去何从？	http://app100718848.imgcache.qzoneapp.com/app100718848/image/fenxiang/lqs2.gif	我获得了新英雄	#龙骑士传#我又获得了强力英雄，谁还能与我争锋！
31	3	4	0	获得英雄死神	6	#龙骑士传#龙与剑的守望，神与魔的斗争，前世呼风唤雨，今生该何去何从？	http://app100718848.imgcache.qzoneapp.com/app100718848/image/fenxiang/lqs2.gif	我获得了新英雄	#龙骑士传#我又获得了强力英雄，谁还能与我争锋！
32	3	5	0	获得英雄雷神	7	#龙骑士传#龙与剑的守望，神与魔的斗争，前世呼风唤雨，今生该何去何从？	http://app100718848.imgcache.qzoneapp.com/app100718848/image/fenxiang/lqs2.gif	我获得了新英雄	#龙骑士传#我又获得了强力英雄，谁还能与我争锋！
33	3	6	0	获得英雄红袍女巫	8	#龙骑士传#龙与剑的守望，神与魔的斗争，前世呼风唤雨，今生该何去何从？	http://app100718848.imgcache.qzoneapp.com/app100718848/image/fenxiang/lqs2.gif	我获得了新英雄	#龙骑士传#我又获得了强力英雄，谁还能与我争锋！
34	3	7	0	获得英雄血族剑姬	9	#龙骑士传#龙与剑的守望，神与魔的斗争，前世呼风唤雨，今生该何去何从？	http://app100718848.imgcache.qzoneapp.com/app100718848/image/fenxiang/lqs2.gif	我获得了新英雄	#龙骑士传#我又获得了强力英雄，谁还能与我争锋！
35	3	8	0	获得英雄战争之王	10	#龙骑士传#龙与剑的守望，神与魔的斗争，前世呼风唤雨，今生该何去何从？	http://app100718848.imgcache.qzoneapp.com/app100718848/image/fenxiang/lqs2.gif	我获得了新英雄	#龙骑士传#我又获得了强力英雄，谁还能与我争锋！
36	3	9	0	获得英雄幻术妖姬	11	#龙骑士传#龙与剑的守望，神与魔的斗争，前世呼风唤雨，今生该何去何从？	http://app100718848.imgcache.qzoneapp.com/app100718848/image/fenxiang/lqs2.gif	我获得了新英雄	#龙骑士传#我又获得了强力英雄，谁还能与我争锋！
37	3	10	0	获得英雄众神之王	12	#龙骑士传#龙与剑的守望，神与魔的斗争，前世呼风唤雨，今生该何去何从？	http://app100718848.imgcache.qzoneapp.com/app100718848/image/fenxiang/lqs2.gif	我获得了新英雄	#龙骑士传#我又获得了强力英雄，谁还能与我争锋！
38	3	11	0	获得英雄大法师	13	#龙骑士传#龙与剑的守望，神与魔的斗争，前世呼风唤雨，今生该何去何从？	http://app100718848.imgcache.qzoneapp.com/app100718848/image/fenxiang/lqs2.gif	我获得了新英雄	#龙骑士传#我又获得了强力英雄，谁还能与我争锋！
39	3	12	0	获得英雄太阳神	17	#龙骑士传#龙与剑的守望，神与魔的斗争，前世呼风唤雨，今生该何去何从？	http://app100718848.imgcache.qzoneapp.com/app100718848/image/fenxiang/lqs2.gif	我获得了新英雄	#龙骑士传#我又获得了强力英雄，谁还能与我争锋！
40	4	1	0	成为贵族1	1	#龙骑士传#龙与剑的守望，神与魔的斗争，前世呼风唤雨，今生该何去何从？	http://app100718848.imgcache.qzoneapp.com/app100718848/image/fenxiang/lqs3.gif	我成为贵族1了	#龙骑士传#成为《龙骑士传》里面的贵族1了，我是土豪，快跟我做朋友吧。
41	4	2	0	成为贵族2	2	#龙骑士传#龙与剑的守望，神与魔的斗争，前世呼风唤雨，今生该何去何从？	http://app100718848.imgcache.qzoneapp.com/app100718848/image/fenxiang/lqs3.gif	我成为贵族2了	#龙骑士传#成为《龙骑士传》里面的贵族2了，我是土豪，快跟我做朋友吧。
42	4	3	0	成为贵族3	3	#龙骑士传#龙与剑的守望，神与魔的斗争，前世呼风唤雨，今生该何去何从？	http://app100718848.imgcache.qzoneapp.com/app100718848/image/fenxiang/lqs3.gif	我成为贵族3了	#龙骑士传#成为《龙骑士传》里面的贵族3了，我是土豪，快跟我做朋友吧。
43	4	4	0	成为贵族4	4	#龙骑士传#龙与剑的守望，神与魔的斗争，前世呼风唤雨，今生该何去何从？	http://app100718848.imgcache.qzoneapp.com/app100718848/image/fenxiang/lqs3.gif	我成为贵族4了	#龙骑士传#成为《龙骑士传》里面的贵族4了，我是土豪，快跟我做朋友吧。
44	4	5	0	成为贵族5	5	#龙骑士传#龙与剑的守望，神与魔的斗争，前世呼风唤雨，今生该何去何从？	http://app100718848.imgcache.qzoneapp.com/app100718848/image/fenxiang/lqs3.gif	我成为贵族5了	#龙骑士传#成为《龙骑士传》里面的贵族5了，我是土豪，快跟我做朋友吧。
45	4	6	0	成为贵族6	6	#龙骑士传#龙与剑的守望，神与魔的斗争，前世呼风唤雨，今生该何去何从？	http://app100718848.imgcache.qzoneapp.com/app100718848/image/fenxiang/lqs3.gif	我成为贵族6了	#龙骑士传#成为《龙骑士传》里面的贵族6了，我是土豪，快跟我做朋友吧。
46	4	7	0	成为贵族7	7	#龙骑士传#龙与剑的守望，神与魔的斗争，前世呼风唤雨，今生该何去何从？	http://app100718848.imgcache.qzoneapp.com/app100718848/image/fenxiang/lqs3.gif	我成为贵族6了	#龙骑士传#成为《龙骑士传》里面的贵族7了，我是土豪，快跟我做朋友吧。
47	4	8	0	成为贵族8	8	#龙骑士传#龙与剑的守望，神与魔的斗争，前世呼风唤雨，今生该何去何从？	http://app100718848.imgcache.qzoneapp.com/app100718848/image/fenxiang/lqs3.gif	我成为贵族6了	#龙骑士传#成为《龙骑士传》里面的贵族8了，我是土豪，快跟我做朋友吧。
48	4	9	0	成为贵族9	9	#龙骑士传#龙与剑的守望，神与魔的斗争，前世呼风唤雨，今生该何去何从？	http://app100718848.imgcache.qzoneapp.com/app100718848/image/fenxiang/lqs3.gif	我成为贵族6了	#龙骑士传#成为《龙骑士传》里面的贵族9了，我是土豪，快跟我做朋友吧。
49	4	10	0	成为贵族10	10	#龙骑士传#龙与剑的守望，神与魔的斗争，前世呼风唤雨，今生该何去何从？	http://app100718848.imgcache.qzoneapp.com/app100718848/image/fenxiang/lqs3.gif	我成为贵族6了	#龙骑士传#成为《龙骑士传》里面的贵族10了，我是土豪，快跟我做朋友吧。
50	1	1	1	今日分享	0	#龙骑士传#龙与剑的守望，神与魔的斗争，前世呼风唤雨，今生该何去何从？	http://app100718848.imgcache.qzoneapp.com/app100718848/image/fenxiang/lqs3.gif	我在玩《龙骑士传》	#龙骑士传#神魔之战，人神魔的斗争，带你进入《龙骑士传》，体验不一样的屠龙之路。
51	5	1	0	每日发送1次好友邀请	1	19	19	19	19
52	5	1	0	每日发送1次好友邀请	1	19	19	19	19
53	5	4	0	累计2位被邀请的好友达到两级	2	22	22	22	22
54	5	5	0	累计5位被邀请的好友达到两级	5	23	23	23	23
55	5	6	0	累计10位被邀请的好友达到两级	10	24	24	24	24
56	5	7	0	累计15位被邀请的好友达到两级	15	25	25	25	25
57	5	8	0	累计20位被邀请的好友达到两级	20	26	26	26	26
