rewardId	bindRMB	money	HZrewards	HZYearsRMB	HZYearsRewards	HZrewardsClient	HZYearsRewardsClient	LZrewards	LZYearsRewards	LZHHReward	LZrewardsClient
20	4	0	[(25662,1),(25600,1),(25683,1)]	5	[(25600,1)]	[(25829,4),(25662,1),(25600,1),(25683,1)]	[(25600,1)]	[(25667,1),(25600,1),(25683,1)]	[(25600,1),(25683,1)]	[(25600,1)]	[(25829,4),(25667,1),(25600,1),(25683,1)]
21	5	0	[(25662,1),(25600,1),(25683,1)]	5	[(25600,1)]	[(25829,5),(25662,1),(25600,1),(25683,1)]	[(25600,1)]	[(25667,1),(25600,1),(25683,1)]	[(25600,1),(25683,1)]	[(25600,1)]	[(25829,5),(25667,1),(25600,1),(25683,1)]
22	6	0	[(25662,1),(25600,1),(25683,1)]	5	[(25600,1)]	[(25829,6),(25662,1),(25600,1),(25683,1)]	[(25600,1)]	[(25667,1),(25600,1),(25683,1)]	[(25600,1),(25683,1)]	[(25600,1)]	[(25829,6),(25667,1),(25600,1),(25683,1)]
23	7	0	[(25662,1),(25600,1),(25683,1)]	5	[(25600,1)]	[(25829,7),(25662,1),(25600,1),(25683,1)]	[(25600,1)]	[(25667,1),(25600,1),(25683,1)]	[(25600,1),(25683,1)]	[(25600,1)]	[(25829,7),(25667,1),(25600,1),(25683,1)]
24	8	0	[(25662,1),(25600,1),(25683,1)]	5	[(25600,1)]	[(25829,8),(25662,1),(25600,1),(25683,1)]	[(25600,1)]	[(25667,1),(25600,1),(25683,1)]	[(25600,1),(25683,1)]	[(25600,1)]	[(25829,8),(25667,1),(25600,1),(25683,1)]
25	1	0	[(25663,1),(25600,1),(25684,1)]	5	[(25600,1)]	[(25829,1),(25663,1),(25600,1),(25684,1)]	[(25600,1)]	[(25668,1),(25600,1),(25684,1)]	[(25600,1),(25684,1)]	[(25600,1)]	[(25829,1),(25668,1),(25600,1),(25684,1)]
26	2	0	[(25663,1),(25600,1),(25684,1)]	5	[(25600,1)]	[(25829,2),(25663,1),(25600,1),(25684,1)]	[(25600,1)]	[(25668,1),(25600,1),(25684,1)]	[(25600,1),(25684,1)]	[(25600,1)]	[(25829,2),(25668,1),(25600,1),(25684,1)]
27	3	0	[(25663,1),(25600,1),(25684,1)]	5	[(25600,1)]	[(25829,3),(25663,1),(25600,1),(25684,1)]	[(25600,1)]	[(25668,1),(25600,1),(25684,1)]	[(25600,1),(25684,1)]	[(25600,1)]	[(25829,3),(25668,1),(25600,1),(25684,1)]
28	4	0	[(25663,1),(25600,1),(25684,1)]	5	[(25600,1)]	[(25829,4),(25663,1),(25600,1),(25684,1)]	[(25600,1)]	[(25668,1),(25600,1),(25684,1)]	[(25600,1),(25684,1)]	[(25600,1)]	[(25829,4),(25668,1),(25600,1),(25684,1)]
29	5	0	[(25663,1),(25600,1),(25684,1)]	5	[(25600,1)]	[(25829,5),(25663,1),(25600,1),(25684,1)]	[(25600,1)]	[(25668,1),(25600,1),(25684,1)]	[(25600,1),(25684,1)]	[(25600,1)]	[(25829,5),(25668,1),(25600,1),(25684,1)]
30	6	0	[(25663,1),(25600,1),(25684,1)]	5	[(25600,1)]	[(25829,6),(25663,1),(25600,1),(25684,1)]	[(25600,1)]	[(25668,1),(25600,1),(25684,1)]	[(25600,1),(25684,1)]	[(25600,1)]	[(25829,6),(25668,1),(25600,1),(25684,1)]
31	7	0	[(25663,1),(25600,1),(25684,1)]	5	[(25600,1)]	[(25829,7),(25663,1),(25600,1),(25684,1)]	[(25600,1)]	[(25668,1),(25600,1),(25684,1)]	[(25600,1),(25684,1)]	[(25600,1)]	[(25829,7),(25668,1),(25600,1),(25684,1)]
32	8	0	[(25663,1),(25600,1),(25684,1)]	5	[(25600,1)]	[(25829,8),(25663,1),(25600,1),(25684,1)]	[(25600,1)]	[(25668,1),(25600,1),(25684,1)]	[(25600,1),(25684,1)]	[(25600,1)]	[(25829,8),(25668,1),(25600,1),(25684,1)]
33	1	0	[(25664,1),(25600,1),(25685,1)]	5	[(25600,1)]	[(25829,1),(25664,1),(25600,1),(25685,1)]	[(25600,1)]	[(25669,1),(25600,1),(25685,1)]	[(25600,1),(25685,1)]	[(25600,1)]	[(25829,1),(25669,1),(25600,1),(25685,1)]
34	2	0	[(25664,1),(25600,1),(25685,1)]	5	[(25600,1)]	[(25829,2),(25664,1),(25600,1),(25685,1)]	[(25600,1)]	[(25669,1),(25600,1),(25685,1)]	[(25600,1),(25685,1)]	[(25600,1)]	[(25829,2),(25669,1),(25600,1),(25685,1)]
35	3	0	[(25664,1),(25600,1),(25685,1)]	5	[(25600,1)]	[(25829,3),(25664,1),(25600,1),(25685,1)]	[(25600,1)]	[(25669,1),(25600,1),(25685,1)]	[(25600,1),(25685,1)]	[(25600,1)]	[(25829,3),(25669,1),(25600,1),(25685,1)]
36	4	0	[(25664,1),(25600,1),(25685,1)]	5	[(25600,1)]	[(25829,4),(25664,1),(25600,1),(25685,1)]	[(25600,1)]	[(25669,1),(25600,1),(25685,1)]	[(25600,1),(25685,1)]	[(25600,1)]	[(25829,4),(25669,1),(25600,1),(25685,1)]
37	5	0	[(25664,1),(25600,1),(25685,1)]	5	[(25600,1)]	[(25829,5),(25664,1),(25600,1),(25685,1)]	[(25600,1)]	[(25669,1),(25600,1),(25685,1)]	[(25600,1),(25685,1)]	[(25600,1)]	[(25829,5),(25669,1),(25600,1),(25685,1)]
38	6	0	[(25664,1),(25600,1),(25685,1)]	5	[(25600,1)]	[(25829,6),(25664,1),(25600,1),(25685,1)]	[(25600,1)]	[(25669,1),(25600,1),(25685,1)]	[(25600,1),(25685,1)]	[(25600,1)]	[(25829,6),(25669,1),(25600,1),(25685,1)]
39	7	0	[(25664,1),(25600,1),(25685,1)]	5	[(25600,1)]	[(25829,7),(25664,1),(25600,1),(25685,1)]	[(25600,1)]	[(25669,1),(25600,1),(25685,1)]	[(25600,1),(25685,1)]	[(25600,1)]	[(25829,7),(25669,1),(25600,1),(25685,1)]
40	8	0	[(25664,1),(25600,1),(25685,1)]	5	[(25600,1)]	[(25829,8),(25664,1),(25600,1),(25685,1)]	[(25600,1)]	[(25669,1),(25600,1),(25685,1)]	[(25600,1),(25685,1)]	[(25600,1)]	[(25829,8),(25669,1),(25600,1),(25685,1)]
41	1	0	[(25665,1),(25600,1),(25686,1)]	5	[(25600,1)]	[(25829,1),(25665,1),(25600,1),(25686,1)]	[(25600,1)]	[(25670,1),(25600,1),(25686,1)]	[(25600,1),(25686,1)]	[(25600,1)]	[(25829,1),(25670,1),(25600,1),(25686,1)]
42	2	0	[(25665,1),(25600,1),(25686,1)]	5	[(25600,1)]	[(25829,2),(25665,1),(25600,1),(25686,1)]	[(25600,1)]	[(25670,1),(25600,1),(25686,1)]	[(25600,1),(25686,1)]	[(25600,1)]	[(25829,2),(25670,1),(25600,1),(25686,1)]
43	3	0	[(25665,1),(25600,1),(25686,1)]	5	[(25600,1)]	[(25829,3),(25665,1),(25600,1),(25686,1)]	[(25600,1)]	[(25670,1),(25600,1),(25686,1)]	[(25600,1),(25686,1)]	[(25600,1)]	[(25829,3),(25670,1),(25600,1),(25686,1)]
44	4	0	[(25665,1),(25600,1),(25686,1)]	5	[(25600,1)]	[(25829,4),(25665,1),(25600,1),(25686,1)]	[(25600,1)]	[(25670,1),(25600,1),(25686,1)]	[(25600,1),(25686,1)]	[(25600,1)]	[(25829,4),(25670,1),(25600,1),(25686,1)]
45	5	0	[(25665,1),(25600,1),(25686,1)]	5	[(25600,1)]	[(25829,5),(25665,1),(25600,1),(25686,1)]	[(25600,1)]	[(25670,1),(25600,1),(25686,1)]	[(25600,1),(25686,1)]	[(25600,1)]	[(25829,5),(25670,1),(25600,1),(25686,1)]
46	6	0	[(25665,1),(25600,1),(25686,1)]	5	[(25600,1)]	[(25829,6),(25665,1),(25600,1),(25686,1)]	[(25600,1)]	[(25670,1),(25600,1),(25686,1)]	[(25600,1),(25686,1)]	[(25600,1)]	[(25829,6),(25670,1),(25600,1),(25686,1)]
47	7	0	[(25665,1),(25600,1),(25686,1)]	5	[(25600,1)]	[(25829,7),(25665,1),(25600,1),(25686,1)]	[(25600,1)]	[(25670,1),(25600,1),(25686,1)]	[(25600,1),(25686,1)]	[(25600,1)]	[(25829,7),(25670,1),(25600,1),(25686,1)]
48	8	0	[(25665,1),(25600,1),(25686,1)]	5	[(25600,1)]	[(25829,8),(25665,1),(25600,1),(25686,1)]	[(25600,1)]	[(25670,1),(25600,1),(25686,1)]	[(25600,1),(25686,1)]	[(25600,1)]	[(25829,8),(25670,1),(25600,1),(25686,1)]
49	1	0	[(27048,1),(25600,1),(26607,1)]	5	[(25600,1)]	[(25829,1),(27048,1),(25600,1),(26607,1)]	[(25600,1)]	[(27049,1),(25600,1),(26607,1)]	[(25600,1),(26607,1)]	[(25600,1)]	[(25829,1),(27049,1),(25600,1),(26607,1)]
50	2	0	[(27048,1),(25600,1),(26607,1)]	5	[(25600,1)]	[(25829,2),(27048,1),(25600,1),(26607,1)]	[(25600,1)]	[(27049,1),(25600,1),(26607,1)]	[(25600,1),(26607,1)]	[(25600,1)]	[(25829,2),(27049,1),(25600,1),(26607,1)]
51	3	0	[(27048,1),(25600,1),(26607,1)]	5	[(25600,1)]	[(25829,3),(27048,1),(25600,1),(26607,1)]	[(25600,1)]	[(27049,1),(25600,1),(26607,1)]	[(25600,1),(26607,1)]	[(25600,1)]	[(25829,3),(27049,1),(25600,1),(26607,1)]
52	4	0	[(27048,1),(25600,1),(26607,1)]	5	[(25600,1)]	[(25829,4),(27048,1),(25600,1),(26607,1)]	[(25600,1)]	[(27049,1),(25600,1),(26607,1)]	[(25600,1),(26607,1)]	[(25600,1)]	[(25829,4),(27049,1),(25600,1),(26607,1)]
53	5	0	[(27048,1),(25600,1),(26607,1)]	5	[(25600,1)]	[(25829,5),(27048,1),(25600,1),(26607,1)]	[(25600,1)]	[(27049,1),(25600,1),(26607,1)]	[(25600,1),(26607,1)]	[(25600,1)]	[(25829,5),(27049,1),(25600,1),(26607,1)]
54	6	0	[(27048,1),(25600,1),(26607,1)]	5	[(25600,1)]	[(25829,6),(27048,1),(25600,1),(26607,1)]	[(25600,1)]	[(27049,1),(25600,1),(26607,1)]	[(25600,1),(26607,1)]	[(25600,1)]	[(25829,6),(27049,1),(25600,1),(26607,1)]
55	7	0	[(27048,1),(25600,1),(26607,1)]	5	[(25600,1)]	[(25829,7),(27048,1),(25600,1),(26607,1)]	[(25600,1)]	[(27049,1),(25600,1),(26607,1)]	[(25600,1),(26607,1)]	[(25600,1)]	[(25829,7),(27049,1),(25600,1),(26607,1)]
56	8	0	[(27048,1),(25600,1),(26607,1)]	5	[(25600,1)]	[(25829,8),(27048,1),(25600,1),(26607,1)]	[(25600,1)]	[(27049,1),(25600,1),(26607,1)]	[(25600,1),(26607,1)]	[(25600,1)]	[(25829,8),(27049,1),(25600,1),(26607,1)]
57	1	0	[(27904,1),(25600,1),(27066,1)]	5	[(25600,1)]	[(25829,1),(27904,1),(25600,1),(27066,1)]	[(25600,1)]	[(27905,1),(25600,1),(27066,1)]	[(25600,1),(27066,1)]	[(25600,1)]	[(25829,1),(27905,1),(25600,1),(27066,1)]
58	2	0	[(27904,1),(25600,1),(27066,1)]	5	[(25600,1)]	[(25829,2),(27904,1),(25600,1),(27066,1)]	[(25600,1)]	[(27905,1),(25600,1),(27066,1)]	[(25600,1),(27066,1)]	[(25600,1)]	[(25829,2),(27905,1),(25600,1),(27066,1)]
59	3	0	[(27904,1),(25600,1),(27066,1)]	5	[(25600,1)]	[(25829,3),(27904,1),(25600,1),(27066,1)]	[(25600,1)]	[(27905,1),(25600,1),(27066,1)]	[(25600,1),(27066,1)]	[(25600,1)]	[(25829,3),(27905,1),(25600,1),(27066,1)]
60	4	0	[(27904,1),(25600,1),(27066,1)]	5	[(25600,1)]	[(25829,4),(27904,1),(25600,1),(27066,1)]	[(25600,1)]	[(27905,1),(25600,1),(27066,1)]	[(25600,1),(27066,1)]	[(25600,1)]	[(25829,4),(27905,1),(25600,1),(27066,1)]
61	5	0	[(27904,1),(25600,1),(27066,1)]	5	[(25600,1)]	[(25829,5),(27904,1),(25600,1),(27066,1)]	[(25600,1)]	[(27905,1),(25600,1),(27066,1)]	[(25600,1),(27066,1)]	[(25600,1)]	[(25829,5),(27905,1),(25600,1),(27066,1)]
62	6	0	[(27904,1),(25600,1),(27066,1)]	5	[(25600,1)]	[(25829,6),(27904,1),(25600,1),(27066,1)]	[(25600,1)]	[(27905,1),(25600,1),(27066,1)]	[(25600,1),(27066,1)]	[(25600,1)]	[(25829,6),(27905,1),(25600,1),(27066,1)]
63	7	0	[(27904,1),(25600,1),(27066,1)]	5	[(25600,1)]	[(25829,7),(27904,1),(25600,1),(27066,1)]	[(25600,1)]	[(27905,1),(25600,1),(27066,1)]	[(25600,1),(27066,1)]	[(25600,1)]	[(25829,7),(27905,1),(25600,1),(27066,1)]
64	8	0	[(27904,1),(25600,1),(27066,1)]	5	[(25600,1)]	[(25829,8),(27904,1),(25600,1),(27066,1)]	[(25600,1)]	[(27905,1),(25600,1),(27066,1)]	[(25600,1),(27066,1)]	[(25600,1)]	[(25829,8),(27905,1),(25600,1),(27066,1)]
