rewardId	bindRMB	money	HZrewards	HZYearsRMB	HZYearsRewards	HZrewardsClient	HZYearsRewardsClient	LZrewards	LZYearsRewards	LZHHReward	LZrewardsClient
13	10	0	[(25661,2),(25600,2),(25682,5)]	5	[(25600,3)]	[(25829,10),(25661,2),(25600,2),(25682,5)]	[(25829,5),(25600,3)]	[(25666,1),(25600,1),(25682,1)]	[(25600,1),(25682,1)]	[(25600,1)]	[(25829,5),(25666,1),(25600,1),(25682,1)]
14	10	0	[(25661,2),(25600,2),(25682,5)]	5	[(25600,3)]	[(25829,10),(25661,2),(25600,2),(25682,5)]	[(25829,5),(25600,3)]	[(25666,1),(25600,1),(25682,1)]	[(25600,1),(25682,1)]	[(25600,1)]	[(25829,6),(25666,1),(25600,1),(25682,1)]
15	10	0	[(25661,2),(25600,2),(25682,5)]	5	[(25600,3)]	[(25829,10),(25661,2),(25600,2),(25682,5)]	[(25829,5),(25600,3)]	[(25666,1),(25600,1),(25682,1)]	[(25600,1),(25682,1)]	[(25600,1)]	[(25829,7),(25666,1),(25600,1),(25682,1)]
16	10	0	[(25661,2),(25600,2),(25682,5)]	5	[(25600,3)]	[(25829,10),(25661,2),(25600,2),(25682,5)]	[(25829,5),(25600,3)]	[(25666,1),(25600,1),(25682,1)]	[(25600,1),(25682,1)]	[(25600,1)]	[(25829,8),(25666,1),(25600,1),(25682,1)]
17	10	0	[(25662,2),(25600,2),(25683,5)]	5	[(25600,3)]	[(25829,10),(25662,2),(25600,2),(25683,5)]	[(25829,5),(25600,3)]	[(25667,1),(25600,1),(25683,1)]	[(25600,1),(25683,1)]	[(25600,1)]	[(25829,1),(25667,1),(25600,1),(25683,1)]
18	10	0	[(25662,2),(25600,2),(25683,5)]	5	[(25600,3)]	[(25829,10),(25662,2),(25600,2),(25683,5)]	[(25829,5),(25600,3)]	[(25667,1),(25600,1),(25683,1)]	[(25600,1),(25683,1)]	[(25600,1)]	[(25829,2),(25667,1),(25600,1),(25683,1)]
19	10	0	[(25662,2),(25600,2),(25683,5)]	5	[(25600,3)]	[(25829,10),(25662,2),(25600,2),(25683,5)]	[(25829,5),(25600,3)]	[(25667,1),(25600,1),(25683,1)]	[(25600,1),(25683,1)]	[(25600,1)]	[(25829,3),(25667,1),(25600,1),(25683,1)]
20	10	0	[(25662,2),(25600,2),(25683,5)]	5	[(25600,3)]	[(25829,10),(25662,2),(25600,2),(25683,5)]	[(25829,5),(25600,3)]	[(25667,1),(25600,1),(25683,1)]	[(25600,1),(25683,1)]	[(25600,1)]	[(25829,4),(25667,1),(25600,1),(25683,1)]
21	10	0	[(25662,2),(25600,2),(25683,5)]	5	[(25600,3)]	[(25829,10),(25662,2),(25600,2),(25683,5)]	[(25829,5),(25600,3)]	[(25667,1),(25600,1),(25683,1)]	[(25600,1),(25683,1)]	[(25600,1)]	[(25829,5),(25667,1),(25600,1),(25683,1)]
22	10	0	[(25662,2),(25600,2),(25683,5)]	5	[(25600,3)]	[(25829,10),(25662,2),(25600,2),(25683,5)]	[(25829,5),(25600,3)]	[(25667,1),(25600,1),(25683,1)]	[(25600,1),(25683,1)]	[(25600,1)]	[(25829,6),(25667,1),(25600,1),(25683,1)]
23	10	0	[(25662,2),(25600,2),(25683,5)]	5	[(25600,3)]	[(25829,10),(25662,2),(25600,2),(25683,5)]	[(25829,5),(25600,3)]	[(25667,1),(25600,1),(25683,1)]	[(25600,1),(25683,1)]	[(25600,1)]	[(25829,7),(25667,1),(25600,1),(25683,1)]
24	10	0	[(25662,2),(25600,2),(25683,5)]	5	[(25600,3)]	[(25829,10),(25662,2),(25600,2),(25683,5)]	[(25829,5),(25600,3)]	[(25667,1),(25600,1),(25683,1)]	[(25600,1),(25683,1)]	[(25600,1)]	[(25829,8),(25667,1),(25600,1),(25683,1)]
25	10	0	[(25663,2),(25600,2),(25684,5)]	5	[(25600,3)]	[(25829,10),(25663,2),(25600,2),(25684,5)]	[(25829,5),(25600,3)]	[(25668,1),(25600,1),(25684,1)]	[(25600,1),(25684,1)]	[(25600,1)]	[(25829,1),(25668,1),(25600,1),(25684,1)]
26	10	0	[(25663,2),(25600,2),(25684,5)]	5	[(25600,3)]	[(25829,10),(25663,2),(25600,2),(25684,5)]	[(25829,5),(25600,3)]	[(25668,1),(25600,1),(25684,1)]	[(25600,1),(25684,1)]	[(25600,1)]	[(25829,2),(25668,1),(25600,1),(25684,1)]
27	10	0	[(25663,2),(25600,2),(25684,5)]	5	[(25600,3)]	[(25829,10),(25663,2),(25600,2),(25684,5)]	[(25829,5),(25600,3)]	[(25668,1),(25600,1),(25684,1)]	[(25600,1),(25684,1)]	[(25600,1)]	[(25829,3),(25668,1),(25600,1),(25684,1)]
28	10	0	[(25663,2),(25600,2),(25684,5)]	5	[(25600,3)]	[(25829,10),(25663,2),(25600,2),(25684,5)]	[(25829,5),(25600,3)]	[(25668,1),(25600,1),(25684,1)]	[(25600,1),(25684,1)]	[(25600,1)]	[(25829,4),(25668,1),(25600,1),(25684,1)]
29	10	0	[(25663,2),(25600,2),(25684,5)]	5	[(25600,3)]	[(25829,10),(25663,2),(25600,2),(25684,5)]	[(25829,5),(25600,3)]	[(25668,1),(25600,1),(25684,1)]	[(25600,1),(25684,1)]	[(25600,1)]	[(25829,5),(25668,1),(25600,1),(25684,1)]
30	10	0	[(25663,2),(25600,2),(25684,5)]	5	[(25600,3)]	[(25829,10),(25663,2),(25600,2),(25684,5)]	[(25829,5),(25600,3)]	[(25668,1),(25600,1),(25684,1)]	[(25600,1),(25684,1)]	[(25600,1)]	[(25829,6),(25668,1),(25600,1),(25684,1)]
31	10	0	[(25663,2),(25600,2),(25684,5)]	5	[(25600,3)]	[(25829,10),(25663,2),(25600,2),(25684,5)]	[(25829,5),(25600,3)]	[(25668,1),(25600,1),(25684,1)]	[(25600,1),(25684,1)]	[(25600,1)]	[(25829,7),(25668,1),(25600,1),(25684,1)]
32	10	0	[(25663,2),(25600,2),(25684,5)]	5	[(25600,3)]	[(25829,10),(25663,2),(25600,2),(25684,5)]	[(25829,5),(25600,3)]	[(25668,1),(25600,1),(25684,1)]	[(25600,1),(25684,1)]	[(25600,1)]	[(25829,8),(25668,1),(25600,1),(25684,1)]
33	10	0	[(25664,2),(25600,2),(25685,5)]	5	[(25600,3)]	[(25829,10),(25664,2),(25600,2),(25685,5)]	[(25829,5),(25600,3)]	[(25669,1),(25600,1),(25685,1)]	[(25600,1),(25685,1)]	[(25600,1)]	[(25829,1),(25669,1),(25600,1),(25685,1)]
34	10	0	[(25664,2),(25600,2),(25685,5)]	5	[(25600,3)]	[(25829,10),(25664,2),(25600,2),(25685,5)]	[(25829,5),(25600,3)]	[(25669,1),(25600,1),(25685,1)]	[(25600,1),(25685,1)]	[(25600,1)]	[(25829,2),(25669,1),(25600,1),(25685,1)]
35	10	0	[(25664,2),(25600,2),(25685,5)]	5	[(25600,3)]	[(25829,10),(25664,2),(25600,2),(25685,5)]	[(25829,5),(25600,3)]	[(25669,1),(25600,1),(25685,1)]	[(25600,1),(25685,1)]	[(25600,1)]	[(25829,3),(25669,1),(25600,1),(25685,1)]
36	10	0	[(25664,2),(25600,2),(25685,5)]	5	[(25600,3)]	[(25829,10),(25664,2),(25600,2),(25685,5)]	[(25829,5),(25600,3)]	[(25669,1),(25600,1),(25685,1)]	[(25600,1),(25685,1)]	[(25600,1)]	[(25829,4),(25669,1),(25600,1),(25685,1)]
37	10	0	[(25664,2),(25600,2),(25685,5)]	5	[(25600,3)]	[(25829,10),(25664,2),(25600,2),(25685,5)]	[(25829,5),(25600,3)]	[(25669,1),(25600,1),(25685,1)]	[(25600,1),(25685,1)]	[(25600,1)]	[(25829,5),(25669,1),(25600,1),(25685,1)]
38	10	0	[(25664,2),(25600,2),(25685,5)]	5	[(25600,3)]	[(25829,10),(25664,2),(25600,2),(25685,5)]	[(25829,5),(25600,3)]	[(25669,1),(25600,1),(25685,1)]	[(25600,1),(25685,1)]	[(25600,1)]	[(25829,6),(25669,1),(25600,1),(25685,1)]
39	10	0	[(25664,2),(25600,2),(25685,5)]	5	[(25600,3)]	[(25829,10),(25664,2),(25600,2),(25685,5)]	[(25829,5),(25600,3)]	[(25669,1),(25600,1),(25685,1)]	[(25600,1),(25685,1)]	[(25600,1)]	[(25829,7),(25669,1),(25600,1),(25685,1)]
40	10	0	[(25664,2),(25600,2),(25685,5)]	5	[(25600,3)]	[(25829,10),(25664,2),(25600,2),(25685,5)]	[(25829,5),(25600,3)]	[(25669,1),(25600,1),(25685,1)]	[(25600,1),(25685,1)]	[(25600,1)]	[(25829,8),(25669,1),(25600,1),(25685,1)]
41	10	0	[(25665,2),(25600,2),(25686,5)]	5	[(25600,3)]	[(25829,10),(25665,2),(25600,2),(25686,5)]	[(25829,5),(25600,3)]	[(25670,1),(25600,1),(25686,1)]	[(25600,1),(25686,1)]	[(25600,1)]	[(25829,1),(25670,1),(25600,1),(25686,1)]
42	10	0	[(25665,2),(25600,2),(25686,5)]	5	[(25600,3)]	[(25829,10),(25665,2),(25600,2),(25686,5)]	[(25829,5),(25600,3)]	[(25670,1),(25600,1),(25686,1)]	[(25600,1),(25686,1)]	[(25600,1)]	[(25829,2),(25670,1),(25600,1),(25686,1)]
43	10	0	[(25665,2),(25600,2),(25686,5)]	5	[(25600,3)]	[(25829,10),(25665,2),(25600,2),(25686,5)]	[(25829,5),(25600,3)]	[(25670,1),(25600,1),(25686,1)]	[(25600,1),(25686,1)]	[(25600,1)]	[(25829,3),(25670,1),(25600,1),(25686,1)]
44	10	0	[(25665,2),(25600,2),(25686,5)]	5	[(25600,3)]	[(25829,10),(25665,2),(25600,2),(25686,5)]	[(25829,5),(25600,3)]	[(25670,1),(25600,1),(25686,1)]	[(25600,1),(25686,1)]	[(25600,1)]	[(25829,4),(25670,1),(25600,1),(25686,1)]
45	10	0	[(25665,2),(25600,2),(25686,5)]	5	[(25600,3)]	[(25829,10),(25665,2),(25600,2),(25686,5)]	[(25829,5),(25600,3)]	[(25670,1),(25600,1),(25686,1)]	[(25600,1),(25686,1)]	[(25600,1)]	[(25829,5),(25670,1),(25600,1),(25686,1)]
46	10	0	[(25665,2),(25600,2),(25686,5)]	5	[(25600,3)]	[(25829,10),(25665,2),(25600,2),(25686,5)]	[(25829,5),(25600,3)]	[(25670,1),(25600,1),(25686,1)]	[(25600,1),(25686,1)]	[(25600,1)]	[(25829,6),(25670,1),(25600,1),(25686,1)]
47	10	0	[(25665,2),(25600,2),(25686,5)]	5	[(25600,3)]	[(25829,10),(25665,2),(25600,2),(25686,5)]	[(25829,5),(25600,3)]	[(25670,1),(25600,1),(25686,1)]	[(25600,1),(25686,1)]	[(25600,1)]	[(25829,7),(25670,1),(25600,1),(25686,1)]
48	10	0	[(25665,2),(25600,2),(25686,5)]	5	[(25600,3)]	[(25829,10),(25665,2),(25600,2),(25686,5)]	[(25829,5),(25600,3)]	[(25670,1),(25600,1),(25686,1)]	[(25600,1),(25686,1)]	[(25600,1)]	[(25829,8),(25670,1),(25600,1),(25686,1)]
49	10	0	[(27048,2),(25600,2),(26607,5)]	5	[(25600,3)]	[(25829,10),(27048,2),(25600,2),(26607,5)]	[(25829,5),(25600,3)]	[(27048,2),(25600,2),(26607,5)]	[(25600,1),(25686,1)]	[(25600,1)]	[(25829,10),(27048,2),(25600,2),(26607,5)]
50	10	0	[(27048,2),(25600,2),(26607,5)]	5	[(25600,3)]	[(25829,10),(27048,2),(25600,2),(26607,5)]	[(25829,5),(25600,3)]	[(27048,2),(25600,2),(26607,5)]	[(25600,1),(25686,1)]	[(25600,1)]	[(25829,10),(27048,2),(25600,2),(26607,5)]
51	10	0	[(27048,2),(25600,2),(26607,5)]	5	[(25600,3)]	[(25829,10),(27048,2),(25600,2),(26607,5)]	[(25829,5),(25600,3)]	[(27048,2),(25600,2),(26607,5)]	[(25600,1),(25686,1)]	[(25600,1)]	[(25829,10),(27048,2),(25600,2),(26607,5)]
52	10	0	[(27048,2),(25600,2),(26607,5)]	5	[(25600,3)]	[(25829,10),(27048,2),(25600,2),(26607,5)]	[(25829,5),(25600,3)]	[(27048,2),(25600,2),(26607,5)]	[(25600,1),(25686,1)]	[(25600,1)]	[(25829,10),(27048,2),(25600,2),(26607,5)]
53	10	0	[(27048,2),(25600,2),(26607,5)]	5	[(25600,3)]	[(25829,10),(27048,2),(25600,2),(26607,5)]	[(25829,5),(25600,3)]	[(27048,2),(25600,2),(26607,5)]	[(25600,1),(25686,1)]	[(25600,1)]	[(25829,10),(27048,2),(25600,2),(26607,5)]
54	10	0	[(27048,2),(25600,2),(26607,5)]	5	[(25600,3)]	[(25829,10),(27048,2),(25600,2),(26607,5)]	[(25829,5),(25600,3)]	[(27048,2),(25600,2),(26607,5)]	[(25600,1),(25686,1)]	[(25600,1)]	[(25829,10),(27048,2),(25600,2),(26607,5)]
55	10	0	[(27048,2),(25600,2),(26607,5)]	5	[(25600,3)]	[(25829,10),(27048,2),(25600,2),(26607,5)]	[(25829,5),(25600,3)]	[(27048,2),(25600,2),(26607,5)]	[(25600,1),(25686,1)]	[(25600,1)]	[(25829,10),(27048,2),(25600,2),(26607,5)]
56	10	0	[(27048,2),(25600,2),(26607,5)]	5	[(25600,3)]	[(25829,10),(27048,2),(25600,2),(26607,5)]	[(25829,5),(25600,3)]	[(27048,2),(25600,2),(26607,5)]	[(25600,1),(25686,1)]	[(25600,1)]	[(25829,10),(27048,2),(25600,2),(26607,5)]
57	10	0	[(27904,2),(25600,2),(27066,5)]	5	[(25600,3)]	[(25829,10),(27904,2),(25600,2),(27066,5)]	[(25829,5),(25600,3)]	[(27905,2),(25600,2),(27066,5)]	[(25600,1),(27066,1)]	[(25600,1)]	[(25829,10),(27048,2),(25600,2),(26607,5)]
58	10	0	[(27904,2),(25600,2),(27066,5)]	5	[(25600,3)]	[(25829,10),(27904,2),(25600,2),(27066,5)]	[(25829,5),(25600,3)]	[(27905,2),(25600,2),(27066,5)]	[(25600,1),(27066,1)]	[(25600,1)]	[(25829,10),(27048,2),(25600,2),(26607,5)]
59	10	0	[(27904,2),(25600,2),(27066,5)]	5	[(25600,3)]	[(25829,10),(27904,2),(25600,2),(27066,5)]	[(25829,5),(25600,3)]	[(27905,2),(25600,2),(27066,5)]	[(25600,1),(27066,1)]	[(25600,1)]	[(25829,10),(27048,2),(25600,2),(26607,5)]
60	10	0	[(27904,2),(25600,2),(27066,5)]	5	[(25600,3)]	[(25829,10),(27904,2),(25600,2),(27066,5)]	[(25829,5),(25600,3)]	[(27905,2),(25600,2),(27066,5)]	[(25600,1),(27066,1)]	[(25600,1)]	[(25829,10),(27048,2),(25600,2),(26607,5)]
61	10	0	[(27904,2),(25600,2),(27066,5)]	5	[(25600,3)]	[(25829,10),(27904,2),(25600,2),(27066,5)]	[(25829,5),(25600,3)]	[(27905,2),(25600,2),(27066,5)]	[(25600,1),(27066,1)]	[(25600,1)]	[(25829,10),(27048,2),(25600,2),(26607,5)]
62	10	0	[(27904,2),(25600,2),(27066,5)]	5	[(25600,3)]	[(25829,10),(27904,2),(25600,2),(27066,5)]	[(25829,5),(25600,3)]	[(27905,2),(25600,2),(27066,5)]	[(25600,1),(27066,1)]	[(25600,1)]	[(25829,10),(27048,2),(25600,2),(26607,5)]
63	10	0	[(27904,2),(25600,2),(27066,5)]	5	[(25600,3)]	[(25829,10),(27904,2),(25600,2),(27066,5)]	[(25829,5),(25600,3)]	[(27905,2),(25600,2),(27066,5)]	[(25600,1),(27066,1)]	[(25600,1)]	[(25829,10),(27048,2),(25600,2),(26607,5)]
64	10	0	[(27904,2),(25600,2),(27066,5)]	5	[(25600,3)]	[(25829,10),(27904,2),(25600,2),(27066,5)]	[(25829,5),(25600,3)]	[(27905,2),(25600,2),(27066,5)]	[(25600,1),(27066,1)]	[(25600,1)]	[(25829,10),(27048,2),(25600,2),(26607,5)]
