score	level	reward_money	reward_reputation	reward_items
3600	120	3273600	26400	[(25665,110),(25670,36)]
3600	140	3913600	33000	[(27048,110),(27049,36)]
3600	160	4233600	39600	[(27904,110),(27905,36)]
4200	30	590030	2400	[(25661, 125), (25666, 44), (25671, 15)]
4200	60	1180060	4800	[(25662, 125), (25667, 44), (25672, 15)]
4200	80	1770090	9600	[(25663, 125), (25668, 44), (25673, 15)]
4200	100	2950150	14400	[(25664, 125), (25669, 44), (25674, 15)]
4200	120	3540180	28800	[(25665,125),(25670,44),(25675,15)]
4200	140	4220180	36000	[(27048,125),(27049,44),(27050,15)]
4200	160	4560180	43200	[(27904,125),(27905,44),(27906,15)]
4800	30	636560	2600	[(25661, 140), (25666, 52), (25671, 20)]
4800	60	1273120	5200	[(25662, 140), (25667, 52), (25672, 20)]
4800	80	1909680	10400	[(25663, 140), (25668, 52), (25673, 20)]
4800	100	3182800	15600	[(25664, 140), (25669, 52), (25674, 20)]
4800	120	3819360	31200	[(25665,140),(25670,52),(25675,20)]
4800	140	4539360	39000	[(27048,140),(27049,52),(27050,20)]
4800	160	4899360	46800	[(27904,140),(27905,52),(27906,20)]
5400	30	685640	3000	[(25661, 150), (25666, 60), (25671, 25)]
5400	60	1371280	6000	[(25662, 150), (25667, 60), (25672, 25)]
5400	80	2056920	12000	[(25663, 150), (25668, 60), (25673, 25)]
5400	100	3428200	18000	[(25664, 150), (25669, 60), (25674, 25)]
5400	120	4113840	36000	[(25665,150),(25670,60),(25675,25)]
5400	140	4873840	45000	[(27048,150),(27049,60),(27050,25)]
5400	160	5253840	54000	[(27904,150),(27905,60),(27906,25)]
6000	30	738020	3125	[(25661, 150), (25666, 68), (25671, 30)]
6000	60	1476040	6250	[(25662, 150), (25667, 68), (25672, 30)]
6000	80	2214060	12500	[(25663, 150), (25668, 68), (25673, 30)]
6000	100	3690100	18750	[(25664, 150), (25669, 68), (25674, 30)]
6000	120	4428120	37500	[(25665,150),(25670,68),(25675,30)]
6000	140	5228120	46875	[(27048,150),(27049,68),(27050,30)]
6000	160	5628120	56250	[(27904,150),(27905,68),(27906,30)]
7200	30	794450	3250	[(25661, 150), (25666, 76), (25671, 35)]
7200	60	1588900	6500	[(25662, 150), (25667, 76), (25672, 35)]
7200	80	2383350	13000	[(25663, 150), (25668, 76), (25673, 35)]
7200	100	3972250	19500	[(25664, 150), (25669, 76), (25674, 35)]
7200	120	4766700	39000	[(25665,150),(25670,76),(25675,35)]
7200	140	5606700	48750	[(27048,150),(27049,76),(27050,35)]
7200	160	6026700	58500	[(27904,150),(27905,76),(27906,35)]
8400	30	856380	3375	[(25661, 150), (25666, 84), (25671, 40)]
8400	60	1712760	6750	[(25662, 150), (25667, 84), (25672, 40)]
8400	80	2569140	13500	[(25663, 150), (25668, 84), (25673, 40)]
8400	100	4281900	20250	[(25664, 150), (25669, 84), (25674, 40)]
8400	120	5138280	40500	[(25665,150),(25670,84),(25675,40)]
8400	140	6018280	50625	[(27048,150),(27049,84),(27050,40)]
8400	160	6458280	60750	[(27904,150),(27905,84),(27906,40)]
9600	30	925260	3500	[(25661, 150), (25666, 84), (25671, 45)]
9600	60	1850520	7000	[(25662, 150), (25667, 84), (25672, 45)]
9600	80	2775780	14000	[(25663, 150), (25668, 84), (25673, 45)]
9600	100	4626300	21000	[(25664, 150), (25669, 84), (25674, 45)]
9600	120	5551560	42000	[(25665,150),(25670,92),(25675,45)]
9600	140	6417560	52500	[(27048,150),(27049,92),(27050,45)]
9600	160	6850560	63000	[(27904,150),(27905,92),(27906,45)]
12000	30	1002540	3625	[(25661, 150), (25666, 100), (25671, 50)]
12000	60	2005080	7250	[(25662, 150), (25667, 100), (25672, 50)]
12000	80	3007620	14500	[(25663, 150), (25668, 100), (25673, 50)]
12000	100	5012700	21750	[(25664, 150), (25669, 100), (25674, 50)]
12000	120	6015240	43500	[(25665,150),(25670,100),(25675,50)]
12000	140	6975240	54375	[(27048,150),(27049,100),(27050,50)]
12000	160	7455240	65250	[(27904,150),(27905,100),(27906,50)]
14400	30	1090670	3750	[(25661, 150), (25666, 100), (25671, 55)]
14400	60	2181340	7500	[(25662, 150), (25667, 100), (25672, 55)]
14400	80	3272010	15000	[(25663, 150), (25668, 100), (25673, 55)]
14400	100	5453350	22500	[(25664, 150), (25669, 100), (25674, 55)]
14400	120	6544020	45000	[(25665,150),(25670,100),(25675,55)]
14400	140	7544020	56250	[(27048,150),(27049,100),(27050,55)]
14400	160	8044020	67500	[(27904,150),(27905,100),(27906,55)]
16800	30	1192100	3875	[(25661, 150), (25666, 100), (25671, 60)]
16800	60	2384200	7750	[(25662, 150), (25667, 100), (25672, 60)]
16800	80	3576300	15500	[(25663, 150), (25668, 100), (25673, 60)]
16800	100	5960500	23250	[(25664, 150), (25669, 100), (25674, 60)]
16800	120	7152600	46500	[(25665,150),(25670,100),(25675,60)]
16800	140	8192600	58125	[(27048,150),(27049,100),(27050,60)]
16800	160	8712600	69750	[(27904,150),(27905,100),(27906,55)]
19200	30	1309280	4000	[(25661, 150), (25666, 100), (25671, 65)]
19200	60	2618560	8000	[(25662, 150), (25667, 100), (25672, 65)]
19200	80	3927840	16000	[(25663, 150), (25668, 100), (25673, 65)]
19200	100	6546400	24000	[(25664, 150), (25669, 100), (25674, 65)]
19200	120	7855680	48000	[(25665,150),(25670,100),(25675,65)]
19200	140	8935680	60000	[(27048,150),(27049,100),(27050,65)]
19200	160	9475680	72000	[(27904,150),(27905,100),(27906,65)]
21600	30	1444660	4125	[(25661, 150), (25666, 100), (25671, 70)]
21600	60	2889320	8250	[(25662, 150), (25667, 100), (25672, 70)]
21600	80	4333980	16500	[(25663, 150), (25668, 100), (25673, 70)]
21600	100	7223300	24750	[(25664, 150), (25669, 100), (25674, 70)]
21600	120	8667960	49500	[(25665,150),(25670,100),(25675,70)]
21600	140	9787960	61875	[(27048,150),(27049,100),(27050,70)]
21600	160	10347960	74250	[(27904,150),(27905,100),(27906,70)]
24000	30	1600690	4250	[(25661, 150), (25666, 100), (25671, 75)]
24000	60	3201380	8500	[(25662, 150), (25667, 100), (25672, 75)]
24000	80	4802070	17000	[(25663, 150), (25668, 100), (25673, 75)]
24000	100	8003450	25500	[(25664, 150), (25669, 100), (25674, 75)]
24000	120	9604140	51000	[(25665,150),(25670,100),(25675,75)]
24000	140	10764140	63750	[(27048,150),(27049,100),(27050,75)]
24000	160	11344140	76500	[(27904,150),(27905,100),(27906,75)]
26400	30	1780920	4375	[(25661, 150), (25666, 100), (25671, 80)]
26400	60	3561840	8750	[(25662, 150), (25667, 100), (25672, 80)]
26400	80	5342760	17500	[(25663, 150), (25668, 100), (25673, 80)]
26400	100	8904600	26250	[(25664, 150), (25669, 100), (25674, 80)]
26400	120	10685520	52500	[(25665,150),(25670,100),(25675,80)]
26400	140	11885520	65625	[(27048,150),(27049,100),(27050,80)]
26400	160	12485520	78750	[(27904,150),(27905,100),(27906,80)]
28800	30	1988900	4500	[(25661, 150), (25666, 100), (25671, 85)]
28800	60	3977800	9000	[(25662, 150), (25667, 100), (25672, 85)]
28800	80	5966700	18000	[(25663, 150), (25668, 100), (25673, 85)]
28800	100	9944500	27000	[(25664, 150), (25669, 100), (25674, 85)]
28800	120	11933400	54000	[(25665,150),(25670,100),(25675,85)]
28800	140	13173400	67500	[(27048,150),(27049,100),(27050,85)]
28800	160	13793400	81000	[(27904,150),(27905,100),(27906,85)]
31200	30	2228180	4625	[(25661, 150), (25666, 100), (25671, 90)]
31200	60	4456360	9250	[(25662, 150), (25667, 100), (25672, 90)]
31200	80	6684540	18500	[(25663, 150), (25668, 100), (25673, 90)]
31200	100	11140900	27750	[(25664, 150), (25669, 100), (25674, 90)]
31200	120	13369080	55500	[(25665,150),(25670,100),(25675,90)]
31200	140	14649080	69375	[(27048,150),(27049,100),(27050,90)]
31200	160	15289080	83250	[(27904,150),(27905,100),(27906,90)]
33600	30	2502310	4750	[(25661, 150), (25666, 100), (25671, 95)]
33600	60	5004620	9500	[(25662, 150), (25667, 100), (25672, 95)]
33600	80	7506930	19000	[(25663, 150), (25668, 100), (25673, 95)]
33600	100	12511550	28500	[(25664, 150), (25669, 100), (25674, 95)]
33600	120	15013860	57000	[(25665,150),(25670,100),(25675,95)]
33600	140	16333860	71250	[(27048,150),(27049,100),(27050,95)]
33600	160	16993860	85500	[(27904,150),(27905,100),(27906,95)]
36000	30	2814840	5000	[(25661, 150), (25666, 100), (25671, 100)]
36000	60	5629680	10000	[(25662, 150), (25667, 100), (25672, 100)]
36000	80	8444520	20000	[(25663, 150), (25668, 100), (25673, 100)]
36000	100	14074200	30000	[(25664, 150), (25669, 100), (25674, 100)]
36000	120	16889040	60000	[(25665,150),(25670,100),(25675,100)]
36000	140	18249040	75000	[(27048,150),(27049,100),(27050,100)]
36000	160	18929040	90000	[(27904,150),(27905,100),(27906,100)]
38400	30	3000000	5500	[(25661, 150), (25666, 100), (25671, 100)]
38400	60	6000000	11000	[(25662, 150), (25667, 100), (25672, 100)]
38400	80	9000000	22000	[(25663, 150), (25668, 100), (25673, 100)]
38400	100	15000000	33000	[(25664, 150), (25669, 100), (25674, 100)]
38400	120	18000000	66000	[(25665,150),(25670,100),(25675,100)]
38400	140	19400000	82500	[(27048,150),(27049,100),(27050,100)]
38400	160	20100000	99000	[(27904,150),(27905,100),(27906,100)]
