level	exp_f_exp	exp_f_items	qna_f_money	qna_f_items	df_f_exp	df_f_money	hw_f_money	hw_f_reputation	hw_f_items	jjc_f_reputation	jjc_f_items	daytask_f_exp	daytask_f_money	daytask_f_items	dl_f_exp	cfb_f_items
45	156000	[(25638,45)]	148410		68900	93400	375000	1700	[(25661, 20)]	1000	[(25682,30)]	75000	150000	[(26106,15)]	85200	[(26344,5),(25682,10)]
46	156000	[(25638,45)]	150000		68900	93400	375000	1700	[(25661, 20)]	1000	[(25682,30)]	75000	150000	[(26106,15)]	86400	[(26344,5),(25682,10)]
47	156000	[(25638,45)]	151560		68900	93400	375000	1700	[(25661, 20)]	1000	[(25682,30)]	75000	150000	[(26106,15)]	86400	[(26344,5),(25682,10)]
48	156000	[(25638,45)]	153120		68900	93400	375000	1700	[(25661, 20)]	1000	[(25682,30)]	75000	150000	[(26106,15)]	86400	[(26344,5),(25682,10)]
49	156000	[(25638,45)]	154680		68900	93400	375000	1700	[(25661, 20)]	1000	[(25682,30)]	75000	150000	[(26106,15)]	86400	[(26344,5),(25682,10)]
50	156000	[(25638,45)]	157800		68900	93400	375000	1700	[(25661, 20)]	1000	[(25682,30)]	75000	150000	[(26106,15)]	86400	[(26344,5),(25682,10)]
51	156000	[(25638,45)]	159360		68900	93400	375000	1700	[(25661, 20)]	1000	[(25682,30)]	75000	150000	[(26106,15)]	86400	[(26344,5),(25682,10)]
52	156000	[(25638,45)]	160920		68900	93400	375000	1700	[(25661, 20)]	1000	[(25682,30)]	75000	150000	[(26106,15)]	86400	[(26344,5),(25682,10)]
53	156000	[(25638,45)]	162480		68900	93400	375000	1700	[(25661, 20)]	1000	[(25682,30)]	75000	150000	[(26106,15)]	86400	[(26344,5),(25682,10)]
54	156000	[(25638,45)]	164040		68900	93400	375000	1700	[(25661, 20)]	1000	[(25682,30)]	75000	150000	[(26106,15)]	86400	[(26344,5),(25682,10)]
55	156000	[(25638,45)]	165600		68900	93400	375000	1700	[(25661, 20)]	1000	[(25682,30)]	75000	150000	[(26106,15)]	86400	[(26344,5),(25682,10)]
56	156000	[(25638,45)]	167160		68900	93400	375000	1700	[(25661, 20)]	1000	[(25682,30)]	75000	150000	[(26106,15)]	86400	[(26344,5),(25682,10)]
57	156000	[(25638,45)]	168750		68900	93400	375000	1700	[(25661, 20)]	1000	[(25682,30)]	75000	150000	[(26106,15)]	86400	[(26344,5),(25682,10)]
58	156000	[(25638,45)]	170310		68900	93400	375000	1700	[(25661, 20)]	1000	[(25682,30)]	75000	150000	[(26106,15)]	86400	[(26344,5),(25682,10)]
59	156000	[(25638,45)]	171870		68900	93400	375000	1700	[(25661, 20)]	1000	[(25682,30)]	75000	150000	[(26106,15)]	86400	[(26344,5),(25682,10)]
60	232500	[(25639,45)]	174360		98400	118000	725000	3325	[(25662, 20)]	1000	[(25683,30)]	150000	300000	[(26107,30)]	110400	[(26344,8),(25683,10)]
61	232500	[(25639,45)]	176310		98400	118000	725000	3325	[(25662, 20)]	1000	[(25683,30)]	150000	300000	[(26107,30)]	115200	[(26344,8),(25683,10)]
62	232500	[(25639,45)]	178230		98400	118000	725000	3325	[(25662, 20)]	1000	[(25683,30)]	150000	300000	[(26107,30)]	124800	[(26344,8),(25683,10)]
63	232500	[(25639,45)]	180180		98400	118000	725000	3325	[(25662, 20)]	1000	[(25683,30)]	150000	300000	[(26107,30)]	132000	[(26344,8),(25683,10)]
64	232500	[(25639,45)]	182100		98400	118000	725000	3325	[(25662, 20)]	1000	[(25683,30)]	150000	300000	[(26107,30)]	132000	[(26344,8),(25683,10)]
65	232500	[(25639,45)]	184050		98400	118000	725000	3325	[(25662, 20)]	1000	[(25683,30)]	150000	300000	[(26107,30)]	132000	[(26344,8),(25683,10)]
66	232500	[(25639,45)]	186000		98400	118000	725000	3325	[(25662, 20)]	1000	[(25683,30)]	150000	300000	[(26107,30)]	132000	[(26344,8),(25683,10)]
67	232500	[(25639,45)]	187920		98400	118000	725000	3325	[(25662, 20)]	1000	[(25683,30)]	150000	300000	[(26107,30)]	132000	[(26344,8),(25683,10)]
68	232500	[(25639,45)]	189870		98400	118000	725000	3325	[(25662, 20)]	1000	[(25683,30)]	150000	300000	[(26107,30)]	132000	[(26344,8),(25683,10)]
69	232500	[(25639,45)]	191790		98400	118000	725000	3325	[(25662, 20)]	1000	[(25683,30)]	150000	300000	[(26107,30)]	132000	[(26344,8),(25683,10)]
70	232500	[(25639,45)]	195660		98400	118000	725000	3325	[(25662, 20)]	1000	[(25683,30)]	150000	300000	[(26107,30)]	133200	[(26344,8),(25683,10)]
71	232500	[(25639,45)]	197610		98400	118000	725000	3325	[(25662, 20)]	1000	[(25683,30)]	150000	300000	[(26107,30)]	133200	[(26344,8),(25683,10)]
72	232500	[(25639,45)]	199560		98400	118000	725000	3325	[(25662, 20)]	1000	[(25683,30)]	150000	300000	[(26107,30)]	133200	[(26344,8),(25683,10)]
73	232500	[(25639,45)]	201480		98400	118000	725000	3325	[(25662, 20)]	1000	[(25683,30)]	150000	300000	[(26107,30)]	133200	[(26344,8),(25683,10)]
74	232500	[(25639,45)]	203430		98400	118000	725000	3325	[(25662, 20)]	1000	[(25683,30)]	150000	300000	[(26107,30)]	133200	[(26344,8),(25683,10)]
75	232500	[(25639,45)]	205350		98400	118000	725000	3325	[(25662, 20)]	1000	[(25683,30)]	150000	300000	[(26107,30)]	133200	[(26344,8),(25683,10)]
76	232500	[(25639,45)]	207300		98400	118000	725000	3325	[(25662, 20)]	1000	[(25683,30)]	150000	300000	[(26107,30)]	133200	[(26344,8),(25683,10)]
77	232500	[(25639,45)]	209250		98400	118000	725000	3325	[(25662, 20)]	1000	[(25683,30)]	150000	300000	[(26107,30)]	133200	[(26344,8),(25683,10)]
78	232500	[(25639,45)]	211170		98400	118000	725000	3325	[(25662, 20)]	1000	[(25683,30)]	150000	300000	[(26107,30)]	133200	[(26344,8),(25683,10)]
79	232500	[(25639,45)]	213120		98400	118000	725000	3325	[(25662, 20)]	1000	[(25683,30)]	150000	300000	[(26107,30)]	133200	[(26344,8),(25683,10)]
80	309000	[(25640,45)]	215250		120000	147500	1125000	6350	[(25663, 20)]	1000	[(25684,30)]	240000	600000	[(26108,30)]	148800	[(26344,12),(25684,10)]
81	309000	[(25640,45)]	224460		120000	147500	1125000	6350	[(25663, 20)]	1000	[(25684,30)]	240000	600000	[(26108,30)]	154800	[(26344,12),(25684,10)]
82	309000	[(25640,45)]	233700		120000	147500	1125000	6350	[(25663, 20)]	1000	[(25684,30)]	240000	600000	[(26108,30)]	164400	[(26344,12),(25684,10)]
83	309000	[(25640,45)]	242910		120000	147500	1125000	6350	[(25663, 20)]	1000	[(25684,30)]	240000	600000	[(26108,30)]	171600	[(26344,12),(25684,10)]
84	309000	[(25640,45)]	252150		120000	147500	1125000	6350	[(25663, 20)]	1000	[(25684,30)]	240000	600000	[(26108,30)]	171600	[(26344,12),(25684,10)]
85	309000	[(25640,45)]	261360		120000	147500	1125000	6350	[(25663, 20)]	1000	[(25684,30)]	240000	600000	[(26108,30)]	171600	[(26344,12),(25684,10)]
86	309000	[(25640,45)]	270600		120000	147500	1125000	6350	[(25663, 20)]	1000	[(25684,30)]	240000	600000	[(26108,30)]	171600	[(26344,12),(25684,10)]
87	309000	[(25640,45)]	279810		120000	147500	1125000	6350	[(25663, 20)]	1000	[(25684,30)]	240000	600000	[(26108,30)]	171600	[(26344,12),(25684,10)]
88	309000	[(25640,45)]	289050		120000	147500	1125000	6350	[(25663, 20)]	1000	[(25684,30)]	240000	600000	[(26108,30)]	171600	[(26344,12),(25684,10)]
89	309000	[(25640,45)]	298260		120000	147500	1125000	6350	[(25663, 20)]	1000	[(25684,30)]	240000	600000	[(26108,30)]	171600	[(26344,12),(25684,10)]
90	309000	[(25640,45)]	316710		120000	147500	1125000	6350	[(25663, 20)]	1000	[(25684,30)]	240000	600000	[(26108,30)]	171600	[(26344,12),(25684,10)]
91	309000	[(25640,45)]	325950		120000	147500	1125000	6350	[(25663, 20)]	1000	[(25684,30)]	240000	600000	[(26108,30)]	171600	[(26344,12),(25684,10)]
92	309000	[(25640,45)]	335160		120000	147500	1125000	6350	[(25663, 20)]	1000	[(25684,30)]	240000	600000	[(26108,30)]	171600	[(26344,12),(25684,10)]
93	309000	[(25640,45)]	344400		120000	147500	1125000	6350	[(25663, 20)]	1000	[(25684,30)]	240000	600000	[(26108,30)]	171600	[(26344,12),(25684,10)]
94	309000	[(25640,45)]	353610		120000	147500	1125000	6350	[(25663, 20)]	1000	[(25684,30)]	240000	600000	[(26108,30)]	171600	[(26344,12),(25684,10)]
95	309000	[(25640,45)]	362850		120000	147500	1125000	6350	[(25663, 20)]	1000	[(25684,30)]	240000	600000	[(26108,30)]	171600	[(26344,12),(25684,10)]
96	309000	[(25640,45)]	372060		120000	147500	1125000	6350	[(25663, 20)]	1000	[(25684,30)]	240000	600000	[(26108,30)]	171600	[(26344,12),(25684,10)]
97	309000	[(25640,45)]	381300		120000	147500	1125000	6350	[(25663, 20)]	1000	[(25684,30)]	240000	600000	[(26108,30)]	171600	[(26344,12),(25684,10)]
98	309000	[(25640,45)]	390510		120000	147500	1125000	6350	[(25663, 20)]	1000	[(25684,30)]	240000	600000	[(26108,30)]	172800	[(26344,12),(25684,10)]
99	309000	[(25640,45)]	399750		120000	147500	1125000	6350	[(25663, 20)]	1000	[(25684,30)]	240000	600000	[(26108,30)]	172800	[(26344,12),(25684,10)]
100	390000	[(25641,45)]	409980		150000	176920	1860000	9100	[(25664, 20)]	1000	[(25685,30)]	360000	900000	[(26109,30)]	195600	[(26344,15),(25685,10)]
101	390000	[(25641,45)]	420240		150000	176920	1860000	9100	[(25664, 20)]	1000	[(25685,30)]	360000	900000	[(26109,30)]	210000	[(26344,15),(25685,10)]
102	390000	[(25641,45)]	430500		150000	176920	1860000	9100	[(25664, 20)]	1000	[(25685,30)]	360000	900000	[(26109,30)]	224400	[(26344,15),(25685,10)]
103	390000	[(25641,45)]	440730		150000	176920	1860000	9100	[(25664, 20)]	1000	[(25685,30)]	360000	900000	[(26109,30)]	237600	[(26344,15),(25685,10)]
104	390000	[(25641,45)]	450990		150000	176920	1860000	9100	[(25664, 20)]	1000	[(25685,30)]	360000	900000	[(26109,30)]	237600	[(26344,15),(25685,10)]
105	390000	[(25641,45)]	461250		150000	176920	1860000	9100	[(25664, 20)]	1000	[(25685,30)]	360000	900000	[(26109,30)]	237600	[(26344,15),(25685,10)]
106	390000	[(25641,45)]	471480		150000	176920	1860000	9100	[(25664, 20)]	1000	[(25685,30)]	360000	900000	[(26109,30)]	237600	[(26344,15),(25685,10)]
107	390000	[(25641,45)]	481740		150000	176920	1860000	9100	[(25664, 20)]	1000	[(25685,30)]	360000	900000	[(26109,30)]	237600	[(26344,15),(25685,10)]
108	390000	[(25641,45)]	492000		150000	176920	1860000	9100	[(25664, 20)]	1000	[(25685,30)]	360000	900000	[(26109,30)]	237600	[(26344,15),(25685,10)]
109	390000	[(25641,45)]	502230		150000	176920	1860000	9100	[(25664, 20)]	1000	[(25685,30)]	360000	900000	[(26109,30)]	237600	[(26344,15),(25685,10)]
110	390000	[(25641,45)]	522750		150000	176920	1860000	9100	[(25664, 20)]	1000	[(25685,30)]	360000	900000	[(26109,30)]	237600	[(26344,15),(25685,10)]
111	390000	[(25641,45)]	532980		150000	176920	1860000	9100	[(25664, 20)]	1000	[(25685,30)]	360000	900000	[(26109,30)]	238800	[(26344,15),(25685,10)]
112	390000	[(25641,45)]	543240		150000	176920	1860000	9100	[(25664, 20)]	1000	[(25685,30)]	360000	900000	[(26109,30)]	238800	[(26344,15),(25685,10)]
113	390000	[(25641,45)]	553500		150000	176920	1860000	9100	[(25664, 20)]	1000	[(25685,30)]	360000	900000	[(26109,30)]	238800	[(26344,15),(25685,10)]
114	390000	[(25641,45)]	563730		150000	176920	1860000	9100	[(25664, 20)]	1000	[(25685,30)]	360000	900000	[(26109,30)]	238800	[(26344,15),(25685,10)]
115	390000	[(25641,45)]	573990		150000	176920	1860000	9100	[(25664, 20)]	1000	[(25685,30)]	360000	900000	[(26109,30)]	238800	[(26344,15),(25685,10)]
116	390000	[(25641,45)]	584250		150000	176920	1860000	9100	[(25664, 20)]	1000	[(25685,30)]	360000	900000	[(26109,30)]	238800	[(26344,15),(25685,10)]
117	390000	[(25641,45)]	594480		150000	176920	1860000	9100	[(25664, 20)]	1000	[(25685,30)]	360000	900000	[(26109,30)]	238800	[(26344,15),(25685,10)]
118	390000	[(25641,45)]	604740		150000	176920	1860000	9100	[(25664, 20)]	1000	[(25685,30)]	360000	900000	[(26109,30)]	238800	[(26344,15),(25685,10)]
119	390000	[(25641,45)]	615000		150000	176920	1860000	9100	[(25664, 20)]	1000	[(25685,30)]	360000	900000	[(26109,30)]	238800	[(26344,15),(25685,10)]
120	540000	[(25641,54)]	609990		180000	200000	2160000	15700	[(25665,20)]	1000	[(25686,30)]	540000	1200000	[(26615,30)]	271200	[(26344,15),(25686,10)]
121	540000	[(25641,54)]	618000		180000	200000	2160000	15700	[(25665,20)]	1000	[(25686,30)]	540000	1200000	[(26615,30)]	272400	[(26344,15),(25686,10)]
122	540000	[(25641,54)]	625980		180000	200000	2160000	15700	[(25665,20)]	1000	[(25686,30)]	540000	1200000	[(26615,30)]	274800	[(26344,15),(25686,10)]
123	540000	[(25641,54)]	633990		180000	200000	2160000	15700	[(25665,20)]	1000	[(25686,30)]	540000	1200000	[(26615,30)]	277200	[(26344,15),(25686,10)]
124	540000	[(25641,54)]	642000		180000	200000	2160000	15700	[(25665,20)]	1000	[(25686,30)]	540000	1200000	[(26615,30)]	277200	[(26344,15),(25686,10)]
125	540000	[(25641,54)]	649980		180000	200000	2160000	15700	[(25665,20)]	1000	[(25686,30)]	540000	1200000	[(26615,30)]	277200	[(26344,15),(25686,10)]
126	540000	[(25641,54)]	657990		180000	200000	2160000	15700	[(25665,20)]	1000	[(25686,30)]	540000	1200000	[(26615,30)]	277200	[(26344,15),(25686,10)]
127	540000	[(25641,54)]	666000		180000	200000	2160000	15700	[(25665,20)]	1000	[(25686,30)]	540000	1200000	[(26615,30)]	277200	[(26344,15),(25686,10)]
128	540000	[(25641,54)]	673980		180000	200000	2160000	15700	[(25665,20)]	1000	[(25686,30)]	540000	1200000	[(26615,30)]	277200	[(26344,15),(25686,10)]
129	540000	[(25641,54)]	681990		180000	200000	2160000	15700	[(25665,20)]	1000	[(25686,30)]	540000	1200000	[(26615,30)]	277200	[(26344,15),(25686,10)]
130	540000	[(25641,54)]	690000		180000	200000	2160000	15700	[(25665,20)]	1000	[(25686,30)]	540000	1200000	[(26615,30)]	277200	[(26344,15),(25686,10)]
131	540000	[(25641,54)]	697980		180000	200000	2160000	15700	[(25665,20)]	1000	[(25686,30)]	540000	1200000	[(26615,30)]	277200	[(26344,15),(25686,10)]
132	540000	[(25641,54)]	705990		180000	200000	2160000	15700	[(25665,20)]	1000	[(25686,30)]	540000	1200000	[(26615,30)]	277200	[(26344,15),(25686,10)]
133	540000	[(25641,54)]	714000		180000	200000	2160000	15700	[(25665,20)]	1000	[(25686,30)]	540000	1200000	[(26615,30)]	277200	[(26344,15),(25686,10)]
134	540000	[(25641,54)]	721980		180000	200000	2160000	15700	[(25665,20)]	1000	[(25686,30)]	540000	1200000	[(26615,30)]	277200	[(26344,15),(25686,10)]
135	540000	[(25641,54)]	729990		180000	200000	2160000	15700	[(25665,20)]	1000	[(25686,30)]	540000	1200000	[(26615,30)]	277200	[(26344,15),(25686,10)]
136	540000	[(25641,54)]	738000		180000	200000	2160000	15700	[(25665,20)]	1000	[(25686,30)]	540000	1200000	[(26615,30)]	277200	[(26344,15),(25686,10)]
137	540000	[(25641,54)]	745980		180000	200000	2160000	15700	[(25665,20)]	1000	[(25686,30)]	540000	1200000	[(26615,30)]	277200	[(26344,15),(25686,10)]
138	540000	[(25641,54)]	753990		180000	200000	2160000	15700	[(25665,20)]	1000	[(25686,30)]	540000	1200000	[(26615,30)]	277200	[(26344,15),(25686,10)]
139	540000	[(25641,54)]	762000		180000	200000	2160000	15700	[(25665,20)]	1000	[(25686,30)]	540000	1200000	[(26615,30)]	277200	[(26344,15),(25686,10)]
140	600000	[(25641,60)]	769980		215000	255000	2560000	19000	[(27048,20)]	1000	[(26607,30)]	720000	1500000	[(27074,30)]	307200	[(26344,15),(26607,10)]
141	600000	[(25641,60)]	777990		215000	255000	2560000	19000	[(27048,20)]	1000	[(26607,30)]	720000	1500000	[(27074,30)]	315600	[(26344,15),(26607,10)]
142	600000	[(25641,60)]	786000		215000	255000	2560000	19000	[(27048,20)]	1000	[(26607,30)]	720000	1500000	[(27074,30)]	324000	[(26344,15),(26607,10)]
143	600000	[(25641,60)]	793980		215000	255000	2560000	19000	[(27048,20)]	1000	[(26607,30)]	720000	1500000	[(27074,30)]	332400	[(26344,15),(26607,10)]
144	600000	[(25641,60)]	801990		215000	255000	2560000	19000	[(27048,20)]	1000	[(26607,30)]	720000	1500000	[(27074,30)]	332400	[(26344,15),(26607,10)]
145	600000	[(25641,60)]	810990		215000	255000	2560000	19000	[(27048,20)]	1000	[(26607,30)]	720000	1500000	[(27074,30)]	332400	[(26344,15),(26607,10)]
146	600000	[(25641,60)]	819990		215000	255000	2560000	19000	[(27048,20)]	1000	[(26607,30)]	720000	1500000	[(27074,30)]	332400	[(26344,15),(26607,10)]
147	600000	[(25641,60)]	828990		215000	255000	2560000	19000	[(27048,20)]	1000	[(26607,30)]	720000	1500000	[(27074,30)]	332400	[(26344,15),(26607,10)]
148	600000	[(25641,60)]	837990		215000	255000	2560000	19000	[(27048,20)]	1000	[(26607,30)]	720000	1500000	[(27074,30)]	332400	[(26344,15),(26607,10)]
149	600000	[(25641,60)]	846990		215000	255000	2560000	19000	[(27048,20)]	1000	[(26607,30)]	720000	1500000	[(27074,30)]	332400	[(26344,15),(26607,10)]
150	600000	[(25641,60)]	855990		215000	255000	2560000	19000	[(27048,20)]	1000	[(26607,30)]	720000	1500000	[(27074,30)]	332400	[(26344,15),(26607,10)]
151	600000	[(25641,60)]	864990		215000	255000	2560000	19000	[(27048,20)]	1000	[(26607,30)]	720000	1500000	[(27074,30)]	332400	[(26344,15),(26607,10)]
152	600000	[(25641,60)]	873990		215000	255000	2560000	19000	[(27048,20)]	1000	[(26607,30)]	720000	1500000	[(27074,30)]	332400	[(26344,15),(26607,10)]
153	600000	[(25641,60)]	882990		215000	255000	2560000	19000	[(27048,20)]	1000	[(26607,30)]	720000	1500000	[(27074,30)]	332400	[(26344,15),(26607,10)]
154	600000	[(25641,60)]	891990		215000	255000	2560000	19000	[(27048,20)]	1000	[(26607,30)]	720000	1500000	[(27074,30)]	332400	[(26344,15),(26607,10)]
155	600000	[(25641,60)]	900990		215000	255000	2560000	19000	[(27048,20)]	1000	[(26607,30)]	720000	1500000	[(27074,30)]	332400	[(26344,15),(26607,10)]
156	600000	[(25641,60)]	909990		215000	255000	2560000	19000	[(27048,20)]	1000	[(26607,30)]	720000	1500000	[(27074,30)]	332400	[(26344,15),(26607,10)]
157	600000	[(25641,60)]	918990		215000	255000	2560000	19000	[(27048,20)]	1000	[(26607,30)]	720000	1500000	[(27074,30)]	333600	[(26344,15),(26607,10)]
158	600000	[(25641,60)]	927990		215000	255000	2560000	19000	[(27048,20)]	1000	[(26607,30)]	720000	1500000	[(27074,30)]	333600	[(26344,15),(26607,10)]
159	600000	[(25641,60)]	936990		215000	255000	2560000	19000	[(27048,20)]	1000	[(26607,30)]	720000	1500000	[(27074,30)]	333600	[(26344,15),(26607,10)]
160	600000	[(25641,60)]	942000		250000	279000	2760000	21000	[(27904,20)]	1000	[(27066,30)]	840000	1800000	[(27925,30)]	364800	[(26344,15),(27066,10)]
161	600000	[(25641,60)]	946980		250000	279000	2760000	21000	[(27904,20)]	1000	[(27066,30)]	840000	1800000	[(27925,30)]	364800	[(26344,15),(27066,10)]
162	600000	[(25641,60)]	951990		250000	279000	2760000	21000	[(27904,20)]	1000	[(27066,30)]	840000	1800000	[(27925,30)]	364800	[(26344,15),(27066,10)]
163	600000	[(25641,60)]	957000		250000	279000	2760000	21000	[(27904,20)]	1000	[(27066,30)]	840000	1800000	[(27925,30)]	364800	[(26344,15),(27066,10)]
164	600000	[(25641,60)]	961980		250000	279000	2760000	21000	[(27904,20)]	1000	[(27066,30)]	840000	1800000	[(27925,30)]	364800	[(26344,15),(27066,10)]
165	600000	[(25641,60)]	966990		250000	279000	2760000	21000	[(27904,20)]	1000	[(27066,30)]	840000	1800000	[(27925,30)]	364800	[(26344,15),(27066,10)]
166	600000	[(25641,60)]	972000		250000	279000	2760000	21000	[(27904,20)]	1000	[(27066,30)]	840000	1800000	[(27925,30)]	364800	[(26344,15),(27066,10)]
167	600000	[(25641,60)]	976980		250000	279000	2760000	21000	[(27904,20)]	1000	[(27066,30)]	840000	1800000	[(27925,30)]	364800	[(26344,15),(27066,10)]
168	600000	[(25641,60)]	981990		250000	279000	2760000	21000	[(27904,20)]	1000	[(27066,30)]	840000	1800000	[(27925,30)]	364800	[(26344,15),(27066,10)]
169	600000	[(25641,60)]	987000		250000	279000	2760000	21000	[(27904,20)]	1000	[(27066,30)]	840000	1800000	[(27925,30)]	364800	[(26344,15),(27066,10)]
170	600000	[(25641,60)]	991980		250000	279000	2760000	21000	[(27904,20)]	1000	[(27066,30)]	840000	1800000	[(27925,30)]	364800	[(26344,15),(27066,10)]
171	600000	[(25641,60)]	996990		250000	279000	2760000	21000	[(27904,20)]	1000	[(27066,30)]	840000	1800000	[(27925,30)]	364800	[(26344,15),(27066,10)]
172	600000	[(25641,60)]	1002000		250000	279000	2760000	21000	[(27904,20)]	1000	[(27066,30)]	840000	1800000	[(27925,30)]	364800	[(26344,15),(27066,10)]
173	600000	[(25641,60)]	1006980		250000	279000	2760000	21000	[(27904,20)]	1000	[(27066,30)]	840000	1800000	[(27925,30)]	364800	[(26344,15),(27066,10)]
174	600000	[(25641,60)]	1011990		250000	279000	2760000	21000	[(27904,20)]	1000	[(27066,30)]	840000	1800000	[(27925,30)]	364800	[(26344,15),(27066,10)]
175	600000	[(25641,60)]	1017000		250000	279000	2760000	21000	[(27904,20)]	1000	[(27066,30)]	840000	1800000	[(27925,30)]	364800	[(26344,15),(27066,10)]
176	600000	[(25641,60)]	1021980		250000	279000	2760000	21000	[(27904,20)]	1000	[(27066,30)]	840000	1800000	[(27925,30)]	364800	[(26344,15),(27066,10)]
177	600000	[(25641,60)]	1026990		250000	279000	2760000	21000	[(27904,20)]	1000	[(27066,30)]	840000	1800000	[(27925,30)]	364800	[(26344,15),(27066,10)]
178	600000	[(25641,60)]	1032000		250000	279000	2760000	21000	[(27904,20)]	1000	[(27066,30)]	840000	1800000	[(27925,30)]	364800	[(26344,15),(27066,10)]
179	600000	[(25641,60)]	1036980		250000	279000	2760000	21000	[(27904,20)]	1000	[(27066,30)]	840000	1800000	[(27925,30)]	364800	[(26344,15),(27066,10)]
