level	exp_f_exp	exp_f_items	qna_f_money	qna_f_items	df_f_exp	df_f_money	hw_f_money	hw_f_reputation	hw_f_items	jjc_f_reputation	jjc_f_items	daytask_f_exp	daytask_f_money	daytask_f_items	dl_f_exp	cfb_f_items
40	156000	[(25638,45)]	196854		96460	130760	525000	2380	[(25661,28)]	1400	[(25682,42)]	105000	210000	[(26106,21)]	92400	[(26344,7),(25682,14)]
41	156000	[(25638,45)]	199038		96460	130760	525000	2380	[(25661,28)]	1400	[(25682,42)]	105000	210000	[(26106,21)]	99120	[(26344,7),(25682,14)]
42	156000	[(25638,45)]	201222		96460	130760	525000	2380	[(25661,28)]	1400	[(25682,42)]	105000	210000	[(26106,21)]	110880	[(26344,7),(25682,14)]
43	156000	[(25638,45)]	203406		96460	130760	525000	2380	[(25661,28)]	1400	[(25682,42)]	105000	210000	[(26106,21)]	119280	[(26344,7),(25682,14)]
44	156000	[(25638,45)]	205590		96460	130760	525000	2380	[(25661,28)]	1400	[(25682,42)]	105000	210000	[(26106,21)]	119280	[(26344,7),(25682,14)]
45	156000	[(25638,45)]	207774		96460	130760	525000	2380	[(25661,28)]	1400	[(25682,42)]	105000	210000	[(26106,21)]	119280	[(26344,7),(25682,14)]
46	156000	[(25638,45)]	210000		96460	130760	525000	2380	[(25661,28)]	1400	[(25682,42)]	105000	210000	[(26106,21)]	120960	[(26344,7),(25682,14)]
47	156000	[(25638,45)]	212184		96460	130760	525000	2380	[(25661,28)]	1400	[(25682,42)]	105000	210000	[(26106,21)]	120960	[(26344,7),(25682,14)]
48	156000	[(25638,45)]	214368		96460	130760	525000	2380	[(25661,28)]	1400	[(25682,42)]	105000	210000	[(26106,21)]	120960	[(26344,7),(25682,14)]
49	156000	[(25638,45)]	216552		96460	130760	525000	2380	[(25661,28)]	1400	[(25682,42)]	105000	210000	[(26106,21)]	120960	[(26344,7),(25682,14)]
50	156000	[(25638,45)]	220920		96460	130760	525000	2380	[(25661,28)]	1400	[(25682,42)]	105000	210000	[(26106,21)]	120960	[(26344,7),(25682,14)]
51	156000	[(25638,45)]	223104		96460	130760	525000	2380	[(25661,28)]	1400	[(25682,42)]	105000	210000	[(26106,21)]	120960	[(26344,7),(25682,14)]
52	156000	[(25638,45)]	225288		96460	130760	525000	2380	[(25661,28)]	1400	[(25682,42)]	105000	210000	[(26106,21)]	120960	[(26344,7),(25682,14)]
53	156000	[(25638,45)]	227472		96460	130760	525000	2380	[(25661,28)]	1400	[(25682,42)]	105000	210000	[(26106,21)]	120960	[(26344,7),(25682,14)]
54	156000	[(25638,45)]	229656		96460	130760	525000	2380	[(25661,28)]	1400	[(25682,42)]	105000	210000	[(26106,21)]	120960	[(26344,7),(25682,14)]
55	156000	[(25638,45)]	231840		96460	130760	525000	2380	[(25661,28)]	1400	[(25682,42)]	105000	210000	[(26106,21)]	120960	[(26344,7),(25682,14)]
56	156000	[(25638,45)]	234024		96460	130760	525000	2380	[(25661,28)]	1400	[(25682,42)]	105000	210000	[(26106,21)]	120960	[(26344,7),(25682,14)]
57	156000	[(25638,45)]	236250		96460	130760	525000	2380	[(25661,28)]	1400	[(25682,42)]	105000	210000	[(26106,21)]	120960	[(26344,7),(25682,14)]
58	156000	[(25638,45)]	238434		96460	130760	525000	2380	[(25661,28)]	1400	[(25682,42)]	105000	210000	[(26106,21)]	120960	[(26344,7),(25682,14)]
59	156000	[(25638,45)]	240618		96460	130760	525000	2380	[(25661,28)]	1400	[(25682,42)]	105000	210000	[(26106,21)]	120960	[(26344,7),(25682,14)]
60	232500	[(25639,45)]	244104		137760	165200	1015000	4655	[(25662,28)]	1400	[(25683,42)]	210000	420000	[(26107,42)]	154560	[(26344,11),(25683,14)]
61	232500	[(25639,45)]	246834		137760	165200	1015000	4655	[(25662,28)]	1400	[(25683,42)]	210000	420000	[(26107,42)]	161280	[(26344,11),(25683,14)]
62	232500	[(25639,45)]	249522		137760	165200	1015000	4655	[(25662,28)]	1400	[(25683,42)]	210000	420000	[(26107,42)]	174720	[(26344,11),(25683,14)]
63	232500	[(25639,45)]	252252		137760	165200	1015000	4655	[(25662,28)]	1400	[(25683,42)]	210000	420000	[(26107,42)]	184800	[(26344,11),(25683,14)]
64	232500	[(25639,45)]	254940		137760	165200	1015000	4655	[(25662,28)]	1400	[(25683,42)]	210000	420000	[(26107,42)]	184800	[(26344,11),(25683,14)]
65	232500	[(25639,45)]	257670		137760	165200	1015000	4655	[(25662,28)]	1400	[(25683,42)]	210000	420000	[(26107,42)]	184800	[(26344,11),(25683,14)]
66	232500	[(25639,45)]	260400		137760	165200	1015000	4655	[(25662,28)]	1400	[(25683,42)]	210000	420000	[(26107,42)]	184800	[(26344,11),(25683,14)]
67	232500	[(25639,45)]	263088		137760	165200	1015000	4655	[(25662,28)]	1400	[(25683,42)]	210000	420000	[(26107,42)]	184800	[(26344,11),(25683,14)]
68	232500	[(25639,45)]	265818		137760	165200	1015000	4655	[(25662,28)]	1400	[(25683,42)]	210000	420000	[(26107,42)]	184800	[(26344,11),(25683,14)]
69	232500	[(25639,45)]	268506		137760	165200	1015000	4655	[(25662,28)]	1400	[(25683,42)]	210000	420000	[(26107,42)]	184800	[(26344,11),(25683,14)]
70	232500	[(25639,45)]	273924		137760	165200	1015000	4655	[(25662,28)]	1400	[(25683,42)]	210000	420000	[(26107,42)]	186480	[(26344,11),(25683,14)]
71	232500	[(25639,45)]	276654		137760	165200	1015000	4655	[(25662,28)]	1400	[(25683,42)]	210000	420000	[(26107,42)]	186480	[(26344,11),(25683,14)]
72	232500	[(25639,45)]	279384		137760	165200	1015000	4655	[(25662,28)]	1400	[(25683,42)]	210000	420000	[(26107,42)]	186480	[(26344,11),(25683,14)]
73	232500	[(25639,45)]	282072		137760	165200	1015000	4655	[(25662,28)]	1400	[(25683,42)]	210000	420000	[(26107,42)]	186480	[(26344,11),(25683,14)]
74	232500	[(25639,45)]	284802		137760	165200	1015000	4655	[(25662,28)]	1400	[(25683,42)]	210000	420000	[(26107,42)]	186480	[(26344,11),(25683,14)]
75	232500	[(25639,45)]	287490		137760	165200	1015000	4655	[(25662,28)]	1400	[(25683,42)]	210000	420000	[(26107,42)]	186480	[(26344,11),(25683,14)]
76	232500	[(25639,45)]	290220		137760	165200	1015000	4655	[(25662,28)]	1400	[(25683,42)]	210000	420000	[(26107,42)]	186480	[(26344,11),(25683,14)]
77	232500	[(25639,45)]	292950		137760	165200	1015000	4655	[(25662,28)]	1400	[(25683,42)]	210000	420000	[(26107,42)]	186480	[(26344,11),(25683,14)]
78	232500	[(25639,45)]	295638		137760	165200	1015000	4655	[(25662,28)]	1400	[(25683,42)]	210000	420000	[(26107,42)]	186480	[(26344,11),(25683,14)]
79	232500	[(25639,45)]	298368		137760	165200	1015000	4655	[(25662,28)]	1400	[(25683,42)]	210000	420000	[(26107,42)]	186480	[(26344,11),(25683,14)]
80	309000	[(25640,45)]	301350		168000	206500	1575000	8890	[(25663,28)]	1400	[(25684,42)]	336000	840000	[(26108,42)]	208320	[(26344,17),(25684,14)]
81	309000	[(25640,45)]	314244		168000	206500	1575000	8890	[(25663,28)]	1400	[(25684,42)]	336000	840000	[(26108,42)]	216720	[(26344,17),(25684,14)]
82	309000	[(25640,45)]	327180		168000	206500	1575000	8890	[(25663,28)]	1400	[(25684,42)]	336000	840000	[(26108,42)]	230160	[(26344,17),(25684,14)]
83	309000	[(25640,45)]	340074		168000	206500	1575000	8890	[(25663,28)]	1400	[(25684,42)]	336000	840000	[(26108,42)]	240240	[(26344,17),(25684,14)]
84	309000	[(25640,45)]	353010		168000	206500	1575000	8890	[(25663,28)]	1400	[(25684,42)]	336000	840000	[(26108,42)]	240240	[(26344,17),(25684,14)]
85	309000	[(25640,45)]	365904		168000	206500	1575000	8890	[(25663,28)]	1400	[(25684,42)]	336000	840000	[(26108,42)]	240240	[(26344,17),(25684,14)]
86	309000	[(25640,45)]	378840		168000	206500	1575000	8890	[(25663,28)]	1400	[(25684,42)]	336000	840000	[(26108,42)]	240240	[(26344,17),(25684,14)]
87	309000	[(25640,45)]	391734		168000	206500	1575000	8890	[(25663,28)]	1400	[(25684,42)]	336000	840000	[(26108,42)]	240240	[(26344,17),(25684,14)]
88	309000	[(25640,45)]	404670		168000	206500	1575000	8890	[(25663,28)]	1400	[(25684,42)]	336000	840000	[(26108,42)]	240240	[(26344,17),(25684,14)]
89	309000	[(25640,45)]	417564		168000	206500	1575000	8890	[(25663,28)]	1400	[(25684,42)]	336000	840000	[(26108,42)]	240240	[(26344,17),(25684,14)]
90	309000	[(25640,45)]	443394		168000	206500	1575000	8890	[(25663,28)]	1400	[(25684,42)]	336000	840000	[(26108,42)]	240240	[(26344,17),(25684,14)]
91	309000	[(25640,45)]	456330		168000	206500	1575000	8890	[(25663,28)]	1400	[(25684,42)]	336000	840000	[(26108,42)]	240240	[(26344,17),(25684,14)]
92	309000	[(25640,45)]	469224		168000	206500	1575000	8890	[(25663,28)]	1400	[(25684,42)]	336000	840000	[(26108,42)]	240240	[(26344,17),(25684,14)]
93	309000	[(25640,45)]	482160		168000	206500	1575000	8890	[(25663,28)]	1400	[(25684,42)]	336000	840000	[(26108,42)]	240240	[(26344,17),(25684,14)]
94	309000	[(25640,45)]	495054		168000	206500	1575000	8890	[(25663,28)]	1400	[(25684,42)]	336000	840000	[(26108,42)]	240240	[(26344,17),(25684,14)]
95	309000	[(25640,45)]	507990		168000	206500	1575000	8890	[(25663,28)]	1400	[(25684,42)]	336000	840000	[(26108,42)]	240240	[(26344,17),(25684,14)]
96	309000	[(25640,45)]	520884		168000	206500	1575000	8890	[(25663,28)]	1400	[(25684,42)]	336000	840000	[(26108,42)]	240240	[(26344,17),(25684,14)]
97	309000	[(25640,45)]	533820		168000	206500	1575000	8890	[(25663,28)]	1400	[(25684,42)]	336000	840000	[(26108,42)]	240240	[(26344,17),(25684,14)]
98	309000	[(25640,45)]	546714		168000	206500	1575000	8890	[(25663,28)]	1400	[(25684,42)]	336000	840000	[(26108,42)]	241920	[(26344,17),(25684,14)]
99	309000	[(25640,45)]	559650		168000	206500	1575000	8890	[(25663,28)]	1400	[(25684,42)]	336000	840000	[(26108,42)]	241920	[(26344,17),(25684,14)]
100	390000	[(25641,45)]	573972		210000	247688	2604000	12740	[(25664,28)]	1400	[(25685,42)]	504000	1260000	[(26109,42)]	273840	[(26344,21),(25685,14)]
101	390000	[(25641,45)]	588336		210000	247688	2604000	12740	[(25664,28)]	1400	[(25685,42)]	504000	1260000	[(26109,42)]	294000	[(26344,21),(25685,14)]
102	390000	[(25641,45)]	602700		210000	247688	2604000	12740	[(25664,28)]	1400	[(25685,42)]	504000	1260000	[(26109,42)]	314160	[(26344,21),(25685,14)]
103	390000	[(25641,45)]	617022		210000	247688	2604000	12740	[(25664,28)]	1400	[(25685,42)]	504000	1260000	[(26109,42)]	332640	[(26344,21),(25685,14)]
104	390000	[(25641,45)]	631386		210000	247688	2604000	12740	[(25664,28)]	1400	[(25685,42)]	504000	1260000	[(26109,42)]	332640	[(26344,21),(25685,14)]
105	390000	[(25641,45)]	645750		210000	247688	2604000	12740	[(25664,28)]	1400	[(25685,42)]	504000	1260000	[(26109,42)]	332640	[(26344,21),(25685,14)]
106	390000	[(25641,45)]	660072		210000	247688	2604000	12740	[(25664,28)]	1400	[(25685,42)]	504000	1260000	[(26109,42)]	332640	[(26344,21),(25685,14)]
107	390000	[(25641,45)]	674436		210000	247688	2604000	12740	[(25664,28)]	1400	[(25685,42)]	504000	1260000	[(26109,42)]	332640	[(26344,21),(25685,14)]
108	390000	[(25641,45)]	688800		210000	247688	2604000	12740	[(25664,28)]	1400	[(25685,42)]	504000	1260000	[(26109,42)]	332640	[(26344,21),(25685,14)]
109	390000	[(25641,45)]	703122		210000	247688	2604000	12740	[(25664,28)]	1400	[(25685,42)]	504000	1260000	[(26109,42)]	332640	[(26344,21),(25685,14)]
110	390000	[(25641,45)]	731850		210000	247688	2604000	12740	[(25664,28)]	1400	[(25685,42)]	504000	1260000	[(26109,42)]	332640	[(26344,21),(25685,14)]
111	390000	[(25641,45)]	746172		210000	247688	2604000	12740	[(25664,28)]	1400	[(25685,42)]	504000	1260000	[(26109,42)]	334320	[(26344,21),(25685,14)]
112	390000	[(25641,45)]	760536		210000	247688	2604000	12740	[(25664,28)]	1400	[(25685,42)]	504000	1260000	[(26109,42)]	334320	[(26344,21),(25685,14)]
113	390000	[(25641,45)]	774900		210000	247688	2604000	12740	[(25664,28)]	1400	[(25685,42)]	504000	1260000	[(26109,42)]	334320	[(26344,21),(25685,14)]
114	390000	[(25641,45)]	789222		210000	247688	2604000	12740	[(25664,28)]	1400	[(25685,42)]	504000	1260000	[(26109,42)]	334320	[(26344,21),(25685,14)]
115	390000	[(25641,45)]	803586		210000	247688	2604000	12740	[(25664,28)]	1400	[(25685,42)]	504000	1260000	[(26109,42)]	334320	[(26344,21),(25685,14)]
116	390000	[(25641,45)]	817950		210000	247688	2604000	12740	[(25664,28)]	1400	[(25685,42)]	504000	1260000	[(26109,42)]	334320	[(26344,21),(25685,14)]
117	390000	[(25641,45)]	832272		210000	247688	2604000	12740	[(25664,28)]	1400	[(25685,42)]	504000	1260000	[(26109,42)]	334320	[(26344,21),(25685,14)]
118	390000	[(25641,45)]	846636		210000	247688	2604000	12740	[(25664,28)]	1400	[(25685,42)]	504000	1260000	[(26109,42)]	334320	[(26344,21),(25685,14)]
119	390000	[(25641,45)]	861000		210000	247688	2604000	12740	[(25664,28)]	1400	[(25685,42)]	504000	1260000	[(26109,42)]	334320	[(26344,21),(25685,14)]
120	540000	[(25641,54)]	853986		252000	280000	3024000	21980	[(25665,28)]	1400	[(25686,42)]	756000	1680000	[(26615,42)]	379680	[(26344,21),(25686,14)]
121	540000	[(25641,54)]	865200		252000	280000	3024000	21980	[(25665,28)]	1400	[(25686,42)]	756000	1680000	[(26615,42)]	381360	[(26344,21),(25686,14)]
122	540000	[(25641,54)]	876372		252000	280000	3024000	21980	[(25665,28)]	1400	[(25686,42)]	756000	1680000	[(26615,42)]	384720	[(26344,21),(25686,14)]
123	540000	[(25641,54)]	887586		252000	280000	3024000	21980	[(25665,28)]	1400	[(25686,42)]	756000	1680000	[(26615,42)]	388080	[(26344,21),(25686,14)]
124	540000	[(25641,54)]	898800		252000	280000	3024000	21980	[(25665,28)]	1400	[(25686,42)]	756000	1680000	[(26615,42)]	388080	[(26344,21),(25686,14)]
125	540000	[(25641,54)]	909972		252000	280000	3024000	21980	[(25665,28)]	1400	[(25686,42)]	756000	1680000	[(26615,42)]	388080	[(26344,21),(25686,14)]
126	540000	[(25641,54)]	921186		252000	280000	3024000	21980	[(25665,28)]	1400	[(25686,42)]	756000	1680000	[(26615,42)]	388080	[(26344,21),(25686,14)]
127	540000	[(25641,54)]	932400		252000	280000	3024000	21980	[(25665,28)]	1400	[(25686,42)]	756000	1680000	[(26615,42)]	388080	[(26344,21),(25686,14)]
128	540000	[(25641,54)]	943572		252000	280000	3024000	21980	[(25665,28)]	1400	[(25686,42)]	756000	1680000	[(26615,42)]	388080	[(26344,21),(25686,14)]
129	540000	[(25641,54)]	954786		252000	280000	3024000	21980	[(25665,28)]	1400	[(25686,42)]	756000	1680000	[(26615,42)]	388080	[(26344,21),(25686,14)]
130	540000	[(25641,54)]	966000		252000	280000	3024000	21980	[(25665,28)]	1400	[(25686,42)]	756000	1680000	[(26615,42)]	388080	[(26344,21),(25686,14)]
131	540000	[(25641,54)]	977172		252000	280000	3024000	21980	[(25665,28)]	1400	[(25686,42)]	756000	1680000	[(26615,42)]	388080	[(26344,21),(25686,14)]
132	540000	[(25641,54)]	988386		252000	280000	3024000	21980	[(25665,28)]	1400	[(25686,42)]	756000	1680000	[(26615,42)]	388080	[(26344,21),(25686,14)]
133	540000	[(25641,54)]	999600		252000	280000	3024000	21980	[(25665,28)]	1400	[(25686,42)]	756000	1680000	[(26615,42)]	388080	[(26344,21),(25686,14)]
134	540000	[(25641,54)]	1010772		252000	280000	3024000	21980	[(25665,28)]	1400	[(25686,42)]	756000	1680000	[(26615,42)]	388080	[(26344,21),(25686,14)]
135	540000	[(25641,54)]	1021986		252000	280000	3024000	21980	[(25665,28)]	1400	[(25686,42)]	756000	1680000	[(26615,42)]	388080	[(26344,21),(25686,14)]
136	540000	[(25641,54)]	1033200		252000	280000	3024000	21980	[(25665,28)]	1400	[(25686,42)]	756000	1680000	[(26615,42)]	388080	[(26344,21),(25686,14)]
137	540000	[(25641,54)]	1044372		252000	280000	3024000	21980	[(25665,28)]	1400	[(25686,42)]	756000	1680000	[(26615,42)]	388080	[(26344,21),(25686,14)]
138	540000	[(25641,54)]	1055586		252000	280000	3024000	21980	[(25665,28)]	1400	[(25686,42)]	756000	1680000	[(26615,42)]	388080	[(26344,21),(25686,14)]
139	540000	[(25641,54)]	1066800		252000	280000	3024000	21980	[(25665,28)]	1400	[(25686,42)]	756000	1680000	[(26615,42)]	388080	[(26344,21),(25686,14)]
140	600000	[(25641,60)]	1077972		301000	357000	3584000	26600	[(27048,28)]	1400	[(26607,42)]	1008000	2100000	[(27074,42)]	430080	[(26344,21),(26607,14)]
141	600000	[(25641,60)]	1089186		301000	357000	3584000	26600	[(27048,28)]	1400	[(26607,42)]	1008000	2100000	[(27074,42)]	441840	[(26344,21),(26607,14)]
142	600000	[(25641,60)]	1100400		301000	357000	3584000	26600	[(27048,28)]	1400	[(26607,42)]	1008000	2100000	[(27074,42)]	453600	[(26344,21),(26607,14)]
143	600000	[(25641,60)]	1111572		301000	357000	3584000	26600	[(27048,28)]	1400	[(26607,42)]	1008000	2100000	[(27074,42)]	465360	[(26344,21),(26607,14)]
144	600000	[(25641,60)]	1122786		301000	357000	3584000	26600	[(27048,28)]	1400	[(26607,42)]	1008000	2100000	[(27074,42)]	465360	[(26344,21),(26607,14)]
145	600000	[(25641,60)]	1135386		301000	357000	3584000	26600	[(27048,28)]	1400	[(26607,42)]	1008000	2100000	[(27074,42)]	465360	[(26344,21),(26607,14)]
146	600000	[(25641,60)]	1147986		301000	357000	3584000	26600	[(27048,28)]	1400	[(26607,42)]	1008000	2100000	[(27074,42)]	465360	[(26344,21),(26607,14)]
147	600000	[(25641,60)]	1160586		301000	357000	3584000	26600	[(27048,28)]	1400	[(26607,42)]	1008000	2100000	[(27074,42)]	465360	[(26344,21),(26607,14)]
148	600000	[(25641,60)]	1173186		301000	357000	3584000	26600	[(27048,28)]	1400	[(26607,42)]	1008000	2100000	[(27074,42)]	465360	[(26344,21),(26607,14)]
149	600000	[(25641,60)]	1185786		301000	357000	3584000	26600	[(27048,28)]	1400	[(26607,42)]	1008000	2100000	[(27074,42)]	465360	[(26344,21),(26607,14)]
150	600000	[(25641,60)]	1198386		301000	357000	3584000	26600	[(27048,28)]	1400	[(26607,42)]	1008000	2100000	[(27074,42)]	465360	[(26344,21),(26607,14)]
151	600000	[(25641,60)]	1210986		301000	357000	3584000	26600	[(27048,28)]	1400	[(26607,42)]	1008000	2100000	[(27074,42)]	465360	[(26344,21),(26607,14)]
152	600000	[(25641,60)]	1223586		301000	357000	3584000	26600	[(27048,28)]	1400	[(26607,42)]	1008000	2100000	[(27074,42)]	465360	[(26344,21),(26607,14)]
153	600000	[(25641,60)]	1236186		301000	357000	3584000	26600	[(27048,28)]	1400	[(26607,42)]	1008000	2100000	[(27074,42)]	465360	[(26344,21),(26607,14)]
154	600000	[(25641,60)]	1248786		301000	357000	3584000	26600	[(27048,28)]	1400	[(26607,42)]	1008000	2100000	[(27074,42)]	465360	[(26344,21),(26607,14)]
155	600000	[(25641,60)]	1261386		301000	357000	3584000	26600	[(27048,28)]	1400	[(26607,42)]	1008000	2100000	[(27074,42)]	465360	[(26344,21),(26607,14)]
156	600000	[(25641,60)]	1273986		301000	357000	3584000	26600	[(27048,28)]	1400	[(26607,42)]	1008000	2100000	[(27074,42)]	465360	[(26344,21),(26607,14)]
157	600000	[(25641,60)]	1286586		301000	357000	3584000	26600	[(27048,28)]	1400	[(26607,42)]	1008000	2100000	[(27074,42)]	467040	[(26344,21),(26607,14)]
158	600000	[(25641,60)]	1299186		301000	357000	3584000	26600	[(27048,28)]	1400	[(26607,42)]	1008000	2100000	[(27074,42)]	467040	[(26344,21),(26607,14)]
159	600000	[(25641,60)]	1311786		301000	357000	3584000	26600	[(27048,28)]	1400	[(26607,42)]	1008000	2100000	[(27074,42)]	467040	[(26344,21),(26607,14)]
160	600000	[(25641,60)]	1318800		350000	390600	3864000	29400	[(27904,28)]	1400	[(27066,42)]	1176000	2520000	[(27925,42)]	510720	[(26344,21),(27066,14)]
161	600000	[(25641,60)]	1325772		350000	390600	3864000	29400	[(27904,28)]	1400	[(27066,42)]	1176000	2520000	[(27925,42)]	527520	[(26344,21),(27066,14)]
162	600000	[(25641,60)]	1332786		350000	390600	3864000	29400	[(27904,28)]	1400	[(27066,42)]	1176000	2520000	[(27925,42)]	542640	[(26344,21),(27066,14)]
163	600000	[(25641,60)]	1339800		350000	390600	3864000	29400	[(27904,28)]	1400	[(27066,42)]	1176000	2520000	[(27925,42)]	557760	[(26344,21),(27066,14)]
164	600000	[(25641,60)]	1346772		350000	390600	3864000	29400	[(27904,28)]	1400	[(27066,42)]	1176000	2520000	[(27925,42)]	557760	[(26344,21),(27066,14)]
165	600000	[(25641,60)]	1353786		350000	390600	3864000	29400	[(27904,28)]	1400	[(27066,42)]	1176000	2520000	[(27925,42)]	557760	[(26344,21),(27066,14)]
166	600000	[(25641,60)]	1360800		350000	390600	3864000	29400	[(27904,28)]	1400	[(27066,42)]	1176000	2520000	[(27925,42)]	557760	[(26344,21),(27066,14)]
167	600000	[(25641,60)]	1367772		350000	390600	3864000	29400	[(27904,28)]	1400	[(27066,42)]	1176000	2520000	[(27925,42)]	557760	[(26344,21),(27066,14)]
168	600000	[(25641,60)]	1374786		350000	390600	3864000	29400	[(27904,28)]	1400	[(27066,42)]	1176000	2520000	[(27925,42)]	557760	[(26344,21),(27066,14)]
169	600000	[(25641,60)]	1381800		350000	390600	3864000	29400	[(27904,28)]	1400	[(27066,42)]	1176000	2520000	[(27925,42)]	557760	[(26344,21),(27066,14)]
170	600000	[(25641,60)]	1388772		350000	390600	3864000	29400	[(27904,28)]	1400	[(27066,42)]	1176000	2520000	[(27925,42)]	559440	[(26344,21),(27066,14)]
171	600000	[(25641,60)]	1395786		350000	390600	3864000	29400	[(27904,28)]	1400	[(27066,42)]	1176000	2520000	[(27925,42)]	559440	[(26344,21),(27066,14)]
172	600000	[(25641,60)]	1402800		350000	390600	3864000	29400	[(27904,28)]	1400	[(27066,42)]	1176000	2520000	[(27925,42)]	559440	[(26344,21),(27066,14)]
173	600000	[(25641,60)]	1409772		350000	390600	3864000	29400	[(27904,28)]	1400	[(27066,42)]	1176000	2520000	[(27925,42)]	559440	[(26344,21),(27066,14)]
174	600000	[(25641,60)]	1416786		350000	390600	3864000	29400	[(27904,28)]	1400	[(27066,42)]	1176000	2520000	[(27925,42)]	559440	[(26344,21),(27066,14)]
175	600000	[(25641,60)]	1423800		350000	390600	3864000	29400	[(27904,28)]	1400	[(27066,42)]	1176000	2520000	[(27925,42)]	559440	[(26344,21),(27066,14)]
176	600000	[(25641,60)]	1430772		350000	390600	3864000	29400	[(27904,28)]	1400	[(27066,42)]	1176000	2520000	[(27925,42)]	559440	[(26344,21),(27066,14)]
177	600000	[(25641,60)]	1437786		350000	390600	3864000	29400	[(27904,28)]	1400	[(27066,42)]	1176000	2520000	[(27925,42)]	559440	[(26344,21),(27066,14)]
178	600000	[(25641,60)]	1444800		350000	390600	3864000	29400	[(27904,28)]	1400	[(27066,42)]	1176000	2520000	[(27925,42)]	559440	[(26344,21),(27066,14)]
179	600000	[(25641,60)]	1451772		350000	390600	3864000	29400	[(27904,28)]	1400	[(27066,42)]	1176000	2520000	[(27925,42)]	559440	[(26344,21),(27066,14)]
