level	vipType	exp_f_exp	exp_f_items	qna_f_money	qna_f_items	df_f_exp	df_f_money	hw_f_money	hw_f_reputation	hw_f_items	jjc_f_reputation	jjc_f_items	daytask_f_exp	daytask_f_money	daytask_f_items	dl_f_exp	cfb_f_items
82	1	463500	[(25640,67)]	420660		216000	265500	2025000	11430	[(25663,36)]	1800	[(25684,54)]	432000	1080000	[(26108,57)]	295920	[(26344,21),(25684,18)]
83	1	463500	[(25640,67)]	437238		216000	265500	2025000	11430	[(25663,36)]	1800	[(25684,54)]	432000	1080000	[(26108,57)]	308880	[(26344,21),(25684,18)]
84	1	463500	[(25640,67)]	453870		216000	265500	2025000	11430	[(25663,36)]	1800	[(25684,54)]	432000	1080000	[(26108,57)]	308880	[(26344,21),(25684,18)]
85	1	463500	[(25640,67)]	470448		216000	265500	2025000	11430	[(25663,36)]	1800	[(25684,54)]	432000	1080000	[(26108,57)]	308880	[(26344,21),(25684,18)]
86	1	463500	[(25640,67)]	487080		216000	265500	2025000	11430	[(25663,36)]	1800	[(25684,54)]	432000	1080000	[(26108,57)]	308880	[(26344,21),(25684,18)]
87	1	463500	[(25640,67)]	503658		216000	265500	2025000	11430	[(25663,36)]	1800	[(25684,54)]	432000	1080000	[(26108,57)]	308880	[(26344,21),(25684,18)]
88	1	463500	[(25640,67)]	520290		216000	265500	2025000	11430	[(25663,36)]	1800	[(25684,54)]	432000	1080000	[(26108,57)]	308880	[(26344,21),(25684,18)]
89	1	463500	[(25640,67)]	536868		216000	265500	2025000	11430	[(25663,36)]	1800	[(25684,54)]	432000	1080000	[(26108,57)]	308880	[(26344,21),(25684,18)]
90	1	463500	[(25640,67)]	570078		216000	265500	2025000	11430	[(25663,36)]	1800	[(25684,54)]	432000	1080000	[(26108,57)]	308880	[(26344,21),(25684,18)]
91	1	463500	[(25640,67)]	586710		216000	265500	2025000	11430	[(25663,36)]	1800	[(25684,54)]	432000	1080000	[(26108,57)]	308880	[(26344,21),(25684,18)]
92	1	463500	[(25640,67)]	603288		216000	265500	2025000	11430	[(25663,36)]	1800	[(25684,54)]	432000	1080000	[(26108,57)]	308880	[(26344,21),(25684,18)]
93	1	463500	[(25640,67)]	619920		216000	265500	2025000	11430	[(25663,36)]	1800	[(25684,54)]	432000	1080000	[(26108,57)]	308880	[(26344,21),(25684,18)]
94	1	463500	[(25640,67)]	636498		216000	265500	2025000	11430	[(25663,36)]	1800	[(25684,54)]	432000	1080000	[(26108,57)]	308880	[(26344,21),(25684,18)]
95	1	463500	[(25640,67)]	653130		216000	265500	2025000	11430	[(25663,36)]	1800	[(25684,54)]	432000	1080000	[(26108,57)]	308880	[(26344,21),(25684,18)]
96	1	463500	[(25640,67)]	669708		216000	265500	2025000	11430	[(25663,36)]	1800	[(25684,54)]	432000	1080000	[(26108,57)]	308880	[(26344,21),(25684,18)]
97	1	463500	[(25640,67)]	686340		216000	265500	2025000	11430	[(25663,36)]	1800	[(25684,54)]	432000	1080000	[(26108,57)]	308880	[(26344,21),(25684,18)]
98	1	463500	[(25640,67)]	702918		216000	265500	2025000	11430	[(25663,36)]	1800	[(25684,54)]	432000	1080000	[(26108,57)]	311040	[(26344,21),(25684,18)]
99	1	463500	[(25640,67)]	719550		216000	265500	2025000	11430	[(25663,36)]	1800	[(25684,54)]	432000	1080000	[(26108,57)]	311040	[(26344,21),(25684,18)]
100	1	585000	[(25641,67)]	737964		270000	318456	3348000	16380	[(25664,36)]	1800	[(25685,54)]	648000	1620000	[(26109,57)]	352080	[(26344,27),(25685,18)]
101	1	585000	[(25641,67)]	756432		270000	318456	3348000	16380	[(25664,36)]	1800	[(25685,54)]	648000	1620000	[(26109,57)]	378000	[(26344,27),(25685,18)]
102	1	585000	[(25641,67)]	774900		270000	318456	3348000	16380	[(25664,36)]	1800	[(25685,54)]	648000	1620000	[(26109,57)]	403920	[(26344,27),(25685,18)]
103	1	585000	[(25641,67)]	793314		270000	318456	3348000	16380	[(25664,36)]	1800	[(25685,54)]	648000	1620000	[(26109,57)]	427680	[(26344,27),(25685,18)]
104	1	585000	[(25641,67)]	811782		270000	318456	3348000	16380	[(25664,36)]	1800	[(25685,54)]	648000	1620000	[(26109,57)]	427680	[(26344,27),(25685,18)]
105	1	585000	[(25641,67)]	830250		270000	318456	3348000	16380	[(25664,36)]	1800	[(25685,54)]	648000	1620000	[(26109,57)]	427680	[(26344,27),(25685,18)]
106	1	585000	[(25641,67)]	848664		270000	318456	3348000	16380	[(25664,36)]	1800	[(25685,54)]	648000	1620000	[(26109,57)]	427680	[(26344,27),(25685,18)]
107	1	585000	[(25641,67)]	867132		270000	318456	3348000	16380	[(25664,36)]	1800	[(25685,54)]	648000	1620000	[(26109,57)]	427680	[(26344,27),(25685,18)]
108	1	585000	[(25641,67)]	885600		270000	318456	3348000	16380	[(25664,36)]	1800	[(25685,54)]	648000	1620000	[(26109,57)]	427680	[(26344,27),(25685,18)]
109	1	585000	[(25641,67)]	904014		270000	318456	3348000	16380	[(25664,36)]	1800	[(25685,54)]	648000	1620000	[(26109,57)]	427680	[(26344,27),(25685,18)]
110	1	585000	[(25641,67)]	940950		270000	318456	3348000	16380	[(25664,36)]	1800	[(25685,54)]	648000	1620000	[(26109,57)]	427680	[(26344,27),(25685,18)]
111	1	585000	[(25641,67)]	959364		270000	318456	3348000	16380	[(25664,36)]	1800	[(25685,54)]	648000	1620000	[(26109,57)]	429840	[(26344,27),(25685,18)]
112	1	585000	[(25641,67)]	977832		270000	318456	3348000	16380	[(25664,36)]	1800	[(25685,54)]	648000	1620000	[(26109,57)]	429840	[(26344,27),(25685,18)]
113	1	585000	[(25641,67)]	996300		270000	318456	3348000	16380	[(25664,36)]	1800	[(25685,54)]	648000	1620000	[(26109,57)]	429840	[(26344,27),(25685,18)]
114	1	585000	[(25641,67)]	1014714		270000	318456	3348000	16380	[(25664,36)]	1800	[(25685,54)]	648000	1620000	[(26109,57)]	429840	[(26344,27),(25685,18)]
115	1	585000	[(25641,67)]	1033182		270000	318456	3348000	16380	[(25664,36)]	1800	[(25685,54)]	648000	1620000	[(26109,57)]	429840	[(26344,27),(25685,18)]
116	1	585000	[(25641,67)]	1051650		270000	318456	3348000	16380	[(25664,36)]	1800	[(25685,54)]	648000	1620000	[(26109,57)]	429840	[(26344,27),(25685,18)]
117	1	585000	[(25641,67)]	1070064		270000	318456	3348000	16380	[(25664,36)]	1800	[(25685,54)]	648000	1620000	[(26109,57)]	429840	[(26344,27),(25685,18)]
118	1	585000	[(25641,67)]	1088532		270000	318456	3348000	16380	[(25664,36)]	1800	[(25685,54)]	648000	1620000	[(26109,57)]	429840	[(26344,27),(25685,18)]
119	1	585000	[(25641,67)]	1107000		270000	318456	3348000	16380	[(25664,36)]	1800	[(25685,54)]	648000	1620000	[(26109,57)]	429840	[(26344,27),(25685,18)]
120	1	810000	[(25641,81)]	1097982		324000	360000	3888000	28260	[(25665,36)]	1800	[(25686,54)]	972000	2160000	[(26615,57)]	488160	[(26344,27),(25686,18)]
121	1	810000	[(25641,81)]	1112400		324000	360000	3888000	28260	[(25665,36)]	1800	[(25686,54)]	972000	2160000	[(26615,57)]	490320	[(26344,27),(25686,18)]
122	1	810000	[(25641,81)]	1126764		324000	360000	3888000	28260	[(25665,36)]	1800	[(25686,54)]	972000	2160000	[(26615,57)]	494640	[(26344,27),(25686,18)]
123	1	810000	[(25641,81)]	1141182		324000	360000	3888000	28260	[(25665,36)]	1800	[(25686,54)]	972000	2160000	[(26615,57)]	498960	[(26344,27),(25686,18)]
124	1	810000	[(25641,81)]	1155600		324000	360000	3888000	28260	[(25665,36)]	1800	[(25686,54)]	972000	2160000	[(26615,57)]	498960	[(26344,27),(25686,18)]
125	1	810000	[(25641,81)]	1169964		324000	360000	3888000	28260	[(25665,36)]	1800	[(25686,54)]	972000	2160000	[(26615,57)]	498960	[(26344,27),(25686,18)]
126	1	810000	[(25641,81)]	1184382		324000	360000	3888000	28260	[(25665,36)]	1800	[(25686,54)]	972000	2160000	[(26615,57)]	498960	[(26344,27),(25686,18)]
127	1	810000	[(25641,81)]	1198800		324000	360000	3888000	28260	[(25665,36)]	1800	[(25686,54)]	972000	2160000	[(26615,57)]	498960	[(26344,27),(25686,18)]
128	1	810000	[(25641,81)]	1213164		324000	360000	3888000	28260	[(25665,36)]	1800	[(25686,54)]	972000	2160000	[(26615,57)]	498960	[(26344,27),(25686,18)]
129	1	810000	[(25641,81)]	1227582		324000	360000	3888000	28260	[(25665,36)]	1800	[(25686,54)]	972000	2160000	[(26615,57)]	498960	[(26344,27),(25686,18)]
130	1	810000	[(25641,81)]	1242000		324000	360000	3888000	28260	[(25665,36)]	1800	[(25686,54)]	972000	2160000	[(26615,57)]	498960	[(26344,27),(25686,18)]
131	1	810000	[(25641,81)]	1256364		324000	360000	3888000	28260	[(25665,36)]	1800	[(25686,54)]	972000	2160000	[(26615,57)]	498960	[(26344,27),(25686,18)]
132	1	810000	[(25641,81)]	1270782		324000	360000	3888000	28260	[(25665,36)]	1800	[(25686,54)]	972000	2160000	[(26615,57)]	498960	[(26344,27),(25686,18)]
133	1	810000	[(25641,81)]	1285200		324000	360000	3888000	28260	[(25665,36)]	1800	[(25686,54)]	972000	2160000	[(26615,57)]	498960	[(26344,27),(25686,18)]
134	1	810000	[(25641,81)]	1299564		324000	360000	3888000	28260	[(25665,36)]	1800	[(25686,54)]	972000	2160000	[(26615,57)]	498960	[(26344,27),(25686,18)]
135	1	810000	[(25641,81)]	1313982		324000	360000	3888000	28260	[(25665,36)]	1800	[(25686,54)]	972000	2160000	[(26615,57)]	498960	[(26344,27),(25686,18)]
136	1	810000	[(25641,81)]	1328400		324000	360000	3888000	28260	[(25665,36)]	1800	[(25686,54)]	972000	2160000	[(26615,57)]	498960	[(26344,27),(25686,18)]
137	1	810000	[(25641,81)]	1342764		324000	360000	3888000	28260	[(25665,36)]	1800	[(25686,54)]	972000	2160000	[(26615,57)]	498960	[(26344,27),(25686,18)]
138	1	810000	[(25641,81)]	1357182		324000	360000	3888000	28260	[(25665,36)]	1800	[(25686,54)]	972000	2160000	[(26615,57)]	498960	[(26344,27),(25686,18)]
139	1	810000	[(25641,81)]	1371600		324000	360000	3888000	28260	[(25665,36)]	1800	[(25686,54)]	972000	2160000	[(26615,57)]	498960	[(26344,27),(25686,18)]
140	1	900000	[(25641,90)]	1385964		387000	459000	4608000	34200	[(27048,36)]	1800	[(26607,54)]	1296000	2700000	[(27074,57)]	552960	[(26344,27),(26607,18)]
141	1	900000	[(25641,90)]	1400382		387000	459000	4608000	34200	[(27048,36)]	1800	[(26607,54)]	1296000	2700000	[(27074,57)]	568080	[(26344,27),(26607,18)]
142	1	900000	[(25641,90)]	1414800		387000	459000	4608000	34200	[(27048,36)]	1800	[(26607,54)]	1296000	2700000	[(27074,57)]	583200	[(26344,27),(26607,18)]
143	1	900000	[(25641,90)]	1429164		387000	459000	4608000	34200	[(27048,36)]	1800	[(26607,54)]	1296000	2700000	[(27074,57)]	598320	[(26344,27),(26607,18)]
144	1	900000	[(25641,90)]	1443582		387000	459000	4608000	34200	[(27048,36)]	1800	[(26607,54)]	1296000	2700000	[(27074,57)]	598320	[(26344,27),(26607,18)]
145	1	900000	[(25641,90)]	1459782		387000	459000	4608000	34200	[(27048,36)]	1800	[(26607,54)]	1296000	2700000	[(27074,57)]	598320	[(26344,27),(26607,18)]
146	1	900000	[(25641,90)]	1475982		387000	459000	4608000	34200	[(27048,36)]	1800	[(26607,54)]	1296000	2700000	[(27074,57)]	598320	[(26344,27),(26607,18)]
147	1	900000	[(25641,90)]	1492182		387000	459000	4608000	34200	[(27048,36)]	1800	[(26607,54)]	1296000	2700000	[(27074,57)]	598320	[(26344,27),(26607,18)]
148	1	900000	[(25641,90)]	1508382		387000	459000	4608000	34200	[(27048,36)]	1800	[(26607,54)]	1296000	2700000	[(27074,57)]	598320	[(26344,27),(26607,18)]
149	1	900000	[(25641,90)]	1524582		387000	459000	4608000	34200	[(27048,36)]	1800	[(26607,54)]	1296000	2700000	[(27074,57)]	598320	[(26344,27),(26607,18)]
150	1	900000	[(25641,90)]	1540782		387000	459000	4608000	34200	[(27048,36)]	1800	[(26607,54)]	1296000	2700000	[(27074,57)]	598320	[(26344,27),(26607,18)]
151	1	900000	[(25641,90)]	1556982		387000	459000	4608000	34200	[(27048,36)]	1800	[(26607,54)]	1296000	2700000	[(27074,57)]	598320	[(26344,27),(26607,18)]
152	1	900000	[(25641,90)]	1573182		387000	459000	4608000	34200	[(27048,36)]	1800	[(26607,54)]	1296000	2700000	[(27074,57)]	598320	[(26344,27),(26607,18)]
153	1	900000	[(25641,90)]	1589382		387000	459000	4608000	34200	[(27048,36)]	1800	[(26607,54)]	1296000	2700000	[(27074,57)]	598320	[(26344,27),(26607,18)]
154	1	900000	[(25641,90)]	1605582		387000	459000	4608000	34200	[(27048,36)]	1800	[(26607,54)]	1296000	2700000	[(27074,57)]	598320	[(26344,27),(26607,18)]
155	1	900000	[(25641,90)]	1621782		387000	459000	4608000	34200	[(27048,36)]	1800	[(26607,54)]	1296000	2700000	[(27074,57)]	598320	[(26344,27),(26607,18)]
156	1	900000	[(25641,90)]	1637982		387000	459000	4608000	34200	[(27048,36)]	1800	[(26607,54)]	1296000	2700000	[(27074,57)]	598320	[(26344,27),(26607,18)]
157	1	900000	[(25641,90)]	1654182		387000	459000	4608000	34200	[(27048,36)]	1800	[(26607,54)]	1296000	2700000	[(27074,57)]	600480	[(26344,27),(26607,18)]
158	1	900000	[(25641,90)]	1670382		387000	459000	4608000	34200	[(27048,36)]	1800	[(26607,54)]	1296000	2700000	[(27074,57)]	600480	[(26344,27),(26607,18)]
159	1	900000	[(25641,90)]	1686582		387000	459000	4608000	34200	[(27048,36)]	1800	[(26607,54)]	1296000	2700000	[(27074,57)]	600480	[(26344,27),(26607,18)]
160	1	900000	[(25641,90)]	1695600		450000	502200	4968000	37800	[(27904,36)]	1800	[(27066,54)]	1512000	3240000	[(27074,57)]	656640	[(26344,27),(27066,18)]
161	1	900000	[(25641,90)]	1704564		450000	502200	4968000	37800	[(27904,36)]	1800	[(27066,54)]	1512000	3240000	[(27074,57)]	656640	[(26344,27),(27066,18)]
162	1	900000	[(25641,90)]	1713582		450000	502200	4968000	37800	[(27904,36)]	1800	[(27066,54)]	1512000	3240000	[(27074,57)]	656640	[(26344,27),(27066,18)]
163	1	900000	[(25641,90)]	1722600		450000	502200	4968000	37800	[(27904,36)]	1800	[(27066,54)]	1512000	3240000	[(27074,57)]	656640	[(26344,27),(27066,18)]
164	1	900000	[(25641,90)]	1731564		450000	502200	4968000	37800	[(27904,36)]	1800	[(27066,54)]	1512000	3240000	[(27074,57)]	656640	[(26344,27),(27066,18)]
165	1	900000	[(25641,90)]	1740582		450000	502200	4968000	37800	[(27904,36)]	1800	[(27066,54)]	1512000	3240000	[(27074,57)]	656640	[(26344,27),(27066,18)]
166	1	900000	[(25641,90)]	1749600		450000	502200	4968000	37800	[(27904,36)]	1800	[(27066,54)]	1512000	3240000	[(27074,57)]	656640	[(26344,27),(27066,18)]
167	1	900000	[(25641,90)]	1758564		450000	502200	4968000	37800	[(27904,36)]	1800	[(27066,54)]	1512000	3240000	[(27074,57)]	656640	[(26344,27),(27066,18)]
168	1	900000	[(25641,90)]	1767582		450000	502200	4968000	37800	[(27904,36)]	1800	[(27066,54)]	1512000	3240000	[(27074,57)]	656640	[(26344,27),(27066,18)]
169	1	900000	[(25641,90)]	1776600		450000	502200	4968000	37800	[(27904,36)]	1800	[(27066,54)]	1512000	3240000	[(27074,57)]	656640	[(26344,27),(27066,18)]
170	1	900000	[(25641,90)]	1785564		450000	502200	4968000	37800	[(27904,36)]	1800	[(27066,54)]	1512000	3240000	[(27074,57)]	656640	[(26344,27),(27066,18)]
171	1	900000	[(25641,90)]	1794582		450000	502200	4968000	37800	[(27904,36)]	1800	[(27066,54)]	1512000	3240000	[(27074,57)]	656640	[(26344,27),(27066,18)]
172	1	900000	[(25641,90)]	1803600		450000	502200	4968000	37800	[(27904,36)]	1800	[(27066,54)]	1512000	3240000	[(27074,57)]	656640	[(26344,27),(27066,18)]
173	1	900000	[(25641,90)]	1812564		450000	502200	4968000	37800	[(27904,36)]	1800	[(27066,54)]	1512000	3240000	[(27074,57)]	656640	[(26344,27),(27066,18)]
174	1	900000	[(25641,90)]	1821582		450000	502200	4968000	37800	[(27904,36)]	1800	[(27066,54)]	1512000	3240000	[(27074,57)]	656640	[(26344,27),(27066,18)]
175	1	900000	[(25641,90)]	1830600		450000	502200	4968000	37800	[(27904,36)]	1800	[(27066,54)]	1512000	3240000	[(27074,57)]	656640	[(26344,27),(27066,18)]
176	1	900000	[(25641,90)]	1839564		450000	502200	4968000	37800	[(27904,36)]	1800	[(27066,54)]	1512000	3240000	[(27074,57)]	656640	[(26344,27),(27066,18)]
177	1	900000	[(25641,90)]	1848582		450000	502200	4968000	37800	[(27904,36)]	1800	[(27066,54)]	1512000	3240000	[(27074,57)]	656640	[(26344,27),(27066,18)]
178	1	900000	[(25641,90)]	1857600		450000	502200	4968000	37800	[(27904,36)]	1800	[(27066,54)]	1512000	3240000	[(27074,57)]	656640	[(26344,27),(27066,18)]
179	1	900000	[(25641,90)]	1866564		450000	502200	4968000	37800	[(27904,36)]	1800	[(27066,54)]	1512000	3240000	[(27074,57)]	656640	[(26344,27),(27066,18)]
30	2	147000	[(25636,60)]	139980		98400	137600	750000	3400	[(25661,40)]	2000	[(25681,60)]	90000	210000	[(26105,30)]	64800	[(26344,10),(25681,20)]
31	2	147000	[(25636,60)]	151980		98400	137600	750000	3400	[(25661,40)]	2000	[(25681,60)]	90000	210000	[(26105,30)]	79200	[(26344,10),(25681,20)]
32	2	147000	[(25636,60)]	163980		98400	137600	750000	3400	[(25661,40)]	2000	[(25681,60)]	90000	210000	[(26105,30)]	79200	[(26344,10),(25681,20)]
33	2	147000	[(25636,60)]	175980		98400	137600	750000	3400	[(25661,40)]	2000	[(25681,60)]	90000	210000	[(26105,30)]	115200	[(26344,10),(25681,20)]
34	2	147000	[(25636,60)]	187980		98400	137600	750000	3400	[(25661,40)]	2000	[(25681,60)]	90000	210000	[(26105,30)]	115200	[(26344,10),(25681,20)]
