FBID	vipType	time_reward_money	time_reward_items	bindrmb_reward_money	bindrmb_reward_items	rmb_reward_money	rmb_reward_items	money_reward_money	money_reward_items
54	1	1296875		1815625		2334375		1296875	
55	1	1303125		1824375		2345625		1303125	
56	1	1309375		1833125		2356875		1309375	
57	1	1315625		1841875		2368125		1315625	
58	1	1321875		1850625		2379375		1321875	
59	1	1328125		1859375		2390625		1328125	
60	1	1334375		1868125		2401875		1334375	
61	1	1340625		1876875		2413125		1340625	
62	1	1346875		1885625		2424375		1346875	
63	1	1352812		1893937		2435062		1352812	
64	1	1364030		1909642		2455254		1364030	
65	1	1380530		1932742		2484954		1380530	
66	1	1402311		1963235		2524160		1402311	
67	1	1429373		2001122		2572871		1429373	
68	1	1461716		2046402		2631089		1461716	
69	1	1499341		2099077		2698814		1499341	
70	1	1542247		2159146		2776045		1542247	
71	1	1590434		2226608		2862781		1590434	
72	1	1643902		2301463		2959024		1643902	
73	1	1708871		2392419		3075968		1708871	
74	1	1773840		2483376		3192912		1773840	
75	1	1838808		2574331		3309854		1838808	
76	1	1903777		2665288		3426799		1903777	
77	1	1968746		2756244		3543743		1968746	
78	1	2033715		2847201		3660687		2033715	
79	1	2098683		2938156		3777629		2098683	
80	1	2163652		3029113		3894574		2163652	
81	1	2228621		3120069		4011518		2228621	
82	1	2293590		3211026		4128462		2293590	
83	1	2353059		3294283		4235506		2353059	
84	1	2412934		3378108		4343281		2412934	
85	1	2473216		3462502		4451789		2473216	
86	1	2533903		3547464		4561025		2533903	
87	1	2594997		3632996		4670995		2594997	
88	1	2656497		3719096		4781695		2656497	
89	1	2718404		3805766		4893127		2718404	
90	1	2780716		3893002		5005289		2780716	
91	1	2843435		3980809		5118183		2843435	
92	1	2906560		4069184		5231808		2906560	
93	1	2969685		4157559		5345433		2969685	
94	1	3032810		4245934		5459058		3032810	
95	1	3095935		4334309		5572683		3095935	
96	1	3159060		4422684		5686308		3159060	
97	1	3222185		4511059		5799933		3222185	
98	1	3285310		4599434		5913558		3285310	
99	1	3348435		4687809		6027183		3348435	
100	1	3411560		4776184		6140808		3411560	
101	1	3474685		4864559		6254433		3474685	
102	1	3537810		4952934		6368058		3537810	
103	1	3598935		5038509		6478083		3598935	
104	1	3658060		5121284		6584508		3658060	
105	1	3715185		5201259		6687333		3715185	
106	1	3770310		5278434		6786558		3770310	
107	1	3823435		5352809		6882183		3823435	
108	1	3874560		5424384		6974208		3874560	
109	1	3923685		5493159		7062633		3923685	
110	1	3970810		5559134		7147458		3970810	
111	1	4015935		5622309		7228683		4015935	
112	1	4059060		5682684		7306308		4059060	
113	1	4102185		5743059		7383933		4102185	
114	1	4145310		5803434		7461558		4145310	
115	1	4188435		5863809		7539183		4188435	
116	1	4231560		5924184		7616808		4231560	
117	1	4274685		5984559		7694433		4274685	
118	1	4317810		6044934		7772058		4317810	
119	1	4360935		6105309		7849683		4360935	
120	1	4404060		6165684		7927308		4404060	
121	1	4447185		6226059		8004933		4447185	
122	1	4490310		6286434		8082558		4490310	
123	1	4538810		6354334		8169858		4538810	
124	1	4588310		6423634		8258958		4588310	
125	1	4638809		6494333		8349856		4638809	
126	1	4690308		6566431		8442554		4690308	
127	1	4742806		6639928		8537051		4742806	
128	1	4796304		6714826		8633347		4796304	
129	1	4850801		6791121		8731442		4850801	
130	1	4906298		6868817		8831336		4906298	
131	1	4962794		6947912		8933029		4962794	
132	1	5020290		7028406		9036522		5020290	
133	1	5073410		7102774		9132138		5073410	
134	1	5126530		7177142		9227754		5126530	
135	1	5179650		7251510		9323370		5179650	
136	1	5232770		7325878		9418986		5232770	
137	1	5285890		7400246		9514602		5285890	
138	1	5339010		7474614		9610218		5339010	
139	1	5392130		7548982		9705834		5392130	
140	1	5445250		7623350		9801450		5445250	
141	1	5498370		7697718		9897066		5498370	
142	1	5551490		7772086		9992682		5551490	
143	1	5612098		8327235		10101776		5612098	
144	1	5672706		8418147		10210870		5672706	
145	1	5733314		8509059		10319965		5733314	
146	1	5793922		8599971		10429059		5793922	
147	1	5854530		8690883		10538154		5854530	
148	1	5915138		8781795		10647248		5915138	
149	1	5975746		8872707		10756342		5975746	
150	1	6036354		8963619		10865437		6036354	
151	1	6096962		9054531		10974531		6096962	
152	1	6157570		9145443		11083626		6157570	
153	1	6210690		9236355		11179242		6210690	
154	1	6263810		9316035		11274858		6263810	
155	1	6316930		9395715		11370474		6316930	
156	1	6370050		9475395		11466090		6370050	
157	1	6423170		9555075		11561706		6423170	
158	1	6476290		9634755		11657322		6476290	
159	1	6529410		9714435		11752938		6529410	
160	1	6582530		9794115		11848554		6582530	
161	1	6635650		9873795		11944170		6635650	
162	1	6688770		9953475		12039786		6688770	
1	2	9375		13125		18750		9375	
2	2	18750		26250		37500		18750	
3	2	31875		44625		63750		31875	
4	2	26250		36750		52500		26250	
5	2	59250		82950		118500		59250	
6	2	73500		102900		147000		73500	
7	2	88875		124425		177750		88875	
8	2	104250		145950		208500		104250	
9	2	120750		169050		241500		120750	
10	2	137250		192150		274500		137250	
11	2	145500		203700		291000		145500	
12	2	153750		215250		307500		153750	
13	2	160500		224700		321000		160500	
14	2	167250		234150		334500		167250	
15	2	174000		243600		348000		174000	
16	2	180750		253050		361500		180750	
17	2	187500		262500		375000		187500	
18	2	194250		271950		388500		194250	
19	2	201000		281400		402000		201000	
20	2	207750		290850		415500		207750	
21	2	214500		300300		429000		214500	
22	2	221250		309750		442500		221250	
23	2	226375		316925		452750		226375	
24	2	234625		328475		469250		234625	
25	2	244875		342825		489750		244875	
26	2	258250		361550		516500		258250	
27	2	273625		383075		547250		273625	
28	2	292125		408975		584250		292125	
29	2	312625		437675		625250		312625	
30	2	339375		475125		678750		339375	
31	2	371250		519750		742500		371250	
32	2	409375		573125		818750		409375	
33	2	453125		634375		906250		453125	
34	2	500000		700000		1000000		500000	
35	2	550000		770000		1100000		550000	
36	2	603125		844375		1206250		603125	
37	2	659375		923125		1318750		659375	
38	2	718750		1006250		1437500		718750	
39	2	781250		1093750		1562500		781250	
40	2	843750		1181250		1687500		843750	
41	2	906250		1268750		1812500		906250	
42	2	968750		1356250		1937500		968750	
43	2	1025625		1435875		2051250		1025625	
44	2	1076875		1507625		2153750		1076875	
45	2	1122500		1571500		2245000		1122500	
46	2	1162500		1627500		2325000		1162500	
47	2	1196875		1675625		2393750		1196875	
48	2	1225625		1715875		2451250		1225625	
49	2	1248750		1748250		2497500		1248750	
50	2	1266250		1772750		2532500		1266250	
51	2	1278125		1789375		2556250		1278125	
52	2	1284375		1798125		2568750		1284375	
53	2	1290625		1806875		2581250		1290625	
54	2	1296875		1815625		2593750		1296875	
55	2	1303125		1824375		2606250		1303125	
56	2	1309375		1833125		2618750		1309375	
57	2	1315625		1841875		2631250		1315625	
58	2	1321875		1850625		2643750		1321875	
59	2	1328125		1859375		2656250		1328125	
60	2	1334375		1868125		2668750		1334375	
61	2	1340625		1876875		2681250		1340625	
62	2	1346875		1885625		2693750		1346875	
63	2	1352812		1893937		2705624		1352812	
64	2	1364030		1909642		2728060		1364030	
65	2	1380530		1932742		2761060		1380530	
66	2	1402311		1963235		2804622		1402311	
67	2	1429373		2001122		2858746		1429373	
68	2	1461716		2046402		2923432		1461716	
69	2	1499341		2099077		2998682		1499341	
70	2	1542247		2159146		3084494		1542247	
71	2	1590434		2226608		3180868		1590434	
72	2	1643902		2301463		3287804		1643902	
73	2	1708871		2392419		3417742		1708871	
74	2	1773840		2483376		3547680		1773840	
75	2	1838808		2574331		3677616		1838808	
76	2	1903777		2665288		3807554		1903777	
77	2	1968746		2756244		3937492		1968746	
78	2	2033715		2847201		4067430		2033715	
79	2	2098683		2938156		4197366		2098683	
80	2	2163652		3029113		4327304		2163652	
81	2	2228621		3120069		4457242		2228621	
82	2	2293590		3211026		4587180		2293590	
83	2	2353059		3294283		4706118		2353059	
84	2	2412934		3378108		4825868		2412934	
85	2	2473216		3462502		4946432		2473216	
86	2	2533903		3547464		5067806		2533903	
87	2	2594997		3632996		5189994		2594997	
88	2	2656497		3719096		5312994		2656497	
89	2	2718404		3805766		5436808		2718404	
90	2	2780716		3893002		5561432		2780716	
91	2	2843435		3980809		5686870		2843435	
92	2	2906560		4069184		5813120		2906560	
93	2	2969685		4157559		5939370		2969685	
94	2	3032810		4245934		6065620		3032810	
95	2	3095935		4334309		6191870		3095935	
96	2	3159060		4422684		6318120		3159060	
97	2	3222185		4511059		6444370		3222185	
98	2	3285310		4599434		6570620		3285310	
99	2	3348435		4687809		6696870		3348435	
100	2	3411560		4776184		6823120		3411560	
101	2	3474685		4864559		6949370		3474685	
102	2	3537810		4952934		7075620		3537810	
103	2	3598935		5038509		7197870		3598935	
104	2	3658060		5121284		7316120		3658060	
105	2	3715185		5201259		7430370		3715185	
106	2	3770310		5278434		7540620		3770310	
107	2	3823435		5352809		7646870		3823435	
108	2	3874560		5424384		7749120		3874560	
109	2	3923685		5493159		7847370		3923685	
110	2	3970810		5559134		7941620		3970810	
111	2	4015935		5622309		8031870		4015935	
112	2	4059060		5682684		8118120		4059060	
113	2	4102185		5743059		8204370		4102185	
114	2	4145310		5803434		8290620		4145310	
115	2	4188435		5863809		8376870		4188435	
116	2	4231560		5924184		8463120		4231560	
117	2	4274685		5984559		8549370		4274685	
118	2	4317810		6044934		8635620		4317810	
119	2	4360935		6105309		8721870		4360935	
120	2	4404060		6165684		8808120		4404060	
121	2	4447185		6226059		8894370		4447185	
122	2	4490310		6286434		8980620		4490310	
123	2	4538810		6354334		9077620		4538810	
124	2	4588310		6423634		9176620		4588310	
125	2	4638809		6494333		9277618		4638809	
126	2	4690308		6566431		9380616		4690308	
127	2	4742806		6639928		9485612		4742806	
128	2	4796304		6714826		9592608		4796304	
129	2	4850801		6791121		9701602		4850801	
130	2	4906298		6868817		9812596		4906298	
131	2	4962794		6947912		9925588		4962794	
132	2	5020290		7028406		10040580		5020290	
133	2	5073410		7102774		10146820		5073410	
134	2	5126530		7177142		10253060		5126530	
135	2	5179650		7251510		10359300		5179650	
136	2	5232770		7325878		10465540		5232770	
137	2	5285890		7400246		10571780		5285890	
138	2	5339010		7474614		10678020		5339010	
139	2	5392130		7548982		10784260		5392130	
140	2	5445250		7623350		10890500		5445250	
141	2	5498370		7697718		10996740		5498370	
142	2	5551490		7772086		11102980		5551490	
143	2	5612098		8327235		11224196		5612098	
144	2	5672706		8418147		11345412		5672706	
145	2	5733314		8509059		11466628		5733314	
146	2	5793922		8599971		11587844		5793922	
147	2	5854530		8690883		11709060		5854530	
148	2	5915138		8781795		11830276		5915138	
149	2	5975746		8872707		11951492		5975746	
150	2	6036354		8963619		12072708		6036354	
151	2	6096962		9054531		12193924		6096962	
152	2	6157570		9145443		12315140		6157570	
153	2	6210690		9236355		12421380		6210690	
154	2	6263810		9316035		12527620		6263810	
155	2	6316930		9395715		12633860		6316930	
156	2	6370050		9475395		12740100		6370050	
157	2	6423170		9555075		12846340		6423170	
158	2	6476290		9634755		12952580		6476290	
159	2	6529410		9714435		13058820		6529410	
160	2	6582530		9794115		13165060		6582530	
161	2	6635650		9873795		13271300		6635650	
162	2	6688770		9953475		13377540		6688770	
