htIndex	vipType	time_reward_money	time_reward_items	bindrmb_reward_money	bindrmb_reward_items	rmb_reward_money	rmb_reward_items	money_reward_money	money_reward_items
60	1	2463770	[(25641,85)]	3449278	[(25641,119)]	4434786	[(25641,154)]	2463770	[(25641,85)]
61	1	2464288	[(25641,88)]	3450003	[(25641,123)]	4435718	[(25641,160)]	2464288	[(25641,88)]
62	1	2464790	[(25641,88)]	3450706	[(25641,123)]	4436622	[(25641,160)]	2464790	[(25641,88)]
63	1	2465280	[(25641,88)]	3451392	[(25641,123)]	4437504	[(25641,160)]	2465280	[(25641,88)]
64	1	2465755	[(25641,88)]	3452057	[(25641,123)]	4438359	[(25641,160)]	2465755	[(25641,88)]
65	1	2466218	[(25641,88)]	3452705	[(25641,123)]	4439192	[(25641,160)]	2466218	[(25641,88)]
66	1	2466668	[(25641,90)]	3453335	[(25641,126)]	4440002	[(25641,163)]	2466668	[(25641,90)]
67	1	2467108	[(25641,90)]	3453951	[(25641,126)]	4440794	[(25641,163)]	2467108	[(25641,90)]
68	1	2467533	[(25641,90)]	3454546	[(25641,126)]	4441559	[(25641,163)]	2467533	[(25641,90)]
69	1	2467950	[(25641,90)]	3455130	[(25641,126)]	4442310	[(25641,163)]	2467950	[(25641,90)]
70	1	2468355	[(25641,90)]	3455697	[(25641,126)]	4443039	[(25641,163)]	2468355	[(25641,90)]
71	1	2468753	[(25641,93)]	3456254	[(25641,130)]	4443755	[(25641,169)]	2468753	[(25641,93)]
72	1	2469138	[(25641,93)]	3456793	[(25641,130)]	4444448	[(25641,169)]	2469138	[(25641,93)]
73	1	2469513	[(25641,93)]	3457318	[(25641,130)]	4445123	[(25641,169)]	2469513	[(25641,93)]
74	1	2469880	[(25641,93)]	3457832	[(25641,130)]	4445784	[(25641,169)]	2469880	[(25641,93)]
75	1	2470240	[(25641,93)]	3458336	[(25641,130)]	4446432	[(25641,169)]	2470240	[(25641,93)]
76	1	2470590	[(25641,95)]	3458826	[(25641,133)]	4447062	[(25641,172)]	2470590	[(25641,95)]
77	1	2470933	[(25641,95)]	3459306	[(25641,133)]	4447679	[(25641,172)]	2470933	[(25641,95)]
78	1	2471265	[(25641,95)]	3459771	[(25641,133)]	4448277	[(25641,172)]	2471265	[(25641,95)]
79	1	2471593	[(25641,95)]	3460230	[(25641,133)]	4448867	[(25641,172)]	2471593	[(25641,95)]
80	1	2471913	[(25641,95)]	3460678	[(25641,133)]	4449443	[(25641,172)]	2471913	[(25641,95)]
81	1	2472558	[(25641,98)]	3461581	[(25641,137)]	4450604	[(25641,178)]	2472558	[(25641,98)]
82	1	2473203	[(25641,98)]	3462484	[(25641,137)]	4451765	[(25641,178)]	2473203	[(25641,98)]
83	1	2473848	[(25641,98)]	3463387	[(25641,137)]	4452926	[(25641,178)]	2473848	[(25641,98)]
84	1	2474493	[(25641,98)]	3464290	[(25641,137)]	4454087	[(25641,178)]	2474493	[(25641,98)]
85	1	2475138	[(25641,98)]	3465193	[(25641,137)]	4455248	[(25641,178)]	2475138	[(25641,98)]
86	1	2475783	[(25641,100)]	3466096	[(25641,140)]	4456409	[(25641,181)]	2475783	[(25641,100)]
87	1	2476428	[(25641,100)]	3466999	[(25641,140)]	4457570	[(25641,181)]	2476428	[(25641,100)]
88	1	2477073	[(25641,100)]	3467902	[(25641,140)]	4458731	[(25641,181)]	2477073	[(25641,100)]
89	1	2477718	[(25641,100)]	3468805	[(25641,140)]	4459892	[(25641,181)]	2477718	[(25641,100)]
90	1	2478363	[(25641,100)]	3469708	[(25641,140)]	4461053	[(25641,181)]	2478363	[(25641,100)]
91	1	2479008	[(25641,103)]	3470611	[(25641,144)]	4462214	[(25641,187)]	2479008	[(25641,103)]
92	1	2479653	[(25641,103)]	3471514	[(25641,144)]	4463375	[(25641,187)]	2479653	[(25641,103)]
93	1	2480298	[(25641,103)]	3472417	[(25641,144)]	4464536	[(25641,187)]	2480298	[(25641,103)]
94	1	2480943	[(25641,103)]	3473320	[(25641,144)]	4465697	[(25641,187)]	2480943	[(25641,103)]
95	1	2481588	[(25641,103)]	3474223	[(25641,144)]	4466858	[(25641,187)]	2481588	[(25641,103)]
96	1	2482233	[(25641,105)]	3475126	[(25641,147)]	4468019	[(25641,191)]	2482233	[(25641,105)]
97	1	2482878	[(25641,105)]	3476029	[(25641,147)]	4469180	[(25641,191)]	2482878	[(25641,105)]
98	1	2483523	[(25641,105)]	3476932	[(25641,147)]	4470341	[(25641,191)]	2483523	[(25641,105)]
99	1	2484168	[(25641,105)]	3477835	[(25641,147)]	4471502	[(25641,191)]	2484168	[(25641,105)]
100	1	2484813	[(25641,105)]	3478738	[(25641,147)]	4472663	[(25641,191)]	2484813	[(25641,105)]
101	1	2487500	[(25641,108)]	3482500	[(25641,150)]	4477500	[(25641,194)]	2487500	[(25641,108)]
102	1	2487875	[(25641,108)]	3483025	[(25641,150)]	4478175	[(25641,194)]	2487875	[(25641,108)]
103	1	2488250	[(25641,108)]	3483550	[(25641,150)]	4478850	[(25641,194)]	2488250	[(25641,108)]
104	1	2488625	[(25641,108)]	3484075	[(25641,150)]	4479525	[(25641,194)]	2488625	[(25641,108)]
105	1	2489000	[(25641,108)]	3484600	[(25641,150)]	4480200	[(25641,194)]	2489000	[(25641,108)]
106	1	2489262	[(25641,108)]	3484966	[(25641,150)]	4480671	[(25641,194)]	2489262	[(25641,108)]
107	1	2489262	[(25641,108)]	3484966	[(25641,150)]	4480671	[(25641,194)]	2489262	[(25641,108)]
108	1	2489262	[(25641,108)]	3484966	[(25641,150)]	4480671	[(25641,194)]	2489262	[(25641,108)]
109	1	2489262	[(25641,108)]	3484966	[(25641,150)]	4480671	[(25641,194)]	2489262	[(25641,108)]
110	1	2489612	[(25641,108)]	3485456	[(25641,150)]	4481301	[(25641,194)]	2489612	[(25641,108)]
111	1	2489262	[(25641,108)]	3484966	[(25641,150)]	4480671	[(25641,194)]	2489262	[(25641,108)]
112	1	2489262	[(25641,108)]	3484966	[(25641,150)]	4480671	[(25641,194)]	2489262	[(25641,108)]
113	1	2489262	[(25641,108)]	3484966	[(25641,150)]	4480671	[(25641,194)]	2489262	[(25641,108)]
114	1	2489262	[(25641,108)]	3484966	[(25641,150)]	4480671	[(25641,194)]	2489262	[(25641,108)]
115	1	2489612	[(25641,108)]	3485456	[(25641,150)]	4481301	[(25641,194)]	2489612	[(25641,108)]
116	1	2489262	[(25641,108)]	3484966	[(25641,150)]	4480671	[(25641,194)]	2489262	[(25641,108)]
117	1	2489262	[(25641,108)]	3484966	[(25641,150)]	4480671	[(25641,194)]	2489262	[(25641,108)]
118	1	2489262	[(25641,108)]	3484966	[(25641,150)]	4480671	[(25641,194)]	2489262	[(25641,108)]
119	1	2489262	[(25641,108)]	3484966	[(25641,150)]	4480671	[(25641,194)]	2489262	[(25641,108)]
120	1	2489612	[(25641,108)]	3485456	[(25641,150)]	4481301	[(25641,194)]	2489612	[(25641,108)]
1	2	787500	[(25641,25)]	1102500	[(25641,35)]	1575000	[(25641,50)]	787500	[(25641,25)]
2	2	821250	[(25641,25)]	1149750	[(25641,35)]	1642500	[(25641,50)]	821250	[(25641,25)]
3	2	855000	[(25641,28)]	1197000	[(25641,39)]	1710000	[(25641,55)]	855000	[(25641,28)]
4	2	888750	[(25641,28)]	1244250	[(25641,39)]	1777500	[(25641,55)]	888750	[(25641,28)]
5	2	922500	[(25641,28)]	1291500	[(25641,39)]	1845000	[(25641,55)]	922500	[(25641,28)]
6	2	956250	[(25641,30)]	1338750	[(25641,42)]	1912500	[(25641,60)]	956250	[(25641,30)]
7	2	990000	[(25641,30)]	1386000	[(25641,42)]	1980000	[(25641,60)]	990000	[(25641,30)]
8	2	1023750	[(25641,33)]	1433250	[(25641,46)]	2047500	[(25641,65)]	1023750	[(25641,33)]
9	2	1057500	[(25641,33)]	1480500	[(25641,46)]	2115000	[(25641,65)]	1057500	[(25641,33)]
10	2	1091250	[(25641,33)]	1527750	[(25641,46)]	2182500	[(25641,65)]	1091250	[(25641,33)]
11	2	1158750	[(25641,35)]	1622250	[(25641,49)]	2317500	[(25641,70)]	1158750	[(25641,35)]
12	2	1192500	[(25641,35)]	1669500	[(25641,49)]	2385000	[(25641,70)]	1192500	[(25641,35)]
13	2	1226250	[(25641,38)]	1716750	[(25641,53)]	2452500	[(25641,75)]	1226250	[(25641,38)]
14	2	1260000	[(25641,38)]	1764000	[(25641,53)]	2520000	[(25641,75)]	1260000	[(25641,38)]
15	2	1293750	[(25641,40)]	1811250	[(25641,56)]	2587500	[(25641,80)]	1293750	[(25641,40)]
16	2	1327500	[(25641,40)]	1858500	[(25641,56)]	2655000	[(25641,80)]	1327500	[(25641,40)]
17	2	1361250	[(25641,40)]	1905750	[(25641,56)]	2722500	[(25641,80)]	1361250	[(25641,40)]
18	2	1395000	[(25641,43)]	1953000	[(25641,60)]	2790000	[(25641,85)]	1395000	[(25641,43)]
19	2	1428750	[(25641,43)]	2000250	[(25641,60)]	2857500	[(25641,85)]	1428750	[(25641,43)]
20	2	1462500	[(25641,45)]	2047500	[(25641,63)]	2925000	[(25641,90)]	1462500	[(25641,45)]
21	2	1496250	[(25641,45)]	2094750	[(25641,63)]	2992500	[(25641,90)]	1496250	[(25641,45)]
22	2	1530000	[(25641,45)]	2142000	[(25641,63)]	3060000	[(25641,90)]	1530000	[(25641,45)]
23	2	1563750	[(25641,48)]	2189250	[(25641,67)]	3127500	[(25641,95)]	1563750	[(25641,48)]
24	2	1597500	[(25641,48)]	2236500	[(25641,67)]	3195000	[(25641,95)]	1597500	[(25641,48)]
25	2	1631250	[(25641,50)]	2283750	[(25641,70)]	3262500	[(25641,100)]	1631250	[(25641,50)]
26	2	1665000	[(25641,50)]	2331000	[(25641,70)]	3330000	[(25641,100)]	1665000	[(25641,50)]
27	2	1698750	[(25641,50)]	2378250	[(25641,70)]	3397500	[(25641,100)]	1698750	[(25641,50)]
28	2	1732500	[(25641,53)]	2425500	[(25641,74)]	3465000	[(25641,105)]	1732500	[(25641,53)]
29	2	1766250	[(25641,53)]	2472750	[(25641,74)]	3532500	[(25641,105)]	1766250	[(25641,53)]
30	2	1800000	[(25641,55)]	2520000	[(25641,77)]	3600000	[(25641,110)]	1800000	[(25641,55)]
31	2	1920733	[(25641,55)]	2689026	[(25641,77)]	3841465	[(25641,110)]	1920733	[(25641,55)]
32	2	1955358	[(25641,55)]	2737501	[(25641,77)]	3910715	[(25641,110)]	1955358	[(25641,55)]
33	2	1988373	[(25641,55)]	2783722	[(25641,77)]	3976745	[(25641,110)]	1988373	[(25641,55)]
34	2	2019888	[(25641,55)]	2827843	[(25641,77)]	4039775	[(25641,110)]	2019888	[(25641,55)]
35	2	2050000	[(25641,63)]	2870000	[(25641,88)]	4100000	[(25641,125)]	2050000	[(25641,63)]
36	2	2078805	[(25641,63)]	2910327	[(25641,88)]	4157610	[(25641,125)]	2078805	[(25641,63)]
37	2	2106385	[(25641,63)]	2948939	[(25641,88)]	4212770	[(25641,125)]	2106385	[(25641,63)]
38	2	2132813	[(25641,63)]	2985938	[(25641,88)]	4265625	[(25641,125)]	2132813	[(25641,63)]
39	2	2158165	[(25641,63)]	3021431	[(25641,88)]	4316330	[(25641,125)]	2158165	[(25641,63)]
40	2	2182500	[(25641,70)]	3055500	[(25641,98)]	4365000	[(25641,140)]	2182500	[(25641,70)]
41	2	2272060	[(25641,70)]	3180884	[(25641,98)]	4544120	[(25641,140)]	2272060	[(25641,70)]
42	2	2293270	[(25641,70)]	3210578	[(25641,98)]	4586540	[(25641,140)]	2293270	[(25641,70)]
43	2	2313680	[(25641,70)]	3239152	[(25641,98)]	4627360	[(25641,140)]	2313680	[(25641,70)]
44	2	2333335	[(25641,70)]	3266669	[(25641,98)]	4666670	[(25641,140)]	2333335	[(25641,70)]
45	2	2352275	[(25641,80)]	3293185	[(25641,112)]	4704550	[(25641,160)]	2352275	[(25641,80)]
46	2	2370538	[(25641,80)]	3318753	[(25641,112)]	4741075	[(25641,160)]	2370538	[(25641,80)]
47	2	2388160	[(25641,80)]	3343424	[(25641,112)]	4776320	[(25641,160)]	2388160	[(25641,80)]
48	2	2405173	[(25641,80)]	3367242	[(25641,112)]	4810345	[(25641,160)]	2405173	[(25641,80)]
49	2	2421613	[(25641,80)]	3390258	[(25641,112)]	4843225	[(25641,160)]	2421613	[(25641,80)]
50	2	2437500	[(25641,80)]	3412500	[(25641,112)]	4875000	[(25641,160)]	2437500	[(25641,80)]
51	2	2458335	[(25641,83)]	3441669	[(25641,116)]	4916670	[(25641,165)]	2458335	[(25641,83)]
52	2	2459018	[(25641,83)]	3442625	[(25641,116)]	4918035	[(25641,165)]	2459018	[(25641,83)]
53	2	2459678	[(25641,83)]	3443549	[(25641,116)]	4919355	[(25641,165)]	2459678	[(25641,83)]
54	2	2460318	[(25641,83)]	3444445	[(25641,116)]	4920635	[(25641,165)]	2460318	[(25641,83)]
55	2	2460938	[(25641,83)]	3445313	[(25641,116)]	4921875	[(25641,165)]	2460938	[(25641,83)]
56	2	2461540	[(25641,85)]	3446156	[(25641,119)]	4923080	[(25641,170)]	2461540	[(25641,85)]
57	2	2462123	[(25641,85)]	3446972	[(25641,119)]	4924245	[(25641,170)]	2462123	[(25641,85)]
58	2	2462688	[(25641,85)]	3447763	[(25641,119)]	4925375	[(25641,170)]	2462688	[(25641,85)]
59	2	2463238	[(25641,85)]	3448533	[(25641,119)]	4926475	[(25641,170)]	2463238	[(25641,85)]
60	2	2463770	[(25641,85)]	3449278	[(25641,119)]	4927540	[(25641,170)]	2463770	[(25641,85)]
61	2	2464288	[(25641,88)]	3450003	[(25641,123)]	4928575	[(25641,175)]	2464288	[(25641,88)]
62	2	2464790	[(25641,88)]	3450706	[(25641,123)]	4929580	[(25641,175)]	2464790	[(25641,88)]
63	2	2465280	[(25641,88)]	3451392	[(25641,123)]	4930560	[(25641,175)]	2465280	[(25641,88)]
64	2	2465755	[(25641,88)]	3452057	[(25641,123)]	4931510	[(25641,175)]	2465755	[(25641,88)]
65	2	2466218	[(25641,88)]	3452705	[(25641,123)]	4932435	[(25641,175)]	2466218	[(25641,88)]
66	2	2466668	[(25641,90)]	3453335	[(25641,126)]	4933335	[(25641,180)]	2466668	[(25641,90)]
67	2	2467108	[(25641,90)]	3453951	[(25641,126)]	4934215	[(25641,180)]	2467108	[(25641,90)]
68	2	2467533	[(25641,90)]	3454546	[(25641,126)]	4935065	[(25641,180)]	2467533	[(25641,90)]
69	2	2467950	[(25641,90)]	3455130	[(25641,126)]	4935900	[(25641,180)]	2467950	[(25641,90)]
70	2	2468355	[(25641,90)]	3455697	[(25641,126)]	4936710	[(25641,180)]	2468355	[(25641,90)]
71	2	2468753	[(25641,93)]	3456254	[(25641,130)]	4937505	[(25641,185)]	2468753	[(25641,93)]
72	2	2469138	[(25641,93)]	3456793	[(25641,130)]	4938275	[(25641,185)]	2469138	[(25641,93)]
73	2	2469513	[(25641,93)]	3457318	[(25641,130)]	4939025	[(25641,185)]	2469513	[(25641,93)]
74	2	2469880	[(25641,93)]	3457832	[(25641,130)]	4939760	[(25641,185)]	2469880	[(25641,93)]
75	2	2470240	[(25641,93)]	3458336	[(25641,130)]	4940480	[(25641,185)]	2470240	[(25641,93)]
76	2	2470590	[(25641,95)]	3458826	[(25641,133)]	4941180	[(25641,190)]	2470590	[(25641,95)]
77	2	2470933	[(25641,95)]	3459306	[(25641,133)]	4941865	[(25641,190)]	2470933	[(25641,95)]
78	2	2471265	[(25641,95)]	3459771	[(25641,133)]	4942530	[(25641,190)]	2471265	[(25641,95)]
79	2	2471593	[(25641,95)]	3460230	[(25641,133)]	4943185	[(25641,190)]	2471593	[(25641,95)]
80	2	2471913	[(25641,95)]	3460678	[(25641,133)]	4943825	[(25641,190)]	2471913	[(25641,95)]
81	2	2472558	[(25641,98)]	3461581	[(25641,137)]	4945115	[(25641,195)]	2472558	[(25641,98)]
82	2	2473203	[(25641,98)]	3462484	[(25641,137)]	4946405	[(25641,195)]	2473203	[(25641,98)]
83	2	2473848	[(25641,98)]	3463387	[(25641,137)]	4947695	[(25641,195)]	2473848	[(25641,98)]
84	2	2474493	[(25641,98)]	3464290	[(25641,137)]	4948985	[(25641,195)]	2474493	[(25641,98)]
85	2	2475138	[(25641,98)]	3465193	[(25641,137)]	4950275	[(25641,195)]	2475138	[(25641,98)]
86	2	2475783	[(25641,100)]	3466096	[(25641,140)]	4951565	[(25641,200)]	2475783	[(25641,100)]
87	2	2476428	[(25641,100)]	3466999	[(25641,140)]	4952855	[(25641,200)]	2476428	[(25641,100)]
88	2	2477073	[(25641,100)]	3467902	[(25641,140)]	4954145	[(25641,200)]	2477073	[(25641,100)]
89	2	2477718	[(25641,100)]	3468805	[(25641,140)]	4955435	[(25641,200)]	2477718	[(25641,100)]
90	2	2478363	[(25641,100)]	3469708	[(25641,140)]	4956725	[(25641,200)]	2478363	[(25641,100)]
91	2	2479008	[(25641,103)]	3470611	[(25641,144)]	4958015	[(25641,205)]	2479008	[(25641,103)]
92	2	2479653	[(25641,103)]	3471514	[(25641,144)]	4959305	[(25641,205)]	2479653	[(25641,103)]
93	2	2480298	[(25641,103)]	3472417	[(25641,144)]	4960595	[(25641,205)]	2480298	[(25641,103)]
94	2	2480943	[(25641,103)]	3473320	[(25641,144)]	4961885	[(25641,205)]	2480943	[(25641,103)]
95	2	2481588	[(25641,103)]	3474223	[(25641,144)]	4963175	[(25641,205)]	2481588	[(25641,103)]
96	2	2482233	[(25641,105)]	3475126	[(25641,147)]	4964465	[(25641,210)]	2482233	[(25641,105)]
97	2	2482878	[(25641,105)]	3476029	[(25641,147)]	4965755	[(25641,210)]	2482878	[(25641,105)]
98	2	2483523	[(25641,105)]	3476932	[(25641,147)]	4967045	[(25641,210)]	2483523	[(25641,105)]
99	2	2484168	[(25641,105)]	3477835	[(25641,147)]	4968335	[(25641,210)]	2484168	[(25641,105)]
100	2	2484813	[(25641,105)]	3478738	[(25641,147)]	4969625	[(25641,210)]	2484813	[(25641,105)]
101	2	2487500	[(25641,108)]	3482500	[(25641,150)]	4975000	[(25641,215)]	2487500	[(25641,108)]
102	2	2487875	[(25641,108)]	3483025	[(25641,150)]	4975750	[(25641,215)]	2487875	[(25641,108)]
103	2	2488250	[(25641,108)]	3483550	[(25641,150)]	4976500	[(25641,215)]	2488250	[(25641,108)]
104	2	2488625	[(25641,108)]	3484075	[(25641,150)]	4977250	[(25641,215)]	2488625	[(25641,108)]
105	2	2489000	[(25641,108)]	3484600	[(25641,150)]	4978000	[(25641,215)]	2489000	[(25641,108)]
106	2	2489262	[(25641,108)]	3484966	[(25641,150)]	4978524	[(25641,215)]	2489262	[(25641,108)]
107	2	2489262	[(25641,108)]	3484966	[(25641,150)]	4978524	[(25641,215)]	2489262	[(25641,108)]
108	2	2489262	[(25641,108)]	3484966	[(25641,150)]	4978524	[(25641,215)]	2489262	[(25641,108)]
109	2	2489262	[(25641,108)]	3484966	[(25641,150)]	4978524	[(25641,215)]	2489262	[(25641,108)]
110	2	2489612	[(25641,108)]	3485456	[(25641,150)]	4979224	[(25641,215)]	2489612	[(25641,108)]
111	2	2489262	[(25641,108)]	3484966	[(25641,150)]	4978524	[(25641,215)]	2489262	[(25641,108)]
112	2	2489262	[(25641,108)]	3484966	[(25641,150)]	4978524	[(25641,215)]	2489262	[(25641,108)]
113	2	2489262	[(25641,108)]	3484966	[(25641,150)]	4978524	[(25641,215)]	2489262	[(25641,108)]
114	2	2489262	[(25641,108)]	3484966	[(25641,150)]	4978524	[(25641,215)]	2489262	[(25641,108)]
115	2	2489612	[(25641,108)]	3485456	[(25641,150)]	4979224	[(25641,215)]	2489612	[(25641,108)]
116	2	2489262	[(25641,108)]	3484966	[(25641,150)]	4978524	[(25641,215)]	2489262	[(25641,108)]
117	2	2489262	[(25641,108)]	3484966	[(25641,150)]	4978524	[(25641,215)]	2489262	[(25641,108)]
118	2	2489262	[(25641,108)]	3484966	[(25641,150)]	4978524	[(25641,215)]	2489262	[(25641,108)]
119	2	2489262	[(25641,108)]	3484966	[(25641,150)]	4978524	[(25641,215)]	2489262	[(25641,108)]
120	2	2489612	[(25641,108)]	3485456	[(25641,150)]	4979224	[(25641,215)]	2489612	[(25641,108)]
