atlasId	atlasGrade	atlasName	atlasDsc	atlasDsc1	atlasImg	actNeedCard	belongSuit	upGradeNeedCard	nextGrade	addCoef	maxhp	attackspeed	anger	attack_p	defense_p	attack_m	defense_m	crit	critpress	antibroken	notbroken	parry	puncture	damageupgrade	damagereduce
6	4	死神	获得卡牌可激活图鉴	强化、进阶可提升图鉴属性，属性对全体上阵英雄有效，该卡牌可在单人副本中获得	HDZL_2	0	2	30	5	25000	180	0	0	0	0	0	60	0	75	0	0	0	0	0	0
6	5	死神	获得卡牌可激活图鉴	强化、进阶可提升图鉴属性，属性对全体上阵英雄有效，该卡牌可在单人副本中获得	HDZL_2	0	2	0	-1	30000	225	0	0	0	0	0	75	0	75	0	0	75	0	0	0
7	1	血族剑姬	获得绿色血族剑姬卡牌可激活图鉴，该卡牌可在单人副本中获得	强化、进阶可提升图鉴属性，属性对全体上阵英雄有效，该卡牌可在单人副本中获得	HDZL_3	31	2	32	2	10000	0	0	0	15	15	15	0	0	0	0	0	0	0	0	0
7	2	血族剑姬	获得卡牌可激活图鉴	强化、进阶可提升图鉴属性，属性对全体上阵英雄有效，该卡牌可在单人副本中获得	HDZL_3	0	2	33	3	15000	0	0	0	30	30	30	0	0	0	0	0	0	0	0	0
7	3	血族剑姬	获得卡牌可激活图鉴	强化、进阶可提升图鉴属性，属性对全体上阵英雄有效，该卡牌可在单人副本中获得	HDZL_3	0	2	34	4	20000	0	0	0	45	45	45	0	50	0	0	0	0	0	0	0
7	4	血族剑姬	获得卡牌可激活图鉴	强化、进阶可提升图鉴属性，属性对全体上阵英雄有效，该卡牌可在单人副本中获得	HDZL_3	0	2	35	5	25000	0	0	0	60	60	60	0	75	0	0	0	0	0	0	0
7	5	血族剑姬	获得卡牌可激活图鉴	强化、进阶可提升图鉴属性，属性对全体上阵英雄有效，该卡牌可在单人副本中获得	HDZL_3	0	2	0	-1	30000	0	0	0	75	75	75	0	75	0	0	0	0	75	0	0
8	1	众神之王	获得绿色众神之王卡牌可激活图鉴，该卡牌可在单人副本中获得	强化、进阶可提升图鉴属性，属性对全体上阵英雄有效，该卡牌可在单人副本中获得	HDZL_4	36	2	37	2	10000	0	0	0	15	0	15	15	0	0	0	0	0	0	0	0
8	2	众神之王	获得卡牌可激活图鉴	强化、进阶可提升图鉴属性，属性对全体上阵英雄有效，该卡牌可在单人副本中获得	HDZL_4	0	2	38	3	15000	0	0	0	30	0	30	30	0	0	0	0	0	0	0	0
8	3	众神之王	获得卡牌可激活图鉴	强化、进阶可提升图鉴属性，属性对全体上阵英雄有效，该卡牌可在单人副本中获得	HDZL_4	0	2	39	4	20000	0	0	0	45	0	45	45	0	50	0	0	0	0	0	0
8	4	众神之王	获得卡牌可激活图鉴	强化、进阶可提升图鉴属性，属性对全体上阵英雄有效，该卡牌可在单人副本中获得	HDZL_4	0	2	40	5	25000	0	0	0	60	0	60	60	0	75	0	0	0	0	0	0
8	5	众神之王	获得卡牌可激活图鉴	强化、进阶可提升图鉴属性，属性对全体上阵英雄有效，该卡牌可在单人副本中获得	HDZL_4	0	2	0	-1	30000	0	0	0	75	0	75	75	0	75	0	0	0	75	0	0
9	1	大法师	获得绿色大法师卡牌可激活图鉴，该卡牌可在单人副本中获得	强化、进阶可提升图鉴属性，属性对全体上阵英雄有效，该卡牌可在单人副本中获得	HDZL_5	41	2	42	2	10000	45	0	0	0	15	0	0	0	0	0	0	0	0	0	0
9	2	大法师	获得卡牌可激活图鉴	强化、进阶可提升图鉴属性，属性对全体上阵英雄有效，该卡牌可在单人副本中获得	HDZL_5	0	2	43	3	15000	90	0	0	0	30	0	0	0	0	0	0	0	0	0	0
9	3	大法师	获得卡牌可激活图鉴	强化、进阶可提升图鉴属性，属性对全体上阵英雄有效，该卡牌可在单人副本中获得	HDZL_5	0	2	44	4	20000	135	0	0	0	45	0	0	0	0	0	0	50	0	0	0
9	4	大法师	获得卡牌可激活图鉴	强化、进阶可提升图鉴属性，属性对全体上阵英雄有效，该卡牌可在单人副本中获得	HDZL_5	0	2	45	5	25000	180	0	0	0	60	0	0	0	0	0	0	75	0	0	0
9	5	大法师	获得卡牌可激活图鉴	强化、进阶可提升图鉴属性，属性对全体上阵英雄有效，该卡牌可在单人副本中获得	HDZL_5	0	2	0	-1	30000	225	0	0	0	75	0	0	75	0	0	0	75	0	0	0
10	1	太阳神	获得绿色太阳神卡牌可激活图鉴，该卡牌可在单人副本中获得	强化、进阶可提升图鉴属性，属性对全体上阵英雄有效，该卡牌可在单人副本中获得	HDZL_6	46	2	47	2	10000	45	0	0	0	0	0	15	0	0	0	0	0	0	0	0
10	2	太阳神	获得卡牌可激活图鉴	强化、进阶可提升图鉴属性，属性对全体上阵英雄有效，该卡牌可在单人副本中获得	HDZL_6	0	2	48	3	15000	90	0	0	0	0	0	30	0	0	0	0	0	0	0	0
10	3	太阳神	获得卡牌可激活图鉴	强化、进阶可提升图鉴属性，属性对全体上阵英雄有效，该卡牌可在单人副本中获得	HDZL_6	0	2	49	4	20000	135	0	0	0	0	0	45	0	0	0	0	0	50	0	0
10	4	太阳神	获得卡牌可激活图鉴	强化、进阶可提升图鉴属性，属性对全体上阵英雄有效，该卡牌可在单人副本中获得	HDZL_6	0	2	50	5	25000	180	0	0	0	0	0	60	0	0	0	0	0	75	0	0
10	5	太阳神	获得卡牌可激活图鉴	强化、进阶可提升图鉴属性，属性对全体上阵英雄有效，该卡牌可在单人副本中获得	HDZL_6	0	2	0	-1	30000	225	0	0	0	0	0	75	75	0	0	0	0	75	0	0
11	1	灵魂剑士	获得绿色灵魂剑士卡牌可激活图鉴，该卡牌可在单人副本中获得	强化、进阶可提升图鉴属性，属性对全体上阵英雄有效，该卡牌可在单人副本中获得	HDZL_7	51	2	52	2	10000	0	0	0	15	15	15	0	0	0	0	0	0	0	0	0
11	2	灵魂剑士	获得卡牌可激活图鉴	强化、进阶可提升图鉴属性，属性对全体上阵英雄有效，该卡牌可在单人副本中获得	HDZL_7	0	2	53	3	15000	0	0	0	30	30	30	0	0	0	0	0	0	0	0	0
11	3	灵魂剑士	获得卡牌可激活图鉴	强化、进阶可提升图鉴属性，属性对全体上阵英雄有效，该卡牌可在单人副本中获得	HDZL_7	0	2	54	4	20000	0	0	0	45	45	45	0	0	0	0	0	50	0	0	0
11	4	灵魂剑士	获得卡牌可激活图鉴	强化、进阶可提升图鉴属性，属性对全体上阵英雄有效，该卡牌可在单人副本中获得	HDZL_7	0	2	55	5	25000	0	0	0	60	60	60	0	0	0	0	0	75	0	0	0
11	5	灵魂剑士	获得卡牌可激活图鉴	强化、进阶可提升图鉴属性，属性对全体上阵英雄有效，该卡牌可在单人副本中获得	HDZL_7	0	2	0	-1	30000	0	0	0	75	75	75	0	0	75	0	0	75	0	0	0
12	1	烈焰女神	获得绿色烈焰女神卡牌可激活图鉴，该卡牌可在单人副本中获得	强化、进阶可提升图鉴属性，属性对全体上阵英雄有效，该卡牌可在单人副本中获得	HDZL_8	56	2	57	2	10000	0	0	0	15	0	15	15	0	0	0	0	0	0	0	0
12	2	烈焰女神	获得卡牌可激活图鉴	强化、进阶可提升图鉴属性，属性对全体上阵英雄有效，该卡牌可在单人副本中获得	HDZL_8	0	2	58	3	15000	0	0	0	30	0	30	30	0	0	0	0	0	0	0	0
12	3	烈焰女神	获得卡牌可激活图鉴	强化、进阶可提升图鉴属性，属性对全体上阵英雄有效，该卡牌可在单人副本中获得	HDZL_8	0	2	59	4	20000	0	0	0	45	0	45	45	0	0	0	0	0	50	0	0
12	4	烈焰女神	获得卡牌可激活图鉴	强化、进阶可提升图鉴属性，属性对全体上阵英雄有效，该卡牌可在单人副本中获得	HDZL_8	0	2	60	5	25000	0	0	0	60	0	60	60	0	0	0	0	0	75	0	0
12	5	烈焰女神	获得卡牌可激活图鉴	强化、进阶可提升图鉴属性，属性对全体上阵英雄有效，该卡牌可在单人副本中获得	HDZL_8	0	2	0	-1	30000	0	0	0	75	0	75	75	0	75	0	0	0	75	0	0
13	1	绿龙瑟拉	获得绿色绿龙瑟拉卡牌可激活图鉴，该卡牌可在龙骑试炼中获得	强化、进阶可提升图鉴属性，属性对全体上阵英雄有效，该卡牌可在龙骑试炼中获得	JLSH_1	61	3	62	2	10000	45	0	0	0	15	0	0	0	0	0	0	0	0	0	0
13	2	绿龙瑟拉	获得卡牌可激活图鉴	强化、进阶可提升图鉴属性，属性对全体上阵英雄有效，该卡牌可在龙骑试炼中获得	JLSH_1	0	3	63	3	15000	90	0	0	0	30	0	0	0	0	0	0	0	0	0	0
13	3	绿龙瑟拉	获得卡牌可激活图鉴	强化、进阶可提升图鉴属性，属性对全体上阵英雄有效，该卡牌可在龙骑试炼中获得	JLSH_1	0	3	64	4	20000	135	0	0	0	45	0	0	50	0	0	0	0	0	0	0
13	4	绿龙瑟拉	获得卡牌可激活图鉴	强化、进阶可提升图鉴属性，属性对全体上阵英雄有效，该卡牌可在龙骑试炼中获得	JLSH_1	0	3	65	5	25000	180	0	0	0	60	0	0	75	0	0	0	0	0	0	0
13	5	绿龙瑟拉	获得卡牌可激活图鉴	强化、进阶可提升图鉴属性，属性对全体上阵英雄有效，该卡牌可在龙骑试炼中获得	JLSH_1	0	3	0	-1	30000	225	0	0	0	75	0	0	75	0	0	0	75	0	0	0
14	1	冰龙雷姆	获得绿色冰龙雷姆卡牌可激活图鉴，该卡牌可在龙骑试炼中获得	强化、进阶可提升图鉴属性，属性对全体上阵英雄有效，该卡牌可在龙骑试炼中获得	JLSH_2	66	3	67	2	10000	45	0	0	0	0	0	15	0	0	0	0	0	0	0	0
14	2	冰龙雷姆	获得卡牌可激活图鉴	强化、进阶可提升图鉴属性，属性对全体上阵英雄有效，该卡牌可在龙骑试炼中获得	JLSH_2	0	3	68	3	15000	90	0	0	0	0	0	30	0	0	0	0	0	0	0	0
14	3	冰龙雷姆	获得卡牌可激活图鉴	强化、进阶可提升图鉴属性，属性对全体上阵英雄有效，该卡牌可在龙骑试炼中获得	JLSH_2	0	3	69	4	20000	135	0	0	0	0	0	45	0	50	0	0	0	0	0	0
14	4	冰龙雷姆	获得卡牌可激活图鉴	强化、进阶可提升图鉴属性，属性对全体上阵英雄有效，该卡牌可在龙骑试炼中获得	JLSH_2	0	3	70	5	25000	180	0	0	0	0	0	60	0	75	0	0	0	0	0	0
14	5	冰龙雷姆	获得卡牌可激活图鉴	强化、进阶可提升图鉴属性，属性对全体上阵英雄有效，该卡牌可在龙骑试炼中获得	JLSH_2	0	3	0	-1	30000	225	0	0	0	0	0	75	0	75	0	0	75	0	0	0
15	1	蓝龙修雷	获得绿色蓝龙修雷卡牌可激活图鉴，该卡牌可在龙骑试炼中获得	强化、进阶可提升图鉴属性，属性对全体上阵英雄有效，该卡牌可在龙骑试炼中获得	JLSH_3	71	3	72	2	10000	0	0	0	15	15	15	0	0	0	0	0	0	0	0	0
15	2	蓝龙修雷	获得卡牌可激活图鉴	强化、进阶可提升图鉴属性，属性对全体上阵英雄有效，该卡牌可在龙骑试炼中获得	JLSH_3	0	3	73	3	15000	0	0	0	30	30	30	0	0	0	0	0	0	0	0	0
15	3	蓝龙修雷	获得卡牌可激活图鉴	强化、进阶可提升图鉴属性，属性对全体上阵英雄有效，该卡牌可在龙骑试炼中获得	JLSH_3	0	3	74	4	20000	0	0	0	45	45	45	0	50	0	0	0	0	0	0	0
15	4	蓝龙修雷	获得卡牌可激活图鉴	强化、进阶可提升图鉴属性，属性对全体上阵英雄有效，该卡牌可在龙骑试炼中获得	JLSH_3	0	3	75	5	25000	0	0	0	60	60	60	0	75	0	0	0	0	0	0	0
15	5	蓝龙修雷	获得卡牌可激活图鉴	强化、进阶可提升图鉴属性，属性对全体上阵英雄有效，该卡牌可在龙骑试炼中获得	JLSH_3	0	3	0	-1	30000	0	0	0	75	75	75	0	75	0	0	0	0	75	0	0
16	1	黑龙莉亚	获得绿色黑龙莉亚卡牌可激活图鉴，该卡牌可在龙骑试炼中获得	强化、进阶可提升图鉴属性，属性对全体上阵英雄有效，该卡牌可在龙骑试炼中获得	JLSH_4	76	3	77	2	10000	0	0	0	15	0	15	15	0	0	0	0	0	0	0	0
16	2	黑龙莉亚	获得卡牌可激活图鉴	强化、进阶可提升图鉴属性，属性对全体上阵英雄有效，该卡牌可在龙骑试炼中获得	JLSH_4	0	3	78	3	15000	0	0	0	30	0	30	30	0	0	0	0	0	0	0	0
16	3	黑龙莉亚	获得卡牌可激活图鉴	强化、进阶可提升图鉴属性，属性对全体上阵英雄有效，该卡牌可在龙骑试炼中获得	JLSH_4	0	3	79	4	20000	0	0	0	45	0	45	45	0	50	0	0	0	0	0	0
16	4	黑龙莉亚	获得卡牌可激活图鉴	强化、进阶可提升图鉴属性，属性对全体上阵英雄有效，该卡牌可在龙骑试炼中获得	JLSH_4	0	3	80	5	25000	0	0	0	60	0	60	60	0	75	0	0	0	0	0	0
16	5	黑龙莉亚	获得卡牌可激活图鉴	强化、进阶可提升图鉴属性，属性对全体上阵英雄有效，该卡牌可在龙骑试炼中获得	JLSH_4	0	3	0	-1	30000	0	0	0	75	0	75	75	0	75	0	0	0	75	0	0
17	1	红龙卡莎	获得绿色红龙卡莎卡牌可激活图鉴，该卡牌可在龙骑试炼中获得	强化、进阶可提升图鉴属性，属性对全体上阵英雄有效，该卡牌可在龙骑试炼中获得	JLSH_5	81	3	82	2	10000	45	0	0	0	15	0	0	0	0	0	0	0	0	0	0
17	2	红龙卡莎	获得卡牌可激活图鉴	强化、进阶可提升图鉴属性，属性对全体上阵英雄有效，该卡牌可在龙骑试炼中获得	JLSH_5	0	3	83	3	15000	90	0	0	0	30	0	0	0	0	0	0	0	0	0	0
17	3	红龙卡莎	获得卡牌可激活图鉴	强化、进阶可提升图鉴属性，属性对全体上阵英雄有效，该卡牌可在龙骑试炼中获得	JLSH_5	0	3	84	4	20000	135	0	0	0	45	0	0	0	0	0	0	50	0	0	0
17	4	红龙卡莎	获得卡牌可激活图鉴	强化、进阶可提升图鉴属性，属性对全体上阵英雄有效，该卡牌可在龙骑试炼中获得	JLSH_5	0	3	85	5	25000	180	0	0	0	60	0	0	0	0	0	0	75	0	0	0
17	5	红龙卡莎	获得卡牌可激活图鉴	强化、进阶可提升图鉴属性，属性对全体上阵英雄有效，该卡牌可在龙骑试炼中获得	JLSH_5	0	3	0	-1	30000	225	0	0	0	75	0	0	75	0	0	0	75	0	0	0
18	1	金龙苟达	获得绿色金龙苟达卡牌可激活图鉴，该卡牌可在龙骑试炼中获得	强化、进阶可提升图鉴属性，属性对全体上阵英雄有效，该卡牌可在龙骑试炼中获得	JLSH_6	86	3	87	2	10000	45	0	0	0	0	0	15	0	0	0	0	0	0	0	0
18	2	金龙苟达	获得卡牌可激活图鉴	强化、进阶可提升图鉴属性，属性对全体上阵英雄有效，该卡牌可在龙骑试炼中获得	JLSH_6	0	3	88	3	15000	90	0	0	0	0	0	30	0	0	0	0	0	0	0	0
18	3	金龙苟达	获得卡牌可激活图鉴	强化、进阶可提升图鉴属性，属性对全体上阵英雄有效，该卡牌可在龙骑试炼中获得	JLSH_6	0	3	89	4	20000	135	0	0	0	0	0	45	0	0	0	0	0	50	0	0
18	4	金龙苟达	获得卡牌可激活图鉴	强化、进阶可提升图鉴属性，属性对全体上阵英雄有效，该卡牌可在龙骑试炼中获得	JLSH_6	0	3	90	5	25000	180	0	0	0	0	0	60	0	0	0	0	0	75	0	0
18	5	金龙苟达	获得卡牌可激活图鉴	强化、进阶可提升图鉴属性，属性对全体上阵英雄有效，该卡牌可在龙骑试炼中获得	JLSH_6	0	3	0	-1	30000	225	0	0	0	0	0	75	75	0	0	0	0	75	0	0
19	1	白金龙怀特	获得绿色白金龙怀特卡牌可激活图鉴，该卡牌可在龙骑试炼中获得	强化、进阶可提升图鉴属性，属性对全体上阵英雄有效，该卡牌可在龙骑试炼中获得	JLSH_7	91	3	92	2	10000	0	0	0	15	15	15	0	0	0	0	0	0	0	0	0
19	2	白金龙怀特	获得卡牌可激活图鉴	强化、进阶可提升图鉴属性，属性对全体上阵英雄有效，该卡牌可在龙骑试炼中获得	JLSH_7	0	3	93	3	15000	0	0	0	30	30	30	0	0	0	0	0	0	0	0	0
19	3	白金龙怀特	获得卡牌可激活图鉴	强化、进阶可提升图鉴属性，属性对全体上阵英雄有效，该卡牌可在龙骑试炼中获得	JLSH_7	0	3	94	4	20000	0	0	0	45	45	45	0	0	0	0	0	50	0	0	0
19	4	白金龙怀特	获得卡牌可激活图鉴	强化、进阶可提升图鉴属性，属性对全体上阵英雄有效，该卡牌可在龙骑试炼中获得	JLSH_7	0	3	95	5	25000	0	0	0	60	60	60	0	0	0	0	0	75	0	0	0
19	5	白金龙怀特	获得卡牌可激活图鉴	强化、进阶可提升图鉴属性，属性对全体上阵英雄有效，该卡牌可在龙骑试炼中获得	JLSH_7	0	3	0	-1	30000	0	0	0	75	75	75	0	0	75	0	0	75	0	0	0
20	1	彩虹龙安娜	获得绿色彩虹龙安娜牌可激活图鉴，该卡牌可在龙骑试炼中获得	强化、进阶可提升图鉴属性，属性对全体上阵英雄有效，该卡牌可在龙骑试炼中获得	JLSH_8	96	3	97	2	10000	0	0	0	15	0	15	15	0	0	0	0	0	0	0	0
20	2	彩虹龙安娜	获得卡牌可激活图鉴	强化、进阶可提升图鉴属性，属性对全体上阵英雄有效，该卡牌可在龙骑试炼中获得	JLSH_8	0	3	98	3	15000	0	0	0	30	0	30	30	0	0	0	0	0	0	0	0
20	3	彩虹龙安娜	获得卡牌可激活图鉴	强化、进阶可提升图鉴属性，属性对全体上阵英雄有效，该卡牌可在龙骑试炼中获得	JLSH_8	0	3	99	4	20000	0	0	0	45	0	45	45	0	0	0	0	0	50	0	0
20	4	彩虹龙安娜	获得卡牌可激活图鉴	强化、进阶可提升图鉴属性，属性对全体上阵英雄有效，该卡牌可在龙骑试炼中获得	JLSH_8	0	3	100	5	25000	0	0	0	60	0	60	60	0	0	0	0	0	75	0	0
20	5	彩虹龙安娜	获得卡牌可激活图鉴	强化、进阶可提升图鉴属性，属性对全体上阵英雄有效，该卡牌可在龙骑试炼中获得	JLSH_8	0	3	0	-1	30000	0	0	0	75	0	75	75	0	75	0	0	0	75	0	0
21	1	圣辉护卫	获得绿色圣辉护卫卡牌可激活图鉴，该卡牌可在宝石2048中获得	强化、进阶可提升图鉴属性，属性对全体上阵英雄有效，该卡牌可在宝石2048中获得	ZYZD_1	101	4	102	2	10000	45	0	0	0	15	0	0	0	0	0	0	0	0	0	0
21	2	圣辉护卫	获得卡牌可激活图鉴	强化、进阶可提升图鉴属性，属性对全体上阵英雄有效，该卡牌可在宝石2048中获得	ZYZD_1	0	4	103	3	15000	90	0	0	0	30	0	0	0	0	0	0	0	0	0	0
21	3	圣辉护卫	获得卡牌可激活图鉴	强化、进阶可提升图鉴属性，属性对全体上阵英雄有效，该卡牌可在宝石2048中获得	ZYZD_1	0	4	104	4	20000	135	0	0	0	45	0	0	50	0	0	0	0	0	0	0
21	4	圣辉护卫	获得卡牌可激活图鉴	强化、进阶可提升图鉴属性，属性对全体上阵英雄有效，该卡牌可在宝石2048中获得	ZYZD_1	0	4	105	5	25000	180	0	0	0	60	0	0	75	0	0	0	0	0	0	0
21	5	圣辉护卫	获得卡牌可激活图鉴	强化、进阶可提升图鉴属性，属性对全体上阵英雄有效，该卡牌可在宝石2048中获得	ZYZD_1	0	4	0	-1	30000	225	0	0	0	75	0	0	75	0	0	0	75	0	0	0
22	1	冠军骑士	获得绿色冠军骑士卡牌可激活图鉴，该卡牌可在宝石2048中获得	强化、进阶可提升图鉴属性，属性对全体上阵英雄有效，该卡牌可在宝石2048中获得	ZYZD_2	106	4	107	2	10000	45	0	0	0	0	0	15	0	0	0	0	0	0	0	0
22	2	冠军骑士	获得卡牌可激活图鉴	强化、进阶可提升图鉴属性，属性对全体上阵英雄有效，该卡牌可在宝石2048中获得	ZYZD_2	0	4	108	3	15000	90	0	0	0	0	0	30	0	0	0	0	0	0	0	0
22	3	冠军骑士	获得卡牌可激活图鉴	强化、进阶可提升图鉴属性，属性对全体上阵英雄有效，该卡牌可在宝石2048中获得	ZYZD_2	0	4	109	4	20000	135	0	0	0	0	0	45	0	50	0	0	0	0	0	0
22	4	冠军骑士	获得卡牌可激活图鉴	强化、进阶可提升图鉴属性，属性对全体上阵英雄有效，该卡牌可在宝石2048中获得	ZYZD_2	0	4	110	5	25000	180	0	0	0	0	0	60	0	75	0	0	0	0	0	0
22	5	冠军骑士	获得卡牌可激活图鉴	强化、进阶可提升图鉴属性，属性对全体上阵英雄有效，该卡牌可在宝石2048中获得	ZYZD_2	0	4	0	-1	30000	225	0	0	0	0	0	75	0	75	0	0	75	0	0	0
23	1	雷神	获得绿色雷神卡牌可激活图鉴，该卡牌可在宝石2048中获得	强化、进阶可提升图鉴属性，属性对全体上阵英雄有效，该卡牌可在宝石2048中获得	ZYZD_3	111	4	112	2	10000	0	0	0	15	15	15	0	0	0	0	0	0	0	0	0
23	2	雷神	获得卡牌可激活图鉴	强化、进阶可提升图鉴属性，属性对全体上阵英雄有效，该卡牌可在宝石2048中获得	ZYZD_3	0	4	113	3	15000	0	0	0	30	30	30	0	0	0	0	0	0	0	0	0
23	3	雷神	获得卡牌可激活图鉴	强化、进阶可提升图鉴属性，属性对全体上阵英雄有效，该卡牌可在宝石2048中获得	ZYZD_3	0	4	114	4	20000	0	0	0	45	45	45	0	50	0	0	0	0	0	0	0
23	4	雷神	获得卡牌可激活图鉴	强化、进阶可提升图鉴属性，属性对全体上阵英雄有效，该卡牌可在宝石2048中获得	ZYZD_3	0	4	115	5	25000	0	0	0	60	60	60	0	75	0	0	0	0	0	0	0
23	5	雷神	获得卡牌可激活图鉴	强化、进阶可提升图鉴属性，属性对全体上阵英雄有效，该卡牌可在宝石2048中获得	ZYZD_3	0	4	0	-1	30000	0	0	0	75	75	75	0	75	0	0	0	0	75	0	0
24	1	战争之王	获得绿色战争之王卡牌可激活图鉴，该卡牌可在宝石2048中获得	强化、进阶可提升图鉴属性，属性对全体上阵英雄有效，该卡牌可在宝石2048中获得	ZYZD_4	116	4	117	2	10000	0	0	0	15	0	15	15	0	0	0	0	0	0	0	0
24	2	战争之王	获得卡牌可激活图鉴	强化、进阶可提升图鉴属性，属性对全体上阵英雄有效，该卡牌可在宝石2048中获得	ZYZD_4	0	4	118	3	15000	0	0	0	30	0	30	30	0	0	0	0	0	0	0	0
24	3	战争之王	获得卡牌可激活图鉴	强化、进阶可提升图鉴属性，属性对全体上阵英雄有效，该卡牌可在宝石2048中获得	ZYZD_4	0	4	119	4	20000	0	0	0	45	0	45	45	0	50	0	0	0	0	0	0
24	4	战争之王	获得卡牌可激活图鉴	强化、进阶可提升图鉴属性，属性对全体上阵英雄有效，该卡牌可在宝石2048中获得	ZYZD_4	0	4	120	5	25000	0	0	0	60	0	60	60	0	75	0	0	0	0	0	0
24	5	战争之王	获得卡牌可激活图鉴	强化、进阶可提升图鉴属性，属性对全体上阵英雄有效，该卡牌可在宝石2048中获得	ZYZD_4	0	4	0	-1	30000	0	0	0	75	0	75	75	0	75	0	0	0	75	0	0
