roleType	career	sex	grade	star	colorCode	color	floorShadow	nextGrade	upgradeNeedLv	upgradeNeedItem	getSkillPoint	ResId	CompareHero	bigIcon	smallIcon	attack_Plus	attack_Coe	maxhp_Plus	maxhp_Coe	speedGrow	maxhp	attackspeed	anger	attack_p	defense_p	attack_m	defense_m	crit	critpress	antibroken	notbroken	parry	puncture	damageupgrade	damagereduce	CuiLianShiCnt
69	2	2	3	1	3	蓝色	icoBg2	4	1	25676, 25	40	10020	70	10020	10020	22000	10	11000	30	极快	1500000	90000	0	500000	0	0	0	5000000	0	0	0	0	0	0	0	9
70	2	2	4	1	4	紫色	icoBg3	7	40	25676, 30	45	10021	71	10021	10021	30000	10	15000	30	极快	1500000	90000	0	500000	0	0	0	5000000	0	0	0	0	0	0	0	12
71	2	2	7	2	1	白色	0	8	40	25677, 1	50	10020	72	10020	10020	35000	10	17500	30	极快	1500000	90100	0	500000	0	0	0	5000000	0	0	0	0	0	0	0	15
72	2	2	8	2	2	绿色	icoBg1	9	40	25677, 5	55	10020	73	10020	10020	40000	10	20000	30	极快	1500000	90100	0	500000	0	0	0	5000000	0	0	0	0	0	0	0	18
73	2	2	9	2	3	蓝色	icoBg2	10	40	25677, 25	60	10020	74	10020	10020	45000	10	22500	30	极快	1500000	90100	0	500000	0	0	0	5000000	0	0	0	0	0	0	0	21
74	2	2	10	2	4	紫色	icoBg3	13	60	25677, 30	65	10021	75	10021	10021	50000	10	25000	30	极快	1500000	90100	0	500000	0	0	0	5000000	0	0	0	0	0	0	0	24
75	2	2	13	3	1	白色	0	14	60	25678, 1	70	10020	76	10020	10020	55000	10	27500	30	极快	1500000	90200	0	500000	0	0	0	5000000	0	0	0	0	0	0	0	30
76	2	2	14	3	2	绿色	icoBg1	15	60	25678, 5	75	10020	77	10020	10020	60000	10	30000	30	极快	1500000	90200	0	500000	0	0	0	5000000	0	0	0	0	0	0	0	36
77	2	2	15	3	3	蓝色	icoBg2	16	60	25678, 25	80	10020	78	10020	10020	65000	10	32500	30	极快	1500000	90200	0	500000	0	0	0	5000000	0	0	0	0	0	0	0	42
78	2	2	16	3	4	紫色	icoBg3	19	80	25678, 30	85	10021	79	10021	10021	70000	10	35000	30	极快	1500000	90200	0	500000	0	0	0	5000000	0	0	0	0	0	0	0	48
79	2	2	19	4	1	白色	0	20	80	25679, 1	70	10020	80	10020	10020	72000	10	36000	30	极快	1500000	90300	0	500000	0	0	0	5000000	0	0	0	0	0	0	0	54
80	2	2	20	4	2	绿色	icoBg1	21	80	25679, 5	75	10020	81	10020	10020	74000	10	37000	30	极快	1500000	90300	0	500000	0	0	0	5000000	0	0	0	0	0	0	0	60
81	2	2	21	4	3	蓝色	icoBg2	22	80	25679, 25	80	10020	82	10020	10020	77000	10	38500	30	极快	1500000	90300	0	500000	0	0	0	5000000	0	0	0	0	0	0	0	66
82	2	2	22	4	4	紫色	icoBg3	23	80	25679, 50	85	10021	83	10021	10021	80000	10	40000	30	极快	1500000	90300	0	500000	0	0	0	5000000	0	0	0	0	0	0	0	72
83	2	2	23	4	5	橙色	icoBg5	25	100	25679, 30	90	10021	84	10021	10021	110000	10	55000	30	极快	1500000	90300	0	500000	0	0	0	5000000	0	0	0	0	0	0	0	84
84	2	2	25	5	1	白色	0	26	100	25680, 1	70	10020	85	10020	10020	112000	10	56000	30	极快	1500000	90400	0	500000	0	0	0	5000000	0	0	0	0	0	0	0	92
85	2	2	26	5	2	绿色	icoBg1	27	100	25680, 5	75	10020	86	10020	10020	114000	10	57000	30	极快	1500000	90400	0	500000	0	0	0	5000000	0	0	0	0	0	0	0	100
86	2	2	27	5	3	蓝色	icoBg2	28	100	25680, 25	80	10020	87	10020	10020	117000	10	58500	30	极快	1500000	90400	0	500000	0	0	0	5000000	0	0	0	0	0	0	0	108
87	2	2	28	5	4	紫色	icoBg3	29	100	25680, 50	85	10021	88	10021	10021	120000	10	60000	30	极快	1500000	90400	0	500000	0	0	0	5000000	0	0	0	0	0	0	0	116
88	2	2	29	5	5	橙色	icoBg5	31	120	25680, 30	90	10021	104	10021	10021	125000	10	62500	30	极快	1500000	90400	0	500000	0	0	0	5000000	0	0	0	0	0	0	0	132
89	1	1	31	6	1	白色	0	32	120	26500, 1	70	10002	90	10002	10002	130000	10	65000	30	极快	1500000	90500	0	500000	0	0	0	5000000	0	0	0	0	0	0	0	142
90	1	1	32	6	2	绿色	icoBg1	33	120	26500, 5	75	10002	91	10002	10002	132000	10	66000	30	极快	1500000	90500	0	500000	0	0	0	5000000	0	0	0	0	0	0	0	152
91	1	1	33	6	3	蓝色	icoBg2	34	120	26500, 25	80	10002	92	10002	10002	135000	10	67500	30	极快	1500000	90500	0	500000	0	0	0	5000000	0	0	0	0	0	0	0	162
92	1	1	34	6	4	紫色	icoBg3	35	120	26500, 50	85	10003	93	10003	10003	140000	10	70000	30	极快	1500000	90500	0	500000	0	0	0	5000000	0	0	0	0	0	0	0	172
93	1	1	35	6	5	橙色	icoBg5	37	140	26500, 30	90	10003	109	10003	10003	150000	10	75000	30	极快	1500000	90500	0	500000	0	0	0	5000000	0	0	0	0	0	0	0	192
94	2	1	31	6	1	白色	0	32	120	26500, 1	70	10014	95	10014	10014	130000	10	65000	30	极快	1500000	90500	0	500000	0	0	0	5000000	0	0	0	0	0	0	0	142
95	2	1	32	6	2	绿色	icoBg1	33	120	26500, 5	75	10014	96	10014	10014	132000	10	66000	30	极快	1500000	90500	0	500000	0	0	0	5000000	0	0	0	0	0	0	0	152
96	2	1	33	6	3	蓝色	icoBg2	34	120	26500, 25	80	10014	97	10014	10014	135000	10	67500	30	极快	1500000	90500	0	500000	0	0	0	5000000	0	0	0	0	0	0	0	162
97	2	1	34	6	4	紫色	icoBg3	35	120	26500, 50	85	10015	98	10015	10015	140000	10	70000	30	极快	1500000	90500	0	500000	0	0	0	5000000	0	0	0	0	0	0	0	172
98	2	1	35	6	5	橙色	icoBg5	37	140	26500, 30	90	10015	114	10015	10015	150000	10	75000	30	极快	1500000	90500	0	500000	0	0	0	5000000	0	0	0	0	0	0	0	192
99	1	2	31	6	1	白色	0	32	120	26500, 1	70	10008	100	10008	10008	130000	10	65000	30	极快	1500000	90500	0	500000	0	0	0	5000000	0	0	0	0	0	0	0	142
100	1	2	32	6	2	绿色	icoBg1	33	120	26500, 5	75	10008	101	10008	10008	132000	10	66000	30	极快	1500000	90500	0	500000	0	0	0	5000000	0	0	0	0	0	0	0	152
101	1	2	33	6	3	蓝色	icoBg2	34	120	26500, 25	80	10008	102	10008	10008	135000	10	67500	30	极快	1500000	90500	0	500000	0	0	0	5000000	0	0	0	0	0	0	0	162
102	1	2	34	6	4	紫色	icoBg3	35	120	26500, 50	85	10009	103	10009	10009	140000	10	70000	30	极快	1500000	90500	0	500000	0	0	0	5000000	0	0	0	0	0	0	0	172
103	1	2	35	6	5	橙色	icoBg5	37	140	26500, 30	90	10009	119	10009	10009	150000	10	75000	30	极快	1500000	90500	0	500000	0	0	0	5000000	0	0	0	0	0	0	0	192
104	2	2	31	6	1	白色	0	32	120	26500, 1	70	10020	105	10020	10020	130000	10	65000	30	极快	1500000	90500	0	500000	0	0	0	5000000	0	0	0	0	0	0	0	142
105	2	2	32	6	2	绿色	icoBg1	33	120	26500, 5	75	10020	106	10020	10020	132000	10	66000	30	极快	1500000	90500	0	500000	0	0	0	5000000	0	0	0	0	0	0	0	152
106	2	2	33	6	3	蓝色	icoBg2	34	120	26500, 25	80	10020	107	10020	10020	135000	10	67500	30	极快	1500000	90500	0	500000	0	0	0	5000000	0	0	0	0	0	0	0	162
107	2	2	34	6	4	紫色	icoBg3	35	120	26500, 50	85	10021	108	10021	10021	140000	10	70000	30	极快	1500000	90500	0	500000	0	0	0	5000000	0	0	0	0	0	0	0	172
108	2	2	35	6	5	橙色	icoBg5	37	140	26500, 30	90	10021	124	10021	10021	150000	10	75000	30	极快	1500000	90500	0	500000	0	0	0	5000000	0	0	0	0	0	0	0	192
109	1	1	37	7	1	白色	0	38	140	27067, 1	70	10002	110	10002	10002	155000	10	77500	30	极快	1500000	90600	0	500000	0	0	0	5000000	0	0	0	0	0	0	0	204
110	1	1	38	7	2	绿色	icoBg1	39	140	27067, 5	75	10002	111	10002	10002	157000	10	78500	30	极快	1500000	90600	0	500000	0	0	0	5000000	0	0	0	0	0	0	0	216
111	1	1	39	7	3	蓝色	icoBg2	40	140	27067, 25	80	10002	112	10002	10002	160000	10	80000	30	极快	1500000	90600	0	500000	0	0	0	5000000	0	0	0	0	0	0	0	228
112	1	1	40	7	4	紫色	icoBg3	41	140	27067, 50	85	10003	113	10003	10003	165000	10	82500	30	极快	1500000	90600	0	500000	0	0	0	5000000	0	0	0	0	0	0	0	240
113	1	1	41	7	5	橙色	icoBg5	43	160	27067, 50	90	10003	129	10003	10003	175000	10	87500	30	极快	1500000	90600	0	500000	0	0	0	5000000	0	0	0	0	0	0	0	264
114	2	1	37	7	1	白色	0	38	140	27067, 1	70	10014	115	10014	10014	155000	10	77500	30	极快	1500000	90600	0	500000	0	0	0	5000000	0	0	0	0	0	0	0	204
115	2	1	38	7	2	绿色	icoBg1	39	140	27067, 5	75	10014	116	10014	10014	157000	10	78500	30	极快	1500000	90600	0	500000	0	0	0	5000000	0	0	0	0	0	0	0	216
116	2	1	39	7	3	蓝色	icoBg2	40	140	27067, 25	80	10014	117	10014	10014	160000	10	80000	30	极快	1500000	90600	0	500000	0	0	0	5000000	0	0	0	0	0	0	0	228
117	2	1	40	7	4	紫色	icoBg3	41	140	27067, 50	85	10015	118	10015	10015	165000	10	82500	30	极快	1500000	90600	0	500000	0	0	0	5000000	0	0	0	0	0	0	0	240
118	2	1	41	7	5	橙色	icoBg5	43	160	27067, 50	90	10015	134	10015	10015	175000	10	87500	30	极快	1500000	90600	0	500000	0	0	0	5000000	0	0	0	0	0	0	0	264
119	1	2	37	7	1	白色	0	38	140	27067, 1	70	10008	120	10008	10008	155000	10	77500	30	极快	1500000	90600	0	500000	0	0	0	5000000	0	0	0	0	0	0	0	204
120	1	2	38	7	2	绿色	icoBg1	39	140	27067, 5	75	10008	121	10008	10008	157000	10	78500	30	极快	1500000	90600	0	500000	0	0	0	5000000	0	0	0	0	0	0	0	216
121	1	2	39	7	3	蓝色	icoBg2	40	140	27067, 25	80	10008	122	10008	10008	160000	10	80000	30	极快	1500000	90600	0	500000	0	0	0	5000000	0	0	0	0	0	0	0	228
122	1	2	40	7	4	紫色	icoBg3	41	140	27067, 50	85	10009	123	10009	10009	165000	10	82500	30	极快	1500000	90600	0	500000	0	0	0	5000000	0	0	0	0	0	0	0	240
123	1	2	41	7	5	橙色	icoBg5	43	160	27067, 50	90	10009	139	10009	10009	175000	10	87500	30	极快	1500000	90600	0	500000	0	0	0	5000000	0	0	0	0	0	0	0	264
124	2	2	37	7	1	白色	0	38	140	27067, 1	70	10020	125	10020	10020	155000	10	77500	30	极快	1500000	90600	0	500000	0	0	0	5000000	0	0	0	0	0	0	0	204
125	2	2	38	7	2	绿色	icoBg1	39	140	27067, 5	75	10020	126	10020	10020	157000	10	78500	30	极快	1500000	90600	0	500000	0	0	0	5000000	0	0	0	0	0	0	0	216
126	2	2	39	7	3	蓝色	icoBg2	40	140	27067, 25	80	10020	127	10020	10020	160000	10	80000	30	极快	1500000	90600	0	500000	0	0	0	5000000	0	0	0	0	0	0	0	228
127	2	2	40	7	4	紫色	icoBg3	41	140	27067, 50	85	10021	128	10021	10021	165000	10	82500	30	极快	1500000	90600	0	500000	0	0	0	5000000	0	0	0	0	0	0	0	240
128	2	2	41	7	5	橙色	icoBg5	43	160	27067, 50	90	10021	144	10021	10021	175000	10	87500	30	极快	1500000	90600	0	500000	0	0	0	5000000	0	0	0	0	0	0	0	264
129	1	1	43	8	1	白色	0	44	160	27926, 1	70	10002	130	10002	10002	180000	10	92500	30	极快	1500000	90700	0	500000	0	0	0	5000000	0	0	0	0	0	0	0	278
130	1	1	44	8	2	绿色	icoBg1	45	160	27926, 5	75	10002	131	10002	10002	182000	10	93500	30	极快	1500000	90700	0	500000	0	0	0	5000000	0	0	0	0	0	0	0	292
131	1	1	45	8	3	蓝色	icoBg2	46	160	27926, 25	80	10002	132	10002	10002	185000	10	95000	30	极快	1500000	90700	0	500000	0	0	0	5000000	0	0	0	0	0	0	0	306
132	1	1	46	8	4	紫色	icoBg3	47	160	27926, 50	85	10003	133	10003	10003	190000	10	97500	30	极快	1500000	90700	0	500000	0	0	0	5000000	0	0	0	0	0	0	0	320
133	1	1	47	8	5	橙色	icoBg5	-1	160	27926, 50	90	10003	0	10003	10003	200000	10	102500	30	极快	1500000	90700	0	500000	0	0	0	5000000	0	0	0	0	0	0	0	348
134	2	1	43	8	1	白色	0	44	160	27926, 1	70	10014	135	10014	10014	180000	10	92500	30	极快	1500000	90700	0	500000	0	0	0	5000000	0	0	0	0	0	0	0	278
135	2	1	44	8	2	绿色	icoBg1	45	160	27926, 5	75	10014	136	10014	10014	182000	10	93500	30	极快	1500000	90700	0	500000	0	0	0	5000000	0	0	0	0	0	0	0	292
136	2	1	45	8	3	蓝色	icoBg2	46	160	27926, 25	80	10014	137	10014	10014	185000	10	95000	30	极快	1500000	90700	0	500000	0	0	0	5000000	0	0	0	0	0	0	0	306
137	2	1	46	8	4	紫色	icoBg3	47	160	27926, 50	85	10015	138	10015	10015	190000	10	97500	30	极快	1500000	90700	0	500000	0	0	0	5000000	0	0	0	0	0	0	0	320
138	2	1	47	8	5	橙色	icoBg5	-1	0	27926, 50	90	10015	0	10015	10015	200000	10	102500	30	极快	1500000	90700	0	500000	0	0	0	5000000	0	0	0	0	0	0	0	348
139	1	2	43	8	1	白色	0	44	160	27926, 1	70	10008	140	10008	10008	180000	10	92500	30	极快	1500000	90700	0	500000	0	0	0	5000000	0	0	0	0	0	0	0	278
140	1	2	44	8	2	绿色	icoBg1	45	160	27926, 5	75	10008	141	10008	10008	182000	10	93500	30	极快	1500000	90700	0	500000	0	0	0	5000000	0	0	0	0	0	0	0	292
