level	exp	Desc
145	47050000	#S(16)#C(#FF8614)恭喜你升到145级。
146	47450000	#S(16)#C(#FF8614)恭喜你升到146级。
147	47850000	#S(16)#C(#FF8614)恭喜你升到147级。
148	48250000	#S(16)#C(#FF8614)恭喜你升到148级。
149	48650000	#S(16)#C(#FF8614)恭喜你升到149级。
150	49050000	#S(16)#C(#FF8614)恭喜你升到150级。
151	49450000	#S(16)#C(#FF8614)恭喜你升到151级。
152	49850000	#S(16)#C(#FF8614)恭喜你升到152级。
153	50250000	#S(16)#C(#FF8614)恭喜你升到153级。
154	50650000	#S(16)#C(#FF8614)恭喜你升到154级。
155	51050000	#S(16)#C(#FF8614)恭喜你升到155级。
156	51450000	#S(16)#C(#FF8614)恭喜你升到156级。
157	51850000	#S(16)#C(#FF8614)恭喜你升到157级。
158	52250000	#S(16)#C(#FF8614)恭喜你升到158级。
159	52650000	#S(16)#C(#FF8614)恭喜你升到159级。
160	55150000	#S(16)#C(#FF8614)恭喜你升到160级。
161	55650000	#S(16)#C(#FF8614)恭喜你升到161级。
162	56150000	#S(16)#C(#FF8614)恭喜你升到162级。
163	56650000	#S(16)#C(#FF8614)恭喜你升到163级。
164	57150000	#S(16)#C(#FF8614)恭喜你升到164级。
165	57650000	#S(16)#C(#FF8614)恭喜你升到165级。
166	58150000	#S(16)#C(#FF8614)恭喜你升到166级。
167	58650000	#S(16)#C(#FF8614)恭喜你升到167级。
168	59150000	#S(16)#C(#FF8614)恭喜你升到168级。
169	59650000	#S(16)#C(#FF8614)恭喜你升到169级。
170	60150000	#S(16)#C(#FF8614)恭喜你升到170级。
171	60650000	#S(16)#C(#FF8614)恭喜你升到171级。
172	61150000	#S(16)#C(#FF8614)恭喜你升到172级。
173	61650000	#S(16)#C(#FF8614)恭喜你升到173级。
174	62150000	#S(16)#C(#FF8614)恭喜你升到174级。
175	62650000	#S(16)#C(#FF8614)恭喜你升到175级。
176	63150000	#S(16)#C(#FF8614)恭喜你升到176级。
177	63650000	#S(16)#C(#FF8614)恭喜你升到177级。
178	64150000	#S(16)#C(#FF8614)恭喜你升到178级。
179	64650000	#S(16)#C(#FF8614)恭喜你升到179级。
