GemID	GemLevel	GemDoubleType	IsResolve	CostRMB	GetResolve	GemType	CanMix	MixMoney	MixNum	NextGemID	lowerlist	decompositionNum	pt1	pv1	pt2	pv2
25750	4	0	0	0	0	4	1	0	2	25759	[25741,25732,25723]	8	5	600	0	0
25751	4	0	0	0	0	5	1	0	2	25760	[25742,25733,25724]	8	7	600	0	0
25752	4	0	0	0	0	6	1	0	2	25761	[25743,25734,25725]	8	8	600	0	0
25753	4	0	0	0	0	7	1	0	2	25762	[25744,25735,25726]	8	9	600	0	0
25754	4	0	0	0	0	8	1	0	2	25763	[25745,25736,25727]	8	13	600	0	0
25755	4	0	0	0	0	9	1	0	2	25764	[25746,25737,25728]	8	12	600	0	0
25756	5	0	0	0	0	1	1	0	2	25765	[25747,25738,25729,25720]	16	1	2400	0	0
25757	5	0	0	0	0	2	1	0	2	25766	[25748,25739,25730,25721]	16	4	800	0	0
25758	5	0	0	0	0	3	1	0	2	25767	[25749,25740,25731,25722]	16	6	800	0	0
25759	5	0	0	0	0	4	1	0	2	25768	[25750,25741,25732,25723]	16	5	800	0	0
25760	5	0	0	0	0	5	1	0	2	25769	[25751,25742,25733,25724]	16	7	800	0	0
25761	5	0	0	0	0	6	1	0	2	25770	[25752,25743,25734,25725]	16	8	800	0	0
25762	5	0	0	0	0	7	1	0	2	25771	[25753,25744,25735,25726]	16	9	800	0	0
25763	5	0	0	0	0	8	1	0	2	25772	[25754,25745,25736,25727]	16	13	800	0	0
25764	5	0	0	0	0	9	1	0	2	25773	[25755,25746,25737,25728]	16	12	800	0	0
25765	6	0	0	0	0	1	1	0	2	25774	[25756,25747,25738,25729,25720]	32	1	3000	0	0
25766	6	0	0	0	0	2	1	0	2	25775	[25757,25748,25739,25730,25721]	32	4	1000	0	0
25767	6	0	0	0	0	3	1	0	2	25776	[25758,25749,25740,25731,25722]	32	6	1000	0	0
25768	6	0	0	0	0	4	1	0	2	25777	[25759,25750,25741,25732,25723]	32	5	1000	0	0
25769	6	0	0	0	0	5	1	0	2	25778	[25760,25751,25742,25733,25724]	32	7	1000	0	0
25770	6	0	0	0	0	6	1	0	2	25779	[25761,25752,25743,25734,25725]	32	8	1000	0	0
25771	6	0	0	0	0	7	1	0	2	25780	[25762,25753,25744,25735,25726]	32	9	1000	0	0
25772	6	0	0	0	0	8	1	0	2	25781	[25763,25754,25745,25736,25727]	32	13	1000	0	0
25773	6	0	0	0	0	9	1	0	2	25782	[25764,25755,25746,25737,25728]	32	12	1000	0	0
25774	7	0	0	0	0	1	1	0	2	25783	[25765,25756,25747,25738,25729,25720]	64	1	3600	0	0
25775	7	0	0	0	0	2	1	0	2	25784	[25766,25757,25748,25739,25730,25721]	64	4	1200	0	0
25776	7	0	0	0	0	3	1	0	2	25785	[25767,25758,25749,25740,25731,25722]	64	6	1200	0	0
25777	7	0	0	0	0	4	1	0	2	25786	[25768,25759,25750,25741,25732,25723]	64	5	1200	0	0
25778	7	0	0	0	0	5	1	0	2	25787	[25769,25760,25751,25742,25733,25724]	64	7	1200	0	0
25779	7	0	0	0	0	6	1	0	2	25788	[25770,25761,25752,25743,25734,25725]	64	8	1200	0	0
25780	7	0	0	0	0	7	1	0	2	25789	[25771,25762,25753,25744,25735,25726]	64	9	1200	0	0
25781	7	0	0	0	0	8	1	0	2	25790	[25772,25763,25754,25745,25736,25727]	64	13	1200	0	0
25782	7	0	0	0	0	9	1	0	2	25791	[25773,25764,25755,25746,25737,25728]	64	12	1200	0	0
25783	8	0	0	0	0	1	1	0	2	25792	[25774,25765,25756,25747,25738,25729,25720]	128	1	4200	0	0
25784	8	0	0	0	0	2	1	0	2	25793	[25775,25766,25757,25748,25739,25730,25721]	128	4	1400	0	0
25785	8	0	0	0	0	3	1	0	2	25794	[25776,25767,25758,25749,25740,25731,25722]	128	6	1400	0	0
25786	8	0	0	0	0	4	1	0	2	25795	[25777,25768,25759,25750,25741,25732,25723]	128	5	1400	0	0
25787	8	0	0	0	0	5	1	0	2	25796	[25778,25769,25760,25751,25742,25733,25724]	128	7	1400	0	0
25788	8	0	0	0	0	6	1	0	2	25797	[25779,25770,25761,25752,25743,25734,25725]	128	8	1400	0	0
25789	8	0	0	0	0	7	1	0	2	25798	[25780,25771,25762,25753,25744,25735,25726]	128	9	1400	0	0
25790	8	0	0	0	0	8	1	0	2	25799	[25781,25772,25763,25754,25745,25736,25727]	128	13	1400	0	0
25791	8	0	0	0	0	9	1	0	2	25800	[25782,25773,25764,25755,25746,25737,25728]	128	12	1400	0	0
25792	9	0	0	0	0	1	1	0	2	25801	[25783,25774,25765,25756,25747,25738,25729,25720]	256	1	5100	0	0
25793	9	0	0	0	0	2	1	0	2	25802	[25784,25775,25766,25757,25748,25739,25730,25721]	256	4	1700	0	0
25794	9	0	0	0	0	3	1	0	2	25803	[25785,25776,25767,25758,25749,25740,25731,25722]	256	6	1700	0	0
25795	9	0	0	0	0	4	1	0	2	25804	[25786,25777,25768,25759,25750,25741,25732,25723]	256	5	1700	0	0
25796	9	0	0	0	0	5	1	0	2	25805	[25787,25778,25769,25760,25751,25742,25733,25724]	256	7	1700	0	0
25797	9	0	0	0	0	6	1	0	2	25806	[25788,25779,25770,25761,25752,25743,25734,25725]	256	8	1700	0	0
25798	9	0	0	0	0	7	1	0	2	25807	[25789,25780,25771,25762,25753,25744,25735,25726]	256	9	1700	0	0
25799	9	0	0	0	0	8	1	0	2	25808	[25790,25781,25772,25763,25754,25745,25736,25727]	256	13	1700	0	0
25800	9	0	0	0	0	9	1	0	2	25809	[25791,25782,25773,25764,25755,25746,25737,25728]	256	12	1700	0	0
25801	10	0	0	0	0	1	1	0	2	25810	[25792,25783,25774,25765,25756,25747,25738,25729,25720]	512	1	6000	0	0
25802	10	0	0	0	0	2	1	0	2	25811	[25793,25784,25775,25766,25757,25748,25739,25730,25721]	512	4	2000	0	0
25803	10	0	0	0	0	3	1	0	2	25812	[25794,25785,25776,25767,25758,25749,25740,25731,25722]	512	6	2000	0	0
25804	10	0	0	0	0	4	1	0	2	25813	[25795,25786,25777,25768,25759,25750,25741,25732,25723]	512	5	2000	0	0
25805	10	0	0	0	0	5	1	0	2	25814	[25796,25787,25778,25769,25760,25751,25742,25733,25724]	512	7	2000	0	0
25806	10	0	0	0	0	6	1	0	2	25815	[25797,25788,25779,25770,25761,25752,25743,25734,25725]	512	8	2000	0	0
25807	10	0	0	0	0	7	1	0	2	25816	[25798,25789,25780,25771,25762,25753,25744,25735,25726]	512	9	2000	0	0
25808	10	0	0	0	0	8	1	0	2	25817	[25799,25790,25781,25772,25763,25754,25745,25736,25727]	512	13	2000	0	0
25809	10	0	0	0	0	9	1	0	2	25818	[25800,25791,25782,25773,25764,25755,25746,25737,25728]	512	12	2000	0	0
25810	11	0	1	100	25801	1	1	0	2	25819	[25801,25792,25783,25774,25765,25756,25747,25738,25729,25720]	1024	1	7350	0	0
25811	11	0	1	100	25802	2	1	0	2	25820	[25802,25793,25784,25775,25766,25757,25748,25739,25730,25721]	1024	4	2450	0	0
25812	11	0	1	100	25803	3	1	0	2	25821	[25803,25794,25785,25776,25767,25758,25749,25740,25731,25722]	1024	6	2450	0	0
25813	11	0	1	100	25804	4	1	0	2	25822	[25804,25795,25786,25777,25768,25759,25750,25741,25732,25723]	1024	5	2450	0	0
25814	11	0	1	100	25805	5	1	0	2	25823	[25805,25796,25787,25778,25769,25760,25751,25742,25733,25724]	1024	7	2450	0	0
25815	11	0	1	100	25806	6	1	0	2	25824	[25806,25797,25788,25779,25770,25761,25752,25743,25734,25725]	1024	8	2450	0	0
25816	11	0	1	100	25807	7	1	0	2	25825	[25807,25798,25789,25780,25771,25762,25753,25744,25735,25726]	1024	9	2450	0	0
25817	11	0	1	100	25808	8	1	0	2	25826	[25808,25799,25790,25781,25772,25763,25754,25745,25736,25727]	1024	13	2450	0	0
25818	11	0	1	100	25809	9	1	0	2	25827	[25809,25800,25791,25782,25773,25764,25755,25746,25737,25728]	1024	12	2450	0	0
25819	12	0	1	200	25810	1	0	0	0	0	[25810,25801,25792,25783,25774,25765,25756,25747,25738,25729,25720]	2048	1	9000	0	0
25820	12	0	1	200	25811	2	0	0	0	0	[25811,25802,25793,25784,25775,25766,25757,25748,25739,25730,25721]	2048	4	3000	0	0
25821	12	0	1	200	25812	3	0	0	0	0	[25812,25803,25794,25785,25776,25767,25758,25749,25740,25731,25722]	2048	6	3000	0	0
25822	12	0	1	200	25813	4	0	0	0	0	[25813,25804,25795,25786,25777,25768,25759,25750,25741,25732,25723]	2048	5	3000	0	0
25823	12	0	1	200	25814	5	0	0	0	0	[25814,25805,25796,25787,25778,25769,25760,25751,25742,25733,25724]	2048	7	3000	0	0
25824	12	0	1	200	25815	6	0	0	0	0	[25815,25806,25797,25788,25779,25770,25761,25752,25743,25734,25725]	2048	8	3000	0	0
25825	12	0	1	200	25816	7	0	0	0	0	[25816,25807,25798,25789,25780,25771,25762,25753,25744,25735,25726]	2048	9	3000	0	0
25826	12	0	1	200	25817	8	0	0	0	0	[25817,25808,25799,25790,25781,25772,25763,25754,25745,25736,25727]	2048	13	3000	0	0
25827	12	0	1	200	25818	9	0	0	0	0	[25818,25809,25800,25791,25782,25773,25764,25755,25746,25737,25728]	2048	12	3000	0	0
28845	10	1	0	0	0	10	1	0	2	28857	0	1	4	2000	8	2000
28846	10	1	0	0	0	11	1	0	2	28858	0	1	4	2000	9	2000
28847	10	1	0	0	0	12	1	0	2	28859	0	1	4	2000	12	2000
28848	10	1	0	0	0	13	1	0	2	28860	0	1	4	2000	13	2000
28849	10	1	0	0	0	14	1	0	2	28861	0	1	6	2000	8	2000
28850	10	1	0	0	0	15	1	0	2	28862	0	1	6	2000	9	2000
28851	10	1	0	0	0	16	1	0	2	28863	0	1	6	2000	12	2000
28852	10	1	0	0	0	17	1	0	2	28864	0	1	6	2000	13	2000
28853	10	1	0	0	0	18	1	0	2	28865	0	1	1	6000	8	2000
28854	10	1	0	0	0	19	1	0	2	28866	0	1	1	6000	9	2000
28855	10	1	0	0	0	20	1	0	2	28867	0	1	1	6000	12	2000
28856	10	1	0	0	0	21	1	0	2	28868	0	1	1	6000	13	2000
28857	11	1	0	0	0	10	1	0	2	28869	[28845]	2	4	2450	8	2450
28858	11	1	0	0	0	11	1	0	2	28870	[28846]	2	4	2450	9	2450
28859	11	1	0	0	0	12	1	0	2	28871	[28847]	2	4	2450	12	2450
28860	11	1	0	0	0	13	1	0	2	28872	[28848]	2	4	2450	13	2450
28861	11	1	0	0	0	14	1	0	2	28873	[28849]	2	6	2450	8	2450
28862	11	1	0	0	0	15	1	0	2	28874	[28850]	2	6	2450	9	2450
28863	11	1	0	0	0	16	1	0	2	28875	[28851]	2	6	2450	12	2450
28864	11	1	0	0	0	17	1	0	2	28876	[28852]	2	6	2450	13	2450
28865	11	1	0	0	0	18	1	0	2	28877	[28853]	2	1	7350	8	2450
28866	11	1	0	0	0	19	1	0	2	28878	[28854]	2	1	7350	9	2450
28867	11	1	0	0	0	20	1	0	2	28879	[28855]	2	1	7350	12	2450
28868	11	1	0	0	0	21	1	0	2	28880	[28856]	2	1	7350	13	2450
28869	12	1	0	0	0	10	0	0	0	0	[28857,28845]	4	4	3000	8	3000
28870	12	1	0	0	0	11	0	0	0	0	[28858,28846]	4	4	3000	9	3000
28871	12	1	0	0	0	12	0	0	0	0	[28859,28847]	4	4	3000	12	3000
28872	12	1	0	0	0	13	0	0	0	0	[28860,28848]	4	4	3000	13	3000
28873	12	1	0	0	0	14	0	0	0	0	[28861,28849]	4	6	3000	8	3000
28874	12	1	0	0	0	15	0	0	0	0	[28862,28850]	4	6	3000	9	3000
28875	12	1	0	0	0	16	0	0	0	0	[28863,28851]	4	6	3000	12	3000
28876	12	1	0	0	0	17	0	0	0	0	[28864,28852]	4	6	3000	13	3000
28877	12	1	0	0	0	18	0	0	0	0	[28865,28853]	4	1	9000	8	3000
28878	12	1	0	0	0	19	0	0	0	0	[28866,28854]	4	1	9000	9	3000
28879	12	1	0	0	0	20	0	0	0	0	[28867,28855]	4	1	9000	12	3000
28880	12	1	0	0	0	21	0	0	0	0	[28868,28856]	4	1	9000	13	3000
