srcType	desType	needLevel	itemType1	cnt1	itemType2	cnt2	itemType3	cnt3	itemType4	cnt4	srcTypename	desTypename
35626	35674	80	25702	1	25673	320	25663	640	25668	320	圣·炼狱铠甲	圣·幻影铠甲
35627	35675	80	25703	1	25673	320	25663	640	25668	320	圣·炼狱战靴	圣·幻影战靴
35628	35676	80	25704	1	25673	480	25663	960	25668	480	圣·炼狱戒指	圣·幻影戒指
35629	35677	80	25705	1	25673	480	25663	960	25668	480	圣·炼狱手镯	圣·幻影手镯
35630	35642	60	25694	1	25662	480	25667	240	0	0	涌泉·魔魂剑	亮银·寒光剑
35631	35643	60	25695	1	25662	160	0	0	0	0	涌泉·魔魂头盔	亮银·寒光头盔
35632	35644	60	25696	1	25662	160	0	0	0	0	涌泉·魔魂铠甲	亮银·寒光铠甲
35633	35645	60	25697	1	25662	160	0	0	0	0	涌泉·魔魂战靴	亮银·寒光战靴
35634	35646	60	25698	1	25662	240	25667	120	0	0	涌泉·魔魂戒指	亮银·寒光戒指
35635	35647	60	25699	1	25662	240	25667	120	0	0	涌泉·魔魂手镯	亮银·寒光手镯
35636	35642	60	25694	1	25662	480	25667	240	0	0	圣·魔魂剑	亮银·寒光剑
35637	35643	60	25695	1	25662	160	0	0	0	0	圣·魔魂头盔	亮银·寒光头盔
35638	35644	60	25696	1	25662	160	0	0	0	0	圣·魔魂铠甲	亮银·寒光铠甲
35639	35645	60	25697	1	25662	160	0	0	0	0	圣·魔魂战靴	亮银·寒光战靴
35640	35646	60	25698	1	25662	240	25667	120	0	0	圣·魔魂戒指	亮银·寒光戒指
35641	35647	60	25699	1	25662	240	25667	120	0	0	圣·魔魂手镯	亮银·寒光手镯
35642	35666	80	25700	1	25663	960	25668	480	0	0	亮银·寒光剑	末日·幻影剑
35643	35667	80	25701	1	25663	320	0	0	0	0	亮银·寒光头盔	末日·幻影头盔
35644	35668	80	25702	1	25663	320	0	0	0	0	亮银·寒光铠甲	末日·幻影铠甲
35645	35669	80	25703	1	25663	320	0	0	0	0	亮银·寒光战靴	末日·幻影战靴
35646	35670	80	25704	1	25663	480	25668	240	0	0	亮银·寒光戒指	末日·幻影戒指
35647	35671	80	25705	1	25663	480	25668	240	0	0	亮银·寒光手镯	末日·幻影手镯
35648	35666	80	25700	1	25663	960	25668	480	0	0	圣·寒光剑	末日·幻影剑
35649	35667	80	25701	1	25663	320	0	0	0	0	圣·寒光头盔	末日·幻影头盔
35650	35668	80	25702	1	25663	320	0	0	0	0	圣·寒光铠甲	末日·幻影铠甲
35651	35669	80	25703	1	25663	320	0	0	0	0	圣·寒光战靴	末日·幻影战靴
35652	35670	80	25704	1	25663	480	25668	240	0	0	圣·寒光戒指	末日·幻影戒指
35653	35671	80	25705	1	25663	480	25668	240	0	0	圣·寒光手镯	末日·幻影手镯
35666	35678	100	25706	1	25664	1440	25669	720	0	0	末日·幻影剑	炽灼·曙光剑
35667	35679	100	25707	1	25664	480	0	0	0	0	末日·幻影头盔	炽灼·曙光头盔
35668	35680	100	25708	1	25664	480	0	0	0	0	末日·幻影铠甲	炽灼·曙光铠甲
35669	35681	100	25709	1	25664	480	0	0	0	0	末日·幻影战靴	炽灼·曙光战靴
35670	35682	100	25710	1	25664	720	25669	360	0	0	末日·幻影戒指	炽灼·曙光戒指
35671	35683	100	25711	1	25664	720	25669	360	0	0	末日·幻影手镯	炽灼·曙光手镯
35672	35678	100	25706	1	25664	1440	25669	720	0	0	圣·幻影剑	炽灼·曙光剑
35673	35679	100	25707	1	25664	480	0	0	0	0	圣·幻影头盔	炽灼·曙光头盔
35674	35680	100	25708	1	25664	480	0	0	0	0	圣·幻影铠甲	炽灼·曙光铠甲
35675	35681	100	25709	1	25664	480	0	0	0	0	圣·幻影战靴	炽灼·曙光战靴
35676	35682	100	25710	1	25664	720	25669	360	0	0	圣·幻影戒指	炽灼·曙光戒指
35677	35683	100	25711	1	25664	720	25669	360	0	0	圣·幻影手镯	炽灼·曙光手镯
35678	36000	120	26513	1	25665	2880	25670	1440	0	0	炽灼·曙光剑	炎雷·灭世剑
35679	36001	120	26514	1	25665	960	0	0	0	0	炽灼·曙光头盔	炎雷·灭世头盔
35680	36002	120	26515	1	25665	960	0	0	0	0	炽灼·曙光铠甲	炎雷·灭世铠甲
35681	36003	120	26516	1	25665	960	0	0	0	0	炽灼·曙光战靴	炎雷·灭世战靴
35682	36004	120	26517	1	25665	1440	25670	720	0	0	炽灼·曙光戒指	炎雷·灭世戒指
35683	36005	120	26518	1	25665	1440	25670	720	0	0	炽灼·曙光手镯	炎雷·灭世手镯
35684	36000	120	26513	1	25665	2880	25670	1440	0	0	圣·曙光剑	炎雷·灭世剑
35685	36001	120	26514	1	25665	960	0	0	0	0	圣·曙光头盔	炎雷·灭世头盔
35686	36002	120	26515	1	25665	960	0	0	0	0	圣·曙光铠甲	炎雷·灭世铠甲
35687	36003	120	26516	1	25665	960	0	0	0	0	圣·曙光战靴	炎雷·灭世战靴
35688	36004	120	26517	1	25665	1440	25670	720	0	0	圣·曙光戒指	炎雷·灭世戒指
35689	36005	120	26518	1	25665	1440	25670	720	0	0	圣·曙光手镯	炎雷·灭世手镯
35654	36000	120	26513	1	25665	2880	25670	1440	0	0	远古·贤者剑	炎雷·灭世剑
35655	36001	120	26514	1	25665	960	0	0	0	0	远古·贤者头盔	炎雷·灭世头盔
35656	36002	120	26515	1	25665	960	0	0	0	0	远古·贤者铠甲	炎雷·灭世铠甲
35657	36003	120	26516	1	25665	960	0	0	0	0	远古·贤者战靴	炎雷·灭世战靴
35658	36004	120	26517	1	25665	1440	25670	720	0	0	远古·贤者戒指	炎雷·灭世戒指
35659	36005	120	26518	1	25665	1440	25670	720	0	0	远古·贤者手镯	炎雷·灭世手镯
35660	36006	120	26513	1	25675	2880	25665	5760	25670	2880	圣·贤者剑	圣·灭世剑
35661	36007	120	26514	1	25675	960	25665	1920	25670	960	圣·贤者头盔	圣·灭世头盔
35662	36008	120	26515	1	25675	960	25665	1920	25670	960	圣·贤者铠甲	圣·灭世铠甲
35663	36009	120	26516	1	25675	960	25665	1920	25670	960	圣·贤者战靴	圣·灭世战靴
35664	36010	120	26517	1	25675	1440	25665	2880	25670	1440	圣·贤者戒指	圣·灭世戒指
35665	36011	120	26518	1	25675	1440	25665	2880	25670	1440	圣·贤者手镯	圣·灭世手镯
36000	36018	140	27057	1	27048	2880	27049	1440	0	0	炎雷·灭世剑	140武器
36001	36019	140	27058	1	27048	960	0	0	0	0	炎雷·灭世头盔	140头盔
36002	36020	140	27059	1	27048	960	0	0	0	0	炎雷·灭世铠甲	140衣服
36003	36021	140	27060	1	27048	960	0	0	0	0	炎雷·灭世战靴	140靴子
36004	36022	140	27061	1	27048	1440	27049	720	0	0	炎雷·灭世戒指	140戒指
36005	36023	140	27062	1	27048	1440	27049	720	0	0	炎雷·灭世手镯	140手镯
36006	36018	140	27057	1	27048	2880	27049	1440	0	0	圣·灭世剑	140武器
36007	36019	140	27058	1	27048	960	0	0	0	0	圣·灭世头盔	140头盔
36008	36020	140	27059	1	27048	960	0	0	0	0	圣·灭世铠甲	140衣服
36009	36021	140	27060	1	27048	960	0	0	0	0	圣·灭世战靴	140靴子
36010	36022	140	27061	1	27048	1440	27049	720	0	0	圣·灭世戒指	140戒指
36011	36023	140	27062	1	27048	1440	27049	720	0	0	圣·灭世手镯	140手镯
36024	36030	160	27907	1	27904	2880	27905	1440	0	0	圣·龙魂剑	银魂·耀光剑
36025	36031	160	27908	1	27904	960	0	0	0	0	圣·龙魂头盔	银魂·耀光头盔
36026	36032	160	27909	1	27904	960	0	0	0	0	圣·龙魂铠甲	银魂·耀光铠甲
36027	36033	160	27910	1	27904	960	0	0	0	0	圣·龙魂战靴	银魂·耀光战靴
36028	36034	160	27911	1	27904	1440	27905	720	0	0	圣·龙魂戒指	银魂·耀光戒指
36029	36035	160	27912	1	27904	1440	27905	720	0	0	圣·龙魂手镯	银魂·耀光手镯
36018	36030	160	27907	1	27904	2880	27905	1440	0	0	狂暴·龙魂剑	银魂·耀光剑
36019	36031	160	27908	1	27904	960	0	0	0	0	狂暴·龙魂头盔	银魂·耀光头盔
36020	36032	160	27909	1	27904	960	0	0	0	0	狂暴·龙魂铠甲	银魂·耀光铠甲
36021	36033	160	27910	1	27904	960	0	0	0	0	狂暴·龙魂战靴	银魂·耀光战靴
36022	36034	160	27911	1	27904	1440	27905	720	0	0	狂暴·龙魂戒指	银魂·耀光戒指
36023	36035	160	27912	1	27904	1440	27905	720	0	0	狂暴·龙魂手镯	银魂·耀光手镯
