GemID	GemLevel	GemType	CanMix	MixMoney	MixNum	NextGemID	lowerlist	decompositionNum	pt1	pv1	pt2	pv2
25893	4	8	1	0	2	25905	[25881,25869,25857]	8	6	240	9	480
25894	4	9	1	0	2	25906	[25882,25870,25858]	8	1	720	8	480
25895	4	10	1	0	2	25907	[25883,25871,25859]	8	1	720	13	480
25896	4	11	1	0	2	25908	[25884,25872,25860]	8	1	720	12	480
25897	4	12	1	0	2	25909	[25885,25873,25861]	8	1	720	9	480
25898	5	1	1	0	2	25910	[25886,25874,25862,25850]	16	4	320	8	640
25899	5	2	1	0	2	25911	[25887,25875,25863,25851]	16	4	320	13	640
25900	5	3	1	0	2	25912	[25888,25876,25864,25852]	16	4	320	12	640
25901	5	4	1	0	2	25913	[25889,25877,25865,25853]	16	4	320	9	640
25902	5	5	1	0	2	25914	[25890,25878,25866,25854]	16	6	320	8	640
25903	5	6	1	0	2	25915	[25891,25879,25867,25855]	16	6	320	13	640
25904	5	7	1	0	2	25916	[25892,25880,25868,25856]	16	6	320	12	640
25905	5	8	1	0	2	25917	[25893,25881,25869,25857]	16	6	320	9	640
25906	5	9	1	0	2	25918	[25894,25882,25870,25858]	16	1	960	8	640
25907	5	10	1	0	2	25919	[25895,25883,25871,25859]	16	1	960	13	640
25908	5	11	1	0	2	25920	[25896,25884,25872,25860]	16	1	960	12	640
25909	5	12	1	0	2	25921	[25897,25885,25873,25861]	16	1	960	9	640
25910	6	1	1	0	2	25922	[25898,25886,25874,25862,25850]	32	4	400	8	800
25911	6	2	1	0	2	25923	[25899,25887,25875,25863,25851]	32	4	400	13	800
25912	6	3	1	0	2	25924	[25900,25888,25876,25864,25852]	32	4	400	12	800
25913	6	4	1	0	2	25925	[25901,25889,25877,25865,25853]	32	4	400	9	800
25914	6	5	1	0	2	25926	[25902,25890,25878,25866,25854]	32	6	400	8	800
25915	6	6	1	0	2	25927	[25903,25891,25879,25867,25855]	32	6	400	13	800
25916	6	7	1	0	2	25928	[25904,25892,25880,25868,25856]	32	6	400	12	800
25917	6	8	1	0	2	25929	[25905,25893,25881,25869,25857]	32	6	400	9	800
25918	6	9	1	0	2	25930	[25906,25894,25882,25870,25858]	32	1	1200	8	800
25919	6	10	1	0	2	25931	[25907,25895,25883,25871,25859]	32	1	1200	13	800
25920	6	11	1	0	2	25932	[25908,25896,25884,25872,25860]	32	1	1200	12	800
25921	6	12	1	0	2	25933	[25909,25897,25885,25873,25861]	32	1	1200	9	800
25922	7	1	1	0	2	25934	[25910,25898,25886,25874,25862,25850]	64	4	480	8	960
25923	7	2	1	0	2	25935	[25911,25899,25887,25875,25863,25851]	64	4	480	13	960
25924	7	3	1	0	2	25936	[25912,25900,25888,25876,25864,25852]	64	4	480	12	960
25925	7	4	1	0	2	25937	[25913,25901,25889,25877,25865,25853]	64	4	480	9	960
25926	7	5	1	0	2	25938	[25914,25902,25890,25878,25866,25854]	64	6	480	8	960
25927	7	6	1	0	2	25939	[25915,25903,25891,25879,25867,25855]	64	6	480	13	960
25928	7	7	1	0	2	25940	[25916,25904,25892,25880,25868,25856]	64	6	480	12	960
25929	7	8	1	0	2	25941	[25917,25905,25893,25881,25869,25857]	64	6	480	9	960
25930	7	9	1	0	2	25942	[25918,25906,25894,25882,25870,25858]	64	1	1440	8	960
25931	7	10	1	0	2	25943	[25919,25907,25895,25883,25871,25859]	64	1	1440	13	960
25932	7	11	1	0	2	25944	[25920,25908,25896,25884,25872,25860]	64	1	1440	12	960
25933	7	12	1	0	2	25945	[25921,25909,25897,25885,25873,25861]	64	1	1440	9	960
25934	8	1	1	0	2	25946	[25922,25910,25898,25886,25874,25862,25850]	128	4	560	8	1120
25935	8	2	1	0	2	25947	[25923,25911,25899,25887,25875,25863,25851]	128	4	560	13	1120
25936	8	3	1	0	2	25948	[25924,25912,25900,25888,25876,25864,25852]	128	4	560	12	1120
25937	8	4	1	0	2	25949	[25925,25913,25901,25889,25877,25865,25853]	128	4	560	9	1120
25938	8	5	1	0	2	25950	[25926,25914,25902,25890,25878,25866,25854]	128	6	560	8	1120
25939	8	6	1	0	2	25951	[25927,25915,25903,25891,25879,25867,25855]	128	6	560	13	1120
25940	8	7	1	0	2	25952	[25928,25916,25904,25892,25880,25868,25856]	128	6	560	12	1120
25941	8	8	1	0	2	25953	[25929,25917,25905,25893,25881,25869,25857]	128	6	560	9	1120
25942	8	9	1	0	2	25954	[25930,25918,25906,25894,25882,25870,25858]	128	1	1680	8	1120
25943	8	10	1	0	2	25955	[25931,25919,25907,25895,25883,25871,25859]	128	1	1680	13	1120
25944	8	11	1	0	2	25956	[25932,25920,25908,25896,25884,25872,25860]	128	1	1680	12	1120
25945	8	12	1	0	2	25957	[25933,25921,25909,25897,25885,25873,25861]	128	1	1680	9	1120
25946	9	1	1	0	2	25958	[25934,25922,25910,25898,25886,25874,25862,25850]	256	4	680	8	1360
25947	9	2	1	0	2	25959	[25935,25923,25911,25899,25887,25875,25863,25851]	256	4	680	13	1360
25948	9	3	1	0	2	25960	[25936,25924,25912,25900,25888,25876,25864,25852]	256	4	680	12	1360
25949	9	4	1	0	2	25961	[25937,25925,25913,25901,25889,25877,25865,25853]	256	4	680	9	1360
25950	9	5	1	0	2	25962	[25938,25926,25914,25902,25890,25878,25866,25854]	256	6	680	8	1360
25951	9	6	1	0	2	25963	[25939,25927,25915,25903,25891,25879,25867,25855]	256	6	680	13	1360
25952	9	7	1	0	2	25964	[25940,25928,25916,25904,25892,25880,25868,25856]	256	6	680	12	1360
25953	9	8	1	0	2	25965	[25941,25929,25917,25905,25893,25881,25869,25857]	256	6	680	9	1360
25954	9	9	1	0	2	25966	[25942,25930,25918,25906,25894,25882,25870,25858]	256	1	2040	8	1360
25955	9	10	1	0	2	25967	[25943,25931,25919,25907,25895,25883,25871,25859]	256	1	2040	13	1360
25956	9	11	1	0	2	25968	[25944,25932,25920,25908,25896,25884,25872,25860]	256	1	2040	12	1360
25957	9	12	1	0	2	25969	[25945,25933,25921,25909,25897,25885,25873,25861]	256	1	2040	9	1360
25958	10	1	0	0	0	0	[25946,25934,25922,25910,25898,25886,25874,25862,25850]	512	4	800	8	1600
25959	10	2	0	0	0	0	[25947,25935,25923,25911,25899,25887,25875,25863,25851]	512	4	800	13	1600
25960	10	3	0	0	0	0	[25948,25936,25924,25912,25900,25888,25876,25864,25852]	512	4	800	12	1600
25961	10	4	0	0	0	0	[25949,25937,25925,25913,25901,25889,25877,25865,25853]	512	4	800	9	1600
25962	10	5	0	0	0	0	[25950,25938,25926,25914,25902,25890,25878,25866,25854]	512	6	800	8	1600
25963	10	6	0	0	0	0	[25951,25939,25927,25915,25903,25891,25879,25867,25855]	512	6	800	13	1600
25964	10	7	0	0	0	0	[25952,25940,25928,25916,25904,25892,25880,25868,25856]	512	6	800	12	1600
25965	10	8	0	0	0	0	[25953,25941,25929,25917,25905,25893,25881,25869,25857]	512	6	800	9	1600
25966	10	9	0	0	0	0	[25954,25942,25930,25918,25906,25894,25882,25870,25858]	512	1	2400	8	1600
25967	10	10	0	0	0	0	[25955,25943,25931,25919,25907,25895,25883,25871,25859]	512	1	2400	13	1600
25968	10	11	0	0	0	0	[25956,25944,25932,25920,25908,25896,25884,25872,25860]	512	1	2400	12	1600
25969	10	12	0	0	0	0	[25957,25945,25933,25921,25909,25897,25885,25873,25861]	512	1	2400	9	1600
