itemCoding	libaoType	what	money	bindrmb	unbindrmb	tili	tarothp	items	tarots	items_60	tarots_60	ratemoney	ratebindrmb	rateunbindrmb	ratetili	ratetarothp	rateitems	ratetarots	rateitems_60	ratetarots_60
26040	6	宝石优惠礼盒二						[(25747,1),(25748,2),(25749,2),(25752,2),(25753,2),(25754,2),(25755,2)]		[(25747,1),(25748,2),(25749,2),(25752,2),(25753,2),(25754,2),(25755,2)]										
26041	6	高级占卜优惠礼盒						[(26042,6)]		[(26042,6)]										
26044	9	三级宝石礼盒（随机）															[(1000, 25738, 1), (1000, 25739, 1), (1000, 25740, 1),(1000, 25741, 1), (1000, 25742, 1)]		[(1000, 25738, 1), (1000, 25739, 1), (1000, 25740, 1),(1000, 25741, 1), (1000, 25742, 1), (1000, 25743, 1),(1000, 25744, 1), (1000, 25745, 1), (1000, 25746, 1)]	
26048	8	贵族8返利礼盒（1）		100				[(26049, 1)]		[(26049, 1)]										
26049	8	贵族8返利礼盒（2）		100				[(26050, 1)]		[(26050, 1)]										
26050	8	贵族8返利礼盒（3）		100				[(26051, 1)]		[(26051, 1)]										
26051	8	贵族8返利礼盒（4）		100				[(26052, 1)]		[(26052, 1)]										
26052	8	贵族8返利礼盒（5）		100				[(26053, 1)]		[(26053, 1)]										
26053	8	贵族8返利礼盒（6）		100				[(26054, 1)]		[(26054, 1)]										
26054	8	贵族8返利礼盒（7）		100				[(26055, 1)]		[(26055, 1)]										
26055	8	贵族8返利礼盒（8）		100				[(26056, 1)]		[(26056, 1)]										
26056	8	贵族8返利礼盒（9）		100				[(26057, 1)]		[(26057, 1)]										
26057	2	贵族8返利礼盒（10）		100																
26058	6	贵族8神秘礼盒						[(25600,20)]		[(25600,20)]										
26059	6	贵族8惊喜礼盒						[(26026,5)]		[(26026,5)]										
26060	8	贵族9返利礼盒（1）		150				[(26061, 1)]		[(26061, 1)]										
26061	8	贵族9返利礼盒（2）		150				[(26062, 1)]		[(26062, 1)]										
26062	8	贵族9返利礼盒（3）		150				[(26063, 1)]		[(26063, 1)]										
26063	8	贵族9返利礼盒（4）		150				[(26064, 1)]		[(26064, 1)]										
26064	8	贵族9返利礼盒（5）		150				[(26065, 1)]		[(26065, 1)]										
26065	8	贵族9返利礼盒（6）		150				[(26066, 1)]		[(26066, 1)]										
26066	8	贵族9返利礼盒（7）		150				[(26067, 1)]		[(26067, 1)]										
26067	8	贵族9返利礼盒（8）		150				[(26068, 1)]		[(26068, 1)]										
26068	8	贵族9返利礼盒（9）		150				[(26069, 1)]		[(26069, 1)]										
26069	2	贵族9返利礼盒（10）		150																
26070	6	贵族9神秘礼盒						[(25600,30)]		[(25600,30)]										
26071	6	贵族9惊喜礼盒						[(26026,5)]		[(26026,5)]										
26072	12	贵族9至尊礼盒							[(2,1)]		[(2,1)]							[(1000,21,1),(1000,22,1),(1000,23,1),(1000,24,1),(1000,25,1)]		[(1000,21,1),(1000,22,1),(1000,23,1),(1000,24,1),(1000,25,1),(1000,26,1),(1000,27,1),(1000,28,1),(1000,29,1)]
26073	8	贵族10返利礼盒（1）		200				[(26074, 1)]		[(26074, 1)]										
26074	8	贵族10返利礼盒（2）		200				[(26075, 1)]		[(26075, 1)]										
26075	8	贵族10返利礼盒（3）		200				[(26076, 1)]		[(26076, 1)]										
26076	8	贵族10返利礼盒（4）		200				[(26077, 1)]		[(26077, 1)]										
26077	8	贵族10返利礼盒（5）		200				[(26078, 1)]		[(26078, 1)]										
26078	8	贵族10返利礼盒（6）		200				[(26079, 1)]		[(26079, 1)]										
26079	8	贵族10返利礼盒（7）		200				[(26080, 1)]		[(26080, 1)]										
26080	8	贵族10返利礼盒（8）		200				[(26081, 1)]		[(26081, 1)]										
26081	8	贵族10返利礼盒（9）		200				[(26082, 1)]		[(26082, 1)]										
26082	2	贵族10返利礼盒（10）		200																
26083	6	贵族10神秘礼盒						[(25600,50)]		[(25600,50)]										
26084	6	贵族10惊喜礼盒						[(26026,5)]		[(26026,5)]										
26085	12	贵族10至尊礼盒							[(2,1)]		[(2,1)]							[(1000,21,1),(1000,22,1),(1000,23,1),(1000,24,1),(1000,25,1)]		[(1000,21,1),(1000,22,1),(1000,23,1),(1000,24,1),(1000,25,1),(1000,26,1),(1000,27,1),(1000,28,1),(1000,29,1)]
26086	8	贵族4返利礼盒		20				[(25600, 10)]		[(25600, 10)]										
26087	8	贵族5返利礼盒		30				[(25600, 10)]		[(25600, 10)]										
26088	8	贵族5神秘礼盒		60				[(25600, 20)]		[(25600, 20)]										
26089	8	贵族6返利礼盒		40				[(26032, 10)]		[(26032, 10)]										
26090	8	贵族6神秘礼盒（1）		40				[(26091, 1),(26032, 10)]		[(26091, 1),(26032, 10)]										
26091	8	贵族6神秘礼盒（2）		40				[(26032, 10)]		[(26032, 10)]										
26092	8	贵族6惊喜礼盒（1）		40				[(26093, 1), (26032, 10)]		[(26093, 1), (26032, 10)]										
26093	8	贵族6惊喜礼盒（2）		40				[(26094, 1), (26032, 10)]		[(26094, 1), (26032, 10)]										
26094	8	贵族6惊喜礼盒（3）		40				[(26032, 10)]		[(26032, 10)]										
26095	8	贵族7返利礼盒		50				[(26032, 10)]		[(26032, 10)]										
26096	8	贵族7神秘礼盒（1）		50				[(26097, 1), (26032, 10)]		[(26097, 1), (26032, 10)]										
26097	8	贵族7神秘礼盒（2）		50				[(26032, 10)]		[(26032, 10)]										
26098	8	贵族7惊喜礼盒（1）		50				[(26099, 1), (26032, 10)]		[(26099, 1), (26032, 10)]										
26099	8	贵族7惊喜礼盒（2）		50				[(26100, 1), (26032, 10)]		[(26100, 1), (26032, 10)]										
26100	8	贵族7惊喜礼盒（3）		50				[(26032, 10)]		[(26032, 10)]										
26101	8	贵族7至尊礼盒（1）		50				[(26102, 1), (26032, 10)]		[(26102, 1), (26032, 10)]										
26102	8	贵族7至尊礼盒（2）		50				[(26103, 1), (26032, 10)]		[(26103, 1), (26032, 10)]										
26103	8	贵族7至尊礼盒（3）		50				[(26104, 1), (26032, 10)]		[(26104, 1), (26032, 10)]										
26104	8	贵族7至尊礼盒（4）		50				[(26032, 10)]		[(26032, 10)]										
26105	11	日常惊喜礼盒（30-39）										(4500, 4000)					[(4500, 25637, 1),(400, 25681, 1),(50, 35606, 1),(50, 35607, 1),(50, 35608, 1),(50, 35609, 1),(50, 35610, 1),(50, 35611, 1), (150, 25676, 1), (150, 25656, 1)]		[(4500, 25637, 1),(400, 25681, 1),(50, 35606, 1),(50, 35607, 1),(50, 35608, 1),(50, 35609, 1),(50, 35610, 1),(50, 35611, 1), (150, 25676, 1), (150, 25656, 1)]	
26106	11	日常惊喜礼盒（40-59）										(4800, 7000)					[(4800, 25638, 1),(210, 25682, 1),(15, 25688, 1),(15, 25689, 1),(15, 25690, 1),(15, 25691, 1),(15, 25692, 1),(15, 25693, 1), (50, 25677, 1), (50, 25657, 1)]		[(4800, 25638, 1),(210, 25682, 1),(15, 25688, 1),(15, 25689, 1),(15, 25690, 1),(15, 25691, 1),(15, 25692, 1),(15, 25693, 1), (50, 25677, 1), (50, 25657, 1)]	
26107	11	日常惊喜礼盒（60-79）										(4955, 10000)					[(4955, 25639, 1),(58, 25683, 1),(2, 25694, 1),(2, 25695, 1),(2, 25696, 1),(2, 25697, 1),(2, 25698, 1),(2, 25699, 1), (10, 25678, 1), (10, 25658, 1)]		[(4955, 25639, 1),(58, 25683, 1),(2, 25694, 1),(2, 25695, 1),(2, 25696, 1),(2, 25697, 1),(2, 25698, 1),(2, 25699, 1), (10, 25678, 1), (10, 25658, 1)]	
26108	11	日常惊喜礼盒（80-99）										(4975, 20000)					[(4975, 25640, 1),(260, 25684, 1),(15, 25700, 1),(15, 25701, 1),(15, 25702, 1),(15, 25703, 1),(15, 25704, 1),(15, 25705, 1), (75, 25679, 1), (75, 25659, 1)]		[(4975, 25640, 1),(260, 25684, 1),(15, 25700, 1),(15, 25701, 1),(15, 25702, 1),(15, 25703, 1),(15, 25704, 1),(15, 25705, 1), (75, 25679, 1), (75, 25659, 1)]	
26109	11	日常惊喜礼盒（100-119）										(4985, 30000)					[(4985, 25641, 1), (14, 25685, 1),(1, 25706, 1),(1, 25707, 1),(1, 25708, 1),(1, 25709, 1),(1, 25710, 1),(1, 25711, 1), (5, 25680, 1), (5, 25660, 1)]		[(4985, 25641, 1), (14, 25685, 1),(1, 25706, 1),(1, 25707, 1),(1, 25708, 1),(1, 25709, 1),(1, 25710, 1),(1, 25711, 1), (5, 25680, 1), (5, 25660, 1)]	
26119	9	二级符文礼盒															[(833,25862,1),(833,25863,1),(833,25864,1),(833,25865,1),(833,25866,1),(833,25867,1),(833,25868,1),(833,25869,1),(833,25870,1),(833,25871,1),(833,25872,1),(834,25873,1)]		[(833,25862,1),(833,25863,1),(833,25864,1),(833,25865,1),(833,25866,1),(833,25867,1),(833,25868,1),(833,25869,1),(833,25870,1),(833,25871,1),(833,25872,1),(834,25873,1)]	
26129	8	贵族优惠大礼包（1）	180000	18				[(25681, 10), (25600, 10), (25637, 30)]		[(25681, 10), (25600, 10), (25637, 30)]										
26130	8	贵族优惠大礼包（2）	980000	98				[(25681, 20), (25600, 20), (25638, 98)]		[(25681, 20), (25600, 20), (25638, 98)]										
26131	8	贵族优惠大礼包（3）	1980000	198				[(25600, 20), (25656, 1), (25640, 66)]		[(25600, 20), (25656, 1), (25640, 66)]										
26132	8	贵族优惠大礼包（4）	3980000	398				[(25656, 1), (25747, 3), (25641, 80)]		[(25656, 1), (25747, 3), (25641, 80)]										
26133	8	贵族优惠大礼包（5）	5980000	598				[(25657, 2), (25749, 3), (25642, 60)]		[(25657, 2), (25749, 3), (25642, 60)]										
26134	8	贵族优惠大礼包（6）	9980000	998				[(25657, 2), (25748, 3), (25642, 100)]		[(25657, 2), (25748, 3), (25642, 100)]										
26135	8	贵族优惠大礼包（7）	14980000	1498				[(25658, 3), (25894, 3), (25643, 75)]		[(25658, 3), (25894, 3), (25643, 75)]										
26136	8	贵族优惠大礼包（8）	19980000	1998				[(25658, 3), (25895, 3), (25643, 100)]		[(25658, 3), (25895, 3), (25643, 100)]										
26137	8	贵族优惠大礼包（9）	24980000	2498				[(25659, 4), (25896, 3), (25644, 60)]		[(25659, 4), (25896, 3), (25644, 60)]										
26138	8	贵族优惠大礼包（10）	29980000	2998				[(25659, 4), (25897, 3), (25644, 75)]		[(25659, 4), (25897, 3), (25644, 75)]										
26139	8	龙骑士白银礼包		10				[(25600,5),(26032,1)]		[(25600,5),(26032,1)]										
26140	8	龙骑士黄金礼包		20				[(25600,10),(26032,2)]		[(25600,10),(26032,2)]										
26141	8	龙骑士土豪礼包		50				[(25600,20),(26032,5),(25656,1)]		[(25600,20),(26032,5),(25656,1)]										
26143	3	100神石礼盒			100															
26145	11	神秘惊喜礼盒											(2638,30)				[(800,25600,10),(1600,25600,5),(3300,26033,1),(1650,26044,1),(2,35618,1),(2,35619,1),(2,35620,1),(2,35621,1),(2,35622,1),(2,35623,1)]		[(800,25600,10),(1600,25600,5),(3300,26033,1),(1650,26044,1),(2,35618,1),(2,35619,1),(2,35620,1),(2,35621,1),(2,35622,1),(2,35623,1)]	
26149	9	宝石神奇礼盒															[(500,26032,10),(700,26032,11),(900,26032,12),(1100,26032,13),(1200,26032,14),(1100,26032,15),(500,26032,16),(300,26032,17),(300,26032,18),(200,26032,19),(200,26032,20)]		[(500,26032,10),(700,26032,11),(900,26032,12),(1100,26032,13),(1200,26032,14),(1100,26032,15),(500,26032,16),(300,26032,17),(300,26032,18),(200,26032,19),(200,26032,20)]	
26150	10	命魂神奇礼盒																[(1000,3,1),(1000,4,1),(1000,5,1),(1000,6,1),(1000,7,1),(100,12,1),(100,13,1),(100,14,1),(100,15,1),(100,16,1),(10,21,1),(10,22,1),(10,23,1),(10,24,1),(10,25,1),(1,30,1),(1,31,1),(1,32,1),(1,33,1),(1,34,1)]		[(1000,3,1),(1000,4,1),(1000,5,1),(1000,6,1),(1000,7,1),(1000,8,1),(1000,9,1),(1000,10,1),(1000,11,1),(100,12,1),(100,13,1),(100,14,1),(100,15,1),(100,16,1),(100,17,1),(100,18,1),(100,19,1),(100,20,1),(10,21,1),(10,22,1),(10,23,1),(10,24,1),(10,25,1),(10,26,1),(10,27,1),(10,28,1),(10,29,1),(1,30,1),(1,31,1),(1,32,1),(1,33,1),(1,34,1),(1,35,1),(1,36,1),(1,37,1),(1,38,1)]
26151	9	宝石小礼盒															[(900,26032,5),(1000,26032,6),(900,26032,7),(800,26032,8),(700,26032,9),(600,26032,10)]		[(900,26032,5),(1000,26032,6),(900,26032,7),(800,26032,8),(700,26032,9),(600,26032,10)]	
26152	10	命魂小礼盒																[(800,3,1),(800,4,1),(800,5,1),(800,6,1),(800,7,1),(190,12,1),(190,13,1),(190,14,1),(190,15,1),(190,16,1),(10,21,1),(10,22,1),(10,23,1),(10,24,1),(10,25,1)]		[(800,3,1),(800,4,1),(800,5,1),(800,6,1),(800,7,1),(800,8,1),(800,9,1),(800,10,1),(800,11,1),(190,12,1),(190,13,1),(190,14,1),(190,15,1),(190,16,1),(190,17,1),(190,18,1),(190,19,1),(190,20,1),(10,21,1),(10,22,1),(10,23,1),(10,24,1),(10,25,1),(10,26,1),(10,27,1),(10,28,1),(10,29,1)]
26155	8	矮人矿石（中）						[(26154,10)]		[(26154,10)]										
26156	8	矮人矿石（大）						[(26154,100)]		[(26154,100)]										
26158	8	七天大礼包		100				[(25600,20),(26032,10)]		[(25600,20),(26032,10)]										
26159	8	贵宾礼包		20				[(25832,1),(25600,5),(25831,2)]		[(25832,1),(25600,5),(25831,2)]										
26160	8	特权礼包		20				[(25832,1),(25600,5),(25970,2)]		[(25832,1),(25600,5),(25970,2)]										
26223	9	四级宝石礼盒（随机）															[(1000, 25747, 1), (1000, 25748, 1), (1000, 25749, 1),(1000, 25750, 1), (1000, 25751, 1)]		[(1000, 25747, 1), (1000, 25748, 1), (1000, 25749, 1),(1000, 25750, 1), (1000, 25751, 1), (1000, 25752, 1), (1000, 25753, 1), (1000, 25754, 1), (1000, 25755, 1)]	
26224	9	五级宝石礼盒（随机）															[(1000, 25756, 1), (1000, 25757, 1), (1000, 25758, 1),(1000, 25759, 1), (1000, 25760, 1)]		[(1000, 25756, 1), (1000, 25757, 1), (1000, 25758, 1),(1000, 25759, 1), (1000, 25760, 1), (1000, 25761, 1), (1000, 25762, 1), (1000, 25763, 1), (1000, 25764, 1)]	
26225	9	六级宝石礼盒（随机）															[(1000, 25765, 1), (1000, 25766, 1), (1000, 25767, 1),(1000, 25768, 1), (1000, 25769, 1)]		[(1000, 25765, 1), (1000, 25766, 1), (1000, 25767, 1),(1000, 25768, 1), (1000, 25769, 1), (1000, 25770, 1), (1000, 25771, 1), (1000, 25772, 1), (1000, 25773, 1)]	
26226	9	七级宝石礼盒（随机）															[(1000, 25774, 1), (1000, 25775, 1), (1000, 25776, 1),(1000, 25777, 1), (1000, 25778, 1)]		[(1000, 25774, 1), (1000, 25775, 1), (1000, 25776, 1),(1000, 25777, 1), (1000, 25778, 1), (1000, 25779, 1), (1000, 25780, 1), (1000, 25781, 1), (1000, 25782, 1)]	
26227	9	四级符文礼盒（随机）															[(833,25886,1),(833,25887,1),(833,25888,1),(833,25889,1),(833,25890,1),(833,25891,1),(833,25892,1),(833,25893,1),(833,25894,1),(833,25895,1),(833,25896,1),(834,25897,1)]		[(833,25886,1),(833,25887,1),(833,25888,1),(833,25889,1),(833,25890,1),(833,25891,1),(833,25892,1),(833,25893,1),(833,25894,1),(833,25895,1),(833,25896,1),(834,25897,1)]	
26228	9	五级符文礼盒（随机）															[(833,25898,1),(833,25899,1),(833,25900,1),(833,25901,1),(833,25902,1),(833,25903,1),(833,25904,1),(833,25905,1),(833,25906,1),(833,25907,1),(833,25908,1),(834,25909,1)]		[(833,25898,1),(833,25899,1),(833,25900,1),(833,25901,1),(833,25902,1),(833,25903,1),(833,25904,1),(833,25905,1),(833,25906,1),(833,25907,1),(833,25908,1),(834,25909,1)]	
26229	9	六级符文礼盒（随机）															[(833,25910,1),(833,25911,1),(833,25912,1),(833,25913,1),(833,25914,1),(833,25915,1),(833,25916,1),(833,25917,1),(833,25918,1),(833,25919,1),(833,25920,1),(834,25921,1)]		[(833,25910,1),(833,25911,1),(833,25912,1),(833,25913,1),(833,25914,1),(833,25915,1),(833,25916,1),(833,25917,1),(833,25918,1),(833,25919,1),(833,25920,1),(834,25921,1)]	
26230	9	七级符文礼盒（随机）															[(833,25922,1),(833,25923,1),(833,25924,1),(833,25925,1),(833,25926,1),(833,25927,1),(833,25928,1),(833,25929,1),(833,25930,1),(833,25931,1),(833,25932,1),(834,25933,1)]		[(833,25922,1),(833,25923,1),(833,25924,1),(833,25925,1),(833,25926,1),(833,25927,1),(833,25928,1),(833,25929,1),(833,25930,1),(833,25931,1),(833,25932,1),(834,25933,1)]	
26231	12	世界杯宝箱			10												[(100,25600,2),(100,26032,2),(100,26033,1),(100,26152,2)]		[(100,25600,2),(100,26033,1),(100,26144,2),(100,25837,2),(100,26119,1),(100,26152,2)]	
26232	8	黄金礼包		30				[(25600,5),(26032,2)]		[(25600,5),(26032,2)]										
26233	8	钻石礼包		50				[(25600,5),(26032,5)]		[(25600,5),(26032,5)]										
26234	8	豪华大礼包		100				[(25600,5),(26032,5)]		[(25600,5),(26032,5)]										
26236	12	进球宝箱															[(1025,26223,1),(500,26224,1),(250,26225,1),(125,26226,1),(800,26227,1),(400,26228,1),(200,26229,1),(100,26230,1),(500,26042,1),(1450,25837,10),(500,26144,10),(1400,25600,10),(75,37002,1),(25,37007,1),(0,26043,0),(300,26043,20),(200,26043,30),(400,26677,10),(200,26676,1),(500,25831,20),(500,25970,20),(500,25600,20),(500,25837,20)]		[(1025,26223,1),(500,26224,1),(250,26225,1),(125,26226,1),(800,26227,1),(400,26228,1),(200,26229,1),(100,26230,1),(500,26042,1),(1450,25837,10),(500,26144,10),(1400,25600,10),(75,37002,1),(25,37007,1),(0,26043,0),(300,26043,20),(200,26043,30),(400,26677,10),(200,26676,1),(500,25831,20),(500,25970,20),(500,25600,20),(500,25837,20)]	
26237	12	喝彩宝箱															[(150,25600,5),(50,26144,5),(150,25837,5),(150,26044,1),(100,26223,1),(150,26119,1),(150,25970,5)]		[(150,25600,5),(50,26144,5),(150,25837,5),(150,26044,1),(100,26223,1),(150,26119,1),(150,25970,5)]	
26238	8	50级等级大礼（一）	300000						[(22,1),(2,1)]		[(22,1),(2,1)]									
26239	8	50级等级大礼（二）	200000					[(25683,20)]		[(25683,20)]										
26240	8	54级等级大礼（一）	400000						[(23,1),(2,1)]		[(23,1),(2,1)]									
26241	8	54级等级大礼（二）	200000					[(25683,20)]		[(25683,20)]										
26242	8	57级等级大礼（一）	500000						[(21,1),(2,1)]		[(21,1),(2,1)]									
26243	8	57级等级大礼（二）	200000					[(25683,20)]		[(25683,20)]										
26266	9	一级符文礼盒															[(833,25850,1),(833,25851,1),(833,25852,1),(833,25853,1),(833,25854,1),(833,25855,1),(833,25856,1),(833,25857,1),(833,25858,1),(833,25859,1),(833,25860,1),(834,25861,1)]		[(833,25850,1),(833,25851,1),(833,25852,1),(833,25853,1),(833,25854,1),(833,25855,1),(833,25856,1),(833,25857,1),(833,25858,1),(833,25859,1),(833,25860,1),(834,25861,1)]	
26267	9	三级符文礼盒															[(833,25874,1),(833,25875,1),(833,25876,1),(833,25877,1),(833,25878,1),(833,25879,1),(833,25880,1),(833,25881,1),(833,25882,1),(833,25883,1),(833,25884,1),(834,25885,1)]		[(833,25874,1),(833,25875,1),(833,25876,1),(833,25877,1),(833,25878,1),(833,25879,1),(833,25880,1),(833,25881,1),(833,25882,1),(833,25883,1),(833,25884,1),(834,25885,1)]	
26268	8	等级助力礼包（一）				50		[(26269,1),(25656,2)]		[(26269,1),(25656,2)]										
26269	8	等级助力礼包（二）				50		[(26270,1),(25656,2)]		[(26270,1),(25656,2)]										
26270	8	等级助力礼包（三）				50		[(26271,1),(25657,1)]		[(26271,1),(25657,1)]										
26271	8	等级助力礼包（四）				100		[(25657,2)]		[(25657,2)]										
26273	8	40级等级大礼（一）						[(25747,1),(25748,1),(25749,1),(25750,1),(25751,1)]		[(25747,1),(25748,1),(25749,1),(25750,1),(25751,1)]										
26274	8	40级等级大礼（二）	100000					[(25600,12)]		[(25600,12)]										
26275	8	46级等级大礼（一）						[(25600,100),(26034,1)]		[(25600,100),(26034,1)]										
26276	8	50级等级大礼（一）	300000						[(22,1),(2,1)]		[(22,1),(2,1)]									
26277	8	50级等级大礼（二）	200000					[(25682,20)]		[(25682,20)]										
26278	8	54级等级大礼（一）	400000						[(23,1),(2,1)]		[(23,1),(2,1)]									
26279	8	54级等级大礼（二）	200000					[(25682,20)]		[(25682,20)]										
26280	8	57级等级大礼（一）	500000						[(21,1),(2,1)]		[(21,1),(2,1)]									
26281	8	57级等级大礼（二）	200000					[(25682,20)]		[(25682,20)]										
26282	8	60级等级大礼（一）						[(25752, 1), (25753, 1), (25754, 1), (25755, 1)]		[(25752, 1), (25753, 1), (25754, 1), (25755, 1)]										
26283	8	60级等级大礼（二）						[(25886,1),(25887,1),(25888,1),(25889,1)]		[(25886,1),(25887,1),(25888,1),(25889,1)]										
26284	8	62级等级大礼（一）						[(25752, 1), (25753, 1), (25754, 1), (25755, 1)]		[(25752, 1), (25753, 1), (25754, 1), (25755, 1)]										
26285	8	62级等级大礼（二）						[(25894,1),(25895,1),(25896,1),(25897,1)]		[(25894,1),(25895,1),(25896,1),(25897,1)]										
26286	8	64级等级大礼（一）						[(25752, 1), (25753, 1), (25754, 1), (25755, 1)]		[(25752, 1), (25753, 1), (25754, 1), (25755, 1)]										
26287	8	64级等级大礼（二）						[(25890,1),(25891,1),(25892,1),(25893,1)]		[(25890,1),(25891,1),(25892,1),(25893,1)]										
26288	8	65级等级大礼（一）	200000					[(25837,20)]		[(25837,20)]										
26289	8	65级等级大礼（二）	300000						[(26,1),(2,1)]		[(26,1),(2,1)]									
26290	8	68级等级大礼（一）	200000					[(26267,5)]		[(26267,5)]										
26291	8	68级等级大礼（二）	300000						[(28,1),(2,1)]		[(28,1),(2,1)]									
26292	8	70级等级大礼（一）						[(26144,20)]		[(26144,20)]										
