coding	name	needlevel	hole	maxShenzaoLevel	grade	canSell	salePrice	nameColor	iconBackgroundColor	inipropcnt	posType	shenzaoProperty	sortLevel	proprate	ptmax	ptbase	needLog	kinds	propsType	icon	jiaMi
35813	龙裔法典·毁灭	80	6	15	4	1	(26272,10)	黄色	4	6	2	[1,8]	613	[(100,4),(100,6),(100,5),(100,7,),(100,1),(100,8),(100,9),(100,12),(100,13),(100,10),(100,11),(100,"buf_1"),(100,"buf_4"),(100,"buf_6")]	{4:10000,6:10000,5:10000,7:10000,1:10000,8:10000,9:10000,12:10000,13:10000,10:10000,11:10000,"buf_1":10000,"buf_4":10000,"buf_6":10000}	{4:3600,6:3600,5:3600,7:3600,1:18000,8:3600,9:3600,12:3600,13:3600,10:360,11:360,"buf_1":170,"buf_4":170,"buf_6":170}	1	10	13	30shengqihuimie	1
35814	龙裔法典·救赎	80	6	15	4	1	(26272,10)	黄色	4	6	3	[4,6,13]	614	[(100,4),(100,6),(100,5),(100,7,),(100,1),(100,8),(100,9),(100,12),(100,13),(100,10),(100,11),(100,"buf_1"),(100,"buf_4"),(100,"buf_6")]	{4:10000,6:10000,5:10000,7:10000,1:10000,8:10000,9:10000,12:10000,13:10000,10:10000,11:10000,"buf_1":10000,"buf_4":10000,"buf_6":10000}	{4:3600,6:3600,5:3600,7:3600,1:18000,8:3600,9:3600,12:3600,13:3600,10:360,11:360,"buf_1":170,"buf_4":170,"buf_6":170}	1	10	13	30shengqijiushu	1
35815	龙裔法典·涅槃	80	6	15	4	1	(26272,10)	黄色	4	6	4	[1,12]	615	[(100,4),(100,6),(100,5),(100,7,),(100,1),(100,8),(100,9),(100,12),(100,13),(100,10),(100,11),(100,"buf_1"),(100,"buf_4"),(100,"buf_6")]	{4:10000,6:10000,5:10000,7:10000,1:10000,8:10000,9:10000,12:10000,13:10000,10:10000,11:10000,"buf_1":10000,"buf_4":10000,"buf_6":10000}	{4:3600,6:3600,5:3600,7:3600,1:18000,8:3600,9:3600,12:3600,13:3600,10:360,11:360,"buf_1":170,"buf_4":170,"buf_6":170}	1	10	13	30shengqinuepan	1
35816	龙裔法典·重生	80	6	15	4	1	(26272,10)	黄色	4	6	5	[4,6,11]	616	[(100,4),(100,6),(100,5),(100,7,),(100,1),(100,8),(100,9),(100,12),(100,13),(100,10),(100,11),(100,"buf_1"),(100,"buf_4"),(100,"buf_6")]	{4:10000,6:10000,5:10000,7:10000,1:10000,8:10000,9:10000,12:10000,13:10000,10:10000,11:10000,"buf_1":10000,"buf_4":10000,"buf_6":10000}	{4:3600,6:3600,5:3600,7:3600,1:18000,8:3600,9:3600,12:3600,13:3600,10:360,11:360,"buf_1":170,"buf_4":170,"buf_6":170}	1	10	13	30shengqichongsheng	1
35817	龙裔法典·神化	80	6	15	4	1	(26272,10)	黄色	4	6	6	[1,10]	617	[(100,4),(100,6),(100,5),(100,7,),(100,1),(100,8),(100,9),(100,12),(100,13),(100,10),(100,11),(100,"buf_1"),(100,"buf_4"),(100,"buf_6")]	{4:10000,6:10000,5:10000,7:10000,1:10000,8:10000,9:10000,12:10000,13:10000,10:10000,11:10000,"buf_1":10000,"buf_4":10000,"buf_6":10000}	{4:3600,6:3600,5:3600,7:3600,1:18000,8:3600,9:3600,12:3600,13:3600,10:360,11:360,"buf_1":170,"buf_4":170,"buf_6":170}	1	10	13	30shengqishenhua	1
35818	烈焰圣剑·亵渎	80	8	20	5	1	(26272,16)	橙色	5	8	1	[4,6,9]	618	[(100,4),(100,6),(100,5),(100,7,),(100,1),(100,8),(100,9),(100,12),(100,13),(100,10),(100,11),(100,"buf_1"),(100,"buf_4"),(100,"buf_6")]	{4:10000,6:10000,5:10000,7:10000,1:10000,8:10000,9:10000,12:10000,13:10000,10:10000,11:10000,"buf_1":10000,"buf_4":10000,"buf_6":10000}	{4:3600,6:3600,5:3600,7:3600,1:18000,8:3600,9:3600,12:3600,13:3600,10:360,11:360,"buf_1":170,"buf_4":170,"buf_6":170}	1	10	13	40shengqixiedu	1
35819	烈焰圣剑·毁灭	80	8	20	5	1	(26272,16)	橙色	5	8	2	[1,8]	619	[(100,4),(100,6),(100,5),(100,7,),(100,1),(100,8),(100,9),(100,12),(100,13),(100,10),(100,11),(100,"buf_1"),(100,"buf_4"),(100,"buf_6")]	{4:10000,6:10000,5:10000,7:10000,1:10000,8:10000,9:10000,12:10000,13:10000,10:10000,11:10000,"buf_1":10000,"buf_4":10000,"buf_6":10000}	{4:3600,6:3600,5:3600,7:3600,1:18000,8:3600,9:3600,12:3600,13:3600,10:360,11:360,"buf_1":170,"buf_4":170,"buf_6":170}	1	10	13	40shengqihuimie	1
35820	烈焰圣剑·救赎	80	8	20	5	1	(26272,16)	橙色	5	8	3	[4,6,13]	620	[(100,4),(100,6),(100,5),(100,7,),(100,1),(100,8),(100,9),(100,12),(100,13),(100,10),(100,11),(100,"buf_1"),(100,"buf_4"),(100,"buf_6")]	{4:10000,6:10000,5:10000,7:10000,1:10000,8:10000,9:10000,12:10000,13:10000,10:10000,11:10000,"buf_1":10000,"buf_4":10000,"buf_6":10000}	{4:3600,6:3600,5:3600,7:3600,1:18000,8:3600,9:3600,12:3600,13:3600,10:360,11:360,"buf_1":170,"buf_4":170,"buf_6":170}	1	10	13	40shengqijiushu	1
35821	烈焰圣剑·涅槃	80	8	20	5	1	(26272,16)	橙色	5	8	4	[1,12]	621	[(100,4),(100,6),(100,5),(100,7,),(100,1),(100,8),(100,9),(100,12),(100,13),(100,10),(100,11),(100,"buf_1"),(100,"buf_4"),(100,"buf_6")]	{4:10000,6:10000,5:10000,7:10000,1:10000,8:10000,9:10000,12:10000,13:10000,10:10000,11:10000,"buf_1":10000,"buf_4":10000,"buf_6":10000}	{4:3600,6:3600,5:3600,7:3600,1:18000,8:3600,9:3600,12:3600,13:3600,10:360,11:360,"buf_1":170,"buf_4":170,"buf_6":170}	1	10	13	40shengqinuepan	1
35822	烈焰圣剑·重生	80	8	20	5	1	(26272,16)	橙色	5	8	5	[4,6,11]	622	[(100,4),(100,6),(100,5),(100,7,),(100,1),(100,8),(100,9),(100,12),(100,13),(100,10),(100,11),(100,"buf_1"),(100,"buf_4"),(100,"buf_6")]	{4:10000,6:10000,5:10000,7:10000,1:10000,8:10000,9:10000,12:10000,13:10000,10:10000,11:10000,"buf_1":10000,"buf_4":10000,"buf_6":10000}	{4:3600,6:3600,5:3600,7:3600,1:18000,8:3600,9:3600,12:3600,13:3600,10:360,11:360,"buf_1":170,"buf_4":170,"buf_6":170}	1	10	13	40shengqichongsheng	1
35823	烈焰圣剑·神化	80	8	20	5	1	(26272,16)	橙色	5	8	6	[1,10]	623	[(100,4),(100,6),(100,5),(100,7,),(100,1),(100,8),(100,9),(100,12),(100,13),(100,10),(100,11),(100,"buf_1"),(100,"buf_4"),(100,"buf_6")]	{4:10000,6:10000,5:10000,7:10000,1:10000,8:10000,9:10000,12:10000,13:10000,10:10000,11:10000,"buf_1":10000,"buf_4":10000,"buf_6":10000}	{4:3600,6:3600,5:3600,7:3600,1:18000,8:3600,9:3600,12:3600,13:3600,10:360,11:360,"buf_1":170,"buf_4":170,"buf_6":170}	1	10	13	40shengqishenhua	1
