coding	name	magicSpiritLevel	magicSpiritType	propertyPool	skillPointPool	needLog	skillPointRange	nextLevelID	needItem	needItemEx	returnItem	returnMoney	nameColor	iconBackgroundColor	kinds	icon	jiaMi	needlevel	upPoint	doubleclick	canSell
34009	二级暗·魔灵	2	4	[(4,1000,625),(6,1000,1563),(5,1000,1563),(7,1000,1563),(1,3000,1250),(8,1000,625),(9,1000,938),(12,1000,938),(13,1000,938)]	[(1,100),(2,100),(3,100),(4,100),(5,100),(6,100)]	1	[(10,14,2609),(15,18,2899),(19,22,2319),(23,26,1449),(27,29,580),(30,30,145)]	34015	(28279,100)	(34003,1)	[(28279,100)]	0	紫色	3	19	MFZ_ML_Dark_2	1	120	30	OPEN_MAGIC_PANEL	1
34010	二级雷·魔灵	2	5	[(4,1000,625),(6,1000,1563),(5,1000,1563),(7,1000,1563),(1,3000,1250),(8,1000,625),(9,1000,938),(12,1000,938),(13,1000,938)]	[(1,100),(2,100),(3,100),(4,100),(5,100),(6,100)]	1	[(10,14,2609),(15,18,2899),(19,22,2319),(23,26,1449),(27,29,580),(30,30,145)]	34016	(28279,100)	(34004,1)	[(28279,100)]	0	紫色	3	19	MFZ_ML_Lightning_2	1	120	30	OPEN_MAGIC_PANEL	1
34011	二级冰·魔灵	2	6	[(4,1000,625),(6,1000,1563),(5,1000,1563),(7,1000,1563),(1,3000,1250),(8,1000,625),(9,1000,938),(12,1000,938),(13,1000,938)]	[(1,100),(2,100),(3,100),(4,100),(5,100),(6,100)]	1	[(10,14,2609),(15,18,2899),(19,22,2319),(23,26,1449),(27,29,580),(30,30,145)]	34017	(28279,100)	(34005,1)	[(28279,100)]	0	紫色	3	19	MFZ_ML_Ice_2	1	120	30	OPEN_MAGIC_PANEL	1
34012	三级风·魔灵	3	1	[(4,1600,625),(6,1600,1563),(5,1600,1563),(7,1600,1563),(1,4800,1250),(8,1600,625),(9,1600,938),(12,1600,938),(13,1600,938)]	[(1,100),(2,100),(3,100),(4,100),(5,100),(6,100)]	1	[(15,20,2609),(21,25,2899),(26,30,2319),(31,35,1449),(36,38,580),(39,40,145)]	34018	(28279,250)	(34000,2)	[(28279,250)]	0	紫色	3	19	MFZ_ML_Wind_3	1	120	40	OPEN_MAGIC_PANEL	1
34013	三级光·魔灵	3	2	[(4,1600,625),(6,1600,1563),(5,1600,1563),(7,1600,1563),(1,4800,1250),(8,1600,625),(9,1600,938),(12,1600,938),(13,1600,938)]	[(1,100),(2,100),(3,100),(4,100),(5,100),(6,100)]	1	[(15,20,2609),(21,25,2899),(26,30,2319),(31,35,1449),(36,38,580),(39,40,145)]	34019	(28279,250)	(34001,2)	[(28279,250)]	0	紫色	3	19	MFZ_ML_Light_3	1	120	40	OPEN_MAGIC_PANEL	1
34014	三级火·魔灵	3	3	[(4,1600,625),(6,1600,1563),(5,1600,1563),(7,1600,1563),(1,4800,1250),(8,1600,625),(9,1600,938),(12,1600,938),(13,1600,938)]	[(1,100),(2,100),(3,100),(4,100),(5,100),(6,100)]	1	[(15,20,2609),(21,25,2899),(26,30,2319),(31,35,1449),(36,38,580),(39,40,145)]	34020	(28279,250)	(34002,2)	[(28279,250)]	0	紫色	3	19	MFZ_ML_Fire_3	1	120	40	OPEN_MAGIC_PANEL	1
34015	三级暗·魔灵	3	4	[(4,1600,625),(6,1600,1563),(5,1600,1563),(7,1600,1563),(1,4800,1250),(8,1600,625),(9,1600,938),(12,1600,938),(13,1600,938)]	[(1,100),(2,100),(3,100),(4,100),(5,100),(6,100)]	1	[(15,20,2609),(21,25,2899),(26,30,2319),(31,35,1449),(36,38,580),(39,40,145)]	34021	(28279,250)	(34003,2)	[(28279,250)]	0	紫色	3	19	MFZ_ML_Dark_3	1	120	40	OPEN_MAGIC_PANEL	1
34016	三级雷·魔灵	3	5	[(4,1600,625),(6,1600,1563),(5,1600,1563),(7,1600,1563),(1,4800,1250),(8,1600,625),(9,1600,938),(12,1600,938),(13,1600,938)]	[(1,100),(2,100),(3,100),(4,100),(5,100),(6,100)]	1	[(15,20,2609),(21,25,2899),(26,30,2319),(31,35,1449),(36,38,580),(39,40,145)]	34022	(28279,250)	(34004,2)	[(28279,250)]	0	紫色	3	19	MFZ_ML_Lightning_3	1	120	40	OPEN_MAGIC_PANEL	1
34017	三级冰·魔灵	3	6	[(4,1600,625),(6,1600,1563),(5,1600,1563),(7,1600,1563),(1,4800,1250),(8,1600,625),(9,1600,938),(12,1600,938),(13,1600,938)]	[(1,100),(2,100),(3,100),(4,100),(5,100),(6,100)]	1	[(15,20,2609),(21,25,2899),(26,30,2319),(31,35,1449),(36,38,580),(39,40,145)]	34023	(28279,250)	(34005,2)	[(28279,250)]	0	紫色	3	19	MFZ_ML_Ice_3	1	120	40	OPEN_MAGIC_PANEL	1
34018	四级风·魔灵	4	1	[(4,2300,625),(6,2300,1563),(5,2300,1563),(7,2300,1563),(1,6900,1250),(8,2300,625),(9,2300,938),(12,2300,938),(13,2300,938)]	[(1,100),(2,100),(3,100),(4,100),(5,100),(6,100)]	1	[(20,26,2609),(27,32,2899),(33,38,2319),(39,44,1449),(45,48,580),(49,50,145)]	34024	(28279,400)	(34000,4)	[(28279,600)]	0	紫色	3	19	MFZ_ML_Wind_4	1	120	50	OPEN_MAGIC_PANEL	1
34019	四级光·魔灵	4	2	[(4,2300,625),(6,2300,1563),(5,2300,1563),(7,2300,1563),(1,6900,1250),(8,2300,625),(9,2300,938),(12,2300,938),(13,2300,938)]	[(1,100),(2,100),(3,100),(4,100),(5,100),(6,100)]	1	[(20,26,2609),(27,32,2899),(33,38,2319),(39,44,1449),(45,48,580),(49,50,145)]	34025	(28279,400)	(34001,4)	[(28279,600)]	0	紫色	3	19	MFZ_ML_Light_4	1	120	50	OPEN_MAGIC_PANEL	1
34020	四级火·魔灵	4	3	[(4,2300,625),(6,2300,1563),(5,2300,1563),(7,2300,1563),(1,6900,1250),(8,2300,625),(9,2300,938),(12,2300,938),(13,2300,938)]	[(1,100),(2,100),(3,100),(4,100),(5,100),(6,100)]	1	[(20,26,2609),(27,32,2899),(33,38,2319),(39,44,1449),(45,48,580),(49,50,145)]	34026	(28279,400)	(34002,4)	[(28279,600)]	0	紫色	3	19	MFZ_ML_Fire_4	1	120	50	OPEN_MAGIC_PANEL	1
34021	四级暗·魔灵	4	4	[(4,2300,625),(6,2300,1563),(5,2300,1563),(7,2300,1563),(1,6900,1250),(8,2300,625),(9,2300,938),(12,2300,938),(13,2300,938)]	[(1,100),(2,100),(3,100),(4,100),(5,100),(6,100)]	1	[(20,26,2609),(27,32,2899),(33,38,2319),(39,44,1449),(45,48,580),(49,50,145)]	34027	(28279,400)	(34003,4)	[(28279,600)]	0	紫色	3	19	MFZ_ML_Dark_4	1	120	50	OPEN_MAGIC_PANEL	1
34022	四级雷·魔灵	4	5	[(4,2300,625),(6,2300,1563),(5,2300,1563),(7,2300,1563),(1,6900,1250),(8,2300,625),(9,2300,938),(12,2300,938),(13,2300,938)]	[(1,100),(2,100),(3,100),(4,100),(5,100),(6,100)]	1	[(20,26,2609),(27,32,2899),(33,38,2319),(39,44,1449),(45,48,580),(49,50,145)]	34028	(28279,400)	(34004,4)	[(28279,600)]	0	紫色	3	19	MFZ_ML_Lightning_4	1	120	50	OPEN_MAGIC_PANEL	1
34023	四级冰·魔灵	4	6	[(4,2300,625),(6,2300,1563),(5,2300,1563),(7,2300,1563),(1,6900,1250),(8,2300,625),(9,2300,938),(12,2300,938),(13,2300,938)]	[(1,100),(2,100),(3,100),(4,100),(5,100),(6,100)]	1	[(20,26,2609),(27,32,2899),(33,38,2319),(39,44,1449),(45,48,580),(49,50,145)]	34029	(28279,400)	(34005,4)	[(28279,600)]	0	紫色	3	19	MFZ_ML_Ice_4	1	120	50	OPEN_MAGIC_PANEL	1
34024	五级风·魔灵	5	1	[(4,3100,625),(6,3100,1563),(5,3100,1563),(7,3100,1563),(1,9300,1250),(8,3100,625),(9,3100,938),(12,3100,938),(13,3100,938)]	[(1,100),(2,100),(3,100),(4,100),(5,100),(6,100)]	1	[(25,32,2609),(33,39,2899),(40,46,2319),(47,53,1449),(54,58,580),(59,60,145)]	34030	(28279,600)	(34000,6)	[(28279,1200)]	0	紫色	3	19	MFZ_ML_Wind_5	1	120	60	OPEN_MAGIC_PANEL	1
34025	五级光·魔灵	5	2	[(4,3100,625),(6,3100,1563),(5,3100,1563),(7,3100,1563),(1,9300,1250),(8,3100,625),(9,3100,938),(12,3100,938),(13,3100,938)]	[(1,100),(2,100),(3,100),(4,100),(5,100),(6,100)]	1	[(25,32,2609),(33,39,2899),(40,46,2319),(47,53,1449),(54,58,580),(59,60,145)]	34031	(28279,600)	(34001,6)	[(28279,1200)]	0	紫色	3	19	MFZ_ML_Light_5	1	120	60	OPEN_MAGIC_PANEL	1
34026	五级火·魔灵	5	3	[(4,3100,625),(6,3100,1563),(5,3100,1563),(7,3100,1563),(1,9300,1250),(8,3100,625),(9,3100,938),(12,3100,938),(13,3100,938)]	[(1,100),(2,100),(3,100),(4,100),(5,100),(6,100)]	1	[(25,32,2609),(33,39,2899),(40,46,2319),(47,53,1449),(54,58,580),(59,60,145)]	34032	(28279,600)	(34002,6)	[(28279,1200)]	0	紫色	3	19	MFZ_ML_Fire_5	1	120	60	OPEN_MAGIC_PANEL	1
34027	五级暗·魔灵	5	4	[(4,3100,625),(6,3100,1563),(5,3100,1563),(7,3100,1563),(1,9300,1250),(8,3100,625),(9,3100,938),(12,3100,938),(13,3100,938)]	[(1,100),(2,100),(3,100),(4,100),(5,100),(6,100)]	1	[(25,32,2609),(33,39,2899),(40,46,2319),(47,53,1449),(54,58,580),(59,60,145)]	34033	(28279,600)	(34003,6)	[(28279,1200)]	0	紫色	3	19	MFZ_ML_Dark_5	1	120	60	OPEN_MAGIC_PANEL	1
34028	五级雷·魔灵	5	5	[(4,3100,625),(6,3100,1563),(5,3100,1563),(7,3100,1563),(1,9300,1250),(8,3100,625),(9,3100,938),(12,3100,938),(13,3100,938)]	[(1,100),(2,100),(3,100),(4,100),(5,100),(6,100)]	1	[(25,32,2609),(33,39,2899),(40,46,2319),(47,53,1449),(54,58,580),(59,60,145)]	34034	(28279,600)	(34004,6)	[(28279,1200)]	0	紫色	3	19	MFZ_ML_Lightning_5	1	120	60	OPEN_MAGIC_PANEL	1
34029	五级冰·魔灵	5	6	[(4,3100,625),(6,3100,1563),(5,3100,1563),(7,3100,1563),(1,9300,1250),(8,3100,625),(9,3100,938),(12,3100,938),(13,3100,938)]	[(1,100),(2,100),(3,100),(4,100),(5,100),(6,100)]	1	[(25,32,2609),(33,39,2899),(40,46,2319),(47,53,1449),(54,58,580),(59,60,145)]	34035	(28279,600)	(34005,6)	[(28279,1200)]	0	紫色	3	19	MFZ_ML_Ice_5	1	120	60	OPEN_MAGIC_PANEL	1
34030	六级风·魔灵	6	1	[(4,4000,625),(6,4000,1563),(5,4000,1563),(7,4000,1563),(1,12000,1250),(8,4000,625),(9,4000,938),(12,4000,938),(13,4000,938)]	[(1,100),(2,100),(3,100),(4,100),(5,100),(6,100)]	1	[(30,38,2609),(39,46,2899),(47,54,2319),(55,62,1449),(63,67,580),(68,70,145)]	34036	(28279,900)	(34000,8)	[(28279,2100)]	0	黄色	4	19	MFZ_ML_Wind_6	1	120	70	OPEN_MAGIC_PANEL	1
34031	六级光·魔灵	6	2	[(4,4000,625),(6,4000,1563),(5,4000,1563),(7,4000,1563),(1,12000,1250),(8,4000,625),(9,4000,938),(12,4000,938),(13,4000,938)]	[(1,100),(2,100),(3,100),(4,100),(5,100),(6,100)]	1	[(30,38,2609),(39,46,2899),(47,54,2319),(55,62,1449),(63,67,580),(68,70,145)]	34037	(28279,900)	(34001,8)	[(28279,2100)]	0	黄色	4	19	MFZ_ML_Light_6	1	120	70	OPEN_MAGIC_PANEL	1
34032	六级火·魔灵	6	3	[(4,4000,625),(6,4000,1563),(5,4000,1563),(7,4000,1563),(1,12000,1250),(8,4000,625),(9,4000,938),(12,4000,938),(13,4000,938)]	[(1,100),(2,100),(3,100),(4,100),(5,100),(6,100)]	1	[(30,38,2609),(39,46,2899),(47,54,2319),(55,62,1449),(63,67,580),(68,70,145)]	34038	(28279,900)	(34002,8)	[(28279,2100)]	0	黄色	4	19	MFZ_ML_Fire_6	1	120	70	OPEN_MAGIC_PANEL	1
34033	六级暗·魔灵	6	4	[(4,4000,625),(6,4000,1563),(5,4000,1563),(7,4000,1563),(1,12000,1250),(8,4000,625),(9,4000,938),(12,4000,938),(13,4000,938)]	[(1,100),(2,100),(3,100),(4,100),(5,100),(6,100)]	1	[(30,38,2609),(39,46,2899),(47,54,2319),(55,62,1449),(63,67,580),(68,70,145)]	34039	(28279,900)	(34003,8)	[(28279,2100)]	0	黄色	4	19	MFZ_ML_Dark_6	1	120	70	OPEN_MAGIC_PANEL	1
34034	六级雷·魔灵	6	5	[(4,4000,625),(6,4000,1563),(5,4000,1563),(7,4000,1563),(1,12000,1250),(8,4000,625),(9,4000,938),(12,4000,938),(13,4000,938)]	[(1,100),(2,100),(3,100),(4,100),(5,100),(6,100)]	1	[(30,38,2609),(39,46,2899),(47,54,2319),(55,62,1449),(63,67,580),(68,70,145)]	34040	(28279,900)	(34004,8)	[(28279,2100)]	0	黄色	4	19	MFZ_ML_Lightning_6	1	120	70	OPEN_MAGIC_PANEL	1
34035	六级冰·魔灵	6	6	[(4,4000,625),(6,4000,1563),(5,4000,1563),(7,4000,1563),(1,12000,1250),(8,4000,625),(9,4000,938),(12,4000,938),(13,4000,938)]	[(1,100),(2,100),(3,100),(4,100),(5,100),(6,100)]	1	[(30,38,2609),(39,46,2899),(47,54,2319),(55,62,1449),(63,67,580),(68,70,145)]	34041	(28279,900)	(34005,8)	[(28279,2100)]	0	黄色	4	19	MFZ_ML_Ice_6	1	120	70	OPEN_MAGIC_PANEL	1
34036	七级风·魔灵	7	1	[(4,5000,625),(6,5000,1563),(5,5000,1563),(7,5000,1563),(1,15000,1250),(8,5000,625),(9,5000,938),(12,5000,938),(13,5000,938)]	[(1,100),(2,100),(3,100),(4,100),(5,100),(6,100)]	1	[(35,44,2609),(45,53,2899),(54,62,2319),(63,71,1449),(72,77,580),(78,80,145)]	34042	(28279,1300)	(34000,10)	[(28279,3400)]	0	黄色	4	19	MFZ_ML_Wind_7	1	120	80	OPEN_MAGIC_PANEL	1
34037	七级光·魔灵	7	2	[(4,5000,625),(6,5000,1563),(5,5000,1563),(7,5000,1563),(1,15000,1250),(8,5000,625),(9,5000,938),(12,5000,938),(13,5000,938)]	[(1,100),(2,100),(3,100),(4,100),(5,100),(6,100)]	1	[(35,44,2609),(45,53,2899),(54,62,2319),(63,71,1449),(72,77,580),(78,80,145)]	34043	(28279,1300)	(34001,10)	[(28279,3400)]	0	黄色	4	19	MFZ_ML_Light_7	1	120	80	OPEN_MAGIC_PANEL	1
34038	七级火·魔灵	7	3	[(4,5000,625),(6,5000,1563),(5,5000,1563),(7,5000,1563),(1,15000,1250),(8,5000,625),(9,5000,938),(12,5000,938),(13,5000,938)]	[(1,100),(2,100),(3,100),(4,100),(5,100),(6,100)]	1	[(35,44,2609),(45,53,2899),(54,62,2319),(63,71,1449),(72,77,580),(78,80,145)]	34044	(28279,1300)	(34002,10)	[(28279,3400)]	0	黄色	4	19	MFZ_ML_Fire_7	1	120	80	OPEN_MAGIC_PANEL	1
34039	七级暗·魔灵	7	4	[(4,5000,625),(6,5000,1563),(5,5000,1563),(7,5000,1563),(1,15000,1250),(8,5000,625),(9,5000,938),(12,5000,938),(13,5000,938)]	[(1,100),(2,100),(3,100),(4,100),(5,100),(6,100)]	1	[(35,44,2609),(45,53,2899),(54,62,2319),(63,71,1449),(72,77,580),(78,80,145)]	34045	(28279,1300)	(34003,10)	[(28279,3400)]	0	黄色	4	19	MFZ_ML_Dark_7	1	120	80	OPEN_MAGIC_PANEL	1
34040	七级雷·魔灵	7	5	[(4,5000,625),(6,5000,1563),(5,5000,1563),(7,5000,1563),(1,15000,1250),(8,5000,625),(9,5000,938),(12,5000,938),(13,5000,938)]	[(1,100),(2,100),(3,100),(4,100),(5,100),(6,100)]	1	[(35,44,2609),(45,53,2899),(54,62,2319),(63,71,1449),(72,77,580),(78,80,145)]	34046	(28279,1300)	(34004,10)	[(28279,3400)]	0	黄色	4	19	MFZ_ML_Lightning_7	1	120	80	OPEN_MAGIC_PANEL	1
34041	七级冰·魔灵	7	6	[(4,5000,625),(6,5000,1563),(5,5000,1563),(7,5000,1563),(1,15000,1250),(8,5000,625),(9,5000,938),(12,5000,938),(13,5000,938)]	[(1,100),(2,100),(3,100),(4,100),(5,100),(6,100)]	1	[(35,44,2609),(45,53,2899),(54,62,2319),(63,71,1449),(72,77,580),(78,80,145)]	34047	(28279,1300)	(34005,10)	[(28279,3400)]	0	黄色	4	19	MFZ_ML_Ice_7	1	120	80	OPEN_MAGIC_PANEL	1
34042	八级风·魔灵	8	1	[(4,6100,625),(6,6100,1563),(5,6100,1563),(7,6100,1563),(1,18300,1250),(8,6100,625),(9,6100,938),(12,6100,938),(13,6100,938)]	[(1,100),(2,100),(3,100),(4,100),(5,100),(6,100)]	1	[(40,50,2609),(51,60,2899),(61,70,2319),(71,80,1449),(81,87,580),(88,90,145)]	34048	(28279,1800)	(34000,12)	[(28279,5200)]	0	黄色	4	19	MFZ_ML_Wind_8	1	120	90	OPEN_MAGIC_PANEL	1
34043	八级光·魔灵	8	2	[(4,6100,625),(6,6100,1563),(5,6100,1563),(7,6100,1563),(1,18300,1250),(8,6100,625),(9,6100,938),(12,6100,938),(13,6100,938)]	[(1,100),(2,100),(3,100),(4,100),(5,100),(6,100)]	1	[(40,50,2609),(51,60,2899),(61,70,2319),(71,80,1449),(81,87,580),(88,90,145)]	34049	(28279,1800)	(34001,12)	[(28279,5200)]	0	黄色	4	19	MFZ_ML_Light_8	1	120	90	OPEN_MAGIC_PANEL	1
34044	八级火·魔灵	8	3	[(4,6100,625),(6,6100,1563),(5,6100,1563),(7,6100,1563),(1,18300,1250),(8,6100,625),(9,6100,938),(12,6100,938),(13,6100,938)]	[(1,100),(2,100),(3,100),(4,100),(5,100),(6,100)]	1	[(40,50,2609),(51,60,2899),(61,70,2319),(71,80,1449),(81,87,580),(88,90,145)]	34050	(28279,1800)	(34002,12)	[(28279,5200)]	0	黄色	4	19	MFZ_ML_Fire_8	1	120	90	OPEN_MAGIC_PANEL	1
34045	八级暗·魔灵	8	4	[(4,6100,625),(6,6100,1563),(5,6100,1563),(7,6100,1563),(1,18300,1250),(8,6100,625),(9,6100,938),(12,6100,938),(13,6100,938)]	[(1,100),(2,100),(3,100),(4,100),(5,100),(6,100)]	1	[(40,50,2609),(51,60,2899),(61,70,2319),(71,80,1449),(81,87,580),(88,90,145)]	34051	(28279,1800)	(34003,12)	[(28279,5200)]	0	黄色	4	19	MFZ_ML_Dark_8	1	120	90	OPEN_MAGIC_PANEL	1
34046	八级雷·魔灵	8	5	[(4,6100,625),(6,6100,1563),(5,6100,1563),(7,6100,1563),(1,18300,1250),(8,6100,625),(9,6100,938),(12,6100,938),(13,6100,938)]	[(1,100),(2,100),(3,100),(4,100),(5,100),(6,100)]	1	[(40,50,2609),(51,60,2899),(61,70,2319),(71,80,1449),(81,87,580),(88,90,145)]	34052	(28279,1800)	(34004,12)	[(28279,5200)]	0	黄色	4	19	MFZ_ML_Lightning_8	1	120	90	OPEN_MAGIC_PANEL	1
34047	八级冰·魔灵	8	6	[(4,6100,625),(6,6100,1563),(5,6100,1563),(7,6100,1563),(1,18300,1250),(8,6100,625),(9,6100,938),(12,6100,938),(13,6100,938)]	[(1,100),(2,100),(3,100),(4,100),(5,100),(6,100)]	1	[(40,50,2609),(51,60,2899),(61,70,2319),(71,80,1449),(81,87,580),(88,90,145)]	34053	(28279,1800)	(34005,12)	[(28279,5200)]	0	黄色	4	19	MFZ_ML_Ice_8	1	120	90	OPEN_MAGIC_PANEL	1
34048	九级风·魔灵	9	1	[(4,7300,625),(6,7300,1563),(5,7300,1563),(7,7300,1563),(1,21900,1250),(8,7300,625),(9,7300,938),(12,7300,938),(13,7300,938)]	[(1,100),(2,100),(3,100),(4,100),(5,100),(6,100)]	1	[(45,56,2609),(57,67,2899),(68,78,2319),(79,89,1449),(90,96,580),(97,100,145)]	34054	(28279,2400)	(34000,15)	[(28279,7600)]	0	黄色	4	19	MFZ_ML_Wind_9	1	120	100	OPEN_MAGIC_PANEL	1
34049	九级光·魔灵	9	2	[(4,7300,625),(6,7300,1563),(5,7300,1563),(7,7300,1563),(1,21900,1250),(8,7300,625),(9,7300,938),(12,7300,938),(13,7300,938)]	[(1,100),(2,100),(3,100),(4,100),(5,100),(6,100)]	1	[(45,56,2609),(57,67,2899),(68,78,2319),(79,89,1449),(90,96,580),(97,100,145)]	34055	(28279,2400)	(34001,15)	[(28279,7600)]	0	黄色	4	19	MFZ_ML_Light_9	1	120	100	OPEN_MAGIC_PANEL	1
34050	九级火·魔灵	9	3	[(4,7300,625),(6,7300,1563),(5,7300,1563),(7,7300,1563),(1,21900,1250),(8,7300,625),(9,7300,938),(12,7300,938),(13,7300,938)]	[(1,100),(2,100),(3,100),(4,100),(5,100),(6,100)]	1	[(45,56,2609),(57,67,2899),(68,78,2319),(79,89,1449),(90,96,580),(97,100,145)]	34056	(28279,2400)	(34002,15)	[(28279,7600)]	0	黄色	4	19	MFZ_ML_Fire_9	1	120	100	OPEN_MAGIC_PANEL	1
34051	九级暗·魔灵	9	4	[(4,7300,625),(6,7300,1563),(5,7300,1563),(7,7300,1563),(1,21900,1250),(8,7300,625),(9,7300,938),(12,7300,938),(13,7300,938)]	[(1,100),(2,100),(3,100),(4,100),(5,100),(6,100)]	1	[(45,56,2609),(57,67,2899),(68,78,2319),(79,89,1449),(90,96,580),(97,100,145)]	34057	(28279,2400)	(34003,15)	[(28279,7600)]	0	黄色	4	19	MFZ_ML_Dark_9	1	120	100	OPEN_MAGIC_PANEL	1
34052	九级雷·魔灵	9	5	[(4,7300,625),(6,7300,1563),(5,7300,1563),(7,7300,1563),(1,21900,1250),(8,7300,625),(9,7300,938),(12,7300,938),(13,7300,938)]	[(1,100),(2,100),(3,100),(4,100),(5,100),(6,100)]	1	[(45,56,2609),(57,67,2899),(68,78,2319),(79,89,1449),(90,96,580),(97,100,145)]	34058	(28279,2400)	(34004,15)	[(28279,7600)]	0	黄色	4	19	MFZ_ML_Lightning_9	1	120	100	OPEN_MAGIC_PANEL	1
