coding	name	Des	propsType	kinds	useLevel	useNeedItem	iconBackgroundColor	canSell	canOverlap	canUse	canUseSome	needLog	sortLevel	icon	bigIcon70	icon_FT	icon_US	icon_RU	icon_TK	icon_PL	icon_Fr	icon_EN	use	nameColor	saleBack	salePrice	saleBack2	salePrice2	doubleclick	minutes	timeoutCoding	invaluable	pbp	showGoods	kuaFuUse	jiaMi
25609	坐骑·鹰爪虾	坐骑	1	1	26		2	1	0	1	0	1	4670	zuoqishiwu2									使用后坐骑属性增加：物攻+80 法攻+80 生命+240。(每个道具仅可使用一次)#H使用条件：坐骑达到2阶7星。	蓝色	0	9999	0	0	0	4320		0	0	1	1	0
25610	坐骑·金龙虾	坐骑	1	1	26		2	1	0	1	0	1	4670	zuoqishiwu2									使用后坐骑属性增加：物攻+80 法攻+80 生命+240。(每个道具仅可使用一次)#H使用条件：坐骑达到2阶9星。	蓝色	0	9999	0	0	0	4320		0	0	1	1	0
25611	坐骑·小草菇	坐骑	1	1	26		2	1	0	1	0	1	4670	zuoqishiwu3									使用后坐骑属性增加：物攻+100 法攻+100 生命+300。(每个道具仅可使用一次)#H使用条件：坐骑达到3阶1星。	蓝色	0	9999	0	0	0	4320		0	0	1	1	0
25612	坐骑·白灵菇	坐骑	1	1	26		2	1	0	1	0	1	4670	zuoqishiwu3									使用后坐骑属性增加：物攻+100 法攻+100 生命+300。(每个道具仅可使用一次)#H使用条件：坐骑达到3阶3星。	蓝色	0	9999	0	0	0	4320		0	0	1	1	0
25613	坐骑·猴头菇	坐骑	1	1	26		2	1	0	1	0	1	4670	zuoqishiwu3									使用后坐骑属性增加：物攻+100 法攻+100 生命+300。(每个道具仅可使用一次)#H使用条件：坐骑达到3阶5星。	蓝色	0	9999	0	0	0	4320		0	0	1	1	0
25614	坐骑·野灵芝	坐骑	1	1	26		2	1	0	1	0	1	4670	zuoqishiwu3									使用后坐骑属性增加：物攻+100 法攻+100 生命+300。(每个道具仅可使用一次)#H使用条件：坐骑达到3阶7星。	蓝色	0	9999	0	0	0	4320		0	0	1	1	0
25615	坐骑·金云芝	坐骑	1	1	26		2	1	0	1	0	1	4670	zuoqishiwu3									使用后坐骑属性增加：物攻+100 法攻+100 生命+300。(每个道具仅可使用一次)#H使用条件：坐骑达到3阶9星。	蓝色	0	9999	0	0	0	4320		0	0	1	1	0
25616	坐骑·小鳊鱼	坐骑	1	1	26		3	1	0	1	0	1	4670	zuoqishiwu4									使用后坐骑属性增加：物攻+200 法攻+200 生命+600。(每个道具仅可使用一次)#H使用条件：坐骑达到4阶1星。	紫色	0	9999	0	0	0	4320		0	0	1	1	1
25617	坐骑·小柴鱼	坐骑	1	1	26		3	1	0	1	0	1	4670	zuoqishiwu4									使用后坐骑属性增加：物攻+200 法攻+200 生命+600。(每个道具仅可使用一次)#H使用条件：坐骑达到4阶3星。	紫色	0	9999	0	0	0	4320		0	0	1	1	1
25618	坐骑·沙丁鱼	坐骑	1	1	26		3	1	0	1	0	1	4670	zuoqishiwu4									使用后坐骑属性增加：物攻+200 法攻+200 生命+600。(每个道具仅可使用一次)#H使用条件：坐骑达到4阶5星。	紫色	0	9999	0	0	0	4320		0	0	1	1	1
25619	坐骑·三文鱼	坐骑	1	1	26		3	1	0	1	0	1	4670	zuoqishiwu4									使用后坐骑属性增加：物攻+200 法攻+200 生命+600。(每个道具仅可使用一次)#H使用条件：坐骑达到4阶7星。	紫色	0	9999	0	0	0	4320		0	0	1	1	1
25620	坐骑·金枪鱼	坐骑	1	1	26		3	1	0	1	0	1	4670	zuoqishiwu4									使用后坐骑属性增加：物攻+200 法攻+200 生命+600。(每个道具仅可使用一次)#H使用条件：坐骑达到4阶9星。	紫色	0	9999	0	0	0	4320		0	0	1	1	1
25621	坐骑·小樱桃	坐骑	1	1	26		3	1	0	1	0	1	4670	zuoqishiwu5									使用后坐骑属性增加：物攻+230 法攻+230 生命+690。(每个道具仅可使用一次)#H使用条件：坐骑达到5阶1星。	紫色	0	9999	0	0	0	4320		0	0	1	1	1
25622	坐骑·罗汉果	坐骑	1	1	26		3	1	0	1	0	1	4670	zuoqishiwu5									使用后坐骑属性增加：物攻+230 法攻+230 生命+690。(每个道具仅可使用一次)#H使用条件：坐骑达到5阶3星。	紫色	0	9999	0	0	0	4320		0	0	1	1	1
25623	坐骑·圣女果	坐骑	1	1	26		3	1	0	1	0	1	4670	zuoqishiwu5									使用后坐骑属性增加：物攻+230 法攻+230 生命+690。(每个道具仅可使用一次)#H使用条件：坐骑达到5阶5星。	紫色	0	9999	0	0	0	4320		0	0	1	1	1
25624	坐骑·百香果	坐骑	1	1	26		3	1	0	1	0	1	4670	zuoqishiwu5									使用后坐骑属性增加：物攻+230 法攻+230 生命+690。(每个道具仅可使用一次)#H使用条件：坐骑达到5阶7星。	紫色	0	9999	0	0	0	4320		0	0	1	1	1
25625	坐骑·金枇杷	坐骑	1	1	26		3	1	0	1	0	1	4670	zuoqishiwu5									使用后坐骑属性增加：物攻+230 法攻+230 生命+690。(每个道具仅可使用一次)#H使用条件：坐骑达到5阶9星。	紫色	0	9999	0	0	0	4320		0	0	1	1	1
25626	坐骑·小园参	坐骑	1	1	26		4	1	0	1	0	1	4670	zuoqishiwu6									使用后坐骑属性增加：物攻+270 法攻+270 生命+810。(每个道具仅可使用一次)#H使用条件：坐骑达到6阶1星。	黄色	0	9999	0	0	0	4320		0	0	1	1	1
25627	坐骑·野山参	坐骑	1	1	26		4	1	0	1	0	1	4670	zuoqishiwu6									使用后坐骑属性增加：物攻+270 法攻+270 生命+810。(每个道具仅可使用一次)#H使用条件：坐骑达到6阶3星。	黄色	0	9999	0	0	0	4320		0	0	1	1	1
25628	坐骑·土红参	坐骑	1	1	26		4	1	0	1	0	1	4670	zuoqishiwu6									使用后坐骑属性增加：物攻+270 法攻+270 生命+810。(每个道具仅可使用一次)#H使用条件：坐骑达到6阶5星。	黄色	0	9999	0	0	0	4320		0	0	1	1	1
25629	坐骑·高丽参	坐骑	1	1	26		4	1	0	1	0	1	4670	zuoqishiwu6									使用后坐骑属性增加：物攻+270 法攻+270 生命+810。(每个道具仅可使用一次)#H使用条件：坐骑达到6阶7星。	黄色	0	9999	0	0	0	4320		0	0	1	1	1
25630	坐骑·金人参	坐骑	1	1	26		4	1	0	1	0	1	4670	zuoqishiwu6									使用后坐骑属性增加：物攻+270 法攻+270 生命+810。(每个道具仅可使用一次)#H使用条件：坐骑达到6阶9星。	黄色	0	9999	0	0	0	4320		0	0	1	1	1
25631	坐骑·花龟甲	坐骑	1	1	26		4	1	0	1	0	1	4670	zuoqishiwu7									使用后坐骑属性增加：物攻+320 法攻+320 生命+960。(每个道具仅可使用一次)#H使用条件：坐骑达到7阶1星。	黄色	0	9999	0	0	0	4320		0	0	1	1	1
25632	坐骑·水龟甲	坐骑	1	1	26		4	1	0	1	0	1	4670	zuoqishiwu7									使用后坐骑属性增加：物攻+320 法攻+320 生命+960。(每个道具仅可使用一次)#H使用条件：坐骑达到7阶3星。	黄色	0	9999	0	0	0	4320		0	0	1	1	1
25633	坐骑·地龟甲	坐骑	1	1	26		4	1	0	1	0	1	4670	zuoqishiwu7									使用后坐骑属性增加：物攻+320 法攻+320 生命+960。(每个道具仅可使用一次)#H使用条件：坐骑达到7阶5星。	黄色	0	9999	0	0	0	4320		0	0	1	1	1
25634	坐骑·斑龟甲	坐骑	1	1	26		4	1	0	1	0	1	4670	zuoqishiwu7									使用后坐骑属性增加：物攻+320 法攻+320 生命+960。(每个道具仅可使用一次)#H使用条件：坐骑达到7阶7星。	黄色	0	9999	0	0	0	4320		0	0	1	1	1
25635	坐骑·鳄龟甲	坐骑	1	1	26		4	1	0	1	0	1	4670	zuoqishiwu7									使用后坐骑属性增加：物攻+320 法攻+320 生命+960。(每个道具仅可使用一次)#H使用条件：坐骑达到7阶9星。	黄色	0	9999	0	0	0	4320		0	0	1	1	1
25636	小经验果	英雄经验	1	1	15		1	1	1	1	0	1	4980	jingyanguoxiao									使用后可以获得3000经验,需消耗3000金币	绿色	0	200	0	0	YXOPEN			0	0	0	1	0
25637	中经验果	英雄经验	1	1	15		2	1	1	1	0	1	4980	jingyanguozhong									使用后可以获得6000经验,需消耗6000金币	蓝色	0	300	0	0	YXOPEN			0	0	0	1	0
25638	大经验果	英雄经验	1	1	15		3	1	1	1	0	1	4980	jingyanguoda									使用后可以获得10000经验,需消耗10000金币	紫色	0	400	0	0	YXOPEN			0	0	0	1	1
25639	超级经验果	英雄经验	1	1	15		4	1	1	1	0	1	4980	jingyanguochao									使用后可以获得15000经验,需消耗15000金币	黄色	0	500	0	0	YXOPEN			0	0	0	1	1
25640	小经验酒	英雄经验	1	1	15		4	1	1	1	0	1	4980	jingyanjiuxiao									使用后可以获得30000经验,需消耗30000金币	黄色	0	700	0	0	YXOPEN			0	0	0	1	1
25641	中经验酒	英雄经验	1	1	15		4	1	1	1	0	1	4980	jingyanjiuzhong									使用后可以获得50000经验,需消耗50000金币	黄色	0	850	0	0	YXOPEN			0	0	0	1	1
25642	大经验酒	英雄经验	1	1	15		4	1	1	1	0	1	4980	jingyanjiuda									使用后可以获得100000经验,需消耗100000金币	黄色	0	1050	0	0	YXOPEN			0	0	0	1	1
25643	超级经验酒	英雄经验	1	1	15		4	1	1	1	0	1	4980	jingyanjiuchao									使用后可以获得200000经验,需消耗200000金币	黄色	0	1300	0	0	YXOPEN			0	0	0	1	1
25644	小经验卡	英雄经验	1	1	15		4	1	1	1	0	1	4980	jingyankaxiao									使用后可以获得400000经验,需消耗400000金币	黄色	0	1500	0	0	YXOPEN			0	0	0	1	1
25645	中经验卡	英雄经验	1	1	15		4	1	1	1	0	1	4980	jingyankazhong									使用后可以获得700000经验,需消耗700000金币	黄色	0	1750	0	0	YXOPEN			0	0	0	1	1
25646	大经验卡	英雄经验	1	1	15		4	1	1	1	0	1	4980	jingyankada									使用后可以获得1000000经验,需消耗1000000金币	黄色	0	2000	0	0	YXOPEN			0	0	0	1	1
25647	超级经验卡	英雄经验	1	1	15		4	1	1	1	0	1	4980	jingyankachao									使用后可以获得10000000经验,需消耗10000000金币	黄色	0	2500	0	0	YXOPEN			0	0	0	1	1
25648	小经验书	英雄经验	1	1	15		4	1	1	1	0	1	4980	jingyanshuxiao									使用后可以获得30000000经验,需消耗30000000金币	黄色	0	3000	0	0	YXOPEN			0	0	0	1	1
25649	中经验书	英雄经验	1	1	15		4	1	1	1	0	1	4980	jingyanshuzhong									使用后可以获得80000000经验,需消耗80000000金币	黄色	0	4000	0	0	YXOPEN			0	0	0	1	1
25650	大经验书	英雄经验	1	1	15		4	1	1	1	0	1	4980	jingyanshuda									使用后可以获得150000000经验,需消耗150000000金币	黄色	0	5000	0	0	YXOPEN			0	0	0	1	1
25651	超级经验书	英雄经验	1	1	15		4	1	1	1	0	1	4980	jingyanshuchao									使用后可以获得300000000经验,需消耗300000000金币	黄色	0	6000	0	0	YXOPEN			0	0	0	1	1
25652	小经验珠	英雄经验	1	1	15		4	1	1	1	0	1	4980	jingyanzhuxiao									使用后可以获得500000000经验,需消耗500000000金币	黄色	0	7000	0	0	YXOPEN			0	0	0	1	1
25653	中经验珠	英雄经验	1	1	15		4	1	1	1	0	1	4980	jingyanzhuzhong									使用后可以获得1000000000经验,需消耗1000000000金币	黄色	0	8000	0	0	YXOPEN			0	0	0	1	1
25654	大经验珠	英雄经验	1	1	15		4	1	1	1	0	1	4980	jingyanzhuda									使用后可以获得1500000000经验,需消耗1500000000金币	黄色	0	9000	0	0	YXOPEN			0	0	0	1	1
25655	超级经验珠	英雄经验	1	1	15		4	1	1	1	0	1	4980	jingyanzhuchao									使用后可以获得2000000000经验,需消耗2000000000金币	黄色	0	10000	0	0	YXOPEN			0	0	0	1	1
25656	一星召唤令	英雄兑换	1	1	30		4	1	1	1	0	1	4970	zhaohuanling1									可用于一星英雄祭坛英雄召唤一次，有机会抽到紫色英雄	黄色	0	3000	0	0	YXJT			0	0	0	1	1
25657	二星召唤令	英雄兑换	1	1	40		4	1	1	1	0	1	4970	zhaohuanling2									可用于二星英雄祭坛英雄召唤一次，有机会抽到紫色英雄	黄色	0	4000	0	0	YXJT			0	0	0	1	1
25658	三星召唤令	英雄兑换	1	1	60		4	1	1	1	0	1	4970	zhaohuanling3									可用于三星英雄祭坛英雄召唤一次，有机会抽到紫色英雄	黄色	0	6000	0	0	YXJT			0	0	0	1	1
25659	四星召唤令	英雄兑换	1	1	80		4	1	1	1	0	1	4970	zhaohuanling4									可用于四星英雄祭坛英雄召唤一次，有机会抽到紫色英雄	黄色	0	8000	0	0	YXJT			0	0	0	1	1
25660	五星召唤令	英雄兑换	1	1	100		4	1	1	1	0	1	4970	zhaohuanling5									可用于五星英雄祭坛英雄召唤一次，有机会抽到紫色英雄	黄色	0	10000	0	0	YXJT			0	0	0	1	1
25661	一阶天灵石	装备进阶神铸	1	4	40		3	1	1	1	0	1	4960	tianlingshi1									1阶装备低级材料	紫色	0	1000	0	0	ZBSJ			0	0	0	1	1
25662	二阶天灵石	装备进阶神铸	1	4	60	25601	3	1	1	1	0	1	4960	tianlingshi2									2阶装备低级材料	紫色	0	2000	0	0	ZBSJ			0	0	0	1	1
25663	三阶天灵石	装备进阶神铸	1	4	80		3	1	1	1	0	1	4960	tianlingshi3									3阶装备低级材料	紫色	0	3000	0	0	ZBSJ			0	0	0	1	1
25664	四阶天灵石	装备进阶神铸	1	4	100		3	1	1	1	0	1	4960	tianlingshi4									4阶装备低级材料	紫色	0	4000	0	0	ZBSJ			0	0	0	1	1
25665	五阶天灵石	装备进阶神铸	1	4	120		3	1	1	1	0	1	4960	tianlingshi5									5阶装备低级材料	紫色	0	5000	0	0	ZBSJ			0	0	0	1	1
25666	一阶玄铁	装备进阶神铸	1	4	40		3	1	1	1	0	1	4960	xuantie1									1阶装备中级材料	紫色	0	1500	0	0	ZBSJ			0	0	0	1	1
25667	二阶玄铁	装备进阶神铸	1	4	60		3	1	1	1	0	1	4960	xuantie2									2阶装备中级材料	紫色	0	3000	0	0	ZBSJ			0	0	0	1	1
25668	三阶玄铁	装备进阶神铸	1	4	80		3	1	1	1	0	1	4960	xuantie3									3阶装备中级材料	紫色	0	4500	0	0	ZBSJ			0	0	0	1	1
25669	四阶玄铁	装备进阶神铸	1	4	100		3	1	1	1	0	1	4960	xuantie4									4阶装备中级材料	紫色	0	6000	0	0	ZBSJ			0	0	0	1	1
25670	五阶玄铁	装备进阶神铸	1	4	120		3	1	1	1	0	1	4960	xuantie5									5阶装备中级材料	紫色	0	7500	0	0	ZBSJ			0	0	0	1	1
25671	一阶古龙血	装备神铸	1	4	40		4	1	1	1	0	1	4950	gulongxue1									1阶装备高级材料	黄色	0	1000	0	0	ZBSZ			0	0	0	1	1
25672	二阶古龙血	装备神铸	1	4	60		4	1	1	1	0	1	4950	gulongxue2	gulongxue20								2阶装备高级材料	黄色	0	2000	0	0	ZBSZ			0	0	0	1	1
25673	三阶古龙血	装备神铸	1	4	80		4	1	1	1	0	1	4950	gulongxue3									3阶装备高级材料	黄色	0	3000	0	0	ZBSZ			0	0	0	1	1
25674	四阶古龙血	装备神铸	1	4	100		4	1	1	1	0	1	4950	gulongxue4									4阶装备高级材料	黄色	0	4000	0	0	ZBSZ			0	0	0	1	1
25675	五阶古龙血	装备神铸	1	4	120		4	1	1	1	0	1	4950	gulongxue5									5阶装备高级材料	黄色	0	5000	0	0	ZBSZ			0	0	0	1	1
25676	虎牙	英雄进化	1	1	26		3	1	1	1	0	1	4940	huya									用于1星英雄进化。#H获得途径：副本掉落，副本商店兑换	紫色	0	1000	0	0	YXJINJIE			0	0	0	1	1
25677	虎魄	英雄进化	1	1	26		3	1	1	1	0	1	4940	hupo									用于2星英雄进化。#H获得途径：副本掉落，副本商店兑换	紫色	0	1000	0	0	YXJINJIE			0	0	0	1	1
25678	凤羽	英雄进化	1	1	26		3	1	1	1	0	1	4940	fengyu									用于3星英雄进化。#H获得途径：副本掉落，副本商店兑换	紫色	0	1000	0	0	YXJINJIE			0	0	0	1	1
25679	龙玉	英雄进化	1	1	26		3	1	1	1	0	1	4940	longyu									用于4星英雄进化。#H获得途径：副本掉落，副本商店兑换	紫色	0	1000	0	0	YXJINJIE			0	0	0	1	1
25680	秘药	英雄进化	1	1	26		3	1	1	1	0	1	4940	miyao									用于5星英雄进化。#H获得途径：副本掉落，副本商店兑换	紫色	0	1000	0	0	YXJINJIE			0	0	0	1	1
25681	一级龙晶	材料兑换	1	1	22		3	1	1	1	0	1	4930	longjing1									用于兑换1星进化材料、装备。#H获得途径：副本、英雄竞技	紫色	0	1000	0	0	OPEN_EXCHANGE_SHOP			0	0	0	1	1
25682	二级龙晶	材料兑换	1	1	40		3	1	1	1	0	1	4930	longjing2									用于兑换2星进化材料、装备。#H获得途径：副本、英雄竞技	紫色	0	2000	0	0	OPEN_EXCHANGE_SHOP			0	0	0	1	1
25683	三级龙晶	材料兑换	1	1	60		3	1	1	1	0	1	4930	longjing3									用于兑换3星进化材料、装备。#H获得途径：副本、英雄竞技	紫色	0	3000	0	0	OPEN_EXCHANGE_SHOP			0	0	0	1	1
25684	四级龙晶	材料兑换	1	1	80		3	1	1	1	0	1	4930	longjing4									用于兑换4星进化材料、装备。#H获得途径：副本、英雄竞技	紫色	0	4000	0	0	OPEN_EXCHANGE_SHOP			0	0	0	1	1
25685	五级龙晶	材料兑换	1	1	100		3	1	1	1	0	1	4930	longjing5									用于兑换5星进化材料、装备。#H获得途径：副本、英雄竞技	紫色	0	5000	0	0	OPEN_EXCHANGE_SHOP			0	0	0	1	1
25686	六级龙晶	材料兑换	1	1	120		3	1	1	1	0	1	4930	longjing6									用于兑换6星进化材料、装备。#H获得途径：副本、英雄竞技	紫色	0	6000	0	0	OPEN_EXCHANGE_SHOP			0	0	0	1	1
25687	各等级龙晶	材料兑换	1	1	1		3	1	1	1	0	1	4930	longjing6									用于兑换进化材料、装备。#H获得途径：副本、英雄竞技	紫色	0	6000	0	0	OPEN_EXCHANGE_SHOP			0	0	0	1	1
25688	魔魂剑卷轴	装备进阶	1	4	40		3	1	1	1	0	1	4920	40juanzhouwuqi									用于40级装备升阶#H获得途径：副本掉落，副本商店兑换	紫色	0	1000	0	0	ZBSJ			0	0	0	1	1
25689	魔魂头盔卷轴	装备进阶	1	4	40		3	1	1	1	0	1	4920	40juanzhoutoukui									用于40级装备升阶#H获得途径：副本掉落，副本商店兑换	紫色	0	1000	0	0	ZBSJ			0	0	0	1	1
25690	魔魂铠甲卷轴	装备进阶	1	4	40		3	1	1	1	0	1	4920	40juanzhouyifu									用于40级装备升阶#H获得途径：副本掉落，副本商店兑换	紫色	0	1000	0	0	ZBSJ			0	0	0	1	1
25691	魔魂战靴卷轴	装备进阶	1	4	40		3	1	1	1	0	1	4920	40juanzhouxuezi									用于40级装备升阶#H获得途径：副本掉落，副本商店兑换	紫色	0	1000	0	0	ZBSJ			0	0	0	1	1
25692	魔魂戒指卷轴	装备进阶	1	4	40		3	1	1	1	0	1	4920	40juanzhoujiezhi									用于40级装备升阶#H获得途径：副本掉落，副本商店兑换	紫色	0	1000	0	0	ZBSJ			0	0	0	1	1
25693	魔魂手镯卷轴	装备进阶	1	4	40		3	1	1	1	0	1	4920	40juanzhoushouzu									用于40级装备升阶#H获得途径：副本掉落，副本商店兑换	紫色	0	1000	0	0	ZBSJ			0	0	0	1	1
25694	寒光剑卷轴	装备进阶	1	4	60		3	1	1	1	0	1	4920	60juanzhouwuqi									用于60级装备升阶#H获得途径：副本掉落，副本商店兑换	紫色	0	2000	0	0	ZBSJ			0	0	0	1	1
25695	寒光头盔卷轴	装备进阶	1	4	60		3	1	1	1	0	1	4920	60juanzhoutoukui									用于60级装备升阶#H获得途径：副本掉落，副本商店兑换	紫色	0	2000	0	0	ZBSJ			0	0	0	1	1
25696	寒光铠甲卷轴	装备进阶	1	4	60		3	1	1	1	0	1	4920	60juanzhouyifu									用于60级装备升阶#H获得途径：副本掉落，副本商店兑换	紫色	0	2000	0	0	ZBSJ			0	0	0	1	1
25697	寒光战靴卷轴	装备进阶	1	4	60		3	1	1	1	0	1	4920	60juanzhouxuezi									用于60级装备升阶#H获得途径：副本掉落，副本商店兑换	紫色	0	2000	0	0	ZBSJ			0	0	0	1	1
25698	寒光戒指卷轴	装备进阶	1	4	60		3	1	1	1	0	1	4920	60juanzhoujiezhi									用于60级装备升阶#H获得途径：副本掉落，副本商店兑换	紫色	0	2000	0	0	ZBSJ			0	0	0	1	1
25699	寒光手镯卷轴	装备进阶	1	4	60		3	1	1	1	0	1	4920	60juanzhoushouzu									用于60级装备升阶#H获得途径：副本掉落，副本商店兑换	紫色	0	2000	0	0	ZBSJ			0	0	0	1	1
25700	幻影剑卷轴	装备进阶	1	4	80		3	1	1	1	0	1	4920	80juanzhouwuqi									用于80级装备升阶#H获得途径：副本掉落，副本商店兑换	紫色	0	3000	0	0	ZBSJ			0	0	0	1	1
25701	幻影头盔卷轴	装备进阶	1	4	80		3	1	1	1	0	1	4920	80juanzhoutoukui									用于80级装备升阶#H获得途径：副本掉落，副本商店兑换	紫色	0	3000	0	0	ZBSJ			0	0	0	1	1
25702	幻影铠甲卷轴	装备进阶	1	4	80		3	1	1	1	0	1	4920	80juanzhouyifu									用于80级装备升阶#H获得途径：副本掉落，副本商店兑换	紫色	0	3000	0	0	ZBSJ			0	0	0	1	1
25703	幻影战靴卷轴	装备进阶	1	4	80		3	1	1	1	0	1	4920	80juanzhouxuezi									用于80级装备升阶#H获得途径：副本掉落，副本商店兑换	紫色	0	3000	0	0	ZBSJ			0	0	0	1	1
25704	幻影戒指卷轴	装备进阶	1	4	80		3	1	1	1	0	1	4920	80juanzhoujiezhi									用于80级装备升阶#H获得途径：副本掉落，副本商店兑换	紫色	0	3000	0	0	ZBSJ			0	0	0	1	1
25705	幻影手镯卷轴	装备进阶	1	4	80		3	1	1	1	0	1	4920	80juanzhoushouzu									用于80级装备升阶#H获得途径：副本掉落，副本商店兑换	紫色	0	3000	0	0	ZBSJ			0	0	0	1	1
25706	曙光剑卷轴	装备进阶	1	4	100		3	1	1	1	0	1	4920	100juanzhouwuqi									用于100级装备升阶#H获得途径：副本掉落，副本商店兑换	紫色	0	4000	0	0	ZBSJ			0	0	0	1	1
25707	曙光头盔卷轴	装备进阶	1	4	100		3	1	1	1	0	1	4920	100juanzhoutoukui									用于100级装备升阶#H获得途径：副本掉落，副本商店兑换	紫色	0	4000	0	0	ZBSJ			0	0	0	1	1
25708	曙光铠甲卷轴	装备进阶	1	4	100		3	1	1	1	0	1	4920	100juanzhouyifu									用于100级装备升阶#H获得途径：副本掉落，副本商店兑换	紫色	0	4000	0	0	ZBSJ			0	0	0	1	1
25709	曙光战靴卷轴	装备进阶	1	4	100		3	1	1	1	0	1	4920	100juanzhouxuezi									用于100级装备升阶#H获得途径：副本掉落，副本商店兑换	紫色	0	4000	0	0	ZBSJ			0	0	0	1	1
25710	曙光戒指卷轴	装备进阶	1	4	100		3	1	1	1	0	1	4920	100juanzhoujiezhi									用于100级装备升阶#H获得途径：副本掉落，副本商店兑换	紫色	0	4000	0	0	ZBSJ			0	0	0	1	1
25711	曙光手镯卷轴	装备进阶	1	4	100		3	1	1	1	0	1	4920	100juanzhoushouzu									用于100级装备升阶#H获得途径：副本掉落，副本商店兑换	紫色	0	4000	0	0	ZBSJ			0	0	0	1	1
25712	经验	数值	1	2	1		3	1	1	0	0	1	1200	jingyan									经验	紫色	0	1	0	0	0			0	0	0	1	1
25713	战争之王魂魄	英雄进阶	1	1	80		4	1	1	1	0	1	4910	5002hun			5002hun_US			5002hun_PL	5002hun_Fr		用于将英雄进化为红色#H获得途径：英灵神殿掉落	黄色	0	3000	0	0	YXJINJIE			0	0	0	1	1
