coding	name	icon	bigIcon	needlevel	grade	posType	suitId	sortLevel	maxSrength	canSell	salePrice	Strength	UpGrade	pt1	pv1	pt2	pv2	needLog	kinds	propsType	use	nameColor	showGoods	holeNum	Mosaic	jiaMi	maxCuiLian
35712	残月长弓	100zichanggong	100zichanggongda	100	3	1	5	518	60	1	1000	1	1	4	750	6	750	1	6	6	相传其魔力之强，可致圣月残缺，所到之处必将生灵涂炭	紫色	1	8	1	1	10
35713	残月战斧	100zizhanfu	100zizhanfuda	100	3	3	5	519	60	1	1000	1	1	4	750	6	750	1	6	8	相传其魔力之强，可致圣月残缺，所到之处必将生灵涂炭	紫色	1	8	1	1	10
35714	残月战锤	100zizhanchui	100zizhanchuida	100	3	5	5	520	60	1	1000	1	1	4	750	6	750	1	6	10	相传其魔力之强，可致圣月残缺，所到之处必将生灵涂炭	紫色	1	8	1	1	10
35715	残月匕首	100zibishou	100zibishouda	100	3	2	6	521	60	1	1000	1	1	1	2250	0	0	1	6	7	相传其魔力之强，可致圣月残缺，所到之处必将生灵涂炭	紫色	1	8	1	1	10
35716	残月圣枪	100zishengqiang	100zishengqiangda	100	3	4	6	522	60	1	1000	1	1	1	2250	0	0	1	6	9	相传其魔力之强，可致圣月残缺，所到之处必将生灵涂炭	紫色	1	8	1	1	10
35717	残月弯刀	100ziwandao	100ziwandaoda	100	3	6	6	523	60	1	1000	1	1	1	2250	0	0	1	6	11	相传其魔力之强，可致圣月残缺，所到之处必将生灵涂炭	紫色	1	8	1	1	10
35718	血阳长弓	60cchanggong	60cchanggongda	60	5	1	7	524	60	1	1000	1	1	4	1250	6	1250	1	6	6	汲取鲜血之力，融合残照之灵，其内流淌的能量随时会喷涌而出	橙色	1	8	1	1	10
35719	血阳战斧	60czhanfu	60czhanfuda	60	5	3	7	525	60	1	1000	1	1	4	1250	6	1250	1	6	8	汲取鲜血之力，融合残照之灵，其内流淌的能量随时会喷涌而出	橙色	1	8	1	1	10
35720	血阳战锤	60czhanchui	60czhanchuida	60	5	5	7	526	60	1	1000	1	1	4	1250	6	1250	1	6	10	汲取鲜血之力，融合残照之灵，其内流淌的能量随时会喷涌而出	橙色	1	8	1	1	10
35721	血阳匕首	60cbishou	60cbishouda	60	5	2	8	527	60	1	1000	1	1	1	3750	0	0	1	6	7	汲取鲜血之力，融合残照之灵，其内流淌的能量随时会喷涌而出	橙色	1	8	1	1	10
35722	血阳圣枪	60cshengqiang	60cshengqiangda	60	5	4	8	528	60	1	1000	1	1	1	3750	0	0	1	6	9	汲取鲜血之力，融合残照之灵，其内流淌的能量随时会喷涌而出	橙色	1	8	1	1	10
35723	血阳弯刀	60cwandao	60cwandaoda	60	5	6	8	529	60	1	1000	1	1	1	3750	0	0	1	6	11	汲取鲜血之力，融合残照之灵，其内流淌的能量随时会喷涌而出	橙色	1	8	1	1	10
35724	烈阳长弓	120zichanggong	120zichanggongda	120	5	1	9	530	80	1	1000	1	1	4	1000	6	1000	1	6	6	其光芒之炙热，可以吞噬天地，甚至灼伤太阳	橙色	1	8	1	1	10
35725	烈阳战斧	120zizhanfu	120zizhanfuda	120	5	3	9	531	80	1	1000	1	1	4	1000	6	1000	1	6	8	其光芒之炙热，可以吞噬天地，甚至灼伤太阳	橙色	1	8	1	1	10
35726	烈阳战锤	120zizhanchui	120zizhanchuida	120	5	5	9	532	80	1	1000	1	1	4	1000	6	1000	1	6	10	其光芒之炙热，可以吞噬天地，甚至灼伤太阳	橙色	1	8	1	1	10
35727	烈阳匕首	120zibishou	120zibishouda	120	5	2	10	533	80	1	1000	1	1	1	3000	0	0	1	6	7	其光芒之炙热，可以吞噬天地，甚至灼伤太阳	橙色	1	8	1	1	10
35728	烈阳圣枪	120zishengqiang	120zishengqiangda	120	5	4	10	534	80	1	1000	1	1	1	3000	0	0	1	6	9	其光芒之炙热，可以吞噬天地，甚至灼伤太阳	橙色	1	8	1	1	10
35729	烈阳弯刀	120ziwandao	120ziwandaoda	120	5	6	10	535	80	1	1000	1	1	1	3000	0	0	1	6	11	其光芒之炙热，可以吞噬天地，甚至灼伤太阳	橙色	1	8	1	1	10
35730	光耀长弓	140zichanggong	140zichanggongda	140	5	1	11	536	100	1	1000	1	1	4	1400	6	1400	1	6	6	耀眼的圣光，让照射到的人和物都成为其支配的一部分。	橙色	1	8	1	1	10
35731	光耀战斧	140zizhanfu	140zizhanfuda	140	5	3	11	537	100	1	1000	1	1	4	1400	6	1400	1	6	8	耀眼的圣光，让照射到的人和物都成为其支配的一部分。	橙色	1	8	1	1	10
35732	光耀战锤	140zizhanchui	140zizhanchuida	140	5	5	11	538	100	1	1000	1	1	4	1400	6	1400	1	6	10	耀眼的圣光，让照射到的人和物都成为其支配的一部分。	橙色	1	8	1	1	10
35733	光耀匕首	140zibishou	140zibishouda	140	5	2	12	539	100	1	1000	1	1	1	4200	0	0	1	6	7	耀眼的圣光，让照射到的人和物都成为其支配的一部分。	橙色	1	8	1	1	10
35734	光耀圣枪	140zishengqiang	140zishengqiangda	140	5	4	12	540	100	1	1000	1	1	1	4200	0	0	1	6	9	耀眼的圣光，让照射到的人和物都成为其支配的一部分。	橙色	1	8	1	1	10
35735	光耀弯刀	140ziwandao	140ziwandaoda	140	5	6	12	541	100	1	1000	1	1	1	4200	0	0	1	6	11	耀眼的圣光，让照射到的人和物都成为其支配的一部分。	橙色	1	8	1	1	10
35736	暗影长弓	160zichanggong	160zichanggongda	160	5	1	13	542	120	1	1000	1	0	4	1800	6	1800	1	6	6	超强的攻击，可以自动释放暗影魔法吸收灵魂	橙色	1	8	1	1	10
35737	暗影战斧	160zizhanfu	160zizhanfuda	160	5	3	13	543	120	1	1000	1	0	4	1800	6	1800	1	6	8	超强的攻击，可以自动释放暗影魔法吸收灵魂	橙色	1	8	1	1	10
35738	暗影战锤	160zizhanchui	160zizhanchuida	160	5	5	13	544	120	1	1000	1	0	4	1800	6	1800	1	6	10	超强的攻击，可以自动释放暗影魔法吸收灵魂	橙色	1	8	1	1	10
35739	暗影匕首	160zibishou	160zibishouda	160	5	2	14	545	120	1	1000	1	0	1	5600	0	0	1	6	7	超强的攻击，可以自动释放暗影魔法吸收灵魂	橙色	1	8	1	1	10
35740	暗影圣枪	160zishengqiang	160zishengqiangda	160	5	4	14	546	120	1	1000	1	0	1	5600	0	0	1	6	9	超强的攻击，可以自动释放暗影魔法吸收灵魂	橙色	1	8	1	1	10
35741	暗影弯刀	160ziwandao	160ziwandaoda	160	5	6	14	547	120	1	1000	1	0	1	5600	0	0	1	6	11	超强的攻击，可以自动释放暗影魔法吸收灵魂	橙色	1	8	1	1	10
