crystalID	crystalLevel	crystalType	netxLevel	lowerList	equalLowest	pt	pv
27790	9	7	27798	[27782,27774,27766,27758,27750,27742,27734,27726]	256	9	2000
27791	9	8	27799	[27783,27775,27767,27759,27751,27743,27735,27727]	256	8	2000
27792	10	1	27800	[27784,27776,27768,27760,27752,27744,27736,27728,27720]	512	1	7350
27793	10	2	27801	[27785,27777,27769,27761,27753,27745,27737,27729,27721]	512	5	2450
27794	10	3	27802	[27786,27778,27770,27762,27754,27746,27738,27730,27722]	512	7	2450
27795	10	4	27803	[27787,27779,27771,27763,27755,27747,27739,27731,27723]	512	4	2450
27796	10	5	27804	[27788,27780,27772,27764,27756,27748,27740,27732,27724]	512	12	2450
27797	10	6	27805	[27789,27781,27773,27765,27757,27749,27741,27733,27725]	512	13	2450
27798	10	7	27806	[27790,27782,27774,27766,27758,27750,27742,27734,27726]	512	9	2450
27799	10	8	27807	[27791,27783,27775,27767,27759,27751,27743,27735,27727]	512	8	2450
27800	11	1	27808	[27792,27784,27776,27768,27760,27752,27744,27736,27728,27720]	1024	1	9000
27801	11	2	27809	[27793,27785,27777,27769,27761,27753,27745,27737,27729,27721]	1024	5	3000
27802	11	3	27810	[27794,27786,27778,27770,27762,27754,27746,27738,27730,27722]	1024	7	3000
27803	11	4	27811	[27795,27787,27779,27771,27763,27755,27747,27739,27731,27723]	1024	4	3000
27804	11	5	27812	[27796,27788,27780,27772,27764,27756,27748,27740,27732,27724]	1024	12	3000
27805	11	6	27813	[27797,27789,27781,27773,27765,27757,27749,27741,27733,27725]	1024	13	3000
27806	11	7	27814	[27798,27790,27782,27774,27766,27758,27750,27742,27734,27726]	1024	9	3000
27807	11	8	27815	[27799,27791,27783,27775,27767,27759,27751,27743,27735,27727]	1024	8	3000
27808	12	1	0	[27800,27792,27784,27776,27768,27760,27752,27744,27736,27728,27720]	2048	1	10800
27809	12	2	0	[27801,27793,27785,27777,27769,27761,27753,27745,27737,27729,27721]	2048	5	3600
27810	12	3	0	[27802,27794,27786,27778,27770,27762,27754,27746,27738,27730,27722]	2048	7	3600
27811	12	4	0	[27803,27795,27787,27779,27771,27763,27755,27747,27739,27731,27723]	2048	4	3600
27812	12	5	0	[27804,27796,27788,27780,27772,27764,27756,27748,27740,27732,27724]	2048	12	3600
27813	12	6	0	[27805,27797,27789,27781,27773,27765,27757,27749,27741,27733,27725]	2048	13	3600
27814	12	7	0	[27806,27798,27790,27782,27774,27766,27758,27750,27742,27734,27726]	2048	9	3600
27815	12	8	0	[27807,27799,27791,27783,27775,27767,27759,27751,27743,27735,27727]	2048	8	3600
