artifact	level	coding	cnt	pt1	pv1	pt2	pv2
35702	6	25971	6	4	84	6	84
35702	7	25971	8	4	103	6	103
35702	8	25971	9	4	124	6	124
35702	9	25971	13	4	146	6	146
35702	10	25971	14	4	170	6	170
35702	11	25971	16	4	195	6	195
35702	12	25971	22	4	222	6	222
35702	13	25971	28	4	250	6	250
35702	14	25971	34	4	280	6	280
35702	15	25971	40	4	311	6	311
35702	16	25971	48	4	344	6	344
35702	17	25971	56	4	378	6	378
35702	18	25971	64	4	414	6	414
35702	19	25971	72	4	451	6	451
35702	20	25971	80	4	490	6	490
35703	1	25971	1	1	30	0	0
35703	2	25971	2	1	65	0	0
35703	3	25971	3	1	104	0	0
35703	4	25971	4	1	148	0	0
35703	5	25971	5	1	196	0	0
35703	6	25971	6	1	249	0	0
35703	7	25971	8	1	306	0	0
35703	8	25971	9	1	368	0	0
35703	9	25971	13	1	434	0	0
35703	10	25971	14	1	505	0	0
35703	11	25971	16	1	580	0	0
35703	12	25971	22	1	660	0	0
35703	13	25971	28	1	744	0	0
35703	14	25971	34	1	833	0	0
35703	15	25971	40	1	926	0	0
35703	16	25971	48	1	1024	0	0
35703	17	25971	56	1	1126	0	0
35703	18	25971	64	1	1233	0	0
35703	19	25971	72	1	1344	0	0
35703	20	25971	80	1	1460	0	0
35704	1	25971	1	1	30	0	0
35704	2	25971	2	1	65	0	0
35704	3	25971	3	1	104	0	0
35704	4	25971	4	1	148	0	0
35704	5	25971	5	1	196	0	0
35704	6	25971	6	1	249	0	0
35704	7	25971	8	1	306	0	0
35704	8	25971	9	1	368	0	0
35704	9	25971	13	1	434	0	0
35704	10	25971	14	1	505	0	0
35704	11	25971	16	1	580	0	0
35704	12	25971	22	1	660	0	0
35704	13	25971	28	1	744	0	0
35704	14	25971	34	1	833	0	0
35704	15	25971	40	1	926	0	0
35704	16	25971	48	1	1024	0	0
35704	17	25971	56	1	1126	0	0
35704	18	25971	64	1	1233	0	0
35704	19	25971	72	1	1344	0	0
35704	20	25971	80	1	1460	0	0
35705	1	25971	1	1	30	0	0
35705	2	25971	2	1	65	0	0
35705	3	25971	3	1	104	0	0
35705	4	25971	4	1	148	0	0
35705	5	25971	5	1	196	0	0
35705	6	25971	6	1	249	0	0
35705	7	25971	8	1	306	0	0
35705	8	25971	9	1	368	0	0
35705	9	25971	13	1	434	0	0
35705	10	25971	14	1	505	0	0
35705	11	25971	16	1	580	0	0
35705	12	25971	22	1	660	0	0
35705	13	25971	28	1	744	0	0
35705	14	25971	34	1	833	0	0
35705	15	25971	40	1	926	0	0
35705	16	25971	48	1	1024	0	0
35705	17	25971	56	1	1126	0	0
35705	18	25971	64	1	1233	0	0
35705	19	25971	72	1	1344	0	0
35705	20	25971	80	1	1460	0	0
35706	1	25971	1	4	11	6	11
35706	2	25971	2	4	23	6	23
35706	3	25971	3	4	37	6	37
35706	4	25971	4	4	53	6	53
35706	5	25971	5	4	71	6	71
35706	6	25971	6	4	91	6	91
35706	7	25971	8	4	113	6	113
35706	8	25971	9	4	137	6	137
35706	9	25971	13	4	163	6	163
35706	10	25971	14	4	191	6	191
35706	11	25971	16	4	221	6	221
35706	12	25971	22	4	253	6	253
35706	13	25971	28	4	287	6	287
35706	14	25971	34	4	323	6	323
35706	15	25971	40	4	361	6	361
35706	16	25971	48	4	401	6	401
35706	17	25971	56	4	443	6	443
35706	18	25971	64	4	487	6	487
35706	19	25971	72	4	533	6	533
35706	20	25971	80	4	581	6	581
35706	21	25971	88	4	631	6	631
35706	22	25971	100	4	683	6	683
35706	23	25971	112	4	737	6	737
35706	24	25971	124	4	793	6	793
35706	25	25971	136	4	851	6	851
35706	26	25971	148	4	911	6	911
35706	27	25971	160	4	973	6	973
35706	28	25971	172	4	1037	6	1037
35706	29	25971	184	4	1103	6	1103
35706	30	25971	196	4	1171	6	1171
35706	31	25971	208	4	1241	6	1241
35706	32	25971	220	4	1313	6	1313
35706	33	25971	232	4	1387	6	1387
35706	34	25971	244	4	1463	6	1463
35706	35	25971	256	4	1541	6	1541
35706	36	25971	268	4	1621	6	1621
35706	37	25971	280	4	1703	6	1703
35706	38	25971	292	4	1787	6	1787
35706	39	25971	304	4	1873	6	1873
35706	40	25971	316	4	1961	6	1961
35707	1	25971	1	4	11	6	11
35707	2	25971	2	4	23	6	23
35707	3	25971	3	4	37	6	37
35707	4	25971	4	4	53	6	53
35707	5	25971	5	4	71	6	71
35707	6	25971	6	4	91	6	91
35707	7	25971	8	4	113	6	113
35707	8	25971	9	4	137	6	137
35707	9	25971	13	4	163	6	163
35707	10	25971	14	4	191	6	191
35707	11	25971	16	4	221	6	221
35707	12	25971	22	4	253	6	253
35707	13	25971	28	4	287	6	287
35707	14	25971	34	4	323	6	323
35707	15	25971	40	4	361	6	361
35707	16	25971	48	4	401	6	401
35707	17	25971	56	4	443	6	443
35707	18	25971	64	4	487	6	487
35707	19	25971	72	4	533	6	533
35707	20	25971	80	4	581	6	581
35707	21	25971	88	4	631	6	631
35707	22	25971	100	4	683	6	683
35707	23	25971	112	4	737	6	737
35707	24	25971	124	4	793	6	793
35707	25	25971	136	4	851	6	851
35707	26	25971	148	4	911	6	911
35707	27	25971	160	4	973	6	973
35707	28	25971	172	4	1037	6	1037
35707	29	25971	184	4	1103	6	1103
35707	30	25971	196	4	1171	6	1171
35707	31	25971	208	4	1241	6	1241
35707	32	25971	220	4	1313	6	1313
35707	33	25971	232	4	1387	6	1387
35707	34	25971	244	4	1463	6	1463
35707	35	25971	256	4	1541	6	1541
35707	36	25971	268	4	1621	6	1621
35707	37	25971	280	4	1703	6	1703
35707	38	25971	292	4	1787	6	1787
35707	39	25971	304	4	1873	6	1873
35707	40	25971	316	4	1961	6	1961
35708	1	25971	1	4	11	6	11
35708	2	25971	2	4	23	6	23
35708	3	25971	3	4	37	6	37
35708	4	25971	4	4	53	6	53
35708	5	25971	5	4	71	6	71
35708	6	25971	6	4	91	6	91
35708	7	25971	8	4	113	6	113
35708	8	25971	9	4	137	6	137
35708	9	25971	13	4	163	6	163
35708	10	25971	14	4	191	6	191
35708	11	25971	16	4	221	6	221
35708	12	25971	22	4	253	6	253
35708	13	25971	28	4	287	6	287
35708	14	25971	34	4	323	6	323
35708	15	25971	40	4	361	6	361
35708	16	25971	48	4	401	6	401
35708	17	25971	56	4	443	6	443
35708	18	25971	64	4	487	6	487
35708	19	25971	72	4	533	6	533
35708	20	25971	80	4	581	6	581
35708	21	25971	88	4	631	6	631
35708	22	25971	100	4	683	6	683
35708	23	25971	112	4	737	6	737
35708	24	25971	124	4	793	6	793
35708	25	25971	136	4	851	6	851
35708	26	25971	148	4	911	6	911
35708	27	25971	160	4	973	6	973
35708	28	25971	172	4	1037	6	1037
35708	29	25971	184	4	1103	6	1103
35708	30	25971	196	4	1171	6	1171
35708	31	25971	208	4	1241	6	1241
35708	32	25971	220	4	1313	6	1313
35708	33	25971	232	4	1387	6	1387
35708	34	25971	244	4	1463	6	1463
35708	35	25971	256	4	1541	6	1541
35708	36	25971	268	4	1621	6	1621
35708	37	25971	280	4	1703	6	1703
35708	38	25971	292	4	1787	6	1787
35708	39	25971	304	4	1873	6	1873
35708	40	25971	316	4	1961	6	1961
35709	1	25971	1	1	32	0	0
35709	2	25971	2	1	68	0	0
35709	3	25971	3	1	110	0	0
35709	4	25971	4	1	158	0	0
35709	5	25971	5	1	212	0	0
35709	6	25971	6	1	272	0	0
35709	7	25971	8	1	339	0	0
35709	8	25971	9	1	410	0	0
35709	9	25971	13	1	488	0	0
35709	10	25971	14	1	572	0	0
35709	11	25971	16	1	662	0	0
35709	12	25971	22	1	758	0	0
35709	13	25971	28	1	860	0	0
35709	14	25971	34	1	968	0	0
35709	15	25971	40	1	1082	0	0
35709	16	25971	48	1	1202	0	0
35709	17	25971	56	1	1328	0	0
35709	18	25971	64	1	1460	0	0
35709	19	25971	72	1	1598	0	0
35709	20	25971	80	1	1742	0	0
35709	21	25971	88	1	1892	0	0
35709	22	25971	100	1	2048	0	0
35709	23	25971	112	1	2210	0	0
35709	24	25971	124	1	2378	0	0
35709	25	25971	136	1	2552	0	0
35709	26	25971	148	1	2732	0	0
35709	27	25971	160	1	2918	0	0
35709	28	25971	172	1	3110	0	0
35709	29	25971	184	1	3308	0	0
35709	30	25971	196	1	3512	0	0
35709	31	25971	208	1	3722	0	0
35709	32	25971	220	1	3938	0	0
35709	33	25971	232	1	4160	0	0
35709	34	25971	244	1	4388	0	0
35709	35	25971	256	1	4622	0	0
35709	36	25971	268	1	4862	0	0
35709	37	25971	280	1	5108	0	0
35709	38	25971	292	1	5360	0	0
35709	39	25971	304	1	5618	0	0
35709	40	25971	316	1	5882	0	0
35710	1	25971	1	1	32	0	0
35710	2	25971	2	1	68	0	0
35710	3	25971	3	1	110	0	0
35710	4	25971	4	1	158	0	0
35710	5	25971	5	1	212	0	0
35710	6	25971	6	1	272	0	0
35710	7	25971	8	1	339	0	0
35710	8	25971	9	1	410	0	0
35710	9	25971	13	1	488	0	0
35710	10	25971	14	1	572	0	0
35710	11	25971	16	1	662	0	0
35710	12	25971	22	1	758	0	0
35710	13	25971	28	1	860	0	0
35710	14	25971	34	1	968	0	0
35710	15	25971	40	1	1082	0	0
35710	16	25971	48	1	1202	0	0
35710	17	25971	56	1	1328	0	0
35710	18	25971	64	1	1460	0	0
35710	19	25971	72	1	1598	0	0
35710	20	25971	80	1	1742	0	0
35710	21	25971	88	1	1892	0	0
35710	22	25971	100	1	2048	0	0
35710	23	25971	112	1	2210	0	0
35710	24	25971	124	1	2378	0	0
35710	25	25971	136	1	2552	0	0
35710	26	25971	148	1	2732	0	0
35710	27	25971	160	1	2918	0	0
35710	28	25971	172	1	3110	0	0
35710	29	25971	184	1	3308	0	0
35710	30	25971	196	1	3512	0	0
35710	31	25971	208	1	3722	0	0
35710	32	25971	220	1	3938	0	0
35710	33	25971	232	1	4160	0	0
35710	34	25971	244	1	4388	0	0
35710	35	25971	256	1	4622	0	0
35710	36	25971	268	1	4862	0	0
35710	37	25971	280	1	5108	0	0
35710	38	25971	292	1	5360	0	0
35710	39	25971	304	1	5618	0	0
35710	40	25971	316	1	5882	0	0
35711	1	25971	1	1	32	0	0
35711	2	25971	2	1	68	0	0
35711	3	25971	3	1	110	0	0
35711	4	25971	4	1	158	0	0
35711	5	25971	5	1	212	0	0
35711	6	25971	6	1	272	0	0
35711	7	25971	8	1	339	0	0
35711	8	25971	9	1	410	0	0
35711	9	25971	13	1	488	0	0
35711	10	25971	14	1	572	0	0
35711	11	25971	16	1	662	0	0
35711	12	25971	22	1	758	0	0
35711	13	25971	28	1	860	0	0
35711	14	25971	34	1	968	0	0
35711	15	25971	40	1	1082	0	0
35711	16	25971	48	1	1202	0	0
35711	17	25971	56	1	1328	0	0
35711	18	25971	64	1	1460	0	0
35711	19	25971	72	1	1598	0	0
35711	20	25971	80	1	1742	0	0
35711	21	25971	88	1	1892	0	0
35711	22	25971	100	1	2048	0	0
35711	23	25971	112	1	2210	0	0
35711	24	25971	124	1	2378	0	0
35711	25	25971	136	1	2552	0	0
35711	26	25971	148	1	2732	0	0
35711	27	25971	160	1	2918	0	0
35711	28	25971	172	1	3110	0	0
35711	29	25971	184	1	3308	0	0
35711	30	25971	196	1	3512	0	0
35711	31	25971	208	1	3722	0	0
35711	32	25971	220	1	3938	0	0
35711	33	25971	232	1	4160	0	0
35711	34	25971	244	1	4388	0	0
35711	35	25971	256	1	4622	0	0
35711	36	25971	268	1	4862	0	0
35711	37	25971	280	1	5108	0	0
35711	38	25971	292	1	5360	0	0
35711	39	25971	304	1	5618	0	0
35711	40	25971	316	1	5882	0	0
35712	1	25971	1	4	11	6	11
35712	2	25971	2	4	24	6	24
35712	3	25971	3	4	39	6	39
35712	4	25971	4	4	56	6	56
35712	5	25971	5	4	75	6	75
35712	6	25971	6	4	97	6	97
35712	7	25971	8	4	121	6	121
35712	8	25971	9	4	147	6	147
35712	9	25971	13	4	175	6	175
35712	10	25971	14	4	206	6	206
35712	11	25971	16	4	239	6	239
35712	12	25971	22	4	274	6	274
35712	13	25971	28	4	311	6	311
35712	14	25971	34	4	351	6	351
35712	15	25971	40	4	393	6	393
35712	16	25971	48	4	437	6	437
35712	17	25971	56	4	483	6	483
35712	18	25971	64	4	532	6	532
35712	19	25971	72	4	583	6	583
35712	20	25971	80	4	636	6	636
35712	21	25971	88	4	691	6	691
35712	22	25971	100	4	749	6	749
35712	23	25971	112	4	809	6	809
35712	24	25971	124	4	871	6	871
35712	25	25971	136	4	935	6	935
35712	26	25971	148	4	1002	6	1002
35712	27	25971	160	4	1071	6	1071
35712	28	25971	172	4	1142	6	1142
35712	29	25971	184	4	1215	6	1215
35712	30	25971	196	4	1291	6	1291
35712	31	25971	208	4	1369	6	1369
35712	32	25971	220	4	1449	6	1449
35712	33	25971	232	4	1531	6	1531
35712	34	25971	244	4	1616	6	1616
35712	35	25971	256	4	1703	6	1703
35712	36	25971	268	4	1792	6	1792
35712	37	25971	280	4	1883	6	1883
35712	38	25971	292	4	1977	6	1977
35712	39	25971	304	4	2073	6	2073
35712	40	25971	316	4	2171	6	2171
35712	41	25971	328	4	2271	6	2271
35712	42	25971	340	4	2374	6	2374
35712	43	25971	352	4	2479	6	2479
35712	44	25971	364	4	2586	6	2586
35712	45	25971	376	4	2695	6	2695
35712	46	25971	388	4	2790	6	2790
35712	47	25971	400	4	2921	6	2921
35712	48	25971	412	4	3037	6	3037
35712	49	25971	424	4	3155	6	3155
35712	50	25971	436	4	3276	6	3276
35712	51	25971	448	4	3399	6	3399
35712	52	25971	460	4	3524	6	3524
35712	53	25971	472	4	3651	6	3651
35712	54	25971	484	4	3781	6	3781
35712	55	25971	496	4	3913	6	3913
35712	56	25971	508	4	4047	6	4047
35712	57	25971	520	4	4183	6	4183
35712	58	25971	532	4	4322	6	4322
35712	59	25971	544	4	4463	6	4463
35712	60	25971	556	4	4606	6	4606
35713	1	25971	1	4	11	6	11
35713	2	25971	2	4	24	6	24
35713	3	25971	3	4	39	6	39
35713	4	25971	4	4	56	6	56
35713	5	25971	5	4	75	6	75
35713	6	25971	6	4	97	6	97
35713	7	25971	8	4	121	6	121
35713	8	25971	9	4	147	6	147
35713	9	25971	13	4	175	6	175
35713	10	25971	14	4	206	6	206
35713	11	25971	16	4	239	6	239
35713	12	25971	22	4	274	6	274
35713	13	25971	28	4	311	6	311
35713	14	25971	34	4	351	6	351
35713	15	25971	40	4	393	6	393
35713	16	25971	48	4	437	6	437
35713	17	25971	56	4	483	6	483
35713	18	25971	64	4	532	6	532
35713	19	25971	72	4	583	6	583
35713	20	25971	80	4	636	6	636
35713	21	25971	88	4	691	6	691
35713	22	25971	100	4	749	6	749
35713	23	25971	112	4	809	6	809
35713	24	25971	124	4	871	6	871
35713	25	25971	136	4	935	6	935
35713	26	25971	148	4	1002	6	1002
35713	27	25971	160	4	1071	6	1071
35713	28	25971	172	4	1142	6	1142
35713	29	25971	184	4	1215	6	1215
35713	30	25971	196	4	1291	6	1291
35713	31	25971	208	4	1369	6	1369
35713	32	25971	220	4	1449	6	1449
35713	33	25971	232	4	1531	6	1531
35713	34	25971	244	4	1616	6	1616
35713	35	25971	256	4	1703	6	1703
35713	36	25971	268	4	1792	6	1792
35713	37	25971	280	4	1883	6	1883
35713	38	25971	292	4	1977	6	1977
35713	39	25971	304	4	2073	6	2073
35713	40	25971	316	4	2171	6	2171
35713	41	25971	328	4	2271	6	2271
35713	42	25971	340	4	2374	6	2374
35713	43	25971	352	4	2479	6	2479
35713	44	25971	364	4	2586	6	2586
35713	45	25971	376	4	2695	6	2695
35713	46	25971	388	4	2790	6	2790
35713	47	25971	400	4	2921	6	2921
35713	48	25971	412	4	3037	6	3037
35713	49	25971	424	4	3155	6	3155
35713	50	25971	436	4	3276	6	3276
35713	51	25971	448	4	3399	6	3399
35713	52	25971	460	4	3524	6	3524
35713	53	25971	472	4	3651	6	3651
35713	54	25971	484	4	3781	6	3781
35713	55	25971	496	4	3913	6	3913
35713	56	25971	508	4	4047	6	4047
35713	57	25971	520	4	4183	6	4183
35713	58	25971	532	4	4322	6	4322
35713	59	25971	544	4	4463	6	4463
35713	60	25971	556	4	4606	6	4606
35714	1	25971	1	4	11	6	11
35714	2	25971	2	4	24	6	24
35714	3	25971	3	4	39	6	39
35714	4	25971	4	4	56	6	56
35714	5	25971	5	4	75	6	75
35714	6	25971	6	4	97	6	97
35714	7	25971	8	4	121	6	121
35714	8	25971	9	4	147	6	147
35714	9	25971	13	4	175	6	175
35714	10	25971	14	4	206	6	206
35714	11	25971	16	4	239	6	239
35714	12	25971	22	4	274	6	274
35714	13	25971	28	4	311	6	311
35714	14	25971	34	4	351	6	351
35714	15	25971	40	4	393	6	393
35714	16	25971	48	4	437	6	437
35714	17	25971	56	4	483	6	483
35714	18	25971	64	4	532	6	532
35714	19	25971	72	4	583	6	583
35714	20	25971	80	4	636	6	636
35714	21	25971	88	4	691	6	691
35714	22	25971	100	4	749	6	749
35714	23	25971	112	4	809	6	809
35714	24	25971	124	4	871	6	871
35714	25	25971	136	4	935	6	935
35714	26	25971	148	4	1002	6	1002
35714	27	25971	160	4	1071	6	1071
35714	28	25971	172	4	1142	6	1142
35714	29	25971	184	4	1215	6	1215
35714	30	25971	196	4	1291	6	1291
35714	31	25971	208	4	1369	6	1369
35714	32	25971	220	4	1449	6	1449
35714	33	25971	232	4	1531	6	1531
35714	34	25971	244	4	1616	6	1616
35714	35	25971	256	4	1703	6	1703
35714	36	25971	268	4	1792	6	1792
35714	37	25971	280	4	1883	6	1883
35714	38	25971	292	4	1977	6	1977
35714	39	25971	304	4	2073	6	2073
35714	40	25971	316	4	2171	6	2171
35714	41	25971	328	4	2271	6	2271
35714	42	25971	340	4	2374	6	2374
35714	43	25971	352	4	2479	6	2479
35714	44	25971	364	4	2586	6	2586
35714	45	25971	376	4	2695	6	2695
35714	46	25971	388	4	2790	6	2790
35714	47	25971	400	4	2921	6	2921
35714	48	25971	412	4	3037	6	3037
35714	49	25971	424	4	3155	6	3155
35714	50	25971	436	4	3276	6	3276
35714	51	25971	448	4	3399	6	3399
35714	52	25971	460	4	3524	6	3524
35714	53	25971	472	4	3651	6	3651
35714	54	25971	484	4	3781	6	3781
35714	55	25971	496	4	3913	6	3913
35714	56	25971	508	4	4047	6	4047
35714	57	25971	520	4	4183	6	4183
35714	58	25971	532	4	4322	6	4322
35714	59	25971	544	4	4463	6	4463
35714	60	25971	556	4	4606	6	4606
35715	1	25971	1	1	33	0	0
35715	2	25971	2	1	70	0	0
35715	3	25971	3	1	114	0	0
35715	4	25971	4	1	165	0	0
35715	5	25971	5	1	222	0	0
35715	6	25971	6	1	286	0	0
35715	7	25971	8	1	357	0	0
35715	8	25971	9	1	435	0	0
35715	9	25971	13	1	519	0	0
35715	10	25971	14	1	610	0	0
35715	11	25971	16	1	708	0	0
35715	12	25971	22	1	813	0	0
35715	13	25971	28	1	924	0	0
35715	14	25971	34	1	1042	0	0
35715	15	25971	40	1	1167	0	0
35715	16	25971	48	1	1299	0	0
35715	17	25971	56	1	1437	0	0
35715	18	25971	64	1	1582	0	0
35715	19	25971	72	1	1734	0	0
35715	20	25971	80	1	1893	0	0
35715	21	25971	88	1	2058	0	0
35715	22	25971	100	1	2230	0	0
35715	23	25971	112	1	2409	0	0
35715	24	25971	124	1	2595	0	0
35715	25	25971	136	1	2787	0	0
35715	26	25971	148	1	2986	0	0
35715	27	25971	160	1	3192	0	0
35715	28	25971	172	1	3405	0	0
35715	29	25971	184	1	3624	0	0
35715	30	25971	196	1	3850	0	0
35715	31	25971	208	1	4083	0	0
35715	32	25971	220	1	4323	0	0
35715	33	25971	232	1	4569	0	0
35715	34	25971	244	1	4822	0	0
35715	35	25971	256	1	5082	0	0
35715	36	25971	268	1	5349	0	0
35715	37	25971	280	1	5622	0	0
35715	38	25971	292	1	5902	0	0
35715	39	25971	304	1	6189	0	0
35715	40	25971	316	1	6483	0	0
35715	41	25971	328	1	6783	0	0
35715	42	25971	340	1	7090	0	0
35715	43	25971	352	1	7404	0	0
35715	44	25971	364	1	7725	0	0
35715	45	25971	376	1	8052	0	0
35715	46	25971	388	1	8336	0	0
35715	47	25971	400	1	8727	0	0
35715	48	25971	412	1	9075	0	0
35715	49	25971	424	1	9429	0	0
35715	50	25971	436	1	9790	0	0
35715	51	25971	448	1	10158	0	0
35715	52	25971	460	1	10533	0	0
35715	53	25971	472	1	10914	0	0
35715	54	25971	484	1	11302	0	0
35715	55	25971	496	1	11697	0	0
35715	56	25971	508	1	12099	0	0
35715	57	25971	520	1	12507	0	0
35715	58	25971	532	1	12922	0	0
35715	59	25971	544	1	13344	0	0
35715	60	25971	556	1	13773	0	0
35716	1	25971	1	1	33	0	0
35716	2	25971	2	1	70	0	0
35716	3	25971	3	1	114	0	0
35716	4	25971	4	1	165	0	0
35716	5	25971	5	1	222	0	0
35716	6	25971	6	1	286	0	0
35716	7	25971	8	1	357	0	0
35716	8	25971	9	1	435	0	0
35716	9	25971	13	1	519	0	0
35716	10	25971	14	1	610	0	0
35716	11	25971	16	1	708	0	0
35716	12	25971	22	1	813	0	0
35716	13	25971	28	1	924	0	0
35716	14	25971	34	1	1042	0	0
35716	15	25971	40	1	1167	0	0
35716	16	25971	48	1	1299	0	0
35716	17	25971	56	1	1437	0	0
35716	18	25971	64	1	1582	0	0
35716	19	25971	72	1	1734	0	0
35716	20	25971	80	1	1893	0	0
35716	21	25971	88	1	2058	0	0
35716	22	25971	100	1	2230	0	0
35716	23	25971	112	1	2409	0	0
35716	24	25971	124	1	2595	0	0
35716	25	25971	136	1	2787	0	0
35716	26	25971	148	1	2986	0	0
35716	27	25971	160	1	3192	0	0
35716	28	25971	172	1	3405	0	0
35716	29	25971	184	1	3624	0	0
35716	30	25971	196	1	3850	0	0
35716	31	25971	208	1	4083	0	0
35716	32	25971	220	1	4323	0	0
35716	33	25971	232	1	4569	0	0
35716	34	25971	244	1	4822	0	0
35716	35	25971	256	1	5082	0	0
35716	36	25971	268	1	5349	0	0
35716	37	25971	280	1	5622	0	0
35716	38	25971	292	1	5902	0	0
35716	39	25971	304	1	6189	0	0
35716	40	25971	316	1	6483	0	0
35716	41	25971	328	1	6783	0	0
35716	42	25971	340	1	7090	0	0
35716	43	25971	352	1	7404	0	0
35716	44	25971	364	1	7725	0	0
35716	45	25971	376	1	8052	0	0
35716	46	25971	388	1	8336	0	0
35716	47	25971	400	1	8727	0	0
35716	48	25971	412	1	9075	0	0
35716	49	25971	424	1	9429	0	0
35716	50	25971	436	1	9790	0	0
35716	51	25971	448	1	10158	0	0
35716	52	25971	460	1	10533	0	0
35716	53	25971	472	1	10914	0	0
35716	54	25971	484	1	11302	0	0
35716	55	25971	496	1	11697	0	0
35716	56	25971	508	1	12099	0	0
35716	57	25971	520	1	12507	0	0
35716	58	25971	532	1	12922	0	0
35716	59	25971	544	1	13344	0	0
35716	60	25971	556	1	13773	0	0
35717	1	25971	1	1	33	0	0
35717	2	25971	2	1	70	0	0
35717	3	25971	3	1	114	0	0
35717	4	25971	4	1	165	0	0
35717	5	25971	5	1	222	0	0
35717	6	25971	6	1	286	0	0
35717	7	25971	8	1	357	0	0
35717	8	25971	9	1	435	0	0
35717	9	25971	13	1	519	0	0
35717	10	25971	14	1	610	0	0
35717	11	25971	16	1	708	0	0
35717	12	25971	22	1	813	0	0
35717	13	25971	28	1	924	0	0
35717	14	25971	34	1	1042	0	0
35717	15	25971	40	1	1167	0	0
35717	16	25971	48	1	1299	0	0
35717	17	25971	56	1	1437	0	0
35717	18	25971	64	1	1582	0	0
35717	19	25971	72	1	1734	0	0
35717	20	25971	80	1	1893	0	0
35717	21	25971	88	1	2058	0	0
35717	22	25971	100	1	2230	0	0
35717	23	25971	112	1	2409	0	0
35717	24	25971	124	1	2595	0	0
35717	25	25971	136	1	2787	0	0
35717	26	25971	148	1	2986	0	0
35717	27	25971	160	1	3192	0	0
35717	28	25971	172	1	3405	0	0
35717	29	25971	184	1	3624	0	0
35717	30	25971	196	1	3850	0	0
35717	31	25971	208	1	4083	0	0
35717	32	25971	220	1	4323	0	0
35717	33	25971	232	1	4569	0	0
35717	34	25971	244	1	4822	0	0
35717	35	25971	256	1	5082	0	0
35717	36	25971	268	1	5349	0	0
35717	37	25971	280	1	5622	0	0
35717	38	25971	292	1	5902	0	0
35717	39	25971	304	1	6189	0	0
35717	40	25971	316	1	6483	0	0
35717	41	25971	328	1	6783	0	0
35717	42	25971	340	1	7090	0	0
35717	43	25971	352	1	7404	0	0
35717	44	25971	364	1	7725	0	0
35717	45	25971	376	1	8052	0	0
35717	46	25971	388	1	8336	0	0
35717	47	25971	400	1	8727	0	0
35717	48	25971	412	1	9075	0	0
35717	49	25971	424	1	9429	0	0
35717	50	25971	436	1	9790	0	0
35717	51	25971	448	1	10158	0	0
35717	52	25971	460	1	10533	0	0
35717	53	25971	472	1	10914	0	0
35717	54	25971	484	1	11302	0	0
35717	55	25971	496	1	11697	0	0
35717	56	25971	508	1	12099	0	0
35717	57	25971	520	1	12507	0	0
35717	58	25971	532	1	12922	0	0
35717	59	25971	544	1	13344	0	0
35717	60	25971	556	1	13773	0	0
35718	1	25971	1	4	11	6	11
35718	2	25971	2	4	25	6	25
35718	3	25971	3	4	41	6	41
35718	4	25971	4	4	60	6	60
35718	5	25971	5	4	81	6	81
35718	6	25971	6	4	105	6	105
35718	7	25971	8	4	131	6	131
35718	8	25971	9	4	160	6	160
35718	9	25971	13	4	191	6	191
35718	10	25971	14	4	225	6	225
35718	11	25971	16	4	261	6	261
35718	12	25971	22	4	300	6	300
35718	13	25971	28	4	341	6	341
35718	14	25971	34	4	385	6	385
35718	15	25971	40	4	431	6	431
