GemID	GemLevel	GemType	CanMix	MixMoney	MixNum	NextGemID	lowerlist	decompositionNum	pt1	pv1
28009	8	7	1	0	2	28018	[28000,27991,27982,27973,27964,27955,27946]	128	12	2100
28010	8	8	1	0	2	28019	[28001,27992,27983,27974,27965,27956,27947]	128	10	2100
28011	8	9	1	0	2	28020	[28002,27993,27984,27975,27966,27957,27948]	128	11	2100
28012	9	1	1	0	2	28021	[28003,27994,27985,27976,27967,27958,27949,27940]	256	1	7650
28013	9	2	1	0	2	28022	[28004,27995,27986,27977,27968,27959,27950,27941]	256	4	2550
28014	9	3	1	0	2	28023	[28005,27996,27987,27978,27969,27960,27951,27942]	256	6	2550
28015	9	4	1	0	2	28024	[28006,27997,27988,27979,27970,27961,27952,27943]	256	8	2550
28016	9	5	1	0	2	28025	[28007,27998,27989,27980,27971,27962,27953,27944]	256	9	2550
28017	9	6	1	0	2	28026	[28008,27999,27990,27981,27972,27963,27954,27945]	256	13	2550
28018	9	7	1	0	2	28027	[28009,28000,27991,27982,27973,27964,27955,27946]	256	12	2550
28019	9	8	1	0	2	28028	[28010,28001,27992,27983,27974,27965,27956,27947]	256	10	2550
28020	9	9	1	0	2	28029	[28011,28002,27993,27984,27975,27966,27957,27948]	256	11	2550
28021	10	1	1	0	2	0	[28012,28003,27994,27985,27976,27967,27958,27949,27940]	512	1	9000
28022	10	2	1	0	2	0	[28013,28004,27995,27986,27977,27968,27959,27950,27941]	512	4	3000
28023	10	3	1	0	2	0	[28014,28005,27996,27987,27978,27969,27960,27951,27942]	512	6	3000
28024	10	4	1	0	2	0	[28015,28006,27997,27988,27979,27970,27961,27952,27943]	512	8	3000
28025	10	5	1	0	2	0	[28016,28007,27998,27989,27980,27971,27962,27953,27944]	512	9	3000
28026	10	6	1	0	2	0	[28017,28008,27999,27990,27981,27972,27963,27954,27945]	512	13	3000
28027	10	7	1	0	2	0	[28018,28009,28000,27991,27982,27973,27964,27955,27946]	512	12	3000
28028	10	8	1	0	2	0	[28019,28010,28001,27992,27983,27974,27965,27956,27947]	512	10	3000
28029	10	9	1	0	2	0	[28020,28011,28002,27993,27984,27975,27966,27957,27948]	512	11	3000
