itemId	gold	bindrmb	unbindrmb	items	levelVal1	levelitems1	levelVal2	levelitems2	levelVal3	levelitems3	levelVal4	levelitems4	levelVal5	levelitems5	levelVal6	levelitems6	levelVal7	levelitems7	levelVal8	levelitems8
26409	1500000	0	0		[1,39]	[(25681,120)]	[40,59]	[(25682,120)]	[60,79]	[(25683,120)]	[80,99]	[(25684,120)]	[100,119]	[(25685,120)]	[120,139]	[(25686,120)]	[140,159]	[(26607,120)]	[160,179]	[(27066,120)]
26411	200000	0	0		[1,39]	[(25681,20)]	[40,59]	[(25682,20)]	[60,79]	[(25683,20)]	[80,99]	[(25684,20)]	[100,119]	[(25685,20)]	[120,139]	[(25686,20)]	[140,159]	[(26607,20)]	[160,179]	[(27066,20)]
26412	300000	0	0		[1,39]	[(25681,30)]	[40,59]	[(25682,30)]	[60,79]	[(25683,30)]	[80,99]	[(25684,30)]	[100,119]	[(25685,30)]	[120,139]	[(25686,30)]	[140,159]	[(26607,30)]	[160,179]	[(27066,30)]
26413	500000	0	0		[1,39]	[(25681,60)]	[40,59]	[(25682,60)]	[60,79]	[(25683,60)]	[80,99]	[(25684,60)]	[100,119]	[(25685,60)]	[120,139]	[(25686,60)]	[140,159]	[(26607,60)]	[160,179]	[(27066,60)]
26414	750000	0	0		[1,39]	[(25681,80)]	[40,59]	[(25682,80)]	[60,79]	[(25683,80)]	[80,99]	[(25684,80)]	[100,119]	[(25685,80)]	[120,139]	[(25686,80)]	[140,159]	[(26607,80)]	[160,179]	[(27066,80)]
26415	1000000	0	0		[1,39]	[(25681,100)]	[40,59]	[(25682,100)]	[60,79]	[(25683,100)]	[80,99]	[(25684,100)]	[100,119]	[(25685,100)]	[120,139]	[(25686,100)]	[140,159]	[(26607,100)]	[160,179]	[(27066,100)]
26416	1500000	0	0		[1,39]	[(25681,120)]	[40,59]	[(25682,120)]	[60,79]	[(25683,120)]	[80,99]	[(25684,120)]	[100,119]	[(25685,120)]	[120,139]	[(25686,120)]	[140,159]	[(26607,120)]	[160,179]	[(27066,120)]
26418	1000000	0	0		[1,39]	[(25661,10)]	[40,59]	[(25661,10)]	[60,79]	[(25662,10)]	[80,99]	[(25663,10)]	[100,119]	[(25664,10)]	[120,139]	[(25665,10)]	[140,159]	[(27048,10)]	[160,179]	[(27904,10)]
26419	1500000	0	0		[1,39]	[(25661,20)]	[40,59]	[(25661,20)]	[60,79]	[(25662,20)]	[80,99]	[(25663,20)]	[100,119]	[(25664,20)]	[120,139]	[(25665,20)]	[140,159]	[(27048,20)]	[160,179]	[(27904,20)]
26420	2000000	0	0		[1,39]	[(25661,20),(25666,10)]	[40,59]	[(25661,20),(25666,10)]	[60,79]	[(25662,20),(25667,10)]	[80,99]	[(25663,20),(25668,10)]	[100,119]	[(25664,20),(25669,10)]	[120,139]	[(25665,20),(25670,10)]	[140,159]	[(27048,20),(27049,10)]	[160,179]	[(27904,20),(27905,10)]
26421	2500000	0	0		[1,39]	[(25661,40),(25666,20)]	[40,59]	[(25661,40),(25666,20)]	[60,79]	[(25662,40),(25667,20)]	[80,99]	[(25663,40),(25668,20)]	[100,119]	[(25664,40),(25669,20)]	[120,139]	[(25665,40),(25670,20)]	[140,159]	[(27048,40),(27049,20)]	[160,179]	[(27904,40),(27905,20)]
26422	3000000	0	0		[1,39]	[(25661,40),(25666,20),(25671,20)]	[40,59]	[(25661,40),(25666,20),(25671,20)]	[60,79]	[(25662,40),(25667,20),(25672,20)]	[80,99]	[(25663,40),(25668,20),(25673,20)]	[100,119]	[(25664,40),(25669,20),(25674,20)]	[120,139]	[(25665,40),(25670,20),(25675,20)]	[140,159]	[(27048,40),(27049,20),(27050,20)]	[160,179]	[(27904,40),(27905,20),(27906,20)]
26423	4000000	0	0		[1,39]	[(25661,60),(25666,30),(25671,30)]	[40,59]	[(25661,60),(25666,30),(25671,30)]	[60,79]	[(25662,60),(25667,30),(25672,30)]	[80,99]	[(25663,60),(25668,30),(25673,30)]	[100,119]	[(25664,60),(25669,30),(25674,30)]	[120,139]	[(25665,60),(25670,30),(25675,30)]	[140,159]	[(27048,60),(27049,30),(27050,30)]	[160,179]	[(27904,60),(27905,30),(27906,30)]
26425	1000000	0	0		[1,39]	[(25661,10)]	[40,59]	[(25661,10)]	[60,79]	[(25662,10)]	[80,99]	[(25663,10)]	[100,119]	[(25664,10)]	[120,139]	[(25665,10)]	[140,159]	[(27048,10)]	[160,179]	[(27904,10)]
26426	1500000	0	0		[1,39]	[(25661,20)]	[40,59]	[(25661,20)]	[60,79]	[(25662,20)]	[80,99]	[(25663,20)]	[100,119]	[(25664,20)]	[120,139]	[(25665,20)]	[140,159]	[(27048,20)]	[160,179]	[(27904,20)]
26427	2000000	0	0		[1,39]	[(25661,20),(25666,10)]	[40,59]	[(25661,20),(25666,10)]	[60,79]	[(25662,20),(25667,10)]	[80,99]	[(25663,20),(25668,10)]	[100,119]	[(25664,20),(25669,10)]	[120,139]	[(25665,20),(25670,10)]	[140,159]	[(27048,20),(27049,10)]	[160,179]	[(27904,20),(27905,10)]
26428	2500000	0	0		[1,39]	[(25661,40),(25666,20)]	[40,59]	[(25661,40),(25666,20)]	[60,79]	[(25662,40),(25667,20)]	[80,99]	[(25663,40),(25668,20)]	[100,119]	[(25664,40),(25669,20)]	[120,139]	[(25665,40),(25670,20)]	[140,159]	[(27048,40),(27049,20)]	[160,179]	[(27904,40),(27905,20)]
26429	3000000	0	0		[1,39]	[(25661,40),(25666,20),(25671,20)]	[40,59]	[(25661,40),(25666,20),(25671,20)]	[60,79]	[(25662,40),(25667,20),(25672,20)]	[80,99]	[(25663,40),(25668,20),(25673,20)]	[100,119]	[(25664,40),(25669,20),(25674,20)]	[120,139]	[(25665,40),(25670,20),(25675,20)]	[140,159]	[(27048,40),(27049,20),(27050,20)]	[160,179]	[(27904,40),(27905,20),(27906,20)]
26430	4000000	0	0		[1,39]	[(25661,60),(25666,30),(25671,30)]	[40,59]	[(25661,60),(25666,30),(25671,30)]	[60,79]	[(25662,60),(25667,30),(25672,30)]	[80,99]	[(25663,60),(25668,30),(25673,30)]	[100,119]	[(25664,60),(25669,30),(25674,30)]	[120,139]	[(25665,60),(25670,30),(25675,30)]	[140,159]	[(27048,60),(27049,30),(27050,30)]	[160,179]	[(27904,60),(27905,30),(27906,30)]
26432	1000000	0	0		[1,39]	[(25661,10)]	[40,59]	[(25661,10)]	[60,79]	[(25662,10)]	[80,99]	[(25663,10)]	[100,119]	[(25664,10)]	[120,139]	[(25665,10)]	[140,159]	[(27048,10)]	[160,179]	[(27904,10)]
26433	1500000	0	0		[1,39]	[(25661,20)]	[40,59]	[(25661,20)]	[60,79]	[(25662,20)]	[80,99]	[(25663,20)]	[100,119]	[(25664,20)]	[120,139]	[(25665,20)]	[140,159]	[(27048,20)]	[160,179]	[(27904,20)]
26434	2000000	0	0		[1,39]	[(25661,20),(25666,10)]	[40,59]	[(25661,20),(25666,10)]	[60,79]	[(25662,20),(25667,10)]	[80,99]	[(25663,20),(25668,10)]	[100,119]	[(25664,20),(25669,10)]	[120,139]	[(25665,20),(25670,10)]	[140,159]	[(27048,20),(27049,10)]	[160,179]	[(27904,20),(27905,10)]
26435	2500000	0	0		[1,39]	[(25661,40),(25666,20)]	[40,59]	[(25661,40),(25666,20)]	[60,79]	[(25662,40),(25667,20)]	[80,99]	[(25663,40),(25668,20)]	[100,119]	[(25664,40),(25669,20)]	[120,139]	[(25665,40),(25670,20)]	[140,159]	[(27048,40),(27049,20)]	[160,179]	[(27904,40),(27905,20)]
26436	3000000	0	0		[1,39]	[(25661,40),(25666,20),(25671,20)]	[40,59]	[(25661,40),(25666,20),(25671,20)]	[60,79]	[(25662,40),(25667,20),(25672,20)]	[80,99]	[(25663,40),(25668,20),(25673,20)]	[100,119]	[(25664,40),(25669,20),(25674,20)]	[120,139]	[(25665,40),(25670,20),(25675,20)]	[140,159]	[(27048,40),(27049,20),(27050,20)]	[160,179]	[(27904,40),(27905,20),(27906,20)]
26437	4000000	0	0		[1,39]	[(25661,60),(25666,30),(25671,30)]	[40,59]	[(25661,60),(25666,30),(25671,30)]	[60,79]	[(25662,60),(25667,30),(25672,30)]	[80,99]	[(25663,60),(25668,30),(25673,30)]	[100,119]	[(25664,60),(25669,30),(25674,30)]	[120,139]	[(25665,60),(25670,30),(25675,30)]	[140,159]	[(27048,60),(27049,30),(27050,30)]	[160,179]	[(27904,60),(27905,30),(27906,30)]
26678	0	0	0		[1,39]	[(25656,4)]	[40,59]	[(25657,4)]	[60,79]	[(25658,4)]	[80,99]	[(25659,4)]	[100,119]	[(25660,4)]	[120,139]	[(26525,4)]	[140,159]	[(27047,4)]	[160,179]	[(27913,4)]
27108	0	0	0		[1,39]	[(25656,1)]	[40,59]	[(25657,1)]	[60,79]	[(25658,1)]	[80,99]	[(25659,1)]	[100,119]	[(25660,1)]	[120,139]	[(26525,1)]	[140,159]	[(27047,1)]	[160,179]	[(27913,1)]
27111	0	0	0		[1,39]	[(25656,10),(25600,100)]	[40,59]	[(25657,10),(25600,100)]	[60,79]	[(25658,10),(25600,100)]	[80,99]	[(25659,10),(25600,100)]	[100,119]	[(25660,10),(25600,100)]	[120,139]	[(26525,10),(25600,100)]	[140,159]	[(27047,10),(25600,100)]	[160,179]	[(27913,10),(25600,100)]
27131	1000000	111	0		[1,39]	[(25661,10),(26450,2)]	[40,59]	[(25661,10),(26450,2)]	[60,79]	[(25662,10),(26450,2)]	[80,99]	[(25663,10),(26450,2)]	[100,119]	[(25664,10),(26450,2)]	[120,139]	[(25665,10),(26450,2)]	[140,159]	[(27048,10),(26450,2)]	[160,179]	[(27904,10),(26450,2)]
27132	1500000	222	0		[1,39]	[(25661,20),(26450,4)]	[40,59]	[(25661,20),(26450,4)]	[60,79]	[(25662,20),(26450,4)]	[80,99]	[(25663,20),(26450,4)]	[100,119]	[(25664,20),(26450,4)]	[120,139]	[(25665,20),(26450,4)]	[140,159]	[(27048,20),(26450,4)]	[160,179]	[(27904,20),(26450,4)]
27133	2000000	333	0		[1,39]	[(25661,20),(25666,10),(26450,6)]	[40,59]	[(25661,20),(25666,10),(26450,6)]	[60,79]	[(25662,20),(25667,10),(26450,6)]	[80,99]	[(25663,20),(25668,10),(26450,4)]	[100,119]	[(25664,20),(25669,10),(26450,6)]	[120,139]	[(25665,20),(25670,10),(26450,6)]	[140,159]	[(27048,20),(27049,10),(26450,6)]	[160,179]	[(27904,20),(27905,10),(26450,6)]
27134	2500000	444	0		[1,39]	[(25661,40),(25666,20),(26450,8)]	[40,59]	[(25661,40),(25666,20),(26450,8)]	[60,79]	[(25662,40),(25667,20),(26450,8)]	[80,99]	[(25663,40),(25668,20),(26450,8)]	[100,119]	[(25664,40),(25669,20),(26450,8)]	[120,139]	[(25665,40),(25670,20),(26450,8)]	[140,159]	[(27048,40),(27049,20),(26450,8)]	[160,179]	[(27904,40),(27905,20),(26450,8)]
27135	3000000	0	111		[1,39]	[(25661,40),(25666,20),(25671,20),(26450,10)]	[40,59]	[(25661,40),(25666,20),(25671,20),(26450,10)]	[60,79]	[(25662,40),(25667,20),(25672,20),(26450,10)]	[80,99]	[(25663,40),(25668,20),(25673,20),(26450,10)]	[100,119]	[(25664,40),(25669,20),(25674,20),(26450,10)]	[120,139]	[(25665,40),(25670,20),(25675,20),(26450,10)]	[140,159]	[(27048,40),(27049,20),(27050,20),(26450,10)]	[160,179]	[(27904,40),(27905,20),(27906,20),(26450,10)]
27136	4000000	0	222		[1,39]	[(25661,60),(25666,30),(25671,30),(26450,20)]	[40,59]	[(25661,60),(25666,30),(25671,30),(26450,20)]	[60,79]	[(25662,60),(25667,30),(25672,30),(26450,20)]	[80,99]	[(25663,60),(25668,30),(25673,30),(26450,20)]	[100,119]	[(25664,60),(25669,30),(25674,30),(26450,20)]	[120,139]	[(25665,60),(25670,30),(25675,30),(26450,20)]	[140,159]	[(27048,60),(27049,30),(27050,30),(26450,20)]	[160,179]	[(27904,60),(27905,30),(27906,30),(26450,20)]
27372	0	0	0		[1,39]	[(25681,20)]	[40,59]	[(25682,20)]	[60,79]	[(25683,20)]	[80,99]	[(25684,20)]	[100,119]	[(25685,20)]	[120,139]	[(25686,20)]	[140,159]	[(26607,20)]	[160,179]	[(27066,20)]
27373	0	0	0		[1,39]	[(25681,30)]	[40,59]	[(25682,30)]	[60,79]	[(25683,30)]	[80,99]	[(25684,30)]	[100,119]	[(25685,30)]	[120,139]	[(25686,30)]	[140,159]	[(26607,30)]	[160,179]	[(27066,30)]
27374	0	0	0		[1,39]	[(25681,50)]	[40,59]	[(25682,50)]	[60,79]	[(25683,50)]	[80,99]	[(25684,50)]	[100,119]	[(25685,50)]	[120,139]	[(25686,50)]	[140,159]	[(26607,50)]	[160,179]	[(27066,50)]
27400	0	0	0		[1,39]	[(25681,100)]	[40,59]	[(25682,100)]	[60,79]	[(25683,100)]	[80,99]	[(25684,100)]	[100,119]	[(25685,100)]	[120,139]	[(25686,100)]	[140,159]	[(26607,100)]	[160,179]	[(27066,100)]
27495	1000000	120	0	[(26450,2)]	[1,39]	[(25661,10)]	[40,59]	[(25661,10)]	[60,79]	[(25662,10)]	[80,99]	[(25663,10)]	[100,119]	[(25664,10)]	[120,139]	[(25665,10)]	[140,159]	[(27048,10)]	[160,179]	[(27904,10)]
27496	1500000	240	0	[(26450,4)]	[1,39]	[(25661,20)]	[40,59]	[(25661,20)]	[60,79]	[(25662,20)]	[80,99]	[(25663,20)]	[100,119]	[(25664,20)]	[120,139]	[(25665,20)]	[140,159]	[(27048,20)]	[160,179]	[(27904,20)]
27497	2000000	480	0	[(26450,6)]	[1,39]	[(25661,20),(25666,10)]	[40,59]	[(25661,20),(25666,10)]	[60,79]	[(25662,20),(25667,10)]	[80,99]	[(25663,20),(25668,10)]	[100,119]	[(25664,20),(25669,10)]	[120,139]	[(25665,20),(25670,10)]	[140,159]	[(27048,20),(27049,10)]	[160,179]	[(27904,20),(27905,10)]
27498	2500000	0	60	[(26450,8)]	[1,39]	[(25661,40),(25666,20)]	[40,59]	[(25661,40),(25666,20)]	[60,79]	[(25662,40),(25667,20)]	[80,99]	[(25663,40),(25668,20)]	[100,119]	[(25664,40),(25669,20)]	[120,139]	[(25665,40),(25670,20)]	[140,159]	[(27048,40),(27049,20)]	[160,179]	[(27904,40),(27905,20)]
27499	3000000	0	120	[(26450,10)]	[1,39]	[(25661,40),(25666,20),(25671,20)]	[40,59]	[(25661,40),(25666,20),(25671,20)]	[60,79]	[(25662,40),(25667,20),(25672,20)]	[80,99]	[(25663,40),(25668,20),(25673,20)]	[100,119]	[(25664,40),(25669,20),(25674,20)]	[120,139]	[(25665,40),(25670,20),(25675,20)]	[140,159]	[(27048,40),(27049,20),(27050,20)]	[160,179]	[(27904,40),(27905,20),(27906,20)]
27500	4000000	0	240	[(26450,20)]	[1,39]	[(25661,60),(25666,30),(25671,30)]	[40,59]	[(25661,60),(25666,30),(25671,30)]	[60,79]	[(25662,60),(25667,30),(25672,30)]	[80,99]	[(25663,60),(25668,30),(25673,30)]	[100,119]	[(25664,60),(25669,30),(25674,30)]	[120,139]	[(25665,60),(25670,30),(25675,30)]	[140,159]	[(27048,60),(27049,30),(27050,30)]	[160,179]	[(27904,60),(27905,30),(27906,30)]
27503	0	0	0		[1,39]	[(25656,10)]	[40,59]	[(25657,10)]	[60,79]	[(25658,10)]	[80,99]	[(25659,10)]	[100,119]	[(25660,10)]	[120,139]	[(26525,10)]	[140,159]	[(27047,10)]	[160,179]	[(27913,10)]
27580	0	0	0	0	[1,39]	[(25671,100)]	[40,59]	[(25671,100)]	[60,79]	[(25672,100)]	[80,99]	[(25673,100)]	[100,119]	[(25674,100)]	[120,139]	[(25675,100)]	[140,159]	[(27050,100)]	[160,179]	[(27906,100)]
27664	0	0	0		[1,39]	[(25681,200)]	[40,59]	[(25682,200)]	[60,79]	[(25683,200)]	[80,99]	[(25684,200)]	[100,119]	[(25685,200)]	[120,139]	[(25686,200)]	[140,159]	[(26607,200)]	[160,179]	[(27066,200)]
27665	0	0	0		[1,39]	[(25681,100)]	[40,59]	[(25682,100)]	[60,79]	[(25683,100)]	[80,99]	[(25684,100)]	[100,119]	[(25685,100)]	[120,139]	[(25686,100)]	[140,159]	[(26607,100)]	[160,179]	[(27066,100)]
27666	0	0	0		[1,39]	[(25681,50)]	[40,59]	[(25682,50)]	[60,79]	[(25683,50)]	[80,99]	[(25684,50)]	[100,119]	[(25685,50)]	[120,139]	[(25686,50)]	[140,159]	[(26607,50)]	[160,179]	[(27066,50)]
28378	0	30	0		[1,39]	[(25661,20),(25666,20),(28380,1)]	[40,59]	[(25661,20),(25666,20),(28380,1)]	[60,79]	[(25662,20),(25667,20),(28380,1)]	[80,99]	[(25663,20),(25668,20),(28380,1)]	[100,119]	[(25664,20),(25669,20),(28380,1)]	[120,139]	[(25665,20),(25670,20),(28380,1)]	[140,159]	[(27048,20),(27049,20),(28380,1)]	[160,179]	[(27904,20),(27905,20),(28380,1)]
28379	0	30	0		[1,39]	[(25661,20),(25666,20),(28046,1),(26634,1)]	[40,59]	[(25661,20),(25666,20),(28046,1),(26634,1)]	[60,79]	[(25662,20),(25667,20),(28046,1),(26634,1)]	[80,99]	[(25663,20),(25668,20),(28046,1),(26634,1)]	[100,119]	[(25664,20),(25669,20),(28046,1),(26634,1)]	[120,139]	[(25665,20),(25670,20),(28046,1),(26634,1)]	[140,159]	[(27048,20),(27049,20),(28046,1),(26634,1)]	[160,179]	[(27904,20),(27905,20),(28046,1),(26634,1)]
28997	0	0	0		[1,39]	[(25671,1)]	[40,59]	[(25671,1)]	[60,79]	[(25672,1)]	[80,99]	[(25673,1)]	[100,119]	[(25674,1)]	[120,139]	[(25675,1)]	[140,159]	[(27050,1)]	[160,179]	[(27906,1)]
28998	0	0	0		[1,39]	[(25666,1)]	[40,59]	[(25666,1)]	[60,79]	[(25667,1)]	[80,99]	[(25668,1)]	[100,119]	[(25669,1)]	[120,139]	[(25670,1)]	[140,159]	[(27049,1)]	[160,179]	[(27905,1)]
29044	0	0	0		[1,39]	[(25661,1)]	[40,59]	[(25661,1)]	[60,79]	[(25662,1)]	[80,99]	[(25663,1)]	[100,119]	[(25664,1)]	[120,139]	[(25665,1)]	[140,159]	[(27048,1)]	[160,179]	[(27904,1)]
29045	0	0	0		[1,39]	[(25666,1)]	[40,59]	[(25666,1)]	[60,79]	[(25667,1)]	[80,99]	[(25668,1)]	[100,119]	[(25669,1)]	[120,139]	[(25670,1)]	[140,159]	[(27049,1)]	[160,179]	[(27905,1)]
