coding	name	icon	bigIcon	bigIcon70	iconBackgroundColor	needlevel	grade	posType	suitId	StrengthRate	sortLevel	Strength	UpGrade	forging	ZhuanShengLevel	needZhuanSheng	evolve	zhuanSheng	canSell	salePrice	pt1	pv1	pt2	pv2	needLog	kinds	propsType	use	nameColor	showGoods	holeNum	Mosaic	IsRole	jiaMi	FreeWash	UnlockWash	WashLevel
35620	混沌·炼狱铠甲	30hyifu	30hyifuda		4	30	4	4	[5,6]	1200	34	1	1	1	0	0	0	0	1	50000	1	690	7	2300	1	7	3	由于沉寂于炼狱之中多年，常年被邪气所环绕，若使用者不够强大，极易被其反噬	橙色	1	8	1	0	1	2	0	30
35621	混沌·炼狱战靴	30hxuezi	30hxuezida		4	30	4	6	[5,6]	1200	35	1	1	1	0	0	0	0	1	50000	1	3220	0	0	1	7	3	由于沉寂于炼狱之中多年，常年被邪气所环绕，若使用者不够强大，极易被其反噬	橙色	1	8	1	0	1	2	0	30
35622	混沌·炼狱戒指	30hjiezhi	30hjiezhida		4	30	4	5	[4]	1200	36	1	1	1	0	0	0	0	1	50000	1	1150	6	460	1	7	4	由于沉寂于炼狱之中多年，常年被邪气所环绕，若使用者不够强大，极易被其反噬	橙色	1	8	1	0	1	2	0	30
35623	混沌·炼狱手镯	30hshouzu	30hshouzuda		4	30	4	3	[4]	1200	37	1	1	1	0	0	0	0	1	50000	1	1150	4	460	1	7	4	由于沉寂于炼狱之中多年，常年被邪气所环绕，若使用者不够强大，极易被其反噬	橙色	1	8	1	0	1	2	0	30
35624	圣·炼狱剑	30chwuqi	30chwuqida	30chwuqibig	5	30	5	1	[5,6]	1350	38	1	1	0	0	0	0	0	1	50000	4	2160	6	2160	1	7	2	由于沉寂于炼狱之中多年，常年被邪气所环绕，若使用者不够强大，极易被其反噬	橙色	1	8	1	0	1	2	0	30
35625	圣·炼狱头盔	30chtoukui	30chtoukuida	30chtoukuibig	5	30	5	2	[5,6]	1350	39	1	1	0	0	0	0	0	1	50000	1	810	5	2700	1	7	3	由于沉寂于炼狱之中多年，常年被邪气所环绕，若使用者不够强大，极易被其反噬	橙色	1	8	1	0	1	2	0	30
35626	圣·炼狱铠甲	30chyifu	30chyifuda	30chyifubig	5	30	5	4	[5,6]	1350	40	1	1	0	0	0	0	0	1	50000	1	810	7	2700	1	7	3	由于沉寂于炼狱之中多年，常年被邪气所环绕，若使用者不够强大，极易被其反噬	橙色	1	8	1	0	1	2	0	30
35627	圣·炼狱战靴	30chxuezi	30chxuezida	30chxuezibig	5	30	5	6	[5,6]	1350	41	1	1	0	0	0	0	0	1	50000	1	3780	0	0	1	7	3	由于沉寂于炼狱之中多年，常年被邪气所环绕，若使用者不够强大，极易被其反噬	橙色	1	8	1	0	1	2	0	30
35628	圣·炼狱戒指	30chjiezhi	30chjiezhida		5	30	5	5	[4]	1350	42	1	1	0	0	0	0	0	1	50000	1	1350	6	540	1	7	4	由于沉寂于炼狱之中多年，常年被邪气所环绕，若使用者不够强大，极易被其反噬	橙色	1	8	1	0	1	2	0	30
35629	圣·炼狱手镯	30chshouzu	30chshouzuda		5	30	5	3	[4]	1350	43	1	1	0	0	0	0	0	1	50000	1	1350	4	540	1	7	4	由于沉寂于炼狱之中多年，常年被邪气所环绕，若使用者不够强大，极易被其反噬	橙色	1	8	1	0	1	2	0	30
35630	涌泉·魔魂剑	40ziwuqi	40ziwuqida		3	40	3	1	[8,9]	600	44	1	1	1	0	0	0	0	1	6000	4	800	6	800	1	7	2	为魔界所奉养，汲取了魔界魂魄之力，并可与之通灵	紫色	1	4	1	0	1	2	0	40
35631	涌泉·魔魂头盔	40zitoukui	40zitoukuida		3	40	3	2	[8,9]	600	45	1	1	1	0	0	0	0	1	6000	1	300	5	1000	1	7	3	为魔界所奉养，汲取了魔界魂魄之力，并可与之通灵	紫色	1	4	1	0	1	2	0	40
35632	涌泉·魔魂铠甲	40ziyifu	40ziyifuda		3	40	3	4	[8,9]	600	46	1	1	1	0	0	0	0	1	6000	1	300	7	1000	1	7	3	为魔界所奉养，汲取了魔界魂魄之力，并可与之通灵	紫色	1	4	1	0	1	2	0	40
35633	涌泉·魔魂战靴	40zixuezi	40zixuezida		3	40	3	6	[8,9]	600	47	1	1	1	0	0	0	0	1	6000	1	1400	0	0	1	7	3	为魔界所奉养，汲取了魔界魂魄之力，并可与之通灵	紫色	1	4	1	0	1	2	0	40
35634	涌泉·魔魂戒指	40zijiezhi	40zijiezhida		3	40	3	5	[7]	600	48	1	1	1	0	0	0	0	1	6000	1	500	6	200	1	7	4	为魔界所奉养，汲取了魔界魂魄之力，并可与之通灵	紫色	1	4	1	0	1	2	0	40
35635	涌泉·魔魂手镯	40zishouzu	40zishouzuda		3	40	3	3	[7]	600	49	1	1	1	0	0	0	0	1	6000	1	500	4	200	1	7	4	为魔界所奉养，汲取了魔界魂魄之力，并可与之通灵	紫色	1	4	1	0	1	2	0	40
35636	圣·魔魂剑	40hwuqi	40hwuqida		4	40	4	1	[8,9]	800	50	1	1	0	0	0	0	0	1	6000	4	1120	6	1120	1	7	2	为魔界所奉养，汲取了魔界魂魄之力，并可与之通灵	黄色	1	5	1	0	1	2	0	40
35637	圣·魔魂头盔	40htoukui	40htoukuida		4	40	4	2	[8,9]	800	51	1	1	0	0	0	0	0	1	6000	1	420	5	1400	1	7	3	为魔界所奉养，汲取了魔界魂魄之力，并可与之通灵	黄色	1	5	1	0	1	2	0	40
35638	圣·魔魂铠甲	40hyifu	40hyifuda		4	40	4	4	[8,9]	800	52	1	1	0	0	0	0	0	1	6000	1	420	7	1400	1	7	3	为魔界所奉养，汲取了魔界魂魄之力，并可与之通灵	黄色	1	5	1	0	1	2	0	40
35639	圣·魔魂战靴	40hxuezi	40hxuezida		4	40	4	6	[8,9]	800	53	1	1	0	0	0	0	0	1	6000	1	1960	0	0	1	7	3	为魔界所奉养，汲取了魔界魂魄之力，并可与之通灵	黄色	1	5	1	0	1	2	0	40
35640	圣·魔魂戒指	40hjiezhi	40hjiezhida		4	40	4	5	[7]	800	54	1	1	0	0	0	0	0	1	6000	1	700	6	280	1	7	4	为魔界所奉养，汲取了魔界魂魄之力，并可与之通灵	黄色	1	5	1	0	1	2	0	40
35641	圣·魔魂手镯	40hshouzu	40hshouzuda		4	40	4	3	[7]	800	55	1	1	0	0	0	0	0	1	6000	1	700	4	280	1	7	4	为魔界所奉养，汲取了魔界魂魄之力，并可与之通灵	黄色	1	5	1	0	1	2	0	40
35642	亮银·寒光剑	60ziwuqi	60ziwuqida		3	60	3	1	[11,12]	900	56	1	1	1	0	0	0	0	1	10000	4	1200	6	1200	1	7	2	屹立于雪山之中，通身寒气逼人，散发着阵阵的寒光	紫色	1	6	1	0	1	2	0	60
35643	亮银·寒光头盔	60zitoukui	60zitoukuida		3	60	3	2	[11,12]	900	57	1	1	1	0	0	0	0	1	10000	1	450	5	1500	1	7	3	屹立于雪山之中，通身寒气逼人，散发着阵阵的寒光	紫色	1	6	1	0	1	2	0	60
35644	亮银·寒光铠甲	60ziyifu	60ziyifuda		3	60	3	4	[11,12]	900	58	1	1	1	0	0	0	0	1	10000	1	450	7	1500	1	7	3	屹立于雪山之中，通身寒气逼人，散发着阵阵的寒光	紫色	1	6	1	0	1	2	0	60
35645	亮银·寒光战靴	60zixuezi	60zixuezida		3	60	3	6	[11,12]	900	59	1	1	1	0	0	0	0	1	10000	1	2100	0	0	1	7	3	屹立于雪山之中，通身寒气逼人，散发着阵阵的寒光	紫色	1	6	1	0	1	2	0	60
35646	亮银·寒光戒指	60zijiezhi	60zijiezhida		3	60	3	5	[10]	900	60	1	1	1	0	0	0	0	1	10000	1	750	6	300	1	7	4	屹立于雪山之中，通身寒气逼人，散发着阵阵的寒光	紫色	1	6	1	0	1	2	0	60
35647	亮银·寒光手镯	60zishouzu	60zishouzuda		3	60	3	3	[10]	900	61	1	1	1	0	0	0	0	1	10000	1	750	4	300	1	7	4	屹立于雪山之中，通身寒气逼人，散发着阵阵的寒光	紫色	1	6	1	0	1	2	0	60
35648	圣·寒光剑	60hwuqi	60hwuqida		4	60	4	1	[11,12]	1100	62	1	1	0	0	0	0	0	1	20000	4	1600	6	1600	1	7	2	屹立于雪山之中，通身寒气逼人，散发着阵阵的寒光	黄色	1	7	1	0	1	2	0	60
35649	圣·寒光头盔	60htoukui	60htoukuida		4	60	4	2	[11,12]	1100	63	1	1	0	0	0	0	0	1	20000	1	600	5	2000	1	7	3	屹立于雪山之中，通身寒气逼人，散发着阵阵的寒光	黄色	1	7	1	0	1	2	0	60
35650	圣·寒光铠甲	60hyifu	60hyifuda		4	60	4	4	[11,12]	1100	64	1	1	0	0	0	0	0	1	20000	1	600	7	2000	1	7	3	屹立于雪山之中，通身寒气逼人，散发着阵阵的寒光	黄色	1	7	1	0	1	2	0	60
35651	圣·寒光战靴	60hxuezi	60hxuezida		4	60	4	6	[11,12]	1100	65	1	1	0	0	0	0	0	1	20000	1	2800	0	0	1	7	3	屹立于雪山之中，通身寒气逼人，散发着阵阵的寒光	黄色	1	7	1	0	1	2	0	60
35652	圣·寒光戒指	60hjiezhi	60hjiezhida		4	60	4	5	[10]	1100	66	1	1	0	0	0	0	0	1	20000	1	1000	6	400	1	7	4	屹立于雪山之中，通身寒气逼人，散发着阵阵的寒光	黄色	1	7	1	0	1	2	0	60
35653	圣·寒光手镯	60hshouzu	60hshouzuda		4	60	4	3	[10]	1100	67	1	1	0	0	0	0	0	1	20000	1	1000	4	400	1	7	4	屹立于雪山之中，通身寒气逼人，散发着阵阵的寒光	黄色	1	7	1	0	1	2	0	60
35654	远古·贤者剑	60chwuqi	60chwuqida		4	60	5	1	[14,15]	1850	68	1	1	1	0	0	0	0	1	50000	4	3280	6	3280	1	7	2	远古的贤者所使用的宝物，象征着智慧与正义，可净化一切邪恶之气	橙色	1	8	1	0	1	2	4	120
35655	远古·贤者头盔	60chtoukui	60chtoukuida		4	60	5	2	[14,15]	1850	69	1	1	1	0	0	0	0	1	50000	1	1230	5	4100	1	7	3	远古的贤者所使用的宝物，象征着智慧与正义，可净化一切邪恶之气	橙色	1	8	1	0	1	2	4	120
35656	远古·贤者铠甲	60chyifu	60chyifuda		4	60	5	4	[14,15]	1850	70	1	1	1	0	0	0	0	1	50000	1	1230	7	4100	1	7	3	远古的贤者所使用的宝物，象征着智慧与正义，可净化一切邪恶之气	橙色	1	8	1	0	1	2	4	120
35657	远古·贤者战靴	60chxuezi	60chxuezida		4	60	5	6	[14,15]	1850	71	1	1	1	0	0	0	0	1	50000	1	5740	0	0	1	7	3	远古的贤者所使用的宝物，象征着智慧与正义，可净化一切邪恶之气	橙色	1	8	1	0	1	2	4	120
35658	远古·贤者戒指	60chjiezhi	60chjiezhida		4	60	5	5	[13]	1850	72	1	1	1	0	0	0	0	1	50000	1	2050	6	820	1	7	4	远古的贤者所使用的宝物，象征着智慧与正义，可净化一切邪恶之气	橙色	1	8	1	0	1	2	4	120
35659	远古·贤者手镯	60chshouzhuo	60chshouzhuoda		4	60	5	3	[13]	1850	73	1	1	1	0	0	0	0	1	50000	1	2050	4	820	1	7	4	远古的贤者所使用的宝物，象征着智慧与正义，可净化一切邪恶之气	橙色	1	8	1	0	1	2	4	120
35660	圣·贤者剑	60hchwuqi	60hchwuqida		5	60	5	1	[14,15]	2000	74	1	1	0	0	0	0	0	1	50000	4	3520	6	3520	1	7	2	远古的贤者所使用的宝物，象征着智慧与正义，可净化一切邪恶之气	橙色	1	8	1	0	1	2	4	120
35661	圣·贤者头盔	60hchtoukui	60hchtoukuida		5	60	5	2	[14,15]	2000	75	1	1	0	0	0	0	0	1	50000	1	1320	5	4400	1	7	3	远古的贤者所使用的宝物，象征着智慧与正义，可净化一切邪恶之气	橙色	1	8	1	0	1	2	4	120
35662	圣·贤者铠甲	60hchyifu	60hchyifuda		5	60	5	4	[14,15]	2000	76	1	1	0	0	0	0	0	1	50000	1	1320	7	4400	1	7	3	远古的贤者所使用的宝物，象征着智慧与正义，可净化一切邪恶之气	橙色	1	8	1	0	1	2	4	120
35663	圣·贤者战靴	60hchxuezi	60hchxuezida		5	60	5	6	[14,15]	2000	77	1	1	0	0	0	0	0	1	50000	1	6160	0	0	1	7	3	远古的贤者所使用的宝物，象征着智慧与正义，可净化一切邪恶之气	橙色	1	8	1	0	1	2	4	120
35664	圣·贤者戒指	60hchjiezhi	60hchjiezhida		5	60	5	5	[13]	2000	78	1	1	0	0	0	0	0	1	50000	1	2200	6	880	1	7	4	远古的贤者所使用的宝物，象征着智慧与正义，可净化一切邪恶之气	橙色	1	8	1	0	1	2	4	120
35665	圣·贤者手镯	60hchshouzhuo	60hchshouzhuoda		5	60	5	3	[13]	2000	79	1	1	0	0	0	0	0	1	50000	1	2200	4	880	1	7	4	远古的贤者所使用的宝物，象征着智慧与正义，可净化一切邪恶之气	橙色	1	8	1	0	1	2	4	120
35666	末日·幻影剑	80ziwuqi	80ziwuqida		3	80	3	1	[17,18]	1300	80	1	1	1	0	0	0	0	1	15000	4	2000	6	2000	1	7	2	能够感知末日的宝物，拥有毁天灭地之神力，相传连其残留的影像也具有灵力	紫色	1	8	1	0	1	2	0	80
35667	末日·幻影头盔	80zitoukui	80zitoukuida		3	80	3	2	[17,18]	1300	81	1	1	1	0	0	0	0	1	15000	1	750	5	2500	1	7	3	能够感知末日的宝物，拥有毁天灭地之神力，相传连其残留的影像也具有灵力	紫色	1	8	1	0	1	2	0	80
35668	末日·幻影铠甲	80ziyifu	80ziyifuda		3	80	3	4	[17,18]	1300	82	1	1	1	0	0	0	0	1	15000	1	750	7	2500	1	7	3	能够感知末日的宝物，拥有毁天灭地之神力，相传连其残留的影像也具有灵力	紫色	1	8	1	0	1	2	0	80
35669	末日·幻影战靴	80zixuezi	80zixuezida		3	80	3	6	[17,18]	1300	83	1	1	1	0	0	0	0	1	15000	1	3500	0	0	1	7	3	能够感知末日的宝物，拥有毁天灭地之神力，相传连其残留的影像也具有灵力	紫色	1	8	1	0	1	2	0	80
35670	末日·幻影戒指	80zijiezhi	80zijiezhida		3	80	3	5	[16]	1300	84	1	1	1	0	0	0	0	1	15000	1	1250	6	500	1	7	4	能够感知末日的宝物，拥有毁天灭地之神力，相传连其残留的影像也具有灵力	紫色	1	8	1	0	1	2	0	80
35671	末日·幻影手镯	80zishouzuo	80zishouzuoda		3	80	3	3	[16]	1300	85	1	1	1	0	0	0	0	1	15000	1	1250	4	500	1	7	4	能够感知末日的宝物，拥有毁天灭地之神力，相传连其残留的影像也具有灵力	紫色	1	8	1	0	1	2	0	80
35672	圣·幻影剑	80hwuqi	80hwuqida		4	80	4	1	[17,18]	1500	86	1	1	0	0	0	0	0	1	30000	4	2400	6	2400	1	7	2	能够感知末日的宝物，拥有毁天灭地之神力，相传连其残留的影像也具有灵力	黄色	1	8	1	0	1	2	0	80
35673	圣·幻影头盔	80htoukui	80htoukuida		4	80	4	2	[17,18]	1500	87	1	1	0	0	0	0	0	1	30000	1	900	5	3000	1	7	3	能够感知末日的宝物，拥有毁天灭地之神力，相传连其残留的影像也具有灵力	黄色	1	8	1	0	1	2	0	80
35674	圣·幻影铠甲	80hyifu	80hyifuda		4	80	4	4	[17,18]	1500	88	1	1	0	0	0	0	0	1	30000	1	900	7	3000	1	7	3	能够感知末日的宝物，拥有毁天灭地之神力，相传连其残留的影像也具有灵力	黄色	1	8	1	0	1	2	0	80
35675	圣·幻影战靴	80hxuezi	80hxuezida		4	80	4	6	[17,18]	1500	89	1	1	0	0	0	0	0	1	30000	1	4200	0	0	1	7	3	能够感知末日的宝物，拥有毁天灭地之神力，相传连其残留的影像也具有灵力	黄色	1	8	1	0	1	2	0	80
35676	圣·幻影戒指	80hjiezhi	80hjiezhida		4	80	4	5	[16]	1500	90	1	1	0	0	0	0	0	1	30000	1	1500	6	600	1	7	4	能够感知末日的宝物，拥有毁天灭地之神力，相传连其残留的影像也具有灵力	黄色	1	8	1	0	1	2	0	80
35677	圣·幻影手镯	80hshouzuo	80hshouzuoda		4	80	4	3	[16]	1500	91	1	1	0	0	0	0	0	1	30000	1	1500	4	600	1	7	4	能够感知末日的宝物，拥有毁天灭地之神力，相传连其残留的影像也具有灵力	黄色	1	8	1	0	1	2	0	80
35678	炽灼·曙光剑	100ziwuqi	100ziwuqida		3	100	3	1	[20,21]	1600	92	1	1	1	0	0	0	0	1	15000	4	2560	6	2560	1	7	2	常年保持着灼烧的状态，非凡人所能靠近，其散发的光芒如烈日般耀眼，即便是光芒也能伤人	紫色	1	8	1	0	1	2	2	100
35679	炽灼·曙光头盔	100zitoukui	100zitoukuida		3	100	3	2	[20,21]	1600	93	1	1	1	0	0	0	0	1	15000	1	960	5	3200	1	7	3	常年保持着灼烧的状态，非凡人所能靠近，其散发的光芒如烈日般耀眼，即便是光芒也能伤人	紫色	1	8	1	0	1	2	2	100
35680	炽灼·曙光铠甲	100ziyifu	100ziyifuda		3	100	3	4	[20,21]	1600	94	1	1	1	0	0	0	0	1	15000	1	960	7	3200	1	7	3	常年保持着灼烧的状态，非凡人所能靠近，其散发的光芒如烈日般耀眼，即便是光芒也能伤人	紫色	1	8	1	0	1	2	2	100
35681	炽灼·曙光战靴	100zixuezi	100zixuezida		3	100	3	6	[20,21]	1600	95	1	1	1	0	0	0	0	1	15000	1	4480	0	0	1	7	3	常年保持着灼烧的状态，非凡人所能靠近，其散发的光芒如烈日般耀眼，即便是光芒也能伤人	紫色	1	8	1	0	1	2	2	100
35682	炽灼·曙光戒指	100zijiezhi	100zijiezhida		3	100	3	5	[19]	1600	96	1	1	1	0	0	0	0	1	15000	1	1600	6	640	1	7	4	常年保持着灼烧的状态，非凡人所能靠近，其散发的光芒如烈日般耀眼，即便是光芒也能伤人	紫色	1	8	1	0	1	2	2	100
35683	炽灼·曙光手镯	100zishouzu	100zishouzuda		3	100	3	3	[19]	1600	97	1	1	1	0	0	0	0	1	15000	1	1600	4	640	1	7	4	常年保持着灼烧的状态，非凡人所能靠近，其散发的光芒如烈日般耀眼，即便是光芒也能伤人	紫色	1	8	1	0	1	2	2	100
35684	圣·曙光剑	100hwuqi	100hwuqida		4	100	4	1	[20,21]	1800	98	1	1	0	0	0	0	0	1	30000	4	2800	6	2800	1	7	2	常年保持着灼烧的状态，非凡人所能靠近，其散发的光芒如烈日般耀眼，即便是光芒也能伤人	黄色	1	8	1	0	1	2	2	100
35685	圣·曙光头盔	100htoukui	100htoukuida		4	100	4	2	[20,21]	1800	99	1	1	0	0	0	0	0	1	30000	1	1050	5	3500	1	7	3	常年保持着灼烧的状态，非凡人所能靠近，其散发的光芒如烈日般耀眼，即便是光芒也能伤人	黄色	1	8	1	0	1	2	2	100
35686	圣·曙光铠甲	100hyifu	100hyifuda		4	100	4	4	[20,21]	1800	100	1	1	0	0	0	0	0	1	30000	1	1050	7	3500	1	7	3	常年保持着灼烧的状态，非凡人所能靠近，其散发的光芒如烈日般耀眼，即便是光芒也能伤人	黄色	1	8	1	0	1	2	2	100
35687	圣·曙光战靴	100hxuezi	100hxuezida		4	100	4	6	[20,21]	1800	101	1	1	0	0	0	0	0	1	30000	1	4900	0	0	1	7	3	常年保持着灼烧的状态，非凡人所能靠近，其散发的光芒如烈日般耀眼，即便是光芒也能伤人	黄色	1	8	1	0	1	2	2	100
35688	圣·曙光戒指	100hjiezhi	100hjiezhida		4	100	4	5	[19]	1800	102	1	1	0	0	0	0	0	1	30000	1	1750	6	700	1	7	4	常年保持着灼烧的状态，非凡人所能靠近，其散发的光芒如烈日般耀眼，即便是光芒也能伤人	黄色	1	8	1	0	1	2	2	100
35689	圣·曙光手镯	100hshouzu	100hshouzuda		4	100	4	3	[19]	1800	103	1	1	0	0	0	0	0	1	30000	1	1750	4	700	1	7	4	常年保持着灼烧的状态，非凡人所能靠近，其散发的光芒如烈日般耀眼，即便是光芒也能伤人	黄色	1	8	1	0	1	2	2	100
36000	炎雷·灭世剑	120ziwuqi	120ziwuqida		3	120	3	1	[23,24]	1900	104	1	1	1	0	0	0	0	1	40000	4	2960	6	2960	1	7	2	其现世之时伴随着赤焰惊雷，其声势之大仿佛要吞噬这天地	紫色	1	8	1	0	1	2	4	120
36001	炎雷·灭世头盔	120zitoukui	120zitoukuida		3	120	3	2	[23,24]	1900	105	1	1	1	0	0	0	0	1	40000	1	1110	5	3700	1	7	3	其现世之时伴随着赤焰惊雷，其声势之大仿佛要吞噬这天地	紫色	1	8	1	0	1	2	4	120
36002	炎雷·灭世铠甲	120ziyifu	120ziyifuda		3	120	3	4	[23,24]	1900	106	1	1	1	0	0	0	0	1	40000	1	1110	7	3700	1	7	3	其现世之时伴随着赤焰惊雷，其声势之大仿佛要吞噬这天地	紫色	1	8	1	0	1	2	4	120
36003	炎雷·灭世战靴	120zixuezi	120zixuezida		3	120	3	6	[23,24]	1900	107	1	1	1	0	0	0	0	1	40000	1	5180	0	0	1	7	3	其现世之时伴随着赤焰惊雷，其声势之大仿佛要吞噬这天地	紫色	1	8	1	0	1	2	4	120
36004	炎雷·灭世戒指	120zijiezhi	120zijiezhida		3	120	3	5	[22]	1900	108	1	1	1	0	0	0	0	1	40000	1	1850	6	740	1	7	4	其现世之时伴随着赤焰惊雷，其声势之大仿佛要吞噬这天地	紫色	1	8	1	0	1	2	4	120
36005	炎雷·灭世手镯	120zishouzu	120zishouzuda		3	120	3	3	[22]	1900	109	1	1	1	0	0	0	0	1	40000	1	1850	4	740	1	7	4	其现世之时伴随着赤焰惊雷，其声势之大仿佛要吞噬这天地	紫色	1	8	1	0	1	2	4	120
36006	圣·灭世剑	120hwuqi	120hwuqida		4	120	4	1	[23,24]	2100	110	1	1	0	0	0	0	0	1	50000	4	3600	6	3600	1	7	2	其现世之时伴随着赤焰惊雷，其声势之大仿佛要吞噬这天地	黄色	1	8	1	0	1	2	4	120
