ePos	strengthLv	sumcost
3	44	228504
3	45	248687
3	46	270197
3	47	293507
3	48	318707
3	49	349487
3	50	388412
3	51	431837
3	52	479987
3	53	533087
3	54	591362
3	55	655037
3	56	724337
3	57	799487
3	58	880712
3	59	968237
3	60	1080737
3	61	1217537
3	62	1380617
3	63	1571102
3	64	1790162
3	65	2039012
3	66	2318912
3	67	2631167
3	68	2977127
3	69	3358187
3	70	3775787
3	71	4231412
3	72	4726592
3	73	5262902
3	74	5841962
3	75	6465437
3	76	7135037
3	77	7852517
3	78	8619677
3	79	9438362
3	80	10310462
3	81	11272562
3	82	12326642
3	83	13477202
3	84	14729642
3	85	16090262
3	86	17566262
3	87	19165742
3	88	20897702
3	89	22772042
3	90	24799562
3	91	26991962
3	92	29361842
3	93	31922702
3	94	34688942
3	95	37675862
3	96	40899662
3	97	44377442
3	98	48127202
3	99	52167842
3	100	56212982
3	101	60262622
3	102	64316762
3	103	68375402
3	104	72438542
3	105	76506182
3	106	80578322
3	107	84654962
3	108	88736102
3	109	92821742
3	110	96911882
3	111	101006522
3	112	105105662
3	113	109209302
3	114	113317442
3	115	117430082
3	116	121547222
3	117	125668862
3	118	129795002
3	119	133925642
3	120	138249782
3	121	142767422
3	122	147478562
3	123	152383202
3	124	157481342
3	125	162772982
3	126	168258122
3	127	173936762
3	128	179808902
3	129	185874542
3	130	192133682
3	131	198586322
3	132	205232462
3	133	212072102
3	134	219105242
3	135	226331882
3	136	233752022
3	137	241365662
3	138	249172802
3	139	257173442
3	140	265367582
3	141	273755222
3	142	282336362
3	143	291111002
3	144	300079142
3	145	309240782
3	146	318595922
3	147	328144562
3	148	337886702
3	149	347822342
3	150	357951482
3	151	368274122
3	152	378790262
3	153	389499902
3	154	400403042
3	155	411499682
3	156	422789822
3	157	434273462
3	158	445950602
3	159	457821242
3	160	469885382
3	161	482143022
3	162	494594162
3	163	507238802
3	164	520076942
3	165	533108582
3	166	546333722
3	167	559752362
3	168	573364502
3	169	587170142
3	170	601169282
3	171	615361922
3	172	629748062
3	173	644327702
3	174	659100842
3	175	674067482
3	176	689227622
3	177	704581262
3	178	720128402
3	179	735869042
4	0	0
4	1	864
4	2	1792
4	3	2790
4	4	3862
4	5	5012
4	6	6243
4	7	7560
4	8	8969
4	9	10473
4	10	12076
4	11	13782
4	12	15597
4	13	17523
4	14	19567
4	15	21732
4	16	24021
4	17	26441
4	18	28994
4	19	31686
4	20	34753
4	21	37907
4	22	41151
4	23	44491
4	24	47930
4	25	51472
4	26	55123
4	27	58886
4	28	62766
4	29	66766
4	30	71021
4	31	75471
4	32	80126
4	33	84996
4	34	90094
4	35	95429
4	36	101013
4	37	107147
4	38	113606
4	39	120410
4	40	127602
4	41	140202
4	42	153486
4	43	167670
4	44	182808
4	45	198954
4	46	216162
4	47	234810
4	48	254970
4	49	279594
4	50	310734
4	51	345474
4	52	383994
4	53	426474
4	54	473094
4	55	524034
4	56	579474
4	57	639594
4	58	704574
4	59	774594
4	60	864594
4	61	974034
4	62	1104498
4	63	1256886
4	64	1432134
4	65	1631214
4	66	1855134
4	67	2104938
4	68	2381706
4	69	2686554
4	70	3020634
4	71	3385134
4	72	3781278
4	73	4210326
4	74	4673574
4	75	5172354
4	76	5708034
4	77	6282018
4	78	6895746
4	79	7550694
4	80	8248374
4	81	9018054
4	82	9861318
4	83	10781766
4	84	11783718
4	85	12872214
4	86	14053014
4	87	15332598
4	88	16718166
4	89	18217638
4	90	19839654
4	91	21593574
4	92	23489478
4	93	25538166
4	94	27751158
4	95	30140694
4	96	32719734
4	97	35501958
4	98	38501766
4	99	41734278
4	100	44970390
4	101	48210102
4	102	51453414
4	103	54700326
4	104	57950838
4	105	61204950
4	106	64462662
4	107	67723974
4	108	70988886
4	109	74257398
4	110	77529510
4	111	80805222
4	112	84084534
4	113	87367446
4	114	90653958
4	115	93944070
4	116	97237782
4	117	100535094
4	118	103836006
4	119	107140518
4	120	110599830
4	121	114213942
4	122	117982854
4	123	121906566
4	124	125985078
4	125	130218390
4	126	134606502
4	127	139149414
4	128	143847126
4	129	148699638
4	130	153706950
4	131	158869062
4	132	164185974
4	133	169657686
4	134	175284198
4	135	181065510
4	136	187001622
4	137	193092534
4	138	199338246
4	139	205738758
4	140	212294070
4	141	219004182
4	142	225869094
4	143	232888806
4	144	240063318
4	145	247392630
4	146	254876742
4	147	262515654
4	148	270309366
4	149	278257878
4	150	286361190
4	151	294619302
4	152	303032214
4	153	311599926
4	154	320322438
4	155	329199750
4	156	338231862
4	157	347418774
4	158	356760486
4	159	366256998
4	160	375908310
4	161	385714422
4	162	395675334
4	163	405791046
4	164	416061558
4	165	426486870
4	166	437066982
4	167	447801894
4	168	458691606
4	169	469736118
4	170	480935430
4	171	492289542
4	172	503798454
4	173	515462166
4	174	527280678
4	175	539253990
4	176	551382102
4	177	563665014
4	178	576102726
4	179	588695238
5	0	0
5	1	1080
5	2	2241
5	3	3488
5	4	4827
5	5	6264
5	6	7803
5	7	9450
5	8	11210
5	9	13089
5	10	15093
5	11	17226
5	12	19494
5	13	21902
5	14	24456
5	15	27162
5	16	30024
5	17	33048
5	18	36239
5	19	39603
5	20	43437
5	21	47379
5	22	51435
5	23	55609
5	24	59907
5	25	64335
5	26	68898
5	27	73602
5	28	78451
5	29	83451
5	30	88770
5	31	94332
5	32	100151
5	33	106239
5	34	112611
5	35	119280
5	36	126260
5	37	133928
5	38	142001
5	39	150506
5	40	159497
5	41	175247
5	42	191852
5	43	209582
5	44	228504
5	45	248687
5	46	270197
5	47	293507
5	48	318707
5	49	349487
5	50	388412
5	51	431837
5	52	479987
5	53	533087
5	54	591362
5	55	655037
5	56	724337
5	57	799487
5	58	880712
5	59	968237
5	60	1080737
5	61	1217537
5	62	1380617
5	63	1571102
5	64	1790162
5	65	2039012
5	66	2318912
5	67	2631167
5	68	2977127
5	69	3358187
5	70	3775787
5	71	4231412
5	72	4726592
5	73	5262902
5	74	5841962
5	75	6465437
5	76	7135037
5	77	7852517
5	78	8619677
5	79	9438362
5	80	10310462
5	81	11272562
5	82	12326642
5	83	13477202
5	84	14729642
5	85	16090262
5	86	17566262
5	87	19165742
5	88	20897702
5	89	22772042
5	90	24799562
5	91	26991962
5	92	29361842
5	93	31922702
5	94	34688942
5	95	37675862
5	96	40899662
5	97	44377442
5	98	48127202
5	99	52167842
5	100	56212982
5	101	60262622
5	102	64316762
5	103	68375402
5	104	72438542
5	105	76506182
5	106	80578322
5	107	84654962
5	108	88736102
5	109	92821742
5	110	96911882
5	111	101006522
5	112	105105662
5	113	109209302
5	114	113317442
5	115	117430082
5	116	121547222
5	117	125668862
5	118	129795002
5	119	133925642
5	120	138249782
5	121	142767422
5	122	147478562
5	123	152383202
5	124	157481342
5	125	162772982
5	126	168258122
5	127	173936762
5	128	179808902
5	129	185874542
5	130	192133682
5	131	198586322
5	132	205232462
5	133	212072102
5	134	219105242
5	135	226331882
5	136	233752022
5	137	241365662
5	138	249172802
5	139	257173442
5	140	265367582
5	141	273755222
5	142	282336362
5	143	291111002
5	144	300079142
5	145	309240782
5	146	318595922
5	147	328144562
5	148	337886702
5	149	347822342
5	150	357951482
5	151	368274122
5	152	378790262
5	153	389499902
5	154	400403042
5	155	411499682
5	156	422789822
5	157	434273462
5	158	445950602
5	159	457821242
5	160	469885382
5	161	482143022
5	162	494594162
5	163	507238802
5	164	520076942
5	165	533108582
5	166	546333722
5	167	559752362
5	168	573364502
5	169	587170142
5	170	601169282
5	171	615361922
5	172	629748062
5	173	644327702
5	174	659100842
5	175	674067482
5	176	689227622
5	177	704581262
5	178	720128402
5	179	735869042
6	0	0
6	1	1296
6	2	2689
6	3	4186
6	4	5794
6	5	7518
6	6	9365
6	7	11341
6	8	13455
6	9	15710
6	10	18115
6	11	20674
6	12	23396
6	13	26287
6	14	29352
6	15	32599
6	16	36034
6	17	39663
6	18	43493
6	19	47530
6	20	52131
6	21	56862
6	22	61729
6	23	66738
6	24	71897
6	25	77211
6	26	82686
6	27	88331
6	28	94150
6	29	100152
6	30	106534
6	31	113209
6	32	120191
6	33	127497
6	34	135144
6	35	143146
6	36	151522
6	37	160723
6	38	170411
6	39	180617
6	40	191406
6	41	210306
6	42	230232
6	43	251508
6	44	274215
6	45	298434
6	46	324246
6	47	352218
6	48	382458
6	49	419394
6	50	466104
6	51	518214
6	52	575994
6	53	639714
6	54	709644
6	55	786054
6	56	869214
6	57	959394
6	58	1056864
6	59	1161894
6	60	1296894
6	61	1461054
6	62	1656750
6	63	1885332
6	64	2148204
6	65	2446824
6	66	2782704
6	67	3157410
6	68	3572562
6	69	4029834
6	70	4530954
6	71	5077704
6	72	5671920
6	73	6315492
6	74	7010364
6	75	7758534
6	76	8562054
6	77	9423030
6	78	10343622
6	79	11326044
6	80	12372564
6	81	13527084
6	82	14791980
6	83	16172652
6	84	17675580
6	85	19308324
6	86	21079524
6	87	22998900
6	88	25077252
6	89	27326460
6	90	29759484
6	91	32390364
6	92	35234220
6	93	38307252
6	94	41626740
6	95	45211044
6	96	49079604
6	97	53252940
6	98	57752652
6	99	62601420
6	100	67455588
6	101	72315156
6	102	77180124
6	103	82050492
6	104	86926260
6	105	91807428
6	106	96693996
6	107	101585964
6	108	106483332
6	109	111386100
6	110	116294268
6	111	121207836
6	112	126126804
6	113	131051172
6	114	135980940
6	115	140916108
6	116	145856676
6	117	150802644
6	118	155754012
6	119	160710780
6	120	165899748
6	121	171320916
6	122	176974284
6	123	182859852
6	124	188977620
6	125	195327588
6	126	201909756
6	127	208724124
6	128	215770692
6	129	223049460
6	130	230560428
6	131	238303596
6	132	246278964
6	133	254486532
6	134	262926300
6	135	271598268
6	136	280502436
6	137	289638804
6	138	299007372
6	139	308608140
6	140	318441108
6	141	328506276
6	142	338803644
6	143	349333212
6	144	360094980
6	145	371088948
6	146	382315116
6	147	393773484
6	148	405464052
6	149	417386820
6	150	429541788
6	151	441928956
6	152	454548324
6	153	467399892
6	154	480483660
6	155	493799628
6	156	507347796
6	157	521128164
6	158	535140732
6	159	549385500
6	160	563862468
6	161	578571636
6	162	593513004
6	163	608686572
6	164	624092340
6	165	639730308
6	166	655600476
6	167	671702844
6	168	688037412
6	169	704604180
6	170	721403148
6	171	738434316
6	172	755697684
6	173	773193252
6	174	790921020
6	175	808880988
6	176	827073156
6	177	845497524
6	178	864154092
6	179	883042860
