coding	name	Des	propsType	kinds	useLevel	useNeedItem	iconBackgroundColor	canSell	canOverlap	canUse	canUseSome	needLog	sortLevel	icon	bigIcon70	icon_FT	icon_US	icon_SA	icon_RU	icon_TK	icon_PL	icon_Fr	icon_EN	icon_Esp	icon_Rutt	use	nameColor	saleBack	salePrice	saleBack2	salePrice2	doubleclick	minutes	timeoutCoding	invaluable	pbp	showGoods	kuaFuUse	jiaMi	title
25616	坐骑·小鳊鱼	坐骑	1	1	26		3	1	0	1	0	1	4670	zuoqishiwu4												使用后坐骑属性增加：物攻+200 法攻+200 生命+600。(每个道具仅可使用一次)#H使用条件：坐骑达到4阶1星。	紫色	0	9999	0	0	0	4320		0	0	1	1	1	0
25617	坐骑·小柴鱼	坐骑	1	1	26		3	1	0	1	0	1	4670	zuoqishiwu4												使用后坐骑属性增加：物攻+200 法攻+200 生命+600。(每个道具仅可使用一次)#H使用条件：坐骑达到4阶3星。	紫色	0	9999	0	0	0	4320		0	0	1	1	1	0
25618	坐骑·沙丁鱼	坐骑	1	1	26		3	1	0	1	0	1	4670	zuoqishiwu4												使用后坐骑属性增加：物攻+200 法攻+200 生命+600。(每个道具仅可使用一次)#H使用条件：坐骑达到4阶5星。	紫色	0	9999	0	0	0	4320		0	0	1	1	1	0
25619	坐骑·三文鱼	坐骑	1	1	26		3	1	0	1	0	1	4670	zuoqishiwu4												使用后坐骑属性增加：物攻+200 法攻+200 生命+600。(每个道具仅可使用一次)#H使用条件：坐骑达到4阶7星。	紫色	0	9999	0	0	0	4320		0	0	1	1	1	0
25620	坐骑·金枪鱼	坐骑	1	1	26		3	1	0	1	0	1	4670	zuoqishiwu4												使用后坐骑属性增加：物攻+200 法攻+200 生命+600。(每个道具仅可使用一次)#H使用条件：坐骑达到4阶9星。	紫色	0	9999	0	0	0	4320		0	0	1	1	1	0
25621	坐骑·小樱桃	坐骑	1	1	26		3	1	0	1	0	1	4670	zuoqishiwu5												使用后坐骑属性增加：物攻+230 法攻+230 生命+690。(每个道具仅可使用一次)#H使用条件：坐骑达到5阶1星。	紫色	0	9999	0	0	0	4320		0	0	1	1	1	0
25622	坐骑·罗汉果	坐骑	1	1	26		3	1	0	1	0	1	4670	zuoqishiwu5												使用后坐骑属性增加：物攻+230 法攻+230 生命+690。(每个道具仅可使用一次)#H使用条件：坐骑达到5阶3星。	紫色	0	9999	0	0	0	4320		0	0	1	1	1	0
25623	坐骑·圣女果	坐骑	1	1	26		3	1	0	1	0	1	4670	zuoqishiwu5												使用后坐骑属性增加：物攻+230 法攻+230 生命+690。(每个道具仅可使用一次)#H使用条件：坐骑达到5阶5星。	紫色	0	9999	0	0	0	4320		0	0	1	1	1	0
25624	坐骑·百香果	坐骑	1	1	26		3	1	0	1	0	1	4670	zuoqishiwu5												使用后坐骑属性增加：物攻+230 法攻+230 生命+690。(每个道具仅可使用一次)#H使用条件：坐骑达到5阶7星。	紫色	0	9999	0	0	0	4320		0	0	1	1	1	0
25625	坐骑·金枇杷	坐骑	1	1	26		3	1	0	1	0	1	4670	zuoqishiwu5												使用后坐骑属性增加：物攻+230 法攻+230 生命+690。(每个道具仅可使用一次)#H使用条件：坐骑达到5阶9星。	紫色	0	9999	0	0	0	4320		0	0	1	1	1	0
25626	坐骑·小园参	坐骑	1	1	26		4	1	0	1	0	1	4670	zuoqishiwu6												使用后坐骑属性增加：物攻+270 法攻+270 生命+810。(每个道具仅可使用一次)#H使用条件：坐骑达到6阶1星。	黄色	0	9999	0	0	0	4320		0	0	1	1	1	0
25627	坐骑·野山参	坐骑	1	1	26		4	1	0	1	0	1	4670	zuoqishiwu6												使用后坐骑属性增加：物攻+270 法攻+270 生命+810。(每个道具仅可使用一次)#H使用条件：坐骑达到6阶3星。	黄色	0	9999	0	0	0	4320		0	0	1	1	1	0
25628	坐骑·土红参	坐骑	1	1	26		4	1	0	1	0	1	4670	zuoqishiwu6												使用后坐骑属性增加：物攻+270 法攻+270 生命+810。(每个道具仅可使用一次)#H使用条件：坐骑达到6阶5星。	黄色	0	9999	0	0	0	4320		0	0	1	1	1	0
25629	坐骑·高丽参	坐骑	1	1	26		4	1	0	1	0	1	4670	zuoqishiwu6												使用后坐骑属性增加：物攻+270 法攻+270 生命+810。(每个道具仅可使用一次)#H使用条件：坐骑达到6阶7星。	黄色	0	9999	0	0	0	4320		0	0	1	1	1	0
25630	坐骑·金人参	坐骑	1	1	26		4	1	0	1	0	1	4670	zuoqishiwu6												使用后坐骑属性增加：物攻+270 法攻+270 生命+810。(每个道具仅可使用一次)#H使用条件：坐骑达到6阶9星。	黄色	0	9999	0	0	0	4320		0	0	1	1	1	0
25631	坐骑·花龟甲	坐骑	1	1	26		4	1	0	1	0	1	4670	zuoqishiwu7												使用后坐骑属性增加：物攻+320 法攻+320 生命+960。(每个道具仅可使用一次)#H使用条件：坐骑达到7阶1星。	黄色	0	9999	0	0	0	4320		0	0	1	1	1	0
25632	坐骑·水龟甲	坐骑	1	1	26		4	1	0	1	0	1	4670	zuoqishiwu7												使用后坐骑属性增加：物攻+320 法攻+320 生命+960。(每个道具仅可使用一次)#H使用条件：坐骑达到7阶3星。	黄色	0	9999	0	0	0	4320		0	0	1	1	1	0
25633	坐骑·地龟甲	坐骑	1	1	26		4	1	0	1	0	1	4670	zuoqishiwu7												使用后坐骑属性增加：物攻+320 法攻+320 生命+960。(每个道具仅可使用一次)#H使用条件：坐骑达到7阶5星。	黄色	0	9999	0	0	0	4320		0	0	1	1	1	0
25634	坐骑·斑龟甲	坐骑	1	1	26		4	1	0	1	0	1	4670	zuoqishiwu7												使用后坐骑属性增加：物攻+320 法攻+320 生命+960。(每个道具仅可使用一次)#H使用条件：坐骑达到7阶7星。	黄色	0	9999	0	0	0	4320		0	0	1	1	1	0
25635	坐骑·鳄龟甲	坐骑	1	1	26		4	1	0	1	0	1	4670	zuoqishiwu7												使用后坐骑属性增加：物攻+320 法攻+320 生命+960。(每个道具仅可使用一次)#H使用条件：坐骑达到7阶9星。	黄色	0	9999	0	0	0	4320		0	0	1	1	1	0
25636	小经验果	英雄经验	1	1	15		1	1	1	1	0	1	4980	jingyanguoxiao												使用后可以获得3000经验,需消耗3000金币#H获得途径：恶魔深渊	绿色	0	200	0	0	YXOPEN			0	0	0	1	0	0
25637	中经验果	英雄经验	1	1	15		2	1	1	1	0	1	4980	jingyanguozhong												使用后可以获得6000经验,需消耗6000金币#H获得途径：恶魔深渊	蓝色	0	300	0	0	YXOPEN			0	0	0	1	0	0
25638	大经验果	英雄经验	1	1	15		3	1	1	1	0	1	4980	jingyanguoda												使用后可以获得10000经验,需消耗10000金币#H获得途径：恶魔深渊、巨龙宝藏	紫色	0	400	0	0	YXOPEN			0	0	0	1	1	0
25639	超级经验果	英雄经验	1	1	15		4	1	1	1	0	1	4980	jingyanguochao												使用后可以获得15000经验,需消耗15000金币#H获得途径：恶魔深渊	黄色	0	500	0	0	YXOPEN			0	0	0	1	1	0
25640	小经验酒	英雄经验	1	1	15		4	1	1	1	0	1	4980	jingyanjiuxiao												使用后可以获得30000经验,需消耗30000金币#H获得途径：恶魔深渊	黄色	0	700	0	0	YXOPEN			0	0	0	1	1	0
25641	中经验酒	英雄经验	1	1	15		4	1	1	1	0	1	4980	jingyanjiuzhong												使用后可以获得50000经验,需消耗50000金币#H获得途径：恶魔深渊	黄色	0	850	0	0	YXOPEN			0	0	0	1	1	0
25642	大经验酒	英雄经验	1	1	15		4	1	1	1	0	1	4980	jingyanjiuda												使用后可以获得100000经验,需消耗100000金币#H获得途径：恶魔深渊	黄色	0	1050	0	0	YXOPEN			0	0	0	1	1	0
25643	超级经验酒	英雄经验	1	1	15		4	1	1	1	0	1	4980	jingyanjiuchao												使用后可以获得200000经验,需消耗200000金币#H获得途径：恶魔深渊	黄色	0	1300	0	0	YXOPEN			0	0	0	1	1	0
25644	小经验卡	英雄经验	1	1	15		4	1	1	1	0	1	4980	jingyankaxiao												使用后可以获得400000经验,需消耗400000金币#H获得途径：英雄祭坛	黄色	0	1500	0	0	YXOPEN			0	0	0	1	1	0
25645	中经验卡	英雄经验	1	1	15		4	1	1	1	0	1	4980	jingyankazhong												使用后可以获得700000经验,需消耗700000金币#H获得途径：英雄祭坛	黄色	0	1750	0	0	YXOPEN			0	0	0	1	1	0
25646	大经验卡	英雄经验	1	1	15		4	1	1	1	0	1	4980	jingyankada												使用后可以获得1000000经验,需消耗1000000金币	黄色	0	2000	0	0	YXOPEN			0	0	0	1	1	0
25647	超级经验卡	英雄经验	1	1	15		4	1	1	1	0	1	4980	jingyankachao												使用后可以获得10000000经验,需消耗10000000金币	黄色	0	2500	0	0	YXOPEN			0	0	0	1	1	0
25648	小经验书	英雄经验	1	1	15		4	1	1	1	0	1	4980	jingyanshuxiao												使用后可以获得30000000经验,需消耗30000000金币	黄色	0	3000	0	0	YXOPEN			0	0	0	1	1	0
25649	中经验书	英雄经验	1	1	15		4	1	1	1	0	1	4980	jingyanshuzhong												使用后可以获得80000000经验,需消耗80000000金币	黄色	0	4000	0	0	YXOPEN			0	0	0	1	1	0
25650	大经验书	英雄经验	1	1	15		4	1	1	1	0	1	4980	jingyanshuda												使用后可以获得150000000经验,需消耗150000000金币	黄色	0	5000	0	0	YXOPEN			0	0	0	1	1	0
25651	超级经验书	英雄经验	1	1	15		4	1	1	1	0	1	4980	jingyanshuchao												使用后可以获得300000000经验,需消耗300000000金币	黄色	0	6000	0	0	YXOPEN			0	0	0	1	1	0
25652	小经验珠	英雄经验	1	1	15		4	1	1	1	0	1	4980	jingyanzhuxiao												使用后可以获得500000000经验,需消耗500000000金币	黄色	0	7000	0	0	YXOPEN			0	0	0	1	1	0
25653	中经验珠	英雄经验	1	1	15		4	1	1	1	0	1	4980	jingyanzhuzhong												使用后可以获得1000000000经验,需消耗1000000000金币	黄色	0	8000	0	0	YXOPEN			0	0	0	1	1	0
25654	大经验珠	英雄经验	1	1	15		4	1	1	1	0	1	4980	jingyanzhuda												使用后可以获得1500000000经验,需消耗1500000000金币	黄色	0	9000	0	0	YXOPEN			0	0	0	1	1	0
25655	超级经验珠	英雄经验	1	1	15		4	1	1	1	0	1	4980	jingyanzhuchao												使用后可以获得2000000000经验,需消耗2000000000金币	黄色	0	10000	0	0	YXOPEN			0	0	0	1	1	0
25656	一星召唤令	英雄兑换	1	1	30		4	1	1	1	0	1	4970	zhaohuanling1												可用于一星英雄祭坛英雄召唤一次，有机会抽到紫色英雄	黄色	0	3000	0	0	YXJT			0	0	0	1	1	0
25657	二星召唤令	英雄兑换	1	1	40		4	1	1	1	0	1	4970	zhaohuanling2												可用于二星英雄祭坛英雄召唤一次，有机会抽到紫色英雄	黄色	0	4000	0	0	YXJT			0	0	0	1	1	0
25658	三星召唤令	英雄兑换	1	1	60		4	1	1	1	0	1	4970	zhaohuanling3												可用于三星英雄祭坛英雄召唤一次，有机会抽到紫色英雄	黄色	0	6000	0	0	YXJT			0	0	0	1	1	0
25659	四星召唤令	英雄兑换	1	1	80		4	1	1	1	0	1	4970	zhaohuanling4												可用于四星英雄祭坛英雄召唤一次，有机会抽到紫色英雄	黄色	0	8000	0	0	YXJT			0	0	0	1	1	0
25660	五星召唤令	英雄兑换	1	1	100		4	1	1	1	0	1	4970	zhaohuanling5												可用于五星英雄祭坛英雄召唤一次，有机会抽到紫色英雄	黄色	0	10000	0	0	YXJT			0	0	0	1	1	0
25661	一阶天灵石	装备进阶神铸	1	4	40		3	1	1	1	0	1	4960	tianlingshi1												1阶装备低级材料#H获得途径：恶魔深渊、城主轮值、荣耀之战、心魔炼狱、组队爬塔（通关奖励）	紫色	0	1000	0	0	ZBSJ			0	0	0	1	1	0
25662	二阶天灵石	装备进阶神铸	1	4	60	25601	3	1	1	1	0	1	4960	tianlingshi2												2阶装备低级材料#H获得途径：恶魔深渊、城主轮值、荣耀之战、心魔炼狱、组队爬塔（通关奖励）	紫色	0	2000	0	0	ZBSJ			0	0	0	1	1	0
25663	三阶天灵石	装备进阶神铸	1	4	80		3	1	1	1	0	1	4960	tianlingshi3												3阶装备低级材料#H获得途径：恶魔深渊、城主轮值、荣耀之战、心魔炼狱、组队爬塔（通关奖励）	紫色	0	3000	0	0	ZBSJ			0	0	0	1	1	0
25664	四阶天灵石	装备进阶神铸	1	4	100		3	1	1	1	0	1	4960	tianlingshi4												4阶装备低级材料#H获得途径：恶魔深渊、城主轮值、荣耀之战、心魔炼狱、组队爬塔（通关奖励）	紫色	0	4000	0	0	ZBSJ			0	0	0	1	1	0
25665	五阶天灵石	装备进阶神铸	1	4	120		3	1	1	1	0	1	4960	tianlingshi5												5阶装备低级材料#H获得途径：恶魔深渊、城主轮值、荣耀之战、心魔炼狱、组队爬塔（通关奖励）	紫色	0	5000	0	0	ZBSJ			0	0	0	1	1	0
25666	一阶玄铁	装备进阶神铸1	1	4	40		3	1	1	1	0	1	4961	xuantie1												1阶装备中级材料#H获得途径：心魔炼狱、荣耀之战、英雄竞技每日奖励	紫色	0	1500	0	0	ZBSJ			0	0	0	1	1	0
25667	二阶玄铁	装备进阶神铸1	1	4	60		3	1	1	1	0	1	4961	xuantie2												2阶装备中级材料#H获得途径：心魔炼狱、荣耀之战、英雄竞技每日奖励	紫色	0	3000	0	0	ZBSJ			0	0	0	1	1	0
25668	三阶玄铁	装备进阶神铸1	1	4	80		3	1	1	1	0	1	4961	xuantie3												3阶装备中级材料#H获得途径：心魔炼狱、荣耀之战、英雄竞技每日奖励	紫色	0	4500	0	0	ZBSJ			0	0	0	1	1	0
25669	四阶玄铁	装备进阶神铸1	1	4	100		3	1	1	1	0	1	4961	xuantie4												4阶装备中级材料#H获得途径：心魔炼狱、荣耀之战、英雄竞技每日奖励	紫色	0	6000	0	0	ZBSJ			0	0	0	1	1	0
25670	五阶玄铁	装备进阶神铸1	1	4	120		3	1	1	1	0	1	4961	xuantie5												5阶装备中级材料#H获得途径：心魔炼狱、荣耀之战、英雄竞技每日奖励	紫色	0	7500	0	0	ZBSJ			0	0	0	1	1	0
25671	一阶古龙血	装备神铸	1	4	40		4	1	1	1	0	1	4950	gulongxue1												1阶装备高级材料#H获得途径：心魔炼狱、组队爬塔、荣耀之战、城主轮值	黄色	0	1000	0	0	ZBSZ			0	0	0	1	1	0
25672	二阶古龙血	装备神铸	1	4	60		4	1	1	1	0	1	4950	gulongxue2	gulongxue20											2阶装备高级材料#H获得途径：心魔炼狱、组队爬塔、荣耀之战、城主轮值	黄色	0	2000	0	0	ZBSZ			0	0	0	1	1	0
25673	三阶古龙血	装备神铸	1	4	80		4	1	1	1	0	1	4950	gulongxue3												3阶装备高级材料#H获得途径：心魔炼狱、组队爬塔、荣耀之战、城主轮值	黄色	0	3000	0	0	ZBSZ			0	0	0	1	1	0
25674	四阶古龙血	装备神铸	1	4	100		4	1	1	1	0	1	4950	gulongxue4												4阶装备高级材料#H获得途径：心魔炼狱、组队爬塔、荣耀之战、城主轮值	黄色	0	4000	0	0	ZBSZ			0	0	0	1	1	0
25675	五阶古龙血	装备神铸	1	4	120		4	1	1	1	0	1	4950	gulongxue5												5阶装备高级材料#H获得途径：心魔炼狱、组队爬塔、荣耀之战、城主轮值	黄色	0	5000	0	0	ZBSZ			0	0	0	1	1	0
25676	虎牙	英雄进化	1	1	26		3	1	1	1	0	1	4940	huya												用于1星英雄进化。#H获得途径：副本、副本商店兑换	紫色	0	1000	0	0	YXJINJIE			0	0	0	1	1	0
25677	虎魄	英雄进化	1	1	26		3	1	1	1	0	1	4940	hupo												用于2星英雄进化。#H获得途径：副本、副本商店兑换	紫色	0	1000	0	0	YXJINJIE			0	0	0	1	1	0
25678	凤羽	英雄进化	1	1	26		3	1	1	1	0	1	4940	fengyu												用于3星英雄进化。#H获得途径：副本、副本商店兑换	紫色	0	1000	0	0	YXJINJIE			0	0	0	1	1	0
25679	龙玉	英雄进化	1	1	26		3	1	1	1	0	1	4940	longyu												用于4星英雄进化。#H获得途径：副本、副本商店兑换	紫色	0	1000	0	0	YXJINJIE			0	0	0	1	1	0
25680	秘药	英雄进化	1	1	26		3	1	1	1	0	1	4940	miyao												用于5星英雄进化。#H获得途径：副本、副本商店兑换	紫色	0	1000	0	0	YXJINJIE			0	0	0	1	1	0
25681	一级龙晶	材料兑换	1	1	22		3	1	1	1	0	1	4930	longjing1												用于兑换1星进化材料、装备。#H获得途径：副本、英雄竞技	紫色	0	1000	0	0	OPEN_EXCHANGE_SHOP			0	0	0	1	1	0
25682	二级龙晶	材料兑换	1	1	40		3	1	1	1	0	1	4930	longjing2												用于兑换2星进化材料、装备图纸。#H获得途径：副本、英雄竞技	紫色	0	2000	0	0	OPEN_EXCHANGE_SHOP			0	0	0	1	1	0
25683	三级龙晶	材料兑换	1	1	60		3	1	1	1	0	1	4930	longjing3												用于兑换3星进化材料、装备图纸。#H获得途径：副本、英雄竞技	紫色	0	3000	0	0	OPEN_EXCHANGE_SHOP			0	0	0	1	1	0
25684	四级龙晶	材料兑换	1	1	80		3	1	1	1	0	1	4930	longjing4												用于兑换4星进化材料、装备图纸。#H获得途径：副本、英雄竞技	紫色	0	4000	0	0	OPEN_EXCHANGE_SHOP			0	0	0	1	1	0
25685	五级龙晶	材料兑换	1	1	100		3	1	1	1	0	1	4930	longjing5												用于兑换5星进化材料、装备图纸。#H获得途径：副本、英雄竞技	紫色	0	5000	0	0	OPEN_EXCHANGE_SHOP			0	0	0	1	1	0
25686	六级龙晶	材料兑换	1	1	120		3	1	1	1	0	1	4930	longjing6												用于兑换6星进化材料、装备图纸。#H获得途径：副本、英雄竞技	紫色	0	6000	0	0	OPEN_EXCHANGE_SHOP			0	0	0	1	1	0
25687	各等级龙晶	材料兑换	1	1	1		3	1	1	1	0	1	4930	longjing6												用于兑换进化材料、装备或装备图纸。#H获得途径：副本、英雄竞技	紫色	0	6000	0	0	OPEN_EXCHANGE_SHOP			0	0	0	1	1	0
25688	魔魂剑卷轴	装备进阶	1	4	40		3	1	1	1	0	1	4920	40juanzhouwuqi												用于40级装备升阶#H获得途径：副本掉落，副本商店兑换	紫色	0	1000	0	0	ZBSJ			0	0	0	1	1	0
25689	魔魂头盔卷轴	装备进阶	1	4	40		3	1	1	1	0	1	4920	40juanzhoutoukui												用于40级装备升阶#H获得途径：副本掉落，副本商店兑换	紫色	0	1000	0	0	ZBSJ			0	0	0	1	1	0
25690	魔魂铠甲卷轴	装备进阶	1	4	40		3	1	1	1	0	1	4920	40juanzhouyifu												用于40级装备升阶#H获得途径：副本掉落，副本商店兑换	紫色	0	1000	0	0	ZBSJ			0	0	0	1	1	0
25691	魔魂战靴卷轴	装备进阶	1	4	40		3	1	1	1	0	1	4920	40juanzhouxuezi												用于40级装备升阶#H获得途径：副本掉落，副本商店兑换	紫色	0	1000	0	0	ZBSJ			0	0	0	1	1	0
25692	魔魂戒指卷轴	装备进阶	1	4	40		3	1	1	1	0	1	4920	40juanzhoujiezhi												用于40级装备升阶#H获得途径：副本掉落，副本商店兑换	紫色	0	1000	0	0	ZBSJ			0	0	0	1	1	0
25693	魔魂手镯卷轴	装备进阶	1	4	40		3	1	1	1	0	1	4920	40juanzhoushouzu												用于40级装备升阶#H获得途径：副本掉落，副本商店兑换	紫色	0	1000	0	0	ZBSJ			0	0	0	1	1	0
25694	寒光剑卷轴	装备进阶	1	4	60		3	1	1	1	0	1	4920	60juanzhouwuqi												用于60级装备升阶#H获得途径：副本掉落，副本商店兑换	紫色	0	2000	0	0	ZBSJ			0	0	0	1	1	0
25695	寒光头盔卷轴	装备进阶	1	4	60		3	1	1	1	0	1	4920	60juanzhoutoukui												用于60级装备升阶#H获得途径：副本掉落，副本商店兑换	紫色	0	2000	0	0	ZBSJ			0	0	0	1	1	0
25696	寒光铠甲卷轴	装备进阶	1	4	60		3	1	1	1	0	1	4920	60juanzhouyifu												用于60级装备升阶#H获得途径：副本掉落，副本商店兑换	紫色	0	2000	0	0	ZBSJ			0	0	0	1	1	0
25697	寒光战靴卷轴	装备进阶	1	4	60		3	1	1	1	0	1	4920	60juanzhouxuezi												用于60级装备升阶#H获得途径：副本掉落，副本商店兑换	紫色	0	2000	0	0	ZBSJ			0	0	0	1	1	0
25698	寒光戒指卷轴	装备进阶	1	4	60		3	1	1	1	0	1	4920	60juanzhoujiezhi												用于60级装备升阶#H获得途径：副本掉落，副本商店兑换	紫色	0	2000	0	0	ZBSJ			0	0	0	1	1	0
25699	寒光手镯卷轴	装备进阶	1	4	60		3	1	1	1	0	1	4920	60juanzhoushouzu												用于60级装备升阶#H获得途径：副本掉落，副本商店兑换	紫色	0	2000	0	0	ZBSJ			0	0	0	1	1	0
25700	幻影剑卷轴	装备进阶	1	4	80		3	1	1	1	0	1	4920	80juanzhouwuqi												用于80级装备升阶#H获得途径：副本掉落，副本商店兑换	紫色	0	3000	0	0	ZBSJ			0	0	0	1	1	0
25701	幻影头盔卷轴	装备进阶	1	4	80		3	1	1	1	0	1	4920	80juanzhoutoukui												用于80级装备升阶#H获得途径：副本掉落，副本商店兑换	紫色	0	3000	0	0	ZBSJ			0	0	0	1	1	0
25702	幻影铠甲卷轴	装备进阶	1	4	80		3	1	1	1	0	1	4920	80juanzhouyifu												用于80级装备升阶#H获得途径：副本掉落，副本商店兑换	紫色	0	3000	0	0	ZBSJ			0	0	0	1	1	0
