srcType	desType	needLevel	itemType1	cnt1	itemType2	cnt2	itemType3	cnt3	itemType4	cnt4	srcTypename	desTypename
35669	35675	80	25673	320	25663	640	25668	320	0	0	末日·幻影战靴	圣·幻影战靴
35670	35676	80	25673	480	25663	960	25668	480	0	0	末日·幻影戒指	圣·幻影戒指
35671	35677	80	25673	480	25663	960	25668	480	0	0	末日·幻影手镯	圣·幻影手镯
35678	35684	100	25674	2880	25664	5760	25669	2880	0	0	炽灼·曙光剑	圣·曙光剑
35679	35685	100	25674	960	25664	1920	25669	960	0	0	炽灼·曙光头盔	圣·曙光头盔
35680	35686	100	25674	960	25664	1920	25669	960	0	0	炽灼·曙光铠甲	圣·曙光铠甲
35681	35687	100	25674	960	25664	1920	25669	960	0	0	炽灼·曙光战靴	圣·曙光战靴
35682	35688	100	25674	1440	25664	2880	25669	1440	0	0	炽灼·曙光戒指	圣·曙光戒指
35683	35689	100	25674	1440	25664	2880	25669	1440	0	0	炽灼·曙光手镯	圣·曙光手镯
35618	35624	30	25672	480	25662	1440	25667	720	0	0	混沌·炼狱剑	圣·炼狱剑
35619	35625	30	25672	160	25662	480	25667	240	0	0	混沌·炼狱头盔	圣·炼狱头盔
35620	35626	30	25672	160	25662	480	25667	240	0	0	混沌·炼狱铠甲	圣·炼狱铠甲
35621	35627	30	25672	160	25662	480	25667	240	0	0	混沌·炼狱战靴	圣·炼狱战靴
35622	35628	30	25672	240	25662	720	25667	360	0	0	混沌·炼狱戒指	圣·炼狱戒指
35623	35629	30	25672	240	25662	720	25667	360	0	0	混沌·炼狱手镯	圣·炼狱手镯
35654	35660	60	25674	2880	25664	5760	25669	2880	0	0	远古·贤者剑	圣·贤者剑
35655	35661	60	25674	960	25664	1920	25669	960	0	0	远古·贤者头盔	圣·贤者头盔
35656	35662	60	25674	960	25664	1920	25669	960	0	0	远古·贤者铠甲	圣·贤者铠甲
35657	35663	60	25674	960	25664	1920	25669	960	0	0	远古·贤者战靴	圣·贤者战靴
35658	35664	60	25674	1440	25664	2880	25669	1440	0	0	远古·贤者戒指	圣·贤者戒指
35659	35665	60	25674	1440	25664	2880	25669	1440	0	0	远古·贤者手镯	圣·贤者手镯
36000	36006	120	25675	2880	25665	5760	25670	2880	0	0	炎雷·灭世剑	圣·灭世剑
36001	36007	120	25675	960	25665	1920	25670	960	0	0	炎雷·灭世头盔	圣·灭世头盔
36002	36008	120	25675	960	25665	1920	25670	960	0	0	炎雷·灭世铠甲	圣·灭世铠甲
36003	36009	120	25675	960	25665	1920	25670	960	0	0	炎雷·灭世战靴	圣·灭世战靴
36004	36010	120	25675	1440	25665	2880	25670	1440	0	0	炎雷·灭世戒指	圣·灭世戒指
36005	36011	120	25675	1440	25665	2880	25670	1440	0	0	炎雷·灭世手镯	圣·灭世手镯
36018	36024	140	27050	2880	27048	5760	27049	2880	0	0	140武器	圣·140武器
36019	36025	140	27050	960	27048	1920	27049	960	0	0	140头盔	圣·140头盔
36020	36026	140	27050	960	27048	1920	27049	960	0	0	140衣服	圣·140衣服
36021	36027	140	27050	960	27048	1920	27049	960	0	0	140靴子	圣·140靴子
36022	36028	140	27050	1440	27048	2880	27049	1440	0	0	140戒指	圣·140戒指
36023	36029	140	27050	1440	27048	2880	27049	1440	0	0	140手镯	圣·140手镯
36030	36036	160	27906	2880	27904	5760	27905	2880	0	0	银魂·耀光剑	圣·耀光剑
36031	36037	160	27906	960	27904	1920	27905	960	0	0	银魂·耀光头盔	圣·耀光头盔
36032	36038	160	27906	960	27904	1920	27905	960	0	0	银魂·耀光铠甲	圣·耀光铠甲
36033	36039	160	27906	960	27904	1920	27905	960	0	0	银魂·耀光战靴	圣·耀光战靴
36034	36040	160	27906	1440	27904	2880	27905	1440	0	0	银魂·耀光戒指	圣·耀光戒指
36035	36041	160	27906	1440	27904	2880	27905	1440	0	0	银魂·耀光手镯	圣·耀光手镯
