starId	IsMax	grade	starNum	useTimes	otherCoding	price	effGrade	needItem	NextID	breakItem	attack_pt	attack_mt	maxhp_t	crit_t	critpress_t	parry_t	puncture_t	antibroken_t	notbroken_t	maxhp	attackspeed	anger	attack_p	defense_p	attack_m	defense_m	crit	critpress	antibroken	notbroken	parry	puncture	damageupgrade	damagereduce
22	0	2	0	24	28565	50	3	(28563,90)	0		1200	1200	0	1200	0	0	1200	1200	0	7580	0	0	2020	0	2020	0	480	290	240	240	290	480	800	0
23	0	2	1	28	28565	50	3	(28563,95)	0		1200	1200	0	1200	0	0	1200	1200	0	8180	0	0	2180	0	2180	0	520	310	260	260	310	520	800	0
24	0	2	2	30	28565	50	3	(28563,100)	0		1200	1200	0	1200	0	0	1200	1200	0	8780	0	0	2340	0	2340	0	560	330	280	280	330	560	800	0
25	0	2	3	32	28565	50	3	(28563,108)	0		1200	1200	0	1200	0	0	1200	1200	0	9380	0	0	2500	0	2500	0	600	350	300	300	350	600	800	0
26	0	2	4	34	28565	50	3	(28563,115)	0		1200	1200	0	1200	0	0	1200	1200	0	9980	0	0	2660	0	2660	0	640	370	320	320	370	640	800	0
27	0	2	5	38	28565	50	3	(28563,180)	0		1200	1200	0	1200	0	0	1200	1200	0	10580	0	0	2820	0	2820	0	680	390	340	340	390	680	800	0
28	0	2	6	40	28565	50	3	(28563,190)	0		1200	1200	0	1200	0	0	1200	1200	0	11180	0	0	2980	0	2980	0	720	410	360	360	410	720	800	0
29	0	2	7	42	28565	50	3	(28563,200)	0		1200	1200	0	1200	0	0	1200	1200	0	11780	0	0	3140	0	3140	0	760	430	380	380	430	760	800	0
30	0	2	8	44	28565	50	3	(28563,210)	0		1200	1200	0	1200	0	0	1200	1200	0	12380	0	0	3300	0	3300	0	800	450	400	400	450	800	800	0
31	0	2	9	46	28565	50	3	(28563,220)	0		1200	1200	0	1200	0	0	1200	1200	0	12980	0	0	3460	0	3460	0	840	470	420	420	470	840	800	0
32	0	2	10	48	28566	125	3		3	(28564,4,40,1320)	1200	1200	0	1200	0	0	1200	1200	0	13580	0	0	3620	0	3620	0	880	490	440	440	490	880	800	0
33	0	3	0	48	28565	50	4	(28563,312)	0		1850	1850	0	1850	0	0	1850	1850	0	13580	0	0	3620	0	3620	0	880	490	440	440	490	880	1200	0
34	0	3	1	54	28565	50	4	(28563,325)	0		1850	1850	0	1850	0	0	1850	1850	0	14180	0	0	3780	0	3780	0	920	510	460	460	510	920	1200	0
35	0	3	2	57	28565	50	4	(28563,340)	0		1850	1850	0	1850	0	0	1850	1850	0	14780	0	0	3940	0	3940	0	960	530	480	480	530	960	1200	0
36	0	3	3	60	28565	50	4	(28563,350)	0		1850	1850	0	1850	0	0	1850	1850	0	15380	0	0	4100	0	4100	0	1000	550	500	500	550	1000	1200	0
37	0	3	4	63	28565	50	4	(28563,360)	0		1850	1850	0	1850	0	0	1850	1850	0	15980	0	0	4260	0	4260	0	1040	570	520	520	570	1040	1200	0
38	0	3	5	69	28565	50	4	(28563,470)	0		1850	1850	0	1850	0	0	1850	1850	0	16580	0	0	4420	0	4420	0	1080	590	540	540	590	1080	1200	0
39	0	3	6	72	28565	50	4	(28563,490)	0		1850	1850	0	1850	0	0	1850	1850	0	17180	0	0	4580	0	4580	0	1120	610	560	560	610	1120	1200	0
40	0	3	7	75	28565	50	4	(28563,500)	0		1850	1850	0	1850	0	0	1850	1850	0	17780	0	0	4740	0	4740	0	1160	630	580	580	630	1160	1200	0
41	0	3	8	78	28565	50	4	(28563,520)	0		1850	1850	0	1850	0	0	1850	1850	0	18380	0	0	4900	0	4900	0	1200	650	600	600	650	1200	1200	0
42	0	3	9	81	28565	50	4	(28563,540)	0		1850	1850	0	1850	0	0	1850	1850	0	18980	0	0	5060	0	5060	0	1240	670	620	620	670	1240	1200	0
43	0	3	10	84	28566	125	4		4	(28564,5,50,2000)	1850	1850	0	1850	0	0	1850	1850	0	19580	0	0	5220	0	5220	0	1280	690	640	640	690	1280	1200	0
44	0	4	0	84	28565	50	5	(28563,560)	0		2550	2550	0	2550	0	0	2550	2550	0	19580	0	0	5220	0	5220	0	1280	690	640	640	690	1280	1600	0
45	0	4	1	92	28565	50	5	(28563,570)	0		2550	2550	0	2550	0	0	2550	2550	0	20480	0	0	5460	0	5460	0	1340	720	670	670	720	1340	1600	0
46	0	4	2	96	28565	50	5	(28563,580)	0		2550	2550	0	2550	0	0	2550	2550	0	21380	0	0	5700	0	5700	0	1400	750	700	700	750	1400	1600	0
47	0	4	3	100	28565	50	5	(28563,590)	0		2550	2550	0	2550	0	0	2550	2550	0	22280	0	0	5940	0	5940	0	1460	780	730	730	780	1460	1600	0
48	0	4	4	104	28565	50	5	(28563,600)	0		2550	2550	0	2550	0	0	2550	2550	0	23180	0	0	6180	0	6180	0	1520	810	760	760	810	1520	1600	0
49	0	4	5	112	28565	50	5	(28563,680)	0		2550	2550	0	2550	0	0	2550	2550	0	24080	0	0	6420	0	6420	0	1580	840	790	790	840	1580	1600	0
50	0	4	6	116	28565	50	5	(28563,690)	0		2550	2550	0	2550	0	0	2550	2550	0	24980	0	0	6660	0	6660	0	1640	870	820	820	870	1640	1600	0
51	0	4	7	120	28565	50	5	(28563,700)	0		2550	2550	0	2550	0	0	2550	2550	0	25880	0	0	6900	0	6900	0	1700	900	850	850	900	1700	1600	0
52	0	4	8	124	28565	50	5	(28563,710)	0		2550	2550	0	2550	0	0	2550	2550	0	26780	0	0	7140	0	7140	0	1760	930	880	880	930	1760	1600	0
53	0	4	9	128	28565	50	5	(28563,720)	0		2550	2550	0	2550	0	0	2550	2550	0	27680	0	0	7380	0	7380	0	1820	960	910	910	960	1820	1600	0
54	0	4	10	132	28566	125	5		5	(28564,6,60,3000)	2550	2550	0	2550	0	0	2550	2550	0	28580	0	0	7620	0	7620	0	1880	990	940	940	990	1880	1600	0
55	0	5	0	132	28565	50	6	(28563,900)	0		3300	3300	0	3300	0	0	3300	3300	0	28580	0	0	7620	0	7620	0	1880	990	940	940	990	1880	2000	0
56	0	5	1	142	28565	50	6	(28563,910)	0		3300	3300	0	3300	0	0	3300	3300	0	29930	0	0	7980	0	7980	0	1970	1035	985	985	1035	1970	2000	0
57	0	5	2	147	28565	50	6	(28563,920)	0		3300	3300	0	3300	0	0	3300	3300	0	31280	0	0	8340	0	8340	0	2060	1080	1030	1030	1080	2060	2000	0
58	0	5	3	152	28565	50	6	(28563,930)	0		3300	3300	0	3300	0	0	3300	3300	0	32630	0	0	8700	0	8700	0	2150	1125	1075	1075	1125	2150	2000	0
59	0	5	4	157	28565	50	6	(28563,940)	0		3300	3300	0	3300	0	0	3300	3300	0	33980	0	0	9060	0	9060	0	2240	1170	1120	1120	1170	2240	2000	0
60	0	5	5	167	28565	50	6	(28563,1000)	0		3300	3300	0	3300	0	0	3300	3300	0	35330	0	0	9420	0	9420	0	2330	1215	1165	1165	1215	2330	2000	0
61	0	5	6	172	28565	50	6	(28563,1050)	0		3300	3300	0	3300	0	0	3300	3300	0	36680	0	0	9780	0	9780	0	2420	1260	1210	1210	1260	2420	2000	0
62	0	5	7	177	28565	50	6	(28563,1100)	0		3300	3300	0	3300	0	0	3300	3300	0	38030	0	0	10140	0	10140	0	2510	1305	1255	1255	1305	2510	2000	0
63	0	5	8	182	28565	50	6	(28563,1130)	0		3300	3300	0	3300	0	0	3300	3300	0	39380	0	0	10500	0	10500	0	2600	1350	1300	1300	1350	2600	2000	0
64	0	5	9	187	28565	50	6	(28563,1150)	0		3300	3300	0	3300	0	0	3300	3300	0	40730	0	0	10860	0	10860	0	2690	1395	1345	1345	1395	2690	2000	0
65	0	5	10	192	28566	125	6		6	(28564,8,80,4000)	3300	3300	0	3300	0	0	3300	3300	0	42080	0	0	11220	0	11220	0	2780	1440	1390	1390	1440	2780	2000	0
66	0	6	0	192	28565	50	7	(28563,1180)	0		4100	4100	0	4100	0	0	4100	4100	0	42080	0	0	11220	0	11220	0	2780	1440	1390	1390	1440	2780	2400	0
67	0	6	1	204	28565	50	7	(28563,1200)	0		4100	4100	0	4100	0	0	4100	4100	0	43430	0	0	11580	0	11580	0	2870	1485	1435	1435	1485	2870	2400	0
68	0	6	2	210	28565	50	7	(28563,1200)	0		4100	4100	0	4100	0	0	4100	4100	0	44780	0	0	11940	0	11940	0	2960	1530	1480	1480	1530	2960	2400	0
69	0	6	3	216	28565	50	7	(28563,1200)	0		4100	4100	0	4100	0	0	4100	4100	0	46130	0	0	12300	0	12300	0	3050	1575	1525	1525	1575	3050	2400	0
70	0	6	4	222	28565	50	7	(28563,1200)	0		4100	4100	0	4100	0	0	4100	4100	0	47480	0	0	12660	0	12660	0	3140	1620	1570	1570	1620	3140	2400	0
71	0	6	5	234	28565	50	7	(28563,1300)	0		4100	4100	0	4100	0	0	4100	4100	0	48830	0	0	13020	0	13020	0	3230	1665	1615	1615	1665	3230	2400	0
72	0	6	6	240	28565	50	7	(28563,1350)	0		4100	4100	0	4100	0	0	4100	4100	0	50180	0	0	13380	0	13380	0	3320	1710	1660	1660	1710	3320	2400	0
73	0	6	7	246	28565	50	7	(28563,1380)	0		4100	4100	0	4100	0	0	4100	4100	0	51530	0	0	13740	0	13740	0	3410	1755	1705	1705	1755	3410	2400	0
74	0	6	8	252	28565	50	7	(28563,1400)	0		4100	4100	0	4100	0	0	4100	4100	0	52880	0	0	14100	0	14100	0	3500	1800	1750	1750	1800	3500	2400	0
75	0	6	9	258	28565	50	7	(28563,1400)	0		4100	4100	0	4100	0	0	4100	4100	0	54230	0	0	14460	0	14460	0	3590	1845	1795	1795	1845	3590	2400	0
76	1	6	10	264	28566	125	7		7	(28564,10,100,5000)	4100	4100	0	4100	0	0	4100	4100	0	55580	0	0	14820	0	14820	0	3680	1890	1840	1840	1890	3680	2400	0
77	0	7	0	264	28565	50	8	(28563,1600)	0		4900	4900	0	4900	0	0	4900	4900	0	55580	0	0	14820	0	14820	0	3680	1890	1840	1840	1890	3680	2800	0
78	0	7	1	278	28565	50	8	(28563,1640)	0		4900	4900	0	4900	0	0	4900	4900	0	57380	0	0	15300	0	15300	0	3800	1950	1900	1900	1950	3800	2800	0
79	0	7	2	285	28565	50	8	(28563,1650)	0		4900	4900	0	4900	0	0	4900	4900	0	59180	0	0	15780	0	15780	0	3920	2010	1960	1960	2010	3920	2800	0
80	0	7	3	292	28565	50	8	(28563,1660)	0		4900	4900	0	4900	0	0	4900	4900	0	60980	0	0	16260	0	16260	0	4040	2070	2020	2020	2070	4040	2800	0
81	0	7	4	299	28565	50	8	(28563,1680)	0		4900	4900	0	4900	0	0	4900	4900	0	62780	0	0	16740	0	16740	0	4160	2130	2080	2080	2130	4160	2800	0
82	0	7	5	313	28565	50	8	(28563,1750)	0		4900	4900	0	4900	0	0	4900	4900	0	64580	0	0	17220	0	17220	0	4280	2190	2140	2140	2190	4280	2800	0
83	0	7	6	320	28565	50	8	(28563,1760)	0		4900	4900	0	4900	0	0	4900	4900	0	66380	0	0	17700	0	17700	0	4400	2250	2200	2200	2250	4400	2800	0
84	0	7	7	327	28565	50	8	(28563,1770)	0		4900	4900	0	4900	0	0	4900	4900	0	68180	0	0	18180	0	18180	0	4520	2310	2260	2260	2310	4520	2800	0
85	0	7	8	334	28565	50	8	(28563,1790)	0		4900	4900	0	4900	0	0	4900	4900	0	69980	0	0	18660	0	18660	0	4640	2370	2320	2320	2370	4640	2800	0
86	0	7	9	341	28565	50	8	(28563,1800)	0		4900	4900	0	4900	0	0	4900	4900	0	71780	0	0	19140	0	19140	0	4760	2430	2380	2380	2430	4760	2800	0
87	0	7	10	348	28566	125	8		8	(28564,10,100,6500)	4900	4900	0	4900	0	0	4900	4900	0	73580	0	0	19620	0	19620	0	4880	2490	2440	2440	2490	4880	2800	0
88	0	8	0	348	28565	50	9	(28563,1850)	0		5800	5800	0	5800	0	0	5800	5800	0	73580	0	0	19620	0	19620	0	4880	2490	2440	2440	2490	4880	3200	0
89	0	8	1	364	28565	50	9	(28563,1880)	0		5800	5800	0	5800	0	0	5800	5800	0	75380	0	0	20100	0	20100	0	5000	2550	2500	2500	2550	5000	3200	0
90	0	8	2	372	28565	50	9	(28563,1900)	0		5800	5800	0	5800	0	0	5800	5800	0	77180	0	0	20580	0	20580	0	5120	2610	2560	2560	2610	5120	3200	0
91	0	8	3	380	28565	50	9	(28563,1910)	0		5800	5800	0	5800	0	0	5800	5800	0	78980	0	0	21060	0	21060	0	5240	2670	2620	2620	2670	5240	3200	0
92	0	8	4	388	28565	50	9	(28563,1930)	0		5800	5800	0	5800	0	0	5800	5800	0	80780	0	0	21540	0	21540	0	5360	2730	2680	2680	2730	5360	3200	0
93	0	8	5	404	28565	50	9	(28563,1940)	0		5800	5800	0	5800	0	0	5800	5800	0	82580	0	0	22020	0	22020	0	5480	2790	2740	2740	2790	5480	3200	0
94	0	8	6	412	28565	50	9	(28563,1950)	0		5800	5800	0	5800	0	0	5800	5800	0	84380	0	0	22500	0	22500	0	5600	2850	2800	2800	2850	5600	3200	0
95	0	8	7	420	28565	50	9	(28563,1970)	0		5800	5800	0	5800	0	0	5800	5800	0	86180	0	0	22980	0	22980	0	5720	2910	2860	2860	2910	5720	3200	0
96	0	8	8	428	28565	50	9	(28563,1980)	0		5800	5800	0	5800	0	0	5800	5800	0	87980	0	0	23460	0	23460	0	5840	2970	2920	2920	2970	5840	3200	0
97	0	8	9	436	28565	50	9	(28563,2000)	0		5800	5800	0	5800	0	0	5800	5800	0	89780	0	0	23940	0	23940	0	5960	3030	2980	2980	3030	5960	3200	0
98	0	8	10	444	28566	125	9		9	(28564,10,100,8200)	5800	5800	0	5800	0	0	5800	5800	0	91580	0	0	24420	0	24420	0	6080	3090	3040	3040	3090	6080	3200	0
99	0	9	0	444	28565	50	10	(28563,2070)	0		6800	6800	0	6800	0	0	6800	6800	0	91580	0	0	24420	0	24420	0	6080	3090	3040	3040	3090	6080	3600	0
100	0	9	1	462	28565	50	10	(28563,2090)	0		6800	6800	0	6800	0	0	6800	6800	0	93380	0	0	24900	0	24900	0	6200	3150	3100	3100	3150	6200	3600	0
101	0	9	2	471	28565	50	10	(28563,2100)	0		6800	6800	0	6800	0	0	6800	6800	0	95180	0	0	25380	0	25380	0	6320	3210	3160	3160	3210	6320	3600	0
102	0	9	3	480	28565	50	10	(28563,2120)	0		6800	6800	0	6800	0	0	6800	6800	0	96980	0	0	25860	0	25860	0	6440	3270	3220	3220	3270	6440	3600	0
103	0	9	4	489	28565	50	10	(28563,2130)	0		6800	6800	0	6800	0	0	6800	6800	0	98780	0	0	26340	0	26340	0	6560	3330	3280	3280	3330	6560	3600	0
104	0	9	5	507	28565	50	10	(28563,2150)	0		6800	6800	0	6800	0	0	6800	6800	0	100580	0	0	26820	0	26820	0	6680	3390	3340	3340	3390	6680	3600	0
105	0	9	6	516	28565	50	10	(28563,2160)	0		6800	6800	0	6800	0	0	6800	6800	0	102380	0	0	27300	0	27300	0	6800	3450	3400	3400	3450	6800	3600	0
106	0	9	7	525	28565	50	10	(28563,2170)	0		6800	6800	0	6800	0	0	6800	6800	0	104180	0	0	27780	0	27780	0	6920	3510	3460	3460	3510	6920	3600	0
107	0	9	8	534	28565	50	10	(28563,2190)	0		6800	6800	0	6800	0	0	6800	6800	0	105980	0	0	28260	0	28260	0	7040	3570	3520	3520	3570	7040	3600	0
108	0	9	9	543	28565	50	10	(28563,2200)	0		6800	6800	0	6800	0	0	6800	6800	0	107780	0	0	28740	0	28740	0	7160	3630	3580	3580	3630	7160	3600	0
109	0	9	10	552	28566	125	10		10	(28564,10,100,9800)	6800	6800	0	6800	0	0	6800	6800	0	109580	0	0	29220	0	29220	0	7280	3690	3640	3640	3690	7280	3600	0
110	1	10	0	552	28565	50	11		0		8000	8000	0	8000	0	0	8000	8000	0	109580	0	0	29220	0	29220	0	7280	3690	3640	3640	3690	7280	4000	0
