index	ID	btnName	beizhu	btenName	Name	paixu	ch_cn	ch_yy	ch_tw	en_us	ru_russia	tk_turkish	pl_poland	fr_French	esp_Espana	en_101xp	btnAName	jianJie	shuoMing	openString
zdzcBtn	qyfbbtn	zdzcBtn	组队战场	UpIcon_QYFB	情缘副本	0	80	999	80	80	80	80	80	80	80	80	TZWF_TextZDZC	#C(#FF8000)简介#n#C(#00EC00):  情侣组队玩刺激副本，得丰厚情缘奖励！#n	#C(#FF8000)掉落#n#C(#00EC00)：姻缘石，龙晶，金币等道具#n	OPEN_QYFB
zdzcBtn	hdsyBtn	zdzcBtn	组队战场	UpIcon_HDSY	混沌神域	0	130	999	130	999	130	999	130	130	130	130	TZWF_TextZDZC	#C(#FF8000)简介#n#C(#00EC00):  团队协助无坚不摧，来挑战自己的极限吧！#n	#C(#FF8000)掉落#n#C(#00EC00)：圣印纹章、历练值#n	OPEN_HDSY
tqhdBtn	lqyyBtn	tqhdBtn	特权活动	UpIcon_LQYYDLB	应用大礼包	0	20	999	20	999	999	999	999	20	999	20	TZWF_TextTQHD	#C(#FF8000)简介#n#C(#00EC00):  将游戏快捷方式添加到qq面板，获得奖励。#n	#C(#FF8000)掉落#n#C(#00EC00)：魔晶，坐骑培养石，宝石等道具#n	OPEN_QQLOGIN_FRAME
tqhdBtn	QQHZbtn	tqhdBtn	特权活动	UpIconQQHZ,UpIconQQLZ	QQ黄钻	0	1	999	1	999	999	999	999	1	999	1	TZWF_TextTQHD	#C(#FF8000)简介#n#C(#00EC00):  新手礼包，每日礼包，成长礼包等你拿。#n	#C(#FF8000)掉落#n#C(#00EC00)：魔晶，龙晶，材料等道具#n	OPEN_HUANGZUAN_LANZUAN_PANEL
tqhdBtn	fxyjbtn	tqhdBtn	特权活动	UpIcon_FXYJ	分享有奖	0	20	999	20	999	999	999	999	20	999	20	TZWF_TextTQHD	#C(#FF8000)简介#n#C(#00EC00):  分享之后，将会获得大量奖励哟#n	#C(#FF8000)掉落#n#C(#00EC00)：坐骑培养石,宝石礼盒等道具#n	openFXYYJ
tqhdBtn	UpIcon_GJTQ	tqhdBtn	特权活动	UpIcon_GJTQ	管家	0	1	999	1	999	999	999	999	1	999	1	TZWF_TextTQHD	#C(#FF8000)简介#n#C(#00EC00):  丰厚的管家特权，还在等什么？#n	#C(#FF8000)掉落#n#C(#00EC00)：材料，魔晶，龙晶，姻缘石等道具#n	OPEN_GUANJIA_PANEL
tqhdBtn	UpIcon_AWTQ	tqhdBtn	特权活动	UpIcon_AWTQ	爱玩	0	1	999	1	999	999	999	999	1	999	1	TZWF_TextTQHD	#C(#FF8000)简介#n#C(#00EC00):  丰厚的爱玩特权，还在等什么？#n	#C(#FF8000)掉落#n#C(#00EC00)：材料，魔晶，龙晶，姻缘石等道具#n	OPEN_AIWAN_PANEL
tqhdBtn	hzchBtn	tqhdBtn	特权活动	UpIcon_HZCH	黄钻称号	0	1	999	1	999	999	999	999	1	999	1	TZWF_TextTQHD	#C(#FF8000)简介#n#C(#00EC00):  成为黄钻贵族，获得专属称号！#n	#C(#FF8000)掉落#n#C(#00EC00)：称号奖励#n	OPEN_HZ_TITLE_PANEL
tqhdBtn	lz3366btn	tqhdBtn	特权活动	UpIcon_LZ3366	3366豪礼	0	1	999	1	999	999	999	999	1	999	1	TZWF_TextTQHD	#C(#FF8000)简介#n#C(#00EC00):  3366特权豪礼，还在等什么？#n	#C(#FF8000)掉落#n#C(#00EC00)：龙晶，魔晶，坐骑培养石等道具#n	OPEN_DAILY_PANEL_3366
tqhdBtn	xzlbBtn	tqhdBtn	特权活动	UpIcon_XZLB	微端下载	0	45	999	45	999	999	999	999	999	999	999	TZWF_TextTQHD	#C(#FF8000)简介#n#C(#00EC00):  微端登录领好礼，还在等什么？#n	#C(#FF8000)掉落#n#C(#00EC00)：龙晶，魔晶，坐骑培养石等道具#n	OPEN_MICRO_XIAZAIPANEL
tqhdBtn	wdlBtn	tqhdBtn	特权活动	UpIcon_WDLB	微端礼包	0	45	999	45	999	999	999	999	999	999	999	TZWF_TextTQHD	#C(#FF8000)简介#n#C(#00EC00):  微端登录领好礼，还在等什么？#n	#C(#FF8000)掉落#n#C(#00EC00)：龙晶，魔晶，坐骑培养石等道具#n	OPEN_MICRO_PANEL
hddtBtn	mrbzBtn	hddtBtn	活动大厅	UpIcon_MRBZ	每日必做	1	60	999	60	999	999	999	999	999	999	999				OPEN_DO_DAILY
hddtBtn	mrflBtn	hddtBtn	活动大厅	UpIcon_MRFL	每日福利	2	45	999	45	999	999	999	999	999	999	999				open_everyday_welfare
hddtBtn	jlbzBtn	hddtBtn	活动大厅	UpIcon_JLBZ	巨龙宝藏	3	45	999	45	999	999	999	999	999	999	999				OPEN_JLBZ
hddtBtn	djbkBtn	hddtBtn	活动大厅	UpIcon_DJBK	地精宝库	4	60	999	60	999	999	999	999	999	999	999				OPEN_GOBLIN_EXCHANGE
hddtBtn	llsrBtn	hddtBtn	活动大厅	UpIcon_LLSR	流浪商人	5	45	999	45	999	999	999	999	999	999	999				openLLSR
hddtBtn	dthdBtn	hddtBtn	活动大厅	UpIcon_DTHD	问答比赛	6	45	999	45	999	999	999	999	999	999	999				OPEN_QUESTION_MSG
hddtBtn	ttxlzBtn	hddtBtn	活动大厅	UpIcon_TTXLZ	天天消龙珠	7	45	999	45	999	999	999	999	999	999	999				OPEN_MARBLE_FRAME
hddtBtn	bs2048Btn	hddtBtn	活动大厅	UpIcon_BS2048	宝石2048	8	60	999	60	999	999	999	999	999	999	999				open_elsbpanel
