btnName	beizhu	closeLevel_cn	closeLevel_yy	closeLevel_tw	closeLevel_us	closeLevel_russia	closeLevel_tk	closeLevel_pl	closeLevel_fr	closeLevel_esp	closeLevel_en	closeLevel_sa	ch_cn	ch_yy	ch_tw	en_us	ru_russia	tk_turkish	pl_poland	fr_french	esp_Espana	en_xp	ru_tournament	sa_sasia	centerServerShow	paixu
DownIcon_ZM	招募	0	0	0	0	0	0	0	0	0	0	0	15	15	15	15	15	15	15	15	15	15	15	15	0	5
DownIcon_HY	好友	0	0	0	0	0	0	0	0	0	0	0	28	28	28	28	28	28	28	28	28	28	28	28	1	4
DownIcon_GH	公会	0	0	0	0	0	0	0	0	0	0	0	32	32	32	32	32	32	32	32	32	32	32	32	0	3
DownIcon_CW	宠物	0	0	0	0	0	0	0	0	0	0	0	70	70	70	70	70	70	70	70	70	70	70	70	1	9
DownIcon_SQ1	圣器	0	0	0	0	0	0	0	0	0	0	0	80	80	80	80	80	80	80	80	80	80	80	80	1	15
DownIcon_JH	结婚	0	0	0	0	0	0	0	0	0	0	0	36	36	36	36	36	36	36	36	36	36	36	36	0	7
DownIcon_TFK	天赋卡	0	0	0	0	0	0	0	0	0	0	0	80	80	80	80	80	80	80	999	80	999	80	80	1	17
DownIcon_XL	星灵	0	0	0	0	0	0	0	0	0	0	0	60	60	60	60	60	60	60	60	60	999	60	60	0	20
DownIcon_SL	北美神龙	0	0	0	0	0	0	0	0	0	0	0	999	999	999	30	999	999	999	999	999	999	999	30	0	19
DownIcon_SL2	神龙系统	0	0	0	0	0	0	0	0	0	0	0	45	45	45	45	45	45	45	45	45	45	45	45	0	8
DownIcon_SZ	时装	0	0	0	0	0	0	0	0	0	0	0	45	45	45	45	45	45	45	45	45	45	45	45	0	21
DownIcon_DW	雕纹	0	0	0	0	0	0	0	0	0	0	0	80	80	80	80	80	80	80	999	999	999	80	80	1	14
DownIcon_MFZ	魔法阵	0	0	0	0	0	0	0	0	0	0	0	120	999	120	120	120	120	120	999	999	999	120	120	1	22
jchdBtn	精彩活动	0	0	0	0	0	0	0	0	0	0	0	20	20	20	20	20	20	20	20	20	20	20	20	0	10
rchdBtn	日常活动	0	0	0	0	0	0	0	0	0	0	0	30	30	30	30	30	30	30	30	30	30	30	30	0	9
jlbzBtn	巨龙宝藏	45	0	45	0	0	0	0	0	0	0	0	30	30	30	30	30	30	30	30	30	30	30	30	0	8
xmlyBtn	心魔炼狱	80	0	80	80	0	0	0	0	0	0	80	35	35	35	40	35	40	40	35	35	35	35	40	0	7
fbBtn	副本	80	0	80	80	0	0	0	0	0	0	80	28	28	28	28	28	28	28	28	28	28	28	28	0	6
emsyBtn	恶魔深渊	0	0	0	0	0	0	0	0	0	0	0	26	26	26	26	26	26	26	26	26	26	26	26	0	3
yxjjBtn	竞技场	80	0	80	0	0	0	0	0	0	0	0	31	31	31	31	31	31	31	31	31	31	31	31	0	2
zxlbBtn	在线礼包	0	0	0	0	0	0	0	0	0	0	0	4	4	4	4	4	4	4	4	4	4	4	4	0	1
djbkBtn	地精宝库	60	0	60	0	0	0	0	0	0	0	0	30	30	30	30	30	30	30	30	30	30	30	30	0	19
ygbhBtn	公会副本	80	0	80	80	0	0	0	0	0	0	80	60	60	60	60	60	60	60	60	60	60	60	60	0	18
xycmBtn	英灵神殿	80	0	80	80	0	0	0	0	0	0	80	80	80	80	80	80	80	80	80	80	80	80	80	0	16
dllbBtn	七日礼包	0	0	0	0	0	0	0	0	0	0	0	32	32	32	32	32	32	32	32	32	32	32	32	0	15
mrbzBtn	每日必做	60	0	60	0	0	0	0	0	0	0	0	32	32	32	32	32	32	32	32	32	32	32	32	0	14
djtBtn	点将台	0	0	0	0	0	0	0	0	0	0	0	30	30	30	30	30	30	30	30	30	30	30	30	0	13
ljBtn	炼金 	0	0	0	0	0	0	0	0	0	0	0	30	30	30	30	30	30	30	30	30	30	30	30	0	12
wfjlBtn	玩法奖励	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	11
cjpmBtn	冲级排名	0	0	0	0	0	0	0	0	0	0	0	28	28	28	28	28	28	28	28	28	28	28	28	0	28
djlblBtn	等级大礼	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	0	67
scdlbBtn1	五重礼包	0	0	0	0	0	0	0	0	0	0	0	20	20	20	20	20	20	20	20	20	20	20	20	0	27
fhlBtn	符文宝轮	0	0	0	0	0	0	0	0	0	0	0	60	60	60	60	60	60	60	60	60	60	60	60	0	26
hydtBtn	幸运宝轮	0	0	0	0	0	0	0	0	0	0	0	30	30	30	30	30	30	30	30	30	999	30	30	0	25
bcjlBtn	保存奖励	0	0	0	0	0	0	0	0	0	0	0	999	999	999	999	999	999	999	999	999	999	999	999	0	85
ydlzbtn	勇斗领主	80	0	80	0	0	0	0	0	0	0	0	31	31	31	31	31	31	31	31	31	31	31	31	0	21
cwlsBtn	宠物灵树	0	0	0	0	0	0	0	0	0	0	0	70	70	70	70	70	70	70	70	70	70	70	70	0	73
csyxBtn	冲上云霄	0	0	0	0	0	0	0	0	0	0	0	70	70	70	70	70	70	70	70	70	70	70	70	0	65
smsdBtn	神秘商店	0	0	0	0	0	0	0	0	0	0	0	50	50	50	50	50	50	50	50	50	50	50	50	0	55
lqyyBtn	应用大礼包	20	0	0	0	0	0	0	20	0	20	0	20	999	999	999	999	999	999	999	999	999	999	999	0	39
czbxBtn	超值宝箱	0	0	0	0	0	0	0	0	0	0	0	9	9	9	9	9	9	9	9	9	9	9	9	0	20
QQHZbtn	QQ黄钻	1	0	0	0	0	0	0	1	0	1	0	1	999	1	999	999	999	999	999	999	999	999	999	0	38
khczBtn	狂欢充值	0	0	0	0	0	0	0	0	0	0	0	45	45	45	45	45	45	45	45	45	45	45	45	0	68
sjbjcBtn	世界杯	0	0	0	0	0	0	0	0	0	0	0	20	20	20	999	999	999	999	999	999	999	999	999	0	77
yqcmBtn	一球成名	0	0	0	0	0	0	0	0	0	0	0	45	45	45	45	45	45	45	45	45	45	45	45	0	71
cwzzlBtn	宠物转转乐	0	0	0	0	0	0	0	0	0	0	0	70	70	70	70	70	70	70	70	70	70	70	70	0	74
ssjjBtn	神石基金	0	0	0	0	0	0	0	0	0	0	0	30	30	30	30	999	30	999	30	30	999	999	30	0	54
myxgbtn	魔域新宫	80	0	80	80	0	0	0	0	0	0	80	80	80	80	80	80	80	80	80	80	80	80	80	0	22
lz3366btn	3366	1	0	0	0	0	0	0	1	0	1	0	1	999	999	999	999	999	999	999	999	999	999	999	0	43
tjssbtn	天降神石	0	0	0	0	0	0	0	0	0	0	0	20	20	20	20	20	20	20	20	20	20	20	20	0	56
ZLDbtn	龙蛋	0	0	0	0	0	0	0	0	0	0	0	30	30	30	30	30	30	30	30	30	30	30	30	0	58
qyfbbtn	情缘副本	80	0	80	80	0	0	0	0	0	0	80	36	999	36	36	36	36	36	36	36	999	36	36	0	36
yc12PalaceBtn	勇闯12宫	0	0	0	0	0	0	0	0	0	0	0	80	80	80	80	80	80	80	80	80	80	80	80	0	62
fxyjbtn	分享有奖	20	0	0	0	0	0	0	20	0	20	0	20	999	999	9999	999	999	999	999	999	999	999	9999	0	44
mrscbtn	每日首充	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	0	53
rfkdhbtn	天赋卡	0	0	0	0	0	0	0	0	0	0	0	80	80	80	80	80	80	80	999	80	999	80	80	0	35
qxtgBtn	全民团购	0	0	0	0	0	0	0	0	0	0	0	30	30	30	30	999	30	999	999	30	999	999	30	0	76
UpIcon_GJTQ	管家	1	0	0	0	0	0	0	1	0	1	0	1	999	999	999	999	999	999	999	999	999	999	999	0	41
UpIcon_AWTQ	爱玩	1	0	0	0	0	0	0	1	0	1	0	1	999	999	999	999	999	999	999	999	999	999	999	0	40
zdfbBtn	组队副本	0	0	0	0	0	0	0	0	0	0	0	999	999	999	30	999	999	999	999	999	999	999	30	0	34
ssyhbtn	神石银行	0	0	0	0	0	0	0	0	0	0	0	20	20	20	20	999	20	20	20	20	20	999	20	0	75
xycBtn	许愿池	0	0	0	0	0	0	0	0	0	0	0	30	30	30	30	30	30	30	30	30	30	30	30	0	24
kfbossBtn	开服BOSS	0	0	0	0	0	0	0	0	0	0	0	32	32	32	32	32	32	32	999	32	32	32	32	0	29
llsrBtn	流浪商人	45	0	45	0	0	0	0	0	0	0	0	30	999	30	30	30	30	30	30	30	30	30	30	0	66
goldBoxBtn	黄金宝箱	0	0	0	0	0	0	0	0	0	0	0	45	45	45	45	45	45	45	45	45	45	45	45	0	69
yzyxtBtn	勇者英雄坛	0	0	0	0	0	0	0	0	0	0	0	60	60	60	60	60	60	60	60	60	60	60	60	0	64
yxhzBtn	英雄徽章	0	0	0	0	0	0	0	0	0	0	0	60	60	60	60	60	60	60	60	60	60	60	60	0	57
zxfwBtn	VIP尊享服务	0	0	0	0	0	0	0	0	0	0	0	1	999	999	999	999	999	999	999	999	999	999	999	0	42
ttmsBtn	天天秒杀	0	0	0	0	0	0	0	0	0	0	0	40	40	40	40	40	40	40	40	40	40	40	40	0	51
dllb2Btn	登录礼包北美封测	0	0	0	0	0	0	0	0	0	0	0	999	999	999	999	999	999	999	999	999	999	999	999	0	83
zxlb2Btn	在线礼包北美封测	0	0	0	0	0	0	0	0	0	0	0	999	999	999	999	999	999	999	999	999	999	999	999	0	82
zthdbtn	专题活动	0	0	0	0	0	0	0	0	0	0	0	30	30	30	30	30	30	999	999	999	999	30	30	0	59
czdlBtn	超值大礼	0	0	0	0	0	0	0	0	0	0	0	30	30	30	30	30	30	999	999	999	999	30	30	0	63
ywdbbtn	野外夺宝	0	0	0	0	0	0	0	0	0	0	0	40	999	40	40	40	40	40	999	999	40	999	40	0	31
zqjlBtn	中秋领奖	0	0	0	0	0	0	0	0	0	0	0	30	30	30	999	999	999	999	999	999	999	999	999	0	52
zqbbBtn	中秋博饼	0	0	0	0	0	0	0	0	0	0	0	30	30	30	999	999	999	999	999	999	999	999	999	0	49
zdptBtn	组队爬塔	80	0	80	80	0	0	0	0	0	0	80	35	35	35	35	35	45	45	35	45	35	35	35	0	33
shxbBtn	深海寻宝	0	0	0	0	0	0	0	0	0	0	0	60	60	60	60	60	60	60	60	60	60	60	60	0	70
hl3366	3366豪礼	0	0	0	0	0	0	0	0	0	0	0	1	999	1	999	999	999	999	999	999	999	999	999	0	50
kfstlbtn	开服送体力	0	0	0	0	0	0	0	0	0	0	0	999	999	20	999	999	999	999	999	999	999	999	999	0	78
kfhdBtn	北美开服活动	0	0	0	0	0	0	0	0	0	0	0	999	999	999	20	999	999	999	999	999	999	999	20	0	61
gqhdBtn	国庆活动	0	0	0	0	0	0	0	0	0	0	0	30	30	30	999	30	999	999	999	999	999	30	999	0	48
fdbtn	繁体福袋活动	0	0	0	0	0	0	0	0	0	0	0	999	999	30	999	999	999	999	999	999	999	999	999	0	80
xzlbBtn	微端下载	45	0	0	0	0	0	0	0	0	0	0	20	999	999	999	999	999	999	999	999	999	999	999	0	45
wdlBtn	微端礼包	45	0	0	0	0	0	0	0	0	0	0	20	999	999	999	999	999	999	999	999	999	999	999	0	37
qrshlBtn	七日送豪礼	0	0	0	0	0	0	0	0	0	0	0	999	999	999	999	20	20	20	20	20	20	20	999	0	84
lsdhBtn	灵石商店	0	0	0	0	0	0	0	0	0	0	0	999	999	999	30	999	999	999	999	999	999	999	30	0	79
wsjhdBtn	万圣节活动	0	0	0	0	0	0	0	0	0	0	0	30	30	30	30	999	999	999	999	999	999	999	30	0	60
wdhlBtn	微端回流礼包	0	0	0	0	0	0	0	0	0	0	0	1	999	999	999	999	999	999	999	999	999	999	999	0	46
hlskBtn	混乱时空	0	0	0	0	0	0	0	0	0	0	0	32	999	32	32	32	32	32	32	32	32	32	32	0	32
uswsjBtn	北美万圣节活动	0	0	0	0	0	0	0	0	0	0	0	999	999	999	20	999	999	999	999	999	999	999	20	0	81
tmxkBtn	天马行空	0	0	0	0	0	0	0	0	0	0	0	30	30	30	30	999	30	30	30	30	30	999	30	0	72
dtbbBtn	大厅博饼	0	0	0	0	0	0	0	0	0	0	0	30	30	30	30	999	999	999	999	999	999	999	30	0	47
kfjjBtn	跨服竞技场（已经没用）	0	0	0	0	0	0	0	0	0	0	0	60	999	60	999	999	999	999	999	999	999	999	999	0	30
ssyBtn	双11活动	0	0	0	0	0	0	0	0	0	0	0	30	30	30	999	30	30	999	999	999	999	30	999	0	86
mrjlyBtn	每日集龙印	0	0	0	0	0	0	0	0	0	0	0	20	20	20	20	999	999	999	999	999	999	999	20	0	87
yhscBtn	北美限时优惠商城	0	0	0	0	0	0	0	0	0	0	0	999	999	999	20	999	999	999	999	999	999	999	20	0	88
lhsbBtn	龙魂石碑	0	0	0	0	0	0	0	0	0	0	0	45	45	45	45	45	45	45	45	45	45	45	45	0	89
cwftBtn	宠物福田	0	0	0	0	0	0	0	0	0	0	0	70	70	70	70	70	70	70	70	70	70	70	70	0	90
lzzdl	蓝钻转大礼	0	0	0	0	0	0	0	0	0	0	0	30	999	999	999	999	999	999	999	999	999	999	999	0	91
lzxdl	蓝钻献大礼	0	0	0	0	0	0	0	0	0	0	0	30	999	999	999	999	999	999	999	999	999	999	999	0	91
bbgsBtn	步步高升	0	0	0	0	0	0	0	0	0	0	0	999	999	30	999	999	999	999	999	999	999	999	999	0	92
yclkBtn	勇闯龙窟	0	0	0	0	0	0	0	0	0	0	0	999	999	999	999	999	999	999	999	999	999	999	999	0	93
zsmbBtn	众神秘宝	0	0	0	0	0	0	0	0	0	0	0	75	75	75	75	75	75	75	999	75	999	75	75	0	94
khgejBtn	狂欢感恩节	0	0	0	0	0	0	0	0	0	0	0	30	30	30	999	999	999	999	999	999	999	999	999	0	108
kfzbsbtb	跨服争霸赛(跨服组队竞技)	0	0	0	0	0	0	0	0	0	0	0	60	999	60	60	60	999	60	999	999	999	999	60	0	96
zbskbtn	跨服争霸赛况	0	0	0	0	0	0	0	0	0	0	0	80	999	80	999	999	999	999	999	999	999	999	999	0	169
ssrBtn	双12活动	0	0	0	0	0	0	0	0	0	0	0	30	30	30	30	999	999	999	999	999	999	999	30	0	99
ttxlzBtn	天天消龙珠	45	0	45	0	0	0	0	0	0	0	0	36	999	36	36	36	36	36	999	999	999	36	36	0	100
jbfbBtn	金币宝藏	0	0	0	0	0	0	0	0	0	0	0	30	30	30	999	30	30	30	30	30	30	30	999	0	101
hhlzlclBtn	豪华蓝钻六重礼	0	0	0	0	0	0	0	0	0	0	0	30	999	999	999	999	999	999	999	999	999	999	999	0	102
xstgBtn	限时特供	0	0	0	0	0	0	0	0	0	0	0	30	30	30	999	999	999	999	999	999	999	999	999	0	103
hyjqBtn	好友送金券	0	0	0	0	0	0	0	0	0	0	0	30	999	999	999	999	999	999	999	999	999	999	999	0	104
sdjnhBtn	圣诞嘉年华	0	0	0	0	0	0	0	0	0	0	0	30	30	30	30	30	999	999	999	999	999	30	30	0	105
yddkhBtn	元旦大狂欢	0	0	0	0	0	0	0	0	0	0	0	30	30	30	30	999	30	999	999	999	999	999	30	0	106
QQGJbtn	QQ管家7日礼包	0	0	0	0	0	0	0	0	0	0	0	10	999	999	999	999	999	999	999	999	999	999	999	0	107
kfzbflBtn	跨服争霸福利图标	0	0	0	0	0	0	0	0	0	0	0	60	999	60	999	999	999	999	999	999	999	999	999	0	95
hhlzzdlBtn	豪华蓝钻转大礼	0	0	0	0	0	0	0	0	0	0	0	20	999	999	999	999	999	999	999	999	999	999	999	0	109
yxslcBtn	勇者试炼场	80	0	80	80	0	0	0	0	0	0	80	35	999	35	35	30	30	30	35	35	35	30	35	0	110
xnlftBtn	新年乐翻天	0	0	0	0	0	0	0	0	0	0	0	30	30	30	999	30	999	999	999	999	999	30	999	0	111
hzdhlBtn	黄钻兑好礼	0	0	0	0	0	0	0	0	0	0	0	20	999	999	999	999	999	999	999	999	999	999	999	0	112
nskpBtn	女神卡牌	0	0	0	0	0	0	0	0	0	0	0	40	40	40	40	40	40	40	40	999	40	40	40	0	113
lqslBtn	龙骑试炼	120	120	120	120	0	0	0	0	0	0	120	100	100	100	100	100	100	100	100	999	100	100	100	0	23
khpdBtn	狂欢派对	0	0	0	0	0	0	0	0	0	0	0	30	30	30	999	999	999	999	999	999	999	999	999	0	114
xytqBtn	心悦特权	0	0	0	0	0	0	0	0	0	0	0	1	999	999	999	999	999	999	999	999	999	999	999	0	115
qyhjBtn	跨服个人竞技场	0	0	0	0	0	0	0	0	0	0	0	60	999	60	60	999	999	999	999	999	999	999	60	0	116
mrflBtn	每日福利	45	0	45	0	0	0	0	0	0	0	0	30	30	30	30	30	30	30	30	30	30	30	30	0	117
lzdhlBtn	蓝钻兑好礼	0	0	0	0	0	0	0	0	0	0	0	20	20	999	999	999	999	999	999	999	999	999	999	0	118
yxhdBtn	元宵活动	0	0	0	0	0	0	0	0	0	0	0	30	999	30	30	999	999	999	999	999	999	999	30	0	119
mlqrjBtn	魅力情人节活动	0	0	0	0	0	0	0	0	0	0	0	30	30	30	999	30	999	999	999	999	999	30	999	0	120
cjhbBtn	春节红包	0	0	0	0	0	0	0	0	0	0	0	30	30	30	999	999	30	999	999	999	999	999	999	0	121
knhdBtn	开年活动	0	0	0	0	0	0	0	0	0	0	0	30	30	30	999	999	999	999	999	999	999	999	999	0	122
cjhdBtn	春节活动	0	0	0	0	0	0	0	0	0	0	0	30	30	30	999	999	999	999	999	999	999	999	999	0	123
khlgBtn	狂欢乐购	0	0	0	0	0	0	0	0	0	0	0	30	30	30	999	999	999	999	999	999	999	999	999	0	124
zsbxBtn	战神宝箱	0	0	0	0	0	0	0	0	0	0	0	80	80	80	999	80	80	999	999	80	999	80	999	0	125
ssgglBtn	超级理财	0	0	0	0	0	0	0	0	0	0	0	30	30	30	999	30	30	30	30	30	30	30	999	0	126
qrmbBtn	七日目标(按钮界面显示)	0	0	0	0	0	0	0	0	0	0	0	999	999	0	999	0	999	0	999	999	999	0	999	0	10001
qrzbBtn	七日争霸(按钮界面显示)	0	0	0	0	0	0	0	0	0	0	0	999	999	0	999	0	999	0	999	999	999	0	999	0	10002
JH_IconHL	婚礼列表(按钮界面显示)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10003
JH_IconWDHL	我的婚礼(按钮界面显示)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10004
JH_IconHLBX	婚礼宝箱(按钮界面显示)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10005
JH_IconPD	派对列表(按钮界面显示)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10006
JH_IconWDPD	我的派对(按钮界面显示)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10007
JH_IconPDBX	派对宝箱(按钮界面显示)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10008
hgdjdlBtn	回归等级大礼	0	0	0	0	0	0	0	0	0	0	0	1	999	999	999	999	999	999	999	999	999	999	999	0	127
hgdldlBtn	回归登录大礼	0	0	0	0	0	0	0	0	0	0	0	100	999	999	999	999	999	999	999	999	999	999	999	0	128
hgzztqBtn	回归至尊特权	0	0	0	0	0	0	0	0	0	0	0	1	999	999	999	999	999	999	999	999	999	999	999	0	129
gmsdBtn	gm商店	0	0	0	0	0	0	0	0	0	0	0	999	999	999	999	1	1	1	999	999	999	1	999	0	130
lcflBtn	连充返利	0	0	0	0	0	0	0	0	0	0	0	30	30	30	30	999	30	30	999	30	999	999	30	0	131
hzchBtn	黄钻称号	1	0	0	0	0	0	0	1	0	1	0	1	999	999	999	999	999	999	999	999	999	999	999	0	132
yxsdBtn	英雄圣殿	160	0	160	160	0	0	0	0	0	160	160	160	160	160	160	999	160	999	999	999	999	999	160	0	17
swbkBtn	神王宝库	0	0	0	0	0	0	0	0	0	0	0	45	45	45	45	45	45	45	999	45	999	45	45	0	133
tzwfBtn	挑战玩法	0	0	0	0	0	0	0	0	0	0	0	80	999	80	80	999	999	999	999	999	999	999	80	0	4
zdzcBtn	组队战场	0	0	0	0	0	0	0	0	0	0	0	80	999	80	80	999	999	999	999	999	999	999	80	0	5
qmhdBtn	清明活动	0	0	0	0	0	0	0	0	0	0	0	30	30	30	999	30	30	999	999	999	999	30	999	0	134
lzzzlBtn	蓝钻转转乐	0	0	0	0	0	0	0	0	0	0	0	20	999	999	999	999	999	999	999	999	999	999	999	0	135
mldzpBtn	魔灵大转盘	0	0	0	0	0	0	0	0	0	0	0	120	120	120	120	120	120	120	999	120	999	120	120	0	136
syzbBtn	圣域争霸	0	0	0	0	0	0	0	0	0	0	0	32	999	32	999	999	999	999	999	999	999	999	999	0	137
hzzzlBtn	黄钻转转乐	0	0	0	0	0	0	0	0	0	0	0	20	999	999	999	999	999	999	999	999	999	999	999	0	138
cjtzBtn	超级投资	0	0	0	0	0	0	0	0	0	0	0	30	30	30	30	30	30	30	30	30	30	30	30	0	139
zxljBtn	在线领奖	0	0	0	0	0	0	0	0	0	0	0	30	30	30	999	999	30	999	999	999	999	999	999	0	140
wyzthdBtn	五一专题活动	0	0	0	0	0	0	0	0	0	0	0	30	30	30	30	999	30	999	999	999	999	999	30	0	141
czthBtn	超值特惠	0	0	0	0	0	0	0	0	0	0	0	30	30	30	999	999	30	30	30	30	30	999	999	0	142
zzzkBtn	至尊周卡	0	0	0	0	0	0	0	0	0	0	0	100	999	100	999	999	100	999	999	999	999	999	999	0	143
yyjCzBtn	页游节预热充值	0	0	0	0	0	0	0	0	0	0	0	30	30	999	999	999	999	999	999	999	999	999	999	0	144
yyjDlBtn	页游节预热登录奖励	0	0	0	0	0	0	0	0	0	0	0	30	30	999	999	999	999	999	999	999	999	999	999	0	145
yyjbjBtn	页游节暴击	0	0	0	0	0	0	0	0	0	0	0	30	30	999	999	999	999	999	999	999	999	999	999	0	146
zxhdbtn	最新活动	0	0	0	0	0	0	0	0	0	0	0	20	20	20	999	20	20	20	999	999	20	20	999	0	147
kjsznbtn	空间十周年	0	0	0	0	0	0	0	0	0	0	0	30	30	999	999	999	999	999	999	999	999	999	999	0	148
qtqdflbtn	七日簽到福利	0	0	0	0	0	0	0	0	0	0	0	999	999	40	999	999	999	999	999	999	999	999	999	0	149
hgczflBtn	回歸儲值	0	0	0	0	0	0	0	0	0	0	0	999	999	40	999	999	999	999	999	999	999	999	999	0	150
wzgcbtn	王者公测	0	0	999	999	0	0	0	0	0	0	999	30	30	30	999	30	30	999	999	999	999	30	999	9	151
tqhdBtn	特权活动	0	0	0	0	0	0	0	0	0	0	0	1	999	999	999	999	999	999	999	999	999	999	999	0	152
dwjBtn	端午节活动	0	0	0	0	0	0	0	0	0	0	0	30	30	30	999	999	999	999	999	999	999	999	999	0	153
hzhdBtn	黄钻活动	0	0	0	0	0	0	0	0	0	0	0	1	999	999	999	999	999	999	999	999	999	999	999	0	154
lzbxBtn	蓝钻宝箱	0	0	0	0	0	0	0	0	0	0	0	1	999	999	999	999	999	999	999	999	999	999	999	0	155
DownIcon_ZZ	战阵	0	0	0	0	0	0	0	0	0	0	0	100	999	100	100	100	100	999	999	999	999	100	100	1	24
jqqybtn	激情七月	0	0	0	0	0	0	0	0	0	0	0	30	30	30	30	999	30	30	30	999	999	999	30	0	156
jrscBtn	今日首充	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	999	999	999	999	1	1	0	157
zbsdbtn	珍宝商店	0	0	0	0	0	0	0	0	0	0	0	30	30	30	30	999	30	30	999	999	999	999	30	0	158
qmzzlbtn	全民转转乐	0	0	0	0	0	0	0	0	0	0	0	40	40	40	40	40	40	999	999	999	999	40	40	0	159
qhbbtn	抢红包	0	0	0	0	0	0	0	0	0	0	0	30	30	30	999	999	30	999	999	999	999	999	999	0	160
lzxbbtn	蓝钻寻宝	0	0	0	0	0	0	0	0	0	0	0	20	999	999	999	999	999	999	999	999	999	999	999	0	161
gbtmbtn	古堡探秘	0	0	0	0	0	0	0	0	0	0	0	30	30	30	30	30	30	999	999	999	999	30	30	0	162
sjBtn	神界	0	0	0	0	0	0	0	0	0	0	0	90	999	90	999	999	999	999	999	999	999	999	999	0	163
xkhjBtn	虚空幻境	0	0	0	0	0	0	0	0	0	0	0	160	999	160	999	999	999	999	999	999	999	999	999	1	164
sjdhBtn	神界兑换	0	0	0	0	0	0	0	0	0	0	0	90	999	90	999	999	999	999	999	999	999	999	999	1	165
hqzqBtn	欢庆中秋	0	0	0	0	0	0	0	0	0	0	0	999	999	999	999	999	999	999	999	999	999	999	999	0	166
kfxhbBtn	跨服鲜花榜	0	0	0	0	0	0	0	0	0	0	0	30	30	30	999	30	30	30	999	999	999	30	999	0	167
mszjbtn	迷失之境	0	0	0	0	0	0	0	0	0	0	0	90	999	90	999	999	999	999	999	999	999	999	999	1	168
dfhcBtn	巅峰喝彩	0	0	0	0	0	0	0	0	0	0	0	60	999	60	999	999	999	999	999	999	999	999	999	0	97
ssy2015Btn	双十一狂欢	0	0	0	0	0	0	0	0	0	0	0	30	30	30	999	999	999	999	999	999	999	999	999	0	170
DSCJBtn	点石成金	0	0	0	0	0	0	0	0	0	0	0	120	999	120	120	999	999	999	999	999	999	999	120	0	171
