level	items
144	[(26607,10),(27049,5),(25600,2)]
145	[(26607,10),(27049,5),(25600,2)]
146	[(26607,10),(27049,5),(25600,2)]
147	[(26607,10),(27049,5),(25600,2)]
148	[(26607,10),(27049,5),(25600,2)]
149	[(26607,10),(27049,5),(25600,2)]
150	[(26607,10),(27049,5),(25600,2)]
151	[(26607,10),(27049,5),(25600,2)]
152	[(26607,10),(27049,5),(25600,2)]
153	[(26607,10),(27049,5),(25600,2)]
154	[(26607,10),(27049,5),(25600,2)]
155	[(26607,10),(27049,5),(25600,2)]
156	[(26607,10),(27049,5),(25600,2)]
157	[(26607,10),(27049,5),(25600,2)]
158	[(26607,10),(27049,5),(25600,2)]
159	[(26607,10),(27049,5),(25600,2)]
160	[(27066,10),(27905,5),(25600,2)]
161	[(27066,10),(27905,5),(25600,2)]
162	[(27066,10),(27905,5),(25600,2)]
163	[(27066,10),(27905,5),(25600,2)]
164	[(27066,10),(27905,5),(25600,2)]
165	[(27066,10),(27905,5),(25600,2)]
166	[(27066,10),(27905,5),(25600,2)]
167	[(27066,10),(27905,5),(25600,2)]
168	[(27066,10),(27905,5),(25600,2)]
169	[(27066,10),(27905,5),(25600,2)]
170	[(27066,10),(27905,5),(25600,2)]
171	[(27066,10),(27905,5),(25600,2)]
172	[(27066,10),(27905,5),(25600,2)]
173	[(27066,10),(27905,5),(25600,2)]
174	[(27066,10),(27905,5),(25600,2)]
175	[(27066,10),(27905,5),(25600,2)]
176	[(27066,10),(27905,5),(25600,2)]
177	[(27066,10),(27905,5),(25600,2)]
178	[(27066,10),(27905,5),(25600,2)]
179	[(27066,10),(27905,5),(25600,2)]
