Index	ItemCode	ItemCode1	Type	Cnt	Price	Usually	IsBroadcast	CanSysRMB
119	(26228,1)	0	1	3	472	590	0	1
120	(26229,1)	0	1	3	944	1180	1	1
121	(26230,1)	0	1	3	1888	2360	1	1
122	(26971,1)	0	1	3	6995	9995	1	1
123	(25659,1)	0	1	3	200	1000	0	1
124	(26914,1)	0	1	3	1000	5000	1	1
125	(26933,5)	0	1	3	200	250	0	1
126	(26934,5)	0	1	3	200	250	0	1
127	(27469,1)	0	1	3	320	500	0	1
128	(25970,1)	0	1	10	10	50	0	1
129	(25831,1)	0	1	10	10	50	0	1
130	(26043,1)	0	1	10	10	50	0	1
131	(25970,1)	0	1	10	25	50	0	1
132	(25831,1)	0	1	10	25	50	0	1
133	(26043,1)	0	1	10	25	50	0	1
134	(26446,1)	0	1	5	2	20	0	1
135	(26447,1)	0	1	5	10	40	0	1
136	(26446,1)	0	1	10	8	20	0	1
137	(26447,1)	0	1	5	15	40	0	1
