AFIndex	FightType	MonsterId	MoneyToReward	MoneyToReward_fcm	ItemsToReward	ItemsToReward_fcm	RandomReward	RandomRewardRate	Sample	Sample_fcm
33	37	10332	77000	38500	[(25643,5)]	[(25643,3)]	26272	[(750,0),(250,1)]	[(25828,77000),(25643,5),(26272,1)]	[(25828,38500),(25643,3),(26272,1)]
34	37	10333	78000	39000	[(25643,5)]	[(25643,3)]	26272	[(750,0),(250,1)]	[(25828,78000),(25643,5),(26272,1)]	[(25828,39000),(25643,3),(26272,1)]
35	37	10334	79000	39500	[(25643,5)]	[(25643,3)]	35806	[(750,0),(250,1)]	[(25828,79000),(25643,5),(35806,1)]	[(25828,39500),(25643,3),(35806,1)]
36	37	10335	80000	40000	[(25643,5)]	[(25643,3)]	26272	[(750,0),(250,1)]	[(25828,80000),(25643,5),(26272,1)]	[(25828,40000),(25643,3),(26272,1)]
37	37	10336	81000	40500	[(25643,6)]	[(25643,3)]	26272	[(750,0),(250,1)]	[(25828,81000),(25643,6),(26272,1)]	[(25828,40500),(25643,3),(26272,1)]
38	37	10337	82000	41000	[(25643,6)]	[(25643,3)]	26272	[(750,0),(250,1)]	[(25828,82000),(25643,6),(26272,1)]	[(25828,41000),(25643,3),(26272,1)]
39	37	10338	83000	41500	[(25643,6)]	[(25643,3)]	26272	[(750,0),(250,1)]	[(25828,83000),(25643,6),(26272,1)]	[(25828,41500),(25643,3),(26272,1)]
40	37	10339	84000	42000	[(25643,6)]	[(25643,3)]	35806	[(750,0),(250,1)]	[(25828,84000),(25643,6),(35806,1)]	[(25828,42000),(25643,3),(35806,1)]
41	37	10340	85000	42500	[(25643,6)]	[(25643,3)]	26272	[(750,0),(250,1)]	[(25828,85000),(25643,6),(26272,1)]	[(25828,42500),(25643,3),(26272,1)]
42	37	10341	86000	43000	[(25643,6)]	[(25643,3)]	26272	[(750,0),(250,1)]	[(25828,86000),(25643,6),(26272,1)]	[(25828,43000),(25643,3),(26272,1)]
43	37	10342	87000	43500	[(25643,6)]	[(25643,3)]	26272	[(750,0),(250,1)]	[(25828,87000),(25643,6),(26272,1)]	[(25828,43500),(25643,3),(26272,1)]
44	37	10343	88000	44000	[(25643,6)]	[(25643,3)]	26272	[(750,0),(250,1)]	[(25828,88000),(25643,6),(26272,1)]	[(25828,44000),(25643,3),(26272,1)]
45	37	10344	89000	44500	[(25643,6)]	[(25643,3)]	35812	[(750,0),(250,1)]	[(25828,89000),(25643,6),(35812,1)]	[(25828,44500),(25643,3),(35812,1)]
46	37	10345	90000	45000	[(25643,6)]	[(25643,3)]	26272	[(750,0),(250,1)]	[(25828,90000),(25643,6),(26272,1)]	[(25828,45000),(25643,3),(26272,1)]
47	37	10346	91000	45500	[(25643,6)]	[(25643,3)]	26272	[(750,0),(250,1)]	[(25828,91000),(25643,6),(26272,1)]	[(25828,45500),(25643,3),(26272,1)]
48	37	10347	92000	46000	[(25643,6)]	[(25643,3)]	26272	[(750,0),(250,1)]	[(25828,92000),(25643,6),(26272,1)]	[(25828,46000),(25643,3),(26272,1)]
49	37	10348	93000	46500	[(25643,6)]	[(25643,3)]	26272	[(750,0),(250,1)]	[(25828,93000),(25643,6),(26272,1)]	[(25828,46500),(25643,3),(26272,1)]
50	37	10349	94000	47000	[(25643,6)]	[(25643,3)]	35812	[(750,0),(250,1)]	[(25828,94000),(25643,6),(35812,1)]	[(25828,47000),(25643,3),(35812,1)]
51	37	10350	65000	32500	[(25643,4)]	[(25643,2)]	26272	[(750,0),(250,1)]	[(25828,65000),(25643,4),(26272,1)]	[(25828,32500),(25643,2),(26272,1)]
52	37	10351	66000	33000	[(25643,4)]	[(25643,2)]	26272	[(750,0),(250,1)]	[(25828,66000),(25643,4),(26272,1)]	[(25828,33000),(25643,2),(26272,1)]
53	37	10352	67000	33500	[(25643,4)]	[(25643,2)]	26272	[(750,0),(250,1)]	[(25828,67000),(25643,4),(26272,1)]	[(25828,33500),(25643,2),(26272,1)]
54	37	10353	68000	34000	[(25643,4)]	[(25643,2)]	26272	[(750,0),(250,1)]	[(25828,68000),(25643,4),(26272,1)]	[(25828,34000),(25643,2),(26272,1)]
55	37	10354	69000	34500	[(25643,4)]	[(25643,2)]	35801	[(750,0),(250,1)]	[(25828,69000),(25643,4),(35801,1)]	[(25828,34500),(25643,2),(35801,1)]
56	37	10355	70000	35000	[(25643,4)]	[(25643,2)]	26272	[(750,0),(250,1)]	[(25828,70000),(25643,4),(26272,1)]	[(25828,35000),(25643,2),(26272,1)]
57	37	10356	71000	35500	[(25643,5)]	[(25643,3)]	26272	[(750,0),(250,1)]	[(25828,71000),(25643,5),(26272,1)]	[(25828,35500),(25643,3),(26272,1)]
58	37	10357	72000	36000	[(25643,5)]	[(25643,3)]	26272	[(750,0),(250,1)]	[(25828,72000),(25643,5),(26272,1)]	[(25828,36000),(25643,3),(26272,1)]
59	37	10358	73000	36500	[(25643,5)]	[(25643,3)]	26272	[(750,0),(250,1)]	[(25828,73000),(25643,5),(26272,1)]	[(25828,36500),(25643,3),(26272,1)]
60	37	10359	74000	37000	[(25643,5)]	[(25643,3)]	35801	[(750,0),(250,1)]	[(25828,74000),(25643,5),(35801,1)]	[(25828,37000),(25643,3),(35801,1)]
61	37	10360	75000	37500	[(25643,5)]	[(25643,3)]	26272	[(750,0),(250,1)]	[(25828,75000),(25643,5),(26272,1)]	[(25828,37500),(25643,3),(26272,1)]
62	37	10361	76000	38000	[(25643,5)]	[(25643,3)]	26272	[(750,0),(250,1)]	[(25828,76000),(25643,5),(26272,1)]	[(25828,38000),(25643,3),(26272,1)]
63	37	10362	77000	38500	[(25643,5)]	[(25643,3)]	26272	[(750,0),(250,1)]	[(25828,77000),(25643,5),(26272,1)]	[(25828,38500),(25643,3),(26272,1)]
64	37	10363	78000	39000	[(25643,5)]	[(25643,3)]	26272	[(750,0),(250,1)]	[(25828,78000),(25643,5),(26272,1)]	[(25828,39000),(25643,3),(26272,1)]
65	37	10364	79000	39500	[(25643,5)]	[(25643,3)]	35801	[(750,0),(250,1)]	[(25828,79000),(25643,5),(35801,1)]	[(25828,39500),(25643,3),(35801,1)]
66	37	10365	80000	40000	[(25643,5)]	[(25643,3)]	26272	[(750,0),(250,1)]	[(25828,80000),(25643,5),(26272,1)]	[(25828,40000),(25643,3),(26272,1)]
67	37	10366	81000	40500	[(25643,5)]	[(25643,3)]	26272	[(750,0),(250,1)]	[(25828,81000),(25643,5),(26272,1)]	[(25828,40500),(25643,3),(26272,1)]
68	37	10367	82000	41000	[(25643,5)]	[(25643,3)]	26272	[(750,0),(250,1)]	[(25828,82000),(25643,5),(26272,1)]	[(25828,41000),(25643,3),(26272,1)]
69	37	10368	83000	41500	[(25643,5)]	[(25643,3)]	26272	[(750,0),(250,1)]	[(25828,83000),(25643,5),(26272,1)]	[(25828,41500),(25643,3),(26272,1)]
70	37	10369	84000	42000	[(25643,5)]	[(25643,3)]	35801	[(750,0),(250,1)]	[(25828,84000),(25643,5),(35801,1)]	[(25828,42000),(25643,3),(35801,1)]
71	37	10370	85000	42500	[(25643,5)]	[(25643,3)]	26272	[(750,0),(250,1)]	[(25828,85000),(25643,5),(26272,1)]	[(25828,42500),(25643,3),(26272,1)]
72	37	10371	86000	43000	[(25643,6)]	[(25643,3)]	26272	[(750,0),(250,1)]	[(25828,86000),(25643,6),(26272,1)]	[(25828,43000),(25643,3),(26272,1)]
73	37	10372	87000	43500	[(25643,6)]	[(25643,3)]	26272	[(750,0),(250,1)]	[(25828,87000),(25643,6),(26272,1)]	[(25828,43500),(25643,3),(26272,1)]
74	37	10373	88000	44000	[(25643,6)]	[(25643,3)]	26272	[(750,0),(250,1)]	[(25828,88000),(25643,6),(26272,1)]	[(25828,44000),(25643,3),(26272,1)]
75	37	10374	89000	44500	[(25643,6)]	[(25643,3)]	35801	[(750,0),(250,1)]	[(25828,89000),(25643,6),(35801,1)]	[(25828,44500),(25643,3),(35801,1)]
76	37	10375	90000	45000	[(25643,6)]	[(25643,3)]	26272	[(750,0),(250,1)]	[(25828,90000),(25643,6),(26272,1)]	[(25828,45000),(25643,3),(26272,1)]
77	37	10376	91000	45500	[(25643,6)]	[(25643,3)]	26272	[(750,0),(250,1)]	[(25828,91000),(25643,6),(26272,1)]	[(25828,45500),(25643,3),(26272,1)]
78	37	10377	92000	46000	[(25643,6)]	[(25643,3)]	26272	[(750,0),(250,1)]	[(25828,92000),(25643,6),(26272,1)]	[(25828,46000),(25643,3),(26272,1)]
79	37	10378	93000	46500	[(25643,6)]	[(25643,3)]	26272	[(750,0),(250,1)]	[(25828,93000),(25643,6),(26272,1)]	[(25828,46500),(25643,3),(26272,1)]
80	37	10379	94000	47000	[(25643,6)]	[(25643,3)]	35807	[(750,0),(250,1)]	[(25828,94000),(25643,6),(35807,1)]	[(25828,47000),(25643,3),(35807,1)]
81	37	10380	95000	47500	[(25643,6)]	[(25643,3)]	26272	[(750,0),(250,1)]	[(25828,95000),(25643,6),(26272,1)]	[(25828,47500),(25643,3),(26272,1)]
82	37	10381	96000	48000	[(25643,6)]	[(25643,3)]	26272	[(750,0),(250,1)]	[(25828,96000),(25643,6),(26272,1)]	[(25828,48000),(25643,3),(26272,1)]
83	37	10382	97000	48500	[(25643,6)]	[(25643,3)]	26272	[(750,0),(250,1)]	[(25828,97000),(25643,6),(26272,1)]	[(25828,48500),(25643,3),(26272,1)]
84	37	10383	98000	49000	[(25643,6)]	[(25643,3)]	26272	[(750,0),(250,1)]	[(25828,98000),(25643,6),(26272,1)]	[(25828,49000),(25643,3),(26272,1)]
85	37	10384	99000	49500	[(25643,6)]	[(25643,3)]	35807	[(750,0),(250,1)]	[(25828,99000),(25643,6),(35807,1)]	[(25828,49500),(25643,3),(35807,1)]
86	37	10385	100000	50000	[(25643,6)]	[(25643,3)]	26272	[(750,0),(250,1)]	[(25828,100000),(25643,6),(26272,1)]	[(25828,50000),(25643,3),(26272,1)]
87	37	10386	101000	50500	[(25643,7)]	[(25643,3)]	26272	[(750,0),(250,1)]	[(25828,101000),(25643,7),(26272,1)]	[(25828,50500),(25643,3),(26272,1)]
88	37	10387	102000	51000	[(25643,7)]	[(25643,3)]	26272	[(750,0),(250,1)]	[(25828,102000),(25643,7),(26272,1)]	[(25828,51000),(25643,3),(26272,1)]
89	37	10388	103000	51500	[(25643,7)]	[(25643,3)]	26272	[(750,0),(250,1)]	[(25828,103000),(25643,7),(26272,1)]	[(25828,51500),(25643,3),(26272,1)]
90	37	10389	104000	52000	[(25643,7)]	[(25643,3)]	35807	[(750,0),(250,1)]	[(25828,104000),(25643,7),(35807,1)]	[(25828,52000),(25643,3),(35807,1)]
91	37	10390	105000	52500	[(25643,7)]	[(25643,3)]	26272	[(750,0),(250,1)]	[(25828,105000),(25643,7),(26272,1)]	[(25828,52500),(25643,3),(26272,1)]
92	37	10391	106000	53000	[(25643,7)]	[(25643,3)]	26272	[(750,0),(250,1)]	[(25828,106000),(25643,7),(26272,1)]	[(25828,53000),(25643,3),(26272,1)]
93	37	10392	107000	53500	[(25643,7)]	[(25643,3)]	26272	[(750,0),(250,1)]	[(25828,107000),(25643,7),(26272,1)]	[(25828,53500),(25643,3),(26272,1)]
94	37	10393	108000	54000	[(25643,7)]	[(25643,3)]	26272	[(750,0),(250,1)]	[(25828,108000),(25643,7),(26272,1)]	[(25828,54000),(25643,3),(26272,1)]
95	37	10394	109000	54500	[(25643,7)]	[(25643,3)]	35813	[(750,0),(250,1)]	[(25828,109000),(25643,7),(35813,1)]	[(25828,54500),(25643,3),(35813,1)]
96	37	10395	110000	55000	[(25643,7)]	[(25643,3)]	26272	[(750,0),(250,1)]	[(25828,110000),(25643,7),(26272,1)]	[(25828,55000),(25643,3),(26272,1)]
97	37	10396	111000	55500	[(25643,7)]	[(25643,3)]	26272	[(750,0),(250,1)]	[(25828,111000),(25643,7),(26272,1)]	[(25828,55500),(25643,3),(26272,1)]
98	37	10397	112000	56000	[(25643,7)]	[(25643,3)]	26272	[(750,0),(250,1)]	[(25828,112000),(25643,7),(26272,1)]	[(25828,56000),(25643,3),(26272,1)]
99	37	10398	113000	56500	[(25643,7)]	[(25643,3)]	26272	[(750,0),(250,1)]	[(25828,113000),(25643,7),(26272,1)]	[(25828,56500),(25643,3),(26272,1)]
100	37	10399	114000	57000	[(25643,7)]	[(25643,3)]	35813	[(750,0),(250,1)]	[(25828,114000),(25643,7),(35813,1)]	[(25828,57000),(25643,3),(35813,1)]
101	37	10400	85000	42500	[(25643,6)]	[(25643,3)]	26272	[(750,0),(250,1)]	[(25828,85000),(25643,6),(26272,1)]	[(25828,42500),(25643,3),(26272,1)]
102	37	10401	86000	43000	[(25643,6)]	[(25643,3)]	26272	[(750,0),(250,1)]	[(25828,86000),(25643,6),(26272,1)]	[(25828,43000),(25643,3),(26272,1)]
103	37	10402	87000	43500	[(25643,6)]	[(25643,3)]	26272	[(750,0),(250,1)]	[(25828,87000),(25643,6),(26272,1)]	[(25828,43500),(25643,3),(26272,1)]
104	37	10403	88000	44000	[(25643,6)]	[(25643,3)]	26272	[(750,0),(250,1)]	[(25828,88000),(25643,6),(26272,1)]	[(25828,44000),(25643,3),(26272,1)]
105	37	10404	89000	44500	[(25643,6)]	[(25643,3)]	35802	[(750,0),(250,1)]	[(25828,89000),(25643,6),(35802,1)]	[(25828,44500),(25643,3),(35802,1)]
106	37	10405	90000	45000	[(25643,6)]	[(25643,3)]	26272	[(750,0),(250,1)]	[(25828,90000),(25643,6),(26272,1)]	[(25828,45000),(25643,3),(26272,1)]
107	37	10406	91000	45500	[(25643,7)]	[(25643,4)]	26272	[(750,0),(250,1)]	[(25828,91000),(25643,7),(26272,1)]	[(25828,45500),(25643,4),(26272,1)]
108	37	10407	92000	46000	[(25643,7)]	[(25643,4)]	26272	[(750,0),(250,1)]	[(25828,92000),(25643,7),(26272,1)]	[(25828,46000),(25643,4),(26272,1)]
109	37	10408	93000	46500	[(25643,7)]	[(25643,4)]	26272	[(750,0),(250,1)]	[(25828,93000),(25643,7),(26272,1)]	[(25828,46500),(25643,4),(26272,1)]
110	37	10409	94000	47000	[(25643,7)]	[(25643,4)]	35802	[(750,0),(250,1)]	[(25828,94000),(25643,7),(35802,1)]	[(25828,47000),(25643,4),(35802,1)]
111	37	10410	95000	47500	[(25643,7)]	[(25643,4)]	26272	[(750,0),(250,1)]	[(25828,95000),(25643,7),(26272,1)]	[(25828,47500),(25643,4),(26272,1)]
112	37	10411	96000	48000	[(25643,7)]	[(25643,4)]	26272	[(750,0),(250,1)]	[(25828,96000),(25643,7),(26272,1)]	[(25828,48000),(25643,4),(26272,1)]
113	37	10412	97000	48500	[(25643,7)]	[(25643,4)]	26272	[(750,0),(250,1)]	[(25828,97000),(25643,7),(26272,1)]	[(25828,48500),(25643,4),(26272,1)]
114	37	10413	98000	49000	[(25643,7)]	[(25643,4)]	26272	[(750,0),(250,1)]	[(25828,98000),(25643,7),(26272,1)]	[(25828,49000),(25643,4),(26272,1)]
115	37	10414	99000	49500	[(25643,7)]	[(25643,4)]	35802	[(750,0),(250,1)]	[(25828,99000),(25643,7),(35802,1)]	[(25828,49500),(25643,4),(35802,1)]
116	37	10415	100000	50000	[(25643,7)]	[(25643,4)]	26272	[(750,0),(250,1)]	[(25828,100000),(25643,7),(26272,1)]	[(25828,50000),(25643,4),(26272,1)]
117	37	10416	101000	50500	[(25643,7)]	[(25643,4)]	26272	[(750,0),(250,1)]	[(25828,101000),(25643,7),(26272,1)]	[(25828,50500),(25643,4),(26272,1)]
118	37	10417	102000	51000	[(25643,7)]	[(25643,4)]	26272	[(750,0),(250,1)]	[(25828,102000),(25643,7),(26272,1)]	[(25828,51000),(25643,4),(26272,1)]
119	37	10418	103000	51500	[(25643,7)]	[(25643,4)]	26272	[(750,0),(250,1)]	[(25828,103000),(25643,7),(26272,1)]	[(25828,51500),(25643,4),(26272,1)]
120	37	10419	104000	52000	[(25643,7)]	[(25643,4)]	35802	[(750,0),(250,1)]	[(25828,104000),(25643,7),(35802,1)]	[(25828,52000),(25643,4),(35802,1)]
121	37	10420	105000	52500	[(25643,7)]	[(25643,4)]	26272	[(750,0),(250,1)]	[(25828,105000),(25643,7),(26272,1)]	[(25828,52500),(25643,4),(26272,1)]
122	37	10421	106000	53000	[(25643,8)]	[(25643,4)]	26272	[(750,0),(250,1)]	[(25828,106000),(25643,8),(26272,1)]	[(25828,53000),(25643,4),(26272,1)]
123	37	10422	107000	53500	[(25643,8)]	[(25643,4)]	26272	[(750,0),(250,1)]	[(25828,107000),(25643,8),(26272,1)]	[(25828,53500),(25643,4),(26272,1)]
124	37	10423	108000	54000	[(25643,8)]	[(25643,4)]	26272	[(750,0),(250,1)]	[(25828,108000),(25643,8),(26272,1)]	[(25828,54000),(25643,4),(26272,1)]
125	37	10424	109000	54500	[(25643,8)]	[(25643,4)]	35802	[(750,0),(250,1)]	[(25828,109000),(25643,8),(35802,1)]	[(25828,54500),(25643,4),(35802,1)]
126	37	10425	110000	55000	[(25643,8)]	[(25643,4)]	26272	[(750,0),(250,1)]	[(25828,110000),(25643,8),(26272,1)]	[(25828,55000),(25643,4),(26272,1)]
127	37	10426	111000	55500	[(25643,8)]	[(25643,4)]	26272	[(750,0),(250,1)]	[(25828,111000),(25643,8),(26272,1)]	[(25828,55500),(25643,4),(26272,1)]
128	37	10427	112000	56000	[(25643,8)]	[(25643,4)]	26272	[(750,0),(250,1)]	[(25828,112000),(25643,8),(26272,1)]	[(25828,56000),(25643,4),(26272,1)]
129	37	10428	113000	56500	[(25643,8)]	[(25643,4)]	26272	[(750,0),(250,1)]	[(25828,113000),(25643,8),(26272,1)]	[(25828,56500),(25643,4),(26272,1)]
130	37	10429	114000	57000	[(25643,8)]	[(25643,4)]	35808	[(750,0),(250,1)]	[(25828,114000),(25643,8),(35808,1)]	[(25828,57000),(25643,4),(35808,1)]
131	37	10430	115000	57500	[(25643,8)]	[(25643,4)]	26272	[(750,0),(250,1)]	[(25828,115000),(25643,8),(26272,1)]	[(25828,57500),(25643,4),(26272,1)]
132	37	10431	116000	58000	[(25643,8)]	[(25643,4)]	26272	[(750,0),(250,1)]	[(25828,116000),(25643,8),(26272,1)]	[(25828,58000),(25643,4),(26272,1)]
133	37	10432	117000	58500	[(25643,8)]	[(25643,4)]	26272	[(750,0),(250,1)]	[(25828,117000),(25643,8),(26272,1)]	[(25828,58500),(25643,4),(26272,1)]
134	37	10433	118000	59000	[(25643,8)]	[(25643,4)]	26272	[(750,0),(250,1)]	[(25828,118000),(25643,8),(26272,1)]	[(25828,59000),(25643,4),(26272,1)]
135	37	10434	119000	59500	[(25643,8)]	[(25643,4)]	35808	[(750,0),(250,1)]	[(25828,119000),(25643,8),(35808,1)]	[(25828,59500),(25643,4),(35808,1)]
136	37	10435	120000	60000	[(25643,8)]	[(25643,4)]	26272	[(750,0),(250,1)]	[(25828,120000),(25643,8),(26272,1)]	[(25828,60000),(25643,4),(26272,1)]
137	37	10436	121000	60500	[(25643,9)]	[(25643,5)]	26272	[(750,0),(250,1)]	[(25828,121000),(25643,9),(26272,1)]	[(25828,60500),(25643,5),(26272,1)]
138	37	10437	122000	61000	[(25643,9)]	[(25643,5)]	26272	[(750,0),(250,1)]	[(25828,122000),(25643,9),(26272,1)]	[(25828,61000),(25643,5),(26272,1)]
139	37	10438	123000	61500	[(25643,9)]	[(25643,5)]	26272	[(750,0),(250,1)]	[(25828,123000),(25643,9),(26272,1)]	[(25828,61500),(25643,5),(26272,1)]
140	37	10439	124000	62000	[(25643,9)]	[(25643,5)]	35808	[(750,0),(250,1)]	[(25828,124000),(25643,9),(35808,1)]	[(25828,62000),(25643,5),(35808,1)]
141	37	10440	125000	62500	[(25643,9)]	[(25643,5)]	26272	[(750,0),(250,1)]	[(25828,125000),(25643,9),(26272,1)]	[(25828,62500),(25643,5),(26272,1)]
142	37	10441	126000	63000	[(25643,9)]	[(25643,5)]	26272	[(750,0),(250,1)]	[(25828,126000),(25643,9),(26272,1)]	[(25828,63000),(25643,5),(26272,1)]
143	37	10442	127000	63500	[(25643,9)]	[(25643,5)]	26272	[(750,0),(250,1)]	[(25828,127000),(25643,9),(26272,1)]	[(25828,63500),(25643,5),(26272,1)]
144	37	10443	128000	64000	[(25643,9)]	[(25643,5)]	26272	[(750,0),(250,1)]	[(25828,128000),(25643,9),(26272,1)]	[(25828,64000),(25643,5),(26272,1)]
145	37	10444	129000	64500	[(25643,9)]	[(25643,5)]	35814	[(750,0),(250,1)]	[(25828,129000),(25643,9),(35814,1)]	[(25828,64500),(25643,5),(35814,1)]
146	37	10445	130000	65000	[(25643,9)]	[(25643,5)]	26272	[(750,0),(250,1)]	[(25828,130000),(25643,9),(26272,1)]	[(25828,65000),(25643,5),(26272,1)]
147	37	10446	131000	65500	[(25643,9)]	[(25643,5)]	26272	[(750,0),(250,1)]	[(25828,131000),(25643,9),(26272,1)]	[(25828,65500),(25643,5),(26272,1)]
148	37	10447	132000	66000	[(25643,9)]	[(25643,5)]	26272	[(750,0),(250,1)]	[(25828,132000),(25643,9),(26272,1)]	[(25828,66000),(25643,5),(26272,1)]
149	37	10448	133000	66500	[(25643,9)]	[(25643,5)]	26272	[(750,0),(250,1)]	[(25828,133000),(25643,9),(26272,1)]	[(25828,66500),(25643,5),(26272,1)]
150	37	10449	134000	67000	[(25643,9)]	[(25643,5)]	35814	[(750,0),(250,1)]	[(25828,134000),(25643,9),(35814,1)]	[(25828,67000),(25643,5),(35814,1)]
